V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T
ITA_F,723.47,4.5348,46.6879,22.2851,31.3079,862.2559,598.9589,91.4492,323.6246,159.1375,354.4113,170.5727,232.0125,327.2751,349.6752,658.8404,213.0724,309.7485,1016.1937,978.5432,468.3997,586.4783,549.9374,725.8502,43966.8187,3381.586,904.9839,45.054,107.1223,641.7609,59.0306,1277.2374,250.7249,556.8345,640.4394,592.9077,4922.4136,2840.0487,1551.7769,2246.8172,386.3689,1614.9068,401.6035,208.8526,0.0
ITA_G,4167.124,126.659,184.5215,191.229,56.4872,23706.899,10736.0656,1253.072,2694.9602,3357.2606,5122.9863,2653.1034,3400.794,1918.4308,2486.8601,4225.7374,1588.0819,2412.3671,7870.4133,4682.3048,1677.695,5422.5856,3244.2633,1185.6248,6762.8535,21083.455,3996.5731,1438.3235,1146.9623,2505.2216,225.1421,8184.0602,1416.8757,1712.0441,2237.3008,4934.1182,1377.6358,4908.4856,5468.5645,1488.1548,597.3213,6016.2581,1819.7133,1128.0661,0.0
ITA_H49,995.7387,25.5109,127.3697,131.3032,22.6507,5892.8009,1380.2593,436.0526,889.9981,1394.6824,1178.1704,374.8986,987.9606,1077.0335,990.2004,1177.0636,342.1363,705.9814,1913.6908,1154.44,373.6002,1135.2102,2889.2928,732.2149,1801.3702,10467.5648,8007.0527,473.3578,205.4286,6695.7767,592.4615,1312.8787,208.8418,116.7907,207.4766,385.3217,221.2049,967.3333,1452.6326,529.4924,181.7079,1038.0808,276.9689,249.8488,0.0
ITA_H50,60.6916,1.8986,11.3539,9.2761,1.8017,354.103,132.605,37.9856,73.6798,229.123,122.0639,40.9159,89.6909,70.9728,154.507,121.1232,36.9096,75.7423,184.7287,125.1132,39.3402,99.1875,128.744,100.4627,191.2291,927.0378,547.4681,46.8405,35.4372,467.8992,40.1351,141.8575,26.8774,31.8061,68.1318,53.3057,37.2449,104.589,128.4711,92.419,17.0059,112.3715,33.9929,29.5331,0.0
ITA_H51,33.8276,0.5185,11.7395,8.9142,2.1715,213.6921,106.6499,30.0472,62.5095,184.3029,87.3134,29.9306,72.01,55.6748,91.0722,92.5541,29.9755,65.4926,150.9524,94.0875,30.9245,76.514,125.7704,60.8427,235.1367,995.5553,619.1424,66.6345,89.709,531.2393,46.0519,114.6146,52.6807,63.0449,52.7664,21.4889,30.4763,115.371,164.3697,25.3166,14.3328,115.8607,42.83,25.187,0.0
ITA_H52,167.2514,3.9856,160.5548,76.3307,12.6116,2094.1498,649.1472,367.7422,627.7577,374.1529,471.2278,94.2278,541.7571,738.9338,419.5635,550.867,155.1982,516.042,1130.9716,620.8413,122.9624,500.7036,846.1205,602.8125,1771.3286,14046.2272,10251.5237,611.3047,387.662,8757.0945,745.9144,303.2115,148.4348,115.1106,123.4921,209.7193,138.8757,616.2039,1418.7713,297.9597,75.35,268.5932,133.4218,171.935,0.0
ITA_H53,13.5676,0.2787,10.5225,4.945,1.2253,89.0559,37.7891,8.2395,51.6425,178.348,19.2543,21.1979,23.641,24.6395,40.3155,30.8851,8.7499,17.3834,50.1271,44.1488,16.2352,48.8015,224.6271,656.4808,172.3553,226.7666,271.3792,7.4438,11.4866,696.2518,90.7219,130.908,35.4299,27.039,22.7136,278.5061,100.0735,186.5936,315.9207,1140.1629,322.2654,190.0443,139.8733,57.1162,0.0
ITA_I,160.8926,2.5156,89.0478,28.8374,6.6938,171.6384,428.7743,339.8858,237.6587,1009.3808,131.2599,248.9259,288.5277,183.8723,540.3662,548.0195,147.6443,325.7024,865.809,429.1326,176.7999,724.0515,891.3164,338.6228,1854.0846,1283.0752,857.3888,45.7929,225.4826,1703.2088,42.654,863.7073,194.3081,150.5878,185.9206,151.2434,707.2619,996.7108,3985.3423,801.0329,1162.5281,946.5317,129.8597,410.2752,0.0
ITA_J58T60,10.4853,0.1856,202.3238,61.0625,1.6047,236.2729,129.0035,8.6837,192.561,42.4745,45.7985,59.4472,42.025,23.5197,35.2472,56.9349,16.8848,37.8448,90.4778,62.7899,20.4614,98.5234,53.6735,64.9526,141.9608,1657.2133,85.9598,27.7741,47.8267,72.8297,12.9911,208.0096,2272.3383,1837.2482,257.826,147.3328,61.3698,2739.5226,375.5754,105.9141,72.7128,63.9404,624.8219,78.8904,0.0
ITA_J61,28.1978,12.483,21.431,8.3956,4.9241,808.3152,332.3464,92.5963,289.3384,116.1983,277.8238,87.7098,428.8062,455.3442,472.5841,491.993,165.5799,137.5018,346.4934,255.2743,110.6889,252.5162,241.9505,473.4226,300.9752,1830.544,213.6208,31.3335,117.9858,326.1308,27.5646,1046.344,348.6679,7499.0902,357.9844,427.3259,252.3352,370.8959,385.5637,649.372,122.4056,544.6944,370.7364,370.1421,0.0
