V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T
MLT_C20,0.0132,0.0165,0.0057,0.02,0.0112,1.1226,0.2864,0.0023,1.1165,0.0253,0.4339,4.5672,2.8532,0.1395,0.0002,0.184,1.886,0.0092,0.0099,0.0098,0.1105,1.3838,0.0608,0.1304,1.7488,0.5099,0.0454,0.0272,0.099,0.4642,0.0603,0.7006,0.1713,0.0686,0.1489,0.2152,0.211,0.4716,0.0871,0.0378,0.0536,0.3425,0.3262,1.6522,0.0
MLT_C21,0.0137,0.0189,0.0025,0.0207,0.0049,0.9888,0.1119,0.0024,0.412,0.0083,0.1939,14.3489,0.9961,0.0456,0.0001,0.0782,0.6493,0.0156,0.0291,0.0049,0.1024,0.5826,0.0189,0.0644,0.6513,0.2156,0.0781,0.0352,0.0408,0.2253,0.1019,0.2815,0.0819,0.0494,0.0939,0.3413,0.0325,0.8256,0.9554,0.0582,0.0328,17.6778,0.2863,0.5544,0.0
MLT_C22,0.1884,1.8132,0.0074,0.0511,0.0388,10.1993,0.081,0.3048,1.1168,0.0008,0.4655,3.4842,10.3078,0.1049,0.001,2.6537,0.6963,1.5812,0.9324,0.3183,0.7981,17.1315,0.1132,0.1469,26.4026,7.4843,0.2893,0.8779,0.2082,1.5191,0.8233,1.1375,0.1791,0.0593,2.258,1.4857,0.0262,0.9586,0.4542,0.5308,0.0345,0.2596,0.1362,0.8084,0.0
MLT_C23,0.0845,0.0269,0.0184,0.0973,0.0189,1.6235,0.016,0.0036,0.0856,0.0003,0.0361,0.1425,0.4057,10.2723,0.0013,1.2449,31.4566,0.0121,0.0266,0.0276,7.7252,1.0191,1.7822,5.2608,58.4482,0.351,0.2668,0.0686,0.309,0.5701,0.0533,1.0373,0.045,0.0582,0.1195,1.0401,4.8774,1.7214,0.1528,0.3669,0.1859,0.2125,0.3893,0.6936,0.0
MLT_C24,0.0,0.0,0.0,0.0,0.0004,0.0235,0.0001,0.0,0.0009,0.0,0.0004,0.0326,0.0016,0.0144,0.0001,0.1762,0.5227,0.0346,0.0235,0.0062,0.0004,0.0208,0.0545,0.0102,0.041,0.0064,0.0001,0.001,0.0001,0.0036,0.0,0.0001,0.0001,0.0003,0.002,0.0005,0.0014,0.0082,0.0017,0.0001,0.0002,0.0003,0.0038,0.0006,0.0
MLT_C25,0.1754,0.1839,0.0503,0.171,0.0762,3.643,0.024,0.0255,0.1634,0.0198,0.1189,0.2783,1.2698,1.1253,0.0017,19.2879,31.0931,0.2571,1.8767,0.0849,0.5216,8.7267,0.4588,0.3109,36.7639,0.6872,0.1911,0.1706,0.4803,3.7611,0.2378,0.3768,0.2097,0.2809,1.1207,0.905,0.5701,0.8655,0.1986,0.5334,0.0571,0.1683,0.3972,0.284,0.0
MLT_C26,0.0033,0.0027,0.005,0.0189,0.0084,0.0104,0.0027,0.0012,0.7154,0.0,0.0222,0.0224,0.0452,0.0092,0.0,0.044,90.8,0.7013,0.7721,0.008,2.7604,0.3063,2.287,0.0474,0.273,0.0638,0.0419,0.0354,0.101,0.3489,0.2812,0.0449,0.5163,40.0583,53.7515,2.7047,0.0304,2.9105,0.7485,0.1741,0.016,0.0673,0.067,2.7072,0.0
MLT_C27,0.0094,0.0372,0.0107,0.0414,0.0122,0.1035,0.0112,0.0024,0.0586,0.0004,0.0122,0.057,0.1441,0.0504,0.0007,0.2013,0.3452,6.5487,0.7835,0.0094,0.3127,0.9632,1.1202,0.0703,6.5188,0.2659,0.1278,0.129,0.0837,0.174,0.0371,0.1725,0.1754,0.5207,4.8329,1.2184,0.0967,0.2514,0.1283,0.0123,0.01,0.041,0.0791,0.4222,0.0
MLT_C28,0.0006,0.0263,0.024,0.0918,0.0187,0.0058,0.0037,0.0018,0.0516,0.0001,0.0085,0.001,0.0197,0.0051,0.0001,0.0452,0.0225,0.0313,0.7463,0.0014,0.4812,0.7834,0.1084,0.0978,2.1074,0.06,0.0217,0.2235,0.0332,0.0381,0.0394,0.0024,0.0156,0.0187,0.0358,0.0368,0.0063,0.0269,0.1447,0.0029,0.0007,0.009,0.0062,0.0409,0.0
MLT_C29,0.0053,0.0016,0.0,0.0001,0.0003,0.006,0.0001,0.0,0.0014,0.0,0.0001,0.0003,0.0001,0.0006,0.0,0.0003,0.0008,0.0002,0.0001,0.0076,0.0017,0.0235,0.0275,0.0006,0.0856,0.1943,0.2239,0.0521,0.0478,0.0235,0.1241,0.0028,0.0019,0.001,0.0003,0.1314,0.0007,0.0141,0.0127,0.0001,0.0084,0.0395,0.0017,0.0042,0.0
MLT_C30,0.0022,4.8342,0.0443,0.0122,0.0007,0.0279,0.0019,0.0003,0.0171,0.0,0.0026,0.0197,0.0326,0.0214,0.0,0.014,0.0029,0.0053,0.0238,0.0,30.0263,9.7799,0.003,0.0337,0.0641,0.1261,0.0877,0.0552,12.8015,5.3565,0.0275,4.0577,0.0104,0.0336,0.0711,0.6652,0.0099,0.0564,0.992,0.4781,0.0415,0.0572,1.4324,0.0135,0.0
MLT_C31T33,1.6995,2.2825,0.2124,0.4116,0.1451,1.35,0.3002,0.1361,0.8302,0.0076,0.0953,1.9233,1.2039,0.6868,0.0002,1.5785,2.3666,0.2094,0.4119,0.0559,2.7936,16.4939,3.0885,2.1652,8.3393,5.3372,5.2905,4.5557,18.0039,4.9882,4.665,4.3092,0.5023,1.5694,6.5906,8.1635,2.6049,3.5697,3.7181,6.2264,1.8155,21.4281,36.2304,0.9074,0.0
MLT_D,1.1565,0.2208,0.0107,0.1015,0.1299,7.4288,2.6866,0.0785,2.3645,0.0011,1.4983,3.9681,5.5483,1.464,0.0034,2.0684,38.6694,0.1868,0.7215,0.0578,0.4724,7.7907,440.5733,23.7939,6.387,9.7329,1.6237,0.7111,0.9355,5.3681,3.9746,29.4219,2.7122,6.3057,52.8937,30.3473,2.6539,7.868,1.1733,10.5257,7.7705,16.7629,11.419,1.6353,0.0
MLT_E,0.835,0.3162,0.0311,0.1183,0.0452,2.1773,0.0925,0.0182,1.2422,0.0015,0.1961,0.7148,0.8673,1.8035,0.0106,0.647,0.0439,0.0525,0.1175,0.0127,2.0937,1.5627,0.8066,55.1224,3.4867,2.3349,0.7083,0.5958,1.0486,1.1143,1.6679,6.8629,0.57,2.1648,5.4266,10.6433,0.8224,3.2346,15.1319,19.8676,1.1664,6.0824,1.862,0.9834,0.0
MLT_F,3.47,0.7844,0.1501,0.5584,0.1301,3.4836,0.6976,0.0219,1.1833,0.0078,0.4418,2.3874,0.7957,7.2429,0.0026,3.1003,18.3887,0.34,0.3384,0.0427,4.8755,12.9535,7.8255,11.2746,254.9314,16.8389,15.4051,1.0163,7.1346,37.7268,1.4397,33.1826,1.5214,1.6316,5.5504,43.7804,50.3303,10.0601,7.1191,8.773,13.0682,5.5973,16.5421,5.1921,0.0
MLT_G,8.7728,18.154,0.2597,0.7019,0.3056,66.569,3.9055,0.5217,17.8468,0.1401,2.6463,29.0567,17.5,12.2603,0.03,13.635,64.1307,3.9885,3.3891,0.596,14.8018,29.4416,55.3335,6.7911,88.9855,18.8397,13.2128,6.0954,13.1557,8.6787,9.2189,107.7908,5.7497,8.2527,20.8099,42.252,6.5195,13.4571,7.4775,4.6198,3.2476,21.9801,19.9353,10.2182,0.0
MLT_H49,0.9462,2.1677,0.027,0.1079,0.0935,7.4363,0.3196,0.0664,2.3919,0.0173,0.3975,3.1298,2.3884,3.6546,0.0098,2.1387,9.2813,0.4408,0.5534,0.0682,2.1354,4.6801,7.8875,1.2575,15.9335,7.9325,32.5522,0.9997,3.0569,1.9507,3.4998,9.9675,1.0314,0.7796,2.4124,9.0706,0.813,1.7345,0.6958,0.5689,0.3359,1.7531,1.7217,1.1507,0.0
MLT_H50,0.1823,4.8317,0.1237,0.0231,0.0213,2.3703,0.2786,0.0151,2.0235,0.0029,0.1163,2.5299,0.489,0.6283,0.001,1.0034,3.9978,2.2256,0.2059,0.0522,0.6054,3.5047,2.0465,0.1277,2.9156,17.2491,0.6087,1.462,2.234,1.6685,0.176,1.6443,0.2208,0.9336,1.0093,4.364,0.1255,0.9851,3.8397,0.3239,0.1862,0.4822,1.1731,0.2519,0.0
MLT_H51,0.069,0.2072,0.0064,0.0181,0.0076,0.2948,0.0467,0.0031,0.1993,0.0016,0.013,0.1893,0.0715,0.163,0.0004,0.102,0.8065,0.1163,0.0172,0.0043,0.0918,0.4607,0.5767,0.1087,0.6666,2.2349,0.7101,1.8435,4.8054,1.5241,0.0958,0.8376,0.1205,0.0897,1.1232,1.8245,0.042,0.7858,1.4411,0.2417,0.0702,0.2593,5.4194,0.0697,0.0
MLT_H52,0.2937,2.2155,0.0581,0.252,0.0573,3.1743,0.5553,0.0199,4.6679,0.0082,0.2505,2.9911,0.7102,0.8882,0.0041,1.8913,2.1135,3.8505,0.2167,0.0325,0.6702,9.5512,3.4264,0.2452,5.5873,63.8528,14.7826,53.2519,55.3985,48.7758,0.4258,3.673,0.2226,1.1875,1.1352,3.5604,1.2227,2.2547,15.6781,2.6816,0.1961,0.485,3.8265,0.3904,0.0
MLT_H53,0.0634,0.0342,0.0051,0.0169,0.0145,0.2827,0.0217,0.0026,0.2153,0.0,0.0355,0.0709,0.1232,0.0874,0.0003,0.199,0.0741,0.063,0.066,0.0216,0.099,0.3966,2.8379,0.2481,0.7502,2.9344,0.7496,0.4533,2.0875,0.7219,59.5011,2.4992,0.6942,5.8339,8.3393,114.8635,0.1213,3.9182,1.7545,3.589,0.4081,1.9572,1.3615,0.2415,0.0
MLT_I,0.0371,0.0805,0.0021,0.0047,0.0125,0.2751,0.0115,0.0017,0.1133,0.0003,0.0759,0.024,0.0989,0.0197,0.0003,0.1911,0.118,0.0459,0.1188,0.0104,0.0328,0.4892,0.8048,0.0632,0.8885,2.1211,0.2361,0.1485,5.734,2.0897,1.0889,4.2523,0.5232,0.3422,2.9414,25.9035,0.1551,5.8951,6.7145,1.3161,0.4978,3.5658,7.1433,0.0403,0.0
MLT_J58T60,0.0065,0.0305,0.0006,0.0004,0.0023,0.1788,0.0017,0.001,0.7474,0.0,0.0055,0.131,0.0096,0.0057,0.0,0.0369,0.0226,0.0201,0.002,0.0014,0.0602,0.2312,0.4929,0.0377,0.2363,1.2191,0.1486,0.1008,0.3401,0.1392,0.8408,0.4239,4.6549,3.1529,15.3836,21.6588,0.2959,4.6744,0.2313,0.6104,1.101,0.4178,22.2787,0.0399,0.0
MLT_J61,0.3238,0.2824,0.0177,0.039,0.0242,0.9026,0.0517,0.0064,0.6113,0.0008,0.0696,0.7457,0.3622,0.1841,0.0011,0.543,0.3337,0.1319,0.1325,0.0215,0.418,0.6321,2.6379,0.3587,2.6595,9.2793,1.2745,1.3451,4.7378,1.8031,9.9264,3.3236,1.1747,77.983,63.9945,133.3243,3.4452,11.7778,3.7271,4.1955,2.4085,3.931,58.7094,0.5088,0.0
MLT_J62_63,0.0076,0.0111,0.0,0.0003,0.0023,0.0196,0.0011,0.0003,0.0594,0.0,0.0071,0.009,0.0388,0.02,0.0,0.0072,0.0071,0.0023,0.0031,0.0,0.0203,0.0644,0.0641,0.0095,0.0748,0.1226,1.0693,0.0955,0.7907,0.0766,0.0526,0.1823,0.0819,2.1136,27.9444,8.3458,0.0118,3.7109,0.2521,0.7367,0.1188,0.9324,593.3529,0.0368,0.0
MLT_K,0.1703,0.3004,0.0041,0.0132,0.0127,0.7221,0.044,0.0077,0.3764,0.0012,0.0556,0.4439,0.2395,0.3459,0.0004,0.4362,0.7026,0.1829,0.0871,0.0114,0.2697,0.738,0.6269,0.1168,2.21,3.5801,0.8539,0.9125,2.0415,1.0409,0.4742,3.1138,0.4322,1.9831,2.8788,1045.7292,7.2915,3.6327,1.3304,0.3871,0.2724,1.1049,26.9579,0.317,0.0
MLT_L,0.133,0.1718,0.0058,0.0188,0.0164,0.4894,0.017,0.0093,1.0743,0.0017,0.1239,0.5734,0.547,0.2284,0.0034,0.915,0.2428,0.2252,0.1124,0.0316,0.5235,2.0977,1.1398,0.0905,3.0522,26.2085,2.332,2.7635,1.5814,3.1966,4.0398,20.6119,1.0275,4.1112,8.2147,32.5803,16.1418,10.84,4.469,3.6158,0.972,1.3925,37.604,0.4966,0.0
MLT_M,1.8338,0.293,0.995,2.5725,0.2569,1.1147,0.0838,0.0256,1.5595,0.0032,0.4383,2.9177,1.6941,0.9687,0.0014,0.882,1.4634,0.4637,0.1674,0.0248,0.7775,9.8854,6.521,1.0861,26.1658,8.9823,1.3912,6.0626,13.5318,10.1713,1.2864,10.4851,4.0969,12.3107,56.4692,154.9553,9.3846,69.7258,4.8781,12.2167,3.8269,2.6966,265.5979,1.2232,0.0
MLT_N,0.2423,1.9882,0.0775,0.1136,0.1169,0.8077,0.9999,0.0261,0.6334,0.0012,0.137,1.786,0.3714,0.2261,0.0013,0.6786,0.9433,0.2086,0.0687,0.0065,0.2389,4.6099,5.7943,1.0477,5.4804,16.4989,8.3433,8.2821,96.8298,5.0658,2.1191,24.1164,3.3384,2.3919,22.0677,182.4059,2.5803,30.2418,101.955,11.6487,4.3075,12.9723,142.7664,2.6442,0.0
MLT_O,0.5305,1.5892,0.0057,0.0275,0.0292,1.3628,0.1273,0.0098,0.705,0.0008,0.5436,0.4486,0.1073,0.1465,0.0024,1.7857,1.1381,0.5274,0.0313,0.0189,0.4495,4.7704,2.6202,0.5818,10.1324,20.6634,5.6141,5.0517,12.8331,6.5434,1.0372,16.4549,3.8935,1.7769,0.9971,27.078,12.253,35.1041,7.8752,21.0552,6.2006,6.1066,23.4145,2.0809,0.0
MLT_P,0.0978,0.4241,0.0003,0.0019,0.0083,0.1835,0.1481,0.0312,0.6073,0.0001,0.0295,0.3863,0.1083,0.1822,0.0151,0.1784,0.3222,0.6898,0.0182,0.0014,0.2732,0.5052,3.7398,0.0552,0.6299,0.7383,0.4128,0.7211,0.3324,0.9484,0.454,0.7179,0.6917,0.5884,8.1139,20.3454,0.2174,4.5383,2.6277,3.7694,2.2347,2.317,9.3759,1.0862,0.0
MLT_Q,0.7398,0.0078,0.0006,0.0086,0.0049,0.1923,0.0285,0.0035,0.0822,0.0,0.0113,0.0217,0.1168,0.066,0.0008,0.1062,0.0731,0.0403,0.0264,0.0085,0.1719,0.0733,1.3798,0.1196,0.6581,0.9473,0.2508,0.0004,0.2719,1.1928,0.113,0.9322,0.0456,0.026,1.0535,3.8195,0.0743,11.6507,0.5575,0.4701,0.9844,136.6823,5.7014,0.0547,0.0
MLT_R,0.0274,1.1392,0.0387,0.0197,0.0333,0.2649,0.0052,0.0162,0.3256,0.0002,0.0548,0.0809,0.1272,0.0233,0.0008,0.1556,0.0165,0.0725,0.0111,0.0011,0.0321,1.027,3.1997,0.2946,1.7763,4.2479,3.6452,4.4155,32.3262,1.2292,0.315,4.4949,2.169,0.9897,15.2084,12.3462,0.4574,7.2465,12.6544,0.9615,1.1024,3.7219,976.4407,0.0954,0.0
MLT_S,0.041,0.0409,0.0102,0.0159,0.0139,0.3235,0.0334,0.0072,0.2273,0.0001,0.0364,0.0524,0.0509,0.1137,0.0,0.0935,0.0211,0.0183,0.0273,0.0147,0.2035,0.3263,0.7694,0.0245,0.8538,0.9741,0.4662,0.6868,4.768,0.6367,1.3812,7.2786,1.3639,0.9286,1.2019,17.9886,0.0713,1.7192,0.8447,1.2272,0.7915,1.3684,1.1382,1.7769,0.0
MLT_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
