V1,ISR_A01_02,ISR_A03,ISR_B05_06,ISR_B07_08,ISR_B09,ISR_C10T12,ISR_C13T15,ISR_C16,ISR_C17_18,ISR_C19,ISR_C20,ISR_C21,ISR_C22,ISR_C23,ISR_C24,ISR_C25,ISR_C26,ISR_C27,ISR_C28,ISR_C29,ISR_C30,ISR_C31T33,ISR_D,ISR_E,ISR_F,ISR_G,ISR_H49,ISR_H50,ISR_H51,ISR_H52,ISR_H53,ISR_I,ISR_J58T60,ISR_J61,ISR_J62_63,ISR_K,ISR_L,ISR_M,ISR_N,ISR_O,ISR_P,ISR_Q,ISR_R,ISR_S,ISR_T
ISR_C21,16.8156,0.0568,0.0731,3.7759,0.1254,44.0044,1.1188,0.4799,5.6102,102.5969,260.4668,518.8823,15.42,7.2355,3.13,5.4599,9.0862,1.8304,5.5884,0.5645,1.0122,78.1408,2.268,6.9381,37.3361,7.6415,10.1104,2.3593,2.2595,1.5839,0.6272,4.6848,0.8138,0.1595,2.9222,9.9993,2.1021,58.7662,14.2206,24.0945,2.2823,1130.6111,2.3651,1.3161,0.0
ISR_C22,13.8803,1.5139,0.142,12.1655,0.5,387.5307,20.7432,19.4375,57.5378,60.7776,154.1581,60.8654,386.6764,35.98,13.2044,50.7959,82.6435,26.8441,92.2498,13.9285,20.3019,223.9783,25.2926,63.0237,574.3783,394.7773,22.033,3.8067,3.8936,1.6189,4.1375,64.9765,1.0039,0.9591,5.359,4.0424,8.7677,41.4039,43.0156,61.655,5.2348,101.4458,9.4388,6.7526,0.0
ISR_C23,4.2409,0.0154,0.3048,26.4495,0.8036,109.6354,5.5547,0.8063,1.0646,19.8287,67.1441,10.1262,13.7147,631.1371,10.6465,43.6716,31.2313,3.0387,6.952,5.667,20.4741,46.0576,2.7976,2.6508,2059.5934,16.3476,2.4437,0.3865,0.3533,0.2918,0.084,10.2133,0.127,0.0661,1.5163,1.1457,60.5664,9.763,7.5089,22.0447,3.1483,2.6967,6.1032,2.8723,0.0
ISR_C24,1.815,0.0114,0.5787,13.5323,0.8926,7.3025,1.6821,1.4731,3.2686,6.7522,14.2899,1.8662,21.4924,28.9374,740.8784,460.0505,49.5713,28.9148,101.9247,35.7505,20.2372,125.1853,11.1589,51.6652,365.2748,13.8029,1.7209,0.1949,0.1469,0.5566,0.0372,1.1682,0.2977,0.062,0.1818,0.9313,0.3362,4.6338,1.9059,45.025,0.2537,0.7337,2.1319,0.4567,0.0
ISR_C25,3.986,0.0706,0.0829,4.5698,0.1801,137.9736,7.9798,9.5187,13.0977,14.339,30.5127,5.3408,75.2266,31.3121,37.1205,251.5919,214.2865,32.4566,88.3702,22.2775,54.7335,170.6204,25.4224,28.2921,1565.0818,34.7451,4.0123,4.2133,2.7795,3.4588,0.2369,9.5411,2.4118,0.7909,2.4238,3.1204,5.5041,20.5172,17.8183,1184.9337,2.8412,8.3147,63.5891,3.6407,0.0
ISR_C26,8.1431,0.9751,1.2237,59.8041,2.7609,98.4666,8.9924,4.3536,29.4661,40.5117,70.9972,16.9063,64.335,37.1403,33.0359,175.1235,2772.7155,179.8707,501.3562,32.9829,300.8881,240.9588,204.261,81.8776,1089.7286,197.6645,43.4846,9.4,8.3366,86.8187,1.6655,11.1282,14.7364,120.7103,672.7655,56.8649,8.8058,1251.9104,54.9231,2557.335,52.4044,397.3899,58.1927,76.8084,0.0
ISR_C27,10.0196,0.2089,0.037,2.0061,0.0675,40.0459,0.4835,0.6488,2.1128,2.3201,4.2906,1.7049,9.0176,2.463,12.2336,15.8621,120.6567,117.0083,38.1177,4.1897,22.3961,36.0849,82.5856,30.1332,217.4371,56.6784,3.9973,0.9391,0.7087,5.9227,0.171,22.5251,3.2066,6.8969,7.9576,2.9726,0.6037,29.7776,12.0929,73.5436,2.6301,4.8754,8.882,6.367,0.0
ISR_C28,17.0542,0.3584,1.0299,49.8979,1.8083,35.184,3.4003,1.5433,12.9384,91.2614,92.0936,16.2809,27.9758,22.8898,11.575,67.5269,113.7258,24.5429,188.5204,10.3381,29.9205,39.2116,63.3419,30.806,290.6176,67.5602,10.6728,2.6726,1.5729,19.6101,0.2201,2.5866,4.6339,10.9078,8.2002,2.1473,4.5496,40.6912,10.9717,78.062,2.1699,11.0359,7.9566,10.8561,0.0
ISR_C29,0.1516,0.0211,0.0069,0.4231,0.015,2.8406,0.1636,0.1482,0.3113,0.462,1.0552,0.3195,1.8942,2.5947,0.7435,2.818,7.182,1.2331,2.2731,17.1944,1.2887,2.863,1.1566,1.1326,25.228,16.4428,2.1068,0.1491,0.1306,0.3127,0.0565,0.3601,0.0919,0.677,1.3326,0.4729,0.3727,3.0714,1.5891,17.0692,0.2618,1.2413,0.9706,0.4374,0.0
ISR_C30,0.057,0.0,0.0,0.0533,0.0,0.2502,0.0171,0.0002,0.0039,0.2157,0.3714,0.1333,0.1434,0.0356,0.0445,1.7031,119.3228,0.0338,0.7748,5.5395,331.6354,2.1742,0.199,0.1755,0.2863,9.1918,4.1758,79.1037,41.1223,0.3975,0.0027,0.0958,0.6027,0.2526,0.0109,0.0237,0.1304,0.9164,1.5144,446.9069,0.8648,0.1163,3.4628,0.8016,0.0
ISR_C31T33,1.9792,0.1097,0.0246,1.8165,0.0688,29.3958,3.8578,8.7618,5.6931,13.045,18.6984,11.7454,27.7316,7.3904,2.4227,10.1927,24.0074,3.6321,9.745,2.9451,3.243,2212.2169,5.7398,9.1937,117.4379,49.1857,6.0595,1.6675,1.6245,2.4156,1.4624,6.24,1.3307,0.3185,3.252,6.8463,2.8995,18.7045,10.4113,45.1802,8.227,66.5258,6.4844,13.1085,0.0
ISR_D,233.8373,3.3462,1.3871,104.7132,1.4366,134.2475,15.9567,3.8663,42.2121,455.4557,154.8767,27.3186,83.6941,79.3791,41.8545,47.2756,69.8821,7.0205,14.7469,6.3714,20.9986,78.5979,508.5723,81.5806,80.1872,409.7048,67.4518,6.4019,7.1549,112.8076,1.777,117.6039,19.0214,37.9997,56.1793,55.1027,146.9423,128.5407,39.4795,208.6962,145.8454,148.8124,168.0825,48.5192,0.0
ISR_E,72.2187,1.0539,0.6313,35.3968,0.597,57.873,8.3109,1.5394,23.3411,162.5111,73.1738,16.4386,28.6838,26.732,15.1765,16.1184,27.5324,4.2173,5.9613,2.2278,8.1499,27.5381,97.7755,1080.5042,51.129,130.389,22.4616,3.8794,2.416,35.88,0.6373,37.8922,7.0488,12.1081,31.3164,19.6988,45.5977,42.2657,14.5971,139.3781,45.0363,51.0229,55.0252,15.767,0.0
ISR_F,20.3252,0.0,0.5186,29.4447,0.9929,115.7297,11.4341,15.17,32.2861,215.9506,66.7577,30.4443,29.7276,103.5543,26.9327,70.9895,145.6243,13.1474,53.8692,5.1401,12.2441,76.9277,35.3814,146.8952,74.6546,382.86,76.5696,12.3115,10.0166,89.8141,36.6156,80.3695,24.632,56.3313,29.3671,160.3889,872.8953,157.3133,45.116,994.2569,274.825,111.6946,93.9843,33.9166,0.0
