V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T
IRL_C27,0.6419,0.086,0.2629,0.0238,0.0362,17.2455,0.0408,0.1377,0.2554,2.8812,12.3101,6.5185,0.2704,0.3791,0.0844,0.9741,91.3987,43.709,15.2538,5.0428,0.9266,55.3836,0.0959,0.3481,140.4232,6.9902,0.7133,0.1508,5.306,0.1632,0.0565,0.2757,1.1532,1.1867,28.7032,1.6716,0.3335,4.7971,38.8437,3.7636,0.4147,14.1196,0.5928,1.2738,0.0
IRL_C28,14.4975,0.738,0.4268,0.5189,0.2333,12.5065,0.3039,0.8642,0.7971,2.9913,3.0167,8.0145,2.3613,2.3592,0.5698,29.2079,92.8575,4.4019,25.1351,2.1207,8.4271,22.9514,0.4292,0.1094,68.1257,17.388,3.2591,0.6637,5.035,2.1104,0.4604,2.1088,7.9609,3.9885,23.1034,3.4211,0.1484,4.3758,12.6247,4.3283,1.0137,5.6807,2.5211,0.9053,0.0
IRL_C29,0.2107,0.0094,0.0044,0.0092,0.0035,0.0797,0.0019,0.0095,0.0031,0.0477,0.0071,0.1859,0.0513,0.0133,0.0129,0.18,0.5763,1.819,0.1204,0.1585,0.061,1.9091,0.0936,0.0037,0.9556,4.0311,0.4708,0.0446,0.0613,0.2002,0.0983,0.1094,0.0799,0.1395,1.318,0.4178,0.0033,0.4104,0.6764,0.1033,0.0522,0.0187,0.093,0.0261,0.0
IRL_C30,1.0659,1.7329,0.3896,0.1235,0.0012,0.1346,0.0127,0.1467,0.0201,0.003,0.0382,0.4039,0.0747,0.0658,0.0002,0.023,0.3022,0.0391,0.1212,9.7851,67.8916,109.547,0.0,0.3051,5.1378,2.4087,1.9021,1.232,106.8628,3.316,0.46,0.4348,0.0111,1.6728,18.2263,0.8206,0.4692,1.4998,12.5079,8.831,0.0692,0.5913,0.5526,0.4752,0.0
IRL_C31T33,200.353,12.0361,1.0184,1.834,1.0238,41.0059,0.3436,3.6122,1.5286,28.2733,2.5797,29.6146,22.4562,11.9417,5.3587,48.3972,172.1773,46.1729,49.7122,7.5555,23.41,1072.5056,4.1556,4.0948,335.2617,160.1904,81.5966,11.1342,286.3729,33.9284,6.9619,21.3834,38.1585,51.1908,213.9561,29.1364,0.9833,44.1091,96.6419,74.261,19.6937,144.1842,34.4384,13.996,0.0
IRL_D,161.065,17.0861,19.6439,368.8758,0.7793,285.3175,9.2032,37.0132,11.2991,38.6635,20.2201,143.6293,32.4109,86.0382,7.6201,12.7181,97.8987,5.634,31.0397,5.8278,20.7327,37.9392,263.6047,81.188,118.6075,727.0288,116.5357,3.5071,128.5817,66.4598,10.7894,228.1332,73.0849,120.2947,245.1695,101.7343,29.6627,129.3071,139.2301,234.8795,58.6332,110.6113,103.3439,60.8471,0.0
IRL_E,10.2134,22.8524,1.7986,3.5625,0.2022,69.423,1.2496,2.8709,1.7864,11.1796,12.179,47.9073,22.7089,3.0079,122.6024,4.8966,46.1428,0.7139,12.3332,8.0985,1.136,33.0769,0.251,451.8311,162.9025,91.3245,9.9384,2.4265,3.4091,19.896,2.9011,33.1439,11.1658,2.2443,78.537,32.3954,7.7433,30.3873,70.089,9.1334,4.0014,51.3803,55.1538,18.5252,0.0
IRL_F,110.8001,7.9939,12.7881,13.5109,0.4657,335.7821,6.111,29.2881,8.7392,259.4864,22.934,87.7359,8.8056,41.0899,27.2929,73.3588,298.6372,43.2422,218.9255,17.9928,10.3202,193.3288,55.8849,46.5171,5106.8292,1157.468,0.7276,2.1571,9.1087,19.9567,0.0544,4.8028,3.9299,14.4615,115.3322,58.9599,349.0569,86.8078,86.2261,282.8253,160.7764,33.3608,7.3933,21.9843,0.0
IRL_G,202.0412,19.4817,4.1863,37.8582,0.7272,1464.0144,24.3487,24.5817,73.7277,211.2472,217.5968,537.2906,40.2028,65.1965,20.8727,102.0867,714.4016,43.3973,87.6854,9.6063,19.8471,680.2372,86.4911,44.0217,750.574,917.6976,98.5044,17.886,399.2028,85.5007,21.1607,148.5699,718.5955,61.4087,940.983,183.1224,17.8462,152.1745,249.4884,190.2788,60.5537,176.6105,37.4812,101.917,0.0
IRL_H49,29.2977,3.441,2.3315,27.5032,0.5091,286.8422,6.2768,22.9804,15.3908,35.7866,9.6178,14.5201,23.7115,45.8845,7.042,55.6233,183.0949,13.0177,22.9592,3.0033,5.028,78.9929,6.1384,31.7972,107.9876,370.0223,55.8192,2.4013,43.8405,7.578,10.6753,9.5409,42.949,3.5487,60.9957,30.6413,1.284,14.9962,86.2675,119.5855,10.559,40.3795,7.041,5.8394,0.0
IRL_H50,1.2072,12.1443,0.0739,1.1653,0.0223,44.9952,0.2174,1.6273,0.8419,3.6249,1.9313,3.6678,1.2109,6.1836,0.9222,2.1407,47.8097,0.778,3.9717,0.3634,0.733,4.2363,0.3899,5.9185,2.2968,54.8422,1.2269,58.3113,19.7959,27.113,0.0295,5.2636,15.4876,4.1725,5.3403,5.2486,0.2748,7.0909,16.666,0.9327,0.1338,0.3658,0.304,0.399,0.0
IRL_H51,13.2704,1.1129,8.2124,26.2442,0.1002,337.6291,3.3815,1.5549,15.5179,41.1563,31.1468,63.9955,18.9153,58.1615,80.9379,11.1323,159.5657,16.5942,39.4067,12.0266,22.6277,91.0679,7.451,2.9442,97.7136,121.2924,9.9086,6.0424,316.5433,23.3841,5.9241,9.585,57.072,5.939,73.5222,57.5205,0.9436,62.2337,166.3766,15.7483,4.822,24.027,3.986,14.2879,0.0
IRL_H52,6.1899,10.9569,0.0578,0.6359,0.2984,101.8512,0.5092,0.8766,1.4797,8.0462,4.5625,18.6051,3.5647,26.6193,1.0807,5.4447,247.4173,5.5068,11.5653,0.5456,2.5646,13.6459,0.9814,20.9108,13.4653,875.7235,37.7933,51.3419,464.2275,466.6643,5.8606,9.745,4.0533,6.406,508.677,28.9144,0.1572,95.3454,132.7036,1.5625,0.4388,1.5449,2.5057,4.7451,0.0
IRL_H53,5.6272,0.0,0.2487,0.7624,0.0231,19.1217,0.9079,1.0345,0.4144,0.1063,1.3094,0.4945,1.5206,3.0027,1.8079,3.4253,0.3733,1.6207,0.1084,0.7587,2.7238,1.691,0.704,1.0763,10.2461,135.2173,6.1473,0.0751,1.4772,4.9945,67.1557,2.7693,135.6307,5.1222,290.7722,125.3823,2.7693,38.3122,75.5298,4.9478,0.3355,5.5378,6.2965,24.52,0.0
IRL_I,1.6588,0.3101,2.7755,5.7522,0.1056,40.1092,4.7587,4.5018,1.3251,5.4279,3.2586,9.1262,4.8829,5.3283,9.1499,12.3974,12.8269,2.2995,5.7971,3.6785,4.4307,9.8873,37.2227,6.9078,13.0076,42.0048,3.2328,2.0043,58.7948,3.4638,0.9932,38.1278,42.9392,4.7992,135.6656,60.0707,1.9745,64.9239,68.9454,58.0541,3.3496,35.254,11.5961,14.5602,0.0
IRL_J58T60,5.442,0.1342,7.1963,53.7359,0.1069,512.7857,31.0392,13.7441,97.4734,0.0011,113.456,199.0544,59.0708,66.9201,57.4933,223.0954,56.4519,14.3718,20.4718,12.5855,12.9029,192.2058,437.5017,42.8477,8.7891,297.3689,6.8882,0.3598,0.9514,1.0715,1.974,99.0436,2721.8371,108.9086,329.9514,88.3114,45.7199,148.7144,166.3776,18.5918,89.4344,15.508,76.5736,566.1864,0.0
IRL_J61,29.1933,1.1416,2.5429,11.3896,0.1031,107.5389,3.8276,3.5731,2.7432,9.4054,11.8194,33.6014,6.6821,7.4694,7.2794,10.3822,28.2704,2.1036,6.405,2.933,3.5645,51.2451,54.5315,11.9831,71.1046,74.4189,3.7721,1.0899,19.8822,7.1638,3.0302,5.9012,64.2393,93.9234,276.2566,266.1748,8.4381,53.7962,56.393,215.3515,25.7059,27.5328,20.2622,17.1848,0.0
IRL_J62_63,4.6606,0.6779,0.2194,0.7778,0.0386,70.9143,0.6642,0.41,4.7633,10.8417,23.126,241.654,1.1417,2.0339,0.7667,3.2738,53.7449,1.5639,3.3856,0.5518,0.9869,63.3155,5.8452,2.874,84.0084,88.024,3.0648,0.6645,21.5637,9.4543,1.7776,4.3677,85.7701,14.2479,499.1185,107.0595,4.139,44.5626,48.6955,6.1096,1.7036,19.2545,4.3346,6.4563,0.0
IRL_K,70.2406,11.2229,4.083,10.0038,0.1746,186.8236,10.0999,9.225,8.5254,62.5197,39.6431,70.0163,18.4342,19.5719,18.3368,29.2545,113.4523,7.0526,21.4266,7.9228,15.4764,83.2212,111.0674,18.5778,167.3907,237.9093,23.0667,12.5263,90.8071,24.2416,8.1007,39.8298,67.4602,15.9342,255.6291,5795.1484,138.8877,115.8169,136.7596,168.8477,16.9135,98.2964,22.1706,11.9291,0.0
IRL_L,0.2795,0.0,0.359,0.6808,0.0695,4.5945,0.5676,0.5426,0.1597,1.1257,0.6842,2.7679,0.9993,1.0904,1.1416,1.4912,2.9526,0.2691,1.0924,0.2216,0.2239,9.9178,8.3994,3.8846,37.9977,917.9684,11.1048,2.1565,75.492,7.044,4.7047,159.7809,119.7544,83.2563,213.5854,51.1167,65.4844,284.0548,106.515,279.8226,17.9552,33.1481,112.6301,25.4472,0.0
IRL_M,33.5883,1.338,9.9694,12.3834,1.4445,566.0143,5.962,9.641,10.2212,32.5804,29.4785,703.0769,22.0588,23.9626,12.23,29.8937,114.123,56.9056,15.9208,12.9159,19.5756,138.534,102.4003,32.9597,437.5302,1608.4592,96.5482,23.9926,80.0986,278.0077,43.0871,306.5009,584.9692,476.28,1910.1503,1226.3276,477.5627,1195.7289,1542.403,318.6745,28.3778,240.6438,182.7527,99.4219,0.0
IRL_N,8.0525,3.2545,3.1255,5.2267,0.5385,165.9731,3.6409,4.098,4.1447,33.9717,28.3509,1142.0661,10.8465,12.584,8.0285,18.2782,136.9116,9.9156,13.3512,4.8196,5.035,191.026,55.3413,18.3821,267.1463,1327.5113,97.1688,64.7989,301.3393,178.7266,28.5472,191.2769,284.7726,357.4277,2909.0663,512.3534,93.5892,2252.5886,972.112,70.3001,30.9029,160.841,142.3446,129.0158,0.0
IRL_O,3.353,0.0868,0.9681,1.0562,0.0503,40.4149,1.5871,1.8777,0.6602,1.2086,1.1328,124.946,6.1294,4.8516,6.255,9.6619,9.462,1.7334,3.6038,1.1144,7.9259,63.4818,5.5754,1.0709,132.2641,31.8114,36.6791,0.7739,23.4475,1.5938,3.6946,16.1824,6.6344,1.1772,16.0258,126.5353,40.5057,65.0652,64.8465,106.4339,30.5735,113.6198,0.9152,7.5345,0.0
IRL_P,0.1545,0.0,0.0037,0.0004,0.026,4.1635,0.0541,0.0182,0.0526,0.5719,0.1956,17.8796,0.3291,0.2019,0.1198,0.2629,6.0265,0.3144,0.6419,0.0815,0.7349,1.7081,0.4085,3.7991,14.1647,13.9482,78.7614,0.8862,14.2652,1.9155,0.7251,5.7051,0.3246,10.81,149.6935,154.4707,3.729,91.4626,56.6323,358.7879,206.5435,231.2686,4.7382,4.4943,0.0
IRL_Q,0.1736,0.413,0.0162,0.0034,0.0292,31.2458,0.5319,0.2225,0.4071,1.8634,3.1785,230.8179,3.423,1.6765,0.8371,3.089,16.4636,2.107,2.0036,0.483,7.4564,28.6027,4.3672,4.4627,3.1281,55.4559,2.3214,0.4743,8.0764,3.0007,0.4438,17.6832,0.1041,5.1856,48.008,45.9788,1.4544,25.7419,14.5522,22.523,0.0279,2074.1611,3.0647,15.4887,0.0
IRL_R,1.1816,0.0593,0.2268,1.8698,0.0038,25.1233,2.1399,2.0921,0.6158,0.0022,2.5713,9.0618,3.8529,4.2044,4.0493,5.7506,9.663,1.0404,3.5838,1.7095,1.4912,66.0008,25.2866,15.7721,2.3529,26.0445,4.6893,0.1414,6.2464,11.7818,1.0363,1.4165,83.2419,5.0637,68.8434,33.4497,0.5259,27.4919,39.7268,172.6291,52.5924,4.9051,113.5617,120.381,0.0
IRL_S,29.6686,9.7285,1.7951,3.5529,0.0819,35.7945,3.2632,3.1733,0.9341,14.6082,3.9002,25.791,5.8442,6.3773,6.4346,8.7251,27.502,1.5849,10.2179,2.593,2.6927,43.7955,49.5388,22.9189,1.4058,33.2866,6.8697,1.1394,26.5917,2.1263,10.4721,13.5885,13.3104,12.0718,87.9664,102.6897,3.7604,46.1845,71.6797,144.6037,78.6002,29.9358,34.714,244.6355,0.0
IRL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
