V1,RUS_A01_02,RUS_A03,RUS_B05_06,RUS_B07_08,RUS_B09,RUS_C10T12,RUS_C13T15,RUS_C16,RUS_C17_18,RUS_C19,RUS_C20,RUS_C21,RUS_C22,RUS_C23,RUS_C24,RUS_C25,RUS_C26,RUS_C27,RUS_C28,RUS_C29,RUS_C30,RUS_C31T33,RUS_D,RUS_E,RUS_F,RUS_G,RUS_H49,RUS_H50,RUS_H51,RUS_H52,RUS_H53,RUS_I,RUS_J58T60,RUS_J61,RUS_J62_63,RUS_K,RUS_L,RUS_M,RUS_N,RUS_O,RUS_P,RUS_Q,RUS_R,RUS_S,RUS_T
RUS_C20,2314.1988,6.0866,122.5487,12.8468,836.7837,1014.5322,350.6234,348.2226,675.2081,1229.079,4451.9899,255.6435,3632.9088,700.5103,555.8859,791.9318,157.0783,423.7136,135.97,302.6693,89.0012,390.3434,121.2212,102.4467,851.0996,561.8687,100.0809,5.3206,15.5753,76.3798,1.7613,105.377,29.4352,7.5068,3.37,7.7034,288.1879,191.9585,299.6195,122.1928,45.3948,247.4462,54.3072,64.5099,0.0
RUS_C21,248.4306,0.5102,2.7892,0.3336,6.2376,76.0579,2.2548,2.0464,5.4049,26.1333,11.2735,710.8504,4.9062,4.5046,10.3045,5.7527,2.9599,2.0825,2.3253,2.3959,3.8258,3.9994,15.0451,1.5588,20.2883,54.2415,7.6494,0.3645,3.5113,7.5589,0.2424,3.7587,1.3819,1.605,1.3266,3.6177,8.9643,63.9305,2.7849,237.5536,44.3989,2076.9551,6.5125,1.7969,0.0
RUS_C22,218.3716,20.8256,112.7737,16.6158,187.882,1450.7937,47.2677,77.3852,188.6591,27.6101,289.1033,70.955,836.6721,185.0144,89.5642,166.4328,96.4538,221.6149,198.3508,802.5102,107.296,436.8235,100.0375,63.1862,4251.0586,951.8357,201.5642,1.1384,7.5961,114.0638,6.6483,120.0291,6.8503,9.9985,7.2315,16.8951,899.2717,178.6574,50.0288,66.1712,26.6765,76.6677,11.5163,25.0969,0.0
RUS_C23,74.4621,1.8519,62.0131,12.8202,111.4396,617.1786,4.9964,14.6572,14.9737,35.0227,107.5888,164.684,103.9869,3141.6377,892.8233,77.9137,44.0406,168.0185,76.3282,284.767,80.2889,151.0321,168.8689,94.4913,12134.3386,196.2723,90.2328,1.6343,5.4926,331.2145,0.8171,39.0392,2.1081,5.7109,1.0953,2.7572,1420.3526,90.1284,26.4338,72.6107,29.874,53.9053,16.5613,29.9841,0.0
RUS_C24,21.7277,3.3506,388.2191,35.4752,1962.8674,212.3793,2.0047,28.1867,79.7746,38.2035,1231.1921,17.3524,81.8479,683.7517,25004.4476,7182.6381,532.2218,2702.5223,2507.0036,1596.9626,2119.1464,1564.5033,1421.6118,2492.5735,8384.9798,177.777,828.1648,6.293,0.0644,171.2339,0.2082,0.4976,5.9061,3.1042,0.0715,0.8991,202.1898,356.4293,53.7156,35.5251,10.6788,10.983,2.5879,47.4763,0.0
RUS_C25,227.5458,41.3519,121.1154,24.5803,888.529,662.6398,36.4719,75.1177,48.0624,62.2366,219.3137,42.6065,100.3074,350.8642,501.4674,2701.5923,356.5554,312.3776,1183.6924,990.7748,1015.4318,709.4393,322.8402,77.5401,8038.5544,500.0619,112.8392,8.9003,7.75,134.2078,1.9246,47.2713,5.1364,22.8427,8.4864,27.0416,409.6998,929.4472,40.6094,496.0164,26.9368,44.388,18.0778,50.6457,0.0
RUS_C26,51.0606,11.302,52.3198,1.8507,177.1335,65.3435,3.6681,5.0056,39.9179,30.5667,28.2979,11.091,8.0309,11.1851,167.902,167.0608,2162.2099,128.4705,94.7655,83.3957,396.8911,292.475,108.4512,14.2543,323.0495,319.47,69.3417,2.5071,6.9189,64.7758,6.9579,11.0224,63.3394,598.9761,324.4411,65.053,74.1198,1366.465,62.1178,227.7853,48.1294,231.0271,35.8026,101.5725,0.0
RUS_C27,76.403,4.263,88.4605,3.1469,334.7298,35.0304,2.2826,4.6184,10.3297,34.5349,25.5763,3.1703,11.8189,46.1712,246.2481,114.7815,651.1768,938.1514,430.0746,274.9859,439.3134,387.5446,448.6543,26.5145,2078.9549,353.104,153.3469,6.3926,18.8676,157.9402,1.9272,41.2194,12.4368,164.8098,54.4787,15.7168,176.7806,716.1541,32.1457,175.8254,14.6434,54.452,18.8527,99.4644,0.0
RUS_C28,574.5877,37.1165,192.5876,30.1437,840.6059,235.8052,17.9087,62.1313,91.7437,116.2324,60.7151,9.9352,31.8368,138.083,611.3626,274.0327,101.7009,108.6046,688.4865,215.0877,432.3249,372.5595,195.3547,54.8644,1420.5527,432.2831,158.4861,14.8445,24.0352,97.4843,3.9472,22.2307,11.4367,27.1453,26.9979,33.6781,170.2283,288.2498,44.6723,108.1729,16.8267,50.1614,14.651,28.7134,0.0
RUS_C29,150.0506,1.7142,51.6865,12.7696,49.3289,69.9092,2.7615,10.8709,15.8686,9.0062,9.4279,0.9999,13.5385,20.4141,208.3843,58.8748,28.7165,19.3561,119.8369,6884.698,87.965,114.7903,63.7129,72.6122,209.0066,1857.6372,553.0362,2.8218,1.6564,195.6268,5.9634,5.5214,2.623,9.3734,3.9177,14.1948,37.7356,91.1798,82.1936,112.4982,12.6051,28.3683,9.4371,18.5437,0.0
RUS_C30,1.2774,115.4416,8.6488,6.4067,18.0236,16.3368,0.014,1.3863,5.9991,2.8121,0.5357,0.3382,0.5419,1.6238,29.0459,0.9809,0.0318,0.9849,1.8214,4.9743,4764.0134,394.7401,0.7806,0.3915,0.3848,65.541,3247.4513,148.456,950.1168,790.6748,0.0326,0.0712,7.8233,0.0175,0.0,0.0,0.1185,752.2248,288.2909,618.527,14.6214,2.0624,11.2693,2.1006,0.0
RUS_C31T33,565.8608,119.6679,498.5897,36.3714,1480.0004,479.6158,32.4843,61.6453,219.3169,148.0065,406.6194,23.6534,62.4241,142.043,758.801,224.3267,78.6773,58.5071,250.5729,102.5238,435.3838,854.4698,950.0256,157.2778,901.8818,893.1853,930.2202,16.5107,52.884,840.9928,47.624,60.5827,208.5875,267.3993,59.3111,88.4465,546.334,342.6288,99.4576,417.6299,83.0632,814.662,119.3923,79.4231,0.0
RUS_D,2203.0751,33.1875,1549.0281,181.6467,3767.6094,2232.2396,246.9301,416.6734,827.1966,1751.8034,2723.546,76.1673,485.3101,2028.4399,6602.9529,1150.5345,315.1367,226.6429,510.4254,450.849,606.8197,443.9647,43137.3945,1266.7306,1368.231,4457.1144,5365.0771,20.6463,21.8922,606.983,77.6764,720.5422,76.0133,694.2193,89.1415,343.327,5762.3795,910.3881,430.0061,3298.6612,1705.6165,1893.1075,620.4808,312.0489,0.0
RUS_E,91.1934,2.7996,79.8146,3.887,155.4392,207.047,16.5907,19.1411,215.7525,111.6413,104.7534,11.9653,43.9589,181.4362,4419.7661,475.0604,31.4078,15.542,61.2984,52.7598,72.188,44.6545,670.9748,1605.376,209.0747,467.3541,121.3676,6.713,5.6801,83.6372,23.1481,92.9806,14.5621,37.7053,16.1331,36.2214,1137.5768,171.4303,72.6625,1423.7797,190.3804,266.8566,64.0082,35.1038,0.0
RUS_F,431.1558,28.0302,1345.0267,62.2647,3343.5294,669.8776,47.2924,54.0997,89.0889,631.4211,359.9885,46.635,68.5636,244.3481,1293.6855,361.1016,154.2062,142.3518,119.4787,90.8911,303.0616,235.8845,1640.7579,449.2264,6198.3758,2158.2293,1480.9996,27.8422,88.8098,806.7002,34.5113,375.9428,46.6572,192.289,71.3157,91.5023,5866.3442,1029.6314,167.8592,11886.1413,1602.2006,2712.8883,1189.2991,94.6573,0.0
RUS_G,7393.4618,322.2736,1323.8477,132.4803,3121.9745,16380.9357,1739.6705,1088.5047,1671.2204,14955.6419,3319.2938,1052.2065,1729.8516,1843.4002,5556.3544,2592.9622,1621.0707,1233.8097,1385.9812,3863.7235,2026.3112,1990.4143,8227.0895,721.4966,11618.1703,13812.0593,4344.7718,161.9154,1009.9775,2192.5332,99.5132,2332.7127,397.7962,767.356,441.6275,802.3804,2105.603,3168.2382,784.4883,4172.9468,761.9485,3614.6146,453.3776,514.6607,0.0
RUS_H49,1691.9894,30.0084,4241.4988,124.9856,5138.8915,2888.4004,106.5005,544.9724,472.9497,10409.1182,1711.464,57.1256,256.4977,1218.0934,3053.7444,740.76,213.495,219.324,311.9755,501.726,524.0957,419.8894,1257.279,317.2679,3097.6187,34582.4673,5175.5324,45.2221,387.8558,6997.7116,256.9734,207.1082,62.2716,129.8991,114.75,62.0585,377.1596,648.7696,901.3689,1676.3292,121.966,344.4696,120.788,149.7303,0.0
RUS_H50,41.8735,52.6652,52.4322,5.8711,42.1898,69.2818,11.7195,13.1519,22.8259,72.6583,29.8918,6.4469,14.735,23.4873,73.1894,26.1355,22.4916,14.1847,19.6056,46.8959,31.9806,20.6448,36.2981,6.3007,125.6369,157.3732,38.5045,11.1516,19.1813,129.7777,0.9068,6.2669,1.8967,8.5094,4.3323,2.1081,15.1454,35.5503,7.1551,32.6894,3.6738,23.0506,2.6561,4.2634,0.0
RUS_H51,87.047,11.1955,117.9013,10.3509,588.5467,130.6498,20.1722,13.4301,32.6771,135.7725,60.065,20.4051,32.2933,40.3419,213.4651,69.4173,59.2167,29.3322,50.2196,107.4106,97.1179,66.5719,103.7489,13.3294,298.0174,559.8435,195.3888,12.3624,439.0448,312.5628,88.4347,23.2753,8.619,22.1198,36.1128,119.7765,30.1551,230.573,490.8542,1071.7778,41.8138,201.3922,86.7336,39.2572,0.0
RUS_H52,733.724,35.2465,1178.8371,140.5061,1729.1588,1361.844,43.637,190.9718,292.03,3748.9643,888.5238,24.777,68.63,510.4762,1313.3076,287.1725,113.0105,95.8509,150.9262,330.5545,337.8703,261.1763,358.1385,120.3074,1870.1758,10426.2748,4149.8127,305.8948,4663.8095,7821.5738,96.1431,74.8601,33.0476,63.8095,25.0017,11.2077,156.5402,255.2148,373.6841,3705.9305,34.5725,88.0968,55.8132,27.2888,0.0
RUS_H53,14.4805,0.9403,2.1997,0.3421,8.3338,32.4107,5.0335,1.7618,9.07,4.0511,7.9657,5.2524,4.1685,4.5722,8.2742,7.4782,8.3918,2.9029,4.5567,4.45,5.721,10.8285,47.7482,5.3005,24.3542,510.98,17.5513,0.9954,5.7539,25.12,136.4902,8.3121,18.78,52.0018,39.9117,95.8307,14.3312,104.0505,18.8314,392.2982,60.0229,31.9128,8.1206,36.8171,0.0
RUS_I,18.4329,1.6952,30.6309,2.0213,112.5038,53.2595,3.8045,3.2272,11.638,25.999,20.4283,10.5455,6.0303,11.965,39.5785,41.8585,31.7162,8.5582,21.1928,14.9118,41.8668,54.8087,69.7918,7.6862,222.8769,322.4692,117.5198,2.213,77.6653,48.5031,3.4656,57.2138,17.0425,29.2718,43.8964,167.3557,29.1714,327.1275,217.5773,1174.5492,236.7862,347.5677,173.8688,179.8853,0.0
RUS_J58T60,11.9951,11.5439,1.293,0.1729,2.7862,103.2028,2.3517,1.3101,106.2865,5.0782,19.6798,15.7053,2.2054,2.7336,31.2688,5.4754,3.9293,2.0599,5.5175,14.7668,2.9109,4.6106,9.4352,39.7866,14.6621,396.7359,14.6743,0.7377,3.278,10.2342,3.0954,43.0687,1471.1165,63.13,35.8742,54.6382,27.7953,2979.2494,20.927,207.1963,61.6755,34.886,70.9573,58.8567,0.0
RUS_J61,39.8004,6.7002,26.8385,1.8911,104.4636,68.0281,11.1281,6.5884,15.4395,23.6771,19.2314,7.3469,10.5664,17.4446,38.2133,23.9859,17.2688,9.7622,19.3212,11.1429,16.6748,22.1379,129.1785,18.2794,107.1856,718.8698,422.4784,7.1731,62.7056,89.6855,54.4745,48.2556,333.4508,5217.2045,388.2191,550.8413,109.5626,415.8404,66.8691,1226.5544,160.8627,117.4339,52.488,53.5476,0.0
RUS_J62_63,18.8095,2.1637,58.3131,3.5461,130.3108,183.1119,10.1395,7.4917,47.332,89.4806,74.5082,82.8344,17.5047,25.9207,126.3002,64.3469,154.6234,50.6172,62.2531,155.134,87.3585,96.8927,404.1626,39.0727,230.5081,2180.6144,178.9195,1.4156,47.95,239.8211,23.1957,38.5903,215.5105,1262.9993,3563.7771,1727.2883,437.1537,1483.3966,85.3431,2785.8071,319.7848,272.4339,157.5247,201.4839,0.0
RUS_K,1581.0694,66.3527,493.3745,55.3687,1407.8114,2205.9156,211.5683,247.5251,377.8573,1906.9106,575.1854,109.229,279.4014,431.8675,1388.7147,638.5197,302.8505,318.3478,322.9285,613.3823,398.0363,494.0453,1733.5754,326.4602,3432.8199,7243.0933,1969.8511,54.3863,330.5501,1876.7352,57.0392,990.8758,161.7309,369.2967,514.7964,10326.3323,1294.5195,1661.3928,631.5463,3351.954,125.6783,297.2239,265.1707,455.8604,0.0
RUS_L,185.2228,15.7855,926.4197,7.2658,6086.6962,751.1269,183.5278,75.7733,130.5052,176.7948,137.2649,62.2274,197.347,187.0444,206.4189,294.2243,200.8311,85.638,122.3941,223.8497,180.0775,390.0456,854.1321,165.0462,1145.8569,19813.8218,6901.6925,44.5931,77.8324,1508.6204,39.6509,2477.1805,290.8985,1357.3412,1017.126,2084.5672,10239.0738,1956.8754,830.6811,1314.3024,472.0394,677.7499,619.9349,847.211,0.0
RUS_M,523.6945,27.3442,590.4007,46.1607,1356.8224,2602.1854,102.2607,64.2077,201.4817,656.5563,720.5929,348.6442,145.3497,288.8269,1131.5355,629.0869,780.91,190.7831,335.3808,576.1553,878.7955,417.1114,1261.6932,205.6682,3454.1313,12019.7134,675.7097,14.8733,249.0559,641.803,25.5328,662.2001,591.646,1078.2993,681.9,2199.985,2086.7618,9327.8724,584.3978,2990.3895,293.9854,511.9069,424.8614,270.0712,0.0
RUS_N,510.1432,195.1935,777.7759,30.3228,5171.3198,1168.5622,188.3425,116.2138,150.8433,636.181,330.1017,127.4673,166.6969,394.3294,582.752,352.2645,115.7874,89.1361,118.3395,188.2378,237.5053,263.0494,1069.8698,344.6421,3116.1231,5301.1936,4417.059,422.4775,1438.5296,1683.8347,51.7175,481.9866,353.2427,434.6038,367.7811,818.0165,1138.8353,1548.9941,1433.9799,1536.3853,355.9199,439.9832,591.6561,249.754,0.0
RUS_O,92.6726,4.9405,47.4906,7.2931,171.9914,159.4139,18.0716,15.1762,23.0384,203.6645,33.1207,10.0899,28.4408,45.9392,74.0558,90.7923,30.2826,15.9882,25.8506,47.8656,35.9055,30.1499,93.439,17.8376,217.8632,669.6807,120.9774,4.5583,20.5928,77.6151,7.0633,33.2471,24.6839,551.4081,30.7074,244.8422,98.7618,201.1618,148.5884,253.2184,26.1353,49.6005,29.921,12.9394,0.0
RUS_P,9.4772,2.6701,13.5674,1.2185,75.6808,19.8809,0.7672,2.9743,10.1726,11.645,11.2942,4.6834,2.8118,6.1903,25.1178,12.8623,7.9082,4.8154,6.7095,11.7941,20.2229,21.0626,47.8061,5.5584,47.2545,126.0463,126.7293,2.4806,24.2977,36.095,1.0457,6.2246,2.6474,18.1998,21.9734,62.1775,13.97,120.5439,28.0462,398.8635,623.599,139.9972,24.763,53.1784,0.0
RUS_Q,17.0621,1.3817,10.8575,1.0971,102.3844,32.2415,1.7527,2.8556,5.6795,12.5639,10.0738,3.9769,3.4668,6.7779,33.0531,10.1866,4.6977,3.6896,4.1294,6.4661,11.5637,8.0721,41.9013,9.5106,26.8162,69.3982,106.2999,1.301,3.3347,32.0596,3.7838,23.4402,3.4305,8.7191,12.9989,28.6406,15.7835,58.1628,20.3076,645.1155,128.2097,518.2668,24.679,61.634,0.0
RUS_R,0.6367,0.1402,0.6272,0.0817,2.4407,14.5937,0.2888,0.1547,5.1073,16.6977,3.7855,2.1829,0.2477,0.6636,5.243,1.2279,0.9078,0.6077,1.1307,4.5138,1.2224,0.7613,1.4976,0.32,2.4058,68.5911,2.3921,0.0806,1.3213,1.305,0.1373,3.3792,30.1919,2.6207,2.0731,40.8008,5.8391,41.7005,6.0956,257.1866,76.393,35.4075,992.987,325.3902,0.0
RUS_S,4.3847,0.2146,2.9486,0.4182,23.4922,14.5252,1.018,1.0409,2.2581,7.0491,3.0627,0.8309,1.083,2.0548,10.2556,4.6296,9.6071,1.6136,1.6791,2.2741,6.9733,4.2995,15.5216,2.6138,23.8065,63.7523,7.6941,0.2101,2.9242,6.5004,1.542,59.0761,17.3209,9.2565,8.9503,18.1141,14.1399,41.5885,9.4011,72.3947,38.2968,114.0946,41.7987,25.0184,0.0
RUS_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
