V1,IDN_A01_02,IDN_A03,IDN_B05_06,IDN_B07_08,IDN_B09,IDN_C10T12,IDN_C13T15,IDN_C16,IDN_C17_18,IDN_C19,IDN_C20,IDN_C21,IDN_C22,IDN_C23,IDN_C24,IDN_C25,IDN_C26,IDN_C27,IDN_C28,IDN_C29,IDN_C30,IDN_C31T33,IDN_D,IDN_E,IDN_F,IDN_G,IDN_H49,IDN_H50,IDN_H51,IDN_H52,IDN_H53,IDN_I,IDN_J58T60,IDN_J61,IDN_J62_63,IDN_K,IDN_L,IDN_M,IDN_N,IDN_O,IDN_P,IDN_Q,IDN_R,IDN_S,IDN_T
IDN_C20,2362.7166,22.4635,137.6731,256.6796,53.8627,1271.2013,1200.6563,413.5285,1024.7188,305.471,4988.7973,108.1159,2878.1811,566.8087,94.8062,188.7292,748.1707,1674.7549,1039.4508,53.6483,223.1128,1068.2498,34.0317,356.4843,824.766,1574.3667,127.3454,35.498,146.0585,65.3609,2.8605,57.3415,145.3546,12.8818,16.575,101.6375,98.7869,6.0627,396.0802,163.4415,248.2216,325.4985,18.2075,17.4465,0.0
IDN_C21,70.2014,9.5685,0.6184,8.2165,0.3338,12.5849,0.7182,1.3745,22.5874,2.0784,28.8862,39.8196,3.163,1.0244,0.2108,9.4295,26.3041,4.5181,0.2538,0.9785,0.0703,9.2394,0.2015,8.9433,0.012,23.6116,73.0765,18.5441,14.1718,54.3319,0.2734,1.4249,0.7709,1.0652,2.394,9.5337,0.3235,0.4233,30.5163,29.0336,29.5499,987.3287,0.4874,0.628,0.0
IDN_C22,67.5776,9.4062,34.4143,43.4528,4.2732,230.1741,318.8348,67.3205,96.1592,3.2191,155.093,24.2404,924.8466,179.2709,17.924,192.5176,259.281,175.7927,370.2546,265.7935,689.3134,892.7652,5.5757,26.3275,1761.5143,3770.6421,419.0134,58.9667,196.9405,100.0519,42.6345,58.3083,33.99,18.1334,0.7158,253.9356,151.0369,4.5726,329.9429,73.5559,85.2421,26.6857,7.1618,16.393,0.0
IDN_C23,0.3392,0.3515,10.2614,2.1047,0.2906,16.945,6.8289,16.3899,20.8387,114.6968,34.1007,4.1943,15.1914,1102.6343,7.1405,100.9021,1395.9103,338.6325,184.9298,54.8284,317.465,200.4962,0.0572,6.3016,13665.6855,122.0282,128.2954,27.1444,60.9046,23.21,0.0003,5.677,14.173,0.0413,0.2998,0.6357,202.6471,22.4214,78.114,13.2576,59.9453,24.2658,0.3,78.909,0.0
IDN_C24,0.1084,0.4616,0.1901,16.888,0.0,0.2152,11.789,0.7009,3.0803,5.673,0.6145,0.0052,0.783,7.1961,143.9001,1288.1907,106.3038,404.2881,650.498,177.4206,530.4543,1093.5512,0.0194,7.8334,3104.9175,58.0386,0.011,0.0,0.0,0.0002,0.5906,0.0,0.6003,0.5161,0.0,3.773,0.0071,0.0,0.0036,0.3665,0.0159,0.0464,0.0614,10.2627,0.0
IDN_C25,34.0507,1.5844,1.9688,134.0132,1.6793,10.834,11.0663,11.838,4.2119,7.7093,15.1721,0.0757,27.1343,10.7956,4.6515,235.2738,110.6833,168.6576,308.3459,67.2743,254.1033,200.8824,20.8581,309.9396,3448.4586,838.2272,129.5358,42.6581,102.7948,39.8747,11.1519,16.1827,7.1522,2.9559,0.0492,93.3837,23.5553,2.3787,175.3977,119.7247,18.6173,10.1764,1.3199,105.1777,0.0
IDN_C26,0.0049,0.0,37.2376,15.2846,14.4848,2.1615,2.7101,0.5202,2.6484,0.2869,9.0166,1.0713,2.5662,33.1915,7.8471,101.9739,1946.7179,181.6091,114.2591,48.3415,112.6713,88.2336,105.9704,3.9571,570.2937,378.9569,42.2127,15.9981,24.5007,44.9283,0.4702,0.3573,35.5636,22.6319,14.1696,1.5353,0.2605,7.7223,680.8294,105.5641,196.9355,43.464,1.3736,1280.9334,0.0
IDN_C27,3.8646,46.2002,254.7384,102.316,44.7471,32.8738,53.5596,9.673,118.4945,13.5088,110.5346,8.9595,25.7082,46.8265,31.5703,120.7239,1200.835,2834.579,1017.2422,519.3457,1379.4408,86.1201,180.7232,45.9277,4265.7173,1155.8095,636.1119,115.0979,181.425,167.0985,23.6223,22.6805,117.7928,46.681,79.1161,1.8084,52.6037,2.7033,254.3567,430.2716,154.4607,36.9793,8.142,1291.1641,0.0
IDN_C28,64.3268,8.3301,156.7833,244.4072,75.5601,48.0051,73.6753,33.8111,138.509,26.8864,38.3694,4.8542,34.9846,24.1911,19.2455,145.5471,43.7001,70.9416,1518.5968,39.7975,292.3201,178.5492,2.6649,70.0697,1195.1813,176.3005,24.5739,16.2739,56.4558,31.6856,5.2102,1.8683,49.2819,0.7336,0.2916,1.5172,0.0525,12.0495,553.7989,3.7604,16.6414,4.5939,1.5994,56.3542,0.0
IDN_C29,89.0596,25.6721,96.4307,97.4259,28.1657,30.3835,16.0604,18.8172,50.7415,6.0703,30.4091,11.5361,10.4793,53.186,10.0319,36.7186,2.0225,6.2332,61.8531,1888.127,75.2052,22.0696,17.5776,12.603,785.8312,1560.4193,947.3861,22.6957,97.2489,53.1125,14.4339,60.5764,5.1583,2.6049,1.1667,208.8443,307.2008,7.9154,624.7017,98.5148,22.2648,17.077,19.6218,98.1853,0.0
IDN_C30,9.1637,14.8271,46.2348,22.2741,1.4046,14.1901,9.6172,10.4792,22.5092,6.071,15.4935,4.7289,8.6372,26.8096,4.8166,13.6994,2.2136,3.6719,29.972,1.2626,1599.0001,15.4184,9.5412,7.2836,26.8661,296.9881,136.1924,78.4322,338.2248,37.88,15.708,37.2262,2.0859,1.3598,0.5426,22.7888,58.2921,0.942,127.8411,0.0458,6.9398,2.0291,0.9517,3.5729,0.0
IDN_C31T33,18.5102,53.5811,13.3648,23.8355,2.3373,9.6272,5.7523,26.2928,18.5881,1.1654,20.7269,11.5255,7.9819,4.8208,1.6655,13.1481,39.8677,101.9705,3.0812,8.9334,35.6533,549.2374,11.8419,7.1906,70.851,192.8164,129.0264,142.7522,410.513,118.0089,5.916,1.7075,29.3853,2.1378,19.7118,111.1227,83.286,4.5575,560.7233,163.661,215.554,302.4509,74.8228,17.7621,0.0
IDN_D,28.24,97.3265,254.0704,95.0919,85.8762,352.9734,514.0635,142.1411,243.7925,198.5393,866.169,52.949,336.5433,1278.2469,308.1001,450.0933,110.6816,408.6117,274.3533,29.574,143.1114,377.8548,21342.9713,238.7524,1334.6627,3155.7234,548.7524,88.9705,455.1823,787.1231,295.6654,277.5303,746.6996,532.8388,1273.8158,469.1341,832.4335,11.8279,716.1712,959.5658,540.4342,488.882,130.0805,437.3496,0.0
IDN_E,2.931,1.0509,13.8308,11.0336,3.6056,31.7796,7.9809,2.0917,16.1006,4.5217,34.2231,10.1785,9.4101,15.8365,27.2575,15.1203,7.9317,17.9244,26.0805,1.3382,22.5472,19.6823,3.1651,254.507,15.1158,167.7758,24.0798,12.2371,13.9974,41.5354,0.9315,8.2705,5.617,2.3296,0.2499,12.4431,10.5746,0.3357,150.8106,34.3504,22.3455,69.3592,20.5531,3.3082,0.0
IDN_F,623.6525,16.1387,414.8503,144.5297,56.8804,28.0141,85.771,9.1549,26.6629,67.9421,8.3399,2.286,3.548,63.9718,26.2112,13.0097,28.0811,0.0012,0.291,3.1832,21.7416,36.7212,6.3543,198.6104,2453.4465,2678.8038,79.8882,18.8306,74.106,349.7593,15.5327,9.0534,43.7668,29.7414,32.8972,459.0568,8880.1893,14.7229,606.3035,2081.1564,587.0276,75.5953,8.8805,2.5831,0.0
IDN_G,3371.2564,1033.2488,465.8234,500.6912,166.32,19390.4496,6901.7597,1813.4731,1499.1861,1552.0179,4161.4051,186.9862,1885.4839,1613.9553,744.5375,1254.5992,2857.142,2440.1995,2654.5176,3006.1157,2466.1462,2756.7304,1897.7603,382.856,20452.25,14432.3542,6613.1488,834.6288,2344.7348,361.3088,337.6219,9506.3305,759.2749,127.9223,377.9989,1014.2285,1460.4547,87.0322,5302.0019,1382.6589,1340.7095,1745.7753,190.2564,1513.0799,0.0
IDN_H49,266.4326,82.4155,572.0232,460.8169,108.8498,1381.7381,378.7791,285.5538,556.2113,359.4145,552.6935,47.3453,204.2891,558.3329,353.3258,321.0638,215.8041,113.1772,130.9612,53.8487,155.6377,467.9115,372.1422,180.9289,6441.9602,7996.9056,268.8361,78.2089,214.753,97.9535,283.1931,401.2841,124.2788,41.8291,20.0622,204.2399,166.8606,27.9104,955.1613,1504.2259,437.7753,276.6108,59.8524,94.0719,0.0
IDN_H50,41.8874,11.8223,468.8015,84.5805,15.1504,223.8677,102.615,126.619,52.8485,157.9204,80.3173,2.6286,31.2802,244.23,75.6236,45.102,20.0754,17.5774,30.4485,10.6086,37.7133,45.3518,69.5911,15.8785,314.811,1124.9784,41.0904,13.356,34.0752,194.0797,98.2098,74.045,34.2861,11.0048,3.0933,11.718,11.2011,14.2646,364.8022,32.2436,14.0684,14.2159,1.8444,12.7089,0.0
IDN_H51,68.1649,17.268,172.0513,65.1811,32.1447,330.6897,146.0788,55.1213,82.1619,95.8611,247.7183,24.9087,74.762,181.316,100.883,131.9613,65.201,56.5516,74.3458,19.2559,68.7972,145.4315,82.092,18.3373,755.4711,2578.9688,180.2271,39.1874,237.1677,166.6094,88.4215,78.9772,81.8933,15.2205,13.786,274.2154,312.4014,15.4712,518.4558,1881.2762,180.8799,60.8059,12.5057,20.7122,0.0
IDN_H52,57.2994,15.4497,599.2678,24.4435,14.6467,164.9936,48.1823,32.282,31.523,49.9104,103.1382,15.3961,24.326,308.9314,48.2222,33.0338,70.8644,163.7522,52.3,8.1035,31.9253,287.5684,44.3454,63.1138,1578.8794,2012.2253,1568.8084,936.2614,1966.8789,745.6729,12.0171,50.0534,18.6461,3.4959,1.899,7.9516,13.5676,4.1705,66.9316,15.8675,16.4969,6.2797,2.1199,9.0981,0.0
IDN_H53,0.2275,0.1325,0.0646,0.0896,0.0602,0.5237,30.9873,0.0871,40.1882,0.0513,23.8982,0.0339,11.6626,20.0948,0.0141,0.2173,0.0689,0.085,0.0971,0.0245,0.2537,6.6331,0.0661,0.3618,36.6954,937.9305,2.5905,0.3028,33.4526,22.8813,0.8958,3.3808,32.367,0.2464,0.8528,11.4993,0.2905,0.2557,75.4463,56.3176,15.1187,3.0555,0.0598,1.8822,0.0
IDN_I,9.3968,19.9194,26.6949,19.2293,22.9967,185.8169,52.2235,31.6011,50.7602,21.5515,79.1265,24.6558,61.0579,93.1486,11.704,23.7044,118.1547,57.0773,49.5956,18.5022,72.7558,146.5739,32.1018,12.143,1007.9326,2921.6052,394.0613,84.7305,768.7655,69.5047,17.4645,31.2299,123.377,14.8229,6.8054,344.051,238.3809,27.4489,865.6317,2200.5784,994.4207,288.259,44.0598,10.1891,0.0
IDN_J58T60,0.7762,0.0384,0.4095,0.3757,0.0076,924.5004,41.5119,7.0703,36.8136,19.5229,257.8335,29.0318,118.2405,48.8783,0.4459,1.9666,33.3278,49.7695,26.3408,50.4654,115.7941,80.3837,51.0327,0.0695,65.7502,896.3048,140.3578,39.1699,310.5539,115.6415,2.7904,10.472,1606.567,92.3883,314.4814,404.462,1494.9222,213.3187,2548.592,189.912,175.609,44.3423,84.4711,9.1666,0.0
IDN_J61,45.4026,5.3913,59.5851,15.9361,32.9152,189.6221,54.8178,63.019,80.9179,19.6376,160.7365,21.5689,77.949,129.8973,12.4792,31.7683,59.4068,85.5557,209.9003,16.8415,23.1498,157.793,64.1759,27.5791,814.4683,4847.7038,428.2348,356.3128,800.5701,366.4514,166.4541,72.1873,289.1055,1283.1776,957.9532,582.9038,864.2795,55.5367,939.8985,123.8129,154.4787,61.9273,29.7752,95.4954,0.0
IDN_J62_63,3.4125,1.4857,32.8451,24.5526,4.7007,13.4459,7.3639,13.5147,0.8185,2.7935,13.9465,9.4521,4.4411,17.0068,1.1764,9.2325,0.0334,0.4012,2.2597,10.0147,2.8484,8.0757,12.2766,5.3939,66.1194,1125.0351,92.0526,30.8834,81.5037,57.6116,19.2084,7.343,231.5188,206.1603,784.2219,540.0981,622.7841,103.8852,1159.9334,103.5916,105.1307,49.6027,35.1769,45.4264,0.0
IDN_K,1234.3309,391.9021,611.0996,231.0498,62.8352,1134.967,330.0725,104.4618,205.4183,370.3638,517.8784,24.2544,211.6984,269.5212,73.8902,162.5412,223.1246,253.0772,279.6018,136.891,265.565,351.6276,1090.8001,48.2218,1371.724,14122.7296,513.4286,127.2826,422.4852,210.4332,81.9483,460.8449,228.5994,181.9943,111.9653,4342.8045,2443.2518,36.0607,2258.8254,290.6737,125.0541,357.6406,57.8394,196.8618,0.0
IDN_L,0.9658,2.4597,228.095,179.5216,38.6035,140.0369,45.2643,20.1565,82.3462,43.1444,139.2049,21.0284,57.2411,150.3777,16.9835,59.3267,15.0368,11.77,14.681,7.9204,52.8598,146.3573,0.0832,43.4411,1676.2631,9231.165,323.0278,55.2947,280.649,72.5262,49.5763,266.4435,144.0384,152.6143,144.8438,740.5206,412.7347,66.9192,992.2598,239.5782,587.8814,230.9284,65.2154,531.4535,0.0
IDN_M,7.4464,2.8658,25.3408,42.0488,6.208,144.9833,17.4876,13.1518,12.7303,9.8537,15.9353,4.47,4.2288,92.7607,1.8271,3.2332,57.433,0.4774,0.036,13.2639,3.4198,8.7951,0.2257,9.5691,63.964,760.1664,83.87,44.4856,160.9353,49.8339,12.5868,6.1984,165.7334,81.6234,123.9779,386.3458,712.1774,39.6581,457.9137,185.0772,21.1352,50.0806,15.1373,2.0093,0.0
IDN_N,169.3638,27.4646,745.9767,399.0702,110.2536,268.3644,82.378,125.6683,98.749,388.6237,205.456,93.0496,64.6926,99.2548,35.058,77.8321,290.5496,283.2238,504.5761,74.3862,291.246,199.5196,675.6009,162.4235,4791.4668,6076.5333,1037.3888,297.1092,915.8992,379.6984,57.9601,124.7575,922.5849,684.7891,451.3278,1926.5146,2618.8324,86.3222,2354.2428,1462.4654,1169.4207,943.7884,144.918,514.3393,0.0
IDN_O,31.0038,0.7731,73.0585,8.734,2.5826,45.9881,15.4521,7.4637,21.2775,7.4105,62.3168,2.2753,39.7494,12.9776,3.604,7.0199,20.0764,35.026,8.8382,6.1445,16.9664,17.91,29.4075,63.7225,61.8776,226.8802,235.2334,26.6746,122.2227,43.2397,11.7471,67.3452,109.3657,175.6952,108.299,102.7863,706.6986,40.7194,284.8813,72.5507,43.2474,21.02,1.3437,0.9254,0.0
IDN_P,0.0,0.0,10.4906,0.8139,2.3725,3.3356,1.7381,6.372,4.3216,3.2972,23.0191,3.3416,1.1719,10.5525,1.9037,0.8011,8.1675,27.8858,17.0806,1.6979,1.478,3.1983,3.3147,6.8486,27.5285,143.0926,101.0019,16.0176,99.3981,18.3278,4.4509,2.8363,4.2553,4.9323,0.3459,225.5627,0.0008,3.0332,355.5532,46.5228,152.9362,41.6771,0.4278,0.5287,0.0
IDN_Q,1.2112,0.5598,19.8892,6.1844,1.8752,2.8603,8.6765,0.0074,13.0222,1.7921,54.052,19.9651,2.7665,10.3885,0.3865,0.7753,2.6449,0.0002,0.0325,0.5538,0.7993,0.9705,0.0176,1.0799,0.0169,275.6589,80.1344,30.925,84.519,71.4203,2.3562,3.3294,4.6005,12.8375,14.3433,91.5301,102.1793,0.3372,140.389,0.8307,60.6511,43.1989,2.1686,0.3546,0.0
IDN_R,0.0,0.0,0.0998,0.0,0.0,100.028,0.2742,0.0059,14.4729,0.2284,0.0024,8.0032,3.2258,0.3822,0.0001,0.0043,6.1799,6.5705,0.0009,4.9792,6.1439,0.0036,0.0411,2.6407,0.0305,80.9301,8.0403,0.1692,4.4975,4.3087,0.0001,0.8956,670.2419,0.0344,12.3276,6.474,133.609,22.8542,17.54,18.6605,15.6636,1.8158,6.8398,2.1492,0.0
IDN_S,36.2089,0.7379,16.2136,9.2504,0.5988,1.4803,0.7288,0.1716,6.5079,37.2065,12.2133,34.6395,18.2693,2.712,2.2929,1.5343,100.1024,0.0554,0.1332,6.3598,0.8095,1.9734,0.0138,6.4265,74.7799,21.1356,20.8891,6.4135,18.3422,32.6296,4.2823,0.4325,4.0878,0.0406,0.1609,22.6345,0.6839,0.7317,42.724,166.1615,87.4512,27.0301,0.4586,7.0095,0.0
IDN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
