V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T
CAN_C20,2341.8088,15.527,335.7195,345.6602,50.1455,279.1914,181.6603,254.3277,687.79,315.685,4259.1055,598.8377,2430.4765,226.5583,550.4515,171.888,37.0359,86.889,131.3593,290.3689,63.0217,197.4812,129.8339,37.2139,1298.7762,408.6688,152.0883,8.5947,49.7283,84.5383,22.5207,128.0652,113.1449,36.9944,71.2556,196.3328,113.372,259.0434,412.6927,348.1667,190.6489,586.3154,44.7593,293.9722,0.0
CAN_C21,36.5612,2.9699,14.9812,7.9435,2.4346,34.387,3.0993,7.2571,13.1529,5.4698,54.7895,352.2269,29.5921,6.6692,11.3856,7.4911,2.5095,2.0072,7.187,9.9634,4.8377,12.2181,7.4407,13.2002,78.8469,43.6585,7.1529,0.4785,3.3354,4.1356,1.0277,17.0171,8.2542,5.0879,5.1415,26.3287,13.4307,24.375,14.8644,1644.4807,23.146,659.441,8.8327,16.7232,0.0
CAN_C22,582.5778,41.7886,162.4812,124.3952,29.9061,832.5143,90.2941,223.1462,415.4569,88.2736,259.0631,55.545,1413.539,149.6797,160.0506,286.8873,76.5147,40.5952,154.8912,1718.8824,53.4015,444.1269,79.829,20.1899,3982.5251,694.9447,284.8539,7.7929,27.3103,259.1147,56.6401,187.5903,31.611,12.5937,38.5933,104.5763,59.1889,144.6802,106.8225,245.2882,83.7257,179.1667,123.9448,105.8444,0.0
CAN_C23,42.0337,3.2594,73.7547,95.6081,117.8265,206.4669,10.4818,59.2552,65.2483,38.0563,100.6321,23.4101,143.268,2542.6455,282.0223,155.5992,15.5925,31.5818,39.6053,724.072,101.1174,81.9245,13.9744,13.5169,8204.1607,116.6662,9.4251,0.5087,3.3405,7.4086,1.458,75.5318,15.6474,13.9513,15.1985,78.0274,40.2721,69.2648,50.9162,91.3858,25.7864,87.6347,12.5023,19.5585,0.0
CAN_C24,190.4067,4.66,715.3143,139.7847,254.4682,27.3445,10.1882,35.3135,72.5195,12.7001,275.1539,22.0018,176.7117,79.9304,8585.3588,3173.7457,39.5036,827.0492,1741.4777,1487.5479,626.7594,695.9077,13.2699,3.8422,1069.6287,120.2396,19.3872,3.5131,4.6317,34.9183,2.0576,13.8665,17.5656,10.0803,11.5702,58.2585,29.7271,57.0989,60.5065,46.6475,39.1517,117.4357,12.9994,32.7965,0.0
CAN_C25,154.2951,17.1344,387.3685,155.1847,52.9344,366.6285,12.1628,126.7123,68.2001,34.5959,65.7827,12.425,135.3081,128.6022,473.0667,1559.6631,128.1071,121.5148,620.9484,2575.1903,505.3983,313.7673,47.9285,110.8505,7335.5056,225.6566,140.7266,3.8412,19.4248,78.1717,14.0018,180.7497,86.5448,74.4846,124.3377,238.1919,302.0901,416.2494,522.1787,477.7883,129.2233,419.4045,133.6609,114.7543,0.0
CAN_C26,27.4249,3.6407,67.7934,11.798,44.0323,21.3804,1.8811,7.0549,14.0946,4.3534,8.718,3.5158,7.887,6.5033,8.856,11.81,417.6662,85.5001,102.445,241.5215,37.0142,24.2736,9.6974,20.5039,506.455,72.6047,21.2321,2.3439,4.8767,14.3793,3.3738,24.9568,96.7949,483.4308,78.3592,61.743,28.5373,124.5001,56.7958,147.4425,87.4052,326.4903,24.5141,17.5896,0.0
CAN_C27,65.5266,6.8028,44.4165,26.9986,27.7617,38.0796,2.3371,28.7989,25.4569,9.6254,13.1916,3.2265,11.5533,15.5448,71.02,48.7257,80.5217,220.6529,73.7234,174.6006,45.211,19.8164,23.2835,21.7193,1534.3198,63.207,38.7789,6.2249,3.056,31.7554,5.376,28.3738,27.2238,79.6383,54.9012,51.9774,75.8025,106.2444,165.167,52.0231,72.5077,205.2954,24.5791,45.6767,0.0
CAN_C28,169.3632,22.7129,1007.3863,355.9338,189.9801,193.4234,11.4414,88.9696,104.6639,39.5655,61.2539,15.4602,62.7643,64.5166,101.359,149.282,47.0906,33.013,1550.4065,273.0961,164.2925,115.4505,56.6855,60.426,1992.748,189.2225,57.9513,6.7974,12.9474,78.3712,16.4761,131.8426,206.1661,65.4423,66.645,140.6414,135.0546,206.2461,256.997,300.82,103.9138,373.8518,114.9483,71.0433,0.0
CAN_C29,76.1067,6.233,127.1943,26.1636,6.0217,54.908,4.6539,10.7633,32.2504,10.9365,17.7852,4.637,35.4135,13.3108,26.1454,65.9126,10.2752,4.1648,61.361,10601.4837,385.9408,129.493,15.9889,26.1791,328.2802,513.2124,563.3434,7.3614,27.7875,463.0618,94.8784,57.2443,30.9611,11.7572,58.915,119.3892,67.6715,161.6265,177.7531,374.8439,59.0837,188.6068,67.2625,94.5312,0.0
CAN_C30,38.1352,20.3091,71.2617,21.8859,5.5694,108.0227,3.8983,21.6727,37.8964,30.5753,40.4186,9.5022,31.5203,30.7427,35.5735,23.4927,17.0816,10.2974,54.1795,78.1256,2998.4107,38.3412,22.8569,9.9248,120.8884,486.8792,269.3089,45.4719,479.8239,279.6438,40.5471,166.806,26.7532,17.7878,44.2027,145.7495,73.2457,77.7328,125.4516,230.8358,48.875,115.7361,181.5385,55.9719,0.0
CAN_C31T33,158.5444,10.2134,39.451,16.7038,7.6263,317.0687,56.0362,163.1844,238.0098,81.6874,143.2771,32.3575,140.1852,128.3507,315.1744,249.3127,41.8243,36.5338,145.5487,138.6596,118.6203,609.6701,73.0987,713.3094,2731.4352,271.6519,36.0798,1.6506,118.3286,20.5376,8.7572,489.4472,128.9639,28.8422,56.7721,94.2922,57.143,449.8332,107.8872,2472.8801,86.7122,1663.3696,295.5069,177.1748,0.0
CAN_D,1425.4551,4.9918,971.7682,619.2163,101.8167,614.0237,37.8152,336.1825,953.6738,233.5783,646.7509,84.0474,325.2692,275.6916,879.6135,242.467,58.9031,42.8788,151.1867,279.3873,85.2822,173.7665,71.804,34.2643,373.8143,1623.5393,348.4136,1.9606,26.611,129.4903,46.9402,503.6617,169.0577,191.7018,122.9095,1027.9891,995.2968,395.3118,287.3067,1589.369,717.2255,1100.6776,265.4336,420.873,0.0
CAN_E,25.6961,0.7542,595.3714,19.9394,2.7627,143.7504,11.5202,24.3356,116.7422,44.7923,237.5117,8.1622,71.8082,41.0702,72.335,81.8728,11.2303,26.2984,42.9401,62.0683,56.1863,91.235,12.7431,14.7395,266.2809,1562.7219,156.6836,4.1169,57.9673,104.987,23.9963,285.287,45.8099,24.175,85.902,586.4277,873.0383,161.4841,111.1588,2515.58,328.1755,652.318,113.8337,280.266,0.0
CAN_F,782.8148,2.9163,1851.2643,338.0986,15.5568,185.9,15.5667,26.1963,178.9934,82.811,319.0325,60.8034,69.2477,120.4307,132.9412,83.9261,35.2341,37.442,155.6648,74.3925,141.9896,89.1504,1727.0487,309.9929,317.6586,1710.0426,1857.9278,120.9513,21.6635,1691.892,30.5617,547.341,58.6124,269.4984,192.2177,1373.3591,15866.1863,377.1863,348.7437,5071.3388,1793.5932,1318.2391,426.9617,157.4526,0.0
CAN_G,4592.3608,228.3559,2044.1931,1017.3289,489.0673,8663.4212,637.2666,1018.5625,1747.3366,880.2808,2370.4107,910.5608,1772.7274,1176.6413,1526.6678,1496.1557,613.0733,442.0165,1728.1483,5431.8278,1073.8665,1530.1727,439.3534,1419.1039,13926.2621,4065.556,2719.39,108.5155,634.2811,824.6964,462.1377,6502.5361,1287.4611,1081.5534,1418.0613,3246.623,1599.9445,2908.931,3978.0473,7439.9669,1898.1608,6760.8009,1253.3503,1502.9406,0.0
CAN_H49,2377.3898,73.1482,825.702,297.2359,219.8389,2440.833,105.2665,1021.0697,713.4142,2166.1449,710.556,144.8949,446.491,580.1416,1281.0815,516.0851,117.6635,209.27,527.1134,1289.7935,184.0823,503.9499,342.4807,34.7125,3449.6755,3360.9292,10340.5037,66.9929,192.686,3851.349,997.7486,441.4813,153.4658,93.3718,166.301,515.3149,322.0222,529.4571,443.46,1169.3728,3197.7043,446.3152,151.9416,232.4112,0.0
CAN_H50,36.2822,0.8333,18.8325,1.521,3.2545,58.742,5.4263,11.6136,6.0252,50.0756,32.2398,4.8412,23.3926,12.5039,59.1317,20.1318,10.0721,7.0572,22.2134,110.0018,20.5027,13.9501,4.105,0.5085,47.9823,41.5654,34.7477,6.7845,19.6059,4.6508,2.2013,18.123,3.8284,9.4753,3.1278,8.2055,4.4421,6.1739,4.8907,20.0585,3.6578,13.5156,1.7639,3.0961,0.0
CAN_H51,125.9774,8.0328,92.7455,35.8556,20.2387,210.6092,16.506,52.5762,65.0656,134.7706,93.3447,22.8714,68.5963,44.6368,144.6878,73.1172,36.3232,25.2858,90.1598,235.7062,59.9629,90.8315,31.4734,42.3338,440.4553,274.2854,178.9431,31.5123,136.3478,59.6947,101.8826,106.9458,71.5657,72.476,118.5639,319.8979,194.8406,406.9135,227.5913,397.346,143.9278,220.9128,67.0492,72.3708,0.0
