V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T
ISL_C20,2.5775,0.7085,0.013,0.0256,0.0008,1.6099,0.39,0.0977,1.2338,0.0195,4.3828,3.6425,2.6309,0.476,1.5139,0.4372,0.0144,0.1096,0.4766,0.0209,0.0381,1.5754,0.5231,1.5614,15.0158,1.043,0.083,0.1737,0.8164,0.1301,0.024,0.7337,0.8798,0.0746,2.3084,0.2451,0.4454,2.422,3.6838,0.3261,0.2867,1.609,0.1527,2.4658,0.0
ISL_C21,0.0205,0.0308,0.0001,0.0012,0.0,0.207,0.0027,0.0019,0.0053,0.0,0.0034,0.6545,0.0032,0.0119,0.0653,0.0093,0.0012,0.0077,0.007,0.0004,0.0006,0.0152,0.0347,0.0109,0.1172,0.0961,0.0111,0.0147,0.0756,0.011,0.0014,0.0313,0.0226,0.0071,0.0313,0.0363,0.0936,0.5522,0.0399,0.0469,0.2938,27.4253,0.1076,0.0292,0.0
ISL_C22,1.2076,2.2717,0.0042,0.0351,0.0003,7.52,0.0647,0.0338,0.0688,0.001,0.107,0.0889,1.9398,0.3766,0.282,0.2556,0.3239,0.3625,0.2999,0.0278,0.0433,1.8173,1.3357,0.6739,20.9257,8.9337,2.2925,0.3431,0.7979,0.3795,0.0522,1.3914,0.4583,0.2682,0.4379,0.3384,0.4894,0.7251,0.8837,0.4269,0.4909,0.7462,0.5327,0.3189,0.0
ISL_C23,0.0,0.0,0.007,0.0,0.0008,3.1776,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,35.9403,6.9352,0.0,0.0332,0.4419,0.0,0.0276,0.029,1.8328,0.1741,0.1438,203.726,0.0463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7538,0.0,0.0,0.0,0.7602,0.0,0.0,0.0
ISL_C24,0.0,0.0,0.0515,0.0,0.0023,0.0611,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,376.9849,32.5358,0.8619,1.1521,10.1536,0.363,0.2586,17.1935,10.533,3.0327,87.0723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_C25,1.7301,3.2955,0.0406,0.0072,0.0021,4.0733,0.0,0.0237,0.0,0.0031,0.2047,0.0,0.0037,1.6401,3.3502,20.1314,0.4333,1.5552,9.2059,0.2193,0.7389,6.2334,20.0421,2.3803,156.6966,0.0,0.0,0.0,0.0,0.0,0.0,0.0548,0.0,0.0,0.0,0.0,0.0,0.0455,0.1078,0.0,0.5043,0.0,0.0,0.0,0.0
ISL_C26,0.0078,0.383,0.0002,0.0017,0.0,0.0818,0.0021,0.0018,0.007,0.0,0.0043,0.0046,0.002,0.0094,0.1523,0.0129,0.1517,0.0104,0.011,0.002,0.0088,0.1627,0.1604,0.0199,0.0744,0.2927,0.1021,0.3078,0.647,0.0515,0.0207,0.1785,0.1479,1.7736,0.8046,0.2117,0.4404,0.5226,0.287,0.1853,0.5072,1.0713,0.054,0.0789,0.0
ISL_C27,0.0011,0.0651,0.0013,0.0075,0.0001,0.3151,0.0042,0.0,0.0,0.0002,0.0,0.0,0.0165,0.1228,44.8583,0.1188,0.0346,5.7876,0.3612,0.0227,0.0205,0.9375,10.7215,0.0772,4.2893,0.2411,0.0134,0.0157,0.1465,0.0066,0.0076,0.0303,0.0313,0.427,0.0888,0.0177,0.2369,0.0862,0.8887,0.0364,0.0,0.0,0.0,0.0058,0.0
ISL_C28,5.4174,9.8087,0.0385,0.4908,0.0021,18.4833,0.1126,0.4563,0.4092,0.0028,0.3263,0.1743,0.383,4.4095,13.1995,2.3137,0.0827,2.4393,23.8992,0.096,0.2733,6.8659,10.1063,2.3,92.5114,1.0458,0.2095,0.869,1.6289,1.429,0.0,1.8569,0.3302,0.0,0.0,0.0,0.0,0.0,8.6644,0.0,0.0,0.4138,0.0,0.4917,0.0
ISL_C29,0.0646,0.0425,0.0003,0.0626,0.0,0.2721,0.0063,0.0032,0.0105,0.0,0.0067,0.0088,0.0062,0.0236,0.1144,0.0216,0.0027,0.0172,0.0254,0.0254,0.0012,0.1244,0.0456,0.2259,0.2628,0.672,0.8427,0.0581,0.1023,0.1273,0.048,0.1942,0.0268,0.0847,0.0618,0.1105,0.1853,0.1031,0.6869,0.1396,0.0331,0.0503,0.0349,0.0421,0.0
ISL_C30,0.0,1.4491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595,0.0948,0.0,0.0,0.0,0.0046,0.0,3.6174,3.3554,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202,0.0396,0.0,0.0,0.0,0.0,0.0
ISL_C31T33,3.7257,12.5383,0.0845,0.4247,0.0039,13.8853,0.2026,0.2561,0.8991,0.0102,0.3932,0.334,0.3397,2.3386,14.9603,1.991,0.1578,1.0522,3.3055,0.0364,0.1472,39.5711,11.6637,2.8248,22.7232,29.5355,3.6239,8.5398,63.3178,3.3109,0.4844,25.1701,1.8845,3.7434,3.776,3.0285,4.2521,7.4871,11.1828,10.3443,9.852,15.6085,26.8188,4.2274,0.0
ISL_D,17.9246,4.224,0.1839,0.3465,0.0053,64.8629,1.2912,1.2322,4.9954,0.059,3.1916,3.3781,3.1767,10.6475,204.7489,14.0359,0.5894,3.1923,10.0155,0.139,0.1423,13.3013,134.5004,10.0723,33.3831,81.22,3.5355,10.0312,41.6391,16.2297,5.2484,65.7276,12.9301,26.8906,23.7257,30.1651,59.5475,35.9568,38.9961,57.7136,42.1695,24.9984,9.6717,17.3513,0.0
ISL_E,4.5957,1.6487,0.0291,0.0482,0.0011,26.2197,0.2068,0.6534,0.7666,0.0064,1.1055,0.1952,0.914,2.537,68.2291,0.4864,0.0463,0.2736,0.5144,0.0134,0.022,1.2678,10.1279,37.8133,7.7438,11.2308,1.5693,2.8751,5.0668,2.1895,0.4014,14.955,1.0322,2.1338,1.5582,1.9062,5.0541,7.2863,4.9837,1.8776,2.9707,8.1029,0.9512,2.6561,0.0
ISL_F,0.3198,0.3867,0.0502,0.6771,0.0022,4.1132,0.0508,0.0561,0.1512,0.0085,0.0869,0.0925,0.0501,0.1981,1.5845,0.2605,0.0324,0.1935,0.3499,0.0098,0.0158,2.0924,1.902,0.4984,168.7343,2.6917,0.622,0.4109,2.5787,0.3874,0.0753,1.0455,0.4411,0.3852,0.7218,0.8693,268.1223,2.3346,1.1069,0.6275,0.2832,1.0205,0.4103,0.6597,0.0
ISL_G,28.64,61.3801,0.1863,4.1693,0.0117,230.8729,7.1665,3.0537,8.2868,0.2274,7.1349,6.8753,5.4098,17.7361,71.8926,11.2706,2.1991,7.1304,15.321,1.3844,0.8316,46.3726,34.3527,18.922,237.5171,131.481,42.8692,47.0274,133.2839,11.8446,3.4568,103.2054,15.0167,25.1661,17.3821,12.1891,22.3361,20.8279,69.0545,23.3382,35.2094,70.522,24.1916,10.5159,0.0
ISL_H49,2.1066,3.7842,0.3,0.2831,0.0099,20.267,0.4176,0.2345,0.6035,0.0862,0.5048,0.4759,0.4501,1.5886,12.6439,1.8595,0.1275,0.6669,1.519,0.0537,0.0768,5.6488,4.0117,1.0846,18.8674,8.5395,16.8205,3.5944,10.469,38.8051,0.2445,6.8191,0.8741,0.7918,1.8039,2.101,4.3282,3.7356,2.8576,3.025,3.8577,7.5632,0.8459,0.6617,0.0
ISL_H50,0.8435,7.8312,0.0285,0.9332,0.0006,9.7675,0.4512,0.3416,1.0097,0.015,0.3875,0.3789,0.8262,2.7172,29.1344,1.6708,0.1974,1.058,3.8118,0.0473,0.1504,3.9649,1.1692,0.7267,7.5723,140.8827,7.3496,24.1878,5.491,8.9798,0.0907,6.5831,0.9251,0.5479,0.413,0.2392,0.4104,0.8098,40.0095,2.715,0.599,1.8492,0.331,0.2619,0.0
ISL_H51,2.5741,5.852,0.0146,0.369,0.0009,13.6766,0.5535,0.2539,0.69,0.0187,0.6977,0.6557,0.5964,1.5923,13.7273,1.7394,0.1745,1.0108,1.9402,0.0718,0.1036,3.4666,4.0355,1.4194,24.2431,18.8171,3.0361,5.1585,38.2387,1.6393,0.3992,5.6898,1.3913,1.8314,1.9011,2.8838,2.2713,3.0886,15.1466,4.1048,2.5327,4.7938,1.5755,1.3795,0.0
ISL_H52,0.8743,19.199,0.0295,0.0966,0.0016,7.1298,0.1068,0.1749,0.3123,0.0165,0.2407,0.2414,0.2129,1.4371,4.1432,0.883,0.1104,0.4573,0.9261,0.0275,0.0293,1.6855,1.6597,0.6603,6.7639,40.4563,16.1696,34.8418,200.8405,72.2157,0.4225,5.7194,0.8507,2.114,1.4101,0.8487,3.2782,1.8289,11.6106,1.5176,2.1157,2.9889,0.8354,0.8815,0.0
ISL_H53,1.0796,1.5558,0.0034,0.0623,0.0001,4.5721,0.128,0.092,0.2858,0.0006,0.1737,0.1848,0.1442,0.6066,0.6072,0.4523,0.0737,0.3448,0.6829,0.0178,0.029,0.9351,1.826,0.9301,7.0295,19.4713,0.5498,1.3976,4.0319,1.3769,17.4793,2.0125,1.5986,1.4832,2.4462,3.879,11.2541,6.3739,5.0217,3.5919,3.9006,2.4402,1.8927,2.7428,0.0
ISL_I,0.5549,0.4448,0.0377,0.038,0.0018,4.8655,0.0604,0.0286,0.1556,0.0051,0.082,0.0876,0.1245,0.4692,3.9876,0.4654,0.0575,0.3845,0.4005,0.0189,0.0227,2.242,2.0263,0.4828,7.4211,11.0669,1.0468,2.3708,11.8061,1.3773,0.2445,142.166,1.9601,1.2545,2.3148,4.3225,9.4873,4.7324,4.3638,24.0638,4.4075,1.7481,2.4236,2.5311,0.0
ISL_J58T60,0.0262,0.0302,0.0014,0.0003,0.0001,2.3996,0.0437,0.0248,1.2205,0.0005,0.04,0.0532,0.0241,0.146,0.0035,0.1967,0.0385,0.1901,0.2492,0.0109,0.0142,0.4646,0.5394,0.1496,0.6369,13.3902,0.6065,0.4062,6.9357,0.7436,0.2841,3.5572,77.7455,0.4419,1.7812,3.1583,3.1914,2.5241,4.1418,4.3625,11.2051,1.013,4.6174,1.4866,0.0
ISL_J61,3.292,4.1767,0.0197,0.1666,0.0006,11.843,0.35,0.2597,0.557,0.0022,0.3148,0.3352,0.3801,1.1914,2.385,1.641,0.1716,0.9401,1.9204,0.0503,0.0821,3.0308,3.395,3.1703,26.7253,45.8468,1.8872,5.5665,20.4819,5.0219,1.7902,13.6794,5.3546,60.8966,10.6877,12.7084,51.9891,30.1654,22.5339,20.882,16.6425,6.3544,7.0033,10.4976,0.0
ISL_J62_63,0.0744,1.8248,0.0279,0.1046,0.0008,7.2608,0.1115,0.1354,0.7425,0.0069,0.2783,0.2821,0.2657,1.3785,9.1645,0.9198,0.0155,0.5683,2.3474,0.0282,0.0275,2.0995,2.509,1.8927,7.046,19.789,1.25,3.1751,5.0162,4.0156,2.149,8.4774,7.796,12.0504,193.9685,29.1578,56.973,51.8257,16.9684,71.9768,57.2871,5.852,3.29,14.2374,0.0
ISL_K,16.2327,29.3812,0.1553,1.1234,0.0044,121.8089,2.3643,1.5849,5.0133,0.0261,3.5333,3.7506,3.4052,11.404,54.7649,11.5306,1.0562,6.7464,12.9356,0.3581,0.5113,16.2418,24.1345,7.043,149.097,130.6353,14.9835,32.8777,154.7387,20.9321,3.9669,57.3398,21.9931,23.8625,31.7412,301.6038,122.8782,61.8769,57.8601,20.5991,33.4605,16.3055,21.4425,27.9835,0.0
ISL_L,1.8895,0.4756,0.0097,0.072,0.0003,5.3116,0.1414,0.102,0.3486,0.0014,0.2738,0.2588,0.198,0.6626,3.2302,0.5066,0.1298,0.3873,0.6805,0.0182,0.0252,1.7609,0.0,0.0808,2.0807,43.2346,2.4992,1.8677,3.9916,8.7884,0.5211,25.0743,8.1839,4.0601,11.7564,18.5857,94.3139,34.3562,28.1585,8.9175,3.8504,0.0,7.588,19.933,0.0
ISL_M,14.7569,16.5343,0.1821,0.5225,0.0113,69.4955,1.334,0.9332,3.0793,0.0262,2.2251,2.6468,1.6741,7.8022,42.264,7.301,0.7411,4.3106,9.627,0.223,0.2696,13.0547,22.0496,5.6694,129.5454,90.6826,13.4368,16.8861,71.5662,12.9967,2.3887,32.6866,12.3417,12.4752,30.4458,58.4632,103.1141,238.1635,35.483,61.2482,32.3859,31.8733,16.6692,26.6877,0.0
ISL_N,5.5633,7.3908,0.6454,1.5261,0.0355,39.8126,0.6224,0.4325,1.83,0.0663,0.8759,0.9905,0.8763,2.6715,14.974,2.9259,0.4781,2.2116,3.412,0.0741,0.2101,28.36,10.0039,3.76,125.0099,67.4437,10.8209,20.5785,51.5955,10.91,1.362,47.5831,10.9683,6.1892,14.2692,26.5686,45.3358,59.0246,341.955,37.8046,24.4051,29.1332,12.9026,15.4241,0.0
ISL_O,0.0,0.0,0.0063,0.0,0.0002,0.0629,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2519,34.274,10.6967,0.0,0.0,0.0,0.0,0.0,0.0,1.8195,0.0,10.5103,13.4317,0.0,4.5947,0.0,0.9085,0.0,62.3957,63.3053,0.0,18.8153,0.0,0.0
ISL_P,0.4894,0.8585,0.0054,0.0333,0.0001,4.6188,0.0591,0.0464,0.1331,0.0009,0.0585,0.1837,0.0784,0.295,2.9375,0.2896,0.0307,0.18,0.3398,0.0091,0.0146,0.5634,0.8766,0.1629,4.492,2.6262,0.4069,0.6889,3.4,0.5248,0.0744,1.411,0.3428,0.5495,2.7934,2.0579,8.3921,5.0775,2.562,14.8316,340.3728,4.6696,0.1971,0.2501,0.0
ISL_Q,0.3256,0.5523,0.0013,0.0221,0.0001,3.0807,0.0442,0.0308,0.0887,0.0005,0.0562,0.0598,0.0521,0.1954,1.9518,0.1947,0.0207,0.1187,0.2269,0.0059,0.0097,0.3154,0.5005,0.1412,2.9123,1.5897,0.2707,0.4581,2.1703,0.3488,0.0713,0.9403,0.3748,0.3655,0.5182,0.6928,1.5475,0.9793,0.9696,69.6825,0.0,844.2839,0.3897,0.4823,0.0
ISL_R,0.0,0.0,0.0001,0.0,0.0,0.007,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4704,0.0,0.0
ISL_S,0.6155,1.1855,0.0043,0.0429,0.0003,6.6022,0.104,0.0724,0.2102,0.0011,0.1317,0.1403,0.1226,0.4632,4.7621,0.4573,0.0472,0.2809,0.5398,0.0141,0.0226,0.7985,1.3657,0.3949,7.237,5.7139,0.6343,1.082,5.0541,0.8364,0.1806,3.8329,0.7967,0.9263,2.2739,1.8153,3.9943,2.6699,2.3611,1.8488,2.508,2.9654,0.7593,75.0901,0.0
ISL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
