V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T
BRN_C20,0.2382,0.0003,13.4999,6.1052,0.9665,0.055,0.3338,0.0059,0.0971,3.0322,0.0267,0.0,0.0175,0.0002,0.0,0.0099,0.039,0.0,0.0248,0,0.0222,0.019,0.0,0.6734,3.0119,1.4254,0.2529,0.1288,0.9405,0.0,0.1549,0.1861,0.1,0.0,0.1782,0.4329,0.2069,1.0635,0.8707,4.7625,0.3094,7.2059,0.0477,0.1714,0.0
BRN_C21,0.0,0.0,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0017,0.0001,0.0115,0.0,0.0,0.0
BRN_C22,0.0981,0.0001,0.502,0.3951,0.0812,0.0489,0.0712,0.0024,0.0012,0.0825,0.0005,0.0,0.3638,0.0049,0.0,0.0249,0.0702,0.0,0.0463,0,0.1236,0.0444,0.0,0.0811,2.0335,1.4716,0.0027,0.0014,0.0216,0.0,0.5955,0.0533,0.0168,0.5673,0.0244,0.6354,0.0046,0.1046,0.2132,1.9703,0.326,0.2343,0.0065,0.047,0.0
BRN_C23,0.2505,0.0,1.7956,1.1914,0.2451,0.0951,0.0737,0.006,0.0056,0.2476,0.001,0.0,0.9407,0.0129,0.0,0.1133,0.1826,0.0,0.1215,0,0.2048,0.1232,0.0007,0.2122,5.6557,3.9253,0.0045,0.0037,0.0574,0.0002,0.0002,0.1628,0.0299,2.9789,0.0599,1.6925,0.0202,0.3206,0.5613,5.1248,0.8586,0.6004,0.0234,0.0395,0.0
BRN_C24,0.0025,0.0,0.7345,0.23,0.0541,0.0035,0.0132,0.0014,0.0012,0.0,0.0001,0.0,0.0013,0.0,0.0,0.0078,0.006,0.0017,0.0034,0,0.0019,0.002,0.0,0.0165,0.4405,0.2282,0.0003,0.0002,0.0053,0.0105,0.0,0.0072,0.0014,0.0479,0.0031,0.0217,0.0024,0.0153,0.0024,0.0315,0.0526,0.0207,0.0008,0.0101,0.0
BRN_C25,0.0387,0.0,6.1547,2.8364,0.7649,0.0561,0.178,0.0144,0.0151,0.3095,0.0009,0.0,0.0162,0.0001,0.0,0.0084,0.0346,0.0001,0.0385,0,0.0411,0.0425,0.0047,0.0993,2.6309,3.0644,0.0067,0.0026,0.0669,0.331,0.0001,0.0398,0.016,0.5564,0.06,0.2638,0.0291,0.236,0.0886,2.7202,0.2489,0.2526,0.0113,0.0202,0.0
BRN_C26,0.0078,0.0,0.4815,0.1714,0.0571,0.0059,0.0151,0.0017,0.0007,0.054,0.0002,0.0,0.0015,0.0,0.0,0.0034,0.0036,0.0002,0.0026,0,0.0038,0.0024,0.0146,0.0055,0.2139,0.2908,0.0119,0.0004,0.0044,0.0125,0.0,0.011,0.0025,0.0289,0.0091,0.0138,0.0026,0.0145,0.0096,0.2434,0.0142,0.0208,0.0009,0.0011,0.0
BRN_C27,0.0146,0.0,1.9728,0.8239,0.1526,0.0235,0.0814,0.0005,0.0065,0.0005,0.0003,0.0,0.007,0.0001,0.0,0.0035,0.0164,0.0241,0.017,0,0.0192,0.0149,0.0849,0.012,1.4909,0.4292,0.0016,0.001,0.0272,0.0499,0.0,0.0092,0.0129,0.2277,0.024,0.1042,0.0125,0.0644,0.0186,0.1347,0.2727,0.1131,0.0037,0.0037,0.0
BRN_C28,0.0049,0.0,1.0424,0.3825,0.0708,0.0084,0.0257,0.0024,0.0024,0.0188,0.0001,0.0,0.0025,0.0,0.0,0.0082,0.0,0.0012,0.0061,0,0.0125,0.0054,0.0,0.0214,0.5626,0.4409,0.0005,0.0004,0.0098,0.0307,0.0,0.0071,0.0026,0.0814,0.0072,0.0383,0.0042,0.0296,0.0116,0.2313,0.0638,0.0372,0.0016,0.0017,0.0
BRN_C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN_C30,0.0151,0.0,1.1208,1.5466,0.3306,0.021,0.1105,0.0056,0.0079,0.05,0.0003,0.0,0.0075,0.0001,0.0,0.0068,0.0444,0.0,0.0202,0,0.0724,0.0095,0.0835,0.0141,1.6058,1.1898,0.0016,0.0005,0.0307,0.0899,0.0,0.0351,0.0089,0.2832,0.0212,0.1083,0.0116,0.0698,0.0399,0.9113,0.072,0.1245,0.0055,0.0128,0.0
BRN_C31T33,0.0042,0.0,0.3313,0.2964,0.0601,0.0048,0.019,0.0014,0.0009,0.0155,0.0137,0.0,0.0009,0.0,0.0,0.0012,0.0001,0.0009,0.0045,0,0.0022,0.0038,0.0982,0.005,0.5515,0.2531,0.0008,0.0004,0.0069,0.0005,0.0003,0.0143,0.0013,0.0472,0.0037,0.0229,0.0108,0.0327,0.0262,0.1742,0.0581,0.0365,0.0028,0.0117,0.0
BRN_D,0.4113,0.0005,11.3819,6.3884,0.4801,0.5134,2.0804,0.0188,0.0264,62.496,0.4982,0.0005,0.134,0.0018,0.0,0.0236,0.0,0.0213,0.1119,0,0.1244,0.1012,0.547,0.3953,1.6637,10.8475,0.2654,0.0036,0.2046,0.0008,0.0002,1.6624,0.313,1.5392,0.5188,1.5007,1.0482,1.3953,1.0382,18.5194,2.3529,2.0156,0.2199,0.1468,0.0
BRN_E,0.0759,0.0,2.3609,1.0285,0.0977,0.0481,0.1554,0.0048,0.0066,1.0883,0.0164,0.0,0.0089,0.0001,0.0,0.0072,0.0,0.0029,0.0197,0,0.017,0.0103,0.1976,0.1802,1.0631,1.1051,0.0465,0.0014,0.0555,0.0002,0.0113,0.137,0.0194,0.2,0.0961,0.27,0.0969,0.293,0.1748,12.6897,0.5951,0.134,0.0168,0.0236,0.0
BRN_F,0.4716,0.004,13.154,6.2091,1.2345,0.3713,0.3448,0.0184,0.0321,4.3956,0.0761,0.0001,0.8723,0.012,0.0,0.1414,0.1715,0.027,0.1584,0,0.2643,0.1498,0.3858,0.456,16.943,6.7282,0.1231,0.2948,0.4346,0.0995,0.0129,0.8082,0.0903,3.5077,0.8401,3.4597,3.5083,2.9814,1.382,13.1997,3.2426,2.7164,0.0627,0.1071,0.0
BRN_G,5.3517,0.173,101.6266,78.4553,7.7021,2.7298,3.2436,0.1241,0.1285,60.0198,3.4674,0.0004,0.7316,0.0935,0.0273,0.4414,0.5093,0.0947,0.8278,0,1.2486,0.717,21.862,1.5062,74.3128,27.7886,3.0177,1.2269,7.9916,2.1504,0.6134,9.6287,0.3392,3.959,1.6123,4.7643,2.3798,8.0354,5.0826,56.8102,14.8568,9.3335,0.3328,2.1334,0.0
BRN_H49,0.4406,0.0241,0.0701,0.3657,0.2157,0.2375,0.0942,0.003,0.0157,0.269,0.0209,0.0,0.0618,0.0034,0.0009,0.0461,0.0612,0.0016,0.0076,0,0.0669,0.0264,0.0628,0.0633,0.0619,0.3354,0.0341,0.0894,0.2203,0.2535,0.0964,0.8809,0.0069,0.0548,0.0486,0.4908,0.0263,0.2385,0.1996,1.1712,0.0558,0.4047,0.0071,0.0195,0.0
BRN_H50,2.614,0.0058,43.5872,16.2727,2.7614,1.3826,1.4277,0.0614,0.0412,13.8128,0.0996,0.0001,0.3326,0.0056,0.0003,0.4794,0.015,0.0685,0.3497,0,0.8433,0.2913,1.6016,0.3806,17.214,10.0544,0.2671,0.7872,0.9928,0.0692,0.0233,3.1572,0.1697,2.592,1.0829,1.1917,0.322,3.6051,3.6851,23.8478,4.4705,2.8953,0.1596,0.1385,0.0
BRN_H51,1.2971,0.003,34.8144,8.8696,2.328,0.9516,1.9902,0.0332,0.0225,4.1113,0.0365,0.0,0.1111,0.0051,0.0012,0.2558,0.0089,0.0374,0.1923,0,0.5015,0.1785,0.4651,0.3259,7.668,25.8251,0.471,0.0561,0.7279,0.0369,0.0099,1.2656,0.4819,2.2446,4.2506,1.9861,0.2812,11.2875,12.2196,33.4845,1.736,0.9164,0.2844,0.3055,0.0
BRN_H52,0.163,0.0002,2.842,1.2444,0.1498,0.0783,0.0816,0.0044,0.0028,0.865,0.0065,0.0,0.0214,0.0007,0.0001,0.0306,0.0005,0.0044,0.0228,0,0.0551,0.0181,0.1185,0.0452,1.2157,1.6463,0.0218,0.0107,0.11,0.0812,0.0004,0.1977,0.0223,0.2253,0.1323,0.0994,0.0277,0.2916,2.6761,1.5088,0.339,0.2097,0.0092,0.0117,0.0
BRN_H53,0.1424,0.0,1.2418,0.4971,0.1106,0.0067,0.0047,0.007,0.0034,1.118,0.0005,0.0,0.0009,0.0001,0.0,0.0061,0.0,0.0008,0.0036,0,0.0042,0.0021,0.0,0.0102,0.857,0.2921,0.01,0.0224,0.1056,0.0,0.0015,0.0248,0.009,1.063,0.0425,0.0703,0.0793,0.1097,0.0471,0.1018,0.0922,0.0942,0.0048,0.0067,0.0
BRN_I,0.0579,0.0007,33.7589,7.5383,3.3679,0.5111,0.4599,0.0221,0.0137,18.2864,0.0765,0.0002,0.0662,0.0009,0.0,0.0008,0.0014,0.0365,0.1839,0,0.2295,0.1084,0.0264,0.4853,15.8493,10.2321,0.3103,0.0613,1.9151,0.0073,0.0022,0.3957,0.3372,2.2108,2.4518,2.8045,0.1799,5.5637,2.6073,9.1305,2.451,1.7409,0.115,0.1739,0.0
BRN_J58T60,0.002,0.0,0.2338,0.0672,0.0134,0.0055,0.0267,0.0003,0.0001,0.4355,0.0014,0.0,0.001,0.0,0.0,0.0001,0.0,0.0007,0.0024,0,0.0028,0.0018,0.0,0.0147,0.0541,0.1845,0.0039,0.0,0.0687,0.0,0.0,0.0073,0.0371,0.0297,0.0373,1.2527,0.002,0.1883,0.1472,5.1624,0.9274,0.4189,0.01,0.0072,0.0
BRN_J61,0.2725,0.0001,87.2697,21.0567,5.3883,0.5852,0.4473,0.0386,0.0408,10.8259,0.0467,0.0001,0.0856,0.0011,0.0,0.0242,0.0002,0.0643,0.329,0,0.3792,0.1929,2.4742,0.5183,18.7536,23.4051,0.4922,0.1425,0.7885,0.0015,0.0004,1.4866,1.2007,32.2208,4.2742,8.753,0.6051,6.8978,3.2025,26.5936,8.6368,5.2108,0.3399,0.3349,0.0
BRN_J62_63,0.0661,0.0001,1.211,0.5245,0.0691,0.0342,0.0393,0.0018,0.0012,0.3566,0.0027,0.0,0.0092,0.0003,0.0,0.013,0.0002,0.0019,0.0099,0,0.0234,0.008,0.0602,0.0198,0.5336,0.7098,0.0198,0.0041,0.0431,0.032,0.0002,0.0836,0.0095,0.0783,0.0555,0.0419,0.0109,0.1251,1.0429,0.6781,0.3024,0.3807,0.0041,0.0053,0.0
BRN_K,1.2594,0.0009,49.7485,15.7417,2.7781,0.9227,1.3889,0.0253,0.0239,194.9471,0.2944,0.0006,0.1119,0.0059,0.0,0.2777,0.0024,0.0728,0.2699,0,0.3195,0.2358,0.9617,3.0269,14.7008,50.9655,2.6401,0.705,54.0967,0.0105,0.0039,4.4891,0.3471,2.9863,1.9386,14.9858,12.4799,5.8433,5.3667,1.1914,0.6907,0.8905,0.2123,0.2722,0.0
BRN_L,0.0191,0.0002,8.6671,1.9471,0.7625,0.1243,0.4542,0.0053,0.0043,0.8333,0.0219,0.0001,0.0159,0.0002,0.0,0.0014,0.0004,0.0092,0.0463,0,0.0528,0.031,0.0173,0.2139,4.7932,2.5079,0.0803,0.014,0.4429,0.0009,0.0003,0.0996,0.1621,0.5178,0.5913,2.1175,0.3008,1.4075,0.7136,2.9905,0.585,0.7235,0.0756,0.0829,0.0
BRN_M,0.1387,0.0001,74.2599,16.6582,6.3622,0.1548,0.6828,0.0144,0.0338,4.3767,0.0241,0.0001,0.0426,0.0008,0.0,0.004,0.0002,0.0098,0.0526,0,0.0623,0.0337,1.2489,0.5133,28.4214,13.254,0.2178,0.0896,0.2514,0.0019,0.0043,0.3509,0.1961,4.9433,3.7724,6.3271,0.0962,30.8408,5.0197,23.6354,4.3828,13.1338,0.1081,0.106,0.0
BRN_N,0.9032,0.0011,27.4142,11.8217,2.4595,0.5124,0.6313,0.0386,0.0705,5.8111,0.0252,0.0001,0.1276,0.0017,0.0,0.187,0.203,0.0005,0.1401,0,0.3509,0.1204,0.0665,0.4716,33.3269,11.1488,0.1728,0.0614,0.6484,0.0028,0.0007,1.2586,0.174,2.1518,1.7624,3.4236,2.0058,4.4672,16.3349,10.1828,29.468,19.5899,0.1542,0.1036,0.0
BRN_O,0.2887,0.0025,11.2515,4.6042,0.8779,0.3239,0.31,0.0109,0.0116,34.8614,0.1119,0.0004,0.0519,0.0007,0.0,0.0264,0.0,0.0125,0.0639,0,0.1333,0.0549,0.0,0.3205,2.7318,4.0582,1.4652,0.131,0.7786,0.1065,0.0005,0.7399,0.0922,2.3118,0.4095,1.0566,0.329,1.6198,17.2464,87.9955,1.8922,0.8321,0.0491,0.0409,0.0
BRN_P,0.1013,0.0001,9.5687,3.505,0.7946,0.1459,0.0657,0.0047,0.0,20.547,0.0517,0.0002,0.024,0.0003,0.0,0.0303,0.0482,0.0,0.0321,0,0.0795,0.0291,0.0027,0.2675,2.7508,1.931,0.0643,0.0305,0.1636,0.0015,0.0002,0.093,0.0651,0.5263,0.7001,1.2713,0.118,1.4041,0.638,42.292,19.2823,3.8651,0.0411,0.0515,0.0
BRN_Q,0.2052,0.0001,9.7081,3.0574,1.6062,0.0851,0.1113,0.0059,0.0086,21.7156,0.0556,0.0002,0.0334,0.0005,0.0,0.0067,0.0,0.0081,0.0412,0,0.0416,0.0255,0.0025,0.2635,2.5759,1.8672,0.0647,0.0303,0.1767,0.0002,0.0,0.2842,0.0584,0.5394,0.2641,0.4377,0.1116,1.0045,0.6434,23.9046,1.3905,5.8233,0.0948,0.0938,0.0
BRN_R,0.0271,0.0,0.4054,0.0834,0.0306,0.0128,0.0627,0.0,0.0003,1.0244,0.0032,0.0,0.0022,0.0,0.0,0.0034,0.0,0.0093,0.0055,0,0.0046,0.0033,0.0,0.0164,1.0805,0.0102,0.0024,0.0436,0.3038,0.0,0.0,0.0014,0.0324,0.0001,0.018,0.0998,0.0063,0.0683,0.0225,2.8381,0.0424,0.0694,0.0645,0.0068,0.0
BRN_S,0.0475,0.0,0.3399,0.1534,0.0392,0.0276,0.0968,0.0016,0.0005,1.4747,0.0054,0.0,0.0037,0.0,0.0,0.0074,0.0,0.0057,0.0083,0,0.0093,0.0076,0.0,0.0526,1.6276,0.0423,0.0073,0.0362,0.6999,0.0,0.0,0.0091,0.047,0.0054,0.0229,0.193,0.2442,0.1045,0.0308,1.5048,0.7271,0.1823,0.031,0.067,0.0
BRN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
