V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T
BRA_C26,5.2404,0.1268,120.1766,48.0066,5.423,48.3306,24.1346,1.986,114.9332,24.4236,50.3858,6.1679,19.7169,20.7807,55.919,7.3628,5869.4027,246.7389,251.9398,229.791,21.5937,279.2867,108.4988,6.1369,212.9055,143.4811,24.2136,2.9075,2.9695,59.045,28.7077,681.1268,74.4257,87.1299,592.646,96.2638,11.4675,438.7889,389.0827,84.9052,225.3526,167.4305,20.7572,258.0359,0.0
BRA_C27,44.1045,0.8152,80.4594,43.5553,7.367,92.853,21.5702,7.3765,30.0727,10.6893,63.1054,5.1046,31.1353,36.5456,100.8716,48.4761,558.6935,2210.4061,686.7683,670.8312,61.0443,622.5667,1330.4182,45.4122,2120.1753,408.5941,302.1895,7.4659,2.6567,23.084,6.989,36.7451,15.953,140.623,18.767,19.6019,109.2796,193.2283,168.5396,28.703,27.495,19.322,20.7515,226.2273,0.0
BRA_C28,32.3165,0.7783,659.4453,899.925,44.3566,943.2645,187.0487,20.8769,284.3579,372.1766,766.1815,44.8451,39.8835,18.7497,679.3729,114.2432,122.8501,193.5839,3478.3355,490.5016,89.0579,1759.9691,69.5921,23.5068,949.9431,229.5737,42.1106,35.2354,5.7967,44.1299,11.5125,30.5406,14.7222,15.5255,66.8027,5.1006,116.5849,39.4397,288.2346,27.4429,9.1177,40.4702,4.6689,17.1337,0.0
BRA_C29,89.2263,1.4663,36.3485,68.7958,6.4871,128.7537,35.2384,7.3519,21.8279,24.8587,48.8311,7.3186,78.2608,32.1763,65.201,63.1909,71.3654,197.224,737.4048,15566.4022,16.6679,2124.6645,114.1988,14.9129,358.506,4217.1576,2838.8007,125.2476,281.2117,443.8922,3.7784,59.4904,147.0316,24.642,18.1571,10.3164,131.3648,197.9613,402.5849,195.1941,72.283,43.1882,35.1997,18.344,0.0
BRA_C30,9.5104,0.133,0.2643,9.6434,0.8968,2.7386,0.0,0.3073,1.7389,0.0,0.0,0.0,0.0,0.0,0.0,0.6578,0.3384,0.0,4.3822,123.2793,3628.6013,880.6122,19.5636,1.748,125.9417,88.1334,519.1656,0.0,0.0,0.0,0.2696,153.5859,41.0478,6.839,4.879,0.7474,50.1669,14.0277,14.6766,133.1409,0.382,19.3628,8.0251,44.8335,0.0
BRA_C31T33,69.7487,10.7743,1009.1536,1047.5573,59.2501,932.5804,677.4997,171.8617,1169.7602,170.8636,846.4874,192.3681,182.493,749.9353,3238.2494,276.8955,41.594,157.0483,583.5494,586.2811,100.5297,1192.6839,522.2462,348.8876,888.53,1678.0797,427.5598,541.7662,226.3439,843.2135,170.5367,98.1922,194.9346,110.0211,333.5859,138.6258,86.2081,621.1965,673.9608,539.8444,327.421,4002.7752,192.6833,179.2664,0.0
BRA_D,3749.0639,52.1739,173.467,981.2653,64.4565,2150.1365,705.7757,300.314,782.3396,13.0384,1785.7642,96.1324,809.1086,1233.2181,2608.8665,512.5961,61.7283,237.5372,245.245,789.2865,62.392,220.1528,28604.1462,1085.7429,209.6176,7008.9688,506.8397,22.0688,14.1445,336.4124,98.8215,1070.7431,166.6363,621.5064,224.2584,755.3436,211.7968,614.2613,2576.3836,1694.6592,1350.1779,835.165,301.0051,786.3841,0.0
BRA_E,1.8107,0.1112,23.4357,112.5944,14.7742,339.2906,35.283,79.1533,123.3083,122.1429,420.5185,25.2838,175.4526,244.7086,2422.5152,67.986,6.208,21.085,33.1458,166.3485,21.3216,36.7307,21.5311,413.3107,90.9771,1443.6765,101.4379,3.2963,2.0479,223.4255,46.4078,410.6943,25.1818,12.5361,35.5313,128.9231,140.8044,229.3296,1731.9293,3308.7795,497.1048,1042.8772,32.3702,538.0722,0.0
BRA_F,100.6807,1.4639,660.9954,691.9488,45.7488,27.0762,21.8226,9.5794,18.5936,8.736,39.4695,13.8127,51.1407,10.1251,694.3764,24.6851,26.6087,5.3907,26.9433,122.9538,46.7264,11.1273,21.0886,1467.2383,20255.4781,520.1578,116.5148,6.058,11.4385,428.3499,92.3554,240.9353,69.1528,1323.4413,271.5562,408.1696,969.5313,339.8958,956.7838,4559.0295,605.0916,926.7485,48.4885,95.9222,0.0
BRA_G,9695.802,128.2683,1467.5576,1847.3189,122.5045,21353.9073,6038.4765,799.1128,2537.3481,13656.4549,8548.7726,1489.9317,2812.1127,1774.0406,1822.58,1185.8042,4672.8231,2023.0288,3270.3745,7880.1531,831.4216,4126.6728,3134.8696,725.539,9749.4635,8366.123,9638.3318,241.7815,883.2911,536.0945,204.7719,8333.3942,782.2135,232.945,561.0506,764.7678,691.1352,2223.8288,1982.6182,2270.217,1927.719,9370.5333,225.7104,1182.3787,0.0
BRA_H49,3004.3292,56.6424,1564.6384,1293.1741,65.4805,9793.6416,1224.8697,363.2934,1135.8833,2723.4441,3522.7755,627.7282,1049.751,900.3379,2002.9122,900.9966,884.1843,653.4627,979.7513,2726.2129,203.514,949.9218,1251.3434,146.3345,2401.0586,8874.2479,8528.4009,106.9981,184.2073,783.0805,328.4455,1506.0505,217.5877,96.9441,168.3331,260.2199,156.0542,607.5336,446.6968,897.0968,896.8033,797.6509,80.4758,547.1813,0.0
BRA_H50,125.6355,1.3412,814.5609,38.3473,2.3992,443.3539,49.0699,26.9918,203.9373,140.5398,201.0264,10.3964,41.3323,36.4809,112.8354,26.3545,57.8209,30.9715,69.4571,127.9597,20.0275,42.0601,51.5062,6.208,108.3189,202.285,127.3819,119.2422,7.3363,9.6153,2.7714,69.9998,8.4402,4.8403,8.8455,24.6169,11.6077,25.9714,43.3269,14.1151,16.4608,76.4797,5.3496,29.0932,0.0
BRA_H51,139.0574,1.3572,423.622,35.2973,6.8563,354.3408,80.055,16.0138,54.849,181.8395,246.7957,36.1196,55.078,47.5481,105.0087,37.9828,119.743,63.8452,83.1717,181.38,21.9608,70.6971,136.8348,14.341,336.2159,716.9483,113.1699,20.3906,11.6581,97.879,59.406,99.118,36.6321,32.7305,124.2036,369.3433,18.2611,341.7537,102.3332,183.6227,454.7128,103.0338,19.1644,1154.946,0.0
BRA_H52,570.6753,18.8783,703.4566,531.1957,22.205,2721.3884,201.3511,63.4377,328.2041,580.5282,808.2272,113.9272,152.537,136.5995,699.2313,236.0041,235.2124,226.667,179.8545,1131.1396,66.6989,210.9502,150.0411,20.9231,508.7666,2203.299,1660.4018,400.5771,742.6671,486.5184,61.1189,300.8022,33.8264,28.2007,23.971,44.3769,31.9454,113.7955,91.67,285.3997,68.2885,160.42,11.1852,168.9932,0.0
BRA_H53,0.7337,0.1615,18.3738,12.474,3.6765,193.4047,140.9396,10.8602,106.7877,15.8717,213.5041,53.1881,37.0255,45.2487,18.5202,48.5844,92.7998,45.0103,31.076,180.9945,27.2581,77.8986,257.7098,6.3269,178.9081,2167.371,87.399,5.1408,4.2244,248.2494,574.6094,126.6669,38.5482,197.2334,62.3835,1698.9087,83.5494,362.4061,360.9496,861.7883,312.0377,221.8433,26.3945,192.3969,0.0
BRA_I,3.0185,0.5634,171.0436,38.6628,15.1824,250.1846,26.8535,7.4796,32.7682,11.6484,154.7301,140.1502,32.7854,22.1975,95.3231,60.0776,41.5417,34.4612,113.0688,242.063,29.4699,84.9918,147.749,7.5637,295.7039,1205.2851,70.574,3.6419,333.5049,56.3738,22.8089,227.7451,249.6368,49.7531,136.9345,1053.7336,36.1938,789.7517,557.028,3644.7728,829.527,2535.3604,53.3476,3977.7693,0.0
BRA_J58T60,28.0885,0.6209,29.3929,39.699,1.3478,102.5471,20.6523,8.4391,8.0049,54.7884,78.132,16.5598,35.8343,61.5012,28.0086,11.2929,14.3651,13.8398,11.6216,36.3516,1.7754,64.2538,123.9307,12.1857,125.2487,1352.876,17.2128,155.397,378.063,335.4969,31.3316,731.0489,820.3311,790.5744,6.9544,204.3087,55.5134,6452.6606,45.0292,122.3724,590.8443,1358.4817,35.1785,342.0927,0.0
BRA_J61,4.119,0.8288,237.6334,51.2352,12.6546,907.9124,294.3654,27.9812,218.0405,50.3712,204.8258,72.6327,103.487,128.0932,85.0633,132.5586,267.6434,145.6065,138.3795,963.8469,34.9006,174.0213,126.7052,51.5715,352.3786,2344.1596,294.3388,10.4829,19.8301,165.5622,90.1863,281.9653,119.0689,6297.4449,480.2313,2316.5714,147.7787,1742.3371,700.5581,1510.207,692.6329,409.1129,75.3502,423.7702,0.0
BRA_J62_63,9.3242,0.1057,19.1729,93.3174,10.6762,489.3453,31.8559,3.8115,59.008,11.6636,183.7296,117.454,43.2465,25.3775,67.5801,40.12,69.7431,120.2668,58.1878,347.7996,12.6269,59.099,444.1921,130.9633,139.2175,2844.0018,310.5888,0.4278,241.0362,329.6426,148.3502,55.619,465.1771,872.1405,2956.534,5308.5822,92.8779,3200.7937,453.2962,3110.5128,625.2448,578.4372,72.0344,474.5272,0.0
BRA_K,3103.4285,73.7858,1694.1429,1193.5468,75.9694,5488.3713,984.6316,189.6771,1004.2183,1041.5989,2466.0454,376.8104,686.0173,644.7151,1415.9024,615.6527,642.1673,486.8494,829.5861,1751.669,208.4246,565.2556,2248.4972,470.108,2766.2395,10034.3902,3127.0352,206.109,442.9553,920.4802,238.3289,1176.1811,436.9624,2097.9002,919.0606,22898.8027,10760.7301,2248.0412,2508.6894,18227.9679,1015.709,1575.0332,230.2663,695.3656,0.0
BRA_L,7.4321,1.2772,163.1188,39.6145,19.7852,614.6284,311.8208,14.519,88.1688,61.6705,258.3933,98.265,164.5393,74.6984,128.2113,117.0993,73.9761,47.8802,89.1961,160.1143,17.9959,115.9995,455.3941,137.1943,507.7939,16503.1756,560.8628,32.075,50.844,938.036,290.345,2435.0826,248.9636,817.4718,674.9394,2085.9526,820.6819,2860.2972,2024.0224,1101.8773,2284.7758,1001.7346,1627.5273,1137.4363,0.0
BRA_M,503.7474,14.1792,4148.6149,1338.816,218.0156,8806.5294,769.7871,93.8614,969.6965,1576.9599,4117.1408,2063.2598,922.9973,910.068,1045.5346,597.2889,1411.0341,1127.9497,1349.9476,3767.5643,145.981,562.6452,2072.9111,658.0451,2686.0214,15886.2269,1118.5577,52.1981,215.8192,2061.529,475.6446,670.0869,1541.7809,1624.3449,1470.7386,7219.1103,882.7441,8845.096,2648.7306,4165.2807,2500.0164,1524.7297,779.34,1339.6743,0.0
BRA_N,83.346,7.3111,1968.449,1112.6658,123.7181,2096.7235,354.0815,35.8666,293.3562,97.9398,825.7968,611.0375,209.5826,491.0565,762.1261,546.7021,620.5095,434.4281,1254.0155,1168.2869,87.7122,430.333,1515.2506,325.0811,1260.7171,18191.7081,1437.5945,213.0029,754.4301,1088.4276,378.8742,1109.0933,514.5991,9622.0712,2844.8133,9954.2095,346.3311,2511.8978,3172.1589,9418.6443,5714.034,5580.8632,411.7658,2554.1869,0.0
BRA_O,104.5442,1.4271,143.9509,72.9932,12.6441,427.6767,40.9544,8.7503,47.3364,85.7197,205.9059,63.1765,47.8674,37.7902,80.7404,33.5577,42.9457,44.8687,60.483,145.0785,8.3208,35.9102,103.2404,21.6994,116.8001,600.5072,165.1102,16.9926,37.2575,86.2933,22.7755,73.1369,41.143,41.1597,68.8248,205.27,43.1894,298.4118,87.3063,169.6332,96.7319,97.142,24.6,107.0794,0.0
BRA_P,6.0859,0.0791,29.3369,88.1442,3.7031,32.1126,9.677,0.6908,20.3862,3.9858,31.8193,14.08,3.8881,2.5821,135.2198,33.4449,3.9679,9.1592,18.1856,70.3987,1.2598,4.9199,58.9848,1.7619,5.5722,446.9273,527.0788,36.2108,7.8994,97.2575,41.7804,5.4669,15.237,26.187,7.613,709.8434,27.1668,1615.1402,1045.4604,163.6526,167.4101,166.9764,6.5009,217.8892,0.0
BRA_Q,0.0,0.0,0.0,0.0,1.5951,0.0,0.0,0.0,0.0,9.8888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.269,0.0,0.0,171.4184,0.0,0.0,0.0,18.7843,1.9695,8160.8364,0.2744,0.0,0.0
BRA_R,0.1633,0.0035,0.1322,0.0527,0.218,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176,0.5768,0.0569,0.0,0.3146,4.1943,0.1739,0.4778,1.0084,0.0,6.3987,895.8761,127.6159,0.0,2.2138,0.2365,29.5277,10.3028,248.2495,28.4163,16.4897,379.3742,379.458,0.0
BRA_S,73.0545,3.243,302.4336,164.0568,7.4779,297.3758,92.9272,26.1832,75.5672,48.5653,114.7687,44.3488,73.4913,65.3655,79.5873,110.4404,104.5943,63.9393,88.5522,203.3524,17.614,49.9979,217.517,1.1979,51.3989,1205.7993,219.2322,4.1381,9.1471,406.9408,126.1896,104.9857,68.8756,1071.9991,456.2105,585.7577,41.9587,335.1802,565.4687,228.6926,235.2036,877.0342,12.1038,123.5041,0.0
BRA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
