V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T
AUS_C20,835.9041,47.8619,137.6053,241.0316,12.1851,102.9737,7.6162,38.4921,101.3842,258.853,577.2785,225.3336,685.34,158.3708,28.2042,46.8215,15.9428,24.6266,27.4896,19.7865,33.0894,14.6226,24.9577,112.4041,1219.3379,349.8378,26.7267,1.5607,2.0974,4.3212,2.9273,62.0164,10.6456,0.7807,0.0,0.7053,25.1713,82.1549,130.9904,62.1467,95.4277,245.1322,90.1924,249.823,0
AUS_C21,336.3404,2.2271,3.2612,5.9257,0.589,2.0181,0.0,0.5123,2.0157,0.6684,8.0058,150.5986,0.4369,1.6968,1.4975,1.4611,0.0667,0.041,0.1106,0.0726,0.1686,0.2049,0.3757,0.0,8.9564,13.0105,0.1964,2.3888,0.0,0.0,0.0,0.6921,0.7337,0.0,0.0,0.0,1.1859,4.0813,4.6205,0.9023,24.3819,80.0239,285.8054,7.9575,0
AUS_C22,79.3128,26.2167,108.2076,149.3034,19.2596,331.4066,21.4056,80.3593,242.3976,55.9658,153.5111,150.8532,211.3803,59.1449,18.8716,61.5707,28.935,39.7002,75.6488,137.0203,161.1593,77.5691,27.9246,63.3322,2779.8946,620.6868,144.6305,6.0587,13.2857,9.1181,55.6764,46.2416,18.6982,5.4583,4.0503,5.1176,113.5097,51.503,38.0861,184.744,69.2524,142.4484,27.5294,152.1244,0
AUS_C23,35.877,6.3388,45.3941,82.0947,12.7907,354.8774,2.4499,84.1278,11.0025,14.1783,75.8411,84.9349,36.2367,1003.0278,55.6176,244.9659,8.8319,10.4004,18.9576,53.9527,84.8797,29.6474,37.4588,87.9419,11049.0223,278.3134,23.9047,3.4172,2.0438,10.5888,7.8081,81.0539,3.8558,4.4333,6.3472,7.2232,21.387,32.5903,16.5962,26.7871,54.4518,148.7286,16.7589,138.9461,0
AUS_C24,0.0732,0.3274,184.9857,120.9389,65.725,18.9855,6.0802,61.7005,33.6031,35.3308,5.9231,2.5551,63.0248,67.4315,1672.7518,3434.7224,108.2388,247.218,479.0717,362.4977,438.5441,156.264,15.0802,23.8142,3394.9014,333.5046,6.3318,0.9354,0.0,1.9454,1.4354,16.3446,0.2873,0.0,0.0,0.0,14.6613,9.4563,6.6031,34.0853,16.8876,28.2192,7.3431,37.7174,0
AUS_C25,95.6952,58.9501,640.5079,831.854,98.849,264.7915,12.1449,197.1362,65.6993,38.3685,67.4084,51.3919,118.3754,518.7704,242.8116,1127.4856,74.2206,109.131,383.5875,204.6351,326.7028,103.3803,75.6548,210.8248,8002.465,599.3532,222.7195,23.8983,7.216,14.7766,73.2993,95.3624,17.3456,16.8726,12.3725,16.8659,96.47,51.5886,43.9447,299.6168,264.5492,193.1053,180.2414,180.3106,0
AUS_C26,2.2295,2.3848,12.2597,16.5604,4.319,1.6532,0.4528,0.4174,1.424,1.2344,0.4576,0.5063,0.8544,0.553,1.2238,2.4491,281.0861,34.8243,51.4467,4.8475,11.8041,14.7382,1.8982,18.8581,187.4513,74.9652,11.1994,1.5571,4.0456,5.416,33.2945,7.3852,38.9657,109.8325,43.1804,46.5139,6.5387,32.0551,19.5642,41.2462,158.1065,515.3218,36.6916,45.9162,0
AUS_C27,12.5674,10.7223,30.8513,16.7572,1.6637,15.4207,0.3289,0.3618,12.269,1.5733,0.623,0.4933,12.9592,4.1084,4.6512,19.6049,48.6204,119.5952,86.9648,24.9038,40.6714,16.537,123.6506,19.5706,1327.0369,87.2634,42.1544,0.6748,0.8329,1.7515,17.0861,5.3252,4.0415,81.2326,8.1358,3.964,7.863,25.2113,9.8203,17.683,17.5432,24.0047,57.6348,35.1397,0
AUS_C28,120.1342,80.7552,366.2966,703.9006,24.4516,70.7999,1.3902,7.6877,21.6647,8.4694,13.2454,12.139,9.3975,29.3421,18.4742,58.8856,15.9779,16.3718,209.2164,58.7517,115.6673,79.7151,38.9043,29.5795,223.5127,252.3973,13.5539,3.3456,0.8832,1.2406,7.5791,15.5581,1.3212,26.474,0.0,1.0799,0.9491,77.9812,37.3025,64.5425,63.97,42.9631,11.3345,55.3892,0
AUS_C29,2.0146,0.9636,2.4901,4.1877,1.1513,0.4383,0.2016,0.2226,0.0,0.0,0.0,0.0,0.0,2.3166,0.9065,1.1788,0.749,0.6753,3.9068,237.1619,43.8077,53.5241,0.2448,0.8438,45.0058,287.9929,53.4822,0.8302,0.1859,2.8013,2.8664,0.915,0.1912,0.0,0.0,0.1876,0.6182,1.0023,2.0728,52.7214,11.8906,1.9541,2.1995,55.7699,0
