V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T
CHL_C24,9.3606,1.63,0.6959,50.0938,0.0451,17.3656,2.6559,4.871,9.5333,1.5596,6.2699,0.803,9.4637,15.8952,255.522,357.1124,1.8766,42.7033,123.2981,0,37.5285,67.5204,5.0868,0.6823,492.2149,16.2183,5.3724,0.3705,0.6704,1.2957,0.0887,1.4742,1.4445,3.9741,2.1506,8.2965,1.1715,4.101,6.7218,4.1671,1.2837,11.3155,0.4473,3.2599,0
CHL_C25,26.2154,2.7219,1.9557,290.3177,0.2286,104.8062,9.3975,20.6559,17.9917,2.8247,25.2732,3.8984,17.8904,20.7317,14.2325,110.3316,0.6856,10.3792,40.4472,0,16.7732,34.2703,31.3956,3.2021,1152.0805,44.4265,47.048,1.3211,8.3955,8.782,0.2477,15.6583,7.5177,17.5994,3.8207,31.7084,7.0256,14.0658,39.5706,11.7786,8.6537,30.7229,1.6112,13.3974,0
CHL_C26,0.1172,0.1036,0.0072,0.7906,0.0044,0.0918,0.0123,0.0075,0.0985,0.0039,0.0318,0.0107,0.0616,0.0117,0.0068,0.0367,0.0159,0.0322,0.1023,0,0.0164,0.0449,0.0627,0.0249,0.3111,2.1568,0.2441,0.0074,0.0326,0.1318,0.0364,0.1358,0.0907,1.6854,2.6367,1.516,0.1559,0.6787,0.3037,1.1712,0.3437,0.1176,0.0338,0.2129,0
CHL_C27,6.507,1.4197,0.346,17.0397,0.0607,10.0193,1.2103,1.6075,3.8386,0.5888,3.0598,1.289,1.4386,1.296,3.2389,4.0888,0.7166,16.5014,8.0192,0,5.5392,5.3684,10.8129,1.2457,62.6716,59.21,16.4153,0.6669,1.2593,2.192,0.0625,4.2713,2.6099,17.0363,2.8604,14.2805,2.4356,5.5361,19.1459,12.5752,3.9459,38.9052,2.2608,6.4816,0
CHL_C28,16.8006,6.3607,1.8796,176.5837,0.4829,30.2569,2.5556,8.5489,15.165,2.6846,10.4238,2.0263,8.4557,6.3837,12.2552,17.5895,0.6444,9.1376,24.1389,0,9.2154,41.9,40.6379,3.4433,103.5423,75.3385,46.2239,2.5169,10.6024,7.9211,0.2538,9.3265,2.1243,25.9765,15.2043,10.1381,5.7448,24.2932,37.7972,22.1488,7.3892,20.6935,2.6159,7.0094,0
CHL_C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CHL_C30,8.4617,0.1693,0.5255,19.1648,0.0,0.027,0.0002,0.0046,0.0573,0.0006,0.0076,0.0001,0.8578,0.0,0.0,0.3407,0.3065,2.3007,2.5355,0,23.912,7.7922,1.4876,0.8596,9.345,119.4437,88.2313,2.2824,30.7031,3.0639,0.054,1.2999,0.0002,0.1785,0.9187,0.5908,0.6177,3.4227,22.2083,172.0257,0.0095,0.9149,0.4054,2.6743,0
CHL_C31T33,15.563,3.9914,1.84,265.5662,1.1686,33.5625,13.1146,15.5402,43.5304,0.7545,14.2477,3.9581,9.8517,17.2968,71.9251,6.3157,1.2474,8.2734,18.8987,0,1.6611,9.0826,123.1863,48.2588,78.959,148.2435,174.3778,10.0936,18.0206,32.3349,1.2624,17.801,6.7867,125.897,6.9845,25.0275,15.9737,34.2522,106.3656,35.5544,22.748,63.8415,6.3851,14.6921,0
CHL_D,123.1247,23.7453,2.2087,2765.7176,2.8185,336.1319,34.2421,170.4018,628.1144,207.3114,270.3156,13.0475,83.5476,146.5326,66.7352,95.573,1.5282,12.9328,34.7232,0,9.4286,46.1622,5702.6616,105.7421,128.1213,685.8711,144.9278,1.2902,13.717,118.6387,1.8589,139.7983,20.8568,131.5505,28.9478,96.4343,177.2452,118.736,110.9805,285.9815,244.8834,250.1559,32.5354,16.6909,0
CHL_E,2.5416,2.1034,0.3518,89.2143,0.6046,60.1864,5.9794,5.1907,208.7144,4.1398,24.8781,2.6003,50.1179,10.8833,7.0523,5.1069,0.2193,1.9641,12.929,0,2.8999,8.6841,16.626,206.2616,31.2743,67.0603,13.8717,0.1537,0.5463,12.1764,0.3466,24.4753,2.3485,2.2447,4.1188,9.6964,25.3051,28.6619,9.4578,443.4897,72.2569,56.7822,9.2774,19.6659,0
CHL_F,35.8855,6.3302,1.9599,27.3256,0.4754,24.6557,5.5291,5.1384,11.2092,4.5299,3.5782,3.8375,3.9084,12.5636,4.4381,5.982,0.8087,4.8568,6.12,0,2.4938,6.5499,62.6822,115.4516,5732.2636,552.6258,74.2922,0.633,22.1766,178.1734,1.1717,64.3331,13.2383,37.0986,26.8179,34.5832,3209.9788,81.1921,87.0797,534.1506,404.9124,160.7592,28.6586,102.0577,0
CHL_G,1304.2696,397.3347,10.4637,1091.3118,3.9147,3011.5541,309.2171,170.0567,362.7489,93.4625,385.2236,162.7171,242.0646,159.8281,169.4518,138.1863,6.595,88.3796,133.4837,0,114.251,150.0948,555.2448,126.2205,1320.631,2047.767,1867.6096,51.1552,278.9242,143.7756,13.6617,804.2121,70.6966,305.4386,105.7793,295.0852,78.8204,354.6958,664.5147,370.6569,173.9908,1061.1458,58.6005,114.0286,0
CHL_H49,427.4426,84.6098,6.9413,434.2252,4.7196,1050.1056,55.8458,184.8383,250.0218,113.9276,148.757,30.9938,85.8655,119.4201,59.8504,79.5794,1.9495,28.48,68.4353,0,20.0753,63.9326,207.568,30.6901,529.9852,1629.6162,888.2819,21.4879,59.0955,51.416,26.6594,162.74,18.9843,27.0529,24.3414,57.9388,14.395,105.0622,163.9472,94.3739,61.7127,199.644,13.1423,42.6871,0
CHL_H50,11.7789,0.1662,0.0538,1.491,0.0088,9.6039,3.7994,1.5648,3.2947,0.0989,0.3106,1.5042,3.4917,0.1299,3.2237,1.6763,0.1537,2.5388,3.7523,0,0.2852,4.0121,14.3823,1.0002,30.0701,16.224,8.8925,0.5971,1.1485,1.0856,0.0134,6.3229,0.8942,2.4811,2.0888,2.2525,0.9528,3.4278,2.7366,3.6229,1.4888,11.3229,0.3788,1.4938,0
CHL_H51,30.7303,25.3659,4.7032,122.7,0.4116,73.4173,7.4811,8.7089,15.5777,19.925,34.3987,5.8499,12.0139,11.2778,7.4477,13.1007,0.5082,4.9634,10.3918,0,2.1668,10.2632,41.4662,7.8833,152.0228,144.1023,98.0208,4.1671,87.7445,24.9899,38.7042,29.2622,9.7597,45.0375,43.5029,60.6791,6.6576,99.7726,78.5098,87.2285,11.9986,26.866,13.69,4.5156,0
CHL_H52,67.3061,37.1803,0.561,241.9819,1.0613,347.7151,22.3041,71.076,65.8865,11.9195,54.9847,17.9958,22.9653,18.0121,20.8763,20.1487,0.6452,8.1364,12.0468,0,4.1558,12.2835,78.3773,4.0793,79.9906,1139.699,665.3644,161.6769,258.1589,266.4095,2.1595,29.9033,3.3072,16.5429,8.1329,12.2303,4.5221,18.4205,20.1164,23.5119,8.3597,30.0165,2.3002,9.0774,0
CHL_H53,5.8449,1.8637,0.0083,0.8555,0.0063,5.5369,1.5366,1.2985,1.4936,0.3684,2.8797,1.9879,1.5463,1.2346,0.5156,3.92,0.1225,0.575,1.3088,0,1.1468,1.8731,9.0214,1.6847,4.3947,70.9601,2.467,0.2791,0.0971,5.835,31.3385,3.7574,2.9452,26.607,9.6371,40.6159,3.6607,17.9615,26.7974,33.4873,4.4282,8.2445,0.5906,3.3592,0
CHL_I,37.0005,3.3472,1.0932,116.8341,0.0489,21.2051,4.4344,3.1804,5.7365,1.7358,7.7404,3.8318,5.4821,4.2073,1.9063,4.3345,0.4591,3.0612,5.3874,0,1.5452,2.7312,6.4011,3.5642,58.7768,153.6737,212.775,8.5198,198.9166,11.6351,0.6426,18.4856,15.678,16.6587,20.2128,58.692,8.237,59.2086,75.6703,98.677,329.1256,97.7537,33.2816,93.2554,0
CHL_J58T60,4.5186,2.6689,0.2257,8.1897,0.0131,18.8871,1.9396,1.6041,2.9185,0.5872,5.4352,1.3917,3.1153,3.0754,0.7023,2.9631,0.1851,1.0197,3.4866,0,0.6466,1.7606,3.6207,2.341,9.8147,46.2849,18.886,1.2157,8.5553,19.8908,3.0114,12.7396,96.8437,259.6796,9.7693,24.8636,23.6483,125.4468,21.4493,26.7905,30.1794,6.6884,4.551,5.0956,0
CHL_J61,16.569,9.7023,0.8933,75.4525,0.0999,46.9776,9.707,11.384,16.5557,4.003,15.0571,5.0883,9.928,9.8781,3.2665,17.6079,0.7073,5.5968,10.8537,0,1.8729,18.4009,31.908,7.8459,65.4274,346.9985,120.6999,2.1748,24.2396,32.7777,11.9944,39.4686,48.1871,2151.1741,186.4978,212.604,36.7091,184.5498,220.6406,163.1278,68.0707,132.5764,17.8944,34.9317,0
CHL_J62_63,6.4889,0.4265,1.116,126.1666,0.0134,157.3353,36.5189,34.5638,54.9109,22.2518,54.5243,29.3881,3.3999,24.7893,7.8638,57.6262,1.3687,10.5198,2.4634,0,4.9378,23.4429,23.1832,9.2122,17.3881,361.3717,11.272,3.6343,59.0302,39.3218,1.3897,14.7334,9.1533,104.9792,412.1322,490.7158,11.9814,198.7267,154.2765,156.9561,14.9756,62.3414,21.4249,6.4987,0
CHL_K,391.0823,67.7268,19.1049,297.9892,2.0878,326.5439,62.0148,65.9348,192.3694,67.0193,76.0442,17.8183,88.6932,46.6202,44.4499,73.1319,2.0611,21.4089,58.1106,0,16.9282,75.0871,403.6521,52.7671,1000.8379,1769.7423,387.3392,47.5768,50.1606,326.7594,4.7858,169.6338,37.8156,94.9124,56.0265,2828.4736,1191.3988,351.6084,359.4976,69.1048,124.3281,186.7563,46.3345,52.8698,0
CHL_L,50.7435,22.9788,0.1076,110.9496,0.0911,93.7987,53.0321,18.0191,36.0667,3.0968,26.9894,7.5619,20.4102,30.0542,3.5473,29.0565,1.661,17.0507,19.8061,0,10.0662,95.2673,39.8258,14.8543,123.732,2979.8685,149.9244,1.4812,206.8101,182.6489,6.1478,423.8717,105.9228,471.0213,132.5389,251.4963,444.5448,605.8489,395.7154,187.4289,644.618,287.579,150.2572,121.8436,0
CHL_M,42.4784,24.7021,57.7217,2990.7683,10.2296,1367.1995,110.1348,140.4974,266.9602,50.8385,364.8771,293.5441,56.4793,134.2455,84.5994,166.4926,3.7465,41.0546,105.0585,0,30.994,85.6734,259.0154,102.749,950.7977,3343.0086,144.0659,6.9463,235.6459,134.5216,13.7574,142.9175,209.9204,645.3715,313.6299,1292.1284,262.0061,2457.2282,622.1387,169.7333,368.4233,199.6691,224.4673,91.7168,0
CHL_N,243.7995,170.1662,11.7081,1156.2381,1.8841,381.0323,29.5229,133.8239,310.2647,35.5151,131.1514,9.5703,27.073,89.9726,14.8582,50.7175,0.8448,8.1674,19.5811,0,87.6069,78.3972,242.1738,83.654,689.5249,3268.3021,777.6427,26.5909,648.3549,433.4178,16.764,161.7628,91.4814,984.1209,111.2198,1359.1929,167.1851,341.9744,762.7617,648.3949,374.6477,446.9052,95.1199,34.6957,0
CHL_O,18.7214,8.0541,0.2136,45.8884,0.1923,70.8179,4.3928,10.4545,65.2176,2.8851,12.8137,3.3119,14.088,4.6201,4.3775,5.2196,0.1654,1.6747,9.2253,0,1.2035,4.6741,11.096,36.5233,28.9827,214.461,74.7294,16.4498,31.5187,55.5862,0.5433,12.3387,3.3593,17.3328,13.6828,21.6069,7.727,30.1403,17.1988,100.3637,12.0563,13.4219,4.1674,5.1507,0
CHL_P,1.191,0.2879,0.3244,22.7735,0.067,13.0718,2.1283,4.5856,5.0282,1.5496,4.2757,1.7463,0.832,3.5415,0.9895,4.0114,0.1047,0.6252,1.4036,0,1.2874,1.8047,5.1481,0.4113,8.6509,32.3687,2.2622,0.1292,1.5775,2.6447,0.0973,1.8764,2.3961,6.0442,11.3092,19.1862,5.6043,29.2541,19.5372,4.1432,7.6013,6.2217,1.1058,0.9783,0
CHL_Q,30.1643,8.2777,0.0533,8.3781,0.0119,11.5163,2.5757,2.7664,3.6564,1.0772,3.1956,1.3646,0.8739,2.3204,0.6914,3.0276,0.082,0.7309,0.9085,0,0.7341,2.7853,3.3101,0.5926,5.0422,73.7223,9.3857,0.61,6.0914,6.1581,0.4511,11.7138,4.5376,27.5244,13.8194,51.2841,9.8534,41.5814,44.4421,27.1606,18.6897,1319.6936,3.7604,29.2805,0
CHL_R,0.0022,0.0,0.0006,0.0008,0.0,0.0071,0.0,0.0,0.9419,1.9166,0.0262,0.0019,0.0012,0.0,0.0,0.0007,0.0,0.0,0.0,0,0.0,0.0,0.0016,0.0,0.4512,0.7348,0.0,0.0,0.0,0.0548,0.0,0.6832,133.1324,0.0076,12.7965,2.9177,0.0768,79.0889,0.9303,27.413,0.7858,0.2835,65.5522,0.8855,0
CHL_S,9.9492,1.7998,0.3608,60.1148,0.2712,23.5179,2.9259,5.4729,11.3399,0.6077,5.4413,2.1937,2.5343,3.4136,3.9385,4.1592,0.3207,1.9423,3.1776,0,2.1974,1.6269,21.8192,2.4259,17.6925,77.3446,34.6245,1.8643,6.4992,6.3142,0.3278,19.9842,3.9973,28.8386,12.3561,20.5673,4.7389,23.2401,23.6839,8.666,4.1684,48.3843,2.2072,16.0254,0
CHL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
