V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T
SVN_C20,18.4676,0.0379,0.3709,4.8942,0.0567,6.2983,8.7844,5.6344,17.5435,0.0066,94.671,2.7246,50.9207,7.7807,7.4384,7.0039,2.8002,28.8357,3.4494,14.642,1.0017,6.6896,8.0578,4.8923,11.2492,17.2223,4.1384,0.0133,0.4681,1.0585,0.1135,4.9292,0.6389,0.5155,0.7825,0.8636,2.1529,3.6687,2.9655,0.912,5.0857,8.1375,1.5434,0.9453,0.0
SVN_C21,2.975,0.0283,0.0801,0.406,0.0269,5.3525,1.7501,1.1003,1.0114,0.0006,1.6033,219.421,2.7284,1.3116,2.798,2.5539,1.0954,3.8632,1.8472,2.5297,0.2137,1.2242,2.8506,0.8137,5.4963,16.4719,3.525,0.0095,0.3475,0.8631,0.1004,2.4062,1.0967,0.7951,1.5441,1.5989,0.6563,22.8739,1.4943,5.1092,2.5762,98.2391,2.0546,1.2542,0.0
SVN_C22,2.24,0.0447,0.1905,0.6845,0.0458,29.2028,2.0273,6.3191,5.5984,0.0019,18.2193,1.3489,172.6732,5.5833,7.1687,14.774,4.8996,173.6214,9.3612,90.0045,7.1822,23.2474,3.4209,7.1293,34.3108,26.735,9.6632,0.0159,0.5586,1.1645,0.2347,3.0683,0.5566,1.0195,0.7386,1.3861,3.3609,8.1776,1.7871,1.554,1.8632,4.551,1.2179,0.8588,0.0
SVN_C23,3.4342,0.0234,0.1839,1.0313,0.0429,6.2603,1.1091,7.1215,1.3208,0.0004,5.6405,1.4489,5.0302,47.1504,14.4456,17.7208,1.5542,15.4869,1.8136,19.8249,0.0979,4.6957,2.985,5.3269,207.3327,21.541,2.8821,0.0048,0.2084,0.9019,0.1031,3.8928,0.4947,0.3633,0.5686,0.7767,1.2908,8.816,1.3031,1.143,1.9711,2.2592,0.9042,0.8708,0.0
SVN_C24,0.0484,0.003,0.0191,0.0123,0.0422,0.6702,0.1736,7.9129,1.4026,0.0,12.914,15.3362,5.2421,1.7138,293.1412,175.0525,3.8313,144.781,122.3206,133.6141,7.0155,34.7192,9.6341,6.5976,40.6353,18.4013,1.5869,0.0027,0.0,0.5775,0.0,0.0081,0.198,0.0365,0.2227,0.007,6.0992,19.1569,0.6241,0.0314,0.3368,0.1319,0.0398,0.4565,0.0
SVN_C25,7.564,0.0621,1.9305,1.5816,0.1448,23.9947,2.9682,13.3768,6.8952,0.0034,8.6743,5.3053,31.9133,12.4267,229.9635,337.4037,17.4542,90.9879,127.2628,107.3028,3.361,26.1154,9.4657,58.9284,134.5286,43.3288,8.5335,0.022,0.8915,6.6334,0.3576,6.8118,2.1995,1.309,1.9432,2.6665,12.2131,36.3142,5.2693,8.6846,4.5102,10.3142,3.9957,3.2117,0.0
SVN_C26,1.1737,0.0113,0.1528,0.2242,0.0084,1.4277,0.3716,0.7307,0.836,0.0002,0.5861,1.0297,3.3197,0.673,1.5608,2.8435,38.348,32.1879,6.5973,19.4369,0.1009,6.3695,1.9429,1.036,8.3543,9.7896,1.1778,0.0045,0.2626,0.7798,0.0647,0.9343,0.2923,1.4438,9.0554,1.5872,0.9655,6.1833,1.2518,0.7708,0.9524,1.6833,0.6265,1.6318,0.0
SVN_C27,4.2517,0.046,0.6468,0.5541,0.0329,6.7699,1.6255,3.0891,3.9197,0.001,2.5067,3.5428,7.6263,3.3699,12.4766,22.0824,9.9504,108.772,17.4202,49.8769,0.5779,21.4274,10.8147,6.3436,40.4421,27.3831,5.5257,0.0168,0.7839,3.0845,0.2232,4.3633,0.712,7.2244,2.164,2.7421,7.1006,23.7181,2.93,2.6089,2.1102,4.6294,1.7243,1.618,0.0
SVN_C28,4.7127,0.0273,0.7659,1.0619,0.0599,4.671,1.2638,2.3577,3.0354,0.0004,2.1867,2.1311,5.2781,2.1796,13.0471,23.8248,2.5655,15.4319,40.3569,44.7418,0.2786,5.806,5.2048,5.0806,26.6276,15.1809,3.3972,0.0068,0.4964,2.7786,0.1467,2.4187,0.3668,0.6038,1.1897,1.3604,2.5258,15.4995,1.8919,3.7627,1.5133,4.2129,1.0158,1.7551,0.0
SVN_C29,1.6255,0.0204,0.0869,0.1603,0.0107,3.0167,0.8213,3.8522,0.945,0.0005,1.0765,1.4503,3.3884,1.0672,8.2574,6.3202,1.3807,8.7554,2.9089,279.2876,0.2071,2.2224,1.6027,9.2907,6.1656,31.8497,16.2835,0.0166,0.313,0.772,0.1374,1.6267,0.4257,0.7501,0.9312,0.8191,0.8871,2.785,1.215,1.7084,0.7109,1.2549,0.604,0.9727,0.0
SVN_C30,0.096,0.0206,0.01,0.0066,0.0007,0.2643,0.0015,0.1114,0.0598,0.0001,0.0105,0.0,0.0115,0.0392,0.5262,0.1963,0.1162,0.0034,0.0183,0.3776,4.9489,10.6851,0.1166,2.0048,0.182,12.6228,2.8578,0.0089,1.561,0.0159,0.0261,0.0148,0.2969,0.0,0.0089,0.0028,0.0885,0.0922,0.0617,0.0312,0.0058,0.2589,0.2103,0.0288,0.0
SVN_C31T33,20.8942,0.075,3.3365,5.7706,0.1614,13.4539,4.0778,6.7948,13.001,0.0006,7.1827,9.2073,14.9835,6.3573,22.1195,60.4046,8.7697,26.5709,39.4753,27.1132,0.6852,30.4562,19.0506,6.4753,37.4877,55.8889,8.0952,0.0193,2.2292,15.8848,1.158,9.5982,1.0444,1.8959,3.5094,8.554,8.7933,66.9832,10.3998,8.3734,9.7798,52.2458,8.1598,7.6453,0.0
SVN_D,6.056,0.1516,4.1775,6.5633,0.1519,25.3252,3.9713,12.2588,27.6582,0.0043,17.7527,37.1429,21.3683,17.853,104.6885,28.8178,3.4426,20.9097,14.1651,19.0283,0.9658,12.7334,113.1219,26.1243,36.2603,112.0275,27.5258,0.0247,0.3301,12.233,2.2517,38.0624,4.7945,9.2749,6.5228,11.3115,18.9972,41.0573,9.1641,34.7624,23.8718,30.0423,17.1882,14.923,0.0
SVN_E,4.2762,0.104,0.8766,1.4813,0.0459,14.9697,2.7,3.6684,5.7042,0.0016,6.9254,11.5596,9.0118,5.7409,167.0173,42.8619,8.5356,7.3855,4.747,6.7942,0.3258,6.4361,17.8219,224.1915,45.7985,41.7488,8.798,0.0454,0.7403,8.283,0.8186,20.8434,8.4981,1.2284,1.7608,3.6799,7.3548,19.8563,10.0713,20.4887,14.9718,19.3571,6.751,9.344,0.0
SVN_F,19.6714,0.0523,0.7763,4.3342,0.1354,9.2719,1.6254,21.3485,3.043,0.0011,4.3262,29.05,7.5324,18.2996,16.0019,57.896,2.7186,11.5338,12.4849,5.6887,0.3258,113.7983,88.573,107.0394,1825.2535,121.6834,48.7041,0.0719,0.7045,34.3106,2.3324,45.5518,6.0338,3.1273,3.6955,20.3405,100.7147,410.0027,41.4756,223.1099,31.1783,47.284,12.9662,3.2473,0.0
SVN_G,123.6292,1.74,1.9775,7.8267,0.451,240.9696,78.3553,38.7895,47.7919,0.02,51.5246,102.1251,78.2357,49.1811,102.0098,111.8716,35.3253,113.7296,61.8841,147.9321,5.7782,48.0234,71.9231,64.8409,221.5053,479.5993,283.1386,0.6573,52.7578,39.7406,9.8559,147.3247,22.0682,28.9709,43.9816,48.0994,36.2065,137.8479,51.3819,70.032,57.7708,87.2787,41.4924,26.0764,0.0
SVN_H49,25.2572,0.1997,2.0064,26.6484,0.1952,49.5107,8.3055,14.819,31.9251,0.0151,25.3203,26.3089,27.2686,36.7026,48.4675,57.0549,7.4601,44.248,25.8685,48.8958,1.7978,19.8598,15.3742,23.5915,67.4659,200.0401,349.8221,0.1691,2.509,146.2975,11.8789,11.2697,7.3706,2.0731,5.2334,4.9056,3.2433,19.7639,50.4783,16.4339,14.1003,11.5051,11.3546,8.2098,0.0
SVN_H50,0.3051,0.0009,0.0053,0.0178,0.0002,0.3436,0.0954,0.052,0.0797,0.0001,0.0999,0.09,0.2552,0.1397,0.264,0.311,0.0396,0.3038,0.1831,0.483,0.0094,0.0396,0.2116,0.0712,0.1732,0.2121,0.3878,0.0055,0.07,0.1886,0.0192,0.1759,0.0116,0.0079,0.0183,0.0707,0.0662,0.1033,0.0469,0.043,0.089,0.1297,0.0259,0.0254,0.0
SVN_H51,0.6233,0.0037,0.0262,0.0697,0.0016,0.7756,0.3054,0.1848,0.3104,0.0001,0.3643,0.2722,0.4365,0.1709,0.8767,0.7723,0.1271,0.6624,0.4309,0.8981,0.0246,0.301,0.5145,0.1642,0.7831,0.954,1.0915,0.001,0.0339,0.1141,0.0176,0.4373,0.0927,0.0484,0.0923,0.0959,0.182,0.7763,0.152,0.1428,0.184,0.3601,0.131,0.1372,0.0
SVN_H52,5.4623,0.0806,0.1159,1.4931,0.1127,15.5693,3.35,2.6667,8.9779,0.0031,5.7853,27.7157,6.0102,5.9476,7.8189,13.1844,2.647,9.4718,5.388,11.2135,0.9445,4.2588,7.8718,8.4572,17.0733,132.2704,176.8224,0.5552,35.7578,423.3601,21.2584,10.0086,1.5534,3.1509,3.3791,2.8861,5.9293,8.2334,5.7825,11.1748,2.975,4.2401,3.9123,2.0374,0.0
SVN_H53,0.641,0.1288,0.0383,0.5179,0.0097,1.9275,0.5539,0.6734,1.6785,0.0027,0.6009,3.9299,0.9845,0.7964,0.8786,3.1139,0.6134,1.4404,1.9298,1.0639,0.3081,1.9089,5.4207,6.0226,4.4205,44.6473,9.608,0.0219,0.3108,4.3372,39.8856,3.0844,16.2934,8.1375,18.804,46.4872,2.3921,7.5545,6.876,42.3801,4.2541,9.0438,2.8511,15.1825,0.0
SVN_I,0.4436,0.0496,0.0428,0.1774,0.0201,2.1274,0.383,0.5063,0.6242,0.0002,0.7652,5.4946,1.357,1.0983,0.4608,8.2494,1.2697,2.4581,4.1176,4.1496,1.5561,3.9842,1.4456,0.5748,13.5674,19.1572,16.6392,0.0304,1.6551,3.5626,0.2275,14.3402,1.0659,3.3591,4.6989,2.1821,0.4656,10.4495,98.3859,6.3462,11.4894,6.5606,12.0395,7.899,0.0
SVN_J58T60,1.0541,0.0365,0.0345,0.14,0.0113,3.8951,0.5326,0.4771,1.6451,0.0032,0.9097,17.208,1.1708,1.1339,5.0561,1.943,1.1095,2.4364,2.6016,1.6758,0.2987,1.3017,1.9577,5.4692,1.9939,33.454,2.9004,0.0234,0.8377,4.0024,0.5613,4.5251,94.355,24.7081,3.1304,4.9401,0.8372,29.7138,7.1363,6.1607,4.2221,2.5931,6.6397,6.6036,0.0
SVN_J61,1.0604,0.0779,0.0692,0.2585,0.0338,2.6959,0.7119,0.912,1.2522,0.0006,1.1896,4.9441,2.1942,1.105,1.0692,2.9055,1.4594,3.8394,2.7889,2.0167,0.3426,2.2939,7.2019,2.6484,7.704,34.3851,16.2557,0.029,0.8809,3.9436,2.3147,6.5571,9.0351,309.6593,46.7953,18.2013,1.6593,13.1104,6.4293,14.779,5.9188,8.7891,5.2541,10.8392,0.0
SVN_J62_63,2.4854,0.1188,1.0187,0.5294,0.0376,8.4223,1.8282,2.365,10.5841,0.0023,4.925,36.7022,5.4232,4.4854,4.2396,7.177,4.2929,13.0776,6.4688,8.9599,0.2702,4.3909,38.6594,5.0554,8.5096,104.5986,11.768,0.0821,14.9113,17.1212,3.678,9.986,8.759,50.267,174.814,62.6142,4.3596,53.1583,18.2148,46.8605,13.449,24.8914,9.8426,16.9285,0.0
SVN_K,20.8708,0.2102,1.1851,4.7208,0.2503,20.1861,4.1195,8.9654,11.6043,0.0028,18.9372,28.3317,13.0452,9.2256,20.9134,31.4358,6.2911,28.1348,19.8097,29.1247,1.7763,16.4787,45.7359,18.678,55.3203,179.1425,60.8793,0.4015,5.826,27.9259,7.0831,38.1907,5.675,14.3391,21.7575,394.2211,70.7965,74.0295,40.6067,66.9933,7.2876,17.9518,15.6883,15.3906,0.0
SVN_L,2.3609,0.181,0.0763,0.1975,0.025,8.5633,1.9392,3.278,3.84,0.0011,4.2675,7.6735,4.6192,2.3291,5.8732,14.8906,1.8715,8.5237,4.958,4.5493,2.4956,5.2278,8.5392,36.7259,30.8739,187.0996,13.6024,0.0588,2.0055,21.2562,2.2613,38.4749,3.8012,11.7044,13.9428,13.178,32.439,29.9731,21.8278,24.8802,8.5539,13.2645,9.417,8.7301,0.0
SVN_M,27.1786,0.4456,1.8449,4.222,0.5678,69.2931,9.9039,19.0041,24.8655,0.0098,22.9334,344.1452,50.24,25.5128,47.407,72.9675,25.407,53.0468,46.7105,52.0384,2.6589,55.0652,64.6839,41.864,325.7957,554.851,87.4331,0.2673,5.8196,34.9851,3.2715,70.1882,66.864,24.2321,48.4824,88.1772,58.4336,629.9189,82.8787,119.7717,58.6324,72.9654,60.195,47.0854,0.0
SVN_N,4.7569,0.0956,0.5852,2.236,0.1767,29.3194,6.5651,8.0318,20.0409,0.0018,8.2047,116.5298,17.7135,10.5329,18.4094,39.7783,7.4746,50.8362,27.7042,57.78,0.9145,27.49,31.9295,17.9852,38.6476,208.2811,34.5051,0.0531,13.6993,32.5883,10.9459,82.8343,11.7163,13.186,23.8788,26.5809,13.4411,52.9982,160.9369,20.9942,31.7182,32.8638,38.4613,18.7102,0.0
SVN_O,2.0129,0.1113,0.0488,0.0707,0.0195,6.8346,0.8721,1.973,2.5674,0.0007,2.7026,8.0745,2.8008,1.255,3.5964,10.3454,1.323,4.8002,2.995,2.8409,1.5272,3.2774,5.3848,23.4803,13.9093,96.9936,27.868,0.9323,0.7956,26.1509,1.8447,17.8246,2.6056,11.1719,10.3808,17.5916,21.1229,22.096,15.1889,87.1971,6.163,8.9158,6.9926,5.5955,0.0
SVN_P,2.9755,0.0465,0.0904,0.1933,0.0155,5.0217,0.5154,0.9497,1.5415,0.0005,1.0522,11.6315,2.4404,0.9084,1.6652,3.9521,2.5643,4.2624,2.5792,3.7287,0.2125,2.3362,10.8507,2.2778,5.2872,30.6266,4.9093,0.0142,4.1843,2.5104,0.6726,4.2571,1.7384,2.8474,8.4077,8.8984,1.3405,22.0325,4.4282,31.5003,32.1357,19.7034,4.8093,6.5462,0.0
SVN_Q,1.4237,0.0462,0.1364,0.0904,0.0066,1.9904,0.4027,0.4675,0.7884,0.0002,0.6758,4.6287,0.9157,0.6846,0.8783,2.1569,0.3922,1.3519,0.9563,1.5231,0.1071,1.1997,3.8474,1.9203,2.6511,10.6282,2.5229,0.0162,0.2412,1.6294,0.4786,4.5648,0.5286,0.71,1.5261,1.9372,1.0685,3.3892,3.5617,6.2691,4.0646,162.1485,3.7437,34.8872,0.0
SVN_R,0.8672,0.0526,0.1155,0.2916,0.0044,1.8906,0.6014,0.5728,0.6473,0.0003,0.4417,4.9539,0.5459,0.4876,2.8297,1.296,0.3659,1.3273,0.7135,3.2213,0.1616,2.2333,1.1146,1.2947,1.4199,9.8114,2.9712,0.0361,0.3301,2.0849,0.1987,8.9599,5.252,4.0929,1.3819,3.4369,1.5002,4.0453,4.8434,2.7931,10.3021,1.7189,130.2129,6.4182,0.0
SVN_S,3.5841,0.4918,0.0998,0.2978,0.0171,5.5334,0.761,0.6722,0.7792,0.0019,2.0369,3.1881,1.4299,1.4651,0.8307,3.8637,0.817,4.8642,1.4498,1.2971,0.3262,1.4197,18.5307,3.9162,2.8207,25.1372,8.9849,0.0832,3.7463,3.4489,0.6474,16.0161,4.9517,2.0757,3.5471,14.5442,1.9766,15.7389,3.8119,17.1176,7.7901,17.6293,29.5997,67.2571,0.0
SVN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
