V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T
FIN_C28,85.3366,1.4711,12.4485,28.1228,4.711,102.4976,5.1745,40.1937,180.9671,53.5226,39.4685,10.6157,22.7737,32.7318,74.622,156.7184,184.2029,152.71,1479.8194,141.3742,77.0243,237.6534,54.9026,152.9882,722.9552,290.0883,138.4038,88.0687,98.2354,41.1346,12.7035,31.7549,72.5953,36.8942,116.4908,45.9728,26.3759,219.8768,91.7211,317.4696,24.4511,76.8162,24.8028,38.8435,0.0
FIN_C29,2.7133,0.0303,0.1148,0.3367,0.0459,3.8203,0.319,1.8237,3.9912,1.7382,2.2879,0.3682,3.4025,1.0071,1.6774,4.3313,8.6677,4.4313,85.4471,63.9806,3.6841,6.4562,0.9415,1.9162,21.0152,115.7975,18.0856,0.4967,0.5983,6.9541,0.0751,1.1949,1.0946,1.154,2.0611,0.9466,0.7126,3.3642,1.236,10.6278,0.551,2.9516,0.5471,0.6303,0.0
FIN_C30,0.0,1.3108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9341,0.0007,0.0,0.1419,0.0559,1.8387,0.1485,2.4642,75.3525,58.3342,0.0,0.0,0.0,1.1695,2.476,3.2124,7.8544,1.5611,0.0,0.0,0.0015,0.0,0.0,0.0,0.0146,0.0917,10.1747,108.1206,0.0684,0.015,0.0037,0.0,0.0
FIN_C31T33,61.8832,2.7359,21.367,43.8537,7.0195,115.5294,2.244,39.5274,303.926,76.231,37.7191,6.0731,25.1911,35.8303,124.7671,196.4108,80.8144,22.5402,148.572,12.8134,18.6692,389.2846,68.8568,293.8261,308.6371,140.5404,226.6592,114.2627,168.7793,17.6988,9.7935,17.8311,14.6576,36.0084,13.3581,25.8268,3.7993,68.5662,46.7643,72.0187,20.3763,169.4562,26.7366,22.3807,0.0
FIN_D,160.0343,6.7486,7.5404,26.1011,1.6889,217.544,14.255,163.692,752.9844,59.6158,243.6685,12.7651,73.4252,83.8706,218.33,77.9925,57.6992,31.2123,93.1648,22.4676,20.2242,51.7174,192.9584,102.9652,210.6925,548.9644,92.0481,10.1111,30.3153,63.1601,4.1733,147.5753,24.3353,77.8189,63.9798,148.7518,1250.4514,83.6433,89.4655,576.5673,234.3538,406.1476,266.2198,355.9629,0.0
FIN_E,3.8801,0.1433,9.257,17.5456,3.2631,39.9042,2.9841,25.9123,102.5132,8.4584,21.0956,4.2069,12.3646,16.2091,817.5868,33.9409,24.7458,10.3052,80.9922,3.7932,14.6063,18.3132,62.7763,566.6258,216.1873,165.5618,9.0795,8.8551,5.4642,6.0138,2.1252,52.4789,13.0078,8.6697,35.3104,40.5512,386.45,113.0089,120.8916,171.8716,52.0382,71.4031,20.1815,27.7112,0.0
FIN_F,329.0936,0.1225,3.5153,8.9809,1.2706,61.562,2.8511,66.6775,69.8947,90.1244,98.2984,3.4046,26.1324,20.3861,52.7478,34.0107,26.2507,16.5939,27.1377,9.0789,8.5385,43.9991,754.4483,54.1735,4366.9537,304.9178,265.4071,34.5336,98.6974,57.3872,14.1671,55.102,7.3852,46.7429,20.6642,48.4385,2193.5702,26.2275,118.0611,961.8087,118.2109,121.393,43.7294,11.8786,0.0
FIN_G,758.9056,11.5843,10.9328,36.6615,4.4088,1231.5736,129.4533,517.3577,794.8608,426.8604,516.6207,58.462,165.2064,159.8999,139.5971,191.5791,257.5344,184.1466,491.6489,98.4147,102.1067,211.6221,186.3362,125.2876,1760.3084,1189.4594,1509.2403,91.6182,71.5754,231.6368,15.9394,664.1631,314.2408,84.4432,214.4691,222.7138,237.9146,579.7063,481.4611,427.3017,201.3797,880.821,263.5017,308.2662,0.0
FIN_H49,69.1125,1.995,7.629,28.4402,2.2207,304.6786,21.1666,258.6944,728.7984,186.7362,192.154,14.8829,47.1019,95.3151,106.2274,57.6545,41.9188,40.5778,171.5398,81.3385,12.5294,67.3458,44.5399,13.128,420.8281,707.9898,1221.9904,23.0736,10.456,267.693,221.2088,74.3798,119.2661,15.4803,33.3375,127.5501,31.3723,111.056,62.8611,776.0417,230.3836,480.0035,126.9706,201.4438,0.0
FIN_H50,14.9422,0.4449,0.5489,1.7289,0.2202,30.4203,3.0135,15.3922,23.0771,29.351,15.8885,1.7134,6.0206,4.7363,4.7686,5.944,7.1663,5.146,15.7627,2.4359,3.9827,5.6671,12.1571,3.5103,69.2669,11.5657,7.0066,1.6501,1.5155,3.3344,0.1931,10.342,6.606,1.8755,4.8887,5.0062,5.252,14.0954,6.5625,7.8021,2.6503,18.0652,3.4413,4.1959,0.0
FIN_H51,10.8123,0.4392,0.8352,2.8923,0.3305,19.0669,1.989,7.0657,15.3988,43.5533,16.3014,1.3471,5.0596,4.5547,15.3457,8.5287,8.6312,7.6177,19.5499,2.9827,3.5982,5.5846,12.3909,2.7626,43.8073,34.4724,10.7454,3.6492,10.997,13.9564,2.5794,11.7903,5.4413,2.5361,7.9261,10.12,6.1998,20.5322,28.6414,20.8472,9.9423,27.7502,7.8867,9.6559,0.0
FIN_H52,10.3032,0.2252,9.3301,22.0031,1.8089,234.2645,16.5005,232.4989,707.1104,77.7799,169.311,12.3811,43.8164,94.1124,104.0498,58.1101,36.7306,37.2321,162.9836,74.3088,6.4286,56.568,7.9918,112.2589,46.6439,747.1576,14.4019,320.1908,279.7208,2277.2478,30.8846,28.4355,87.7326,2.47,31.3822,5.4854,9.6838,59.6781,43.2292,16.7343,57.0814,33.0123,15.4069,4.2832,0.0
FIN_H53,10.5608,0.7313,2.5323,7.5856,1.2452,46.6323,7.4346,27.5675,41.6521,15.7038,33.2588,3.1059,15.0115,13.8682,29.6888,44.3166,36.325,33.2717,146.9728,14.2797,8.8891,33.7152,25.7969,1.5054,22.5761,103.3699,9.8934,15.2743,9.7879,3.0267,2.7328,16.1586,14.4216,7.623,11.2133,59.1491,40.2618,35.241,23.7475,127.332,44.2085,80.3849,40.1331,59.0566,0.0
FIN_I,13.3402,0.7542,1.074,0.8891,0.0801,9.514,0.2864,3.3964,8.711,0.5806,3.3742,6.8615,4.0085,4.6024,1.4542,6.7465,3.7622,7.6839,13.3361,0.7069,0.5385,4.8779,2.1906,1.7234,56.9661,341.5026,56.0053,31.0165,84.0493,32.3642,2.8083,57.8464,39.1327,14.0259,34.1075,199.9325,31.3382,89.0272,87.3064,280.7782,325.7414,729.2591,143.1037,101.6539,0.0
FIN_J58T60,5.1036,0.1351,3.7438,8.1762,0.5106,81.2813,6.7526,12.4977,83.1918,13.4959,18.8448,27.1307,10.0552,14.9179,18.9512,19.6272,164.2698,21.2592,63.1644,3.5745,4.9128,28.3157,30.6157,18.2258,27.9789,488.5204,18.7665,18.1395,29.9185,36.6404,4.7872,84.5982,619.2659,22.1191,270.3304,223.5212,36.7323,166.144,104.421,208.324,132.026,167.6386,332.3804,102.7683,0.0
FIN_J61,8.6661,0.3762,1.2598,3.7948,0.6978,33.3106,1.9835,12.6378,21.4321,9.6155,14.0106,1.7113,8.8814,6.3448,18.8123,23.0881,18.1141,14.2979,65.4031,4.9497,3.2504,18.8649,42.3525,4.9041,41.4965,103.5465,23.217,9.5947,12.6608,8.2939,0.8137,57.0752,50.005,622.0005,66.2741,233.2156,62.2109,64.7471,94.9456,329.5458,126.4404,264.0938,102.4002,128.6731,0.0
FIN_J62_63,8.4026,0.2737,1.4841,4.6083,0.6829,70.4228,5.2746,28.9435,172.1803,42.1337,30.9572,17.1301,17.5928,19.8864,47.2172,47.6159,344.1446,52.2543,244.8915,13.508,16.8861,43.4038,107.1933,17.2363,73.3344,500.3163,45.0642,10.9454,45.8916,82.1227,18.6855,61.1885,289.9695,88.6816,920.2454,537.2354,57.8054,243.9872,116.2715,652.8292,149.7567,257.9022,118.1062,65.9511,0.0
FIN_K,110.7287,1.4467,8.7407,26.6537,2.5712,120.9832,19.2528,67.2726,133.9262,50.9423,92.1372,10.0448,52.7378,41.125,118.8623,121.3846,108.1143,84.0821,345.4906,32.9209,22.1159,93.866,224.9099,23.2672,141.6816,665.763,69.8765,45.8635,66.1718,39.4141,9.2996,98.0792,53.5345,47.5972,89.9325,2556.714,2222.238,184.1256,149.0012,353.524,125.3698,279.7139,99.9092,107.1511,0.0
FIN_L,14.9689,0.7931,1.0358,5.3433,0.8189,98.1614,5.2518,9.7116,67.3342,7.382,20.066,6.1908,16.5386,18.0153,14.2483,69.4833,45.9982,25.6993,89.4278,14.4339,22.4391,53.803,53.5205,49.1844,113.9048,2288.3055,191.4025,12.6863,27.7036,209.8297,55.9662,503.911,91.1606,133.131,125.1531,216.5066,350.5351,464.1889,208.8216,961.7805,389.2139,736.7787,295.6179,206.5111,0.0
FIN_M,42.278,1.3883,21.6156,58.4571,13.0526,258.8754,16.3181,99.6055,220.22,22.5047,95.9772,76.4875,41.3411,47.7453,80.1598,218.1781,808.4068,73.5609,563.4976,33.8011,153.3747,139.7205,183.4842,25.2496,1711.7491,1692.3493,93.6094,104.8014,107.8237,110.931,34.5016,181.3219,318.536,145.0964,642.2526,283.241,237.675,1657.9363,478.3424,918.0111,71.3445,143.2365,113.2724,133.8952,0.0
FIN_N,133.4551,1.1111,1.0401,6.4628,0.6356,149.7456,19.8892,75.5993,91.7323,34.0314,104.7714,30.1337,49.2444,98.763,61.3252,232.1582,118.6068,85.8505,282.4637,83.9797,23.5739,79.1571,104.7131,38.8112,733.4335,1213.0445,186.7956,157.0096,120.6611,376.4478,116.2517,414.3888,168.7862,123.339,208.7816,185.762,1032.3643,376.9677,1257.873,679.965,285.7512,824.7559,174.7912,178.8923,0.0
FIN_O,45.6376,1.3187,11.89,26.922,4.1696,154.9411,19.1209,73.6971,173.3968,25.6069,66.6782,18.5305,51.8771,45.0646,88.4796,157.1213,127.4651,71.0297,402.3969,29.2205,32.2261,96.8558,68.0406,18.9914,363.0053,536.4871,91.355,41.5262,46.6782,97.8833,10.563,69.9276,76.2931,48.834,127.87,156.7029,230.47,291.2193,123.1406,293.1316,98.9071,632.1886,104.6492,151.5436,0.0
FIN_P,2.0413,0.0663,0.8277,1.8984,0.3004,16.546,0.8638,2.4713,5.2693,3.5986,17.9005,33.8862,3.2366,13.5035,154.4219,21.1578,327.9496,30.9159,67.9153,6.9429,2.2668,5.5961,21.2124,3.7042,6.6485,48.6737,3.1601,3.8514,1.131,8.7386,1.3225,8.7881,14.378,3.8487,45.7197,25.9397,11.7371,113.5583,7.4656,225.1836,577.9945,164.6255,66.2296,112.1433,0.0
FIN_Q,13.1603,0.0179,0.0433,0.1759,0.0316,2.4321,0.1246,0.3848,1.9687,0.232,0.6296,0.2318,0.4104,0.4174,0.5034,1.6483,3.7758,0.6773,2.6204,0.3294,0.5593,1.3034,1.3752,1.44,4.0557,61.3372,16.2642,5.4994,3.8708,8.1116,2.9885,9.6843,24.1883,6.1234,29.4341,28.2678,7.3015,21.8424,7.3995,129.8219,87.0494,2009.7085,14.4458,5.4432,0.0
FIN_R,10.018,0.2406,1.6447,3.1932,0.0394,27.199,1.1551,0.9932,3.186,0.3699,1.5819,1.4394,1.0627,0.9718,0.9239,2.1043,10.8555,1.667,4.7826,0.2511,0.5871,1.5832,1.5082,2.4169,19.8029,71.6303,8.4381,18.3795,3.6027,3.2711,2.9553,35.8653,12.4879,3.915,12.6125,23.9506,12.2214,23.799,9.8129,47.2566,163.415,36.4674,118.6138,20.6144,0.0
FIN_S,10.585,2.0794,0.6212,2.329,0.0687,29.8971,3.1575,10.1676,18.6095,12.4674,11.9106,3.9541,6.1812,8.1879,11.5621,19.6234,33.0717,16.7568,26.7774,3.2789,5.1562,10.2404,13.208,5.0909,33.6274,163.6115,45.7223,6.0432,7.2533,9.6481,3.6772,162.3316,28.906,10.5858,45.2665,92.0781,29.7447,106.1375,51.0938,116.6717,73.9377,229.2868,48.5276,60.0551,0.0
FIN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
