V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T
BEL_C28,45.535,0.8184,0,1.4554,0.0029,82.6922,7.0452,14.2545,17.7972,39.385,91.1702,47.7939,10.618,9.0618,55.5012,71.9782,25.2017,8.4166,728.844,187.6637,6.4328,156.6039,26.8797,32.2957,316.3219,123.1738,25.0052,4.4113,15.8408,36.4384,4.4177,15.0931,4.6466,10.6704,21.9995,16.5463,23.3801,126.5995,34.6739,30.1857,8.8911,43.6073,7.6953,9.8234,0.0
BEL_C29,3.3076,0.0985,0,0.319,0.0004,13.8272,4.0721,1.6597,3.2589,7.5636,13.2551,44.4912,21.9239,3.0583,12.0507,18.2262,5.4616,9.7919,34.2187,1563.0965,4.8213,17.2868,3.1809,11.0716,66.0658,146.8201,58.1513,1.4939,5.5817,30.8328,3.6454,4.1649,3.2613,5.4741,13.3844,11.8374,6.2473,81.514,89.8353,13.4864,3.0217,15.2619,1.9318,6.3424,0.0
BEL_C30,0.0,0.7681,0,0.0,0.0,0.2021,0.0,0.0,0.0,0.1397,0.2896,0.0,0.4978,0.5694,0.0,0.4073,0.6017,0.0,0.0025,3.9215,177.952,135.7291,0.0005,0.0,0.9879,15.5782,41.6115,3.9939,24.516,3.1039,0.0,0.0,0.2049,0.0,0.1197,0.0,0.0,2.1956,112.4707,36.1372,0.0,1.1327,0.4925,0.0128,0.0
BEL_C31T33,138.3374,5.4491,0,10.9214,0.004,200.597,48.4525,78.0771,140.6279,51.2526,128.8735,84.6298,67.0033,53.6577,422.644,190.5036,52.5141,30.3934,130.4779,72.6477,48.7152,357.1755,90.1495,257.767,310.6535,342.049,151.9326,55.5639,185.2233,99.3587,20.3767,52.8377,26.281,67.5382,28.3678,20.1084,35.119,311.476,190.9274,113.7388,39.4328,339.535,78.2574,51.9421,0.0
BEL_D,165.5877,0.0621,0,19.6166,0.0046,444.0046,61.8704,59.2026,139.6912,224.2241,913.6654,99.371,103.1853,159.4127,699.1852,97.0428,29.8435,27.2991,58.0736,57.6365,16.0764,41.4953,1481.2751,171.1397,123.3046,551.2285,211.9994,0.3763,2.0405,143.8549,14.7704,136.3488,24.8037,82.3651,109.8527,172.4904,160.4842,292.1601,91.5023,154.8393,99.2981,360.0794,73.6463,81.3881,0.0
BEL_E,15.4182,0.7112,0,4.0877,0.0011,97.1502,15.7796,166.8299,249.0313,82.259,187.3117,64.0122,101.8959,56.0664,2109.9793,593.1025,16.8753,5.131,18.4981,15.7627,242.95,131.171,25.8063,3949.1673,282.6613,281.4323,37.0444,4.5429,2.2386,49.9724,19.6609,71.5975,8.2277,6.3777,15.3582,24.7724,125.845,125.7676,143.0576,393.9843,24.2593,114.9044,24.8687,74.0275,0.0
BEL_F,151.9543,1.0916,0,23.4248,0.0055,172.8763,20.749,33.7284,73.956,96.6793,328.2741,398.5067,41.1372,80.2834,145.9969,605.0931,28.7088,32.5833,64.638,81.3158,19.2927,414.6916,1124.934,407.4167,26922.4585,966.8847,226.825,14.4294,49.7828,384.1957,14.1634,144.0029,42.8004,65.5156,124.3542,362.5263,1984.2508,735.6144,284.1193,480.3528,241.3256,389.6567,124.1988,300.2406,0.0
BEL_G,1083.0143,8.9007,0,25.2788,0.0094,5555.171,536.6069,283.59,514.3693,1936.1179,1802.5837,895.9548,497.3087,398.355,850.9853,483.5327,335.2604,194.6955,517.2753,1057.3686,98.0333,525.3814,280.8432,279.2454,2925.551,2239.2018,1232.8279,44.6758,229.2935,891.3827,161.767,1386.1766,231.7246,109.777,245.7066,325.8283,336.3615,1346.873,1636.877,478.7733,211.1216,1526.5045,130.4554,222.0952,0.0
BEL_H49,114.0069,1.0829,0,20.2671,0.0033,894.0861,64.5875,94.923,158.2835,323.2545,373.6964,256.5634,137.3373,215.5459,357.839,162.9879,32.1918,44.5685,113.7659,146.695,15.7739,122.7945,213.6206,136.2889,528.894,1698.2183,1370.1241,15.3874,42.3957,714.6364,262.3847,121.0388,50.5003,19.2018,53.0412,55.5337,47.691,187.3757,186.2714,85.9392,40.5174,183.2266,21.6776,74.8444,0.0
BEL_H50,3.8671,0.0556,0,0.3959,0.0001,21.541,2.3033,1.4342,2.5357,24.1906,13.3736,14.3822,2.9561,4.9391,12.5909,4.1193,1.9649,1.3876,3.9201,8.1209,1.0005,4.7376,2.4714,1.1466,20.5162,22.1285,6.7992,2.807,2.6001,10.1242,0.6411,5.7535,1.8797,1.8185,1.6271,1.4681,1.9276,7.8187,7.8327,2.0003,1.0336,6.435,0.745,0.8315,0.0
BEL_H51,8.3789,0.0976,0,0.6707,0.0002,44.7148,4.1263,2.8973,4.8205,44.104,23.249,5.189,5.2208,9.2633,22.7272,6.498,3.4577,2.5254,6.9471,14.8153,1.7468,8.6735,4.5585,1.2359,36.8909,18.6181,4.6779,0.4115,1.0284,3.5959,0.2621,10.9151,1.3554,1.0948,1.7878,1.284,3.6592,3.7309,4.8925,2.9787,1.1085,11.9228,0.6561,1.0458,0.0
BEL_H52,30.8356,5.848,0,8.2658,0.0026,323.7409,12.7143,21.0632,35.104,196.5897,358.4089,59.3403,33.6659,55.1044,152.0602,47.6164,11.5685,11.5895,43.8469,79.9891,3.4152,38.3213,46.6606,18.3213,201.2779,2893.7583,3064.9769,250.4168,570.5675,5065.0984,298.4766,30.7422,18.2728,6.8756,43.6143,16.9939,21.1344,128.2738,151.7772,18.0363,18.1142,47.9835,4.1409,19.6757,0.0
BEL_H53,1.5209,0.0593,0,0.2787,0.0002,33.6687,9.1425,2.6312,22.758,2.6075,21.2091,13.1952,13.966,4.8048,10.9705,7.4136,1.7114,3.0828,20.8638,6.4779,0.7999,6.8435,23.4183,24.1138,50.1961,584.48,27.3899,0.3872,2.4349,135.2902,352.0629,9.6933,164.214,125.8733,44.3658,223.9833,40.7927,633.4293,264.2199,594.8234,51.7226,176.2228,32.9256,69.3665,0.0
BEL_I,7.2627,0.0585,0,0.9923,0.0013,39.8322,10.9736,5.3447,8.3254,31.925,46.2442,31.0964,19.3399,15.4952,14.1365,38.0396,18.7205,11.8933,36.6692,17.0564,5.0476,18.2755,14.0348,9.8702,93.586,623.0987,39.9086,3.8632,219.0468,474.8331,8.4079,67.4211,169.8457,14.5074,128.1227,560.3165,29.0002,496.8194,1299.3928,192.9126,366.9702,581.1971,214.1587,321.1854,0.0
BEL_J58T60,2.175,0.0095,0,0.4118,0.0002,115.8093,15.0495,10.8354,32.2286,13.2187,22.9904,57.4023,6.522,6.3999,5.4062,15.4744,4.4768,5.4653,6.6239,8.5943,1.0521,13.9179,5.4204,3.9246,40.9811,516.834,9.5808,0.6538,9.5955,13.852,3.9189,20.5984,745.1791,86.0254,73.9228,63.1219,15.0874,846.693,109.2881,47.5136,50.8948,20.2688,49.2462,26.8022,0.0
BEL_J61,1.2804,0.1503,0,0.5741,0.0009,17.3377,3.3947,2.495,6.3241,18.4425,29.84,50.1262,9.3389,7.0669,11.5496,19.4751,7.7117,4.6248,11.8394,4.1947,1.6798,9.5374,24.182,23.797,92.4519,323.8905,58.8083,0.9909,6.7053,50.222,10.0519,37.9169,67.781,1859.6551,285.6111,1063.0515,55.5432,348.6233,117.3083,140.3585,59.1524,181.2402,29.9176,44.5601,0.0
BEL_J62_63,8.0172,0.0484,0,3.6418,0.0008,58.8671,7.65,3.5111,15.3158,61.9215,98.1794,229.9463,13.8536,7.8532,39.093,62.9993,34.3006,9.593,35.5638,42.1317,2.7942,22.7063,110.6367,16.2618,73.7172,573.2158,131.4147,1.0796,9.9079,114.1614,27.4702,20.1229,59.4838,588.1708,2900.2011,1317.0085,17.36,1536.9569,497.563,487.7353,34.8711,271.9512,74.0861,69.6518,0.0
BEL_K,204.9187,2.7168,0,28.3247,0.0065,651.1972,56.7437,99.0359,91.3072,427.507,528.0856,453.9942,102.7743,99.5096,249.4677,204.8239,54.7604,50.5256,162.8156,142.3519,23.2737,106.5353,698.9293,278.2429,1114.2563,2155.4781,379.0767,66.8529,40.4654,429.816,63.5191,294.1754,94.8596,315.7942,402.649,9352.9875,4299.0493,3527.6657,943.6262,947.8999,106.837,644.1696,119.3772,167.6231,0.0
BEL_L,19.2431,0.0001,0,1.5165,0.0015,157.3668,18.1559,7.4192,37.9807,8.1144,35.5281,26.0985,25.8235,14.9029,16.4628,87.238,11.8518,10.1077,42.7583,56.2778,9.0529,54.8264,32.676,102.0271,911.1484,2862.672,191.5907,2.331,9.5489,860.7352,58.7022,762.6366,61.9379,113.1305,197.9986,851.8099,1946.722,1905.0846,568.7162,570.5234,351.2115,760.3767,239.2819,360.892,0.0
BEL_M,247.5794,1.3939,0,29.6871,0.0129,856.6335,101.3153,83.3516,148.8858,2038.8701,919.1192,3392.3391,200.9455,175.7026,241.5072,769.3525,158.3753,77.1379,291.9177,225.831,68.9818,241.7698,524.0286,459.2126,1606.8141,7244.138,243.5095,53.9151,93.205,1065.5357,103.5874,513.8528,390.4417,216.605,1160.0133,3594.5686,595.964,13256.9642,2013.8795,1249.8199,370.7636,908.7498,570.4513,876.029,0.0
BEL_N,205.3816,0.3769,0,17.3271,0.0092,921.1959,84.0668,61.6325,121.2402,813.7896,546.441,3066.61,191.5926,158.214,215.9356,318.6887,98.054,81.4229,255.1705,272.9645,23.2602,191.632,62.4719,229.3194,1481.9557,3417.1398,451.1009,50.476,200.9768,1636.1697,127.2734,722.3103,412.8898,412.4332,692.1793,1218.9737,726.7829,3491.9101,3443.1083,408.0657,333.5039,1197.8071,202.7176,321.0226,0.0
BEL_O,8.8269,0.1116,0,1.3862,0.0006,41.532,2.0455,20.0074,8.0034,12.6309,14.035,256.9189,7.8355,4.6058,9.9585,12.6452,4.5168,2.8603,7.1943,5.4832,2.7592,9.1506,22.7363,13.8765,56.8524,332.1041,31.1087,3.0194,5.6802,89.5069,5.6277,65.3416,43.4216,36.4482,108.5775,124.25,74.5766,287.3322,106.992,81.7047,31.7889,86.6344,231.6427,35.8772,0.0
BEL_P,0.2232,0.0809,0,0.8037,0.0003,8.1137,0.681,0.1923,3.3242,16.7451,16.9332,627.3693,7.535,4.0962,10.9046,10.3559,5.2592,2.5774,8.4734,3.4961,2.9635,11.1503,6.7699,6.294,20.3342,83.5972,14.0291,0.165,4.0829,13.0815,1.2644,3.0176,5.0393,17.1934,83.4013,134.3952,13.75,268.0705,49.3463,57.7152,769.4146,40.1023,17.5024,16.4464,0.0
BEL_Q,0.4622,0.0001,0,0.1596,0.0002,2.8536,0.4588,0.1977,1.1475,1.8462,5.4963,21.7912,2.4231,1.8243,6.7243,3.838,2.2414,0.6889,3.7107,2.1108,1.1205,3.233,1.7822,2.6131,18.2889,23.2147,13.654,0.2388,0.4107,6.1366,0.697,4.7205,1.8351,9.8589,33.8286,16.1954,2.1847,46.6944,21.7774,90.2062,1.3825,4168.5051,3.5358,11.5623,0.0
BEL_R,13.6724,0.0745,0,0.4686,0.0001,56.7618,3.863,2.8818,4.0909,3.0731,16.4965,37.613,5.1039,4.8297,8.4112,11.1244,1.9583,2.6497,5.0177,4.8865,3.5572,11.2849,8.7682,9.4097,60.7994,224.5549,16.4532,1.079,3.0698,29.5516,2.4249,107.6878,139.4057,29.5446,38.1155,63.9383,8.1699,143.5794,90.3058,123.4511,51.9557,106.887,706.6098,23.8813,0.0
BEL_S,12.4118,0.1496,0,1.2488,0.0005,96.1648,5.6497,4.4694,11.5995,21.7216,74.4424,112.2204,9.2332,14.698,135.6451,24.2916,5.8746,6.2829,13.0555,11.814,14.0436,14.5789,62.1207,90.2528,66.9748,388.1026,47.8477,2.1431,5.3424,97.8619,13.492,118.1797,30.5383,22.5166,53.3539,457.1336,39.6769,502.0413,186.7734,43.3307,171.8373,719.9607,94.3518,1375.4334,0.0
BEL_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
