V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T
CRI_C20,110.6308,0.3892,0.0282,1.7569,0.0035,48.0384,4.6481,0.3081,15.4733,51.8033,121.9055,11.3821,57.1802,4.7666,2.313,5.9775,0.3066,6.5385,0.4845,0.3802,0.0711,37.5051,0.4694,1.3265,34.289,21.8216,0.2586,0.1981,0.0535,0.2546,0.1027,11.0204,1.8483,0.3163,0.5768,0.6324,11.9681,5.7502,3.0863,2.8746,5.9741,30.9791,1.5369,14.4376,0.0
CRI_C21,7.06,0.0384,0.0022,0.068,0.0001,3.5325,0.0366,0.0006,0.0231,0.4366,0.5488,4.0141,0.0797,0.0139,0.0127,0.009,0.0004,0.0099,0.0007,0.0007,0.0001,0.8458,0.0184,0.0188,0.0642,0.208,0.0058,0.0102,0.0019,0.0232,0.0019,0.5101,0.006,0.0094,0.0011,0.009,0.0195,0.5044,0.0561,0.2722,0.244,8.0119,0.0132,0.1411,0.0
CRI_C22,5.6071,0.0365,0.0024,0.1019,0.0003,18.0371,1.1111,0.0531,2.5554,1.611,6.6187,1.0241,3.9264,0.7698,0.4353,0.6075,0.3037,1.401,0.1038,0.0534,0.0083,23.7069,0.1658,0.3025,11.6066,3.1588,0.7453,0.232,0.058,0.128,0.0068,2.9779,0.3531,0.0744,0.1541,0.1421,0.7015,0.844,0.3893,0.2562,0.3348,1.3619,0.0973,0.4215,0.0
CRI_C23,2.805,0.1687,0.0045,0.3263,0.0007,6.2527,0.0487,0.2416,0.276,0.5123,2.4212,0.8695,0.5457,38.6124,3.2749,0.0785,0.3699,2.888,0.214,0.3831,0.0668,5.4762,0.6496,0.6972,464.6362,12.7598,0.5556,0.5491,0.2391,5.929,0.0695,2.5399,0.0602,0.7987,0.1167,0.2232,43.6568,4.5368,0.537,1.565,12.2065,4.2957,0.3258,1.1401,0.0
CRI_C24,0.2458,0.0046,0.0031,0.1985,0.0004,0.6657,0.0063,0.0035,0.5024,0.1403,0.0164,0.8165,2.2729,1.9127,66.3083,18.9459,0.5302,28.6594,2.1236,0.9539,0.1309,39.5821,0.7776,0.0275,90.0444,0.4249,0.1134,0.1486,0.0094,0.0006,0.0,0.1198,0.4377,0.1636,0.0,0.0,8.371,1.4461,0.0392,0.2099,0.4221,0.1933,0.0439,0.0437,0.0
CRI_C25,3.999,0.1323,0.025,1.1812,0.0036,17.3346,0.7465,0.4975,1.47,0.054,6.7804,0.0814,1.9372,2.3749,8.9729,11.4154,1.3083,4.7943,0.3552,0.8287,0.1654,37.8725,0.8078,0.3329,78.0522,9.6761,1.0711,1.0199,0.1567,0.1744,0.0082,2.425,0.1355,0.258,0.0784,0.1498,3.4973,2.6319,3.1603,2.4296,2.1951,4.2409,0.51,4.1741,0.0
CRI_C26,0.2574,0.009,0.0002,0.0081,0.0,0.5609,0.042,0.0072,0.0752,0.0329,0.1637,0.1819,0.0881,0.0408,0.0417,0.043,1.4991,0.8477,0.0628,0.0271,0.0058,3.2073,0.239,0.1208,7.2834,0.6739,0.0592,0.0375,0.0122,0.1313,0.0279,0.3488,0.0229,0.5978,0.3775,0.9374,0.36,1.5224,0.3584,0.3105,0.3593,0.5084,0.0817,0.1467,0.0
CRI_C27,1.3986,0.1395,0.007,0.2408,0.0006,4.1283,0.3691,0.0374,0.8673,0.2312,1.2648,0.211,0.9216,0.3377,0.2888,0.4166,1.9415,6.3825,0.4729,0.1674,0.0319,18.8663,1.6195,0.2558,39.5624,1.3606,0.2319,0.1358,0.0425,0.2032,0.0085,1.4013,0.1959,2.2064,0.9109,0.5665,0.7095,2.0877,0.5799,0.6244,0.9041,0.7643,0.1754,0.2858,0.0
CRI_C28,0.2394,0.0062,0.0,0.0008,0.0,0.6616,0.0553,0.0024,0.2248,0.0538,0.23,0.0458,0.1704,0.2182,0.1237,0.1254,0.3859,0.3518,0.0261,0.0208,0.0047,2.5108,0.294,0.0632,5.524,0.1505,0.0445,0.0533,0.0095,0.11,0.0046,0.0367,0.0223,0.1245,0.0,0.037,0.0045,0.2405,0.0771,0.2203,0.076,0.3784,0.0084,0.174,0.0
CRI_C29,0.1875,0.0019,0.002,0.1244,0.0002,0.2027,0.011,0.002,0.0043,0.0012,0.0044,0.0001,0.0075,0.0294,0.003,0.0042,0.0051,0.0,0.0,0.0325,0.001,0.0235,0.0031,0.0419,0.201,0.3028,0.9682,0.1072,0.0643,0.0124,0.0024,0.0298,0.0064,0.0031,0.0024,0.0011,0.0175,0.1161,0.1458,0.0,0.0133,0.0857,0.0127,0.0147,0.0
CRI_C30,0.019,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.0012,0.0,0.0001,0.0,0.0,0.002,0.0009,0.015,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
CRI_C31T33,54.5262,2.5751,0.4146,11.9262,0.0381,76.696,4.9686,1.9361,15.5912,2.6735,17.0642,2.7459,8.4968,13.0492,5.2477,3.7105,0.8843,8.6457,0.6406,0.1608,0.0372,113.7556,15.6869,5.3876,62.4052,44.6115,9.754,8.6704,3.4066,6.7643,0.8306,22.6198,6.3241,5.7525,2.4853,28.7851,11.1487,26.4671,14.6542,12.9137,20.1927,92.5243,7.6533,9.0499,0.0
CRI_D,43.0332,5.475,0.1149,7.2291,0.0061,117.7464,11.8059,3.1415,20.6799,5.2882,12.2539,1.6136,22.1924,27.5804,9.8742,7.9189,3.3248,10.8526,0.8042,0.9714,0.1858,36.5948,79.0774,20.4692,19.5362,97.7059,5.9453,2.1682,0.8205,9.3408,0.8218,143.8543,6.3523,24.6911,10.0182,21.8017,21.0793,31.9696,23.7041,21.5029,33.0677,42.9905,10.8108,26.3826,0.0
CRI_E,24.7687,0.7883,0.0047,0.1512,0.0004,26.0809,1.0126,0.1075,1.967,0.8381,5.4079,0.3092,0.5564,0.9214,11.9557,0.7537,0.3404,0.9092,0.0674,0.0622,0.0167,5.1412,1.4024,21.8778,15.293,20.1464,1.0159,0.8415,0.1592,1.3597,0.1734,27.9714,0.6371,0.8892,0.4167,4.7227,7.4772,3.9397,5.0578,33.9264,7.3006,15.4256,1.9378,8.0499,0.0
CRI_F,5.7071,0.2734,0.0635,3.0742,0.0067,28.6187,1.1735,0.6813,7.0644,1.5903,3.5863,1.1727,3.5271,18.663,2.9948,0.789,0.6809,3.7147,0.2752,0.3595,0.0855,13.3013,19.1115,8.7705,861.7308,54.7528,5.9829,2.8524,0.8374,12.982,0.7042,60.3179,2.5992,43.6397,19.5618,16.8741,135.8653,38.7845,15.8939,22.8408,59.7848,36.1604,5.9259,60.2018,0.0
CRI_G,480.6145,6.593,0.5262,33.5308,0.0552,528.3981,22.1254,11.2118,59.597,33.7983,102.1545,16.3517,37.9129,37.9446,17.967,14.5676,9.4273,18.5502,1.3538,1.8509,0.3614,148.0122,48.4891,40.5502,379.2202,471.7349,210.7446,192.9975,54.5249,20.5046,3.3305,179.9444,14.1114,15.7411,12.2082,11.5688,38.5414,98.0347,99.4107,40.7136,43.0596,105.1297,18.3834,37.5626,0.0
CRI_H49,21.5228,0.5998,0.041,2.5342,0.0044,45.7664,1.5522,0.722,7.3712,3.8046,13.3979,1.7365,4.3578,5.8702,2.4279,1.5917,0.9951,2.2788,0.1689,0.1718,0.0272,41.0003,2.1325,1.2513,56.8844,19.0416,19.6557,12.2134,4.7572,2.846,0.9779,18.7828,1.9089,8.9412,1.3594,7.9496,4.2255,11.5625,7.7751,4.9662,5.6273,6.7382,3.5324,2.925,0.0
CRI_H50,134.5527,1.0525,0.158,12.5665,0.0213,96.214,5.1331,4.7942,17.7869,9.591,13.9808,2.9057,10.3087,30.7119,6.014,11.5271,2.3697,12.736,0.9437,0.7997,0.1859,56.3404,0.5151,2.91,50.6585,168.1172,9.1109,48.9355,2.0679,58.2136,5.9032,13.483,1.6635,1.3538,2.0307,0.3014,3.7884,14.0871,8.831,2.278,10.5664,15.7572,7.2149,8.6073,0.0
CRI_H51,1.8283,0.0481,0.0044,0.0147,0.0036,1.2281,0.1547,0.0529,0.5537,0.2705,0.4793,0.0127,0.2362,0.1457,0.3249,0.1643,0.0752,0.0976,0.0072,0.0081,0.0008,0.4567,0.013,0.0286,3.7735,0.0354,0.2059,0.0918,0.012,0.0116,0.0001,0.342,0.0627,0.011,0.0099,0.0239,0.4358,0.0447,0.0408,0.0135,0.0134,0.2614,0.0249,0.1192,0.0
CRI_H52,46.3631,0.2406,0.0228,0.9326,0.0016,48.8803,2.0307,0.706,7.342,3.4391,3.7132,0.7809,3.3037,4.1776,1.4225,2.6136,0.4651,4.7605,0.3527,1.0975,0.1813,24.3964,1.4824,2.7496,22.4027,91.1866,39.2932,68.612,16.0018,100.8426,7.0303,5.0159,0.7646,22.4571,1.648,3.1147,3.4355,13.0617,15.2272,1.4547,2.243,7.6231,1.2857,2.6447,0.0
CRI_H53,0.8424,0.0034,0.0003,0.0182,0.0,2.1709,0.118,0.041,1.7031,0.1055,0.6278,0.3268,0.4163,0.3535,0.1238,0.1577,0.0874,0.5261,0.039,0.0073,0.0013,1.9344,0.3815,0.1488,1.8118,6.0785,0.4178,0.4311,0.1107,1.1945,10.3037,2.0609,0.196,1.9656,1.0976,9.4186,1.7035,7.6418,3.1455,1.2983,1.0854,2.94,0.6909,1.1784,0.0
CRI_I,3.5755,0.021,0.0169,0.5197,0.003,12.5607,0.5832,0.2304,0.6121,0.9242,4.4375,1.4233,1.0188,1.3008,0.7982,0.3156,0.2828,0.8789,0.0651,0.1216,0.0316,8.8498,3.7135,2.2805,14.7105,29.6044,5.275,3.1953,3.378,3.915,0.6248,12.9032,0.5624,6.5821,4.2109,5.623,6.6945,27.5435,24.3899,9.1291,16.4063,11.9181,7.759,12.7247,0.0
CRI_J58T60,1.4219,0.0061,0.0005,0.0232,0.0001,3.8459,0.0935,0.0121,0.5775,0.2008,1.4762,0.6415,0.1088,0.1435,0.0757,0.0624,0.0111,0.3944,0.0289,0.0056,0.0013,3.0448,0.1393,0.1287,2.3186,9.4095,0.2249,0.1631,0.0746,0.1997,0.1396,2.6246,4.0757,2.0776,0.4135,1.172,2.6587,14.2294,1.2621,1.6905,5.4682,2.0038,0.6302,2.9271,0.0
CRI_J61,10.0059,0.1575,0.0072,0.3095,0.0009,10.1723,0.779,0.2269,1.0113,0.5767,1.8516,0.2167,0.9089,1.2301,0.6033,0.9312,0.2093,0.7888,0.0585,0.0841,0.0201,8.2536,5.7027,1.4978,9.1416,30.4017,7.539,4.4064,1.5243,2.1863,1.0154,19.5399,3.7237,91.6093,8.7277,21.0085,8.617,32.0887,31.4257,16.437,13.0781,21.3476,4.3718,10.6338,0.0
CRI_J62_63,2.3356,0.1567,0.0093,0.3898,0.0011,62.5549,0.7719,0.1777,1.6363,1.5606,7.625,4.2675,2.8387,3.514,1.0228,3.7844,1.4172,2.8583,0.2118,0.0875,0.0203,53.905,14.3726,5.7108,44.7449,78.3602,3.9579,3.0975,1.5323,7.9662,1.755,20.3907,3.8043,102.2897,116.5211,66.5213,16.7721,149.9824,68.0265,27.3784,16.2395,28.7311,24.0573,8.0418,0.0
CRI_K,71.3162,0.5087,0.0459,2.8918,0.0042,110.093,2.2137,2.2313,17.6374,5.7601,37.83,9.6647,8.8115,11.3573,3.9747,4.352,3.98,5.5032,0.4078,0.5988,0.1275,34.9279,91.2313,16.1293,31.9765,326.4516,24.2049,19.9848,5.3911,32.5323,2.8059,117.148,9.1216,109.699,24.1415,1211.0796,267.8228,104.9763,99.9583,158.983,72.8931,82.1037,32.1241,44.8309,0.0
CRI_L,2.1096,0.0009,0.0023,0.1732,0.0005,33.9529,3.3209,1.3308,5.6695,1.7801,11.0556,1.819,3.1991,1.13,1.3483,3.1488,1.0382,1.5728,0.1165,0.0218,0.0053,31.63,65.4794,2.6033,12.2038,201.3292,5.9413,3.434,1.0077,9.6774,1.9169,54.0819,3.5368,12.2417,21.329,50.682,45.0958,79.8758,45.6148,34.3626,32.5847,46.2263,5.8758,23.3878,0.0
CRI_M,76.7934,1.3107,0.1802,5.5522,0.0247,342.8233,5.6374,1.7544,11.1584,11.1132,51.7984,20.6431,15.7157,22.653,4.2625,4.8916,3.1687,24.0548,1.7824,0.8608,0.1807,164.1556,30.4081,15.3496,509.6788,432.9854,43.3518,35.2973,9.2251,36.5536,28.7016,129.9228,13.9762,71.4624,71.1371,121.4896,158.8006,556.0153,184.1829,110.9435,68.3579,78.1264,33.874,55.5141,0.0
CRI_N,77.6374,0.9921,0.1196,8.4433,0.018,167.6586,2.8777,2.8846,13.6414,10.1411,43.4844,11.4773,12.3476,25.7625,4.3428,6.1464,6.7733,8.5858,0.6362,0.7023,0.1492,229.0876,79.7621,24.2983,138.9222,287.2275,68.2522,62.3095,24.3319,60.1541,7.5679,160.4888,9.366,217.7885,19.3306,361.5787,151.0776,149.8187,164.6499,139.838,112.815,81.1783,39.5648,50.2538,0.0
CRI_O,7.55,0.217,0.0029,0.1137,0.0003,15.4455,0.4092,0.0917,1.0048,0.5042,1.9064,0.3307,0.4712,0.6596,5.3875,0.4078,0.1866,0.5766,0.0427,0.0417,0.0093,3.5673,2.1866,9.8629,5.8476,15.4514,1.364,1.5475,0.407,2.4235,0.2314,8.1152,0.3999,3.2532,0.749,7.3936,4.6021,5.1993,3.5582,15.7968,3.5031,5.4854,1.2527,3.0637,0.0
CRI_P,3.3821,0.0118,0.003,0.1038,0.0004,9.8344,0.286,0.0914,0.7773,0.2622,2.212,0.7824,0.5861,1.3421,0.2629,0.3723,0.2435,0.8431,0.0625,0.0259,0.006,6.4983,1.6966,0.5614,7.5763,12.4071,0.9476,0.7819,0.4467,1.1685,0.3494,3.9502,0.8938,2.426,7.0863,9.3916,3.4056,15.5837,7.9621,13.5641,40.0267,12.2022,4.453,11.0859,0.0
CRI_Q,0.5142,0.091,0.0003,0.0109,0.0,0.1807,0.2585,0.0,0.1111,0.0,0.0096,0.0201,0.0204,0.0004,0.0539,0.0071,0.0032,0.0824,0.0063,0.0027,0.0009,0.1751,0.0109,0.0998,0.1052,0.9337,0.1542,0.1126,0.0268,0.3926,0.0063,0.828,0.0054,0.016,0.2342,0.0465,0.1422,1.8118,0.4387,0.002,0.4373,59.7218,0.1972,6.8993,0.0
CRI_R,0.2465,0.0008,0.0004,0.0236,0.0001,0.2522,0.0212,0.0032,0.0896,0.0055,0.0339,0.0228,0.0232,0.0104,0.0324,0.0211,0.0043,0.0084,0.0006,0.0003,0.0001,0.1373,0.0124,0.1174,0.0911,0.2704,0.0299,0.0256,0.0146,0.0195,0.0038,3.6406,0.7109,0.868,0.0299,0.4374,0.0941,2.4838,0.7278,0.1064,0.8273,0.1558,4.1852,2.4414,0.0
CRI_S,2.2766,0.0222,0.0023,0.1094,0.0003,11.6677,0.791,0.4067,1.1691,0.5079,3.0011,1.0077,0.8616,1.4818,0.5764,0.2865,0.0956,0.9647,0.0715,0.084,0.0193,6.4382,5.676,3.2029,13.0808,40.2334,1.6828,1.4435,0.4099,2.9566,0.2087,22.5859,1.537,6.0307,3.193,37.7268,10.7763,25.4483,13.5983,19.7764,16.6397,23.3924,5.0099,39.0597,0.0
CRI_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
