V1,GBR_A01_02,GBR_A03,GBR_B05_06,GBR_B07_08,GBR_B09,GBR_C10T12,GBR_C13T15,GBR_C16,GBR_C17_18,GBR_C19,GBR_C20,GBR_C21,GBR_C22,GBR_C23,GBR_C24,GBR_C25,GBR_C26,GBR_C27,GBR_C28,GBR_C29,GBR_C30,GBR_C31T33,GBR_D,GBR_E,GBR_F,GBR_G,GBR_H49,GBR_H50,GBR_H51,GBR_H52,GBR_H53,GBR_I,GBR_J58T60,GBR_J61,GBR_J62_63,GBR_K,GBR_L,GBR_M,GBR_N,GBR_O,GBR_P,GBR_Q,GBR_R,GBR_S,GBR_T
GBR_C20,1067.7152,1.4488,14.2168,82.1239,19.8569,231.4588,176.5634,157.2797,464.748,99.5886,5365.9168,382.487,2229.1133,213.254,54.5195,325.9436,163.7233,111.5315,180.0643,961.1088,165.7372,240.0812,161.2092,119.2554,785.2189,383.1363,38.8282,2.8271,19.0544,21.5003,3.0447,97.4762,184.8937,8.6326,29.2429,94.7238,109.3022,791.3565,243.14,163.3154,201.1628,545.1754,47.0616,113.2663,0.0
GBR_C21,121.5954,1.0194,4.1206,3.7379,2.4112,123.0906,11.2824,7.196,21.8621,5.8542,178.1249,1868.2146,73.1512,10.6821,8.2046,20.1268,18.1579,8.6704,57.685,45.8986,14.9223,79.1584,34.6419,9.1086,77.379,83.4418,15.4831,1.7855,12.0515,11.1483,1.9028,39.8137,26.4884,12.6724,35.568,70.4046,29.0549,875.9826,67.4252,128.7883,42.8884,4470.2677,17.0301,39.0212,0.0
GBR_C22,497.3498,4.885,14.2918,20.8289,4.3116,1391.0406,123.8842,52.146,832.628,7.0674,627.4145,396.2415,2748.3656,62.0624,32.4323,291.4797,208.6779,248.3939,376.4665,1784.9242,320.7071,405.9695,30.3357,154.7882,2126.0123,1357.9595,317.5531,2.2469,9.6718,341.6299,3.949,54.3846,67.7201,23.0745,60.5843,237.3069,47.9873,132.0063,437.0013,167.0815,141.2449,355.1487,160.3926,67.7858,0.0
GBR_C23,20.4297,0.3483,4.702,262.3454,1.9594,472.2872,10.3184,32.6289,23.0002,1.9497,161.1331,40.0877,262.5395,976.9523,116.9137,239.8462,42.3333,143.9456,29.8153,683.89,89.5804,25.3798,10.5002,71.2511,8249.0374,455.6293,28.8634,0.8504,6.694,13.7283,1.4962,88.503,9.5635,3.939,8.246,29.9568,244.0201,50.3247,32.6397,152.4427,176.7602,70.6421,107.5667,100.3184,0.0
GBR_C24,6.3506,0.2318,54.5249,4.8704,19.5726,41.7966,5.0955,7.125,22.6799,1.5638,26.3057,21.9522,61.7256,67.565,2197.8582,2053.097,283.2267,441.8356,1626.5647,2599.8996,1557.8465,732.0467,116.485,212.5126,1484.0936,148.1565,14.7264,1.2134,13.1805,7.0697,1.3396,10.6497,9.4135,4.0917,6.444,29.0093,38.9754,201.4995,39.57,42.0169,11.3292,25.7679,28.8959,7.3175,0.0
GBR_C25,109.746,7.228,272.249,28.0913,144.0079,340.2837,43.367,85.0519,190.9211,14.7789,231.3694,244.372,368.7348,163.4667,755.1061,3160.1961,486.6613,422.8514,2971.6043,2487.6879,1430.1371,933.1889,354.0133,598.6158,5894.0158,692.6367,171.838,18.8012,409.2692,82.7878,8.7134,79.3478,34.1482,75.4851,55.1556,120.4337,152.9666,352.6107,542.0823,1464.479,77.1841,211.8414,91.7399,50.9692,0.0
GBR_C26,35.7894,5.0715,162.1532,32.7279,57.6352,210.3074,24.9179,16.1399,73.0576,16.8792,107.6509,66.5578,85.7538,80.6424,44.143,174.1936,1248.2459,173.692,289.3224,429.5008,277.2684,350.3731,363.5817,84.4872,580.8117,700.4988,239.8483,26.8287,562.5649,169.3045,22.3205,139.1934,556.2586,351.231,298.3588,134.5538,45.9991,699.6413,371.0342,1531.4405,339.7596,1674.3297,159.5489,113.8552,0.0
GBR_C27,11.2106,1.0515,31.4819,8.286,12.975,60.7206,7.6196,5.6213,17.7629,3.5661,26.6307,15.903,34.13,22.3494,23.3447,144.6185,227.7373,608.9563,249.5565,264.9716,852.7566,176.3256,186.0906,50.4678,1933.4599,291.4263,43.1237,4.1725,79.8679,22.3532,2.8225,35.5069,47.0042,58.1207,34.9079,66.8351,25.8136,199.4388,130.0627,211.4119,45.1287,109.1697,38.5993,24.8068,0.0
GBR_C28,70.8085,7.876,732.9797,81.4601,242.2978,536.4,84.9961,55.8102,169.0544,33.007,188.4784,189.3049,205.9126,171.1908,183.9853,533.9098,200.9137,495.3425,1609.0994,1369.8376,485.4798,750.909,759.2389,211.9845,1511.0852,1420.5069,388.4865,40.151,863.0222,190.6336,21.4281,202.282,79.7645,188.0223,173.4663,169.793,44.7859,565.3094,714.0111,261.877,81.7547,391.157,198.0775,81.5851,0.0
GBR_C29,64.7479,0.4221,36.8104,10.279,22.9625,46.7418,5.2917,5.6821,16.1781,2.6055,19.2315,15.1467,31.2922,42.9293,18.6244,82.4845,37.2259,41.902,426.2036,5664.8784,87.1015,151.3956,37.9268,55.416,409.4755,4042.4795,534.973,4.6011,22.7036,195.938,27.9599,19.0619,27.391,53.4656,79.1078,240.1092,48.3959,863.0978,444.2868,230.2406,106.3251,257.5054,53.3313,25.369,0.0
GBR_C30,16.7115,2.7626,236.0368,15.4285,38.2783,102.4796,9.9818,10.435,27.6412,7.671,53.6221,22.6511,57.0992,38.2643,73.7529,130.0627,302.1589,33.2388,119.4983,175.6403,4334.6694,2451.8681,147.379,34.6947,244.6193,236.066,227.8139,151.0694,715.8874,51.322,5.9101,56.0473,17.8918,45.5287,37.2712,76.6717,99.9651,484.5053,115.1284,2747.7342,22.6742,301.6212,69.0674,35.9057,0.0
GBR_C31T33,100.4534,21.9153,575.1947,135.1079,233.3439,815.9601,94.6775,93.4036,214.3914,68.1734,355.2235,222.3224,326.1229,325.8912,171.4716,491.5367,168.0667,133.1179,298.0547,478.5192,843.2828,1550.0171,1329.3369,218.1432,844.2306,1902.3715,978.8313,149.9518,2421.3619,475.295,70.4501,494.8843,254.2368,441.3014,292.3588,373.4458,65.5053,730.6708,887.3415,524.7633,307.907,1852.551,535.4651,184.7361,0.0
GBR_D,555.2878,21.1488,232.235,221.7446,75.8027,1836.0448,170.2266,272.1633,894.2224,198.4773,1819.6444,233.4378,891.7369,618.5781,581.4156,898.8346,221.3969,173.4941,416.3497,649.1152,266.6428,500.7759,72979.9936,1057.9944,2014.8332,6149.137,621.2319,31.4659,67.5,570.1204,103.9999,2338.4287,309.3296,820.2082,790.7805,1832.9761,2303.8809,1444.1202,1495.951,1427.3907,1569.7908,2949.9298,1057.9742,657.9458,0.0
GBR_E,274.5108,20.5822,40.7774,48.7083,37.8676,1002.6724,66.1271,73.0018,336.4277,67.3825,473.14,106.0716,163.7697,132.6137,512.5464,289.6892,59.8355,54.0962,218.697,255.5544,179.0068,207.656,752.2347,11280.4544,1762.4109,2739.9994,495.1143,42.0619,22.7417,299.2386,49.0578,1289.4278,93.5612,46.439,131.2928,723.1188,508.847,838.4437,644.1533,3023.5291,627.2076,2372.8744,613.1869,239.4444,0.0
GBR_F,439.961,4.8938,220.9334,6.6218,254.403,140.9143,14.2575,13.295,40.6305,179.4365,120.2475,12.7919,258.9009,178.7238,8.5431,519.8963,12.0671,9.1405,51.6074,319.5582,423.4099,582.816,3149.007,924.4925,120922.1152,5581.5184,179.7157,38.6132,55.1453,543.3403,17.2084,453.103,104.4722,117.2227,179.2548,4273.0612,21342.791,3432.4185,1172.4237,5518.3927,726.1782,1612.5369,335.1613,57.792,0.0
GBR_G,2909.0866,269.8643,483.7163,424.6511,173.1811,14624.9414,1501.4466,677.4532,2736.4943,464.4638,3480.3855,1853.4522,2120.0137,1237.6568,1464.9108,2487.5831,1595.0777,1380.6829,3178.4224,7554.0512,2492.5032,2333.1914,4223.0651,1013.4989,12223.0406,17622.5972,5093.8862,345.3746,679.8896,2109.6032,594.0556,9917.4389,4265.5142,795.4502,1819.3622,4345.2277,1012.5809,3983.9256,4311.1444,5087.7506,3611.8713,9791.7246,1556.5676,1080.0256,0.0
GBR_H49,447.1601,12.922,109.4439,516.9096,40.9203,2935.3547,166.0408,277.0061,732.9023,168.9678,759.0965,154.7132,571.9036,999.9064,451.187,572.1075,205.0074,241.5693,609.2105,1053.9053,374.92,494.1267,304.9676,418.2811,1835.733,11677.4558,6628.6129,109.4997,203.5606,847.7863,528.2207,602.5141,417.8971,98.1676,183.6122,1197.5177,182.5833,928.8078,1346.3286,1400.4859,1267.967,2769.9354,246.607,151.312,0.0
GBR_H50,17.6627,52.0854,126.564,12.2024,8.801,85.4972,5.7649,6.1655,18.5322,70.2407,25.3213,12.122,19.7624,15.599,33.2708,33.7456,27.4523,14.192,25.3589,91.9312,31.2228,29.8137,30.6576,5.1103,106.3968,68.8219,16.5091,1112.8942,10.3917,789.8649,1.9447,45.9724,19.5171,12.155,12.5481,92.9927,22.6684,47.4408,449.295,51.1296,17.2119,62.1222,27.1526,8.0689,0.0
GBR_H51,54.7287,3.5568,84.1921,12.5634,5.2671,225.597,19.5675,19.5409,47.6658,95.5898,65.8728,34.6082,51.3533,23.8782,81.3053,66.1538,51.0588,35.43,80.5547,196.7311,98.676,77.5518,94.7811,19.7889,301.6287,237.8207,41.1354,48.1739,1236.083,396.6968,60.171,189.618,71.5064,27.8107,46.6826,613.9021,25.1874,654.6619,1733.9525,172.5485,49.9948,169.743,47.0957,112.1744,0.0
GBR_H52,61.0152,133.256,19.5996,14.5344,12.0488,396.6136,140.3748,32.463,97.7524,23.5982,259.7651,708.6871,158.4073,76.3289,71.7129,161.6943,223.1845,111.4844,639.5968,1806.0778,174.0457,173.3269,155.9567,348.8623,636.5862,17046.9712,2895.8052,1628.4384,351.9854,9366.7259,1179.7483,296.7129,169.6112,331.1118,1023.1836,3982.8549,130.0645,407.9885,1504.5915,630.135,184.529,303.5429,77.1679,122.4755,0.0
GBR_H53,88.8429,4.0268,6.5737,2.4714,26.267,409.1409,140.0311,76.6715,100.5979,2.5639,319.1854,138.6689,106.9408,117.3481,90.6465,133.4188,123.9094,115.6509,91.2173,69.1541,34.6899,294.2338,189.3802,45.699,93.1025,3631.5532,269.2378,4.2975,10.3758,193.9654,3060.6239,52.7432,393.1095,157.9276,537.1561,6183.8316,150.9954,862.6901,764.7316,1346.9766,341.8583,676.5989,199.0153,322.3806,0.0
GBR_I,10.095,3.3767,39.349,2.8982,13.415,853.5146,12.6448,16.9219,18.0953,1.9882,130.2572,83.9487,30.5227,29.8626,19.8239,39.6044,72.3657,13.4446,31.1976,48.2399,16.9913,44.8099,34.48,25.4976,97.6521,989.1946,262.1187,32.8161,1023.0014,116.1388,28.7807,1954.5102,536.4747,97.3594,815.7118,2856.5462,193.844,2372.0767,3329.7217,1237.1977,951.859,2103.8052,604.8701,140.8231,0.0
GBR_J58T60,59.9248,1.4654,23.8405,2.4965,4.5308,445.1639,69.5914,9.8224,49.6044,8.7552,143.1872,50.8189,43.1611,49.2469,36.7251,47.2759,28.8874,63.6524,40.2236,165.2786,101.6952,136.5632,130.1112,75.0862,290.0645,2650.4329,82.3435,23.8238,73.6395,91.934,21.5782,361.82,12413.0534,372.3059,1069.3794,1503.5598,295.98,1437.0824,673.2244,844.176,729.9032,480.8329,1337.7271,602.3785,0.0
GBR_J61,287.0429,10.6581,50.4993,16.0274,29.9135,277.4729,45.0655,35.1642,134.3171,12.6517,118.5713,79.3288,90.9985,52.7118,42.8083,179.1895,87.7066,55.7051,138.6899,162.3018,115.6482,218.5707,322.3085,131.5083,1575.1734,2380.7894,259.2805,32.6219,75.8276,290.8019,161.1841,403.2896,437.5388,5636.4892,1415.0844,9141.586,1048.9703,2862.9666,1479.79,2097.412,442.1156,1871.3982,660.3971,422.0207,0.0
GBR_J62_63,181.4336,7.713,235.9606,31.0798,69.9405,625.8516,87.5831,53.973,227.2322,26.1945,261.1626,334.3727,160.0065,102.2964,111.199,305.2439,724.5663,164.3563,380.5781,832.5884,672.552,361.7695,895.1418,270.82,2177.9592,5743.0699,488.3352,117.4664,177.9663,713.0496,324.1248,615.1868,1496.0608,3349.1528,10860.0785,11397.5482,1049.2282,6065.469,2725.1839,2552.9463,1114.3152,2616.3536,806.4217,641.7723,0.0
GBR_K,1732.7865,98.0378,1830.3136,548.2152,401.7793,3437.6515,560.5292,334.5643,669.6025,469.0433,2219.9947,1447.3938,1103.7103,1088.2348,613.5935,1689.3872,330.7206,676.0926,1042.1418,2952.3737,2128.2671,1441.2789,2189.2285,1678.3196,8150.974,14156.4716,1922.2805,1504.3795,1514.6876,2292.5499,911.0917,2737.1775,1159.7369,1969.4707,5021.1608,56870.743,35762.3804,12537.4238,8870.8432,6437.4669,3102.3248,4607.9543,1596.9288,1671.0514,0.0
GBR_L,4.2869,0.2302,5.6784,12.111,16.5839,35.0712,25.3039,47.6186,339.7116,10.4903,40.0235,44.0135,230.3297,58.205,25.2882,378.1218,4.715,55.4714,8.378,13.8598,16.4411,189.9777,219.6767,229.7062,395.638,13349.5981,269.5891,46.2325,754.1307,1216.7616,0.6549,2824.9575,1095.7607,1238.2411,1798.2007,3726.0345,2047.8055,4813.7312,1563.6021,3097.1256,1865.8658,3417.9094,933.9327,818.2447,0.0
GBR_M,964.5644,42.7822,649.8008,100.2184,436.9292,4218.464,509.0082,83.7082,524.1613,77.4433,1698.481,877.1142,518.2687,578.7753,346.5228,956.8026,715.4143,529.1982,991.43,1300.7565,1477.2047,1107.0941,3416.8728,997.6428,8244.5658,19487.321,1758.9583,190.8074,632.4773,1122.5356,159.2637,2240.1803,6418.0249,3467.1996,9059.5487,28245.6018,5116.6518,47220.4741,7884.5568,7528.08,3725.2893,7353.0071,4596.4165,2169.2953,0.0
GBR_N,787.1919,47.5992,754.0736,151.9858,281.9179,1975.928,99.4369,113.3656,345.0243,49.5648,564.1644,356.718,614.8139,331.2993,288.8411,676.4238,260.7147,294.7551,1121.3645,1343.6735,626.0894,719.7819,1105.9934,1412.284,8903.4318,10968.1227,4660.2891,1887.932,2186.8982,3366.2939,971.5467,3205.0084,1352.662,1416.1077,5445.6844,13667.1894,2365.9269,9664.0851,28827.3233,3034.7884,4485.9681,9294.9479,2037.378,1644.2987,0.0
GBR_O,24.5337,0.0147,13.8533,6.4957,2.9252,149.9138,33.3224,7.4427,33.5209,17.5151,113.0727,164.8829,41.8407,16.1175,44.6941,107.5913,17.6238,25.8558,70.9477,95.5898,68.8324,73.1556,38.6825,140.1039,1781.2673,733.6137,2753.015,33.7512,129.6369,40.5817,167.1858,111.2024,52.8419,50.4023,130.5802,350.0726,5662.6077,5110.6619,239.1747,366.1583,13.7759,207.5604,72.8352,36.0663,0.0
GBR_P,7.8795,0.5838,18.054,4.6707,6.4002,39.8235,22.494,1.9386,15.1564,4.3978,59.6939,349.1522,59.2345,14.437,22.1091,50.9036,166.2338,17.3862,11.8258,23.2965,69.3001,17.856,47.6281,61.1359,160.2901,297.4491,43.8454,26.4194,68.1906,177.9664,23.9114,106.9705,85.4757,372.6874,977.9542,2818.6493,291.0837,3938.2544,1125.4677,6349.2972,16280.5274,1464.7936,96.5273,122.8522,0.0
GBR_Q,9.8444,7.9085,21.278,2.2003,4.7335,60.9237,4.689,6.5075,15.4668,5.8897,15.545,177.4474,49.7875,13.1728,12.2116,44.7284,107.3381,17.7725,16.2911,25.2519,19.2942,20.3256,45.5951,41.2011,143.8313,168.3637,25.6411,5.42,24.3015,23.9657,6.4426,62.0516,69.2411,45.3794,143.3738,502.9235,34.8862,397.1651,161.7544,290.1777,72.5084,15808.9308,143.3203,24.3341,0.0
GBR_R,28.372,1.3305,10.4845,1.8849,3.3359,162.7862,15.0762,3.9873,17.9631,1.7606,36.4672,17.8566,16.6174,8.4827,12.0125,18.5345,14.2732,11.3801,20.5115,61.0561,24.7368,29.1191,52.0395,59.6946,172.7574,642.7415,42.7279,8.547,23.7968,41.7188,12.7124,118.5137,1222.2881,133.2254,372.4434,1037.6565,101.5324,501.7552,623.3477,631.3596,218.8138,315.9473,3219.0702,78.0529,0.0
GBR_S,23.2439,26.052,11.0288,2.4561,2.4483,74.2982,7.874,5.1505,28.347,5.1059,30.9758,32.294,25.2494,13.0939,21.362,42.581,50.1609,11.2672,28.2064,63.6468,33.5353,32.5278,60.1123,38.8618,200.3545,169.6444,19.7815,4.6434,18.0376,45.3361,3.907,231.8444,881.6821,36.8166,104.1844,1261.0297,56.59,316.4854,268.6576,1907.0426,457.2835,1602.7739,232.3947,2511.2773,0.0
GBR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
