V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_C20,224.9148,0.0746,0.1733,1.8542,1.8509,110.6024,20.8187,13.2139,35.3049,148.9804,371.8115,82.2657,345.6349,56.9799,23.731,20.7502,27.1983,57.8927,29.4505,66.2746,2.1953,30.0784,34.4216,15.8693,66.5343,83.0269,22.7861,1.307,4.8999,5.8942,1.3688,10.974,2.6519,1.464,2.1726,3.4026,21.1378,29.1805,24.0569,12.2202,11.6978,71.9726,14.2121,15.0507,0.0
HUN_C21,27.8921,0.0799,0.0306,0.1543,0.1547,28.1331,2.2084,1.6371,3.3293,11.7345,23.7301,115.1861,23.0563,4.7053,4.6461,3.6053,10.0928,5.9708,7.4973,30.8106,0.7963,13.3709,3.159,1.4489,10.9168,15.6066,4.5731,0.5437,0.6666,0.9862,0.3217,4.0049,2.9269,0.735,3.5613,1.4255,2.8772,16.4716,3.7138,6.6269,1.9042,220.0578,3.4311,2.2134,0.0
HUN_C22,24.1071,0.1055,0.127,0.3379,0.3197,90.4527,53.9866,13.3489,44.2657,4.5308,32.2635,20.8882,288.3157,18.1197,6.1883,25.1917,89.8902,85.3708,58.3291,449.7493,5.9219,80.4494,7.6927,16.9976,160.9903,97.3916,48.0292,0.3645,1.8085,10.8096,0.9437,7.2809,2.3896,1.1749,1.5112,6.9023,25.3931,31.8029,14.8506,13.9722,2.0607,24.6199,3.639,3.7329,0.0
HUN_C23,13.8968,0.0905,0.0394,2.992,1.0238,41.7769,5.6688,10.1242,1.9732,3.0849,14.0692,10.6647,17.9179,213.3273,21.4729,12.4578,17.0275,22.4322,27.6456,155.0016,1.6441,12.904,6.5912,7.5412,628.0889,48.4389,4.8097,1.4183,0.4359,10.5803,0.1531,5.5392,0.8322,1.8202,0.951,1.1552,47.828,21.3616,8.5337,2.1888,1.1503,7.4951,1.505,1.3967,0.0
HUN_C24,5.7811,0.0178,0.083,0.099,0.7458,7.0967,0.5976,13.9194,6.1574,3.8959,11.4088,4.8971,29.0961,27.8944,377.6777,418.1124,19.6662,197.5248,125.0192,187.181,16.5009,37.6968,4.2556,10.9569,117.7639,69.8936,9.6574,0.2626,0.0235,7.6508,0.001,0.1987,0.0282,0.0612,0.3789,0.031,16.6635,34.8296,22.1062,0.0038,0.0435,0.5403,0.1321,1.9274,0.0
HUN_C25,11.7979,0.0548,0.099,0.5747,0.6163,92.6412,10.9632,13.8716,9.0069,11.5015,18.4849,8.9188,77.9758,15.3171,32.4779,299.5397,59.099,80.2465,228.556,648.4575,11.3096,73.5719,17.049,11.087,296.0597,66.9568,15.7647,1.5275,10.4774,19.2922,0.7119,3.8267,2.0322,4.4338,4.7773,3.9695,34.4871,18.3956,16.0291,10.4425,9.4188,12.1441,9.0835,4.3573,0.0
HUN_C26,5.9525,0.0517,0.1325,0.3582,0.507,12.2008,1.6293,1.3416,3.8617,7.0653,6.965,10.201,16.7491,3.9701,4.7692,17.4101,862.4157,75.1621,70.6142,341.9026,3.2537,44.2538,14.226,5.8031,54.0982,72.2673,12.2735,1.1823,5.3904,7.7894,2.5166,4.8734,5.625,30.739,25.9931,17.4943,17.463,38.6445,16.6788,20.5526,8.261,15.7303,6.7841,11.6582,0.0
HUN_C27,5.3849,0.0306,0.0438,0.1958,0.1649,9.4137,2.6054,1.4685,3.2357,5.3835,7.7913,3.0646,11.4913,3.5158,3.9105,17.5769,117.8868,85.1518,84.6308,197.1771,4.473,11.8666,10.9627,3.7027,66.8623,21.1097,8.3052,0.8289,4.1398,4.4641,0.2713,2.5074,0.8488,2.9578,2.1604,1.2941,10.6997,9.3518,4.651,6.6711,1.3176,3.0437,1.5797,1.863,0.0
HUN_C28,23.037,0.1158,0.2173,1.7504,0.8062,33.1061,4.9027,3.4942,11.785,26.4469,16.2878,15.5609,22.7212,12.3412,12.9947,33.7312,72.268,59.1003,223.8386,743.9662,5.6952,29.187,31.1243,10.7141,82.1331,68.0504,30.1754,3.8789,25.2389,22.0552,0.6096,6.1375,4.0484,5.1191,7.8582,6.2034,18.9736,32.4637,15.98,9.4766,3.1235,5.9855,4.6106,5.2847,0.0
HUN_C29,15.028,0.1142,0.1606,1.4532,0.7194,25.7202,15.1766,3.6659,6.8934,5.1117,9.3601,22.6344,35.4662,37.763,11.5393,43.5902,197.809,64.6363,152.2964,1923.1882,6.0291,29.8102,13.0958,11.8519,169.1006,131.6308,44.378,2.2755,2.7718,13.3589,1.9467,4.8341,4.7693,7.1028,13.1583,6.4668,25.5548,58.5328,22.2322,14.3534,3.2248,8.0462,4.9351,7.0416,0.0
HUN_C30,0.336,0.0037,0.0047,0.0056,0.0,0.2518,0.0951,0.0265,0.0168,0.0461,0.0033,0.0107,0.9252,0.0338,0.034,1.9081,0.1373,0.2796,13.263,4.7104,47.1718,10.7833,0.025,0.072,2.0439,5.9406,24.2229,0.0391,3.4233,3.133,0.0341,0.0413,0.0197,0.0,0.151,0.0,0.3714,3.4618,5.1598,2.6379,0.1297,0.2813,0.3532,0.1765,0.0
HUN_C31T33,5.561,0.2431,0.1237,0.917,0.532,23.5393,11.7649,6.0742,9.7307,77.7504,20.6846,20.1275,26.9279,7.3059,10.6732,14.9824,35.3303,10.9696,68.5119,89.3755,1.9784,61.04,68.1962,11.3926,58.258,54.4407,73.0426,11.2141,94.2612,67.0319,1.58,3.0852,3.3514,20.3144,12.3772,16.8722,17.2839,16.9571,12.1172,22.0466,18.4373,145.382,17.1635,6.0472,0.0
HUN_D,99.4778,0.9712,0.3407,4.974,0.8341,138.3372,10.4073,24.148,53.0952,106.2962,210.5241,42.0351,86.7015,93.1568,94.973,45.9516,35.2593,24.2251,86.9297,109.6838,4.5809,27.8735,289.9262,77.9663,62.1666,362.5518,127.2384,0.755,1.4866,33.5307,6.2777,131.7371,13.1972,32.0267,18.6629,25.8805,140.9818,60.9134,34.2481,140.2551,97.658,87.0677,105.7345,30.5573,0.0
HUN_E,27.0633,0.1342,0.4839,2.052,1.8947,49.46,5.1435,4.4387,100.3955,17.0968,23.5114,21.5701,18.8085,15.3989,147.4522,10.6266,7.2598,4.1205,13.6156,35.1318,1.3896,6.8926,30.5193,267.2446,43.4513,122.769,13.3156,1.7152,1.3003,11.3327,1.6053,35.4354,2.9673,2.4567,2.8448,11.3447,45.3697,20.0903,24.647,309.5885,36.8575,48.4475,47.7245,16.2214,0.0
HUN_F,9.0004,0.5084,0.1419,1.0437,0.3645,19.9968,1.4843,1.2218,4.0924,23.516,10.4446,3.2205,6.1478,11.1944,4.5854,22.7888,6.2275,11.621,14.501,28.129,1.1325,13.1631,91.0526,58.3659,1181.3787,84.594,14.8771,1.1907,7.0713,118.3293,1.682,48.6172,7.3049,18.1543,4.2507,10.0981,459.9464,50.669,17.8953,384.6979,75.0927,35.8781,39.5288,16.2377,0.0
HUN_G,632.0372,3.0578,1.4813,5.3834,2.837,1013.7272,100.8759,71.8334,135.7785,252.129,289.2482,117.3732,223.4611,114.3765,122.8892,159.4779,161.6787,116.48,196.4411,657.3805,23.1498,132.373,135.8749,81.3511,400.204,875.2232,496.5813,21.6877,87.0694,111.821,34.9833,392.6296,62.7763,45.7353,49.075,81.3532,134.4044,181.0628,242.398,137.538,63.3445,230.7912,100.9672,75.3415,0.0
HUN_H49,102.7346,0.7428,1.2832,11.7629,3.2669,227.4206,16.5977,15.4761,32.1783,97.1549,97.1641,14.067,66.9741,69.9982,42.1689,52.2144,65.9422,39.5938,75.4018,244.5017,6.4259,30.8049,136.7607,35.2732,169.6188,825.4636,167.7694,5.3934,14.9905,79.426,13.5838,37.2102,12.8852,14.6047,11.5698,18.6484,25.7534,45.4099,71.6419,38.4495,40.3643,54.6051,30.186,20.8455,0.0
HUN_H50,2.6615,0.0119,0.017,0.0329,0.0282,3.7991,0.6535,0.3811,0.8433,4.9603,2.4851,0.6205,1.9275,1.2679,1.9727,1.9936,4.1855,1.5352,2.745,8.5405,0.4112,1.1275,1.4772,0.3522,3.6228,5.2741,2.7536,0.766,0.6883,1.3265,0.0527,1.199,0.2274,0.1548,0.1411,0.1704,0.7531,0.7849,0.973,0.6776,0.3581,1.2047,0.6469,0.3689,0.0
HUN_H51,9.6488,0.0389,0.0567,0.1049,0.0941,13.0495,2.1112,1.4206,2.9485,15.1943,7.8927,1.6332,6.2049,3.5929,6.0034,6.9524,8.2828,4.1561,5.7117,27.8727,1.302,3.0819,5.0898,0.9062,10.6773,6.204,4.9839,0.2535,0.5845,1.1734,0.1024,3.7665,0.5177,0.3477,0.2862,0.2635,1.5644,1.1988,0.6932,0.3478,0.1422,4.0025,0.2754,0.8218,0.0
HUN_H52,18.1678,0.2411,0.0821,1.4466,0.3151,67.0045,6.189,3.5383,6.8263,9.7378,14.832,6.3818,17.9566,18.6277,11.0813,11.6587,15.8624,4.4328,18.2756,32.7247,1.7011,8.6378,53.3857,13.9294,72.0366,250.2935,364.6447,5.3415,120.7227,351.4713,7.1946,13.9342,7.9113,6.6377,5.9403,6.9754,13.6598,19.9189,21.1077,55.7688,5.924,6.1351,14.0358,15.4046,0.0
HUN_H53,10.1985,0.0719,0.0802,0.1741,0.0852,9.7313,1.6404,1.0514,3.3912,3.3447,6.6271,5.0317,4.6888,2.5636,1.1337,4.1279,7.563,2.6089,4.9447,9.4353,0.2986,2.9847,15.0134,11.0341,15.1317,63.2594,12.4433,1.2443,1.0406,8.7532,20.0272,9.6342,20.9479,17.4678,5.2663,83.197,45.147,29.2688,19.0548,105.671,16.1029,18.1253,24.6314,13.1766,0.0
HUN_I,1.2642,0.0493,0.3997,0.0603,0.4781,6.7568,1.1301,0.2471,1.0554,0.7493,1.7015,7.6853,3.6797,1.4574,1.5208,3.2465,4.9788,1.897,7.3155,10.4175,0.6091,2.4789,1.8571,1.1301,15.4569,19.2377,8.3302,3.6369,1.0014,2.769,0.9504,149.3418,3.6718,1.5068,11.7792,4.6574,2.4869,34.4674,142.8792,23.21,13.6009,64.2239,9.9279,16.0224,0.0
HUN_J58T60,2.9473,0.0568,0.05,0.2382,0.1829,25.9591,1.1899,0.7637,8.5057,2.2795,9.2044,17.3038,10.1564,2.8139,2.5197,3.4281,13.1288,4.455,9.4462,17.7648,0.4618,3.732,6.626,3.4955,13.305,113.4184,16.5805,1.3439,0.8406,5.6021,2.3424,16.2038,317.1403,50.6007,25.5708,24.4022,22.4697,57.1255,31.6268,27.7553,38.1141,7.5428,99.3105,24.4105,0.0
HUN_J61,10.0038,0.3062,0.1124,0.3309,0.1325,17.2147,2.06,2.6459,4.7383,4.2051,6.6733,5.2115,11.1967,5.9397,2.8246,8.6344,9.2372,6.2873,14.8572,16.2152,0.9957,7.4401,8.3788,11.9709,42.157,93.405,41.7513,0.6229,1.0734,9.0339,4.7812,17.7114,91.5211,76.9781,37.818,47.1667,25.623,67.0903,40.3615,139.0117,40.5162,36.5744,57.6537,33.1473,0.0
HUN_J62_63,10.0082,0.0979,0.3664,1.4786,1.0277,48.4582,2.7662,1.7787,8.9819,7.5653,10.9292,15.5097,17.5963,8.6266,19.5794,10.5831,40.2267,21.833,33.891,75.4081,1.7527,9.7817,53.8557,19.2379,47.7733,202.1294,54.522,2.4847,4.7927,33.6875,10.7451,20.4397,48.1332,63.967,211.2202,173.9385,38.4444,124.4084,80.8672,146.0048,33.1095,29.8202,33.2732,17.4559,0.0
HUN_K,162.8827,0.946,0.9104,2.0057,1.8102,82.0765,12.6894,12.2392,21.6391,59.854,63.8922,30.5427,44.3293,18.4376,17.4077,52.8606,41.1548,30.1625,43.8354,73.9599,3.5146,38.1611,53.7633,38.5508,218.6291,555.1489,158.2165,5.8334,11.8225,82.8284,9.4503,121.5648,27.5872,43.9442,61.2055,1229.0323,847.4606,255.2137,173.1761,409.6275,32.4377,51.0702,46.0646,67.9796,0.0
HUN_L,30.4755,0.4642,0.7086,1.5406,0.101,73.6738,10.9237,10.0077,26.6119,13.079,20.3722,11.8558,48.4006,13.1793,8.1079,39.3231,25.9906,12.5318,43.9616,93.0991,7.4383,32.5553,57.6757,92.0698,117.3731,898.1741,121.7546,1.2858,30.463,71.0649,8.4842,232.2932,69.3428,72.1586,80.0723,146.0359,201.3085,295.3738,183.4253,315.2509,137.582,106.0235,229.3654,196.7103,0.0
HUN_M,34.9642,0.5435,0.5132,6.4448,7.0378,167.9716,13.3859,9.9636,26.7812,30.1787,37.4467,205.3438,74.5294,40.9265,25.8873,60.3412,125.6841,86.9326,101.0564,544.1462,11.0052,49.9154,128.3212,53.3948,327.6597,775.4838,69.9606,12.8843,9.9921,49.1835,7.4961,67.7639,117.8293,80.2586,147.7675,135.6541,316.6968,762.5753,278.4401,179.4064,40.237,47.1309,102.4586,62.3653,0.0
HUN_N,35.194,0.5195,0.6518,1.8325,2.7385,103.1133,18.1107,15.0042,49.6108,24.4788,45.5583,75.9372,71.8327,34.3275,27.3573,90.7917,138.6368,61.6863,110.3466,246.6385,6.1879,74.3135,137.6353,75.2945,166.3277,676.4163,186.0227,15.0312,11.4267,67.9027,28.442,103.9714,103.2727,85.2567,120.6743,260.2884,263.6305,210.5567,318.1934,184.216,83.2513,93.0015,198.1547,60.9717,0.0
HUN_O,13.2223,0.5509,0.6587,1.6681,1.9425,27.1717,3.4443,1.9027,20.1303,7.1036,8.6525,4.9224,11.5124,4.98,27.7842,8.72,9.2162,6.9214,12.1168,37.322,1.734,7.0268,24.2484,86.0941,31.0397,234.7206,69.3864,4.0411,1.0697,21.6502,3.034,37.4057,8.6619,58.9393,20.084,75.3272,38.8906,71.7245,37.9021,218.012,23.3339,10.159,42.8071,35.7541,0.0
HUN_P,2.4965,0.0706,0.0282,0.0429,0.0598,5.8282,0.6734,0.5781,1.4546,3.9312,1.9268,4.4781,6.864,1.9215,1.3717,2.1221,3.8496,2.5155,5.9446,5.2168,0.9159,1.989,2.8457,2.8803,7.6733,32.1026,8.1696,0.0493,2.4279,2.1964,1.5535,3.8894,1.5365,3.8273,9.2685,17.3509,5.3978,19.2329,11.3264,38.0594,196.3627,8.2532,1.7772,10.7056,0.0
HUN_Q,0.5424,0.1414,0.1715,0.1002,0.7989,6.3903,2.1831,1.0718,1.3206,0.9885,2.9547,19.4111,3.0291,2.4882,2.69,3.0061,2.234,1.4778,3.3573,5.1651,0.6565,5.033,2.8589,2.6869,5.463,29.2782,13.6049,0.3302,0.3563,2.208,1.8245,13.012,1.0382,0.5497,2.3114,3.8182,2.8871,6.1139,9.2499,2.123,3.9686,326.3977,8.5607,15.1072,0.0
HUN_R,2.5922,0.0168,0.0099,0.2284,0.0266,6.2952,0.542,0.9289,1.6229,1.2612,1.7211,1.6872,1.897,1.0848,0.6478,3.1031,1.9866,1.4384,3.4228,6.0421,0.1802,2.1539,1.6759,1.3716,7.0453,31.9969,6.1783,1.0819,0.4871,3.2854,0.4565,5.8086,161.7146,2.7995,6.7855,6.0336,4.9742,11.3288,42.3876,7.6275,1.6489,3.8351,272.6367,12.8386,0.0
HUN_S,17.4986,0.1238,0.0531,0.2716,0.0708,18.9688,1.8312,2.1441,4.7689,3.8215,5.9099,10.2677,6.1782,3.0975,2.257,5.2218,6.5854,5.3044,7.8153,12.7515,0.8535,6.2788,9.2796,13.845,20.1132,93.2515,22.8946,0.6759,3.4933,8.7519,3.9426,24.2176,7.4466,67.2457,45.3613,39.5584,38.3212,53.1708,41.4492,39.6096,29.5316,29.7387,41.9543,17.9278,0.0
HUN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
