V1,LUX_A01_02,LUX_A03,LUX_B05_06,LUX_B07_08,LUX_B09,LUX_C10T12,LUX_C13T15,LUX_C16,LUX_C17_18,LUX_C19,LUX_C20,LUX_C21,LUX_C22,LUX_C23,LUX_C24,LUX_C25,LUX_C26,LUX_C27,LUX_C28,LUX_C29,LUX_C30,LUX_C31T33,LUX_D,LUX_E,LUX_F,LUX_G,LUX_H49,LUX_H50,LUX_H51,LUX_H52,LUX_H53,LUX_I,LUX_J58T60,LUX_J61,LUX_J62_63,LUX_K,LUX_L,LUX_M,LUX_N,LUX_O,LUX_P,LUX_Q,LUX_R,LUX_S,LUX_T
LUX_E,1.558,0,0,0.2414,0,6.0529,4.5646,2.2313,0.6758,0,1.3414,0.2386,19.5912,5.74,182.4986,6.2734,0.3596,0.2192,3.6548,0.2097,0.3657,0.3361,17.476,3.8006,35.2909,19.4407,4.2565,0.0932,1.1478,0.751,0.3378,4.5109,0.7659,1.4738,3.0483,9.5603,6.7223,5.0504,2.6123,10.3879,1.2101,5.3592,1.0705,1.9917,0.0
LUX_F,4.5899,0,0,0.1346,0,7.0728,23.6614,2.1691,1.0214,0,2.8367,0.7297,37.3813,13.7312,37.4437,14.0679,1.4807,0.9435,13.4412,0.9109,2.0994,2.9579,82.1267,10.9204,782.0418,45.0611,130.5479,0.3768,6.8798,8.3697,2.2338,4.0664,2.7952,13.966,38.9332,53.4494,135.4129,33.5551,16.157,81.7032,12.3261,31.1714,7.4314,12.279,0.0
LUX_G,30.5347,0,0,1.5849,0,115.1939,53.0928,4.2059,7.0771,0,23.1378,8.1066,294.6417,47.4506,140.1081,36.1109,8.1595,5.0395,56.4231,14.9525,6.5871,7.8583,16.7427,5.8944,123.9774,204.0819,108.3331,2.3576,56.9697,8.3902,9.7486,122.8314,7.4167,24.4356,195.8019,46.4386,16.1207,285.8165,101.0388,16.5972,6.3207,60.4607,5.8169,6.0657,0.0
LUX_H49,3.5802,0,0,1.1752,0,12.3277,4.725,1.0875,1.3638,0,4.1346,0.8278,45.6043,16.5401,38.871,8.2567,1.0802,0.8705,10.905,1.7082,1.0941,1.263,7.4011,0.8524,47.6395,29.7485,17.0612,0.4411,7.691,4.2564,2.7445,7.9947,3.2691,5.1215,11.8875,4.7501,7.4558,21.0807,6.6961,4.7171,1.0675,5.8501,1.2649,1.1441,0.0
LUX_H50,0.3193,0,0,0.0117,0,2.0096,0.2538,0.0754,0.2362,0,1.089,0.1152,7.4706,4.2911,13.822,2.0531,0.2766,0.2018,2.5907,0.2398,0.349,0.2573,0.4468,0.0125,0.5601,21.2893,0.185,10.6032,2.4116,3.993,0.5076,0.6628,0.2071,0.5366,2.9301,0.0688,0.2101,0.9065,2.3237,0.0371,0.0153,0.3351,0.1141,0.0224,0.0
LUX_H51,1.3828,0,0,0.0649,0,5.4144,1.9322,0.2913,0.48,0,1.3855,0.4566,17.5165,4.1187,14.3675,3.6115,0.8919,0.496,6.1786,0.6649,0.5367,0.7129,1.3211,0.1417,4.7969,16.8996,3.0936,0.2231,52.8705,2.6291,3.3269,3.3541,0.6289,1.4282,21.0608,2.2804,0.9891,10.8255,16.0422,0.2879,0.0596,1.5057,0.3438,0.2956,0.0
LUX_H52,0.2141,0,0,0.001,0,0.837,0.0631,0.0092,0.1221,0,0.4556,0.0835,4.5686,1.6883,4.8076,1.0615,0.1582,0.0975,1.3555,0.156,0.1194,0.1282,0.0247,0.0013,0.1695,17.1135,5.271,1.4444,24.8824,4.3152,0.5689,0.117,1.0812,0.0065,1.2504,0.0059,0.1071,1.5856,0.9055,0.9163,0.0087,0.0575,0.1995,0.0989,0.0
LUX_H53,0.0026,0,0,0.0095,0,0.2124,0.0134,0.0242,0.1227,0,0.1807,0.0556,2.0127,0.4356,1.2746,0.4989,0.1167,0.0501,0.8353,0.0472,0.0805,0.1054,0.2625,0.0306,0.4091,9.722,0.1841,0.0354,0.837,0.5297,8.5385,0.0228,0.2895,0.8593,7.3477,11.0885,0.6802,3.3696,2.3803,1.7847,0.0691,0.7223,0.03,0.2453,0.0
LUX_I,0.0561,0,0,0.1134,0,1.363,0.3545,0.1556,0.4325,0,1.2777,0.5762,16.9798,3.677,11.5549,4.3935,0.9801,0.4693,6.9913,0.4415,0.6115,0.9033,0.6292,0.5769,9.2374,20.2972,3.7297,0.464,35.2297,2.0215,1.0116,3.9606,0.9958,3.0622,22.0193,10.4825,2.8629,39.9185,24.5954,8.0028,4.4802,54.8484,1.8137,5.4745,0.0
LUX_J58T60,0.3297,0,0,0.0306,0,2.7361,0.8466,0.087,0.2996,0,0.4094,0.1877,6.4716,1.0183,3.5183,1.1199,0.2641,0.1386,1.6718,0.151,0.2175,0.2084,0.554,0.2535,2.242,25.4268,0.688,0.0586,1.4061,0.2676,0.2663,1.0108,12.0674,32.878,40.9057,4.9359,1.078,44.1823,3.8833,1.2473,0.5341,1.0209,8.5534,0.6017,0.0
LUX_J61,0.303,0,0,0.1124,0,2.8535,1.1476,0.1295,0.3192,0,0.6001,0.2566,8.6754,2.128,5.75,2.5465,0.5918,0.2422,3.4657,0.2459,0.3534,0.457,2.4753,1.8706,18.4653,30.4836,3.7185,0.1578,3.5933,1.0715,1.1332,1.6425,2.7468,226.0376,345.6765,20.178,4.334,54.0119,8.4939,6.2165,1.954,4.6273,2.1617,1.2104,0.0
LUX_J62_63,3.1404,0,0,0.4243,0,35.0194,8.9401,1.1259,4.3839,0,5.374,2.5399,77.2526,14.3721,52.0551,16.8796,5.7662,2.2911,26.9954,2.4104,2.6573,3.301,19.8558,6.5741,107.7065,354.8102,18.0079,0.7967,31.8509,5.3469,6.7996,8.1544,34.6138,62.9058,1122.4026,161.6938,13.8947,1327.5165,50.7098,36.4554,12.3419,20.9618,19.3536,10.3708,0.0
LUX_K,16.4353,0,0,1.8595,0,40.1506,16.2072,8.6454,7.5078,0,17.5264,5.0401,241.587,61.2271,246.2654,61.2345,11.9844,6.4246,91.5231,6.8763,10.8124,9.6823,32.5409,4.5865,164.0985,437.0668,92.0319,6.9155,113.4767,21.7118,13.0245,17.4419,27.406,50.9192,293.6904,36584.0797,291.4078,299.3889,154.3442,139.7912,4.9162,62.5516,5.4172,13.5634,0.0
LUX_L,0.9404,0,0,0.636,0,9.8861,8.0512,1.6251,3.7995,0,3.7804,1.5102,87.604,19.238,47.126,29.6081,4.5963,2.2297,28.977,2.2693,5.2035,5.9247,13.217,1.0079,131.5174,466.9828,46.3443,1.1652,27.4614,14.9355,9.4358,52.3257,10.3564,49.8674,274.834,137.5142,118.8567,319.7087,84.7996,71.1778,9.4693,84.6354,9.6951,38.6437,0.0
LUX_M,5.2974,0,0,2.8696,0,69.9007,25.3093,3.1906,11.5396,0,32.2823,21.9342,390.2133,95.4271,335.1318,94.5185,29.4035,12.7135,154.2122,13.2618,11.4393,19.4815,49.7846,40.68,645.8743,870.5502,101.4833,5.5093,97.5063,28.6214,15.9737,24.093,52.4318,163.202,924.2973,3121.0602,145.2768,2059.0897,253.9082,132.107,57.9803,86.8846,23.7,37.9681,0.0
LUX_N,1.0818,0,0,4.2799,0,18.1369,20.4405,2.832,2.9577,0,6.2169,3.5161,116.745,25.2387,72.6661,30.0827,7.3877,3.1993,45.7015,4.0259,4.8909,6.4427,19.8984,13.8387,340.1175,219.1057,44.7767,3.6247,90.5856,13.4841,7.4957,7.2545,7.0447,72.5259,320.1589,42.7684,22.6515,419.0708,183.9806,31.5343,11.0876,15.4533,8.1551,10.0508,0.0
LUX_O,0.1286,0,0,0.0259,0,0.7225,0.3692,0.0636,0.5609,0,1.3572,0.6269,20.0373,3.5588,14.6696,4.928,0.7134,0.4324,5.1873,0.4491,1.0738,0.8769,0.8886,0.1717,7.6897,14.0817,2.2294,0.3409,6.7495,1.8893,1.2481,1.5023,0.4605,1.5647,9.4134,18.6661,9.7645,14.119,9.5251,6.7284,0.4048,2.907,0.5236,1.2298,0.0
LUX_P,0.2565,0,0,0.0696,0,1.5404,1.6375,0.1986,0.2254,0,0.6808,0.3946,7.7397,1.9888,7.4062,2.1011,0.642,0.2735,3.6554,0.2648,0.3954,0.491,1.735,1.1936,6.6742,17.7426,7.119,0.1185,9.4182,0.7809,0.5019,1.5342,3.9966,11.8545,25.6055,8.1128,2.1499,50.7463,8.5513,9.3374,15.3449,13.7535,2.871,3.522,0.0
LUX_Q,0.182,0,0,0.0368,0,1.4042,0.6104,0.1281,0.1873,0,0.3748,0.2559,5.8398,1.2272,4.6362,1.4041,0.2789,0.1372,1.8141,0.1411,0.2803,0.2828,0.9454,0.4907,7.8334,17.9676,1.4749,0.0698,1.2635,0.5354,0.4113,1.6531,0.3721,2.9124,20.7437,4.9774,2.9489,17.5632,4.3998,17.5325,1.8007,87.0966,0.5315,2.4886,0.0
LUX_R,0.0572,0,0,0.0239,0,1.1988,0.4271,0.1287,0.1519,0,0.1926,0.0864,2.78,0.5916,1.6756,0.6183,0.1428,0.0709,0.8732,0.0855,0.1978,0.1346,0.1207,0.2964,3.9804,16.5111,0.4474,0.0646,0.8107,0.2566,0.1865,0.3639,10.226,19.7888,18.8774,2.8563,1.162,12.5686,3.9725,0.8382,0.4234,0.8314,8.6378,0.3027,0.0
LUX_S,0.2221,0,0,0.155,0,17.3158,2.4508,0.9824,0.3042,0,0.7674,0.2752,10.325,3.4157,7.989,2.3763,0.5178,0.2666,3.0541,0.2317,0.4639,0.4904,1.6884,1.5168,43.4334,72.6732,4.7065,0.1478,2.7228,1.0301,0.6062,1.4042,1.3798,6.2274,107.1338,40.7492,2.5958,41.3086,6.172,2.7561,1.648,12.9264,0.8108,7.2297,0.0
LUX_T,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
