V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T
PER_H51,6.0294,0.8424,62.5038,20.7731,1.0847,48.1869,14.4719,1.7644,5.2464,16.2547,5.0666,0.8436,4.7217,5.0935,5.0223,3.9121,1.1677,2.9314,5.3633,2.1092,0.5926,26.7246,5.1039,1.0237,27.5694,21.2639,7.4611,0.0593,51.1447,35.0624,6.9517,19.0769,2.2813,8.2206,2.3181,11.6043,1.2349,30.414,22.6799,99.9413,11.3147,30.8864,5.3928,17.3328,0.0
PER_H52,10.9351,9.9927,341.4535,233.8434,0.9215,56.4989,16.8917,30.5747,64.4976,109.2418,38.1444,2.3004,6.5401,8.2838,19.0608,15.0862,0.4144,10.5499,2.0708,1.8103,0.5342,28.8272,3.1236,8.2338,107.7814,1687.4003,904.7033,75.2221,341.1091,593.4838,15.5663,29.1942,3.692,19.6642,0.6077,11.6276,1.0831,12.3017,37.8652,75.2978,47.17,11.5051,3.279,13.0589,0.0
PER_H53,0.0,0.106,0.0,5.9022,0.0938,3.6634,1.6666,0.0401,0.6176,0.0,0.3164,0.5828,2.2617,0.2865,0.5473,3.5466,0.1734,0.5572,2.1747,0.7054,0.2426,0.9414,0.6724,0.8457,0.329,28.4234,0.0,0.0,0.0,27.8754,25.9821,1.5678,15.1155,53.5656,1.4713,111.7706,5.3907,36.2301,9.157,28.6573,19.9415,2.8577,0.9445,15.6084,0.0
PER_I,0.1825,2.7248,40.123,29.5422,2.6166,6.9014,1.7992,0.227,1.6578,6.9445,8.5507,2.6795,9.2557,2.5313,1.9528,7.9184,0.4854,1.4984,5.9305,4.047,2.0051,3.965,14.7772,5.7387,28.4769,146.2631,85.2447,1.4884,21.9496,3.3023,10.3508,14.3227,5.293,41.5532,7.5871,21.8044,0.561,134.897,47.9448,290.969,47.0924,102.3,61.6162,37.6861,0.0
PER_J58T60,0.7738,0.6382,6.8085,9.9035,0.581,18.392,1.429,1.7725,25.8716,1.7326,18.8512,3.0015,1.3796,1.1599,1.1315,1.0118,0.134,0.4572,0.3546,1.5399,0.599,4.3482,3.9053,0.9803,8.1902,46.6039,0.6025,0.1219,2.1263,1.0469,0.0416,10.3689,159.7048,79.3633,0.2922,35.0571,9.8674,883.0298,14.7476,52.6402,178.0341,51.5768,3.4794,17.692,0.0
PER_J61,1.7775,2.1409,5.1386,18.5775,0.6916,10.8142,12.3487,0.5582,1.2731,0.9698,1.026,0.557,1.8454,1.5098,0.8016,8.235,1.0422,1.4564,8.5917,1.2566,0.4872,0.632,4.7409,2.2813,14.6682,105.9054,8.8731,0.3233,2.8563,8.5942,3.6275,157.3498,23.1335,807.0742,4.0557,324.7226,6.9911,84.8978,58.167,157.0105,44.3511,54.3078,17.0233,33.8505,0.0
PER_J62_63,0.001,0.0016,5.8315,0.9864,0.0004,11.9046,0.9366,0.3196,1.1285,0.005,12.7225,2.8402,2.2047,2.1096,0.7497,0.4344,0.2917,0.3726,2.4398,2.6016,1.0384,0.4935,0.6491,0.2698,5.9796,23.968,2.2521,0.0001,4.0301,5.3807,0.2474,9.9743,16.3528,115.2745,63.9983,89.2926,5.7577,99.1716,60.4135,9.6165,1.8317,5.5076,0.0377,4.2689,0.0
PER_K,190.3681,67.185,164.1466,961.4547,5.5875,696.1699,114.4846,9.0621,36.7758,38.8754,119.6327,19.8144,63.5431,76.5788,150.0009,60.6103,0.8217,14.4784,25.4235,14.0499,5.4648,34.8482,170.7182,48.1932,318.426,841.2537,181.2625,3.0617,25.4121,84.2078,5.2936,291.6689,44.6941,267.2022,10.7548,1422.5436,260.1562,322.3072,174.7925,837.9116,121.57,97.3695,51.9584,59.2241,0.0
PER_L,12.3671,4.7865,57.2639,25.1725,0.6041,105.1645,51.6756,0.8831,5.2441,0.7744,10.2409,9.5003,8.2462,4.8222,1.4268,16.8221,2.7983,1.0337,13.0335,14.0319,5.2164,27.3992,7.2443,0.3624,24.7022,419.0474,24.257,0.7229,3.8257,70.9953,7.4968,371.2463,39.7732,177.9806,14.4775,356.0767,28.5678,396.1928,177.8591,55.0689,180.0328,77.0911,111.5132,126.3622,0.0
PER_M,110.2066,9.0086,168.4235,475.9149,23.9304,807.2427,173.1239,3.1297,38.7069,42.7814,420.2973,99.3545,112.1699,27.35,104.6255,184.4651,9.2527,24.3972,60.5513,78.282,27.8713,40.7554,75.2909,18.5051,746.2559,602.8649,132.7893,0.6311,90.0332,180.8022,9.7924,262.6637,283.8703,1290.0037,53.7016,926.971,389.8889,1624.3173,461.3061,454.1963,369.0924,352.1295,181.2877,416.1877,0.0
PER_N,134.8649,4.7041,76.0625,306.0879,8.7855,157.9704,35.9224,3.9948,22.8534,23.5944,65.7218,19.4674,41.8707,18.9262,51.8914,134.3439,2.1433,4.6939,31.3093,108.2826,34.4681,52.7087,64.2175,20.3319,284.3932,372.7608,71.8087,2.6246,81.3339,130.8162,20.7555,140.8113,106.5536,650.3486,33.2743,502.0518,74.8215,823.2293,650.8273,511.4489,303.813,527.2864,103.447,102.4214,0.0
PER_O,5.1789,0.5903,9.2706,24.7419,0.6509,21.0788,4.2585,1.2649,7.9764,2.7483,5.4359,1.4676,3.5221,1.9355,8.8593,10.6171,0.0967,0.3529,1.9863,9.5642,3.1426,6.7366,5.3953,5.5876,36.2042,49.486,18.4726,0.396,8.5657,16.363,2.02,8.7709,9.3221,44.918,6.3985,55.3069,11.8683,79.6668,48.5777,81.7158,45.5355,54.5331,7.5836,9.8241,0.0
PER_P,0.5455,0.2528,1.3089,8.8289,0.084,5.0354,2.1612,4.8952,3.286,0.1929,0.6318,0.4418,0.4627,0.1999,0.0914,0.4441,0.0457,0.0617,0.2664,1.5114,0.7938,11.8633,5.599,0.2765,4.2074,4.8242,1.6391,0.0119,0.2662,0.7451,0.0876,3.0833,1.8154,2.3749,0.2205,7.0566,0.6324,14.242,25.7392,18.1171,360.7073,10.0063,3.2646,20.8862,0.0
PER_Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.3569,0.0,0.0,0.0
PER_R,0.0,0.0041,0.0669,1.4038,0.0,0.3228,0.01,0.2695,0.7011,0.0117,1.6608,0.4923,0.0,0.1858,0.3451,0.0,0.0,0.0001,0.0005,0.0303,0.0103,0.6207,0.0999,0.0143,0.0,0.0828,0.2618,0.0003,0.0182,0.0114,0.0033,5.8847,3.896,0.1009,0.0236,20.7479,0.0,4.8316,0.3425,2.069,16.0233,0.206,100.6072,3.1438,0.0
PER_S,0.0202,0.0615,3.4809,6.0747,0.2387,1.4269,2.1217,0.0014,1.9995,0.3576,1.9243,1.097,0.1612,1.3687,1.0632,0.868,0.011,0.0287,0.1328,0.2179,0.0834,0.1227,1.1324,0.8847,0.3037,39.4232,1.6703,0.0284,0.4287,0.0721,0.2125,67.5304,7.6554,116.2561,40.871,115.916,3.8105,52.8809,46.6947,9.7498,26.5418,135.4284,4.7741,22.1004,0.0
PER_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
