V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T
MAR_C20,336.1761,0.216,0.0237,9.1979,0.1179,70.6967,74.9622,3.3755,47.0074,0.0818,413.2788,33.0991,234.3218,91.7898,7.5632,26.6622,2.7472,66.8841,7.2382,30.2822,3.8897,35.8426,6.7064,3.8142,156.3433,78.3337,1.2769,0.2832,0.7211,0.7615,0.2704,7.5859,13.0492,1.5562,2.5392,0.0,3.699,7.9341,23.0188,12.1091,7.8103,21.5024,3.5717,27.4744,0.0
MAR_C21,53.0439,0.1389,0.0033,0.9324,0.0013,21.5928,6.4714,0.4466,2.9007,0.0185,28.9285,111.4597,14.2411,7.7579,0.2913,3.3362,0.3894,5.5951,1.1012,2.7609,0.0397,3.7427,0.8942,0.4143,17.7726,17.9785,0.2343,0.1581,0.2213,0.1793,0.1126,1.6891,1.5035,0.574,0.9248,0.0,0.507,3.3651,1.7867,10.7999,7.6881,42.8278,1.5859,5.5391,0.0
MAR_C22,20.618,3.4897,0.0089,23.3097,0.0393,104.7652,76.9267,1.3382,5.9236,0.1812,22.1376,5.0212,22.1972,5.5902,0.3194,4.1379,0.248,75.3751,12.1858,84.5721,0.4407,16.5803,0.6138,0.2648,108.3526,200.5348,13.1527,0.9788,2.1696,3.3987,0.1953,3.4846,1.7979,1.3121,0.5112,0.2919,0.5199,1.1805,2.3306,14.6462,0.5477,0.9289,0.9161,2.8202,0.0
MAR_C23,0.269,0.0304,0.0067,3.2713,0.0427,18.4775,4.9222,1.5427,10.0548,0.0073,57.7057,3.6796,1.6901,239.9968,1.5469,27.1872,0.7374,8.0954,0.3044,64.3412,0.9056,2.2423,0.3609,0.0825,2803.4429,21.0075,0.7475,0.1921,0.4525,0.5021,0.0633,1.7208,2.0725,0.3208,0.4295,0.7495,0.3852,0.7994,1.5833,4.4935,0.7827,0.8762,0.2963,1.178,0.0
MAR_C24,0.0,0.3423,0.0053,1.2733,0.0531,0.8118,1.2792,0.9102,1.3109,0.0048,0.5565,0.0434,3.8339,137.7451,448.6365,211.4439,4.111,228.4668,15.8304,26.9971,17.3598,23.5079,2.0104,1.0376,466.8413,10.723,0.0618,0.024,0.0288,0.0332,0.0,0.0,0.2953,0.0,0.2248,0.0,0.358,0.8055,0.2981,0.0,0.1971,0.2151,0.1242,0.7888,0.0
MAR_C25,0.9792,0.2241,0.0119,12.6732,0.1118,79.5577,15.9072,9.915,5.1656,0.0428,17.8828,2.8269,2.8087,45.8589,15.0665,112.3013,2.9041,20.0906,9.924,51.4817,16.3532,23.9763,3.1204,0.8444,509.7627,37.9724,1.9625,0.4297,0.5935,1.1854,0.0683,5.3402,2.6222,0.6883,0.9983,0.2609,1.0015,1.6171,3.5668,2.2316,0.4692,0.625,1.083,4.2248,0.0
MAR_C26,0.7685,0.1393,0.0004,0.8812,0.0045,3.9465,1.2433,0.0327,0.1499,0.0068,1.101,0.2478,1.0544,0.4929,0.0282,0.8224,28.9041,3.2787,0.8627,4.0555,1.8519,1.5542,1.4578,0.4398,7.0188,9.3772,0.6392,0.0766,0.2135,0.2511,0.3294,0.099,0.5492,15.6142,1.5399,0.0,0.1075,0.8009,1.0744,6.4616,3.3629,7.151,0.1876,1.1487,0.0
MAR_C27,0.0273,0.0227,0.0007,0.2472,0.0047,0.8629,0.3619,0.0621,0.0952,0.0075,10.4744,0.954,0.8708,3.3487,0.6826,2.4149,20.5293,168.1186,0.5685,41.8228,1.1448,1.8594,6.7591,1.1494,80.385,19.0736,1.3985,0.2693,0.4612,0.7098,0.0813,0.0964,0.2684,3.4357,0.5354,0.0004,0.2297,0.5829,1.0419,0.2353,0.2118,0.3854,0.1024,0.5427,0.0
MAR_C28,3.9249,0.0814,0.0341,8.3818,0.0412,3.0078,2.6513,0.3531,0.1061,0.0448,2.0097,0.3707,0.1309,4.7122,2.0533,1.7333,0.4067,1.2351,5.3881,23.1378,2.7662,3.7136,6.1123,1.8484,21.4689,14.8733,0.8757,0.1653,0.3448,0.3498,0.0537,0.1488,0.8443,0.2173,0.9603,0.015,0.6348,1.67,3.4033,0.3485,1.2071,1.8362,0.7437,3.2579,0.0
MAR_C29,0.757,0.4957,0.0071,2.1869,0.029,5.3923,2.3941,1.7456,0.2267,0.0103,2.2534,0.2855,0.2176,4.5093,1.2497,17.4924,0.9013,7.0188,2.2558,1439.8201,4.4466,11.5924,2.2308,0.6785,29.9926,132.0254,51.1055,1.5987,7.5948,8.3218,4.8951,0.4812,0.3098,16.2148,1.0442,0.0072,0.7938,1.6703,5.7112,8.0447,1.0258,1.6272,0.2545,0.9425,0.0
MAR_C30,0.0,0.7952,0.0,0.0,0.0005,0.3335,0.0,0.0281,0.0,0.0,0.0,0.0,0.0,0.0323,0.0,0.0,0.0,0.0,0.0,0.0,14.0449,2.7024,0.0,0.0,0.1255,8.5875,2.3713,0.7324,5.7944,0.4912,0.0,0.0,0.0,0.0,0.0042,0.0,0.0022,0.0095,0.0116,16.3837,0.0638,0.0631,0.0,0.0,0.0
MAR_C31T33,136.0364,19.5311,1.6554,49.3829,0.2389,71.4745,20.8642,8.7188,9.6153,0.203,37.4538,4.3648,4.6687,38.951,20.0771,14.8841,3.1575,32.1428,3.2572,18.3462,8.0155,36.8329,24.2328,7.6834,116.946,41.4955,34.4205,10.6277,54.9028,9.382,1.3017,12.5431,2.8343,16.3646,7.0573,6.3118,2.5116,22.3043,48.9989,26.4591,13.1922,13.0997,3.8136,6.9673,0.0
MAR_D,203.3968,4.5344,0.2045,83.9406,0.3142,143.8643,45.3549,7.044,15.078,0.4988,99.0422,10.3395,34.554,234.3793,51.586,17.784,11.086,43.8742,2.671,106.2155,3.4611,13.9188,119.8853,11.7191,143.4122,201.5491,44.7546,3.3168,11.4046,26.9638,3.7382,86.3676,13.1034,86.237,4.9638,46.7665,6.0793,5.5631,10.8002,198.9519,52.3417,77.2724,13.5705,28.9769,0.0
MAR_E,45.924,1.3215,0.0529,19.1931,0.014,29.9509,8.2574,1.1051,2.4456,0.0964,20.4993,3.045,5.1927,37.7264,11.7558,3.1603,1.9849,6.7695,0.4405,17.3034,0.7727,1.1139,18.6367,13.6389,43.8667,45.4734,7.9685,2.0494,3.221,6.2228,1.8097,19.4887,1.9011,16.8531,0.8965,10.4665,1.6552,1.1215,2.7933,51.0553,12.4886,17.2149,3.1601,8.1975,0.0
MAR_F,68.0302,2.0119,0.3615,29.933,0.2895,29.9646,6.133,2.2093,1.1013,0.1368,12.0618,2.5544,0.3834,21.3476,1.7076,1.5412,1.8412,9.4974,0.8346,70.2713,6.0354,11.572,53.5337,9.5392,51.3264,119.9609,12.3815,1.737,4.5525,9.4842,0.9446,5.7696,2.8501,11.5974,10.1582,81.4521,17.9312,9.4042,13.9699,139.1616,35.3393,36.3055,3.2333,7.7534,0.0
MAR_G,642.6356,49.5855,0.2415,65.9125,1.1235,1311.1302,155.2916,31.5804,51.3581,0.8059,174.29,40.4471,52.5874,127.1438,59.6379,70.198,21.8919,87.5001,18.3335,206.8361,17.5797,63.0376,37.5376,7.9087,686.238,309.4926,306.2905,37.3088,121.965,56.8885,3.5957,120.6634,15.2864,28.5224,19.2591,6.9922,12.85,28.1118,65.9757,1613.1926,65.3488,121.2777,8.4321,28.9938,0.0
MAR_H49,155.6138,7.704,0.6664,163.3448,0.3844,182.9489,23.2505,9.4456,17.9859,0.476,86.2883,8.5427,9.1576,61.161,15.0578,17.4233,7.0347,43.1505,2.5907,19.9605,2.6887,13.6109,10.2694,2.0435,120.6399,181.5475,63.7749,7.5944,20.1372,18.5374,1.4067,12.1507,14.6866,5.313,1.6339,32.986,0.8398,2.5148,6.1667,73.4528,43.4494,40.5224,11.1083,40.9324,0.0
MAR_H50,0.0658,0.0017,0.0023,0.0036,0.0015,0.5654,1.002,0.0007,0.0806,0.0098,0.2479,0.0415,0.0974,0.0644,0.4104,0.1131,0.0109,0.0419,0.041,1.3962,0.0357,0.0807,0.5623,0.0646,2.5311,0.0094,0.0112,0.0011,0.0707,0.0011,0.0028,0.1647,0.0194,0.039,0.0106,0.0032,0.008,0.021,0.0453,0.0127,0.0015,0.003,0.0025,0.004,0.0
MAR_H51,22.3163,2.7565,0.0231,6.2877,0.0201,36.9478,24.6476,1.64,4.847,0.5571,18.3788,2.5317,4.3516,13.3291,9.555,6.7718,2.3687,10.5759,1.6699,28.0015,1.7055,4.2811,12.8094,2.1034,52.5266,17.9436,13.0691,2.9781,7.52,1.0735,0.3152,4.2289,0.9961,2.2774,0.546,0.2834,0.3856,0.9186,2.1339,6.108,0.9619,2.1108,0.2372,1.1089,0.0
MAR_H52,23.6838,1.7207,0.13,22.1398,0.0469,30.9909,3.6637,1.4765,2.9639,0.0722,15.4567,1.7436,1.5449,10.2911,2.5847,2.9688,1.3207,7.814,0.4423,3.1041,0.4424,2.1671,1.4295,0.2964,20.7777,45.1886,20.3779,9.9225,22.8371,17.5402,0.313,2.1229,2.5524,1.1181,0.2868,4.1863,0.1356,0.3764,1.0706,9.8763,2.4327,3.7525,1.4693,5.8035,0.0
MAR_H53,0.2999,0.0506,0.0004,0.0864,0.0015,0.525,0.1391,0.0341,0.0847,0.0022,0.3795,0.1201,0.0367,0.2177,0.0313,0.155,0.0257,0.317,0.0282,0.3232,0.0841,0.1219,0.407,0.1157,0.9238,5.0834,0.478,0.0955,0.2295,0.4255,0.5633,0.2208,0.1435,1.4175,0.257,2.7347,0.093,0.3171,0.6108,6.5684,0.9527,1.3077,0.082,0.3184,0.0
MAR_I,0.7876,3.8455,0.0114,3.6093,0.0563,4.343,2.501,0.4497,0.8625,0.0115,8.3667,2.6859,0.8457,4.2785,1.0052,4.7083,0.6798,7.4266,0.8548,8.9177,8.4987,2.0539,1.0791,0.3208,1.8571,10.9177,3.359,0.5089,5.9941,1.2769,3.9841,18.072,9.0879,43.5645,7.1757,91.5787,3.3633,10.9692,34.119,226.5825,22.1604,27.2882,4.9854,22.219,0.0
MAR_J58T60,0.2372,0.2511,0.0136,6.0506,0.0056,21.7044,7.9249,0.5523,1.524,0.0355,8.3683,2.6216,3.6713,21.3297,2.545,2.054,1.0886,9.1941,0.4365,3.3334,1.4944,1.2208,13.9269,3.19,8.9847,18.3096,0.5126,0.1186,0.5714,0.3997,0.1374,5.33,20.9132,2.8084,2.6819,6.3329,0.6021,10.0078,3.124,11.9809,10.8942,6.1204,4.3067,6.9569,0.0
MAR_J61,8.329,1.3565,0.0129,2.3765,0.0545,11.6625,2.9755,0.8677,1.7722,0.0403,7.9444,2.1915,0.8288,5.4517,0.6585,3.7,0.5552,7.166,0.6462,6.8153,2.3179,3.1425,8.9225,2.0332,29.6453,90.3754,15.7358,2.5778,8.0983,9.1345,0.4421,7.6771,5.0202,42.2115,9.9594,56.6004,2.6096,7.4956,12.1777,122.0299,22.5064,35.7976,1.9861,6.1131,0.0
MAR_J62_63,0.0026,0.0005,0.0001,0.0622,0.0003,0.1546,0.0549,0.003,0.0266,0.0006,0.0689,0.0198,0.005,0.0742,0.0176,0.0251,0.0199,0.1343,0.0033,0.1429,0.0406,0.0296,0.0861,0.0157,0.1885,0.4692,0.2442,0.0578,0.2931,0.1886,0.0158,0.1209,0.0988,0.3719,0.3944,0.8939,0.0244,0.0892,0.1292,0.5785,0.1564,0.2374,0.0314,0.0747,0.0
MAR_K,91.052,69.2439,0.2765,45.6586,0.52,186.2485,66.2505,11.6734,30.0707,0.7895,56.7758,11.4453,27.7738,59.6187,79.9642,58.5719,9.3736,81.0591,4.8788,205.8968,17.644,40.6246,301.982,56.407,1185.9267,698.3211,89.9687,22.5141,52.4118,39.9785,11.2009,156.589,16.5421,146.2032,227.955,1376.731,427.7459,257.7025,581.6436,306.7173,17.2136,29.7748,6.2334,22.194,0.0
MAR_L,0.6145,0.1005,0.0071,6.7388,0.0451,35.1119,7.785,0.8149,4.8789,0.038,9.6408,2.7338,1.177,12.4911,2.4298,5.536,1.7877,16.3186,0.5313,18.2529,4.4543,7.7775,9.2255,1.652,41.3313,161.1663,43.8771,6.5769,19.4878,41.3654,2.3071,38.3449,12.0394,40.2589,10.1186,81.0511,20.2593,15.8693,29.1999,65.2705,31.6858,49.6769,8.535,25.2167,0.0
MAR_M,1.6064,0.248,0.0416,21.8222,0.6813,105.676,13.6967,1.638,11.2906,0.2031,44.4005,18.7677,2.6151,31.2021,7.0325,10.2349,5.3911,56.894,1.5865,66.5738,12.3956,18.0426,29.4119,4.7811,139.2783,217.9713,76.9705,18.8123,57.2169,52.8348,2.8357,38.539,28.28,66.1987,36.983,189.258,19.1745,97.2033,79.5318,126.1057,40.2634,60.8327,14.1744,36.2239,0.0
MAR_N,2.2363,0.301,0.0331,27.8719,0.8378,99.1931,15.5218,2.441,14.589,0.1357,43.8129,14.7693,3.3728,45.7821,11.469,15.038,5.9872,55.1055,1.7001,72.7531,9.9901,29.4543,51.6514,10.2867,137.2519,270.4579,186.2639,49.1455,164.4043,141.5866,9.7689,75.288,37.2778,118.4443,56.3293,263.6716,49.5672,69.962,313.6436,259.696,101.0549,182.9515,34.1355,60.0712,0.0
MAR_O,6.2783,0.2077,0.0334,2.7564,0.0651,2.6014,1.1646,0.3294,0.1218,0.0126,1.1202,0.2465,0.0365,1.8169,0.1521,0.1974,0.1454,0.6621,0.0981,6.4254,0.6888,3.8002,4.9661,0.8849,1.8115,11.7357,1.1591,0.1635,0.4304,0.8885,0.1726,1.0979,0.4109,1.6271,0.991,7.5467,1.727,1.0119,1.5422,12.893,3.2803,3.4156,0.54,1.1179,0.0
MAR_P,71.0822,0.0,0.0,0.0,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3032,0.0,0.0,39.8678,0.0,0.0,0.0,111.3516,84.8603,39.8479,4.8783,18.5545,0.0
MAR_Q,53.2752,0.0,0.0,0.0,0.0166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5735,0.0,0.0,20.7953,0.0,0.0,0.0,70.7793,8.921,90.081,3.8892,11.8418,0.0
MAR_R,0.0,0.1067,0.0163,4.0978,0.0007,5.3999,2.5139,0.2811,0.7812,0.0092,1.2758,0.4431,1.7764,7.2065,1.401,1.0332,0.4875,3.3444,0.1322,1.245,1.0696,0.2714,5.1964,1.1249,3.6087,5.4128,0.14,0.0927,0.1121,0.1122,0.0361,2.8337,3.0967,0.3574,0.9914,0.0919,0.322,2.537,5.0804,3.8086,3.861,2.873,9.1544,2.5299,0.0
MAR_S,0.0,0.9659,0.0736,14.7426,0.0428,21.6273,9.7057,1.4252,3.1563,0.1094,7.1317,1.9239,7.4098,43.3052,4.5806,4.7114,1.6347,16.3353,0.6639,5.0293,1.9558,1.9153,32.8159,10.0706,16.0567,23.2172,0.6301,0.1462,0.5154,0.3914,0.1445,8.0485,5.001,1.2952,5.6602,0.4025,2.6249,7.9908,13.4477,12.4179,7.2032,16.2232,4.8514,29.3783,0.0
MAR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
