V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T
CYP_J58T60,0.0031,0.0019,0.1266,0.3777,0.0029,4.1734,0.774,0.5842,1.1794,0.0,0.5293,1.2079,0.629,0.4357,0.3408,1.1406,0.0008,0.0586,0.5456,0.3721,0.0208,2.9107,1.8874,0.9934,2.3529,6.8868,2.9823,0.0277,0.0634,4.0119,1.6131,3.2553,137.0973,3.0002,27.0019,11.128,11.513,36.1419,8.7114,8.5391,4.123,4.7892,4.5075,2.6348,0.0
CYP_J61,0.1546,0.0339,0.1434,0.3757,0.0036,2.0653,0.2536,0.4208,0.6294,0.0001,0.1831,0.451,0.2138,0.6916,0.0345,0.7658,0.002,0.0822,0.1866,0.1286,0.0207,0.9162,6.2635,0.7382,2.4723,27.9538,1.4919,0.2975,0.2936,11.3831,1.0808,10.9675,33.5161,173.938,23.0692,19.2394,2.4117,30.2676,6.0004,5.8431,3.9869,8.8224,13.1481,3.6331,0.0
CYP_J62_63,0.0351,0.0,0.0204,0.0856,0.0006,0.3056,0.0614,0.0858,0.443,0.0019,0.018,0.062,0.0686,0.1719,0.071,0.7836,0.0019,0.0019,0.1356,0.0257,0.0009,0.7777,0.4412,0.4342,0.5708,16.7542,0.8674,0.1396,0.0118,0.4455,0.1968,1.5971,27.7658,1.2905,105.3985,5.1767,0.6713,21.3953,1.1769,2.9321,0.2623,0.4347,2.6038,1.9836,0.0
CYP_K,13.4203,0.5841,0.3316,1.2117,0.0074,11.3461,0.5663,1.4282,1.6652,0.0247,0.9195,3.9665,1.4376,3.489,0.531,3.2304,0.0403,0.1399,0.6564,0.1883,0.039,3.2661,27.0825,2.7021,17.2015,60.608,7.4463,64.0231,1.6309,36.8698,0.7266,28.806,7.8265,5.6919,9.614,599.8898,39.9011,22.1588,9.4635,1.8923,4.1841,8.2267,3.7306,3.024,0.0
CYP_L,0.072,0.0,0.1563,0.4903,0.004,8.1749,0.7852,0.6426,1.3743,0.0134,0.4829,3.1798,0.4677,0.7901,0.1249,1.2822,0.0098,0.1309,0.8232,0.1146,0.0097,2.9805,1.5098,0.8996,3.8438,131.5594,2.3434,0.0728,0.1853,15.9033,2.0676,80.4728,5.8997,4.9202,2.7209,34.0836,32.7011,41.6688,8.5827,15.7569,13.9639,15.7471,7.88,10.2409,0.0
CYP_M,3.2935,0.0259,3.3467,9.7169,0.1283,13.579,1.121,1.5094,2.0768,0.0387,1.2501,2.7346,1.4315,1.6563,2.2826,3.6734,0.0198,0.2208,1.0202,0.4304,0.1226,4.259,5.0923,4.9511,22.6262,101.4003,3.5388,320.5568,2.4213,32.7101,0.9437,45.6643,41.152,9.5941,13.0295,995.461,9.9257,270.7334,16.2663,13.9361,17.9309,16.4781,10.6607,11.354,0.0
CYP_N,1.8328,0.0118,0.812,4.2497,0.0342,3.4558,0.3637,0.1798,0.228,0.0061,0.3683,1.5881,0.4723,0.7472,0.0849,0.3269,0.0162,0.0214,0.4331,0.0866,0.0123,1.2069,2.7671,2.1743,4.8889,27.1155,5.3777,17.011,12.4161,23.3422,3.8066,25.3246,17.6035,4.0414,10.0882,25.4745,4.092,59.2809,34.215,5.172,20.209,10.4933,7.5172,7.6753,0.0
CYP_O,15.7633,0.3768,0.0318,0.1485,0.0012,8.5621,0.1191,1.5022,0.259,0.0104,0.2775,0.3309,0.2277,2.0512,1.2018,4.68,0.6389,0.7675,0.656,0.2582,0.0395,4.0234,1.3318,26.0875,39.5001,18.0803,0.5087,2.2909,0.1224,4.0047,0.7257,20.522,1.2331,1.5469,0.8575,2.8411,26.0832,4.3054,1.69,148.4391,3.1238,5.2265,2.9742,2.98,0.0
CYP_P,0.0192,0.0,0.1012,0.4178,0.0035,0.561,0.0156,0.0634,0.0532,0.0001,0.0658,0.3635,0.0744,0.1193,0.01,0.1099,0.0,0.0005,0.1776,0.0044,0.001,0.6753,1.0123,0.0569,0.6571,4.1312,0.009,1.755,1.0663,3.2486,0.0919,1.5156,1.1159,0.9143,0.9195,4.2419,0.3071,7.9057,0.8671,5.2941,5.2796,1.7337,0.9215,0.6004,0.0
CYP_Q,1.9804,0.0,0.0005,0.0016,0.0,0.0248,0.0024,0.0019,0.0042,0.0,0.0027,0.013,0.0014,0.0024,0.0007,0.0039,0.0,0.0004,0.0026,0.0003,0.0,0.009,0.0046,0.0406,0.0126,0.4031,0.0075,0.0002,0.0006,0.6717,0.0179,0.2443,0.0179,0.015,0.0205,0.4514,0.0992,1.1102,0.4715,0.6317,0.3591,12.4143,1.4629,3.2179,0.0
CYP_R,0.0302,0.0001,0.0004,0.0017,0.0,0.2924,0.003,0.0013,0.0521,0.0,0.0011,0.0064,0.0012,0.0021,0.0014,0.0026,0.0001,0.0003,0.0015,0.0003,0.0002,0.0057,0.006,0.0027,0.2799,0.2187,0.0047,13.102,0.0007,0.5149,0.0037,6.8154,1.035,0.0087,0.0127,0.357,0.0558,1.2048,1.9891,0.9002,0.4582,0.742,4.7119,1.4698,0.0
CYP_S,0.423,0.0,0.0058,0.0456,0.0,1.7905,0.0168,0.023,0.0654,0.0005,0.045,0.0996,0.0374,0.085,0.0127,0.2665,0.0042,0.0099,0.017,0.0037,0.0006,0.4506,0.2034,0.1456,0.4444,9.6668,0.126,1.6387,0.0682,0.5045,0.1001,27.8086,1.2902,0.4782,3.7325,6.7397,0.4157,6.4478,0.5602,1.7157,3.239,2.0084,1.1101,5.4834,0.0
CYP_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
