V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T
LTU_C23,29.6406,0.7725,0.0323,0.0905,0.0476,24.4671,1.7774,47.1673,2.2706,0.7862,0.5487,1.549,16.8696,16.3483,0.0606,3.019,0.7634,8.7678,0.8748,1.4464,1.0435,2.1979,0.9189,6.4519,134.1692,9.7158,0.6198,0.9904,0.1233,5.5048,0.0105,2.7244,1.0222,1.9287,0.2315,0.153,43.2297,2.1962,2.9612,0.8431,1.6908,0.828,0.2566,1.5742,0.0
LTU_C24,0.7852,0.0034,0.0,0.0544,0.0137,0.019,0.2842,0.072,0.0526,0.0123,0.2133,0.0682,0.1025,0.0558,1.5814,9.8613,1.9093,3.9471,11.4257,2.1864,0.4448,1.3452,0.2648,1.8274,24.0851,0.3181,0.0222,0.0356,0.0004,0.4505,0.0,0.0112,0.0001,0.0018,0.0,0.0417,0.0391,0.5002,0.2295,0.007,0.0093,0.0296,0.0045,0.1732,0.0
LTU_C25,19.242,0.1641,0.1239,0.119,0.0824,6.3679,3.0497,27.0711,4.4754,12.2362,0.6553,0.1614,7.4809,2.8481,0.8174,93.3908,2.3471,6.0089,9.6529,14.1276,4.8893,33.584,2.0277,1.6476,35.3714,7.8549,4.7907,0.7919,1.5035,1.84,0.025,0.6709,0.5884,1.3941,0.9842,0.7409,4.0375,2.0056,5.2519,2.3446,1.0683,3.3048,0.9144,0.7695,0.0
LTU_C26,0.9619,0.0251,0.0266,0.0309,0.0073,0.9846,0.946,0.3363,0.0832,0.686,0.3082,0.0115,0.1857,0.1186,0.0069,0.901,23.7991,0.4736,2.596,0.1245,0.0435,2.5768,1.2942,0.5067,2.7596,3.1466,10.4068,0.0361,2.1145,0.4127,0.121,0.2642,2.0638,2.6,10.064,0.9662,0.6772,2.4597,1.7447,4.8781,0.9874,2.0994,2.1433,5.4719,0.0
LTU_C27,1.6431,0.0279,0.0333,0.0305,0.009,1.2206,0.7166,0.9628,0.2466,1.1658,0.3005,0.0265,0.3953,0.1555,0.029,5.706,1.3363,15.9675,2.4566,2.2056,0.1696,6.8336,1.1604,0.3454,6.5511,0.9673,0.8189,0.1684,0.2032,0.7417,0.0268,0.2145,1.4317,0.4051,0.194,0.4048,0.7229,0.6372,2.169,0.4913,0.585,0.9866,2.6047,0.1716,0.0
LTU_C28,29.2258,0.1636,0.8854,0.5124,0.0639,10.7298,2.9959,2.306,0.6024,0.7725,0.3165,0.0623,0.2528,0.5265,0.0314,5.3448,3.0161,0.5372,14.5622,1.2389,0.0862,7.6919,1.1194,1.7938,14.8539,10.1335,2.8268,0.3088,1.2469,1.0272,0.0394,0.5909,0.3199,0.3335,1.1674,0.2623,0.6337,1.0113,8.3094,1.0401,1.1021,1.0856,0.3981,0.9452,0.0
LTU_C29,2.2307,0.1332,0.0883,0.1,0.0072,1.4189,0.5197,0.5243,0.1043,0.2509,0.0622,0.0021,0.0914,0.1978,0.0151,0.2568,0.5607,0.2759,0.4735,17.5769,0.0591,0.4128,0.1875,0.8996,8.631,28.2359,16.4922,0.0434,0.6761,0.9818,0.05,0.0433,0.1191,0.0799,0.4267,0.1339,1.6862,1.0399,3.0568,0.6172,0.248,0.3255,0.3017,0.3461,0.0
LTU_C30,0.1949,2.8939,0.0064,0.0062,0.0003,0.0,0.0,0.2093,0.0024,0.0022,0.0005,0.0,0.0,0.0296,0.0,0.0,0.0,0.0,1.4365,0.0829,0.222,23.93,0.0017,0.005,0.0017,0.1538,2.2005,3.7611,1.4334,0.0897,0.0,0.0,0.2145,0.0,0.0,0.0105,0.0,0.6292,0.2759,8.156,0.088,0.1544,2.2754,0.0053,0.0
LTU_C31T33,39.509,0.4271,1.8848,1.5322,0.1641,17.4009,8.4137,19.7209,4.5921,10.9627,3.8968,0.6553,5.5653,5.5507,0.1968,7.7593,0.9548,2.1482,2.3137,1.2152,0.7116,71.069,12.0076,12.9114,41.3264,45.1113,83.8725,3.7296,19.7093,16.8948,0.3475,4.1298,9.5408,7.0538,4.2013,9.094,21.7696,26.3273,17.1664,35.7275,17.3615,72.9942,7.4498,3.6724,0.0
LTU_D,69.4494,0.8347,1.8686,3.2498,0.1717,68.6597,16.8329,28.2437,27.045,18.0267,60.1938,1.7267,35.4947,18.5795,2.5085,18.8838,8.3339,13.4802,10.8243,1.4699,0.7019,43.3667,83.4625,20.2243,11.4659,73.6517,6.8593,0.4126,5.1056,7.6101,2.5161,36.4996,2.8169,26.8837,8.6953,8.3992,107.1472,20.5508,14.5434,59.0981,25.9123,44.9626,20.6474,6.5417,0.0
LTU_E,3.6812,0.1246,0.2807,0.2783,0.0619,20.6236,2.3543,3.6638,7.0649,5.3635,2.206,0.4548,1.4117,5.6646,0.1919,2.5173,0.8233,0.7528,1.8976,0.3311,0.142,9.4413,42.0573,100.7365,9.2347,99.8839,2.1162,0.3984,2.4066,6.3943,0.1827,8.4763,1.7309,0.8504,0.5133,2.0618,17.9271,4.2981,7.4054,12.6671,8.774,24.0305,4.4508,2.1356,0.0
LTU_F,45.1225,2.3615,0.1193,1.7199,0.1415,39.5367,9.8898,6.3431,3.2942,23.1436,5.5083,0.4831,3.4814,3.507,0.119,24.6158,0.8002,1.8787,8.8835,4.8776,0.5214,7.9357,67.4764,10.8239,405.4292,47.4211,15.1097,0.3041,4.4883,39.7466,0.6073,7.1613,1.4883,26.2037,8.8469,8.3611,61.1009,36.5397,22.6415,54.8883,30.7293,10.2922,17.9284,9.9606,0.0
LTU_G,268.4278,8.8988,3.9416,2.8822,0.4359,490.4989,56.7328,97.6738,34.603,140.8067,134.4632,4.2473,52.3731,19.3221,2.8749,55.6994,24.1906,17.2542,34.5914,32.8248,7.2775,116.9594,44.5301,25.0,177.3829,219.8487,231.2759,10.4864,43.295,22.586,4.4062,57.0853,22.8464,12.9917,28.6816,15.9911,78.4693,48.1225,61.5273,74.2876,32.5634,88.9803,21.1934,15.9616,0.0
LTU_H49,63.1827,1.2536,19.9215,7.8587,0.2516,177.087,12.076,56.1145,33.6792,136.7601,53.8366,1.8662,20.5536,36.0367,0.9668,35.7349,3.1884,32.6623,18.059,9.212,1.2019,94.677,46.8125,10.7187,96.0564,250.1647,504.5068,4.4753,8.1267,232.2732,0.9661,6.8615,3.8072,5.5662,5.0318,1.794,9.3499,14.5127,25.917,14.1853,5.9805,10.2569,3.6916,6.2158,0.0
LTU_H50,1.072,0.0113,0.035,0.0291,0.0016,1.6438,0.3374,0.0552,0.2264,7.0808,0.0307,0.0134,0.2588,0.3647,0.0624,0.4589,0.1744,0.2126,0.4089,0.2687,0.0194,0.4878,1.3019,0.1281,1.5691,0.4378,0.2109,0.013,0.1222,0.0209,0.0086,0.2265,0.0296,0.0428,0.076,0.0375,0.318,0.1687,0.2933,0.1313,0.1092,0.3777,0.0378,0.0632,0.0
