V1,ZAF_A01_02,ZAF_A03,ZAF_B05_06,ZAF_B07_08,ZAF_B09,ZAF_C10T12,ZAF_C13T15,ZAF_C16,ZAF_C17_18,ZAF_C19,ZAF_C20,ZAF_C21,ZAF_C22,ZAF_C23,ZAF_C24,ZAF_C25,ZAF_C26,ZAF_C27,ZAF_C28,ZAF_C29,ZAF_C30,ZAF_C31T33,ZAF_D,ZAF_E,ZAF_F,ZAF_G,ZAF_H49,ZAF_H50,ZAF_H51,ZAF_H52,ZAF_H53,ZAF_I,ZAF_J58T60,ZAF_J61,ZAF_J62_63,ZAF_K,ZAF_L,ZAF_M,ZAF_N,ZAF_O,ZAF_P,ZAF_Q,ZAF_R,ZAF_S,ZAF_T
ZAF_C20,1171.1816,9.2365,63.0931,1099.8867,19.9572,156.2608,171.8584,39.5297,316.1821,319.6377,2421.6617,207.568,770.1658,75.501,238.2349,48.686,11.4609,32.5677,62.2271,119.7568,3.5958,35.9984,26.2811,72.0308,309.0081,67.4347,31.137,2.4239,14.295,30.3933,2.8537,22.8611,59.9855,0.3072,38.8485,4.8377,83.7167,31.7575,49.0929,90.6399,85.7932,210.3978,46.2133,20.2775,0.0
ZAF_C21,147.6972,1.786,0.4557,3.4497,0.0,8.0133,0.83,0.0,0.0,0.0,35.0926,146.2719,0.0,0.0,0.0,0.0,0.1757,0.0,0.0,0.0,0.0,0.0813,2.8391,2.6345,0.0,8.2631,0.032,0.0028,0.0178,0.0384,0.0001,0.0,0.001,0.0015,6.8414,0.0,8.3531,6.1277,5.23,161.0557,0.1075,302.4659,0.004,0.0047,0.0
ZAF_C22,212.5767,2.0043,52.9993,267.9411,0.2063,461.9292,54.9409,34.3831,88.3685,29.184,154.8519,37.4501,159.0074,65.9998,7.0212,33.4471,45.0295,48.5681,75.6126,221.8539,5.8658,56.1551,6.8155,85.7101,673.0626,346.4099,149.8392,7.7932,49.1974,111.2981,9.6831,3.2224,21.655,6.3025,11.8785,6.7521,48.3784,17.979,17.0847,35.1588,12.825,25.2413,4.0158,10.2987,0.0
ZAF_C23,95.0109,1.4502,11.2438,40.2105,0.0389,167.4822,0.854,11.166,2.4905,10.2147,44.6345,12.4591,10.6678,526.9837,7.3542,16.8883,38.1801,8.1222,17.1973,86.8637,25.2952,10.0822,18.2069,8.0454,2667.7052,38.6259,21.7996,1.7596,11.1821,24.3437,0.7864,13.2564,3.4065,0.5464,8.9716,1.8987,188.4708,10.014,9.0859,65.7986,15.2669,32.8576,8.1825,26.4557,0.0
ZAF_C24,49.351,0.6155,12.2494,83.3012,0.9939,9.3536,8.2516,12.4735,16.986,59.7811,42.2187,3.909,137.6747,12.1211,1844.0257,1459.8849,71.624,614.3779,666.6255,1047.9155,31.4332,169.8575,16.799,12.3173,382.6481,9.5751,11.04,0.7234,4.839,9.4169,0.4016,0.7934,5.7681,0.8935,2.2942,1.733,4.574,2.6943,2.6932,9.2944,2.2317,5.4955,1.0029,3.1873,0.0
ZAF_C25,285.4303,22.6992,174.1756,709.7993,0.097,152.2297,55.0308,37.8982,64.3867,40.9747,76.2143,11.7942,70.4413,34.2309,19.3705,316.9769,27.6027,75.6035,278.3503,247.7528,26.9348,72.8685,74.9696,34.8713,2166.2319,205.5858,20.8004,1.3881,9.0557,22.7424,2.8044,13.7619,22.6046,1.6454,54.9596,38.1659,145.5927,66.931,52.6182,100.6968,48.4045,52.2405,14.487,17.3838,0.0
ZAF_C26,3.3137,0.1847,3.9626,15.4326,0.155,1.4669,1.693,0.1808,2.1564,0.8025,1.6523,0.8942,0.5979,0.517,0.4051,1.4501,59.2661,23.1807,50.8413,22.5672,2.1123,2.7151,13.3124,4.3097,30.2303,12.8595,3.514,0.2112,2.7845,7.0096,0.2401,1.6244,7.7391,532.8743,9.2442,16.4904,7.7188,8.7247,8.2279,44.591,17.2705,74.9282,9.5884,8.7729,0.0
ZAF_C27,11.3623,1.8084,37.8248,190.353,0.5254,14.4252,2.7253,1.5616,6.8763,5.0706,8.0764,1.4003,3.9828,6.3106,3.6815,14.8503,95.886,176.5336,108.0855,60.2187,15.4369,7.112,175.0764,9.6027,698.3094,114.7857,18.2087,1.1149,11.8905,78.1345,1.2004,18.2811,12.7155,193.9295,16.2707,46.8845,28.8755,37.0633,26.5391,47.9774,11.1592,39.4349,15.859,16.4339,0.0
ZAF_C28,164.9056,2.4165,100.5882,772.4197,0.648,19.1741,13.3581,3.1938,16.2141,5.5311,22.1218,4.8268,10.7818,6.4542,16.5389,46.768,35.4001,54.3658,481.5074,154.3466,32.3248,4.1957,58.1305,17.7397,216.8641,100.6509,25.409,1.3234,7.8699,22.9229,0.4477,5.6653,9.9125,215.9438,54.5615,17.9224,63.6775,67.0114,56.0692,67.0336,17.2613,53.1318,9.5469,7.5586,0.0
ZAF_C29,181.4125,3.5727,64.3305,270.9681,0.3373,42.0619,88.3731,6.2375,12.1724,10.7984,34.6324,5.3148,19.8038,17.3493,6.1503,18.0809,5.4989,25.1694,86.4681,3432.4057,117.8317,8.7391,25.9892,80.3445,106.3525,435.5086,304.8982,7.7684,50.3149,137.206,12.56,2.295,36.4902,17.9148,30.543,8.8361,43.3429,55.5666,71.6143,354.9991,162.1137,321.3534,96.4036,19.3046,0.0
ZAF_C30,8.878,1.7814,4.3064,39.0302,0.0063,0.7321,0.5088,0.5846,0.4362,0.1874,0.6677,0.122,0.2741,0.2369,0.6541,10.3913,0.494,1.903,21.4406,75.5951,95.7712,0.2066,2.0278,1.7283,7.1066,4.3664,62.5883,6.2496,4.047,8.0764,0.0441,0.1064,0.3502,0.5001,2.2354,0.2325,2.8029,2.9211,2.4923,9.5591,0.7228,2.9611,0.4879,0.3201,0.0
ZAF_C31T33,20.5428,0.4603,3.6944,19.5928,0.659,48.4437,10.4623,8.0972,4.8379,2.359,5.7887,1.1143,2.8003,1.5499,10.6816,10.1009,2.3473,1.8627,5.2233,7.1402,0.3844,22.4698,14.9476,7.6643,31.5752,27.7664,6.4802,0.3314,3.5444,11.2254,0.708,7.1546,10.9861,6.1191,16.8617,44.0633,24.4911,23.4835,24.4401,32.621,18.9415,21.5215,18.1759,4.3028,0.0
ZAF_D,744.4128,7.7964,290.2619,2123.8724,15.8638,281.6173,64.0271,56.5253,110.1753,240.9799,568.2657,64.765,89.757,120.213,492.4651,97.9549,10.8331,21.1353,63.5289,67.5766,15.1608,34.0088,1911.0932,305.2065,68.3992,796.0671,373.5213,11.0889,7.6501,284.6178,21.2576,245.5864,22.5435,74.4955,61.8162,180.9906,625.207,279.7218,216.503,648.4313,186.24,236.506,49.4374,21.7031,0.0
ZAF_E,100.3757,1.4272,56.3805,402.3639,0.4203,144.6108,7.5728,7.8171,11.5434,29.2268,35.2981,5.2241,13.8772,11.3453,73.4618,15.7854,1.4342,3.1286,8.5281,6.7916,1.6699,17.8747,124.7223,868.2341,16.8698,272.4376,72.6313,2.0305,5.1612,69.2744,3.6575,40.3848,3.5111,22.2581,13.0582,22.8358,111.6811,50.4929,48.1612,116.4691,31.1822,122.0119,11.7398,4.2974,0.0
ZAF_F,123.3943,2.3967,175.7923,661.9935,10.5292,135.7116,17.1491,11.7363,66.3657,83.8578,48.0808,11.2888,17.7042,32.5351,20.9801,26.2786,7.4037,6.5697,30.003,22.1046,8.468,24.3689,93.0643,263.1747,299.3187,767.1852,274.7443,9.7471,155.7233,205.4606,18.8471,104.0051,46.8671,327.3054,111.5301,396.889,925.1617,274.2632,275.4069,768.4404,232.8597,226.8361,44.4998,26.1047,0.0
