V1,NGA_A01_02,NGA_A03,NGA_B05_06,NGA_B07_08,NGA_B09,NGA_C10T12,NGA_C13T15,NGA_C16,NGA_C17_18,NGA_C19,NGA_C20,NGA_C21,NGA_C22,NGA_C23,NGA_C24,NGA_C25,NGA_C26,NGA_C27,NGA_C28,NGA_C29,NGA_C30,NGA_C31T33,NGA_D,NGA_E,NGA_F,NGA_G,NGA_H49,NGA_H50,NGA_H51,NGA_H52,NGA_H53,NGA_I,NGA_J58T60,NGA_J61,NGA_J62_63,NGA_K,NGA_L,NGA_M,NGA_N,NGA_O,NGA_P,NGA_Q,NGA_R,NGA_S,NGA_T
NGA_C20,3.7798,0.6444,13.8327,0.0075,0.0118,2.4097,16.3571,3.0256,6.8614,1.0482,0.228,0.0189,1.6675,4.4457,1.5755,1.6012,0.009,0.0406,0.0728,0.2388,0.0096,1.4293,3.3774,1.7837,0.4093,9.8751,1.9071,0.0021,3.6588,0.233,0.0008,0.483,3.8366,3.5373,3.3252,0.0814,0.0533,1.5414,0.5423,0.0804,68.4527,4.5539,0.8892,8.8928,0.0
NGA_C21,0.0115,0.0,7.836,0.0006,0.0001,0.0137,0.0,0.0,0.0003,0.126,0.0006,0.0022,0.0,0.0,0.0009,0.0008,0.0034,0.0008,0.0012,0.0021,0.0001,0.0004,0.0,0.0,0.0,0.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4901,4.6928,0.0,0.0,0.0132,0.0,0.0113,0.2593,5.0175,0.0,0.0,0.0
NGA_C22,0.2685,0.2165,10.9919,0.0006,0.0461,31.8323,9.9816,0.9071,0.0032,2.6079,0.0001,0.0,1.7459,71.4772,0.0007,0.0008,0.0227,0.0,0.0,0.0001,0.0,11.549,4.0911,3.2112,92.4382,195.5365,97.036,0.1197,0.9053,4.3507,0.104,0.2423,9.6874,38.3599,24.1396,2.5985,4.3211,1.2465,0.3555,34.8428,44.2375,8.3494,1.8992,87.598,0.0
NGA_C23,0.0038,4.262,80.351,4.7113,0.2522,103.8937,86.3987,31.2809,0.0097,4.8846,0.2261,0.0739,8.1788,375.9808,120.7695,95.6009,0.7055,4.1595,17.8963,20.1763,0.8086,57.6266,77.2031,16.0111,1986.3669,360.3957,0.0101,0.0002,0.0043,0.0233,0.0936,0.3403,0.8096,0.5534,0.339,0.7888,0.012,0.9417,2.5388,450.2761,4.6728,7.5015,0.4183,39.4227,0.0
NGA_C24,0.0038,0.0093,215.5911,0.4522,0.1312,0.0278,48.1497,9.3033,0.5046,44.0578,0.2957,0.0235,3.8885,7.0808,36.8021,31.8209,0.0,0.8691,1.466,1.5656,0.0593,111.9292,2.4813,2.9645,42.4745,22.9985,0.0026,0.002,0.0,0.0071,0.0001,0.0092,0.1171,0.0565,0.0395,0.0461,0.0089,0.0071,0.0005,0.0051,0.034,0.0611,0.0001,0.057,0.0
NGA_C25,9.0267,0.0,4.6906,4.232,0.1143,0.5412,0.3261,2.9254,0.0009,1.1302,0.002,0.0003,1.3712,4.8221,2.257,5.8959,0.0619,0.2087,1.6252,1.2771,0.0693,11.3334,0.503,2.9186,36.0588,43.2378,0.4339,0.0008,0.0129,0.438,0.0009,0.044,0.1962,44.941,27.2136,0.1328,0.0406,0.3024,0.3027,0.2428,4.5885,0.0464,0.1049,7.1332,0.0
NGA_C26,0.0014,0.0002,0.1721,0.0,0.0001,0.0009,0.0058,0.0011,0.0024,0.0014,0.0005,0.0001,0.0007,0.0016,0.0116,0.0226,0.0004,0.0004,0.004,0.0044,0.0004,0.0475,0.0043,0.0076,0.0138,0.2864,0.0201,0.0,0.002,0.0083,0.0017,0.0002,0.0615,0.5815,0.2649,0.0774,0.0013,0.1441,0.0027,0.0196,0.0294,0.1366,0.0049,0.011,0.0
NGA_C27,0.0,0.0004,0.0589,0.0,0.0002,0.0,0.0003,0.0001,0.0002,0.0162,0.0004,0.0001,0.0001,0.0017,0.0131,0.019,0.0001,0.0004,0.0024,0.0091,0.0005,0.0508,0.0251,0.0136,0.0217,0.4714,0.0,0.0,0.0,0.0002,0.0,0.0,0.0035,0.055,0.02,0.0008,0.0001,0.002,0.0023,0.0003,0.0038,0.0058,0.0005,0.0802,0.0
NGA_C28,0.1135,0.0,3.7223,0.0388,0.0085,0.5113,1.0959,0.0461,0.0,0.5557,0.0007,0.0001,0.0024,0.0138,0.0098,0.0123,0.0004,0.0018,0.0894,0.0234,0.0013,0.5366,0.004,0.3201,1.0646,5.5073,0.0645,0.0,0.0844,0.0247,0.0,0.0,0.0416,0.2138,0.1484,0.0,0.0,0.0927,0.0174,0.0,0.0,0.0,0.0,0.0521,0.0
NGA_C29,0.0005,0.0,49.6564,0.0937,0.0259,0.0111,19.3873,3.4132,0.2,14.2993,0.0976,0.0069,1.0669,2.4565,10.4756,10.0104,0.0004,0.3524,0.0,0.0102,0.0001,39.8738,0.0032,1.1939,1.466,9.7184,0.9537,0.0,0.0,0.0026,0.0003,0.004,0.0366,0.6415,0.4748,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0
NGA_C30,0.0,0.0,0.0357,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0006,0.0016,0.0,0.0002,0.0087,0.0009,0.0055,0.1545,0.0,0.0,0.0308,0.3104,0.0337,0.0,0.0032,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097,0.0,0.0,0.019,0.0,0.0
NGA_C31T33,30.5139,7.4807,59.5927,0.0484,0.0403,6.3396,39.3472,13.3341,0.4542,0.0362,0.1351,0.0292,0.7506,2.3271,0.184,0.1808,0.019,0.0036,0.0496,0.0296,0.0051,68.9166,6.9618,5.0011,9.9369,162.3187,10.286,1.0608,2.6463,3.2708,0.142,4.7046,15.802,40.7334,21.3259,22.4105,9.877,6.677,0.3402,3.0145,16.5906,28.2969,0.1857,31.4845,0.0
NGA_D,4.8162,1.3145,376.3815,0.1129,0.0562,1.9994,4.6259,0.43,0.36,3.2956,0.0424,0.0035,0.4932,0.5722,0.0942,0.0531,0.0154,0.0102,0.0243,0.4677,0.0142,1.7803,140.4791,5.6138,4.1278,38.8684,5.5751,0.0,0.5438,0.782,0.0153,1.7684,17.202,23.1421,7.3233,2.7001,45.2647,2.3054,0.2024,14.3398,17.5532,7.3053,0.0,44.7129,0.0
NGA_E,11.8206,0.0,9.6273,0.0017,0.0158,0.3554,2.7939,0.2243,0.4269,0.9027,0.0831,0.0107,0.0794,0.0867,1.2382,0.9919,0.0038,0.0206,0.1666,0.1408,0.0118,0.4104,0.003,1.1789,0.0048,13.2598,0.9857,0.0,0.0,0.0699,0.0,1.4763,1.2476,0.463,0.2739,0.8708,4.7743,0.1166,0.0125,2.5115,0.6259,1.6878,0.1488,0.9021,0.0
NGA_F,7.4694,2.8383,123.7413,0.0383,0.1477,0.3861,8.6388,1.1796,0.0024,46.4116,0.0,0.0,0.6018,1.2008,0.0001,0.0001,0.0058,0.0,0.0,0.0008,0.0001,2.5126,2.2329,3.5678,0.3604,59.7078,2.4705,0.0,0.0,0.1678,0.0,1.0015,2.6187,9.8038,3.2533,19.9868,16.0156,1.3906,1.1957,1.4195,4.6542,5.6774,0.2525,8.9671,0.0
NGA_G,8911.5177,193.6896,1239.0368,9.276,1.5715,6511.9665,2369.9775,175.3558,46.459,391.9171,46.4771,12.739,138.6395,487.1171,107.8482,90.9732,3.0046,3.2943,16.2875,29.0801,1.6949,237.9051,130.0486,64.2808,6510.0478,16636.6418,3673.7951,20.103,24.5468,17.957,6.0278,786.4629,461.6796,4379.4553,2446.7331,122.646,172.3664,250.0042,12.4486,384.6999,719.1067,210.7283,22.9295,1144.8395,0.0
NGA_H49,184.6715,2.9426,32.2821,0.273,0.3201,184.1518,74.7403,9.8417,1.4873,16.496,1.1856,0.2379,20.8225,73.1745,4.4591,2.9576,0.7985,0.0957,0.4302,1.4538,0.0967,15.341,12.2161,17.0553,223.0828,646.4333,860.1831,0.8404,0.5102,5.4275,2.4246,17.3134,84.5849,1327.9015,956.9982,57.844,12.445,64.1337,0.4161,62.8187,289.0845,41.8455,4.3573,536.261,0.0
NGA_H50,0.9515,0.0313,1.5749,0.028,0.0023,1.1729,1.2665,0.1375,0.1119,0.2312,0.018,0.003,0.064,0.5376,0.2289,0.202,0.001,0.0042,0.0361,0.0552,0.0032,0.4387,0.1886,0.1042,2.6084,3.8945,0.5163,0.0054,0.064,0.0095,0.0078,0.1661,0.1852,0.7017,0.4286,0.0323,0.0325,0.0769,0.0171,0.3855,1.0728,0.1808,0.0228,0.4517,0.0
NGA_H51,11.8646,0.2754,12.2076,0.1549,0.0158,10.4686,6.9093,0.8017,0.6114,1.8309,0.1329,0.0242,0.4946,3.2766,1.3862,1.18,0.0085,0.0341,0.2181,0.3442,0.0204,2.4457,1.1082,0.5762,19.1608,30.4379,3.0395,0.1009,2.1396,0.2949,0.0864,1.3887,1.0798,6.1312,4.5534,0.2352,0.2105,0.4832,0.1066,2.335,5.7882,1.2478,0.1557,2.9891,0.0
NGA_H52,24.8181,0.2695,2.0447,0.0246,0.0084,17.3511,7.956,10.2823,0.0921,1.5204,0.1171,0.025,0.4962,5.6914,0.5205,0.3672,0.0049,0.0106,0.0538,0.1882,0.012,3.9988,0.3389,0.0578,40.7253,33.5845,1.7422,0.0056,0.0152,0.3887,0.037,1.2268,0.1502,5.5455,2.4267,0.0194,0.034,0.0468,0.0232,0.788,0.2992,0.1582,0.011,0.3632,0.0
NGA_H53,0.007,0.0,0.3665,0.0009,0.0011,0.1096,0.6556,0.3201,0.0403,0.0078,0.0087,0.0027,0.0759,0.0842,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.2881,0.312,0.2182,0.0507,5.0144,0.9258,0.0,0.1893,0.0477,0.032,0.082,0.2839,0.4404,0.1383,0.5168,0.4607,0.2872,0.1104,0.6184,0.615,0.7149,0.1814,3.4126,0.0
NGA_I,0.3358,0.6869,49.9453,0.0,0.0147,0.1789,0.5986,0.718,0.1099,4.1134,0.2079,0.0749,0.156,0.2111,0.0808,0.1047,0.0159,0.0027,0.0139,0.0,0.0,0.7706,0.5779,0.3426,1.987,20.638,9.1378,0.0,4.1679,0.3699,0.194,2.9731,9.9906,26.1235,17.6688,7.9591,2.4592,6.1407,0.3031,1.6514,27.2373,12.3203,2.9497,51.7461,0.0
NGA_J58T60,6.0908,0.0001,21.563,0.0,0.0038,0.0004,0.0015,0.0005,0.0019,4.4148,0.0005,0.0002,0.0004,0.0006,0.0009,0.0009,4.5197,0.0014,0.0021,0.0001,0.0,0.1158,0.0036,0.028,42.4235,45.0577,353.6088,0.0043,0.0037,0.0036,0.0004,128.8753,7430.1435,7655.1067,3444.6466,0.0139,7.9737,1151.571,0.5271,0.9726,835.9729,230.8844,86.3248,1.2417,0.0
NGA_J61,6.998,10.539,153.653,0.4621,0.0798,22.4492,49.3745,22.8315,17.4878,9.582,3.2683,0.9284,5.1093,327.3903,0.0,0.0,1.3411,0.0,0.0,0.0,0.0,33.2217,8.1989,4.3139,138.3429,237.57,729.4041,0.0,105.7236,4.1031,27.9311,157.525,3701.1347,2272.8942,221.0726,2703.134,2851.2243,6941.1645,3.5777,100.9688,728.2466,464.8135,99.9958,1795.193,0.0
NGA_J62_63,0.0296,0.0,213.3148,0.0,0.3182,6.5705,5.5824,7.9476,59.8878,72.9607,3.2748,0.9722,3.8336,5.2167,0.0,0.0,0.0137,0.0,0.0,0.0,0.0,16.7294,25.6696,5.4023,0.0,707.8146,35.0081,0.0,0.0,6.7613,57.8578,0.0,43.6079,23.1859,44.1048,396.6179,0.0,18.0335,6.6673,27.4378,63.5932,36.3317,1.3394,10.79,0.0
NGA_K,175.2617,161.5308,165.1832,0.2065,0.4125,23.6812,140.5341,5.4875,3.9314,26.5798,2.8534,0.6959,5.4683,3.4166,0.2771,0.2474,0.1586,0.0068,0.0472,0.0653,0.0037,49.1803,13.3771,4.2297,35.1602,588.9001,77.0541,0.0066,29.5559,6.5582,1.6652,5.3227,54.3326,267.0008,135.2445,6775.5128,208.7363,84.0098,2.2026,12.5828,170.379,21.2601,8.1954,291.3809,0.0
NGA_L,0.8432,0.0,34.3589,0.1181,0.0466,37.3161,24.8905,1.2717,0.2803,0.1488,0.128,0.034,0.7243,40.2301,0.0,0.0,1.1004,0.0,0.0,0.0,0.0,11.7196,45.0024,6.2895,40.6961,479.0976,103.244,0.7691,55.2478,1.2839,1.0207,223.9207,781.9565,1863.7095,989.1838,62.9185,1484.8971,146.2971,0.5186,114.7765,1149.9603,52.7855,6.1763,1040.832,0.0
NGA_M,192.71,247.509,929.7171,4.9781,3.4032,222.656,772.7548,34.8158,16.8707,20.7394,5.5652,2.7263,22.9446,61.6176,0.0,0.0,1.2171,0.0,0.0,0.0,0.0,229.3797,599.4169,62.8605,529.5735,3062.7634,996.7784,5.2917,398.4087,38.5931,19.1855,50.6213,758.3724,2060.4005,1609.2624,792.614,1264.2374,4913.8454,25.6477,286.5344,338.4628,338.3094,8.5838,2108.1345,0.0
NGA_N,0.0641,0.0373,3.7068,0.0019,0.0174,0.0296,0.0682,0.0424,0.0311,0.1764,0.0138,0.0053,0.0104,0.0262,0.0,0.0,0.0002,0.0,0.0,0.0003,0.0,0.1589,0.1749,0.0352,0.0267,9.6074,0.1867,0.0962,0.0289,0.0189,0.0081,0.026,0.3308,0.3455,0.1733,0.049,0.0717,0.133,0.252,0.0569,0.1427,0.3367,0.0411,0.2709,0.0
NGA_O,0.0,0.0,5.2977,0.0042,0.0036,0.0,0.0,0.0,0.0,1.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0358,0.0,0.0,0.0,4.7171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA_P,0.0,0.0,44.5209,0.0087,0.0005,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101,0.0,0.0,0.0,0.9658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505,1.6899,0.0,0.0,0.0,0.0
NGA_Q,0.0,0.0,11.1803,0.001,0.0002,0.0,0.0,0.0,0.0,0.8988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0007,0.0,0.1341,0.0008,0.0,0.0,0.0,0.0005,0.0,0.0089,0.0414,0.0308,0.0,0.0,0.0,0.0001,0.0045,0.0,0.2271,0.0,0.0415,0.0
NGA_R,0.0076,0.0072,2.3311,0.0003,0.0002,0.0009,0.0046,0.0002,0.0001,0.1584,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,0.0,0.0071,0.0003,0.0002,0.0014,0.8329,0.6714,0.0,0.0011,0.0003,0.0001,0.0307,7.9492,14.2403,0.4144,0.2961,0.0053,0.1453,0.0108,0.1224,5.7181,0.2414,1.0372,0.0114,0.0
NGA_S,0.0,0.0,28.1463,0.0235,0.0252,0.2381,0.2057,1.7019,0.4615,10.879,0.1369,0.0399,0.1599,0.2175,0.0503,0.0536,0.7988,0.0271,0.0398,0.5326,0.0301,1.3076,1.0146,2.7897,3.5797,74.5718,1600.4702,5.4817,3.9886,2.8579,1.6281,50.1645,217.8555,1343.9077,1435.9346,42.6467,24.7413,51.5252,3.1339,14.6295,552.118,5.9264,1.8613,983.7035,0.0
NGA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
