V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T
ESP_C20,1020.9184,15.2696,9.5593,69.7729,2.1648,642.7226,276.1061,171.0528,395.6482,137.7156,5264.8525,1013.4873,1150.2207,562.4643,280.741,434.9426,34.0669,198.2531,106.3396,987.2697,102.6761,186.0787,664.4154,492.0017,1457.7186,1114.7472,198.6406,9.6092,46.939,178.564,6.9866,296.389,94.3934,72.1551,165.5352,121.085,33.4894,427.5396,206.1408,218.7325,68.5951,996.5745,101.4333,99.4104,0.0
ESP_C21,117.2058,2.406,0.8745,4.184,0.153,192.0683,21.3271,13.2567,82.4808,10.1384,217.4337,266.5523,51.3705,30.6523,76.4132,33.6565,4.6427,18.566,16.9739,76.0505,20.3683,23.4154,48.5721,31.7028,101.3002,448.7475,25.7852,1.1677,8.7749,34.6028,1.6935,113.2963,19.8293,22.9591,59.3655,43.2886,14.1609,122.8006,68.7772,76.6637,23.5109,1930.6532,25.0765,27.5688,0.0
ESP_C22,194.5432,8.8635,3.0637,10.7797,0.785,1135.1114,174.0632,95.0163,226.572,12.8173,706.5462,233.2439,2128.2635,775.8982,44.549,183.512,42.4249,463.6569,201.3781,1987.2759,57.5775,287.0379,52.1867,130.4186,853.7284,1046.4297,44.3687,1.6566,14.244,173.6962,3.3032,446.052,24.2652,49.8749,60.1511,52.9092,11.7622,238.3143,247.272,74.2059,28.1707,124.8996,81.4106,64.9825,0.0
ESP_C23,50.4598,2.9788,21.5334,141.0153,1.0984,791.7899,36.2997,55.6678,47.6099,20.0729,525.0943,68.3527,125.5401,1525.0362,396.4331,136.0164,9.1111,292.2701,146.2514,818.4949,64.5385,107.4775,63.3316,111.7191,5193.955,496.9826,55.5834,2.711,22.2877,47.0,4.4219,222.3925,12.2249,250.18,54.6976,37.7703,16.3839,125.9928,194.6627,100.5239,36.9615,238.9685,42.8192,32.5967,0.0
ESP_C24,6.9841,0.9438,3.5402,6.1593,1.6592,31.84,5.5174,4.612,93.7411,0.4956,24.4846,11.4011,72.1464,82.6254,4452.3768,6285.1458,64.2135,1292.2106,1636.762,2208.6441,208.9893,376.3032,166.3958,67.4287,1570.1295,365.9432,29.3622,3.7494,6.1638,137.8354,0.1642,5.8764,7.6238,7.1462,6.036,7.6244,4.8616,190.9032,13.6728,28.0961,4.1978,0.5212,1.8817,1.5799,0.0
ESP_C25,460.7048,14.4179,9.2864,31.7313,3.0404,700.2459,124.2415,60.7293,68.3425,128.2309,372.1383,749.6622,358.7169,95.3944,1813.1996,3179.3651,170.4049,934.2384,1092.0128,5788.0831,411.9641,612.0867,1325.4231,457.9338,2266.7778,465.2593,82.408,6.1843,63.6855,269.6125,4.213,309.6172,31.1431,71.1187,75.4388,77.1934,15.7601,343.1322,504.5922,103.1292,48.0868,114.5414,91.1706,87.6318,0.0
ESP_C26,7.9012,2.8822,0.5196,2.3152,0.1665,25.2056,3.6881,3.1759,14.9431,5.6783,11.3009,6.4513,7.4421,6.9311,13.4959,29.4341,97.4881,79.2283,54.842,267.7012,10.7987,40.1166,51.5335,18.4142,98.8118,113.7278,22.5628,1.7341,15.6757,20.5357,2.7148,60.6104,142.4417,154.8451,188.6613,23.1575,5.4106,117.1472,68.7565,29.7655,10.9693,58.4067,26.336,26.971,0.0
ESP_C27,31.7715,7.0608,1.6021,7.7632,0.4942,83.1823,11.7665,9.1298,20.4506,19.522,33.7834,17.5572,38.385,41.0232,64.1688,119.4929,168.3525,917.9574,533.519,826.4871,116.6946,233.1834,298.8815,102.9699,1942.0052,330.3236,56.0908,3.366,30.1983,71.12,4.5415,166.4781,25.6789,187.7882,150.5468,52.5495,25.5103,314.8195,145.9381,77.3025,25.9531,55.4781,68.2331,44.5086,0.0
ESP_C28,87.2426,18.4552,7.5216,41.6588,2.4699,183.4664,21.1627,36.7639,95.9366,311.1851,90.9751,55.98,94.1303,72.2058,160.5283,273.3206,32.7252,122.5514,952.7467,812.4876,85.832,222.1756,429.0845,158.0927,358.0817,508.1292,109.7381,10.3874,105.5507,286.6157,6.1513,284.6401,30.0396,192.9571,98.8133,87.1095,17.9367,444.1876,180.0465,121.062,40.4859,93.032,98.7681,34.767,0.0
ESP_C29,64.0899,8.5872,3.2739,11.4403,0.7258,240.3678,32.1441,22.0993,46.0589,46.6944,94.9472,71.0201,229.4685,90.2357,136.8344,313.3221,26.3648,271.0755,243.3101,8160.7771,269.9429,88.5584,181.4303,153.6866,364.9152,2185.8375,237.365,4.0942,40.4029,140.96,9.4501,172.9418,40.0477,98.4059,223.8539,142.5265,54.8427,418.6547,506.07,175.8798,66.2082,140.8882,147.1555,45.6247,0.0
ESP_C30,1.5204,9.2935,0.3022,1.6596,0.0256,1.1345,0.2202,0.3679,1.6153,0.6478,1.5281,0.3243,0.106,1.2257,3.3136,10.7564,7.8725,23.8571,21.1182,9.5107,3268.4376,521.1073,1.2192,0.5646,10.3789,77.12,92.518,0.3573,360.9888,273.1411,2.2258,14.086,0.2727,9.1141,19.2644,18.9622,0.2086,268.4876,64.8445,17.2642,1.5026,10.1318,26.2808,9.8331,0.0
ESP_C31T33,182.3223,75.9851,13.4341,52.0124,3.144,433.1158,91.4688,134.4081,166.789,67.8015,208.0388,80.9744,138.4518,159.6469,342.6517,422.7812,14.2889,152.1543,103.5405,977.2134,64.9178,674.6812,455.1248,227.8419,634.0529,627.2101,443.812,49.9656,512.5586,260.9416,23.9279,358.3558,97.7614,320.3581,123.2928,344.266,24.6552,321.2289,421.7808,228.6689,204.5846,1235.1395,359.2054,49.0372,0.0
ESP_D,1256.7539,19.692,53.7892,115.2511,4.8478,1892.5637,280.5282,183.3743,874.9975,1610.9759,1685.9483,258.6743,686.415,1517.0995,2436.6409,708.849,48.9025,243.2758,153.4152,957.9768,138.5616,239.5764,9476.7803,677.9065,926.0591,5358.4378,2105.1864,2.5703,883.6409,1598.7241,37.6689,2894.9016,175.092,1192.3725,309.8521,52.6769,580.1295,1039.5654,486.791,1785.4736,646.0051,1664.3761,769.3789,388.9621,0.0
ESP_E,560.4655,11.6473,8.3277,34.8521,0.9938,526.9611,81.0227,32.3117,290.2375,169.084,653.9466,118.8209,343.9237,335.1289,3265.9432,515.9784,23.3438,100.8571,171.3265,181.0824,66.1447,148.4703,516.7245,6917.844,643.1474,1105.8136,139.7341,9.3972,57.7058,166.8813,12.0402,739.215,64.2875,117.6757,181.6757,93.817,344.7459,415.3452,243.0625,277.9742,106.6619,515.1721,284.6185,128.5889,0.0
ESP_F,446.1177,7.7134,7.8428,80.5944,3.7771,766.9492,151.9931,17.988,168.757,68.2933,335.7532,152.0583,261.426,352.0443,133.945,281.7234,50.7887,89.6454,190.3647,129.5584,122.2389,477.2175,823.4849,460.2303,25635.1481,4797.0373,1041.7547,52.7669,210.1932,1079.752,68.838,1872.0527,265.4084,671.3652,636.8,861.5236,5288.5752,988.1162,1091.691,803.6941,834.9509,992.9213,511.0374,254.2877,0.0
ESP_G,4920.1097,184.5403,36.8284,191.0735,9.3166,19141.0364,2225.0382,808.2635,1514.517,920.1352,3945.8643,1252.0214,1634.3704,1383.2146,2005.7969,2191.1674,423.8577,1428.3457,1524.2422,6875.6705,746.2096,1532.9703,2361.2339,1143.9625,5696.7047,4310.1473,1962.1957,74.7335,386.9562,823.5247,63.3856,8535.5699,966.6527,799.3871,804.6376,978.5892,163.6079,2029.33,1179.5607,1362.3741,861.4018,4571.4508,467.506,617.3607,0.0
ESP_H49,251.6332,19.9248,7.9156,203.1391,3.7811,2243.9232,233.8755,162.8531,397.4558,413.5335,810.0588,180.5148,421.7545,592.6267,660.5699,536.0876,48.8324,258.782,336.9904,754.6097,155.8875,291.3494,335.8118,317.4663,643.0088,5290.6793,3757.8961,35.1378,85.3328,5772.0088,336.4167,449.8429,248.7304,139.2205,215.3548,118.5073,47.3042,356.6119,1164.1198,1273.5415,104.3275,266.8581,82.0842,197.9161,0.0
ESP_H50,14.8528,4.7304,0.211,1.0985,0.0624,64.3041,7.8224,3.5656,7.66,43.1813,21.713,5.8267,9.0554,8.8539,20.0639,14.7776,2.5014,9.676,9.6383,39.4619,7.1591,8.2755,29.0623,4.6336,29.2074,32.5628,14.4952,0.6847,3.3897,14.4805,0.277,23.8914,4.406,4.014,4.7626,2.5829,1.1404,8.3362,21.3934,5.8411,2.7531,17.1585,1.6438,3.084,0.0
ESP_H51,44.5744,6.5217,1.1901,6.2822,0.3207,165.9207,22.0307,13.7138,29.6531,131.8677,68.1667,18.0647,29.6104,29.8639,69.8853,58.6257,6.7836,32.0067,25.2435,119.3339,25.1203,51.8143,113.4189,25.7384,67.4528,151.8678,99.4446,7.0594,54.637,107.0019,2.5218,69.1976,15.1375,32.3835,14.9364,18.6315,6.881,30.7971,30.9055,25.3592,13.0321,52.2984,27.1344,4.6778,0.0
ESP_H52,86.1487,28.0334,4.574,100.1435,2.0238,1166.0333,118.735,99.0864,267.0303,112.889,829.9382,168.5308,258.3498,284.312,469.2374,355.8941,39.4716,200.412,221.8933,495.0882,62.44,839.8015,2250.6546,243.0084,376.7261,8494.197,5425.8624,269.3721,1220.6404,8261.4745,39.675,311.4073,150.576,135.6163,181.5275,116.9133,574.0997,475.4623,341.0611,746.8006,21.5048,73.7116,136.1822,104.1946,0.0
ESP_H53,2.0475,0.3835,0.2441,1.607,0.1639,62.7955,7.0105,3.3004,12.6485,11.497,31.6554,43.2709,27.4785,18.3995,12.6954,43.3167,0.8734,7.2542,27.163,45.1299,3.4737,14.0675,89.3124,46.7672,384.6562,538.6066,45.0594,2.1887,3.403,131.0892,1556.8479,166.1239,15.1063,294.0119,385.5129,162.6571,124.2188,368.2545,175.6644,143.0927,71.2513,99.5242,1.935,30.9642,0.0
ESP_I,25.7116,11.0244,2.2873,4.2382,2.19,163.7709,18.0293,8.266,10.7582,20.4224,135.8264,49.8013,50.0464,12.3157,23.4198,65.7146,11.797,10.6624,34.7992,42.1915,25.3059,38.4703,78.9782,188.5317,1203.6461,744.1062,1374.9556,10.5148,42.2631,62.1523,42.4294,1095.5424,116.3817,121.1281,1110.2289,803.9794,86.6347,1020.2982,4838.4663,668.4736,302.1108,2187.5287,363.0231,1721.1969,0.0
ESP_J58T60,28.8735,1.7843,0.3868,1.3163,0.1935,566.8439,36.4923,4.4692,306.6466,6.3406,132.9088,103.0489,19.4339,25.984,7.6266,26.4853,6.2823,23.0838,25.1379,149.1789,6.6184,36.4741,43.5501,26.7071,83.8604,2004.6619,26.0271,2.9832,29.158,33.4366,3.5628,216.2111,1746.3221,146.9253,121.2248,510.3403,71.162,646.0803,323.1639,203.8413,486.861,182.1755,94.1183,168.0143,0.0
ESP_J61,77.5761,10.4571,9.775,42.3283,0.8463,511.5606,81.9909,18.3871,54.6969,84.2617,299.5377,194.005,85.4783,103.3676,83.9665,107.2773,41.0028,67.7084,133.0988,166.1224,32.1859,96.1362,613.8678,343.5566,1080.5499,1063.055,242.1902,13.0708,308.6437,219.3044,56.5942,926.9852,496.0015,4264.734,412.5237,790.1125,564.0812,882.0791,660.4536,1005.5349,145.8229,616.7266,130.4559,231.9194,0.0
ESP_J62_63,3.0908,2.8952,2.146,3.5078,0.6356,74.1074,14.5375,3.7033,23.1371,9.4882,36.8591,26.0196,15.002,17.8693,9.1764,26.8201,16.1186,22.6841,25.5716,52.6685,14.8479,21.182,37.5315,35.2171,104.0493,406.4182,48.399,46.6648,26.606,35.9296,5.3369,95.702,135.2904,184.7985,2441.0866,791.6815,77.9844,340.2396,203.9341,441.965,95.9967,266.0364,108.0164,62.7081,0.0
ESP_K,1171.4384,43.4405,13.1079,38.8242,5.0156,957.5092,197.2598,77.8467,211.8447,279.3337,375.6199,163.1951,215.0287,215.6532,277.9218,456.708,56.9775,189.1581,258.3078,547.0486,145.4403,271.778,580.3017,311.6561,1568.6308,5195.4425,854.2489,49.0858,123.666,904.827,53.4348,1355.0152,196.2016,311.6507,603.0027,15932.779,5981.9032,1521.3257,2163.2756,1883.8025,534.7479,1637.2173,522.8053,423.9844,0.0
ESP_L,25.4241,3.2131,4.3814,31.4994,0.8101,267.1883,140.4169,33.7151,138.084,20.25,192.6849,92.0204,160.494,92.4373,32.4209,283.293,23.4154,110.6905,101.616,87.5021,44.1991,183.5622,193.3449,226.0499,716.8844,9415.3968,307.1237,75.4221,82.8407,786.3105,66.2283,3550.8827,634.7505,864.8016,465.5766,2137.5664,402.1209,1918.155,966.1288,1023.5911,153.2895,443.1494,1038.777,463.3275,0.0
ESP_M,151.4344,13.9773,37.4488,112.1453,13.0083,1788.0567,319.8001,57.4127,277.0035,195.1223,459.9806,366.4228,239.9014,305.4525,101.9321,593.519,133.2288,375.1857,358.3658,650.1404,1405.711,409.6085,419.1679,576.2663,8832.166,9308.7305,539.4274,52.5501,639.8395,706.1754,134.9582,1771.284,1344.7845,1836.6593,1565.5522,3476.0686,1998.7671,17215.1539,2656.3787,2269.3932,580.6628,1301.2422,2138.7577,672.4997,0.0
ESP_N,140.8666,36.0469,39.025,78.6115,8.4871,2436.1608,290.0614,110.3446,547.1638,230.5285,902.0047,579.2107,534.7251,436.6637,290.7679,791.7887,131.9608,381.6524,460.7937,1706.2839,279.7295,474.1688,1269.1823,1016.882,3111.42,12260.8602,2004.268,192.4875,1372.7886,2051.3025,154.2841,1868.493,694.8192,1260.1655,3184.8203,2542.3179,968.6407,3547.7009,8273.7598,2518.4155,836.2832,2087.7612,716.603,549.3828,0.0
ESP_O,74.1136,27.8012,2.6665,27.2615,0.9692,288.5433,38.159,28.9787,79.9507,109.5118,178.0183,75.4801,77.3707,77.6522,131.1891,109.7002,13.9893,53.4246,61.1237,146.8696,50.3989,176.6143,497.569,136.0373,1232.3151,2451.3842,1023.8201,63.6337,279.6254,1512.8944,17.8131,351.6473,74.4644,196.4122,146.137,132.2465,272.9197,410.5195,278.7489,257.6019,134.2639,185.7141,129.944,52.2654,0.0
ESP_P,16.8854,0.8133,1.9985,2.1574,0.1419,173.7924,19.2275,2.8245,30.6456,88.937,44.5167,93.966,48.3633,14.4172,83.7343,22.3014,25.2823,16.9154,36.1226,165.6947,55.4801,78.6547,179.0097,102.0739,193.1514,864.4248,124.2164,1.2831,178.2224,21.7163,8.1548,77.5033,75.7391,340.0086,439.297,91.4823,31.0979,430.5325,230.0772,47.7568,115.6118,197.8716,9.4309,350.2436,0.0
ESP_Q,69.6542,5.0953,1.5509,8.1272,0.1745,329.3881,38.2591,6.1791,20.2545,27.5731,87.0636,51.674,27.5421,14.5084,19.8833,16.6217,12.321,26.6425,24.5826,128.9943,38.1437,110.6484,94.5753,186.5391,262.5965,2160.5956,138.1483,2.3554,13.844,12.6807,24.1095,688.3721,40.403,408.2016,223.5118,128.624,41.4799,379.734,142.0653,87.4213,198.5886,7373.5978,56.0805,230.1165,0.0
ESP_R,96.1984,5.4117,0.6006,2.4,0.1493,500.2705,57.424,5.0941,42.8715,75.559,93.3506,72.1202,37.9983,15.4874,35.6083,45.344,22.0411,17.6061,39.6439,148.1437,64.0658,154.9205,36.6577,35.6004,81.8454,892.5056,83.3072,3.1029,42.5058,119.7951,45.0069,634.4588,380.378,207.882,22.2422,238.3188,68.7004,775.7268,1075.306,101.1992,32.6607,126.1567,2428.1716,156.7022,0.0
ESP_S,45.6064,22.0059,1.1878,5.1275,0.4558,250.504,34.5547,19.0539,43.4802,60.5212,155.5886,78.4785,39.3418,62.8292,68.4246,97.4429,15.6535,32.0146,46.9969,193.3617,25.6621,96.5323,244.6392,146.6898,161.6523,1018.6456,274.2573,12.0736,38.3005,107.9212,6.4403,406.028,148.0512,87.6555,586.9652,271.4408,120.6773,837.5585,408.7373,322.8298,161.6119,751.5701,1831.6141,1175.0942,0.0
ESP_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
