V1,JPN_A01_02,JPN_A03,JPN_B05_06,JPN_B07_08,JPN_B09,JPN_C10T12,JPN_C13T15,JPN_C16,JPN_C17_18,JPN_C19,JPN_C20,JPN_C21,JPN_C22,JPN_C23,JPN_C24,JPN_C25,JPN_C26,JPN_C27,JPN_C28,JPN_C29,JPN_C30,JPN_C31T33,JPN_D,JPN_E,JPN_F,JPN_G,JPN_H49,JPN_H50,JPN_H51,JPN_H52,JPN_H53,JPN_I,JPN_J58T60,JPN_J61,JPN_J62_63,JPN_K,JPN_L,JPN_M,JPN_N,JPN_O,JPN_P,JPN_Q,JPN_R,JPN_S,JPN_T,JPN_HFCE,JPN_NPISH,JPN_GGFC,JPN_GFCF,JPN_INVNT,JPN_DPABR
JPN_C20,4861.1096,98.9677,2.1527,115.3478,26.9799,2571.0928,1031.0316,706.727,3089.4097,1525.9311,41341.7656,4646.6661,16202.5504,1410.9237,1713.4761,720.1307,1903.4245,2353.3522,2027.4288,3723.5511,561.0673,1990.0592,106.5426,649.0934,2719.7892,22301.4578,162.3437,91.9239,9.3961,170.4371,35.6856,815.0872,423.6714,99.4777,228.8105,198.7971,71.5153,1759.8837,854.5606,221.0511,129.928,7051.7267,393.2085,1638.0589,0,16320.6186,0.0,0.0,0.0,1433.6049,0.0
JPN_C21,342.1553,29.2447,0.085,8.3382,0.2641,416.1506,37.3114,44.7915,124.7237,111.8353,1898.2511,11100.1811,465.3749,56.1467,29.1458,43.1389,135.6558,94.9972,147.691,163.7167,2.7493,182.4876,2.293,32.7712,104.935,2647.8674,12.7028,14.4725,1.5691,16.5741,7.9495,83.607,10.1774,14.6979,27.7572,31.5717,3.9442,358.2744,119.7809,90.1714,30.4674,26118.0497,43.3465,83.9058,0,17489.8453,0.0,7297.8644,0.0,510.764,0.0
JPN_C22,877.8596,211.4042,5.3313,32.161,8.4235,5659.6606,469.1743,190.4757,2997.4347,25.9463,2280.4422,726.199,19433.5197,341.9168,607.8958,401.7088,5349.0078,4119.9095,5128.8531,13884.2966,872.4766,4356.2879,2.5288,1538.2352,6535.0937,9562.9376,372.4624,193.2973,21.1063,471.0773,17.4519,489.5351,190.7824,95.3909,1741.0377,1056.1442,470.2494,1802.5869,1045.0677,584.1725,160.6735,1288.9005,700.8866,1165.233,0,10837.827,0.0,80.5174,0.0,859.5867,0.0
JPN_C23,268.5185,1.6594,1.8368,2.5125,8.6635,825.4794,20.5914,3.5338,50.0369,25.7534,747.3021,283.8273,408.3446,3778.5807,1476.5946,319.4756,782.1808,2869.7493,1943.2701,2294.5353,277.6241,954.1104,8.4714,135.5435,26490.6277,796.3213,27.9743,29.9373,2.0244,9.5912,3.293,581.7491,12.7863,11.1028,12.8115,40.0231,70.4135,70.6457,36.76,75.5394,281.7147,638.0336,133.2048,238.5026,0,1542.6015,0.0,0.0,0.0,445.3708,0.0
JPN_C24,5.2333,3.8425,11.0412,15.1082,20.6005,387.5234,37.453,63.6435,77.8544,28.0085,714.5747,67.2035,1181.7309,782.4272,138537.8868,29000.0316,7809.4409,11049.8085,36018.7899,31042.8125,7368.0552,3626.9059,24.8551,16.0496,18613.256,351.3365,19.336,10.2823,0.0798,186.7434,0.2972,102.0231,22.3431,1.761,1.1516,2.6755,0.1934,9.6042,1.3485,64.9795,2.8708,703.6001,1.7933,102.8536,0,1659.8324,0.0,0.0,356.5236,2303.4392,0.0
JPN_C25,167.2535,24.5703,22.6242,17.2536,28.3319,4002.009,91.3714,218.4322,124.161,43.5533,1296.929,257.3517,824.5569,481.2433,325.1392,6237.3807,3686.5011,3463.5581,9644.6854,3420.2707,1172.5985,2831.6798,60.439,51.7606,49246.1907,3668.3814,301.7169,215.4745,3.8816,438.8079,3.6916,795.2879,33.0029,164.1428,58.5731,88.4182,259.4302,161.8194,108.0826,1521.482,60.9695,258.6896,30.1104,645.4184,0,3532.7649,0.0,14.0845,3134.2347,748.142,0.0
JPN_C26,2.1266,2.0862,0.1229,1.3861,3.1496,16.0691,2.0791,1.1811,7.1427,1.8944,13.6966,4.7762,10.7539,3.2677,15.6348,9.7287,2762.8105,63.7142,158.2001,1862.1136,135.6462,56.8522,6.9777,6.6463,794.9907,810.779,61.265,24.7225,1.9913,18.7417,4.1162,61.4804,39.735,18.0917,86.0324,111.4742,59.1004,425.1823,148.2189,555.7991,13.226,33.1208,34.3797,61.7235,0,50600.4838,0.0,0.2233,43554.8045,1651.5756,0.0
JPN_C27,4.7904,12.237,0.1185,6.1402,2.1234,21.3289,11.2218,2.7048,23.9742,2.9973,93.9758,21.5755,208.2046,2.3967,409.1267,202.6623,21264.637,20241.603,7844.2979,11192.2712,495.4137,1294.1676,6.0024,8.2767,2017.6834,9025.6099,50.8404,29.9904,2.3599,38.7672,6.4283,33.5734,497.161,64.0717,109.1465,63.1321,13.2656,63.5789,29.9113,855.4878,59.8471,73.2254,44.3953,48.591,0,26608.6758,0.0,0.0,21362.5721,663.5055,0.0
JPN_C28,7.1794,0.4454,2.8537,6.5415,40.8111,17.2342,10.3144,3.1266,3.4839,2.8459,47.8813,13.3469,430.975,134.8851,205.3516,46.5425,1635.8267,2497.667,44818.7174,3203.4792,1243.1622,2027.7818,1.0715,144.1915,3784.7678,17921.2951,49.1585,19.6844,5.1669,60.5512,6.56,11.7525,71.9073,24.4307,36.0868,43.2866,15.8943,183.0658,141.4198,1481.6973,13.5022,5934.4585,228.0089,159.2098,0,1587.7435,0.0,4.6819,136496.3398,2374.1905,0.0
JPN_C29,0.7329,0.0937,0.0056,0.1724,2.4551,0.107,34.7017,1.4188,0.4109,0.0405,38.8059,9.8219,129.7256,3.5996,76.5821,252.4236,4382.4325,1286.9079,1954.5981,171904.0534,1268.2987,1535.7526,1.5194,0.088,0.8517,20530.7848,38.729,0.0385,0.1148,1.0232,0.1547,0.3074,0.0474,0.2215,81.5616,0.0292,3.2071,1.3566,1.8842,97.0939,1.2977,2.6882,0.3526,0.3325,0,86240.4406,0.0,0.0,37030.6123,3184.6661,0.0
JPN_C30,0.0903,782.5198,0.0,0.2184,0.0965,0.0538,0.301,0.4122,0.4989,0.0165,3.0382,0.8166,13.2283,2.7297,4.8179,27.0073,392.389,56.8586,411.0403,61.1757,10372.1615,45.253,0.0,0.0141,0.0,507.1169,1821.9679,1991.5465,1654.4417,126.6236,0.0497,2.4425,0.5665,0.0,0.133,0.0518,0.0,2.2106,1.129,1013.9709,16.1984,0.0,1.9631,30.2433,0,1646.9862,0.0,0.0,14537.3454,104.9355,0.0
JPN_C31T33,645.9417,143.0338,10.138,83.8819,17.9793,822.7139,372.9595,167.2257,275.1509,109.8669,761.8174,216.5019,496.8082,308.1522,815.2656,323.3407,1238.3482,916.4583,1252.9792,400.6357,219.7917,3471.5931,904.1967,546.2369,7744.9977,3464.2506,1579.5407,293.8364,99.6656,590.1643,60.5106,2111.9456,1001.2823,1386.0796,3240.2244,1751.3273,558.4109,6184.1361,4145.4123,2229.2933,1553.2394,3381.2441,1557.7253,2193.5676,0,31614.0767,0.0,9.3018,13080.9893,-261.4339,0.0
JPN_D,926.2922,85.5389,44.6576,196.1824,26.8618,3511.3263,579.0326,379.9195,3252.4519,714.5738,4670.4545,529.2805,2882.498,1876.2473,9641.9582,1801.1227,1032.7383,2267.191,2328.295,2972.0552,773.9231,447.1518,14459.3005,2273.4165,1427.7799,13604.2488,3765.9223,4.1437,65.4184,1350.4575,66.8103,8977.8777,343.8976,1257.358,167.3106,1223.7391,2124.1602,3927.2758,2305.5747,3652.1278,2551.0737,5505.5167,2504.8115,2105.2825,0,52463.5199,0.0,27889.488,0.0,0.0,0.0
JPN_E,168.0908,6.071,7.2568,25.6637,5.0105,923.3115,69.8533,25.913,352.1688,87.6866,953.6377,192.1299,199.9917,159.0458,473.0354,106.171,332.3022,413.2214,421.6585,181.3594,189.0615,83.0669,835.5638,10342.9237,1077.7836,2228.1103,1878.5157,23.827,16.7471,685.8714,23.1198,6660.5819,354.248,1646.2434,36.2609,967.2762,378.9121,840.3964,521.0661,6640.9266,2002.8525,4976.8901,1120.9031,1338.595,0,22149.1072,6054.5837,25625.6566,0.0,0.0,0.0
JPN_F,484.6667,22.9458,3.9524,27.245,24.5358,241.442,91.8578,44.056,441.1374,89.8462,749.3517,230.0165,416.6611,353.9207,1421.8046,553.2294,441.9764,565.3083,654.6012,208.6244,174.6756,165.6619,2493.4445,1938.5316,582.9744,3140.1922,1634.7775,37.5831,2.3087,1393.1115,25.5237,476.796,957.9288,1156.9937,126.9481,1004.8046,7123.5594,816.81,363.0713,3301.8238,1038.5124,1691.4637,568.7985,348.7229,0,0.0,0.0,0.0,517811.975,0.0,0.0
JPN_G,12346.1522,1336.8535,33.1643,353.3218,107.5245,45015.1668,6144.0528,2169.8051,11944.7995,6948.0266,20447.1332,6289.458,13187.1651,3857.6285,26550.5661,6552.5308,14206.4162,13603.0913,24010.3013,49613.1122,4256.7514,9815.9925,7750.9254,1926.3755,41784.4657,39795.9296,7631.7206,3196.1925,2140.5748,2406.8772,359.0259,30245.0326,4040.8301,3121.3598,5181.4354,5136.877,1454.5024,12711.9133,11375.8995,8122.7196,3458.4768,21630.4336,3318.8886,4949.981,0,297005.7046,0.0,3992.5417,62142.9845,5794.1405,0.0
JPN_H49,2034.9756,170.7794,11.1388,126.9948,59.2137,6441.7035,425.5031,482.4443,2324.1824,1103.1371,3135.5555,577.3601,1761.9747,1351.4411,6473.4906,1635.1268,3023.0886,2465.0658,3969.3389,5344.3542,751.7515,1401.11,2415.3204,785.3274,10180.8386,10883.0889,1016.1583,229.1671,213.5885,700.9557,559.4754,4231.0126,944.4634,1394.3199,950.5653,6026.5571,339.0504,2324.1603,2285.9036,4248.5249,1650.4331,3804.4316,612.5156,1586.6538,0,95765.2499,0.0,156.8127,5913.8543,359.8361,0.0
JPN_H50,285.9944,27.5401,0.6615,7.0415,2.5295,1084.1143,117.4152,77.8236,309.0716,1939.8076,654.704,165.5137,356.4811,211.2599,1849.617,239.5547,440.6509,422.4331,740.4207,1223.8565,193.03,270.7232,1364.9606,36.4248,1414.6752,965.0447,103.5533,0.0809,68.2681,5.096,6.0173,582.5302,75.4242,56.7311,84.8918,90.3303,24.8266,195.4178,105.6883,149.3137,64.6233,523.0903,64.4453,101.1539,0,6470.8447,0.0,90.3862,2152.1721,2469.1388,0.0
JPN_H51,114.5588,13.2874,2.6495,24.8931,16.57,427.5399,67.4707,37.3382,167.0855,713.4531,369.5754,115.6596,179.945,104.5526,786.0934,150.417,270.0283,249.1651,451.2497,489.6754,82.7676,134.6171,531.4537,64.4904,589.8202,2013.6179,95.6642,34.6295,84.5824,54.1016,160.2697,284.4941,429.1689,189.2788,445.5291,220.0285,36.1913,496.6227,664.6299,219.0349,336.5392,423.8214,116.4374,130.9144,0,12006.8121,0.0,31.9827,780.2187,812.2496,0.0
JPN_H52,713.5303,110.2591,4.8824,68.5892,24.3578,3238.6054,163.5644,177.7464,900.9718,877.4074,1043.6404,263.097,645.3798,575.0616,2653.9855,564.5737,742.1214,863.7207,1252.1078,1956.0488,215.9733,602.5911,2029.4995,126.6867,3229.0729,7017.8908,7773.9147,1320.0589,7408.6036,1772.0496,117.5059,4573.6359,362.0956,242.6121,476.1134,516.9324,205.9701,672.4458,873.8081,2479.7147,266.1124,1064.4305,715.9428,382.0857,0,29291.0325,0.0,6704.1864,2030.2918,101.5496,0.0
JPN_H53,16.9527,3.8042,1.8046,8.4204,1.2446,48.7225,12.299,6.4278,28.0287,10.0272,120.2738,54.3587,37.6682,13.3849,43.1714,27.0051,179.5758,115.1195,149.727,61.9756,39.4176,26.9939,236.6587,91.7678,269.9632,1122.8397,75.9234,20.9902,15.0085,132.6687,219.8952,318.1755,199.9686,1497.0973,171.5525,2417.5078,141.1987,459.6751,240.1994,1679.9501,271.9502,426.4607,70.5666,225.1918,0,1664.5283,0.0,0.0,0.0,2.423,0.0
JPN_I,146.5673,221.0178,14.6571,157.5571,7.1451,1655.9244,177.1511,117.1619,976.0466,284.1942,1065.8969,495.946,963.0458,413.1899,1205.7135,923.5125,1708.1669,1511.8041,2521.4936,1448.0274,523.756,674.1187,895.0445,766.6008,4925.2192,10209.2654,2031.5749,433.9655,150.8965,1392.0928,193.2833,4025.8013,1295.2077,726.1783,1951.2832,4897.2128,1290.7239,2682.3076,1836.5615,2243.9194,1061.0545,4147.0266,1074.8463,2210.4711,0,183127.9044,0.0,0.0,0.0,0.0,0.0
JPN_J58T60,56.4218,14.2733,0.3764,6.0231,1.8108,332.5831,53.3598,33.2909,110.194,26.0164,239.4018,116.4303,115.3664,37.0078,129.9968,125.5839,440.6825,323.7304,385.228,69.3863,91.4292,106.6294,59.337,88.4799,755.5978,1688.5783,480.9595,13.6067,33.4191,202.0993,67.8398,3492.1461,11128.5465,6593.4797,1295.0066,883.2903,208.0365,17339.4388,4186.9992,1392.754,613.5039,1769.4722,1336.0028,496.8993,0,21534.6552,0.0,474.912,21235.7081,-4966.205,0.0
JPN_J61,44.2944,40.7296,11.0693,25.4246,5.8055,339.8593,48.821,28.6282,209.5641,41.6904,822.2805,347.4728,167.4713,60.3255,244.7932,203.502,839.7671,494.7009,624.3943,249.8344,112.0897,148.1211,89.1624,186.2431,2473.9895,12608.0485,896.2662,152.9277,57.5749,292.5204,56.9772,1776.3886,4155.6497,36371.0684,2365.9621,4661.6742,1175.1718,4993.6082,2571.1235,2919.7652,315.4076,1278.2413,336.673,901.7249,0,98986.3594,0.0,436.836,0.0,3.1421,0.0
JPN_J62_63,293.6731,21.4283,3.042,28.7279,5.3192,1004.6127,91.5024,80.3912,391.6166,92.466,1360.7209,588.9678,561.6254,264.1367,766.6498,435.1126,2892.2853,1851.9565,2578.1776,1304.3444,304.8728,369.8464,1710.0179,1084.5467,1334.8331,12914.4762,770.4225,55.252,154.0561,1582.3717,41.4838,1042.5395,1938.0113,7618.2974,4304.9013,12685.7929,757.6434,4391.8004,2040.3403,5502.0322,934.4031,3263.7818,1189.3787,1125.8865,0,13155.2626,0.0,0.0,79756.102,0.0,0.0
JPN_K,1159.7299,215.8948,29.1592,136.4254,35.9532,1900.6245,326.4573,170.3362,718.7099,505.2367,977.9562,284.7907,422.8131,391.4859,1513.0206,1058.3001,981.9644,931.0252,1879.0364,987.9976,656.7667,1476.7566,2687.3738,700.3134,4481.9199,12460.4518,4376.9587,547.8056,365.5928,793.6765,4.5016,1981.9863,292.8553,1342.0677,411.2203,13503.523,54428.914,2837.4799,2253.4815,8274.8876,1659.5738,3665.135,1018.7419,632.0523,0,145158.7746,0.0,4.4883,121.0136,74.3605,0.0
JPN_L,89.0052,16.5469,19.674,16.9307,8.8368,1033.6698,130.8168,79.6187,359.8655,77.8732,708.7623,267.1555,436.2781,199.7377,519.313,560.9713,998.9225,748.7052,1176.7913,510.9487,196.5727,272.2648,1012.7139,178.8265,3023.6659,24102.7476,1826.8234,924.1612,118.1617,4481.1096,207.1636,3544.4145,1489.8045,4242.6041,6646.0168,5624.5672,20547.2685,3280.8517,1891.9419,747.1732,521.1217,10933.8012,844.5094,2171.9323,0,542361.8022,0.0,130.2053,21483.7402,2.4217,0.0
JPN_M,120.4988,75.4218,23.9535,44.5637,101.6393,5925.9894,349.3275,230.7524,988.3279,197.6531,3367.6515,1753.4358,1664.8405,1043.4073,1111.277,1185.4009,5939.1995,3631.2588,4823.1781,5400.2964,1134.8604,1371.8864,2965.3018,1689.6957,25616.5021,30458.8906,2638.5455,70.6773,553.8099,5001.0772,45.5968,4638.079,5037.3147,13420.8812,18977.8579,15444.8098,8510.3011,22159.6056,5381.8067,8313.0992,2698.634,8509.5877,2036.1017,2787.8564,0,2098.1435,1434.7906,6864.4441,96697.1301,27.4696,0.0
JPN_N,150.2848,65.2769,14.764,123.251,64.4407,2117.3386,270.4082,100.9485,602.0883,116.3199,2193.7553,1020.3949,871.7457,707.9911,892.5282,778.6077,3466.706,1731.961,2775.6504,2989.6793,594.0764,793.5147,1207.8468,1222.4065,9954.5454,21346.804,2272.1888,49.8061,374.3583,4765.857,51.6709,2097.1092,3575.7999,6288.0781,12020.0586,10099.0919,4857.489,8954.0372,9239.7425,10682.5808,2559.8268,11258.2989,1269.809,1985.2043,0,6672.4687,1045.9209,7363.8156,2751.3986,250.4549,0.0
JPN_O,83.6205,1.3021,0.0578,0.2306,1.4226,555.4523,0.9969,1.3566,3.922,3.4709,4.3454,1.9415,4.4508,1.7387,9.2948,4.4503,5.7873,6.0891,10.4904,13.8381,2.0145,2.6294,29.9258,13.5552,51.4744,63.8827,19.8692,1.5748,1.9868,6.89,0.8989,13.8904,58.6182,683.6621,16.1463,21.74,63.6344,53.6339,21.2826,147.3179,0.2979,32.7842,7.8977,9.5824,0,8019.5954,0.0,327850.8708,0.0,0.0,0.0
JPN_P,1.9093,0.0057,0.0064,3.8774,0.5105,46.1931,0.5585,1.2152,4.3321,1.1803,19.1487,12.0227,7.0165,8.9139,8.8254,20.7853,95.994,85.827,62.1659,34.1208,8.2362,4.2868,39.562,5.0366,39.6589,75.5284,270.1665,0.5349,0.7052,20.868,1.4169,53.4913,133.6264,546.5798,313.5761,32.648,0.2722,84.0729,31.4137,22.6651,0.1984,29.7608,9.1437,21.9102,0,53392.3267,22380.6094,117338.3614,0.0,0.0,0.0
JPN_Q,9.524,14.422,0.9482,10.1985,0.4898,107.9241,11.4766,7.6249,64.0668,18.5463,63.6163,39.2013,62.9454,26.9549,78.0785,60.2131,111.1715,98.5196,164.7839,94.7972,34.2303,43.9477,59.7358,59.6134,321.7196,776.0238,137.934,29.6918,9.8482,366.4781,12.9312,181.7353,99.1018,156.4579,129.5968,344.2299,86.138,207.694,64.6268,173.0637,55.0691,4693.696,73.8689,120.4275,0,80327.0296,28116.2007,425230.9461,0.0,0.0,0.0
JPN_R,11.4854,16.9713,1.1458,12.39,0.0996,130.3391,14.0586,9.1339,76.0039,21.8533,81.4295,38.9286,74.7102,31.9746,96.7833,71.1193,135.9846,117.9967,208.7866,109.7977,40.574,82.9881,71.9862,58.882,378.5625,806.9537,155.7973,33.4869,11.625,107.4382,14.957,353.9581,10113.339,82.7365,164.7583,376.7845,98.879,273.0009,184.3512,173.9083,75.852,234.7761,1732.9179,207.0293,0,55395.5492,0.0,988.0407,0.0,0.3074,0.0
JPN_S,27.2748,52.7152,1.0975,9.517,11.5076,213.5674,27.8546,15.5803,70.3113,27.4028,131.1639,48.5423,100.6242,8.9302,146.7617,70.3109,339.6658,248.5067,246.2802,38.5034,44.1954,48.9461,84.7555,136.2906,606.9504,1971.3698,912.0932,25.7075,33.4321,157.8509,16.3371,2156.2092,742.8476,387.7418,871.2999,419.071,580.2249,2957.6496,1397.6322,511.9874,341.9308,5393.4595,828.0866,7597.4505,0,63829.0965,2323.7235,10417.615,0.0,0.0,0.0
JPN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
