V1,PRT_A01_02,PRT_A03,PRT_B05_06,PRT_B07_08,PRT_B09,PRT_C10T12,PRT_C13T15,PRT_C16,PRT_C17_18,PRT_C19,PRT_C20,PRT_C21,PRT_C22,PRT_C23,PRT_C24,PRT_C25,PRT_C26,PRT_C27,PRT_C28,PRT_C29,PRT_C30,PRT_C31T33,PRT_D,PRT_E,PRT_F,PRT_G,PRT_H49,PRT_H50,PRT_H51,PRT_H52,PRT_H53,PRT_I,PRT_J58T60,PRT_J61,PRT_J62_63,PRT_K,PRT_L,PRT_M,PRT_N,PRT_O,PRT_P,PRT_Q,PRT_R,PRT_S,PRT_T,PRT_HFCE,PRT_NPISH,PRT_GGFC,PRT_GFCF,PRT_INVNT,PRT_DPABR
PRT_J62_63,12.1652,0.5812,0,3.043,0.3208,54.1893,19.1119,6.6043,26.073,13.5544,17.6424,12.6713,15.7401,14.1457,3.342,18.503,6.2521,9.5412,6.3076,28.0237,2.3343,25.0768,31.5176,17.8185,36.2325,239.5935,30.5755,4.0072,21.6722,43.4546,4.0382,80.5202,41.9019,88.8613,617.7455,277.3184,23.6136,249.507,77.9779,54.8663,40.9108,136.5073,38.8566,24.389,0.0,38.9994,2.5789,2.7869,1900.8047,4.3637,0.0
PRT_K,133.6006,10.4263,0,18.5017,1.5442,250.5465,133.8627,48.5543,73.7395,39.6509,63.8661,23.8162,44.6795,72.9719,22.7371,87.8616,16.4807,33.192,32.0416,52.1732,8.7455,74.7828,148.7051,104.6945,411.9261,967.2009,139.2336,18.6497,52.0607,290.3388,11.982,297.1148,47.5743,43.2198,71.8148,3346.9853,1127.2353,936.1642,170.0398,201.9276,46.5804,222.7632,85.7101,48.6346,0.0,5363.4399,10.6807,339.5822,327.4633,2.6575,0.0
PRT_L,9.5548,0.377,0,3.9566,0.4046,135.2637,63.7034,20.8612,43.4926,10.9181,26.8013,14.0044,21.8583,35.9802,15.7786,17.3863,18.3261,13.7536,10.2017,24.2188,5.052,67.4215,12.9083,28.2759,113.7168,1145.8366,20.3679,3.703,11.8742,98.5886,23.456,228.1421,65.7766,66.1089,90.3794,236.6352,263.1028,157.6788,141.1537,172.1734,69.6515,147.9588,62.7992,53.537,0.0,22437.3619,24.529,45.8306,2795.6731,0.2202,0.0
PRT_M,165.8258,7.203,0,17.7369,2.1415,451.1965,110.1796,38.004,85.0684,34.3508,75.446,36.8171,58.5877,69.8433,21.9703,80.7727,27.3857,55.5159,32.52,90.8767,16.5793,145.1304,151.603,72.5048,340.5354,1939.305,166.7714,23.2501,79.9963,258.7232,22.6137,296.8385,164.5285,493.455,409.7951,537.7066,307.3826,2481.1297,496.3795,209.0021,142.9362,767.2386,210.0978,213.7201,0.0,749.876,121.6709,138.8568,2155.7174,4.088,0.0
PRT_N,60.7776,6.8671,0,38.5328,2.4879,258.6575,83.9782,29.9786,60.8244,23.6057,64.6257,31.3734,81.0444,103.007,21.3466,77.4293,403.2742,70.9544,33.2927,328.622,8.4921,73.2305,87.8544,121.2684,261.9325,1463.5062,239.4743,25.3217,333.5032,241.0024,35.1501,405.0697,101.5083,412.2248,172.7237,238.6448,218.9189,663.418,1361.8901,464.3114,156.7407,476.7626,217.9673,115.1429,0.0,1200.8968,0.6943,15.7435,301.2035,5.6946,0.0
PRT_O,30.5197,1.1533,0,4.4256,0.3601,46.8543,12.4219,7.151,13.6146,19.2478,8.8699,3.3987,6.7352,12.8677,12.1074,9.2019,3.3055,6.7844,4.2012,10.5237,1.6965,14.8197,20.4506,40.9701,110.0237,187.7913,37.6938,25.315,26.844,55.4459,4.1751,37.818,14.6171,176.3351,49.3427,81.1181,45.1209,240.5907,94.1488,81.011,25.2876,103.8847,31.5552,23.0589,0.0,582.0703,208.3863,16006.3032,388.9327,0.8244,0.0
PRT_P,2.0197,0.3185,0,0.3309,0.0256,6.8685,3.3503,0.8548,2.6017,2.5725,4.1118,1.3122,2.0229,1.8506,0.5932,3.1796,0.9771,2.2095,1.513,3.8263,0.4167,3.0293,2.7963,1.5704,10.2585,25.2311,3.0955,0.5594,2.9526,8.0623,0.2629,5.1447,3.1874,5.5578,14.1596,22.6368,3.2878,35.662,9.0645,68.9145,106.4198,13.5743,2.4181,2.0717,0.0,2543.4088,399.7944,9018.1512,927.8467,0.1239,0.0
PRT_Q,5.7006,0.6377,0,0.9998,0.1589,14.8786,6.9896,1.9356,4.3391,1.2072,3.8129,1.5874,3.1219,3.8074,1.066,8.5934,1.5487,2.3925,2.079,5.2695,0.671,5.8231,3.0145,2.9273,25.272,85.3741,8.9347,1.4297,5.6549,7.1326,1.2622,33.9179,19.0021,8.1116,24.6362,36.2469,11.857,108.274,34.348,37.4348,41.5559,1100.0237,28.0952,16.5066,0.0,7334.5003,2618.0669,10650.7815,105.5884,0.4518,0.0
PRT_R,1.4094,0.0887,0,0.1997,0.0106,13.7381,3.093,0.6364,1.3314,0.545,1.4976,0.6491,0.7614,1.2262,0.3497,1.2645,1.17,0.7643,0.5543,1.2815,0.1188,1.6458,1.0207,0.6169,5.5808,46.2802,2.8065,0.523,1.2017,2.1544,0.4648,69.0033,99.1141,4.1748,2.6344,9.5248,2.0642,79.353,38.4443,63.659,18.4118,6.0435,255.4899,136.6404,0.0,2078.2569,239.0069,178.1815,39.7196,3.9036,0.0
PRT_S,32.8183,0.7324,0,1.5055,0.1755,22.1133,7.3628,2.9425,6.5171,1.3873,5.0951,4.38,3.2645,6.5318,1.4828,7.2149,1.5272,2.8347,1.8267,3.6994,0.5465,4.8802,5.5231,4.9841,18.812,71.2229,16.7426,0.7279,6.8843,7.8704,1.4387,25.1766,5.0637,5.8139,7.1412,45.1529,9.8857,35.435,15.9433,18.7335,7.0634,27.2119,61.0598,57.3283,0.0,2693.4359,955.0052,75.5645,64.7096,0.2905,0.0
PRT_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.5892,0.0,0.0,0.0,0.0,0.0
