V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T,BEL_HFCE,BEL_NPISH,BEL_GGFC,BEL_GFCF,BEL_INVNT,BEL_DPABR
BEL_C20,213.6329,0.5833,0,8.5239,0.0505,427.4439,177.1705,88.291,246.6798,1322.2759,3281.9384,289.8635,927.6136,126.2764,226.336,100.9023,30.2802,49.8104,46.0648,73.8195,5.9733,79.5658,88.055,45.9694,396.2556,334.9908,38.5595,9.4442,20.4399,47.0515,3.8634,38.4847,28.1409,16.1777,78.6525,82.1633,66.0244,207.7234,119.9414,59.0421,22.5407,278.3881,10.2919,50.9861,0.0,1422.0117,0.4229,64.5706,318.9011,530.1753,0.0002
BEL_C21,69.2067,0.053,0,0.9618,0.0153,265.515,9.1703,6.9171,9.7629,57.5865,175.1925,2006.8224,30.7748,7.7745,43.3567,13.0589,6.2543,5.4609,13.129,10.2649,2.8588,14.3687,7.9002,8.3204,73.9558,203.287,11.7172,4.3634,16.7606,16.9679,3.3302,21.6959,23.287,26.0246,43.4599,34.9987,6.8811,499.6596,83.3993,51.7574,207.6286,2183.2059,9.8394,10.5565,0.0,1680.6973,1.5146,1730.2406,2464.1889,605.9072,0.0
BEL_C22,16.674,0.1875,0,2.9296,0.021,358.5124,34.4111,28.5111,147.5464,64.0065,300.7189,73.6186,279.6869,46.8664,154.1695,93.3214,25.51,35.3027,91.0698,231.959,14.0511,102.944,13.4162,111.7307,881.3649,211.2357,24.9164,0.757,2.6815,24.1939,1.6779,39.0891,7.2344,5.7863,10.7884,10.6804,84.3295,42.0659,58.1413,44.2355,4.3162,59.493,3.8624,24.8771,0.0,468.624,0.0717,27.9165,223.6812,149.8491,0.0
BEL_C23,13.0838,0.0637,0,12.8267,0.0367,141.1915,7.9779,10.309,13.8773,53.4515,55.2086,87.9588,33.8834,532.5864,153.1318,37.4212,17.8612,19.158,11.527,81.017,2.1424,60.1599,13.0882,19.899,3493.4653,368.5069,18.6554,0.1045,1.0363,16.9534,1.7135,32.5891,1.493,1.6271,8.0345,5.6674,417.3284,32.8785,162.1793,12.7682,22.1831,15.8278,2.5568,12.3913,0.0,392.4726,0.0227,13.3524,122.0018,204.443,0.0003
BEL_C24,0.0,0.0,0,0.0664,0.0332,5.5906,2.3446,6.8209,3.9267,4.039,151.0424,0.7929,53.3429,81.7255,4365.3519,1296.5282,95.4964,256.6043,498.0863,123.7479,16.4109,74.8634,30.6701,9.1857,655.1898,133.9957,19.6682,0.0011,0.0392,16.3183,0.0,0.1782,0.3824,1.7993,0.1453,0.0,31.8531,29.1779,6.7103,11.272,21.9432,14.1077,0.0,0.5245,0.0,9.9737,0.0,0.0,0.0,325.848,0.0
BEL_C25,56.3429,3.5381,0,9.2384,0.1102,251.8696,45.2351,53.6402,71.8863,85.0762,219.8613,40.7576,65.169,73.6895,453.7956,1085.9532,110.6884,64.6254,366.544,348.9799,37.1172,402.7644,48.0581,121.1943,1757.1535,301.9126,66.2929,25.1555,64.3341,108.7166,9.56,53.4026,7.7927,30.9824,26.3292,26.5693,139.7504,160.1718,140.9055,134.9816,19.6936,79.8494,27.6152,27.2765,0.0,555.1524,0.1012,13.2988,3016.5386,244.1814,0.0
BEL_C26,15.2816,0.5167,0,1.4139,0.013,21.4809,4.8964,8.9008,14.3498,15.0968,25.8876,50.3858,7.7463,6.0702,44.7401,21.402,179.1686,37.8159,54.4213,88.5823,6.2731,66.9772,17.1305,31.4964,88.4666,100.9259,17.4157,7.2229,20.7384,12.9861,3.1166,6.6067,4.5447,59.8135,62.2804,40.2367,6.2927,81.1593,56.6828,32.81,7.2565,27.5585,10.4024,11.8677,0.0,403.9207,0.8022,58.5883,1348.6168,62.4049,0.0
BEL_C27,3.6586,0.3,0,0.3328,0.0066,17.5071,2.0024,2.3726,5.4017,10.416,16.2843,24.8107,9.4886,2.8251,12.5913,20.0083,50.5791,110.1924,84.4784,129.1198,1.2682,93.8917,2.5144,4.6333,357.6433,46.6506,3.7126,0.737,2.435,6.4665,3.2304,4.2253,1.5936,12.2182,10.1285,4.2854,15.6073,28.7158,11.982,10.6668,2.5951,5.1521,1.7525,3.3175,0.0,481.8903,0.0219,11.3254,662.1393,58.1438,0.0
BEL_C28,47.235,0.7101,0,1.8605,0.0603,87.8527,6.9232,14.2036,17.1448,49.7695,94.9742,39.8786,10.3176,9.3083,53.9747,59.0442,15.9787,8.3014,774.7949,230.3606,5.1917,156.9807,28.5047,32.1042,351.8302,120.985,26.5728,4.9069,15.225,37.1452,5.1055,16.0213,4.7794,10.0539,21.983,16.6045,24.3932,137.6121,34.0714,29.3993,9.3415,44.6098,8.2576,9.7993,0.0,231.4573,0.1183,28.1209,2554.3767,187.8937,0.0004
BEL_C29,3.3384,0.0896,0,0.384,0.0078,14.8632,4.1337,1.7269,3.306,9.3181,13.6925,45.8708,18.6861,3.3806,12.9275,17.487,5.278,9.9893,35.4751,1514.9546,3.73,17.1609,3.71,11.4785,74.7741,127.5491,55.6541,1.8547,5.924,30.5703,4.2077,4.4851,3.4201,6.3827,17.6891,13.6288,6.5961,79.2443,86.0634,13.9601,3.1043,14.931,2.2488,6.077,0.0,1734.4228,0.0246,30.4769,2483.6831,240.6436,0.0002
BEL_C30,0.0,0.9522,0,0.0,0.0006,0.3061,0.0,0.0,0.0,0.1973,0.4937,0.0,0.7015,0.8994,0.0,0.6769,0.8493,0.0,0.0038,7.3235,220.3684,167.5005,0.0008,0.0,1.5513,22.7186,61.1242,7.1622,37.2399,4.5464,0.0,0.0,0.2842,0.0,0.1894,0.0,0.0,3.2127,164.9053,65.5273,0.0,1.6271,0.765,0.0188,0.0,656.1504,0.0,0.0,110.5185,2.1026,0.0
BEL_C31T33,142.6799,4.8648,0,12.5364,0.0902,217.3726,48.6292,80.1013,151.3372,65.4178,135.0901,84.2192,70.3891,59.2795,433.8304,187.169,49.3557,31.457,146.1432,97.2077,39.7259,459.7141,101.5333,272.5476,364.7123,339.9052,161.4657,68.372,194.1984,102.8793,22.9539,56.5697,27.475,72.7988,34.2134,22.6651,37.69,328.5477,195.361,117.6257,45.0565,351.09,87.4252,53.8453,0.0,1470.3901,0.9028,78.571,1204.5677,34.9035,0.0001
BEL_D,173.2156,0.0548,0,22.7373,0.0924,469.5079,60.6562,61.6462,140.7013,284.414,945.5207,97.1063,106.4542,173.8225,770.9999,99.1383,30.3805,28.8492,63.5299,72.415,14.493,45.7533,1577.1495,186.7497,143.4587,559.5333,229.2065,0.4494,2.1348,147.705,16.8492,145.7297,24.8912,88.2499,119.7078,176.3285,166.7355,298.877,93.1878,155.4446,112.1691,369.66,80.033,82.5627,0.0,5869.6215,0.0028,189.477,47.1279,0.9557,0.0001
BEL_E,16.0839,0.6609,0,5.2316,0.0243,103.0488,16.0376,173.9364,255.1403,108.4132,201.4204,64.3027,105.2769,62.2772,2430.0251,605.297,17.1208,5.553,20.5505,19.898,228.1682,134.1059,30.1819,4203.7547,338.4222,279.2512,40.5377,5.7174,2.3754,51.9323,22.6198,77.476,8.4944,6.9474,16.9063,25.8309,135.9652,139.4914,149.0163,406.121,27.9306,120.7419,26.077,75.629,0.0,2155.122,0.0038,578.7595,99.6262,4.805,0.0002
BEL_F,168.9326,1.3177,0,28.0904,0.1324,197.7092,24.1971,40.4986,84.2632,130.0693,356.8034,414.6383,48.0832,95.816,187.8654,603.477,32.3686,37.7831,81.6007,109.9177,19.4191,488.3838,1346.7021,469.6648,30018.292,1003.1058,258.7463,23.1105,67.7397,401.9402,18.0338,159.6732,46.6048,79.1055,148.7604,387.7666,2103.0266,815.6833,315.6274,504.9005,278.7181,416.7354,136.058,308.7259,0.0,580.3238,0.0274,8.9562,48685.1676,23.6819,0.0001
BEL_G,1130.3743,8.436,0,28.2078,0.1972,5910.1522,558.2496,287.7399,531.635,2291.6437,1800.6315,920.2481,492.9869,428.3672,934.155,485.9891,335.1688,204.9416,566.9958,1169.9383,95.6538,554.7697,322.607,303.251,3264.1059,2296.9927,1382.3889,62.5009,244.2631,929.0588,196.7736,1493.556,248.1358,121.1055,278.6989,348.3694,358.4839,1423.9471,1800.8331,505.4984,247.2895,1656.0814,145.0149,231.6684,0.0,19886.9509,3.8426,1214.5983,5308.6399,1914.9555,0.0227
BEL_H49,126.5844,1.0068,0,25.4873,0.0772,1028.4804,70.1434,108.5574,179.3198,444.1599,413.5247,277.2959,154.9654,256.3744,433.1775,181.0525,33.5311,50.4349,135.9949,177.2419,15.4761,137.0939,270.5808,165.3652,620.1133,1880.941,1657.2224,36.7692,44.2765,777.9628,347.3212,127.928,57.1431,22.4528,62.1136,60.3993,53.2142,203.0241,202.26,98.692,48.9162,206.5449,25.526,86.8859,0.0,1760.2153,0.2137,953.3813,436.1058,951.5527,0.0694
BEL_H50,4.1926,0.0546,0,0.9882,0.0035,53.446,4.8484,3.684,5.8252,51.0136,41.2366,23.0979,8.5062,12.9375,60.3333,25.2824,3.0929,1.8039,8.8385,16.7537,1.346,7.445,3.2441,10.6362,35.4924,215.8717,12.1259,137.0192,3.2989,57.0907,1.9269,6.2953,2.7043,7.9208,2.0783,1.7112,4.0351,10.8022,33.153,2.366,1.268,7.6185,1.2834,1.0149,0.0,82.0668,0.0261,9.8647,31.5053,210.3555,0.0
BEL_H51,9.3717,0.0978,0,0.7596,0.0026,49.7016,4.4017,3.1662,5.2166,61.3192,25.2176,5.4038,5.5137,10.1746,25.4749,6.9205,3.4295,2.6794,7.6666,16.33,1.5839,8.8689,6.0678,1.345,41.3063,15.026,5.3153,0.4527,0.4426,3.0976,0.2787,11.9759,1.3142,1.1031,1.4338,0.8028,3.9816,2.6932,5.1867,2.5656,0.4076,14.7007,0.3626,1.0722,0.0,133.6359,0.0498,9.1174,62.7655,390.7694,0.0
BEL_H52,32.4895,5.4568,0,9.7985,0.0557,359.0499,13.8692,23.0468,38.0019,264.3944,386.6042,63.9045,36.7925,62.7512,186.9882,56.6138,11.954,12.4352,51.0522,98.6365,3.4135,40.9913,52.2908,24.0048,230.0697,2943.8102,3413.4889,364.9838,603.3203,5160.9717,344.6888,32.4833,19.924,9.0469,48.501,17.6051,23.3561,134.4013,171.7549,19.1113,21.0544,50.9225,4.8797,20.9908,0.0,565.7469,0.05,3496.2266,140.106,234.2969,0.0056
BEL_H53,1.7038,0.0597,0,0.3342,0.0054,38.4236,10.1348,2.9575,25.3953,3.5045,23.647,14.3072,15.7849,5.873,13.5437,8.2905,1.9248,3.8282,25.8886,9.0882,0.8149,8.0179,29.3209,26.7411,60.006,629.4701,32.6446,0.4722,2.8106,152.162,395.5479,11.4543,188.9399,148.0212,53.8034,252.6294,48.0168,706.6565,306.5367,662.486,65.5214,195.5828,40.629,76.8883,0.0,201.471,0.0149,2.9172,43.5111,7.0891,0.0002
BEL_I,7.9153,0.057,0,1.1614,0.031,45.8836,12.0766,5.9615,8.9888,44.8281,52.1565,32.7417,21.5856,18.4538,17.0397,40.092,20.4426,13.6394,43.9982,22.4934,4.9291,21.5611,17.1273,11.2488,115.5427,649.5221,45.3807,5.176,243.6111,518.8073,10.1468,78.687,181.0047,16.8429,154.4152,617.5956,33.164,558.9607,1467.911,263.2985,398.1843,618.766,252.202,354.36,0.0,13679.1677,0.0,0.0,0.0,0.0,0.0
BEL_J58T60,2.2606,0.0087,0,0.4834,0.0037,123.9322,16.5808,11.6688,39.7508,16.3173,25.8266,56.3872,7.1398,7.5579,6.0494,15.1403,4.4888,6.2157,7.3746,10.7103,0.9756,15.5326,6.4644,4.4407,46.8291,531.8964,10.4613,0.8124,10.4361,14.3352,4.6428,21.2291,758.1831,90.5716,81.2611,66.6159,16.3563,838.7321,115.7888,57.9957,59.4343,21.2061,52.2623,30.114,0.0,996.2607,0.0789,310.0472,617.2391,22.5777,0.0
BEL_J61,1.3853,0.1487,0,0.725,0.0198,18.8518,3.6608,2.6428,6.4752,24.0255,31.0236,46.4682,9.9027,8.0243,13.5396,19.6175,8.0586,5.0548,13.6379,5.4499,1.624,10.4826,28.8695,26.3713,106.3377,326.7122,64.6534,1.1655,7.2804,52.8825,11.7191,41.6452,68.5727,2046.1778,327.095,1109.3055,61.4941,363.5126,125.434,145.8703,69.324,188.6152,34.6457,46.4418,0.0,3740.4008,0.008,10.5761,136.5735,10.7149,0.0
BEL_J62_63,10.5262,0.0511,0,5.4796,0.0204,83.8617,12.5567,4.8876,21.1184,83.3913,113.972,257.0614,20.3113,14.3928,58.928,67.9073,45.8725,15.2802,52.7773,57.5167,5.3229,31.9622,165.3123,31.0209,127.0851,832.156,158.6534,1.8208,15.7443,156.2127,39.9943,30.5258,85.9629,663.996,3445.2453,1537.5091,24.4378,1696.6738,605.8712,533.3059,49.9402,315.6848,107.9874,84.9883,0.0,267.7599,0.064,73.2649,4672.6114,24.5479,0.0001
BEL_K,220.3574,3.3647,0,33.1353,0.1528,728.2339,59.1181,107.6293,94.6781,482.8834,562.6998,461.3838,107.5414,114.3489,294.3988,216.7675,57.8146,54.419,184.6796,184.699,21.9356,116.7591,853.2596,311.3948,1275.2257,2264.65,433.512,85.2435,41.1881,462.9482,71.5977,325.616,98.2876,355.017,460.2884,10252.4374,4867.7397,3838.3255,1014.6828,1036.6356,105.5704,680.7001,133.536,174.4368,0.0,13003.6183,0.0362,28.6913,396.121,74.9546,0.0
BEL_L,21.2686,0.0001,0,1.7404,0.0326,171.9498,18.6967,7.902,41.4599,10.7984,40.0744,26.7,27.1317,17.1616,19.4855,96.3201,12.3313,11.0941,48.53,73.8627,8.5391,61.0452,37.2191,112.8287,1058.9816,3164.9816,211.8687,3.0182,10.3602,946.7147,68.1599,848.4379,67.4184,126.1546,231.1549,945.3717,2198.2745,2064.0237,617.591,763.159,273.4761,816.9377,271.5121,393.3177,0.0,43682.8315,0.0001,60.1007,314.462,0.3894,0.0
BEL_M,274.6754,1.4273,0,37.2342,0.3276,981.0452,110.7279,91.8442,161.8315,2504.3575,1023.3711,3547.5613,227.866,210.164,289.2226,806.1699,179.8725,90.9436,350.3885,303.2102,71.1959,276.2589,662.4832,534.1892,1949.2944,7674.1272,291.1535,74.569,111.6641,1176.7535,127.3293,599.5163,432.7238,258.5487,1426.2835,4036.9729,691.687,14430.677,2231.3846,1500.3084,321.6148,992.6689,690.964,943.9852,0.0,1374.0306,138.4561,1003.3017,9400.6491,145.8071,0.0
BEL_N,220.1668,0.369,0,21.0022,0.2274,1006.2626,92.6726,67.4668,129.0072,1032.5473,604.5235,3222.8578,207.6015,184.6438,254.6356,338.3517,103.7577,89.8627,293.2772,359.4295,22.5119,218.8786,75.7692,261.5349,1764.1018,3513.2016,514.2654,67.2635,226.3036,1756.7227,151.25,809.8515,431.5176,459.5137,806.5691,1293.4837,823.5631,3701.0528,3712.2464,556.4042,280.4679,1253.3337,232.8375,333.2592,0.0,6205.3224,10.561,63.9053,1575.4998,36.6298,0.0
BEL_O,10.8068,0.1086,0,2.1386,0.0153,55.784,2.418,22.3083,9.1243,17.4257,17.6285,188.8462,9.5243,6.7348,12.8949,15.2967,6.1223,3.5196,9.5945,8.0976,2.9613,11.5535,34.5012,19.0017,76.0772,419.3315,39.8437,4.7089,7.6288,111.7469,7.6119,79.1572,50.7931,48.2843,158.1398,157.6735,87.9397,356.9025,142.277,102.5446,30.9234,105.8974,279.5337,45.0997,0.0,4993.5155,88.7397,38927.0411,971.1651,2.0182,0.0
BEL_P,0.2331,0.0795,0,0.9864,0.0078,8.6536,0.7405,0.2096,3.4985,20.721,18.0318,562.8816,8.0093,4.7009,13.0128,10.1568,5.5458,2.8257,9.809,4.2338,2.7826,12.6377,7.459,7.0173,24.3574,83.8503,14.9785,0.167,4.4664,13.4623,1.3244,3.2269,5.1384,14.8814,75.9087,137.6145,15.3683,291.7174,51.0329,102.997,876.2154,41.3178,20.227,17.2443,0.0,1732.1254,426.125,30909.3902,2285.0775,0.0721,0.0
BEL_Q,0.5236,0.0001,0,0.2043,0.0055,3.3325,0.5486,0.2324,1.289,2.5976,6.0229,24.5041,2.89,2.4096,8.2917,3.9973,2.5708,0.6423,4.3129,2.8905,1.1607,3.8583,2.3294,3.0357,23.0938,26.8813,15.9225,0.344,0.5102,7.0164,0.8652,5.3679,2.1733,10.9245,37.7679,17.7313,2.7008,51.1155,24.2569,99.7092,1.5991,4590.3303,4.2237,13.0887,0.0,16706.1526,2772.0162,36907.6205,106.5286,0.2224,0.0
BEL_R,15.2196,0.072,0,0.5365,0.0025,65.1388,4.3461,3.1457,4.3449,4.0401,18.6537,40.079,5.507,5.6568,10.3442,11.7992,2.1414,3.1391,5.9733,6.4017,3.7313,12.9568,11.1045,10.7653,72.5419,239.6074,18.9729,1.4397,3.603,32.4664,2.8812,123.3744,154.6008,34.3381,45.5573,71.6134,9.549,157.8492,100.618,158.5215,45.123,116.4234,866.4901,26.3946,0.0,3164.4033,232.5989,1536.7645,207.2968,2.8282,0.0
BEL_S,13.3963,0.1448,0,1.5213,0.0105,106.3976,6.0478,4.7254,12.2508,27.2462,80.8821,117.6887,9.8406,17.0538,161.5075,24.8299,6.2541,6.757,14.9064,15.3881,13.8983,16.0076,77.5806,97.775,79.7209,397.5592,54.1374,2.8646,6.1333,104.3676,15.9286,133.1307,32.4941,24.8678,61.3904,491.0406,44.3973,539.3951,202.4271,46.8503,195.8044,772.1964,107.0558,1428.2605,0.0,4806.9373,1964.6733,27.6264,64.3371,5.4994,0.0001
BEL_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.6997,0.0,0.0,0.0,0.0,0.0
