V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T,LTU_HFCE,LTU_NPISH,LTU_GGFC,LTU_GFCF,LTU_INVNT,LTU_DPABR
LTU_C20,49.1022,0.2815,0.789,0.8344,0.0986,18.9931,18.2851,21.8875,22.0468,7.1047,221.957,3.9252,116.5743,6.7858,0.2027,11.9848,1.1543,2.4027,4.185,4.002,4.8579,35.2203,7.0652,4.5567,20.1111,33.2146,65.3153,1.5391,3.6717,3.6367,0.0584,3.1141,1.7622,0.4022,0.6096,0.8947,9.9119,4.3749,3.8354,4.0747,5.0694,8.189,1.0801,3.5633,0.0,283.7984,0.0001,2.1532,32.2904,-3.1194,0.0
LTU_C21,4.3671,0.076,0.0227,0.0174,0.003,2.7581,0.5641,0.6247,0.3089,1.2522,1.7203,0.2841,0.8335,0.1487,0.0172,0.3727,0.1309,0.1255,0.2614,0.0936,0.0791,0.8247,0.3333,0.1309,1.0945,1.0699,1.4143,0.056,0.1826,0.1076,0.0126,0.3796,0.1149,0.0682,0.1431,0.0782,0.427,0.4253,0.2483,0.4516,0.6896,13.8972,0.1189,0.2184,0.0,62.3399,0.0,23.5351,2.7937,-0.3441,0.0
LTU_C22,48.2144,0.2215,0.6687,0.3429,0.042,61.4203,4.8329,2.6395,3.1612,22.8158,6.8893,1.2063,34.6823,3.3172,0.4326,7.1652,5.1545,12.0139,13.0164,2.2772,1.2961,25.272,4.2651,10.8782,41.7335,15.8121,14.8692,0.6805,0.6922,0.6406,0.0747,0.7345,1.1357,0.5027,0.1496,0.5293,9.8721,4.3955,4.5953,14.4222,2.2331,1.7741,0.2796,0.4654,0.0,144.6345,0.0,0.309,8.7692,-1.0615,0.0
LTU_C23,11.0271,0.3599,0.0326,0.1023,0.0527,22.6172,0.9738,24.0211,1.2704,0.8569,0.5331,0.7902,13.3358,25.9083,0.0339,7.6944,2.143,6.2505,1.0018,0.8709,0.9036,6.9433,0.6345,3.6823,183.7219,4.9857,1.0157,0.4873,0.1263,3.5858,0.0094,1.6462,0.9939,1.5626,0.2785,0.1592,108.4197,1.9662,2.4877,0.7326,1.5896,0.8247,0.1706,0.1594,0.0,74.419,0.0,0.2314,2.5482,0.065,0.0
LTU_C24,0.4094,0.0018,0.0,0.0491,0.018,0.022,0.1835,0.0421,0.0316,0.0154,0.1702,0.0388,0.1756,0.2006,2.2105,16.5898,1.0459,5.3246,10.6103,2.5891,0.4741,1.9234,0.3633,1.0534,27.2579,0.8409,0.1336,0.0195,0.0006,0.3406,0.0,0.0064,0.0001,0.0013,0.0,0.0519,0.8387,0.3443,0.1836,0.0006,0.0272,0.0169,0.0053,0.1903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTU_C25,11.6742,0.4463,0.1693,0.1824,0.1062,10.4301,2.688,16.7512,3.789,13.7731,1.3724,0.1348,4.1237,2.156,0.4869,88.2235,2.5499,7.0669,11.75,19.8633,6.2223,40.4024,2.0096,1.4766,96.4281,10.6076,5.5025,0.452,2.1401,1.6668,0.0345,1.6034,0.7862,1.7683,1.3691,1.3635,10.3713,3.5118,5.4826,2.1712,1.143,4.965,0.9152,0.5597,0.0,178.7782,0.0,0.5623,79.0423,-14.4227,0.0
LTU_C26,1.2556,0.045,0.0331,0.0308,0.0084,1.7823,0.7076,0.5775,0.1871,0.981,0.5252,0.0176,0.3609,0.1515,0.011,3.3576,21.804,2.95,18.083,0.2198,0.1076,2.3162,1.3154,0.4426,3.0321,7.474,7.4864,0.0469,2.1475,0.3265,0.1211,0.4146,1.0511,3.3451,9.3943,1.9829,0.8178,2.5542,1.7118,4.0557,1.2498,2.1715,1.2442,6.043,0.0,102.3772,0.0,0.2216,147.2075,-56.1819,0.0
LTU_C27,1.2655,0.0239,0.043,0.0543,0.0109,1.4288,0.48,0.6336,0.1988,1.2338,0.3054,0.0177,0.5115,0.1945,0.0191,9.4565,1.356,23.9168,2.8137,2.5119,0.4656,6.9821,1.0962,0.3162,12.3963,10.741,1.1173,0.0859,0.1836,0.4926,0.022,0.1973,0.649,0.4741,0.1751,0.4268,1.0114,0.4518,1.8611,0.5014,0.4442,0.984,1.5221,0.4494,0.0,93.8419,0.0,0.0526,44.1254,-10.516,0.0
LTU_C28,14.9933,0.2055,0.715,0.3325,0.0753,14.2411,2.0986,2.0863,1.3951,1.265,0.6297,0.0685,0.5539,0.7483,0.0294,5.4308,3.9257,1.7213,19.5906,1.4677,0.2393,12.3614,2.6973,1.14,19.1925,7.7865,4.0641,0.354,1.6359,0.7238,0.0493,0.8307,0.317,0.5952,1.6945,0.5341,2.1249,4.827,5.9707,2.0293,1.4046,1.7344,0.4958,1.2572,0.0,67.2341,0.0,0.2187,208.8183,-67.1251,0.0
LTU_C29,1.6088,0.0579,0.0729,0.0667,0.0085,2.049,0.4403,0.5225,0.1161,0.2447,0.0493,0.0108,0.0679,0.1795,0.0082,0.2348,0.3406,0.4828,1.1054,17.7501,0.302,1.5788,0.2344,0.7449,5.1045,25.2861,27.6228,0.0429,0.7529,0.6589,0.0444,0.1842,0.0828,0.0762,0.3327,1.5794,0.921,1.298,6.9849,1.0801,0.3202,0.1981,0.7815,0.2687,0.0,147.6343,0.0,0.0007,199.9244,-86.2312,0.0
LTU_C30,0.203,3.4486,0.0178,0.0159,0.0003,0.0,0.0,0.1276,0.0027,0.0028,0.0005,0.0,0.0,0.0443,0.0,0.0,0.0,0.0,2.007,0.137,5.0108,24.5803,0.0027,0.0058,0.8687,0.0965,3.3097,2.4184,2.404,0.2953,0.0,0.0,0.2234,0.0,0.0,0.0136,0.0,0.9025,3.4329,4.0596,0.1077,0.1839,2.6978,0.0059,0.0,48.9142,0.0,1.7472,51.9779,-11.2838,0.0
LTU_C31T33,35.5665,0.3586,2.5272,2.1003,0.2578,36.9933,10.1974,23.4907,5.7552,13.3787,18.8132,0.6446,6.3563,7.8195,0.1139,10.2903,1.6727,4.1593,4.3922,2.6925,2.7191,103.0513,20.359,11.926,52.7925,40.5766,94.7384,2.6813,25.2586,14.1373,0.372,6.0092,5.7122,7.8087,6.243,10.1062,15.4415,24.87,24.033,27.2363,16.5914,113.06,8.0089,4.294,0.0,655.5428,0.0001,8.1396,55.4851,-5.379,0.0
LTU_D,75.249,0.4719,2.3759,3.3909,0.2421,103.7335,31.5431,33.7395,32.0061,22.9125,83.9803,2.1926,39.502,29.187,4.7381,26.933,14.4961,24.3243,17.5211,2.7428,1.0047,54.8492,89.9709,23.6697,16.0887,107.5411,17.1516,0.3918,10.1772,11.6554,2.3854,35.6232,2.4996,36.0305,17.1321,12.943,95.1772,23.0203,21.2739,72.6785,30.0605,52.4902,31.7378,10.3062,0.0,971.7568,0.0,21.5641,2.567,0.0239,0.0
LTU_E,4.6205,0.1088,0.3204,0.2842,0.0861,44.6481,4.9498,3.7637,5.5482,5.5841,5.0268,0.3657,4.426,4.9261,0.128,1.9761,0.7947,1.0895,1.6732,0.6889,0.7071,9.7589,68.7096,104.4743,10.6538,76.7846,5.225,0.3202,2.8817,8.1388,0.1708,7.5802,1.7728,0.8644,1.2242,2.1163,31.137,14.2267,10.4504,10.537,9.5492,19.278,6.3562,4.5961,0.0,255.5313,0.0,110.6152,15.4023,0.1039,0.0
LTU_F,45.5675,2.9485,0.1567,1.7885,0.1923,45.4409,14.6913,5.6281,4.9336,25.4196,21.7468,0.6084,4.9078,5.1616,0.1382,14.1821,2.1934,2.3629,14.5024,6.9235,1.3183,20.3491,122.1306,18.169,455.6936,56.8136,27.0637,0.3429,5.8971,50.024,0.5829,9.1252,1.3588,27.5451,10.6064,10.1097,94.7886,36.5464,20.1756,50.7712,32.5873,19.8916,13.3281,25.7755,0.0,224.5108,0.0006,3.7667,4813.1519,-4.3833,0.0
LTU_G,295.576,13.6443,4.188,3.227,0.5828,489.9307,64.833,106.0459,41.4688,170.1493,139.1387,5.1063,61.5875,24.9633,3.2153,62.6868,24.333,24.1415,52.5811,39.3826,10.34,144.6005,68.0491,26.9262,219.033,235.8166,298.1128,9.3478,53.9719,23.6335,3.9336,65.2448,22.2733,16.4769,33.4083,24.9188,91.7053,63.0275,85.3872,90.8441,31.7612,100.3553,21.5558,16.7065,0.0,3765.6292,1.3953,71.3929,570.6394,1.4933,0.0
LTU_H49,97.8743,1.3991,19.6103,6.5915,0.3936,167.3171,19.582,47.6828,33.3119,168.1703,81.1406,1.4231,24.9543,37.2933,1.1785,41.2545,3.3561,32.5759,21.6658,15.9116,3.1486,82.5133,43.2952,22.5954,103.3709,326.3551,725.6047,6.3507,5.3447,711.8831,0.9529,30.0226,3.2332,3.8728,5.5083,3.4768,14.0522,12.5251,39.8582,17.7119,6.0163,9.3009,3.3058,3.9502,0.0,537.8475,0.001,71.8945,65.9174,112.1234,0.0
LTU_H50,0.9538,0.0201,0.032,0.0249,0.0019,0.8171,0.2799,0.0561,0.2414,7.4164,0.046,0.0099,0.2822,0.3239,0.0732,0.61,0.0889,0.2577,0.3395,0.364,0.0223,0.6052,1.2221,0.1031,1.6684,0.7306,0.431,0.0163,0.2384,0.038,0.0123,0.2306,0.0297,0.0561,0.1031,0.0873,0.6663,0.2736,0.5321,0.2475,0.1105,0.3241,0.0585,0.0737,0.0,4.8524,0.0001,0.5042,4.2282,44.34,0.0
LTU_H51,1.4046,0.0349,0.0802,0.0814,0.0027,2.7255,0.4484,0.6299,0.4285,13.7015,2.6312,0.027,0.5738,0.6299,0.1158,0.737,0.0891,0.453,0.5374,0.357,0.0379,1.0709,1.7724,0.2043,2.5898,1.262,3.8797,0.1248,0.0797,0.7591,0.0185,0.3869,0.0507,0.0658,0.0397,0.0718,0.6263,0.1239,0.2741,0.1078,0.0512,0.4246,0.0653,0.0743,0.0,4.4759,0.0002,0.858,5.3115,55.8576,0.0
LTU_H52,12.8261,0.5473,0.242,0.2357,0.0416,21.1031,2.4403,5.4607,1.9653,19.2293,6.6758,0.2642,3.155,1.8605,0.2343,3.6558,0.9313,1.2824,2.5122,1.545,0.4721,6.8254,3.8223,1.5047,16.3006,18.645,65.2289,2.5842,1.7603,16.2427,0.2207,2.321,0.8932,0.7326,1.3383,1.1048,5.4359,2.0596,2.7776,2.8964,1.077,3.4632,0.95,0.6363,0.0,118.0204,0.0004,5.9213,20.3635,23.4272,0.0
LTU_H53,0.9298,0.0326,0.0832,0.0184,0.01,1.8108,1.3544,0.2799,1.5641,0.2509,0.4346,0.051,0.4947,0.1287,0.0279,0.7038,0.2768,0.2828,0.6759,0.1246,0.0774,0.7146,0.8141,0.5209,0.7111,13.0293,1.5054,0.0771,0.6007,15.1209,18.7188,0.4495,5.7964,0.6133,0.9979,10.3116,2.3685,7.2649,2.6539,15.5723,1.4414,1.9014,0.6539,0.8694,0.0,27.6316,4.4553,1.2446,0.6251,0.2654,0.0
LTU_I,2.8681,0.0068,0.1246,0.0385,0.0713,1.6314,0.8006,1.1581,0.1218,1.6772,0.9292,0.6786,0.2519,0.273,0.5992,0.3292,0.4182,0.2704,0.7127,0.3712,0.2763,2.5533,0.1247,1.0563,4.0751,4.5807,0.1729,0.1113,1.7033,0.442,0.075,5.2804,0.3536,0.3714,3.3458,2.7265,0.4587,3.2179,22.7861,2.3141,6.2953,15.009,2.1696,0.4285,0.0,1062.3558,0.0,6.3628,0.0,0.0,0.0
LTU_J58T60,0.644,0.3946,0.0288,0.0257,0.0094,1.7466,0.3655,0.2823,0.1786,0.3528,0.3537,0.0247,0.1649,0.118,0.0703,0.1715,0.0925,0.2398,0.2415,3.024,0.2422,0.5048,0.6459,0.3789,0.5568,7.0368,0.8803,0.1067,0.2136,0.7373,0.1297,0.3925,24.5733,4.0774,12.6712,3.5871,1.1391,26.2075,3.3673,4.4628,3.3879,0.9461,1.7211,0.8491,0.0,214.4122,0.0,27.6515,42.9189,0.319,0.0
LTU_J61,6.4003,0.4201,0.262,0.0714,0.0485,10.7915,2.2115,2.4077,1.2028,4.6462,2.8781,0.3551,1.572,0.6993,0.161,1.8898,1.0604,1.2497,2.6183,0.4852,0.3895,3.4493,4.2186,1.6116,5.8825,25.765,8.8539,0.4,1.5148,1.079,1.6083,1.7283,3.8261,28.3909,15.9842,7.829,5.6035,17.4419,9.0265,4.4216,2.5625,4.9191,3.5705,1.5063,0.0,500.6852,0.0001,3.8556,44.6423,0.3581,0.0
LTU_J62_63,4.0733,0.1676,0.4483,0.064,0.0386,9.4925,4.0149,3.1654,2.8125,2.6245,2.4981,0.4479,1.0017,1.0771,0.0428,1.5111,1.0931,2.3869,4.039,1.8624,0.301,3.6362,17.013,2.4288,8.3617,71.3667,28.726,0.6321,11.5756,3.0603,2.0561,2.3522,17.451,26.723,48.4609,36.3928,4.481,36.6843,11.7706,19.689,11.8688,5.7361,4.5743,3.4548,0.0,113.4396,0.0,5.2191,626.0321,1.3607,0.0
LTU_K,26.3383,0.6784,1.157,0.5597,0.3057,25.3688,8.8446,7.391,5.4115,18.5003,11.6589,1.3759,5.5172,2.7587,0.632,6.4083,2.8143,6.0409,5.8514,3.5837,2.0461,14.8361,13.2991,4.8072,28.5919,92.8307,48.9492,3.4147,3.8862,10.8251,1.4326,5.9321,3.0423,5.3098,16.5408,190.2071,76.6609,33.7097,28.2451,100.4584,6.9241,12.034,5.3709,14.0971,0.0,664.8438,1.8941,97.4767,21.7985,0.4422,0.0
LTU_L,60.8795,0.6229,0.3581,0.4009,0.0823,15.2139,10.7354,3.4101,2.2582,2.7169,1.9401,3.3616,12.2954,2.9492,2.3199,11.8207,12.5991,9.8968,19.5157,4.5146,1.1835,61.0128,32.0962,7.7231,63.3259,453.791,94.3793,0.3525,5.35,28.5159,4.9205,74.6199,23.7642,49.8041,123.5949,80.1708,231.2447,91.8347,111.7522,88.0384,20.4241,38.2756,56.4457,44.2247,0.0,2228.903,0.0949,11.0327,183.6134,0.1526,0.0
LTU_M,93.2726,0.2752,1.8541,0.8397,0.9328,75.38,15.9524,16.9939,7.7488,11.3244,29.9022,7.5662,7.9213,7.9421,0.4115,8.6292,3.8125,16.1262,7.7984,4.0483,2.881,73.2836,59.9305,12.3388,190.0927,261.2462,72.7553,6.544,31.2429,26.1352,2.2388,22.7355,24.8001,46.9623,99.7176,102.8447,61.0514,335.5217,127.6601,62.3346,19.5407,21.8957,21.9513,17.0977,0.0,169.7081,3.6197,6.1816,364.5938,2.1305,0.0
LTU_N,34.2363,0.9734,2.3103,0.9588,0.589,77.1859,8.9596,11.8373,4.2311,8.8684,13.0629,0.9951,6.2296,3.7895,0.5938,10.4534,8.0645,7.9038,15.357,3.0521,5.0964,20.4771,107.4698,15.5001,135.3744,175.3639,62.4011,7.3735,63.0538,27.8874,6.0621,14.6195,12.1278,31.3754,56.3097,42.3273,110.7717,160.9883,272.3408,63.524,44.5883,27.411,19.9761,8.4574,0.0,436.0206,0.0219,2.7163,67.9493,1.9248,0.0
LTU_O,5.5612,0.0788,0.3578,0.1322,0.0521,6.9323,1.407,1.063,0.9398,4.7278,9.4642,0.7229,1.5806,0.6761,0.2486,2.6766,0.882,1.6753,2.4929,0.6361,1.07,8.3124,2.9978,1.0347,3.9919,17.501,5.4364,0.3407,1.3102,2.3176,0.5668,2.6061,1.3534,3.4831,5.6534,14.4235,13.0833,67.7244,6.1639,34.2009,1.6384,6.3008,1.7942,3.1911,0.0,153.8786,0.2162,3554.6401,6.1263,0.0533,0.0
LTU_P,2.3014,0.0176,0.0239,0.0754,0.0085,6.6757,3.2578,1.1327,0.5131,0.3739,1.3121,0.7614,0.455,0.2338,0.0242,0.8624,2.4617,0.6645,1.503,0.629,0.3704,5.6329,5.2599,1.0775,5.3546,11.5989,2.3221,0.4066,3.8393,1.3053,0.1794,0.7196,0.5683,2.9795,29.1528,16.5426,3.5328,20.1004,6.8685,15.9136,32.781,8.691,2.7527,0.7588,0.0,325.7716,4.0977,1977.8408,84.4359,0.0196,0.0
LTU_Q,0.7519,0.0603,0.4466,0.0033,0.0066,1.595,0.6245,0.1649,0.2779,2.4661,0.229,0.0605,0.5467,0.1151,0.0162,0.1921,0.0863,0.1463,0.6999,0.0952,0.2274,1.5733,1.0297,0.2172,0.537,1.9252,0.9828,0.054,0.1564,1.3631,0.0411,0.4672,0.127,0.1877,0.3744,0.3798,0.1108,1.2553,0.869,3.9156,0.649,33.4169,0.4362,0.5942,0.0,622.5009,4.9225,2172.2794,5.2245,0.0086,0.0
LTU_R,0.7225,0.6097,0.1021,0.0291,0.0015,1.0327,0.7123,0.1592,0.0661,0.1093,0.4602,0.0059,0.1566,0.0799,0.0116,0.3795,0.1821,0.0491,0.4042,0.1329,0.0167,1.3625,1.5245,0.2616,0.6026,3.3071,0.5907,0.2061,1.4851,0.5973,0.0589,0.6557,2.8579,0.9585,3.9828,3.6837,1.0781,3.1404,11.8116,4.3672,4.9148,7.0417,57.1023,2.3688,0.0,458.5402,8.5068,280.0992,4.4165,0.0348,0.0
LTU_S,6.0305,0.4036,0.5301,0.3801,0.0194,4.1131,1.2467,0.8271,3.8095,0.1909,2.0032,0.0055,0.7351,0.661,0.1015,0.1637,2.5864,2.8271,0.2487,0.6028,0.0905,0.5425,3.6968,4.1564,1.6569,10.4683,1.1428,0.3843,1.0546,1.2888,0.4088,4.3095,2.0146,1.3798,8.399,9.0322,0.8352,14.7875,4.278,11.1798,11.7348,2.7918,2.1687,3.2618,0.0,505.7502,61.6311,2.1961,2.1168,0.0042,0.0
LTU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2211,0.0,0.0,0.0,0.0,0.0
