V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T,LAO_HFCE,LAO_NPISH,LAO_GGFC,LAO_GFCF,LAO_INVNT,LAO_DPABR
LAO_C20,5.8034,0.0245,1.6034,3.6367,0.4392,1.1561,0.3859,0.3326,0.1552,0.1582,0.5296,0.0407,0.3013,0.095,0.0251,0.0767,0.1274,0.147,0.0012,0.0307,0.002,0.1321,0.5915,0.3449,5.0727,4.5711,4.9771,0.0017,0.012,0.0111,0.0287,1.3707,0.0777,0.1126,0.0279,0.6759,0.0338,0.2124,0.0797,2.3613,0.2093,0.162,0.0588,0.3607,0.0,5.958,0.0307,0.0,0.0014,-0.0697,0.0
LAO_C21,2.1315,0.0362,0.2606,0.4658,0.0312,0.4538,0.0481,0.0559,0.0108,0.0308,0.0701,0.2597,0.0231,0.0101,0.0047,0.0116,0.0254,0.0126,0.0002,0.0032,0.0003,0.0194,0.1098,0.0509,0.7294,1.2763,1.0612,0.0007,0.0053,0.0028,0.0153,0.3872,0.0113,0.0534,0.0114,0.284,0.0047,0.3427,0.0139,2.6766,0.1448,0.8001,0.0342,0.1203,0.0,7.0922,0.0325,0.0,0.0009,0.0005,0.0
LAO_C22,2.9087,0.0672,0.866,1.8307,0.2941,0.7413,0.1899,0.1812,0.0269,0.0892,0.2344,0.051,0.1142,0.045,0.0127,0.0762,0.0527,0.0584,0.0007,0.0355,0.002,0.0832,0.3088,0.2242,2.7077,2.8513,2.8808,0.002,0.0084,0.0107,0.0225,0.8389,0.0611,0.0802,0.0192,0.4687,0.0168,0.2096,0.0379,2.5748,0.174,0.4149,0.0411,0.173,0.0,6.3907,0.0,0.0,0.0047,0.0033,0.0
LAO_C23,0.1001,0.0019,0.3481,0.8709,0.1452,2.0503,0.0,0.0001,0.0,0.0873,0.2212,0.0559,0.0944,3.6283,0.1813,0.4842,0.1781,0.1825,0.0032,0.2258,0.0133,0.4414,0.1231,0.8555,153.5676,0.4546,0.1185,0.0035,0.0012,0.0012,0.2237,0.2851,0.2058,1.6743,0.0842,0.0,1.8494,0.3516,0.1471,2.1916,0.0,0.0001,0.2682,0.4665,0.0,23.3607,0.0,0.0,0.0002,-0.1433,0.0
LAO_C24,0.2585,0.0097,0.579,1.0221,0.1811,2.1077,0.0323,0.0619,0.0113,0.0074,0.0269,0.002,0.0088,0.0651,0.4885,1.368,0.3694,0.6527,0.0037,0.1457,0.0073,0.1779,0.7454,0.2187,9.0423,2.7745,0.8379,0.066,0.0243,0.0206,0.0295,0.0759,0.015,0.2307,0.0163,0.1081,0.0694,0.0738,0.0233,0.9039,0.0403,0.0228,0.0134,0.5008,0.0,7.293,0.0,0.0,0.1723,-0.0046,0.0
LAO_C25,0.4287,0.0105,0.3804,0.7029,0.1478,1.9453,0.0399,0.0754,0.0074,0.0068,0.0155,0.0023,0.0047,0.0291,0.027,0.2524,0.1481,0.1782,0.0015,0.1064,0.0082,0.0545,0.5616,0.1092,6.5769,3.4269,0.8195,0.0472,0.0208,0.0211,0.0344,0.1193,0.0185,0.3184,0.0192,0.1241,0.0939,0.0671,0.04,1.7114,0.0567,0.0283,0.022,0.2573,0.0,94.8834,0.0012,0.0001,0.7518,-0.0039,0.0
LAO_C26,0.0286,0.001,0.0464,0.0682,0.0209,0.1738,0.0038,0.0061,0.001,0.0007,0.0032,0.0007,0.001,0.0048,0.0055,0.0466,0.1286,0.0204,0.0002,0.016,0.0016,0.0141,0.0857,0.0116,0.3783,0.3769,0.0727,0.0069,0.0021,0.0029,0.0013,0.0075,0.007,0.0431,0.0092,0.0146,0.0064,0.0114,0.0036,0.1528,0.004,0.0068,0.003,0.0604,0.0,2.4562,0.0015,0.0,25.132,-0.0491,0.0
LAO_C27,0.0436,0.002,0.0909,0.1278,0.0193,0.2069,0.0045,0.0094,0.0009,0.0007,0.0028,0.0004,0.0013,0.008,0.0157,0.0691,0.0552,0.1016,0.0005,0.0322,0.0022,0.0165,0.1589,0.0121,1.6879,0.3471,0.1328,0.0088,0.0016,0.0025,0.0007,0.0095,0.0046,0.0212,0.0029,0.0068,0.0105,0.0081,0.0032,0.0828,0.002,0.003,0.0022,0.0302,0.0,2.6665,0.0006,0.0,23.0325,-0.0441,0.0
LAO_C28,0.0064,0.0002,0.0026,0.0044,0.0006,0.0091,0.0007,0.0012,0.0,0.0001,0.0,0.0,0.0,0.0001,0.001,0.0047,0.0008,0.0009,0.0001,0.0073,0.0006,0.0025,0.0042,0.0009,0.0242,0.0135,0.0027,0.0004,0.0001,0.0004,0.0006,0.0024,0.0,0.003,0.0,0.0017,0.0005,0.0001,0.0002,0.0078,0.001,0.0001,0.0,0.0009,0.0,0.0505,0.0001,0.0011,0.4243,0.0,0.0
LAO_C29,0.0177,0.0004,0.0212,0.0438,0.006,0.0873,0.0021,0.0032,0.0004,0.0003,0.0009,0.0001,0.0004,0.0026,0.0048,0.0257,0.0196,0.0162,0.0002,0.0604,0.0007,0.0084,0.0383,0.0105,0.4386,0.1719,0.0471,0.0037,0.0019,0.0013,0.0047,0.0041,0.0013,0.0106,0.0006,0.0073,0.0033,0.0022,0.0024,0.0448,0.0016,0.0009,0.0017,0.0076,0.0,1.8928,0.0002,0.0012,11.9428,-0.0066,0.0
LAO_C30,0.0028,0.0004,0.0059,0.0106,0.0012,0.007,0.0003,0.0004,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0002,0.0012,0.0023,0.0014,0.0,0.0097,0.0017,0.0012,0.0039,0.0012,0.0463,0.0212,0.0039,0.0023,0.0013,0.0002,0.0003,0.0005,0.0003,0.0006,0.0001,0.0011,0.0003,0.0004,0.0003,0.0137,0.0002,0.0001,0.0004,0.0032,0.0,0.0489,0.0,0.0005,1.7957,0.0,0.0
LAO_C31T33,11.3139,3.6825,4.0666,8.609,1.0473,2.4289,0.5981,0.5443,0.082,0.0385,0.2155,0.045,0.0519,0.3066,0.0941,0.3014,0.1851,0.2409,0.0021,0.093,0.0267,0.3017,8.6989,0.7493,5.5061,6.3782,2.822,0.5648,0.3083,0.1151,0.0787,0.9632,0.0746,0.5577,0.08,2.0506,1.0208,0.9849,0.1914,5.8938,0.442,0.7139,0.1888,0.3236,0.0,16.8582,0.0045,0.0007,60.6962,0.0327,0.0
LAO_D,2.5294,0.0395,9.9187,21.8636,1.3584,5.4939,0.6026,0.4975,0.0849,0.0625,0.1881,0.0189,0.0707,0.5838,0.0671,0.0997,0.0837,0.0821,0.0034,0.0704,0.005,0.2546,19.2389,1.3031,1.7946,16.9547,0.1562,0.0029,0.0028,0.0049,0.0512,7.0885,0.5075,0.808,0.0721,3.0339,0.4446,0.373,0.0547,11.6742,0.8713,0.4785,0.5938,0.761,0.0,35.6127,0.0201,0.0068,0.0,0.0,0.0
LAO_E,4.9265,0.0818,14.421,28.7789,2.1344,11.5757,0.8188,0.5313,0.0808,0.0846,0.2057,0.0307,0.0646,0.4701,0.0617,0.124,0.0731,0.0574,0.0028,0.0516,0.0054,0.2066,14.2868,4.5282,3.3448,21.0803,0.9727,0.0128,0.0077,0.0084,0.1139,14.9161,0.3251,0.7207,0.1141,4.7119,1.0391,0.5583,0.1185,23.3018,1.39,0.7698,0.8273,1.1288,0.0,182.1998,0.5133,0.0579,27.6692,0.0,0.0
LAO_F,12.1828,0.2437,15.9365,27.8322,4.4476,0.2554,1.0147,0.1223,0.0136,0.0004,0.0003,0.0001,0.0001,0.0004,0.0102,0.0358,0.0123,0.0116,0.0009,0.027,0.0028,0.0143,17.3142,4.6769,648.6357,139.834,0.5829,0.0007,0.0029,0.0041,0.5668,19.0132,1.5146,5.0486,0.8778,1.757,106.2394,4.4634,0.6421,311.6791,26.007,4.5874,2.0508,7.1269,0.0,171.2156,0.0698,0.0087,1887.8252,0.0,0.0
LAO_G,92.2863,8.8511,17.5304,38.3101,5.3426,207.7078,43.168,30.3101,4.4607,2.0802,4.9309,0.6666,1.8002,4.1845,3.6231,9.6026,3.8822,5.168,0.0418,2.5043,0.1779,10.4464,21.0092,6.2347,182.106,75.3927,25.293,13.1481,3.2809,4.8084,1.9269,63.2333,1.6964,7.9606,0.7099,8.4635,1.8258,3.7958,2.4956,56.6564,3.5649,3.7321,1.4043,6.1379,0.0,1235.2396,0.1816,0.0797,188.0726,2.3791,0.0
LAO_H49,5.3308,0.2852,3.2296,6.5599,0.5932,16.3358,1.6763,2.1775,0.2943,0.586,1.6344,0.1831,0.5723,0.5339,0.3789,1.1091,0.3956,0.4909,0.007,0.4114,0.0248,0.9423,3.8966,1.2452,45.6465,73.5924,8.2443,0.5325,0.1619,0.2097,0.8466,7.0532,0.4481,1.9005,2.3709,13.5061,0.6363,6.6859,2.3448,45.1612,3.4084,0.5509,0.3857,2.6903,0.0,93.6257,0.0397,0.0024,4.6007,0.0,0.0
LAO_H50,1.774,0.1994,0.6398,1.5663,0.1692,4.0704,0.57,0.7727,0.1209,0.0542,0.0883,0.0069,0.0331,0.2111,0.1349,0.358,0.1331,0.2158,0.0011,0.0579,0.0035,0.2589,0.698,0.1551,5.1362,0.2104,0.203,0.0576,0.0902,0.0001,0.0562,0.7352,0.033,0.0992,0.0382,0.154,0.0361,0.1891,0.1298,0.0702,0.0598,0.0587,0.0195,0.097,0.0,26.5964,0.0029,0.0162,5.9904,1.9742,0.0
LAO_H51,0.0608,0.01,0.0271,0.1015,0.005,0.1563,0.0477,0.042,0.0069,0.0,0.0126,0.006,0.0107,0.0151,0.0133,0.0259,0.0017,0.012,0.0,0.0024,0.0045,0.0117,0.025,0.0076,0.0792,0.0193,0.0113,0.0108,0.0054,0.0064,0.0067,0.0126,0.0145,0.0099,0.0031,0.014,0.0084,0.0206,0.0186,0.006,0.0057,0.001,0.0152,0.0195,0.0,0.8961,0.0035,0.0,1.1312,1.3663,0.0
LAO_H52,0.5016,0.0398,0.3192,0.5931,0.0567,1.7237,0.1513,0.2235,0.0304,0.0545,0.1391,0.0233,0.0529,0.0498,0.0283,0.0778,0.0396,0.0447,0.0007,0.0244,0.0016,0.0958,0.3558,0.1279,4.216,6.7438,0.9374,0.3175,0.0271,0.5554,0.1484,0.6375,0.0393,0.3214,0.1999,1.0863,0.0512,0.4188,0.3425,4.1997,0.2712,0.0441,0.0259,0.2043,0.0,6.5833,0.0199,0.0032,0.4538,0.0273,0.0
LAO_H53,0.5391,0.0173,0.0381,0.0735,0.0122,0.3165,0.0377,0.082,0.0027,0.0134,0.0267,0.008,0.0105,0.003,0.0038,0.0186,0.0014,0.0009,0.0002,0.0075,0.0007,0.0374,0.6153,0.2147,0.4827,6.4273,0.4218,0.0679,0.0674,0.1855,3.1885,0.4873,0.157,5.4272,0.1314,2.2183,0.0332,0.3492,0.1945,9.5603,0.6004,0.0199,0.1423,0.3783,0.0,35.5315,0.0059,0.0015,0.2281,0.014,0.0
LAO_I,0.1664,0.0071,0.0069,0.0081,0.0027,0.0298,0.0005,0.0168,0.0022,0.0063,0.0146,0.0045,0.0065,0.0044,0.001,0.0041,0.0052,0.0029,0.0004,0.0051,0.0005,0.0041,0.1867,0.0468,0.3318,1.9354,0.0691,0.0002,0.0004,0.0002,0.0099,0.5083,0.0535,0.0745,0.5481,1.0764,0.0242,1.1105,0.3139,5.3679,0.3509,0.0175,0.0313,0.1441,0.0,365.0382,0.0804,0.0041,0.001,0.0,0.0
LAO_J58T60,0.0269,0.0008,0.0005,0.0005,0.0001,0.0283,0.0094,0.1533,0.0046,0.009,0.0073,0.0022,0.002,0.0023,0.0001,0.0002,0.0013,0.0008,0.0,0.0003,0.0,0.0464,0.0076,0.0293,0.2141,0.2736,0.0057,0.0004,0.0003,0.0003,0.0165,0.1679,0.0797,0.1558,0.0153,0.0787,0.0012,0.0597,0.0065,0.7798,0.0501,0.0058,0.0208,0.0166,0.0,37.4806,0.193,0.0,0.0012,0.0091,0.0
LAO_J61,2.1665,0.0672,0.1772,0.2523,0.0481,1.0322,0.1218,0.3025,0.0078,0.0423,0.0797,0.0209,0.0347,0.0112,0.0128,0.065,0.0047,0.003,0.0008,0.0235,0.0022,0.1206,1.9548,0.6039,2.2974,18.5958,1.7112,0.299,0.3257,0.5933,0.3002,2.459,1.0666,19.5083,0.749,6.6592,0.1291,1.2698,0.6482,25.727,2.0574,0.0909,0.4952,1.039,0.0,199.3493,0.0465,0.0021,0.4837,0.013,0.0
LAO_J62_63,0.1096,0.0036,0.0576,0.1,0.0162,0.7148,0.0453,0.0347,0.0039,0.051,0.0756,0.0202,0.0427,0.0066,0.0063,0.0249,0.0222,0.0134,0.0006,0.0098,0.001,0.0117,0.093,0.0287,1.0138,4.6158,0.3323,0.0005,0.0019,0.0014,0.0317,0.5221,0.0518,0.5038,0.6096,3.3248,0.0754,0.2768,0.0634,4.7306,0.3572,0.0176,0.0283,0.1666,0.0,14.1627,0.0183,0.0025,0.0078,0.0137,0.0
LAO_K,8.3431,0.1521,5.6665,9.2211,1.1013,5.4984,2.3096,3.2667,0.3007,0.5084,2.0981,0.396,0.8667,0.677,0.1818,0.5418,0.2035,0.2177,0.0044,0.2209,0.0176,1.0265,7.5249,1.5942,25.6484,135.2348,8.8254,1.0557,0.3614,0.8441,0.3286,27.8166,0.8327,3.0495,1.0718,309.9674,2.6293,3.0981,1.5602,49.6612,3.8775,0.1905,0.7941,4.7303,0.0,410.8094,0.5533,16.0086,10.6411,0.0588,0.0
LAO_L,0.683,0.0192,0.0271,0.0482,0.0082,0.2994,0.0984,0.1125,0.0213,0.0344,0.0825,0.0222,0.0336,0.0099,0.0025,0.0138,0.0516,0.0416,0.0044,0.0688,0.0061,0.0528,0.0736,0.3647,0.7665,41.5356,0.4559,0.0002,0.0029,0.0032,0.0328,4.8793,0.4602,0.389,0.233,14.62,1.715,0.7413,0.1882,7.3671,4.7453,0.0309,0.4849,1.292,0.0,807.8177,0.3371,0.0499,0.0097,0.0008,0.0
LAO_M,0.6675,0.021,0.2833,0.4067,0.0743,2.4794,0.112,0.121,0.0148,0.1906,0.4077,0.1934,0.1894,0.025,0.0251,0.0852,0.0878,0.0573,0.0028,0.052,0.0044,0.0239,0.2456,0.129,4.2553,14.978,0.8396,0.0014,0.0043,0.0033,0.0451,1.5386,0.1494,0.6538,0.6269,5.2453,0.5123,2.8917,0.3607,11.2449,0.9068,0.084,0.1229,0.5166,0.0,46.044,0.3499,16.7952,10.3104,0.0192,0.0
LAO_N,0.3126,0.0091,0.1072,0.2154,0.0347,0.9273,0.0481,0.0647,0.0068,0.0603,0.1331,0.0395,0.0795,0.0116,0.01,0.0442,0.0268,0.0204,0.001,0.0168,0.0014,0.0196,0.1238,0.0814,1.9828,7.728,0.8097,0.0111,0.0043,0.0236,0.0622,0.9584,0.0759,0.5023,0.3373,2.4889,0.3268,0.8455,0.5333,4.5112,0.5289,0.0538,0.078,0.2776,0.0,23.1627,0.1461,0.0035,0.0053,0.0025,0.0
LAO_O,0.0425,0.0014,0.0092,0.0138,0.0021,0.0174,0.0027,0.0018,0.0,0.0002,0.0,0.0,0.0,0.0,0.0009,0.0027,0.0,0.0,0.0,0.0006,0.0001,0.0055,0.0105,0.0134,0.0113,0.0124,0.0005,0.0005,0.0006,0.0004,0.0001,0.0028,0.0135,0.001,0.0114,0.0002,0.002,0.037,0.01,10.6649,0.2198,0.0,0.0119,0.0093,0.0,115.5348,0.1791,2227.0435,0.0013,0.0,0.0
LAO_P,0.0066,0.0002,0.0023,0.0035,0.0006,0.0041,0.0007,0.001,0.0,0.0003,0.0004,0.0002,0.0002,0.0,0.0003,0.001,0.0002,0.0001,0.0,0.0007,0.0001,0.0013,0.0037,0.0037,0.0087,0.1707,0.0075,0.0003,0.0004,0.0003,0.0028,0.0112,0.0026,0.0283,0.0074,0.1119,0.0005,0.0149,0.0027,0.7707,0.2637,0.0,0.003,0.0135,0.0,72.2137,1.0162,207.1636,0.0006,0.0,0.0
LAO_Q,0.0011,0.0,0.0002,0.0002,0.0001,0.001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0001,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0001,0.0004,0.0002,0.0027,0.0024,0.0002,0.0001,0.0,0.0001,0.0,0.0002,0.0001,0.0001,0.0004,0.0,0.0019,0.0014,0.0005,0.0002,0.0,0.0003,0.0002,0.0003,0.0,28.1184,1.718,40.8828,0.0004,0.0,0.0
LAO_R,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.001,0.0,0.0465,0.0002,0.0,0.0,0.0,0.0002,0.0482,0.0112,0.0011,0.0022,0.0012,0.0001,0.0101,0.0026,0.2493,0.0143,0.0,0.0348,0.0046,0.0,42.0897,1.0725,0.0,0.0001,0.0045,0.0
LAO_S,5.3983,0.2153,1.8727,3.0697,0.5551,14.592,1.6744,1.1978,0.1001,0.0988,0.2442,0.0588,0.1002,0.1355,0.0851,0.2991,0.2554,0.1597,0.0048,0.1337,0.0106,0.4684,1.266,0.3519,12.3263,6.4362,3.0921,0.0041,0.0241,0.0079,0.0815,5.7969,0.1685,0.6604,0.1039,0.5758,0.0603,0.284,0.0569,6.526,0.3253,0.346,0.1429,0.7781,0.0,132.5386,7.7716,0.0252,3.5367,0.0,0.0
LAO_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.7659,0.0,0.0,0.0,0.0,0.0
