V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T,ESP_HFCE,ESP_NPISH,ESP_GGFC,ESP_GFCF,ESP_INVNT,ESP_DPABR
ESP_C20,1200.1646,14.7515,4.7567,84.4356,3.4032,661.1762,241.1002,191.1131,375.1052,194.0811,6016.3155,697.2555,1201.0954,589.6203,339.6054,419.354,34.9734,235.7268,119.0008,1082.6554,75.3279,184.0938,759.702,511.2367,1445.0424,1406.854,256.8057,12.1323,70.2951,224.0115,7.4475,247.882,101.07,110.2026,209.2403,161.7517,108.9658,526.0781,331.7425,310.8001,97.1267,1059.6015,105.6861,84.4497,0.0,4575.5092,2.6103,143.541,428.7619,492.4681,0.0
ESP_C21,55.33,1.3235,0.3387,3.0586,0.1562,94.9255,13.0342,9.0121,42.3426,7.053,164.5329,444.958,33.5019,19.3007,86.0871,22.047,2.9767,13.1842,12.8658,53.4872,9.0992,15.428,28.6634,18.27,62.1379,153.4027,12.3025,0.6226,4.6785,14.9641,0.5508,42.5092,11.8446,13.9401,23.8598,16.2241,12.0643,58.2389,30.5075,68.6903,13.4501,1996.4492,11.2307,19.9509,0.0,2664.3568,0.549,3116.1149,800.2823,192.176,0.0
ESP_C22,232.3081,10.9472,2.5686,14.8778,1.1874,1309.3618,173.4771,40.5413,253.8389,8.25,673.6568,136.4933,2456.3348,184.2258,50.0786,226.5557,49.848,485.7746,240.8228,2138.1128,53.8791,239.4893,46.1582,131.9427,1161.765,1197.0211,54.3661,2.2064,17.8888,185.4862,3.7346,497.6007,30.7881,68.2679,65.3711,51.9077,37.1689,265.158,353.0154,68.3092,33.2289,115.9077,87.4927,66.3315,0.0,1656.6743,1.291,28.9705,359.499,245.6958,0.0
ESP_C23,67.5594,3.1975,7.7442,178.9455,1.5784,1154.2799,38.9761,66.3625,56.5465,34.0411,508.0094,78.9047,151.1067,1712.3485,415.7944,121.7414,10.7543,218.7314,41.5232,292.1211,104.4321,121.2211,76.5757,115.5484,5957.647,628.4547,69.3908,3.3971,29.5422,53.9095,4.5614,257.8124,15.8966,272.7136,61.8244,40.3292,41.9561,147.7023,268.7706,126.0705,46.7817,242.6799,47.8404,33.8204,0.0,718.206,0.8356,18.2989,196.537,260.4723,0.0
ESP_C24,7.9697,1.4484,3.1309,9.2902,2.4728,36.3154,5.1876,5.6363,95.8055,1.0252,26.5177,12.6488,74.0922,102.0208,5265.8576,7478.18,66.2592,1445.4702,1891.0415,2524.1819,194.8537,413.1704,188.0732,70.9714,2070.4682,388.6548,39.0642,5.6815,8.9203,134.8585,0.2174,6.2862,12.6936,8.8026,7.5761,6.8883,23.6924,181.8704,18.405,35.3774,4.9343,0.498,2.1058,1.4854,0.0,2.4372,0.0,0.0,27.7493,397.3657,0.0
ESP_C25,596.7799,20.5288,8.7819,44.9481,4.8398,827.6624,132.4211,74.7952,80.612,12.6866,341.0302,43.1896,423.2034,104.0851,2151.6765,3921.0025,208.3134,1252.0915,1366.1315,7188.4359,398.2851,746.9949,441.3123,421.9346,3194.0729,565.1573,101.7397,8.3439,79.9504,296.7013,4.7104,389.9811,43.2764,98.6569,92.144,79.6061,54.956,394.7798,728.8993,120.5056,63.1487,129.4763,98.1463,97.6009,0.0,951.6388,38.4182,35.4881,5124.1244,464.1385,0.0
ESP_C26,7.9461,2.7848,0.3739,2.6633,0.2364,23.0446,3.3428,3.3046,12.7775,2.7549,10.1079,4.4103,6.8233,6.5983,13.7618,30.958,93.6319,96.348,56.8327,287.9002,8.7078,40.3523,49.5017,17.3011,116.1972,112.0169,22.7553,1.8553,16.3176,19.384,2.5113,59.9152,169.7824,180.8282,137.1465,20.577,16.5165,114.7109,79.2421,31.9865,13.1451,65.0925,28.5092,26.5483,0.0,701.0794,0.3305,29.2037,1247.0098,54.4768,0.0
ESP_C27,34.3289,7.909,1.1789,10.223,0.8226,77.0225,9.594,9.8756,21.2188,7.1204,32.4612,11.135,37.2046,38.062,75.9213,131.6658,166.3854,1012.1584,585.9584,958.619,97.5719,220.8327,295.0692,87.4544,2159.609,332.8207,57.4024,3.6617,32.2036,68.3143,3.9483,172.4725,29.158,220.4551,155.9266,45.5557,83.5891,285.901,161.8122,83.0425,28.0932,54.4803,67.0866,40.8509,0.0,1916.477,0.8195,33.3935,2163.6069,200.6209,0.0
ESP_C28,109.8519,22.2388,6.3453,60.0184,3.9151,203.8391,21.8819,47.472,114.5493,18.9545,108.3597,40.5621,108.9413,84.8563,200.6411,331.6464,38.7817,161.7324,1150.111,1001.8274,83.0654,260.0011,475.9832,173.2441,481.5436,618.7483,134.4501,13.8306,135.3551,345.6718,6.938,352.8013,38.792,264.5446,124.4592,90.4198,50.9371,475.0257,233.3657,138.1245,55.5896,112.9535,107.8692,38.7773,0.0,393.4988,2.1917,47.2001,6200.2054,231.5045,0.0
ESP_C29,60.2993,11.4051,2.1039,12.7053,0.9021,221.5971,26.3658,21.2801,41.0391,20.0335,78.766,29.7551,210.1949,69.3129,124.283,245.343,23.005,308.0443,227.9146,8584.6913,264.4677,71.6259,115.1311,130.2867,330.3576,2142.0138,265.2981,3.9364,35.006,121.3937,7.6033,151.9268,37.3133,104.2583,177.7201,107.7598,122.32,403.1379,569.6624,149.0661,68.6136,128.2211,128.4304,39.8309,0.0,9784.6283,29.6797,714.6822,10680.934,801.1977,0.0
ESP_C30,2.154,50.9935,0.0697,2.6047,0.032,1.5293,0.1603,0.7005,2.5648,0.9905,2.1512,0.3506,0.301,1.6202,6.6657,19.3601,14.629,49.711,39.2108,16.8664,4775.002,934.8308,1.6305,1.0365,21.9251,133.1786,173.6266,1.175,592.7251,219.0601,3.7377,23.766,0.4264,12.3883,42.4465,21.8676,1.7619,422.3421,148.5292,24.8386,3.0735,12.1511,44.1423,13.5716,0.0,1147.5509,0.0,56.8911,1895.058,114.8933,0.0
ESP_C31T33,213.249,88.6627,10.9573,68.0106,5.2345,461.9142,89.9038,149.5672,184.9699,69.6474,238.9495,99.9912,135.6921,176.2898,393.9281,468.7175,13.7427,177.5783,145.5663,1092.6402,27.6895,700.9037,472.1816,260.2057,810.3968,678.6075,505.5771,61.8491,615.1101,292.5629,26.382,403.9967,117.7749,393.6048,161.4846,321.6155,57.254,344.6422,505.1277,299.6006,252.1354,1361.1188,434.1151,46.4093,0.0,4306.535,3.3247,105.8757,7173.45,89.2351,0.0
ESP_D,1557.6646,25.8714,40.7271,154.469,6.8274,2144.8171,303.2778,239.5958,1053.3591,977.3078,2207.5182,315.2583,764.317,1532.9918,2598.221,838.2103,53.9476,286.3482,183.8883,854.2207,132.9348,272.6,9517.9211,592.3825,1016.3039,4844.5314,1000.2648,2.9691,36.427,1022.9904,47.3358,3332.7873,170.3391,1616.8011,358.1656,50.2798,805.9952,1253.5106,623.1598,1628.8508,693.2305,1672.1405,750.6737,502.6426,0.0,19512.94,2.4594,66.1897,444.4094,-121.1427,0.0
ESP_E,605.1806,13.2618,6.0379,41.6366,1.5748,529.8041,74.9981,36.3542,315.0945,282.7443,737.7076,130.8804,345.4147,373.7733,3755.7784,504.4019,24.1266,116.3598,183.7508,186.5263,57.3092,143.9363,520.381,8240.5213,661.7233,1101.7831,150.4462,8.8615,63.0128,163.2929,11.316,762.9112,62.5474,165.1678,194.3498,84.9359,444.8134,455.3194,256.0389,331.8216,126.77,556.508,274.1054,142.7667,0.0,6599.5606,19.2203,5067.5457,220.1813,10.2124,0.0
ESP_F,493.7027,6.8704,4.0925,100.3448,5.7638,850.847,147.7246,20.1731,176.8445,84.0275,380.1941,183.9852,269.5436,386.2979,163.299,288.987,51.5748,99.565,208.9026,120.674,97.2645,449.91,853.0529,480.3695,27232.4559,4916.9543,1156.4193,54.1404,179.4546,1306.4596,73.8562,1980.7196,253.2218,755.1418,989.8614,820.2373,5814.3434,1083.1156,1099.1407,1610.8319,1044.6191,1101.9356,467.6509,293.244,0.0,8772.3577,5.6742,2251.48,106187.7661,-2.4601,0.0
ESP_G,5580.205,181.5604,32.8334,246.9988,14.6165,20461.373,2331.5482,882.9821,1613.1287,1125.1819,4328.8478,1147.3759,1808.5759,1603.1931,2351.4628,2581.0771,430.314,1622.7464,1757.0827,7149.6267,931.7635,1758.8776,2589.8587,1445.8324,7049.0464,5246.2308,2941.2995,87.1131,584.747,1005.1944,87.2412,8676.17,1125.4565,1041.2519,796.7866,1053.8982,419.6777,2364.1603,1574.4888,1652.1519,1087.1303,4846.6261,641.7826,658.5054,0.0,81860.893,45.6723,3834.3899,12025.5779,3204.1715,0.0
ESP_H49,280.8239,20.0055,2.7621,266.8506,6.6462,2383.5787,233.0229,182.8218,433.1433,575.4175,896.2208,182.2471,433.6472,685.547,734.2659,570.8165,51.0653,277.7905,368.2907,814.1051,122.7026,314.1737,379.7471,342.8569,783.2774,5462.8578,4115.6457,39.8481,90.8816,6151.5398,329.2985,487.5103,245.3712,135.0534,200.2861,113.9277,83.3441,367.8668,1188.9936,1382.9589,114.0296,283.3767,99.838,234.291,0.0,9799.1721,1.6541,1655.3843,802.6165,1036.6042,0.0
ESP_H50,17.1742,6.7169,0.1735,1.4609,0.1184,71.9206,8.3223,4.0538,8.9414,59.5588,25.4218,5.1431,10.4529,10.7146,21.9925,17.798,2.6355,11.141,11.4147,43.6389,7.3967,10.0002,34.8801,5.3475,36.8771,43.4158,19.4681,1.0773,5.7224,21.9817,0.3888,26.8383,5.4617,5.4035,3.6514,2.3117,3.1019,8.6263,38.1783,8.6589,3.5731,16.6783,2.4391,2.0159,0.0,254.7918,0.1448,42.634,84.3161,310.8774,0.0
ESP_H51,53.0587,8.628,1.0194,8.7274,0.5897,187.6524,23.4849,16.6333,35.4713,181.4352,82.1756,18.5667,34.2826,36.4365,80.9784,69.9094,7.112,38.5097,30.0394,134.2822,19.9736,55.4475,130.8981,31.9809,86.8278,180.6721,124.1906,9.6727,71.4667,131.5266,5.1587,81.1035,18.6715,43.2942,19.7615,21.6411,13.4413,37.6247,40.4847,39.4917,18.2147,62.7515,32.1186,5.457,0.0,520.2452,0.3451,89.3742,709.4847,950.8041,0.0
ESP_H52,90.5174,33.2087,2.0659,123.1693,3.3026,1166.0001,112.3851,108.4507,281.9407,164.324,891.4851,183.2089,254.6996,316.5114,523.476,363.1538,40.5069,214.1336,237.1348,540.1586,52.9127,762.0699,2299.845,261.7799,459.8199,8740.0144,5990.5078,330.7029,1306.1176,8951.2948,51.7631,324.0971,147.7488,160.6128,208.9793,130.7963,872.2084,544.4463,385.8235,1050.4128,26.5393,80.7935,141.0917,116.9607,0.0,3014.9897,9.0081,5404.7783,431.2007,62.3833,0.0
ESP_H53,1.9765,0.3652,0.0935,1.9448,0.2453,55.5038,5.7902,3.5339,11.7238,15.2719,31.9936,43.081,25.7663,19.5861,13.9717,47.1879,0.7735,7.5405,27.939,52.0228,2.9339,13.9671,95.5956,44.9188,389.0783,547.9261,47.0793,2.5185,3.4467,144.778,1691.5125,156.8552,14.1217,246.0423,426.201,159.0103,194.4913,397.1406,163.7177,217.7896,82.4034,104.9841,1.099,30.2774,0.0,130.5019,0.0367,17.4721,13.6051,4.0007,0.0
ESP_I,26.5259,10.5241,1.6178,4.5602,3.2328,163.9522,16.4135,9.5005,10.8563,28.1233,139.5227,49.4269,48.2241,13.396,31.4211,72.395,12.4619,12.0719,35.7294,50.4528,27.2731,36.9306,90.3729,175.4875,1239.0266,782.7039,1662.8587,12.5494,46.002,68.3173,40.4261,1991.454,108.4928,123.9877,1204.6527,748.5738,126.873,1030.4603,5391.6381,690.1743,357.9582,2568.0502,396.4899,1805.4121,0.0,102413.2242,129.6511,2266.2788,213.3163,14.5746,0.0
ESP_J58T60,31.7701,1.6887,0.27,1.444,0.2992,688.0312,32.7872,4.9757,387.1714,8.1479,164.1969,116.9985,18.4715,26.1025,9.31,26.7634,5.6948,23.8132,26.1015,229.8088,6.4093,36.127,52.9336,24.1748,90.4691,2419.7891,29.6461,3.3175,32.0042,41.2509,2.4004,281.082,2355.8612,200.7725,137.4385,424.7842,144.4551,649.5023,474.0971,240.0604,591.3836,160.2306,101.9223,183.513,0.0,3016.1484,7.8728,2045.0653,3474.5141,39.0231,0.0
ESP_J61,71.9385,8.6683,4.2266,52.2811,1.3702,450.7883,61.0684,17.4422,42.6357,107.4859,250.9646,169.4166,63.3677,91.0682,76.2289,90.9605,45.0298,59.8046,105.8217,155.4425,19.794,72.5986,728.0767,321.7779,1052.4724,1187.4761,323.3975,12.0217,349.8361,229.3994,33.163,786.0589,378.7783,4567.6687,1029.2349,860.6736,684.1409,734.4489,596.5905,1738.1158,186.6921,724.3803,123.1715,285.9813,0.0,14029.1765,0.6959,753.2353,420.5614,26.5407,0.0
ESP_J62_63,6.1156,3.4229,2.1224,4.2531,0.9393,106.6498,17.3515,5.9097,26.5128,18.7035,47.6705,32.0383,19.5615,23.9803,14.0751,36.9523,21.4741,36.4093,33.3404,81.2081,17.1947,27.0127,39.0082,32.0626,114.7465,512.4388,59.4526,39.5667,32.7504,39.1929,4.596,104.5176,126.2292,184.059,3228.1581,752.1387,135.8729,396.0345,257.4329,547.797,77.4878,287.8536,116.8369,47.9905,0.0,397.8696,8.6212,580.6675,15634.0005,66.8852,0.0
ESP_K,1431.9949,44.1776,13.3827,54.2466,8.5548,1106.2598,199.1052,92.9184,243.1455,359.335,421.1076,142.1863,252.0371,247.8749,335.8012,541.5681,62.3915,233.6221,300.9648,617.7967,147.8862,311.7196,668.8136,346.6882,1819.0225,5717.303,1007.4979,51.3383,166.8597,712.5885,56.8597,1648.174,216.1721,356.3479,428.2181,17037.594,5274.2635,1750.2752,2359.1581,2029.124,800.7449,1469.2584,499.2551,432.9067,0.0,29411.7155,0.9393,265.5506,470.3863,20.6138,0.0
ESP_L,32.1152,4.0501,2.2982,52.6538,1.4807,351.4978,155.0765,46.8479,190.9282,38.1445,277.0227,131.3695,229.2336,140.8348,45.6048,405.121,30.0606,174.1552,143.0334,113.3549,46.6377,247.4171,303.2299,297.0838,1094.9138,12181.5114,460.3639,114.4028,113.7758,1061.1695,94.3886,5268.0795,830.0836,1200.2701,728.5545,2505.9184,769.9442,2771.5167,1377.2995,1290.609,254.0488,648.7696,1276.5936,636.5883,0.0,128126.2547,24.354,214.9288,3602.0643,-30.9826,0.0
ESP_M,200.8621,14.9077,28.2961,126.7289,21.8712,2001.1535,286.4742,65.5703,319.6521,278.2333,503.946,380.5231,244.8835,317.7261,124.3276,614.2883,136.2076,417.6028,385.9352,746.7501,1038.1859,421.1897,490.8498,494.637,9720.0787,9255.4763,663.6209,42.6977,801.0897,670.4891,104.2852,1902.5068,1356.0934,2933.4412,1689.364,3490.265,3142.802,17524.2415,2861.4263,2385.7262,760.064,1167.6624,2116.1899,718.2916,0.0,4706.4318,52.9324,1988.575,19760.4652,-3885.5642,0.0
ESP_N,179.5355,36.5564,40.372,129.4216,15.5426,2757.1319,269.4456,143.508,626.449,338.6155,1094.6496,694.6385,587.0371,570.4138,375.7398,962.4978,147.693,507.2837,569.6341,2262.175,240.3423,502.6608,1354.9646,1175.7229,3351.9791,13870.2153,2510.4327,239.6739,1518.195,2337.387,152.7295,2027.9054,719.186,1343.7055,3237.185,2479.8075,1988.4744,4328.6644,9831.2683,2945.841,1051.3266,2428.4312,771.5748,606.1737,0.0,12645.5442,43.9497,502.1173,767.6188,42.8553,0.0
ESP_O,91.9915,28.8818,2.0274,39.148,1.8736,328.1359,39.7826,50.9346,89.2557,142.2351,213.3174,80.3523,85.3198,96.6892,167.9519,133.4667,16.2306,66.0134,75.1588,187.6613,47.1521,185.5025,557.1834,171.4075,1489.6747,2841.7263,1284.916,85.7098,364.1193,1892.0295,20.16,438.4232,76.6057,243.5827,214.9551,151.3979,397.7789,477.772,341.1498,400.3144,187.6512,208.2916,143.5852,65.233,0.0,3104.7614,57.5097,83383.9263,3409.0815,-52.9686,0.0
ESP_P,20.1812,1.1353,2.842,3.68,0.2468,168.0328,18.5155,3.4873,29.422,137.2327,51.0074,103.3863,50.3055,17.4356,104.6721,26.6168,27.9888,21.4385,41.7021,219.7746,48.3898,81.3199,212.38,110.2397,201.0843,983.5908,136.683,1.6227,212.152,28.7942,9.6081,74.0421,71.6295,312.8325,526.8524,89.7364,51.8042,523.6297,221.9875,60.2372,143.5202,214.4326,9.8689,406.0368,0.0,12399.8204,2166.8628,51212.0324,4627.9424,3.5372,0.0
ESP_Q,61.1042,3.8242,0.827,7.6536,0.275,258.4598,30.0143,9.7541,16.3649,28.5973,64.6462,36.1352,20.4954,14.077,17.4075,16.9321,8.3778,21.355,18.4286,101.3921,18.6131,66.8266,68.1919,132.7817,270.3745,1318.2129,95.2513,2.2183,16.1132,14.595,10.8806,431.747,33.6156,206.3131,152.4529,119.2311,42.2187,258.3808,103.6804,82.8184,95.3044,5754.0982,49.179,229.7528,0.0,29502.5063,2726.7495,81326.4581,743.793,28.0545,0.0
ESP_R,100.1474,6.0645,0.3869,2.7293,0.201,530.5304,58.1089,6.4041,42.9217,106.9081,99.0223,68.0213,38.2149,19.7033,41.8112,49.7337,20.8884,20.007,43.5734,174.5741,47.0428,151.4122,43.7783,34.4626,90.2358,955.4182,82.157,2.9716,41.5325,129.3255,34.1248,595.462,350.1472,181.4647,22.9102,219.3508,108.2636,788.1074,1102.2186,142.8686,37.7205,126.8327,3027.2507,173.5771,0.0,19610.2392,807.3346,7409.2361,427.7842,105.6033,0.0
ESP_S,49.7895,30.5673,0.8942,6.3518,0.7114,271.447,37.2861,23.7605,51.0659,100.0751,200.3715,90.925,45.7144,83.8425,97.8072,135.413,18.6467,42.5558,60.9917,285.8963,25.1608,126.6422,327.909,160.9059,174.9277,1287.0215,358.9809,15.7188,50.7901,136.2942,6.1984,493.2407,180.2454,89.2546,805.0235,284.6423,229.6857,1109.9703,539.3635,347.9353,233.1435,782.2192,1975.4832,1511.8917,0.0,12504.3794,6899.4412,1111.9979,671.0584,10.0335,0.0
ESP_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11837.6926,0.0,0.0,0.0,0.0,0.0
