V1,GBR_A01_02,GBR_A03,GBR_B05_06,GBR_B07_08,GBR_B09,GBR_C10T12,GBR_C13T15,GBR_C16,GBR_C17_18,GBR_C19,GBR_C20,GBR_C21,GBR_C22,GBR_C23,GBR_C24,GBR_C25,GBR_C26,GBR_C27,GBR_C28,GBR_C29,GBR_C30,GBR_C31T33,GBR_D,GBR_E,GBR_F,GBR_G,GBR_H49,GBR_H50,GBR_H51,GBR_H52,GBR_H53,GBR_I,GBR_J58T60,GBR_J61,GBR_J62_63,GBR_K,GBR_L,GBR_M,GBR_N,GBR_O,GBR_P,GBR_Q,GBR_R,GBR_S,GBR_T,GBR_HFCE,GBR_NPISH,GBR_GGFC,GBR_GFCF,GBR_INVNT,GBR_DPABR
GBR_C20,1251.3709,1.4821,14.933,78.7695,19.6196,272.2773,207.6786,180.011,528.7771,125.4995,6145.0911,458.6208,2220.1254,271.2639,53.8543,323.3226,164.73,117.4725,202.3005,998.3136,148.3015,252.1955,170.719,132.3624,808.548,370.5914,41.8584,3.0232,19.7743,21.5575,3.4448,115.1025,199.733,8.2523,32.5244,102.3763,106.6344,844.6968,225.1569,184.2347,199.5619,657.3326,49.4263,141.4751,0.0,8811.6205,9.4391,96.6459,584.3746,406.647,0.0
GBR_C21,238.7906,1.1291,5.1158,3.4266,2.2536,142.0022,11.7851,7.2818,21.9635,6.9502,179.9492,2568.8931,63.8136,11.578,8.5226,19.357,17.5395,8.3831,68.4351,42.8805,14.8272,91.4769,37.5982,9.588,88.0931,88.0483,17.4964,2.2988,13.8748,12.4235,2.2915,43.496,28.0779,12.3826,40.5847,73.1821,29.5229,945.2057,66.4856,147.7374,48.705,5367.3511,18.7692,44.1542,0.0,6489.5839,15.494,4551.8928,738.1258,339.0204,0.0
GBR_C22,597.7508,3.6845,16.0612,29.6385,3.5488,1574.6333,163.737,56.9819,961.2769,11.0483,685.4736,418.8629,3045.3164,68.308,33.7842,372.7589,206.334,258.6988,424.2448,1921.2823,352.3119,409.9883,32.8953,184.032,1964.5034,1631.66,274.4973,2.4828,9.6462,301.7741,4.1856,56.7833,72.1067,23.9185,65.2835,245.1652,47.025,146.4188,470.8758,186.2099,137.6645,404.7238,160.994,75.9038,0.0,4309.3709,4.3926,12.5164,640.567,276.4543,0.0
GBR_C23,24.0906,0.3765,5.3767,307.2818,1.7896,617.0943,12.0828,26.2499,25.8785,2.5504,208.2249,52.8371,306.2266,1052.6946,133.7046,245.354,43.4447,146.8755,33.0174,728.2162,66.2545,27.8902,12.6301,91.0698,8806.7976,482.0541,32.8768,1.0295,7.4306,12.875,1.4408,97.1047,10.5756,4.0062,9.7793,31.1018,246.3878,56.7801,33.7385,167.2276,186.8119,80.6998,109.7931,93.0312,0.0,3367.7134,3.0486,3.6654,187.0345,205.2799,0.0
GBR_C24,7.2518,0.2343,53.8385,5.7259,17.3216,46.4752,4.6437,8.6051,25.1376,1.5915,37.5563,21.6666,98.1435,83.9983,2419.6309,2367.3817,312.4632,472.0432,1776.8419,2807.8429,1654.4309,735.5837,195.8769,266.4938,1454.9888,171.4492,18.4469,1.3314,12.2658,7.3188,1.3654,10.9947,9.7183,3.3358,6.6351,28.5533,39.3742,163.9293,40.4665,46.9099,13.7316,28.6021,27.2094,7.0415,0.0,585.3994,2.3466,1.4188,524.952,213.834,0.0
GBR_C25,163.0199,6.8884,301.1839,31.056,88.8004,396.1083,50.2582,104.0672,244.8315,19.9346,265.8281,256.0171,430.9222,140.6699,802.1845,3254.0418,478.0758,435.1684,3169.2102,2574.7336,1502.037,1036.449,395.9663,612.1244,6674.6884,853.1746,218.8884,22.6326,417.4204,91.9429,9.0572,89.7561,49.7502,72.1782,72.9375,137.3451,153.9312,428.2768,631.4722,1590.9751,94.0682,278.0038,106.221,47.2353,0.0,5078.9616,8.9982,8.819,6900.8822,401.3862,0.0
GBR_C26,27.8688,5.955,176.0669,28.6402,38.4755,202.6019,27.4319,20.0491,108.7183,20.8831,106.0747,54.6229,85.1235,71.8755,51.4448,167.5381,1222.8916,166.7239,286.9879,395.2212,300.1041,365.2329,382.4269,84.5777,617.408,683.2179,272.2146,30.2925,527.4207,171.4364,21.842,126.3154,565.5015,311.6375,286.6079,131.288,44.6708,712.0438,410.6409,1606.8235,364.3806,1833.3637,171.1211,102.5678,0.0,6976.6561,16.5062,5.1325,5052.035,188.7496,0.0
GBR_C27,9.5411,1.0247,35.574,8.2377,9.9829,55.26,6.8216,5.6062,16.8207,3.6737,23.343,13.5857,33.886,20.5475,25.3529,147.6651,217.7622,605.466,294.3574,276.4741,849.1735,182.5022,186.8119,27.5574,2137.546,355.721,55.5866,4.6722,79.1829,22.1705,2.9825,29.3196,27.9889,38.3523,39.9973,68.0354,25.0043,194.8847,154.9297,226.774,48.425,114.752,40.7989,14.0996,0.0,5256.5123,4.9276,4.3452,1656.6116,154.7258,0.0
GBR_C28,69.7274,10.3592,861.7883,95.1929,215.6574,617.053,82.4393,67.7979,182.1648,45.5269,197.8475,191.225,235.7103,177.7121,218.6847,606.3728,208.5974,528.0442,1872.7226,1477.6891,582.6702,849.7317,862.0296,261.9268,1810.327,1580.1799,465.8599,47.8951,889.7773,209.0488,22.0891,203.4423,96.8575,175.7314,210.4128,179.3642,47.2491,607.1654,812.8706,305.6182,99.7098,485.204,220.6903,81.456,0.0,3617.9302,15.9189,20.4105,8347.2523,306.6267,0.0
GBR_C29,71.3978,0.3676,39.2293,14.0928,21.9544,45.1342,4.4379,5.8416,16.451,3.201,17.1039,15.1157,30.4374,42.8882,19.2689,82.8617,33.8577,41.6483,437.904,7225.3312,64.1511,173.6104,38.223,58.1616,455.2008,4156.8575,538.2419,5.4051,20.1929,130.8693,32.2906,17.2311,23.1735,37.1709,90.291,226.3468,42.5066,987.5588,372.2207,243.0226,141.0274,299.5851,58.3977,19.8327,0.0,21702.3203,49.3161,0.3162,10369.2278,556.1208,0.0
GBR_C30,17.4369,3.8408,271.2898,13.948,28.537,106.2298,10.9935,11.9009,27.9654,10.1929,51.449,20.2164,56.8071,34.4589,75.3465,127.3718,279.171,31.5446,119.7444,167.6751,4219.1347,2211.0034,150.0401,37.3091,253.29,239.82,236.6955,203.0532,634.0371,52.2686,5.4003,52.6839,21.5479,40.0788,44.7615,79.2136,91.639,538.0597,122.882,2718.9003,25.6243,311.5305,71.5314,32.4725,0.0,5175.5288,26.2305,4.0871,6464.5956,50.6355,0.0
GBR_C31T33,98.6103,28.2879,715.6502,128.5713,168.6365,870.5878,102.9394,108.1539,215.372,94.1541,346.9024,210.997,349.5092,302.5484,223.3325,529.9453,166.3915,136.8666,359.3358,499.2541,1001.1751,1630.5205,1426.419,262.0278,960.8209,2001.2843,1173.4811,175.6673,2492.9433,543.8451,66.7041,475.7489,318.2492,405.0523,371.2716,382.2064,64.223,710.7097,1029.5685,560.9085,320.9809,2106.9755,606.2315,137.5803,0.0,15447.8448,11.8157,125.6045,3621.025,-902.8704,0.0
GBR_D,451.6021,16.113,203.0405,245.6978,65.5127,2173.8735,220.1985,280.8357,881.5124,237.6881,1882.2512,277.1402,961.7107,708.3682,721.3322,971.2929,199.6592,183.1919,440.8887,663.6639,431.337,508.7171,77880.9665,1130.4195,2144.7214,6888.641,814.7152,16.8265,68.5433,753.856,135.6519,2600.1277,323.1886,804.2537,1015.3545,1897.4067,2457.1942,1746.4916,1599.7844,1608.9972,1653.1862,3464.328,1256.4745,453.0729,0.0,37627.8059,9.282,0.6744,1161.2354,-10.6123,0.0
GBR_E,351.1733,18.5734,41.5259,67.2921,31.2574,1162.9266,80.9497,66.3891,265.7075,80.2638,463.5958,103.4485,153.4493,143.9177,591.2346,298.5713,52.8542,59.7837,195.4164,272.0618,194.6149,187.1688,895.0582,12318.3143,2116.9078,2838.6751,408.7942,50.9615,22.763,343.9503,56.5411,1417.4065,88.094,52.0537,134.6466,745.7356,568.8126,855.7491,777.6,3507.3407,697.4465,2793.7347,679.7852,259.8178,0.0,13720.6004,11.4459,8948.8447,1082.3699,19.262,0.0
GBR_F,679.0354,2.7025,279.391,5.6894,267.2907,185.6458,14.6038,10.5006,42.7871,263.6277,266.9689,16.0365,236.79,165.6523,10.5102,481.1158,14.0457,9.7997,140.0458,327.888,357.609,646.116,3778.3141,1049.8788,141559.2949,6143.1709,178.6989,28.1296,59.9098,473.7533,71.641,478.6182,108.9749,118.0958,193.7632,4570.4537,22755.7999,3466.899,1423.4642,6760.5349,752.5573,1655.4972,376.6456,469.0439,0.0,7968.2673,47.8298,8.0845,226166.3607,93.504,0.0
GBR_G,3288.1253,285.724,569.7051,491.8241,156.7581,16110.345,1629.6048,736.8063,3045.4568,579.7677,4010.2245,2351.6948,2275.4048,1388.3303,1624.1769,2748.5513,1629.1549,1438.1428,3586.1386,7994.4063,2627.2709,2438.4004,4639.1133,1156.3383,13738.6077,18834.2371,5680.8447,350.6759,821.3464,2287.5197,722.7592,10558.2263,4443.8165,740.4126,1995.2105,4561.7417,1029.1324,4090.7478,4911.8948,5821.3868,4072.8883,11503.5966,1662.101,1107.5299,0.0,190113.8949,139.9651,3428.7222,23476.6992,3597.7147,0.0
GBR_H49,524.28,13.6674,120.261,566.0164,28.4142,3337.5495,179.5167,309.7508,861.093,193.3802,849.0919,182.7059,621.3488,1113.268,523.6624,617.3923,214.6944,244.0743,692.8764,1145.5911,400.4204,578.1416,359.6389,418.207,2045.2796,12755.0006,7800.8899,106.8387,222.7873,1002.7713,441.5666,669.7223,479.0345,90.8848,273.6451,1231.7373,195.7134,1017.5854,1499.7615,1540.283,1355.2779,3069.6288,249.0557,170.1148,0.0,27672.9716,3.596,153.1859,1111.8968,811.301,0.0
GBR_H50,20.3391,26.2083,199.577,74.7857,8.6751,91.9011,6.2597,6.6503,18.2571,93.6783,27.5581,14.3408,21.7183,15.8905,34.4465,36.3292,28.1134,13.9378,29.0441,94.3957,28.8374,28.6232,36.3671,5.8691,117.6385,75.0593,18.6331,931.4939,13.5408,737.7594,2.4732,49.7967,20.1599,10.7594,11.3046,90.7078,22.0837,47.65,476.8468,58.3318,20.4443,74.1314,28.2463,8.2946,0.0,4426.1299,0.6753,14.8749,178.8105,623.9316,0.0
GBR_H51,61.7022,3.8494,91.2559,11.3434,5.1227,246.8074,21.2559,20.629,54.8427,107.9227,74.7174,40.5332,55.6049,26.1637,95.5265,75.3023,52.163,36.5375,90.8587,206.5036,100.0309,76.9401,111.3049,23.0761,338.7449,287.8583,46.9454,96.554,1637.454,455.0269,55.0766,208.4232,73.645,24.3875,48.7415,733.2102,24.0967,792.1159,2109.1768,210.156,58.3098,202.3984,56.8489,64.0282,0.0,7792.041,3.6415,42.0837,517.3447,1799.6143,0.0
GBR_H52,61.2284,122.4146,21.7447,16.6825,10.4237,435.3131,156.8445,38.4539,99.8266,28.3228,270.464,836.0857,162.7802,82.74,74.6499,169.6415,232.8625,115.5502,822.2374,1945.0791,161.8594,211.704,172.8098,425.1285,701.6517,19276.9853,3253.1004,1346.9509,400.8091,9575.2046,1273.0617,315.7764,172.0691,324.1582,1171.1032,4064.2284,122.1353,364.6681,1738.7152,711.5733,216.42,347.5273,77.8965,122.7639,0.0,5141.9027,6.3813,3329.9965,1050.7223,50.5531,0.0
GBR_H53,65.2714,5.8016,5.9982,1.509,19.5003,483.0432,150.9262,101.3575,92.8244,2.483,308.4387,103.0793,119.4646,139.9092,94.585,126.1207,122.2424,121.7822,93.4502,44.7534,38.3534,351.907,204.1447,57.7814,104.9711,3989.8497,296.6033,3.7794,10.7748,189.4816,3476.7318,69.2362,372.6819,125.8176,643.8828,6355.6305,118.1377,957.1711,846.4392,1539.28,414.3795,749.9289,186.7214,249.2177,0.0,1728.4193,1.5171,1.7961,80.3083,11.7685,0.0
GBR_I,12.9874,4.1823,46.7629,2.936,4.0089,978.874,20.057,30.6853,18.5154,5.7284,115.7326,85.1496,41.4773,39.0426,26.9269,38.3915,101.6767,16.6203,35.5925,51.0837,16.3359,31.3223,35.8855,19.8938,114.5361,1129.9236,288.644,52.5558,1057.6809,146.2381,33.6425,2063.5539,478.1976,54.5583,931.1199,2963.7435,199.1113,2356.22,3522.3196,1461.5607,1414.9016,2425.287,663.4972,163.68,0.0,106203.4109,15.6568,3.8699,195.4804,4.9255,0.0
GBR_J58T60,58.1754,1.5406,26.9514,3.0131,3.3169,480.0715,67.4798,10.7815,54.6316,11.1477,131.2426,70.1763,40.8789,47.0782,35.308,47.0441,31.1918,62.7715,43.9518,169.4062,102.0793,140.6883,128.1766,80.1406,344.7818,2793.7226,91.1975,28.5204,73.3283,103.7535,22.4116,387.3413,13608.4429,353.6298,999.3198,1453.4791,291.5229,1320.5146,708.9663,919.1257,767.3853,531.861,1302.9288,561.1584,0.0,26307.577,32.2454,3397.4244,14158.3492,95.3057,0.0
GBR_J61,285.2785,6.32,62.3831,16.5986,22.8998,294.6258,48.8996,35.1136,114.5872,16.3446,115.6473,95.8436,89.1807,51.6444,41.1875,181.2253,87.2928,54.8391,146.5839,158.7526,120.7537,205.4141,322.5791,127.9857,1597.9353,2494.5266,288.5419,89.6756,78.38,315.4357,175.0232,482.9658,444.9148,5203.4387,1552.5037,9443.492,1141.4191,2937.9783,1571.7989,2441.43,533.1594,2132.7689,714.7967,669.468,0.0,20565.2739,14.3683,38.1686,1820.8953,65.8265,0.0
GBR_J62_63,181.881,9.9139,301.6181,28.9404,76.4614,696.353,99.4246,61.0435,255.1524,33.1962,305.3759,367.8205,185.2841,116.1921,162.6996,322.7437,709.6878,160.9073,417.3314,840.6653,789.3215,358.6737,1017.6876,296.7606,2518.9588,6314.067,555.7105,164.7275,189.0855,746.056,393.7214,761.6761,1556.1132,3384.983,12688.665,11797.9147,1136.2675,6684.4539,2929.4225,2885.5941,1373.5328,3074.4572,935.8409,649.0453,0.0,9730.6047,130.18,235.7047,28128.1446,144.4844,0.0
GBR_K,1802.8135,92.0704,1892.3854,545.4316,418.8098,3509.368,562.6249,346.434,666.3915,556.478,2221.6075,1446.6067,1071.4129,1128.5317,637.86,1634.2097,334.6293,656.2756,1072.9088,2954.347,2228.1753,1431.209,2301.8399,1846.6658,8667.9012,13526.1437,2047.2588,1648.2639,1607.2861,2292.1028,979.219,2877.8931,1156.7966,1913.3007,5469.9745,61053.3647,30621.3817,13276.5735,8827.8508,6695.9957,3351.7717,4811.1773,1320.7944,1997.1283,0.0,87746.9727,183.1873,9.2261,3642.3283,490.4054,0.0
GBR_L,4.7358,0.2605,7.1773,14.5894,17.8469,40.8944,27.2598,48.0499,352.6893,13.6829,44.3442,42.5113,246.0348,63.5633,24.2853,325.1702,4.8574,57.1342,9.1386,14.184,17.4948,132.7376,262.5564,237.5932,429.4397,13897.3906,468.9888,47.4997,795.4216,1162.3868,0.7962,3000.9284,1181.4684,1300.018,2030.8508,3721.2769,1984.2599,5158.094,2008.3949,3394.3976,2832.69,3692.9646,1012.6618,897.3386,0.0,373674.8082,1587.4187,2.877,10475.5697,1.6152,0.0
GBR_M,1130.461,44.0953,725.3835,85.1818,557.7685,4185.6939,552.6007,98.9775,503.3309,131.531,1704.6998,1114.2853,575.505,673.3259,395.1257,1015.512,742.0886,541.8307,1001.9005,1347.4958,1646.1234,1245.1701,3737.9705,1158.9927,9616.3301,21775.5189,1733.1469,345.3096,664.0193,1342.1686,187.6428,2317.078,6950.4999,3240.053,9694.1418,29370.3856,4986.9116,52078.1061,8442.4621,8601.9707,4462.1267,8584.7617,4732.0046,2243.3271,0.0,13387.7663,2176.9753,748.818,35337.3597,-6517.5132,0.0
GBR_N,864.8639,54.0312,871.1006,144.5528,426.5034,2140.6252,115.4906,135.4513,333.185,71.5258,592.7242,482.9236,650.7152,315.0056,315.5604,695.7086,283.7992,299.7646,1191.9181,1376.5573,716.3106,755.2491,1193.3411,1546.9918,9744.0458,11453.9321,5176.439,1991.9985,2185.4109,3563.1119,1106.6741,3365.1805,1504.9398,1369.8735,5922.3471,14170.4522,2768.8914,10216.2424,31033.6647,3406.6349,4799.3888,10615.5301,2124.2749,1439.6449,0.0,40497.4035,528.5887,62.9127,1731.197,135.1357,0.0
GBR_O,27.482,0.0271,19.2478,7.6082,3.059,146.4509,32.0913,6.4205,30.6877,20.1329,114.3257,177.5776,39.8214,15.259,47.8067,117.5556,17.9943,23.7037,74.1658,100.6651,74.2266,76.4408,45.021,132.3908,1899.6331,756.3735,3025.0215,35.768,134.2197,40.122,176.4678,124.5666,70.6412,51.8911,142.2229,345.9774,7926.9256,5482.2492,268.0938,392.9593,18.0712,215.7687,79.1173,33.1019,0.0,6478.566,23.5816,185009.935,3186.2546,0.4651,0.0
GBR_P,7.5822,0.7524,23.5281,4.8742,7.8484,42.2046,24.0689,2.3116,15.7448,5.5705,65.8763,348.2515,60.8009,14.1699,25.213,56.334,181.8588,19.4605,13.3176,23.6905,82.9808,17.4304,53.5948,65.2231,186.461,325.4095,51.6213,28.6411,67.8074,179.6553,27.4096,117.557,88.6533,385.8124,1307.8712,2814.8554,296.4062,4654.5101,1406.3503,6857.4196,16719.1758,1856.5165,103.6824,129.4656,0.0,34256.2256,31590.3877,78166.5421,8187.1593,2.8253,0.0
GBR_Q,10.53,7.9369,25.1901,2.176,5.3507,66.2852,5.1076,7.2538,16.2401,7.1344,16.6991,196.1097,48.7677,13.9609,12.9812,47.7656,112.8964,18.2874,17.4161,25.6007,21.0824,19.9456,49.9015,44.0973,150.3159,183.2197,30.2107,6.485,24.8941,24.041,7.6228,64.987,67.4931,46.9558,172.6356,499.1555,34.8542,463.5944,154.4637,319.5989,88.9298,17703.1796,159.3175,25.9091,0.0,42990.4202,18169.489,230934.5045,1656.4381,9.0341,0.0
GBR_R,31.3065,1.4414,12.6086,1.9532,3.4906,177.3768,15.2716,4.3793,17.91,2.3145,39.6799,23.0713,17.1048,8.4322,13.5274,18.8482,14.5796,11.3722,22.2302,62.5649,26.8985,30.7375,54.8539,62.8923,196.7415,707.0427,45.6973,10.6745,25.3532,44.8328,14.3225,128.475,1155.394,130.9261,395.0919,1049.4287,104.623,556.4377,574.0075,731.57,253.3029,401.1471,3361.5003,78.2857,0.0,38628.9351,2370.2985,4012.2768,1309.4956,25.2865,0.0
GBR_S,23.1208,97.8405,13.565,2.6378,2.539,81.2879,8.3774,5.3645,30.0804,6.3139,35.2701,33.5719,27.6696,13.6461,22.0268,42.5068,53.1794,12.8142,30.1287,63.962,35.097,33.1102,65.1261,42.3732,225.6681,179.492,22.7923,5.2886,19.4312,47.4012,4.4427,209.5778,844.7858,34.7336,112.6876,1284.659,56.1971,285.5525,270.8547,2178.0792,447.8639,1872.0268,224.8218,2791.5839,0.0,46251.5239,6553.5134,16.2996,493.3931,15.064,0.0
GBR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4796.3281,0.0,0.0,0.0,0.0,0.0
