V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T,SVN_HFCE,SVN_NPISH,SVN_GGFC,SVN_GFCF,SVN_INVNT,SVN_DPABR
SVN_C20,20.4195,0.042,0.4262,6.1182,0.0594,6.5615,11.1158,6.1541,18.4937,0.0947,111.7301,3.1843,59.5026,8.9619,8.3717,7.9982,3.2846,33.3791,4.3785,18.9502,1.3362,7.5487,9.0209,5.3417,13.4235,19.3317,3.4334,0.0114,0.4458,1.2564,0.1145,5.4111,0.6571,0.5516,0.9043,0.9807,1.8778,4.038,3.3159,0.9241,5.5127,8.8033,1.7378,1.0621,0.0,118.4987,0.0444,3.6,22.1627,14.1935,0.0
SVN_C21,3.2526,0.0316,0.0895,0.5242,0.028,5.5144,2.1837,1.2278,1.0861,0.0117,2.2428,250.1387,3.1825,1.4411,3.2993,2.8201,1.2374,4.5649,2.2695,3.1085,0.273,1.3592,2.948,0.8693,6.377,17.8881,2.9506,0.0082,0.3223,0.961,0.0967,2.5875,1.1291,0.81,1.7628,1.7739,0.6814,25.3393,1.6471,5.5347,2.833,111.0252,2.1949,1.3683,0.0,155.8172,0.2844,134.6314,207.9572,19.3705,0.0
SVN_C22,2.311,0.0471,0.2067,0.8147,0.046,28.1692,2.29,6.8421,5.5976,0.0273,19.4214,1.4397,182.4274,6.0795,7.7557,15.3761,5.0297,181.4661,10.9533,107.4949,9.5522,25.3497,3.4902,7.8164,39.2877,28.8372,10.4781,0.014,0.5663,1.3627,0.2635,3.2753,0.546,1.0337,0.8427,1.54,2.8166,8.7952,1.9413,1.6161,1.9321,4.5433,1.2907,0.957,0.0,50.0928,0.0385,3.6745,26.7707,23.2022,0.0
SVN_C23,3.6858,0.0268,0.2043,1.5882,0.0441,6.6376,1.3928,7.5531,1.5698,0.007,7.2036,1.8208,5.7807,55.1754,19.4214,20.1525,1.674,17.3624,2.3342,24.1411,0.1403,5.1588,3.255,6.4709,249.5056,24.1598,2.9196,0.0043,0.2175,1.2252,0.1247,4.5479,0.5326,0.4281,0.6987,0.9421,1.3127,10.2601,1.5496,1.3851,2.2174,2.7882,1.0815,0.9871,0.0,35.4219,0.0272,2.4716,11.2679,12.3032,0.0
SVN_C24,0.0464,0.0026,0.0222,0.0132,0.0349,0.5586,0.1712,7.2203,1.2361,0.0,12.031,12.6584,4.8903,1.6534,288.1269,168.2009,3.4531,133.8535,131.8712,146.0322,6.808,36.389,9.0232,6.5023,42.5408,17.2189,0.4072,0.0022,0.0,1.7629,0.0,0.0067,0.1804,0.0406,0.2073,0.0059,4.1892,18.4655,0.568,0.0297,0.3303,0.1167,0.0415,0.4403,0.0,1.044,0.0,0.0,0.0,24.5562,0.0
SVN_C25,8.1921,0.0682,2.0052,1.8125,0.1475,24.2541,3.4487,13.8591,7.1645,0.0486,9.617,5.5236,34.6834,13.9414,264.1188,364.4598,20.7047,102.1993,153.8021,129.5851,3.866,32.8556,10.0264,66.5802,155.7711,47.5796,8.0226,0.0193,0.936,7.711,0.3772,7.4825,2.2727,1.487,2.4459,3.0513,10.7552,39.8102,5.8168,9.2361,4.792,10.9466,4.4018,3.5379,0.0,131.2701,1.8588,10.0864,158.1424,33.0768,0.0
SVN_C26,1.316,0.013,0.1729,0.2719,0.0092,1.5244,0.448,0.8267,0.8921,0.0037,0.6853,1.0767,3.5983,0.7648,1.8079,3.3231,44.1015,36.2701,8.6966,24.4982,0.1282,7.3053,2.13,1.1955,10.1001,11.0027,1.0509,0.0041,0.2795,0.9393,0.0684,1.0456,0.2853,1.6685,9.9676,1.8593,0.8524,7.0849,1.376,0.8327,1.0235,1.7687,0.6802,1.7496,0.0,57.5679,0.0415,15.8432,130.1515,7.4036,0.0
SVN_C27,4.5414,0.0497,0.7055,0.6798,0.0338,6.7902,1.84,3.347,4.0193,0.0158,2.9061,3.6507,7.8606,3.7318,14.3796,24.6315,10.4667,118.779,21.4066,63.8315,0.7109,21.4418,11.4192,7.0418,46.3493,30.0019,4.5334,0.0138,0.7949,3.8577,0.2372,4.6931,0.6967,8.6184,2.4265,3.0905,6.0417,25.7891,3.2117,2.7892,2.25,5.256,1.9086,1.8544,0.0,140.4823,0.159,14.9595,194.6895,23.5575,0.0
SVN_C28,5.2314,0.0317,0.8239,1.2339,0.0629,5.0814,1.5425,2.6498,3.1594,0.0067,2.55,2.2715,5.994,2.551,16.4639,28.953,3.0732,17.5468,49.5648,56.4714,0.3611,7.3652,5.5388,5.9092,32.4536,17.2404,3.2656,0.0058,0.5368,3.3658,0.1631,2.7838,0.3891,0.6454,1.345,1.5337,2.4983,17.7637,2.1073,4.0961,1.6655,4.5827,1.1422,1.9548,0.0,50.2856,0.0603,5.2554,264.6591,9.2769,0.0
SVN_C29,1.9469,0.0268,0.1068,0.2177,0.0111,3.7209,1.1316,4.0493,1.1445,0.0085,1.4577,1.8552,4.4758,1.3819,11.3492,7.9035,1.8284,11.9384,4.1445,311.4532,0.318,2.8601,2.012,11.8867,8.1979,34.6116,17.4258,0.0167,0.3432,1.0569,0.1603,2.0991,0.5297,1.0262,1.2378,1.096,1.0276,3.6029,1.467,1.9988,0.8783,1.5518,0.7725,1.1479,0.0,346.4533,0.2759,21.1814,268.5595,25.6329,0.0
SVN_C30,0.0977,0.0165,0.0096,0.0067,0.0005,0.2373,0.0014,0.104,0.0543,0.0006,0.0102,0.0,0.0103,0.0388,0.5365,0.1941,0.108,0.0065,0.021,0.4221,4.7321,11.088,0.1109,2.0504,0.1928,12.0105,1.8286,0.0064,1.5808,0.8072,0.0245,0.0142,0.2899,0.0,0.0078,0.0024,0.0859,0.0875,0.0609,0.0268,0.005,0.238,0.2058,0.0337,0.0,40.7005,0.0,0.0,15.7857,-40.4087,0.0
SVN_C31T33,23.7893,0.0872,3.7138,6.8647,0.1824,14.2456,4.6941,8.1869,13.8962,0.0107,8.4469,9.736,17.2254,7.4497,26.0689,73.1748,11.4366,32.5241,51.5265,35.6862,0.8646,38.1456,20.7966,7.5496,46.5919,62.82,8.1639,0.0175,2.6104,18.8823,1.2977,10.5571,1.0097,2.0652,4.2222,9.4515,8.8851,79.0518,11.4526,8.9715,10.3131,52.8716,8.675,8.792,0.0,251.3227,0.1342,29.1176,138.1086,6.3163,0.0
SVN_D,6.0322,0.1584,4.3888,7.4169,0.1567,24.0543,4.3183,12.2612,26.2068,0.1417,19.2599,36.8148,22.1157,19.2505,116.7216,30.0951,3.5867,22.0088,16.5222,21.8491,1.1882,13.7001,110.5111,28.5566,41.242,114.7261,20.5445,0.0237,0.3542,21.209,2.1496,39.7803,4.6812,8.7921,7.2693,11.5773,20.9105,44.2033,9.7444,36.3064,24.4794,30.8205,17.6559,15.1551,0.0,590.7032,0.0121,3.3406,35.1716,0.6518,0.0
SVN_E,4.5513,0.1247,0.9601,1.7063,0.0474,15.4533,3.2034,4.1465,5.815,0.0256,7.905,11.9834,9.9729,6.5543,199.8929,48.193,10.1726,8.4695,6.0374,8.5032,0.422,7.539,18.992,255.9202,54.8699,46.7098,7.3707,0.0421,0.7285,10.3128,0.8467,23.3113,8.8564,1.3371,2.1141,4.1765,7.9017,21.9327,11.4448,22.5654,16.0839,20.573,7.3918,10.0285,0.0,377.7333,0.8142,11.3546,65.9009,2.21,0.0
SVN_F,22.5192,0.0634,0.9067,5.8393,0.1569,10.5159,2.145,23.9833,3.5495,0.019,5.9197,31.2754,8.8364,24.116,21.9829,71.633,3.3481,13.7287,15.8184,7.2048,0.4363,151.1962,101.1448,131.6347,2342.518,144.9431,33.5016,0.0639,0.821,67.9768,3.0649,54.5837,8.1262,4.5317,4.4329,25.7132,101.9403,492.3992,49.0695,259.9847,35.5536,52.8694,15.1345,4.3625,0.0,83.7787,1.1798,8.5421,3594.2331,2.447,0.0
SVN_G,131.9794,2.0092,2.2072,9.7204,0.4281,257.7534,93.2572,44.1578,49.8599,0.4202,60.6015,111.993,88.9655,53.3735,117.8498,126.8107,43.4206,130.4488,78.1605,177.0765,7.5341,55.3211,75.6317,71.4442,261.7794,540.9589,261.5677,0.5996,57.15,47.9722,10.1002,166.4257,23.8954,31.423,52.4387,54.6376,38.6177,154.9844,57.9089,75.1967,62.6752,93.8906,46.3844,29.3182,0.0,2136.9069,1.5724,66.6042,357.9538,90.3458,0.0
SVN_H49,26.9247,0.2102,1.9802,28.2207,0.2178,47.0419,9.1872,14.8496,29.9138,0.4332,26.5365,25.3517,27.8064,38.7521,50.3218,59.0378,8.0012,45.4754,29.4326,55.5862,2.0226,20.4667,15.6157,24.8705,76.5177,198.2797,346.2899,0.1396,2.7355,127.0541,10.9262,12.4513,7.0775,2.1113,5.7123,5.7248,3.4622,20.4313,51.8621,16.6204,14.2359,11.8894,11.3797,8.2408,0.0,276.5886,0.0692,121.7407,36.9281,125.1886,0.0
SVN_H50,0.269,0.0007,0.0045,0.0148,0.0001,0.2451,0.0542,0.0382,0.0498,0.0013,0.0728,0.0671,0.2002,0.1171,0.1793,0.2324,0.0309,0.2192,0.1448,0.3748,0.0054,0.0267,0.1587,0.0615,0.1339,0.1803,0.3557,0.0035,0.0697,0.1761,0.0177,0.142,0.0088,0.0069,0.0136,0.0626,0.0548,0.0801,0.0399,0.0339,0.0654,0.1051,0.0203,0.0206,0.0,1.6952,0.0013,0.2019,0.6367,25.4758,0.0
SVN_H51,0.5508,0.0041,0.0139,0.0567,0.0011,0.7249,0.3083,0.1777,0.2544,0.0019,0.3904,0.2711,0.4053,0.2025,0.8781,0.6299,0.1365,0.628,0.3626,0.9388,0.0258,0.2461,0.4699,0.1661,0.842,0.7605,1.1291,0.0009,0.0324,0.0669,0.0209,0.4352,0.0528,0.0438,0.0914,0.0686,0.1352,0.4507,0.1298,0.0938,0.1165,0.2504,0.0904,0.0754,0.0,0.4071,0.0108,0.7809,1.1188,34.1842,0.0
SVN_H52,6.0192,0.0929,0.1268,1.7212,0.1244,16.1937,3.9946,2.998,9.4094,0.0481,6.8176,29.1164,6.7539,7.0745,9.2497,14.8261,3.1191,10.7344,6.7173,13.6156,1.2635,4.9357,8.4639,10.0611,21.2908,148.7563,238.7149,0.5844,43.5348,516.6154,22.2822,11.5894,1.6394,3.4061,4.1648,3.3862,7.0831,9.3234,6.6323,12.5971,3.3017,4.7032,4.482,2.3147,0.0,267.1258,1.5172,120.2338,15.5851,50.759,0.0
SVN_H53,0.6529,0.1444,0.0403,0.6101,0.0098,1.9616,0.6315,0.7254,1.7436,0.0952,0.6807,3.989,1.0776,0.8959,0.9859,3.4715,0.6942,1.6189,2.3995,1.2865,0.4038,2.1191,5.6588,6.8212,5.4638,48.3364,10.9034,0.0233,0.3377,5.2321,40.7265,3.3728,17.0878,8.2516,21.7558,48.6536,2.8011,8.3252,7.6154,46.1951,4.585,9.5992,3.0234,16.3762,0.0,20.9987,0.0017,0.3185,1.2183,0.2083,0.0
SVN_I,0.503,0.0557,0.0463,0.2018,0.0214,2.1904,0.4457,0.5577,0.6689,0.0027,0.9063,5.7448,1.5294,1.266,0.5031,9.5186,1.4702,2.7912,5.2554,5.1359,2.2105,4.7084,1.5471,0.694,16.5721,21.3052,19.7807,0.036,2.0043,4.5377,0.2396,16.1525,1.1448,3.5004,5.5468,2.4088,0.5596,12.132,119.7536,7.1209,12.6335,7.1346,13.0562,9.0467,0.0,963.8867,0.0092,29.9633,0.0,0.0005,0.0
SVN_J58T60,1.1395,0.0435,0.0364,0.1628,0.0131,4.1154,0.6244,0.5254,1.7154,0.1236,1.0484,18.488,1.312,1.2974,5.7367,2.1567,1.2423,2.7715,3.3496,2.1146,0.3921,1.4852,2.1137,5.953,2.4086,38.3685,3.0521,0.0216,0.972,4.8251,0.6619,5.1092,111.0896,34.3769,3.6001,6.2819,0.9559,34.0881,8.4619,6.9743,4.8551,2.8379,7.7876,7.8671,0.0,92.5953,1.9536,81.4952,9.5517,0.8985,0.0
SVN_J61,1.0406,0.0807,0.0705,0.2782,0.0351,2.5458,0.7653,0.9228,1.2182,0.0091,1.2592,4.6386,2.259,1.1553,1.0864,3.071,1.546,4.1065,3.2671,2.2821,0.4359,2.4143,7.079,2.8308,8.7201,35.163,17.9746,0.0274,0.9331,4.3438,2.2491,6.7735,8.9543,297.0677,51.1141,18.3469,1.7862,13.5582,6.7053,15.219,6.0037,8.8064,5.4067,11.1342,0.0,440.5163,0.0315,6.3024,9.8987,1.0836,0.0
SVN_J62_63,2.7472,0.1364,1.2821,0.6985,0.041,8.9323,2.181,2.683,11.5227,0.0371,5.7383,37.9833,6.189,5.1367,5.097,8.3472,5.2268,15.0686,8.2919,11.4465,0.3536,5.0521,40.6967,5.854,10.4308,116.4743,12.634,0.0735,17.468,19.707,3.8454,11.1681,9.2468,51.7559,209.2283,70.0336,5.2477,59.636,20.3825,52.0925,14.7929,26.7975,10.5951,18.5928,0.0,59.6512,0.1198,12.3938,479.3147,1.941,0.0
SVN_K,23.8603,0.2106,1.2932,5.6254,0.2897,19.7039,4.5522,9.3641,11.694,0.0351,20.2589,28.2418,13.782,10.2483,23.1311,34.3306,6.5618,30.4199,23.4907,33.7755,2.0783,17.8504,49.2566,20.5915,65.1078,190.7546,71.7636,0.3646,6.6203,31.2547,7.3316,40.7222,5.7455,13.8012,23.8239,422.2789,117.3979,81.2081,40.2434,62.3356,8.0609,19.3856,16.9787,16.8246,0.0,1056.0144,0.1513,5.3688,22.7706,0.6029,0.0
SVN_L,2.7865,0.2107,0.0878,0.2399,0.0271,9.2001,2.4646,3.7896,4.2523,0.0151,5.1366,8.381,5.4498,2.8009,7.0937,17.5493,2.2146,10.2579,6.5941,5.9704,3.7556,6.9336,9.579,44.5823,39.9227,217.5604,17.1211,0.0661,2.4735,25.8681,2.4539,45.2002,3.9105,12.7778,17.8357,15.6191,39.5215,34.9736,25.8363,29.081,10.0472,15.1886,11.017,10.1001,0.0,3255.7884,0.0346,31.7074,49.1089,0.4722,0.0
SVN_M,29.557,0.5039,2.0702,5.0976,0.6568,73.4815,11.532,20.9445,26.281,0.2671,26.6057,370.689,56.7469,28.9956,53.3262,84.3338,28.9668,61.553,59.4175,65.568,3.5156,66.9145,69.4756,48.6047,400.3614,623.4507,85.4866,0.2569,6.8372,53.0744,3.4734,78.3902,65.5379,25.4642,57.8796,99.0844,63.3459,729.4714,92.5166,134.5902,65.7139,78.7623,66.9053,51.5831,0.0,189.1298,1.7985,130.0439,791.9949,5.4568,0.0
SVN_N,5.5824,0.1124,0.6719,3.0122,0.2203,29.227,8.0013,9.3179,20.6113,0.0253,9.4172,117.1398,19.9512,12.2851,19.6893,45.8156,8.4401,56.218,34.2273,70.3171,1.2296,31.1066,35.5722,21.5595,48.3029,228.3111,39.9312,0.0661,17.4625,39.1331,11.1873,90.2664,12.5722,14.4773,30.0123,30.1571,16.3095,61.5668,182.8758,24.1519,35.1911,35.9257,42.1304,20.5009,0.0,289.0835,1.8383,27.4538,29.2625,2.3005,0.0
SVN_O,2.3582,0.1294,0.0546,0.0825,0.0228,7.1897,1.0453,2.1997,2.7364,0.0104,3.1518,8.6434,3.1935,1.4533,4.1363,12.1049,1.4679,5.5587,3.8573,3.6304,2.21,4.0401,5.7782,27.5788,17.6313,108.0825,35.277,1.1376,0.9524,31.7463,1.9936,19.9042,2.7304,11.8624,12.56,20.8042,25.2852,24.7041,17.4679,102.0726,6.9831,9.8716,7.8875,6.1528,0.0,79.5404,47.3868,3226.467,12.9567,0.1284,0.0
SVN_P,3.2225,0.0499,0.1021,0.229,0.0174,5.1329,0.5926,1.0458,1.6263,0.0096,1.1969,11.8726,2.7031,1.0345,1.8547,4.3938,3.0409,4.8355,3.2336,4.6197,0.249,2.7149,11.5313,2.6151,6.3489,33.6142,5.4635,0.0136,5.0676,2.9053,0.6938,4.741,1.8067,2.9281,9.9613,10.2196,1.5656,24.4154,4.8674,35.6973,35.717,21.1661,5.2156,7.1218,0.0,390.4338,40.2986,2258.2694,106.5835,0.4841,0.0
SVN_Q,1.6582,0.0513,0.1682,0.113,0.0076,2.1327,0.4931,0.5206,0.8681,0.0031,0.8026,5.1211,1.0681,0.8051,1.0453,2.5549,0.4639,1.6038,1.2591,2.017,0.1435,1.4585,4.3208,2.3199,3.3273,12.0819,2.5137,0.0151,0.2728,2.2664,0.5234,5.2662,0.5637,0.7307,1.7853,2.2541,1.2423,3.9709,4.1263,7.3607,4.6858,186.9612,4.3276,40.7192,0.0,740.3221,55.9714,2671.2919,16.8227,0.2936,0.0
SVN_R,0.9466,0.0632,0.126,0.337,0.0048,1.9721,0.7296,0.6224,0.6692,0.0057,0.5052,5.2893,0.5985,0.553,3.3234,1.4419,0.4085,1.484,0.901,4.0839,0.2076,2.277,1.1673,1.4173,1.6872,10.5746,3.0363,0.0326,0.3624,2.2583,0.1997,9.9806,5.8282,4.1409,1.5085,3.95,1.7029,4.4533,6.0252,3.0315,11.285,1.8801,148.5276,7.155,0.0,591.9359,90.2244,228.1815,5.7788,0.9944,0.0
SVN_S,3.8901,0.5226,0.1086,0.3466,0.0168,5.8092,0.8998,0.7133,0.7972,0.0324,2.3586,3.3206,1.5746,1.6752,0.8681,4.3071,0.9531,5.3198,1.7879,1.5796,0.4729,1.5583,19.5642,4.4345,3.3441,27.3543,9.7152,0.0792,4.4688,4.5245,0.6699,17.6589,5.2276,2.115,4.1814,15.6251,2.1526,15.8984,4.1511,18.0289,8.2191,18.7205,30.6424,68.9193,0.0,372.0376,195.0394,47.8798,4.1213,0.6006,0.0
SVN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1086,0.0,0.0,0.0,0.0,0.0
