V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T,KHM_HFCE,KHM_NPISH,KHM_GGFC,KHM_GFCF,KHM_INVNT,KHM_DPABR
KHM_C27,0.0012,0.0,0,0.0005,0.0001,0.0015,0.0004,0.0006,0.0001,0.0085,0.0004,0.0,0.0002,0.0001,0.0009,0.0025,0.0,0.0001,0.0035,0.0025,0.0031,0.0154,0.0103,0.0051,0.0429,0.0168,0.0052,0.0009,0.0008,0.0018,0.0005,0.0146,0.0031,0.0119,0.0003,0.001,0.0004,0.0005,0.0004,0.0058,0.002,0.002,0.0015,0.0066,0,0.0571,0.0,0.0184,0.0864,0.1245,0.0
KHM_C28,0.0,0.0,0,0.0,0.0,0.0055,0.0009,0.0001,0.0004,0.0158,0.0001,0.0,0.0005,0.0003,0.0058,0.0194,0.0,0.0,0.0288,0.0011,0.0015,0.0113,0.6187,0.3512,0.3166,1.4828,0.4671,0.152,0.1453,0.2074,0.0,0.0019,0.0552,0.0001,0.0013,0.0,0.0,0.0034,0.0337,0.0015,0.0,0.002,0.0607,0.081,0,0.5625,0.0,0.0,8.3979,0.1019,0.0
KHM_C29,0.277,0.0326,0,0.1714,0.0191,0.0025,0.0004,0.0,0.0002,0.0544,0.0,0.0,0.0002,0.0001,0.0011,0.0038,0.0,0.0,0.0022,0.4289,0.0904,0.0113,1.3013,0.7196,0.5306,0.0036,2.1762,0.0553,0.1432,0.2331,0.189,0.0526,0.0879,0.2993,0.2167,0.0,0.2827,0.4507,0.5438,0.0008,0.0,0.0001,0.1153,0.2171,0,15.963,0.0,0.0001,20.1481,0.7629,0.0
KHM_C30,0.2592,0.0827,0,0.2632,0.0375,0.0017,0.0005,0.0,0.0002,0.0802,0.0,0.0,0.0002,0.0001,0.0003,0.0015,0.0,0.0,0.0013,0.5072,1.9158,0.0583,1.2827,0.3679,0.5825,0.0029,1.9203,0.6026,2.1081,0.2772,0.149,0.0546,0.1212,0.1827,0.2988,0.0,0.2695,0.6636,0.5232,0.0019,0.0,0.0001,0.1319,0.1546,0,11.1035,0.0,0.0005,34.791,-36.6633,0.0
KHM_C31T33,7.8514,5.7067,0,0.8844,0.1644,2.9522,0.5756,0.176,0.197,4.686,0.1356,0.0259,0.2139,0.3142,0.5127,1.3236,0.0017,0.0028,0.0176,0.0902,0.3154,2.9659,3.2601,2.769,18.5832,10.975,7.5137,1.6778,4.4808,2.5637,2.0486,6.6003,0.8503,6.7905,0.1028,0.4114,0.2922,0.2348,0.6802,2.7209,2.0925,0.4105,2.4144,1.8149,0,70.1622,0.0109,0.0035,58.3635,1.3514,0.0
KHM_D,6.5301,0.2061,0,0.1249,0.0094,16.5287,2.0201,0.1808,1.9212,0.3518,0.8242,0.0589,1.2652,0.3888,0.2835,0.2976,0.0006,0.0017,0.0222,0.0201,0.0246,0.382,28.6474,5.4495,4.9768,3.5315,3.1197,0.1718,0.3509,1.2219,0.7852,6.2541,1.9128,8.6603,3.6933,1.8757,68.6364,7.6906,2.634,19.0269,3.2554,2.1786,1.9493,2.2802,0,326.4881,0.5272,0.5225,0.0,0.0,0.0
KHM_E,4.8781,0.1596,0,0.1533,0.0348,5.5808,0.3499,0.0434,0.2848,0.0554,0.1186,0.0127,0.2431,0.5323,0.4357,0.3329,0.0005,0.0017,0.0408,0.0782,0.1615,0.6297,4.0939,10.8489,9.0563,6.6853,5.288,1.0323,1.4516,2.5292,1.5106,12.6795,0.5469,6.2093,0.4605,0.4993,17.3632,1.1084,1.0101,5.5089,1.4917,0.4851,0.5504,2.4098,0,154.7447,14.5968,16.1852,27.6881,0.0,0.0
KHM_F,2.395,0.0007,0,10.8541,2.2354,0.0017,0.0005,0.0006,0.0002,0.2048,0.0001,0.0,0.0,0.0007,0.0005,0.0012,0.0,0.0,0.0002,0.0006,0.001,0.0267,141.7508,41.0216,313.4938,0.0043,52.1682,6.2008,8.5596,26.309,0.0001,5.3164,4.728,0.0009,0.0022,0.0006,0.0095,0.0268,2.7604,0.0048,0.0025,0.7371,6.6216,9.7185,0,523.9443,0.0056,0.0025,2683.5756,0.0,0.0
KHM_G,111.8463,8.0503,0,2.2664,0.4627,125.1306,322.0957,10.6326,10.2724,7.8583,4.4037,0.9226,18.4934,2.3849,5.0304,11.3623,0.009,0.0153,0.5846,2.6637,2.6837,9.2841,21.5322,14.1732,93.6477,73.3196,44.3418,3.6904,5.7729,6.901,3.3832,88.1201,5.7641,11.1682,4.9415,1.1565,10.3795,11.3794,8.5119,15.2254,4.9108,12.2556,4.3289,7.0958,0,812.1081,0.8377,3.71,153.5081,40.1791,0.0
KHM_H49,24.8136,1.6943,0,0.442,0.0577,42.3125,36.1859,2.367,1.7912,1.605,1.1281,0.1744,3.9243,1.3833,1.7726,3.5183,0.002,0.0032,0.1361,0.395,0.4454,1.8701,7.6453,4.7599,47.8273,78.0693,18.6696,1.8717,2.3438,4.3112,2.2898,56.5274,1.8556,4.6193,4.1384,2.9224,22.9786,8.8463,4.6188,16.9614,4.7585,2.7594,1.5411,2.7572,0,236.5235,0.7914,0.9535,30.2448,0.0,0.0
KHM_H50,0.0879,0.0534,0,0.0061,0.0009,0.0273,4.8709,0.0365,0.0614,0.2181,0.0645,0.0265,0.2598,0.0109,0.0157,0.0547,0.0006,0.0008,0.0274,0.0424,0.0398,0.3008,0.1585,0.0633,0.6462,0.0203,0.0076,0.0049,0.0087,0.0063,0.0102,0.0167,0.0257,0.135,0.0071,0.0193,0.0118,0.0391,0.0278,0.0074,0.0091,0.477,0.0367,0.0804,0,4.4647,0.0197,0.2047,8.52,54.7275,0.0
KHM_H51,0.8585,0.0895,0,0.0169,0.0018,0.0168,4.2268,0.0709,0.0932,0.3227,0.0779,0.0183,0.3001,0.0287,0.0508,0.102,0.0005,0.0007,0.0233,0.038,0.0347,0.2494,0.1086,0.0914,0.465,0.0149,0.0108,0.0059,0.0032,0.0051,0.0055,0.0079,0.0107,0.0747,0.0031,0.0084,0.0055,0.0189,0.0148,0.0033,0.0049,0.2233,0.0302,0.0763,0,0.0053,0.0044,0.1619,6.7461,56.6617,0.0
KHM_H52,8.4168,0.4016,0,0.1263,0.0163,19.4969,7.5525,0.618,0.5162,0.3215,0.3267,0.0463,1.0766,0.4746,0.5865,1.1329,0.0003,0.0005,0.026,0.1023,0.1179,0.3583,2.55,1.8762,17.0009,60.1778,17.0372,7.3902,8.8195,10.0578,1.429,22.787,0.6699,2.2288,1.777,1.1499,12.1811,3.0225,2.8368,6.8559,0.8614,0.5755,0.3911,0.7905,0,43.9657,0.4093,0.1858,4.7909,1.8783,0.0
KHM_H53,2.591,0.0074,0,0.3171,0.0745,3.3328,0.2006,0.0934,0.1914,0.0097,0.205,0.0434,0.1972,0.0486,0.0277,0.0899,0.0,0.0,0.0051,0.0315,0.0488,0.0278,0.3076,0.3367,1.4114,8.8171,2.507,0.44,0.5527,1.5695,3.1706,2.4756,0.5304,3.7689,0.3553,1.6272,9.2812,0.7451,0.6111,2.0911,0.8682,0.2349,0.1883,0.4101,0,29.5768,0.1841,0.0009,0.0004,0.3891,0.0
KHM_I,10.4935,0.0287,0,1.0014,0.4773,96.1779,7.8003,0.7221,0.7205,0.7594,2.0037,0.4403,4.9739,0.6558,1.1498,3.1164,0.0002,0.0003,0.0273,0.2491,0.4393,0.4918,6.4661,3.8374,43.5156,194.5924,71.3582,8.8603,62.2288,17.4435,1.4431,141.8861,3.8931,7.4793,12.0535,14.1514,41.1545,20.655,29.3465,28.2665,9.0576,21.3546,1.8845,4.6019,0,883.7664,0.1757,0.1709,2.2781,0.0,0.0
KHM_J58T60,1.7081,0.007,0,0.1882,0.0025,4.5252,0.3811,0.0146,0.3035,0.0279,0.0681,0.0148,0.0802,0.1951,0.098,0.2949,0.0001,0.0001,0.0243,0.0518,0.1167,0.1183,1.4831,0.2938,1.8738,1.8872,2.5489,0.56,1.3581,1.1925,0.4264,6.6772,8.4363,7.5719,0.505,0.4007,4.7722,1.5995,0.9526,2.8851,1.4838,0.1473,0.6204,0.3083,0,69.0822,1.718,12.0855,1.4993,0.2204,0.0
KHM_J61,12.9641,0.0373,0,1.5928,0.4337,13.6664,0.7983,0.432,0.6776,0.0384,0.7608,0.1439,0.8202,0.2269,0.1143,0.3946,0.0,0.0,0.0219,0.1241,0.2045,0.1159,1.2392,1.2493,8.3969,28.5588,15.3097,2.1017,3.4772,5.7627,0.396,15.6637,2.5676,18.1247,2.591,6.129,46.3542,3.2801,2.6691,7.0547,3.7301,1.3162,0.8599,1.3806,0,240.0697,0.4259,0.0019,0.0012,0.3766,0.0
KHM_J62_63,2.7386,0.0048,0,0.2833,0.0564,6.2629,1.3913,0.0579,0.3354,0.2556,0.0751,0.0145,0.2801,0.1472,0.0639,0.1649,0.0,0.0,0.0107,0.0511,0.0913,0.1078,0.5553,1.7102,3.3166,15.2486,3.2108,0.5652,1.7776,1.6113,1.4845,9.4232,3.1484,16.6037,8.71,5.176,11.7693,3.3998,1.335,12.7406,3.0676,0.5787,1.5291,1.7145,0,71.7189,0.5354,0.3965,0.1007,0.0502,0.0
KHM_K,1.2603,0.0045,0,0.9678,0.1382,12.1441,3.1034,0.1301,0.1584,0.5382,2.6809,0.3803,0.3683,0.0978,0.2163,0.488,0.0007,0.0013,0.1508,0.0375,0.043,0.3934,2.5028,1.0898,6.7776,27.2962,7.1752,1.6632,2.1026,2.4149,0.2173,6.6207,0.4689,1.2752,0.5117,12.8764,65.8304,1.2007,1.0287,1.7196,2.0721,0.9418,0.4644,0.8675,0,219.2859,0.0624,0.1357,4.9287,0.0718,0.0
KHM_L,0.0226,0.0,0,0.0301,0.0069,0.1718,0.0136,0.0492,0.0026,0.0144,0.0026,0.0005,0.0074,0.0025,0.001,0.0038,0.0,0.0,0.0001,0.001,0.0015,0.0027,0.0096,0.0064,0.0199,0.3816,0.1408,0.0161,0.028,0.0839,0.0046,0.2378,0.0066,0.0376,0.0451,0.0711,0.8593,0.1176,0.0506,0.2167,0.0958,0.0169,0.0044,0.0065,0,1381.9303,0.6244,0.5919,0.0001,0.0319,0.0
KHM_M,8.2507,0.015,0,0.6442,0.1756,11.6129,1.7576,0.1156,0.6139,0.5142,0.2253,0.0737,0.6524,0.3025,0.1247,0.3033,0.0,0.0001,0.0252,0.1377,0.2,0.1806,0.8998,4.0744,9.9666,30.334,4.8877,0.9886,1.6905,2.1109,1.1946,16.0208,3.9828,12.6724,4.3352,4.3578,52.3322,18.6619,3.2957,15.2178,3.7169,1.4148,2.9936,4.4886,0,131.3434,1.9783,9.3112,39.3303,0.0649,0.0
KHM_N,5.1162,0.009,0,0.2605,0.0547,6.938,1.3491,0.1043,0.3475,0.1944,0.1067,0.0237,0.438,0.1975,0.1406,0.3927,0.0,0.0001,0.0113,0.0602,0.0926,0.1566,1.1694,2.7323,5.6643,19.5146,5.8117,1.8812,4.0204,2.1341,1.689,21.3214,2.2253,9.4668,3.3216,3.1012,35.1421,7.0563,6.7388,8.2286,2.8178,1.1931,2.2058,2.1678,0,120.469,1.0972,0.4281,1.8038,0.0736,0.0
KHM_O,1.1484,0.0013,0,0.5276,0.099,1.6872,0.0799,0.0067,0.0563,0.0033,0.0166,0.0038,0.0213,0.0166,0.024,0.0465,0.0,0.0,0.0,0.0013,0.0026,0.1711,2.0682,0.5983,0.1134,1.7077,1.4162,0.2432,0.3931,0.4605,0.0373,2.9242,0.2777,0.1884,0.7559,0.0523,4.7629,2.3122,0.7094,0.3576,1.8067,1.724,0.2163,0.3086,0,73.5566,0.0,585.9725,0.0001,0.0,0.0
KHM_P,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0512,0.0019,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,0.0,0.2556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1437,0.0001,0.2188,0.0,0.0001,0.3843,0.0771,0.0,0.3447,0.7818,0.1773,0.3596,0,216.2746,42.4811,157.2472,0.0,0.0,0.0
KHM_Q,0.0,0.0,0,0.0,0.0,0.0001,0.0014,0.0,0.0,0.0051,0.0012,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.1934,0.0,0.0122,0.0008,0.0001,0.0002,0.0004,0.0,0.0,0.0921,0.0,0.2575,0.0,0.0,0.7277,0.2752,0.0,1.9757,0.9014,0.2509,0.4424,0,386.1332,115.1871,270.7677,0.0,0.0,0.0
KHM_R,2.7598,0.0149,0,0.1359,0.0248,3.2331,0.1164,0.009,0.0436,0.0152,0.0242,0.0058,0.0517,0.0867,0.0167,0.0408,0.0,0.0,0.0134,0.0341,0.0462,0.015,0.7131,0.3058,0.9597,0.6453,1.8866,1.3857,0.8427,1.2035,0.5518,2.8415,1.6095,2.6306,0.2537,0.2989,3.207,0.8259,1.6337,1.5805,1.3947,0.2761,5.082,0.7907,0,87.9891,16.2418,41.8393,0.5124,0.044,0.0
KHM_S,6.233,0.0938,0,0.3419,0.0884,5.927,0.3743,0.041,0.0963,0.0602,0.0764,0.0141,0.1239,0.342,0.0495,0.1236,0.0,0.0001,0.0382,0.0959,0.1479,0.2138,4.3587,2.4901,3.0836,2.8596,6.8693,1.176,2.238,2.4202,1.292,9.5334,1.1919,4.672,0.4851,1.4652,8.5153,1.7774,1.4811,4.0641,1.8562,1.0002,1.2445,4.3837,0,198.461,172.8348,26.6866,1.2974,0.0,0.0
KHM_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
