V1,RUS_A01_02,RUS_A03,RUS_B05_06,RUS_B07_08,RUS_B09,RUS_C10T12,RUS_C13T15,RUS_C16,RUS_C17_18,RUS_C19,RUS_C20,RUS_C21,RUS_C22,RUS_C23,RUS_C24,RUS_C25,RUS_C26,RUS_C27,RUS_C28,RUS_C29,RUS_C30,RUS_C31T33,RUS_D,RUS_E,RUS_F,RUS_G,RUS_H49,RUS_H50,RUS_H51,RUS_H52,RUS_H53,RUS_I,RUS_J58T60,RUS_J61,RUS_J62_63,RUS_K,RUS_L,RUS_M,RUS_N,RUS_O,RUS_P,RUS_Q,RUS_R,RUS_S,RUS_T,RUS_HFCE,RUS_NPISH,RUS_GGFC,RUS_GFCF,RUS_INVNT,RUS_DPABR
RUS_C20,2408.3237,7.2483,156.2837,16.1184,1002.2258,1060.7259,341.3375,378.9345,684.1061,1271.3018,4515.879,259.6546,3829.8099,707.1186,579.113,778.4591,154.2747,428.6076,129.548,329.0135,101.475,412.1233,155.6833,103.8762,862.1526,552.3488,105.2168,5.3933,20.6552,87.0695,1.9373,124.4938,27.0798,8.8898,4.2349,9.4981,285.4648,183.2253,350.5592,116.3178,46.3345,242.0411,68.546,66.5043,0.0,5409.4,0.6671,35.6678,213.4948,662.1638,0.0
RUS_C21,262.0451,0.5268,2.5511,0.3127,5.4826,75.2841,2.227,2.254,5.2091,30.0841,9.455,649.6944,3.5261,4.1265,10.6234,5.7541,2.4933,2.201,2.316,2.9735,4.0152,4.2944,16.726,1.5483,19.5844,56.6105,5.4455,0.176,1.3263,3.3996,0.1838,3.9522,1.9242,2.0858,1.6426,5.5599,8.1098,71.2764,2.8378,217.967,42.5157,2220.4866,7.5917,1.9545,0.0,3844.2848,0.1875,709.9611,20.836,158.7209,0.0
RUS_C22,233.4668,20.716,165.6704,19.8819,239.2862,1480.2484,46.3268,87.5715,184.0359,37.2609,302.8146,76.8575,860.3613,185.0164,93.7424,175.3031,96.2512,230.7097,194.0044,949.1434,130.7964,475.5094,106.8009,67.9745,4376.9519,939.2782,203.275,1.0816,8.0987,128.6025,6.7288,134.5036,6.6556,9.5713,8.8425,17.2036,864.5499,182.0327,57.9544,66.6039,28.4886,79.3253,13.6766,26.385,0.0,2094.3566,0.0308,2.5859,100.7044,296.1065,0.0
RUS_C23,75.3596,1.4526,81.8065,16.0997,135.9829,672.0109,4.8502,15.8108,11.4543,38.6786,106.6138,172.9588,108.0727,3306.4861,884.5783,77.7246,42.0439,178.6849,72.54,318.7511,92.9466,162.2262,173.2211,94.316,12402.3258,170.3217,75.2126,1.4204,4.289,402.7252,0.5516,45.6984,1.1376,4.7211,1.0011,2.0864,1381.0736,88.1684,27.6021,60.5722,28.7352,52.3703,17.3355,30.3247,0.0,1830.1222,0.1659,7.8591,110.9243,425.0076,0.0
RUS_C24,22.5221,3.3432,471.3274,40.1775,2271.3869,226.0507,2.029,32.0348,77.3825,38.3852,1278.5017,20.6339,83.6244,659.8589,27387.977,7372.2494,503.6584,2738.3174,2379.0128,1721.5651,2291.8553,1698.412,1308.8895,3115.7554,8221.8921,160.6434,771.0449,5.7786,0.0575,207.5197,0.1922,0.5166,4.8288,2.8463,0.0781,0.9083,201.2498,314.1171,51.1106,32.5264,10.1016,11.0847,2.746,44.3143,0.0,109.0582,0.0,0.0,6786.8747,1743.5129,0.0
RUS_C25,234.9671,37.4203,162.4877,28.5728,1067.5576,694.7747,31.5775,82.9401,43.6903,60.2607,229.3794,45.9559,99.6091,358.4579,524.3582,2765.2168,366.7444,306.1068,1155.1232,1021.3833,1076.3713,735.7959,319.7633,82.2677,8203.8485,469.4992,95.4405,6.7765,7.7647,148.5159,1.8006,51.2188,4.7549,25.6365,10.8309,26.91,409.5356,867.7008,43.9381,423.2603,26.569,43.9534,20.6845,51.1179,0.0,2646.8356,0.2436,39.423,4977.7311,569.69,0.0
RUS_C26,45.7211,9.2847,65.6222,1.9312,211.2815,54.8992,2.9005,4.9344,32.8985,32.5725,23.699,10.602,5.7971,10.4841,168.511,167.8682,2170.874,153.7535,91.1317,82.7005,423.6537,303.1896,109.3931,13.7571,362.9007,288.1472,59.7712,1.9227,7.6984,67.9247,6.1247,11.4807,58.4941,566.2621,326.7728,58.8174,74.1853,1188.2428,57.9007,199.8564,44.8648,227.4577,38.3959,95.0752,0.0,4951.0268,0.4493,32.685,5215.0553,301.0038,0.0
RUS_C27,86.176,4.4655,117.8676,4.0834,412.5803,50.5095,3.6915,6.9744,11.3779,63.3341,28.331,5.3987,12.5524,79.1904,263.2314,107.5041,567.5708,1004.7438,397.4929,267.926,466.497,421.8004,450.6098,29.5197,2300.8994,341.0005,147.0293,5.3442,23.1194,175.5976,1.8415,46.5434,11.9055,142.7481,51.1199,14.7013,196.8398,597.0591,34.1709,156.7363,13.9167,54.1399,20.9969,90.8689,0.0,830.4662,1.2391,7.8345,2095.2909,286.7933,0.0
RUS_C28,521.691,35.5815,241.607,34.0236,973.8269,224.5622,16.4933,70.2614,88.6439,113.8173,48.9219,8.4602,31.6399,139.5264,651.6614,249.8658,78.605,86.6435,654.586,213.4743,445.1352,369.8896,149.1445,55.6301,941.8763,379.9945,138.2624,14.1213,31.3186,86.3495,2.9954,21.1202,6.7789,16.9319,26.4248,30.6963,149.8697,209.7281,49.1081,57.615,13.0887,33.2887,13.001,25.136,0.0,2211.3617,0.1569,9.5981,4823.1685,224.8593,0.0
RUS_C29,177.2823,1.684,85.7655,16.2447,61.0714,73.3428,2.8356,12.7801,16.8033,12.1824,9.8054,1.1689,14.7187,22.0848,230.1653,61.4977,30.2327,19.5933,123.9617,7959.1852,99.4409,134.109,66.4114,79.4345,218.2724,2055.5401,612.3293,2.5172,2.2171,230.7484,6.3528,6.0476,2.7481,9.7573,4.2256,15.0105,43.7831,98.0406,90.9041,118.1076,14.9198,32.4906,12.0622,20.3906,0.0,15302.18,0.1905,14.3002,10299.4547,647.2032,0.0
RUS_C30,1.4617,127.2173,12.4899,7.3036,21.2463,19.7428,0.014,1.6871,6.2214,2.947,0.5101,0.3597,0.6802,1.6617,32.1545,0.9686,0.0309,1.0245,1.8791,5.941,5368.0319,476.1367,0.7414,0.4295,0.4651,70.6402,3178.1777,148.0706,1040.4305,1033.6368,0.0325,0.0726,7.8353,0.0172,0.0,0.0,0.147,680.3405,321.9297,555.2187,15.0365,2.738,12.13,2.1951,0.0,838.4724,0.0,23.7217,16207.3494,313.7289,0.0
RUS_C31T33,533.8301,93.3996,657.4481,42.1067,1764.2602,462.0465,29.2993,69.4331,206.1291,175.2763,387.6634,27.58,62.7908,148.3965,826.9162,209.2697,63.2057,55.3166,238.6185,112.1524,502.5895,895.4089,880.9077,164.9446,944.5402,950.0741,751.5897,16.6332,96.6753,1000.6179,45.4697,69.978,206.3714,244.6135,58.7568,80.1386,560.6386,346.0505,128.2583,393.9632,83.2887,861.0486,141.5111,77.7023,0.0,6294.2576,1.8875,261.7999,4334.0168,99.9676,0.0
RUS_D,2144.2607,31.0724,1920.8671,207.02,4376.5882,2198.1942,217.5359,448.48,845.4759,1852.6961,2935.5246,77.1669,531.1393,2070.4592,7007.7365,1168.2044,306.8179,226.0994,503.1686,455.6595,659.2814,455.4988,39667.0263,1309.4832,1341.641,4372.2938,5129.2027,16.5808,20.6901,650.4993,76.8496,751.0349,69.8357,689.6579,99.8662,337.1006,5838.5836,962.9497,436.6111,3040.9651,1673.1782,1881.4201,672.8601,293.8956,0.0,26259.1876,0.5283,2679.4142,813.2265,11.7018,0.0
RUS_E,87.5668,2.6789,107.5634,4.4948,202.4667,204.903,12.5161,21.906,254.9338,109.3562,131.2952,11.3882,47.5174,193.1148,5115.8051,516.765,31.0243,16.0766,57.6022,59.6323,80.102,48.181,695.4731,2063.2029,232.6171,439.4924,110.2534,7.1072,3.5085,94.1631,23.4228,96.1071,11.1282,39.6089,12.7392,20.8005,1413.6719,158.0103,79.3713,1334.3525,188.3872,280.2062,63.8648,31.8288,0.0,4123.7915,0.3056,323.3815,154.2628,28.8173,0.0
RUS_F,405.9568,40.6368,1729.9393,69.7587,4017.6877,517.1659,40.257,53.2213,157.3639,782.9965,370.3239,36.6557,63.2273,216.771,1131.3618,351.1471,123.4429,136.6015,99.2555,81.4666,286.7131,204.5179,1530.4391,412.0732,6236.5857,1923.0639,1256.6266,25.0165,66.0804,822.7778,44.4662,346.3273,32.5669,158.2391,85.0499,81.0072,5828.5785,1044.2174,171.2852,11975.076,1594.523,2518.6244,1238.3302,225.8794,0.0,868.6828,0.915,62.159,138754.6633,157.4376,0.0
RUS_G,6728.2814,329.5928,1569.5606,156.9027,3479.2572,15111.027,1665.9924,1173.318,1625.7455,15682.0291,3369.7278,947.4542,1720.9033,1706.7816,5434.4322,2449.4266,1481.6079,1210.3721,1213.3364,4208.7139,1986.9267,2023.2054,7980.992,733.9225,10891.2907,11785.9159,4148.8886,156.9608,1341.2991,2305.7272,89.1726,2210.3066,311.6422,678.0163,421.8615,729.1834,1919.0242,2742.5168,803.279,3665.6962,706.7347,3588.68,494.0801,476.5211,0.0,109567.2292,14.9416,1778.5558,13841.1421,5301.9209,0.0
RUS_H49,1544.4164,33.1005,5391.407,151.1454,6017.6907,2908.3744,89.7602,568.975,446.9553,9044.3936,1840.8151,57.9688,275.4072,1178.1285,3083.9625,663.024,238.5496,217.4169,296.5481,645.3039,536.8877,437.6672,1357.6268,319.8821,2988.3541,29907.7789,4999.7908,50.0463,345.8159,6491.191,219.1579,192.4131,52.3316,138.0078,228.873,62.2339,351.9331,641.0017,694.2115,1443.7972,113.2987,331.3066,134.1933,141.7298,0.0,13814.9227,12.3441,2957.1547,2492.65,401.9238,0.0
RUS_H50,37.8482,0.3712,14.2665,2.7312,36.7272,56.2234,9.5228,6.2886,8.8674,57.4402,23.5734,6.8584,16.5237,18.733,64.9513,21.6524,25.4888,14.4057,18.3822,54.5241,31.1524,23.5869,43.7284,5.8605,103.1683,42.9626,28.9516,0.8026,11.7194,13.9104,0.4513,6.6598,1.8558,9.3761,5.2106,2.2161,14.3933,29.4502,5.0569,20.7349,3.38,26.4837,2.7497,3.9441,0.0,462.0698,0.0863,4.0017,240.9311,243.5886,0.0
RUS_H51,83.814,10.7584,143.1619,12.0089,668.8829,131.115,20.2527,15.7259,32.4387,144.7744,61.2719,21.6923,34.8479,40.4009,216.0003,67.84,62.4949,43.4386,46.9795,120.6926,96.3228,67.3691,99.2508,13.5257,308.4771,572.6599,164.5615,10.452,493.0699,341.789,83.9371,24.255,7.7335,21.6442,44.6348,132.0056,29.7267,218.4582,468.5262,916.86,38.5478,196.7798,105.8719,41.2069,0.0,3517.0672,0.1266,149.2266,409.8671,476.1224,0.0
RUS_H52,731.6954,36.0889,1771.1732,170.4913,2170.6886,1277.787,38.7653,245.8219,331.9596,3645.999,1063.1514,23.0634,70.9612,591.2974,1622.3238,296.2437,107.7882,110.5928,162.7889,363.3638,394.7865,276.5176,371.0922,135.056,1908.8765,10703.9014,4555.6016,370.2573,4554.12,8810.7355,110.6672,71.8681,31.4876,65.8441,32.7827,8.1326,155.4636,273.2197,387.7358,3649.3018,32.1434,89.6753,63.9244,26.9437,0.0,1529.3414,0.4545,2193.8428,586.2261,87.0364,0.0
RUS_H53,18.9937,0.8787,2.8228,0.3739,9.6816,32.2488,4.6979,1.8984,37.5481,4.6561,8.7741,4.9515,4.1773,5.6006,8.0206,7.2693,7.1623,3.0335,4.6056,4.3004,6.095,11.5344,45.1324,6.1076,26.9384,561.0112,15.222,1.0512,6.6556,28.415,266.5815,10.2626,15.4608,48.9446,59.239,103.4933,16.4192,110.8648,20.2164,391.7554,57.4238,31.731,8.6791,39.14,0.0,1007.8247,0.0351,605.2583,5.7988,6.7488,0.0
