V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T,CAN_HFCE,CAN_NPISH,CAN_GGFC,CAN_GFCF,CAN_INVNT,CAN_DPABR
CAN_C26,21.2511,4.2088,71.4488,10.0323,44.2256,28.4005,3.0649,12.1896,21.0038,5.7921,12.874,4.7665,9.9795,10.0135,21.3349,29.4892,429.3804,84.5308,119.4276,219.2496,46.5079,27.5739,10.0822,13.318,501.5279,70.2502,24.3368,2.3635,12.1185,15.4073,3.4098,16.8891,105.8198,531.0429,101.8863,50.4719,31.2589,124.6983,59.486,136.5494,88.1647,326.7687,20.0253,19.5578,0.0,1703.5932,0.0103,2.1496,2149.3602,58.5471,0.0
CAN_C27,74.3273,7.1551,52.358,27.4921,28.6871,53.3274,2.9804,35.1557,32.1489,13.6411,17.7824,5.0918,13.6654,17.0073,108.6079,68.6678,97.6116,260.8838,79.1109,185.8259,68.5443,24.297,27.102,17.0446,1514.4489,124.0564,36.7122,6.0209,6.3272,32.5605,5.3539,24.6051,30.9915,88.3131,61.9054,47.781,93.4149,109.2897,174.148,50.065,74.6021,204.9028,24.5772,61.5588,0.0,1743.7587,0.0203,1.6491,514.5315,55.8149,0.0
CAN_C28,190.6641,25.1688,1107.6217,348.5204,159.273,207.027,13.383,112.7079,127.1251,53.0934,76.3821,18.0084,70.0671,68.1006,199.2861,320.9935,46.8287,36.3635,1581.2537,240.7122,78.0027,120.7665,71.8536,49.541,2530.2321,184.0207,49.8721,5.8228,28.9928,77.5573,15.5573,125.4535,194.2622,53.4642,81.3386,121.6562,182.0015,238.9745,330.3943,294.7153,94.7599,317.2667,134.6989,95.8153,0.0,1475.4404,0.2453,6.5892,6516.6057,168.4538,0.0
CAN_C29,139.7531,10.7311,208.1295,50.4834,13.5221,59.9434,5.5224,26.3695,37.6504,13.1815,22.1359,6.0924,128.8613,22.6746,50.1619,167.355,15.9543,7.1875,102.3425,11076.7394,308.1987,141.8069,31.7509,10.1552,301.4241,622.9701,654.6988,7.6922,36.5152,512.2869,103.9556,57.3943,36.4292,12.9016,68.1107,127.3766,81.9957,163.7289,195.8467,415.7906,62.8765,186.3871,67.4559,101.2917,0.0,16010.5301,0.0439,0.1257,2751.2969,469.7512,0.0
CAN_C30,58.9898,63.0807,86.2842,34.5233,6.4359,128.3317,5.023,26.9321,47.8613,33.8914,47.3635,10.2418,37.1068,39.1736,61.2188,29.9276,22.3977,13.8067,66.3262,69.6631,4200.2656,47.3238,27.895,13.8717,135.2567,586.5736,301.5108,53.9102,564.0216,373.258,51.3668,161.7497,32.8168,12.4345,57.6713,129.7758,88.4766,65.0712,157.2341,261.4501,56.4915,150.949,225.2773,69.5383,0.0,2511.1095,0.0513,2.1507,3685.6342,29.1047,0.0
CAN_C31T33,109.5981,13.5706,45.6413,19.1439,9.771,428.4387,122.3098,256.4316,435.6323,65.2235,244.8486,75.7946,218.4337,237.9612,508.5799,811.0995,102.3659,77.4747,381.6227,229.8056,501.7758,858.3416,21.9518,48.3723,1627.7933,159.8271,35.7727,1.863,389.3132,21.9628,7.9498,120.4643,120.8221,26.1976,55.9815,65.7792,69.3543,128.0714,110.6428,1255.06,89.7581,1764.9314,183.8322,188.7639,0.0,9446.7638,0.0856,19.7007,1874.8538,63.1688,0.0
CAN_D,1622.7987,2.4111,1017.8209,671.3862,104.7052,642.7758,37.2824,369.2484,1017.5902,333.0782,708.5861,78.8237,329.4513,236.9185,1157.8266,260.4984,59.2808,45.8987,170.8261,265.3299,91.989,177.6508,79.5458,35.1372,408.0318,1614.7878,348.6573,1.4244,20.074,129.485,44.8475,561.1395,158.5763,188.1853,132.1057,716.9843,1080.3784,352.0311,281.8866,1675.1089,703.7875,1125.651,283.8179,508.7667,0.0,23177.546,3.1407,0.0,374.4711,2.5192,0.0
CAN_E,30.3457,0.8182,598.7912,22.3676,2.6471,139.8112,10.9079,29.8614,127.6138,58.2275,239.5953,8.6657,72.1193,36.8822,105.1928,104.392,11.2129,29.8686,45.2739,60.8732,64.6977,88.5924,13.4306,837.4479,254.4592,1506.3537,133.515,3.2053,45.8159,102.7411,22.6313,304.3682,44.4172,23.9446,85.0315,364.6058,863.0627,154.8534,108.0703,2537.6628,316.2012,636.5499,123.6427,290.4746,0.0,3758.0154,0.0,5.9192,79.6362,7.1093,0.0
CAN_F,904.7536,3.7783,1858.3783,368.0014,18.3018,174.0012,13.1759,26.3973,175.718,72.0927,308.0628,55.0584,63.129,162.4341,162.3948,94.0809,33.3614,37.3268,159.2864,70.7547,137.0796,84.4717,1777.4251,289.6524,405.9527,1682.7362,1669.6897,94.7865,14.8263,1622.9772,28.604,602.9611,57.3491,278.6127,200.5366,875.497,16556.4281,373.6487,341.8889,4925.9994,1755.1075,1281.1248,375.6925,205.0002,0.0,1200.9292,1257.7407,0.0,224987.4164,5.9024,0.0
CAN_G,5439.0461,212.6577,2286.3318,991.1904,481.3395,9273.9299,618.4821,1727.4772,1909.7545,975.0411,2512.7263,888.2876,1858.392,1269.3876,2719.8895,1694.5006,655.7493,499.1874,1744.339,5529.6103,1049.951,1612.0224,500.5303,1095.2543,15007.8107,4293.74,2558.8378,81.8249,757.6254,838.9025,361.5621,6348.5621,1195.3322,1074.4219,1190.6516,2312.6156,1867.7793,2782.3984,3584.5651,6441.7897,1864.7399,6722.0517,1231.5376,1565.982,0.0,82101.8852,38.5444,1350.3625,9900.7383,1731.7308,0.0
CAN_H49,2510.7016,43.551,779.6669,338.6075,210.6102,2649.8076,113.3883,1030.5479,731.6981,2141.6714,656.381,149.1791,460.0147,620.1367,1518.2627,593.4235,132.7562,258.7295,581.57,1199.6564,164.5177,540.4065,286.3545,39.3793,3528.327,3875.1451,12186.1327,75.2443,194.3564,5059.6182,1136.2655,423.1208,162.2447,97.0867,206.0501,423.6308,366.9398,592.1089,517.7153,1424.3602,3831.2634,471.02,177.3239,276.7318,0.0,11682.9068,8.8853,13.8092,951.5331,724.7111,0.0
CAN_H50,25.9384,0.6202,11.009,1.3173,1.6307,39.0261,4.2018,9.0512,3.7481,36.2254,23.9173,2.2263,15.7322,9.3052,41.6726,10.9498,6.3557,3.9897,14.59,84.6004,15.5255,8.2892,1.4349,0.4004,22.6323,31.6752,28.1123,5.6693,14.9549,3.9276,1.4989,9.7401,2.5486,7.5832,2.7276,4.3194,3.2244,4.7456,3.604,12.0552,2.9104,6.9523,1.4762,2.0211,0.0,273.7484,0.0404,14.4354,83.8823,1779.4925,0.0
CAN_H51,130.581,10.2282,100.0572,41.7507,21.6306,223.7192,19.2847,68.639,80.0694,137.4619,95.4096,25.9772,72.1269,54.6059,155.8877,114.9621,41.7338,28.7968,115.1664,218.7133,84.7156,116.9599,30.7304,26.8674,415.9019,312.5164,174.9024,27.8563,141.3011,66.8168,146.9316,111.4056,91.4226,89.0638,175.0206,308.0076,274.7978,538.6005,317.1728,465.8092,194.0303,282.9301,87.9006,107.327,0.0,2635.8922,0.1757,16.6621,298.2766,2034.3406,0.0
CAN_H52,378.1276,89.3477,582.8889,258.3269,22.1868,1801.6032,61.8426,482.1563,443.5937,471.2383,630.4318,109.8065,492.4466,463.7324,490.1369,398.287,153.0425,148.2256,565.4999,453.313,301.3451,453.0423,46.8704,49.3553,354.3477,5462.9546,4642.8237,1229.8958,2594.4799,475.3516,249.7815,122.6276,152.5179,55.0862,197.9171,330.0607,264.5163,494.0018,393.3569,1175.7541,270.9399,243.5506,160.893,134.1802,0.0,4035.6374,13.1552,1.7656,401.462,42.5195,0.0
CAN_H53,8.7764,0.7979,71.7467,29.4905,6.2813,173.8184,29.3401,37.7274,75.8332,6.2447,97.3121,14.7314,52.0751,34.5208,32.6573,112.2617,28.3967,24.1027,102.279,21.3703,9.7193,135.033,82.6863,35.8215,344.8966,2490.3237,72.0171,9.1439,37.179,323.8271,173.7569,127.6827,151.2305,224.292,89.4569,1248.2572,675.4976,308.8252,527.9492,447.6747,174.4565,452.8279,87.4023,201.1147,0.0,1652.9806,0.0,0.4274,25.6339,6.4314,0.0
CAN_I,62.5068,11.0723,188.7972,42.0687,43.523,451.4079,24.3525,53.494,63.7641,9.8865,87.3886,70.059,60.3723,47.0783,32.9463,134.4026,58.6316,41.1458,162.5236,62.3998,78.2347,243.6022,67.8038,94.1772,275.0879,2490.0329,146.422,1.276,434.664,605.7512,51.0199,353.9566,330.3982,215.4299,556.886,988.7858,932.6457,1588.5216,1064.3961,1124.6472,659.6119,1316.3245,346.0762,418.1021,0.0,54044.9334,118.4529,5.4706,213.9861,8.0268,0.0
CAN_J58T60,19.4892,1.2602,191.5435,29.035,8.6551,101.8609,5.2066,13.0571,19.9911,4.3113,25.604,15.8595,13.959,13.3168,12.0201,26.8812,21.7794,10.838,34.9342,20.17,27.54,45.1112,92.3537,58.9924,166.7349,1908.4528,92.937,1.1198,35.4048,86.6404,40.093,208.3895,3482.5691,1645.8063,1244.447,1427.995,298.0377,722.7862,420.6219,920.5777,431.0308,285.6604,185.3777,113.3525,0.0,9244.5699,1.9063,27.3903,4267.6052,7.7353,0.0
CAN_J61,223.1011,1.8594,200.116,54.7658,28.2009,179.6088,18.9407,34.2153,47.998,13.7614,56.0262,33.0726,41.6628,33.6937,29.1425,83.5938,45.6591,25.2964,104.5914,41.7032,52.2664,114.0758,93.0821,76.5556,466.3181,1286.1091,269.7538,3.3061,156.0471,387.1253,54.0038,379.6502,402.5116,3943.0232,1065.7678,2512.3763,1044.0414,906.9482,867.9028,1252.2318,343.0548,1310.2009,139.3224,221.5024,0.0,27866.6882,0.6305,5.7772,531.3122,11.2174,0.0
CAN_J62_63,42.5773,2.2478,792.6877,117.4803,17.8959,207.6377,11.6029,35.3169,36.9154,14.6171,67.677,36.3157,35.6884,36.2151,42.0737,60.645,43.0084,32.3427,93.8965,46.6872,86.2202,107.6128,399.3659,181.5902,458.4845,2446.9773,321.8129,1.682,90.1434,183.1095,139.907,346.1137,914.6063,1006.4587,5380.851,5816.4484,524.218,2301.3776,782.8328,2892.2475,451.1338,559.5844,192.1903,233.1125,0.0,745.5043,2.7277,163.8131,16891.9972,21.611,0.0
CAN_K,1515.9985,75.5681,4990.0352,807.2266,280.0511,1662.1146,139.6575,875.7258,838.3572,672.9386,868.1892,257.7769,475.3857,482.7502,895.963,1016.7207,370.554,208.3647,1091.9605,1146.3668,487.4599,845.8052,1078.4623,478.0539,6857.9043,14692.7005,2090.995,60.4761,632.4413,1205.6057,271.2484,3289.1047,873.4147,1069.0101,1037.0672,45995.6088,13299.1724,2409.119,2786.5551,3252.8798,276.0183,1713.6984,838.594,799.4688,0.0,71398.2547,32.1579,7.1439,1784.0123,45.5248,0.0
CAN_L,133.601,2.2788,112.9223,48.6892,8.8233,160.0208,32.0782,57.025,108.7282,20.5594,58.0906,27.485,87.8646,42.2879,31.7521,198.504,72.1673,29.6697,204.4316,69.7033,27.0849,366.5601,224.1646,128.2681,856.8006,9713.9909,319.5584,15.4529,52.7306,583.8222,140.9102,1842.7359,605.07,618.4935,1021.608,2191.0337,3417.3833,2563.7458,1637.9662,2969.8878,791.6992,2808.2495,824.5604,1830.8545,0.0,203172.4907,2298.1613,1.458,12474.9938,2.4835,0.0
CAN_M,1421.7871,16.5151,4791.7256,651.6636,991.0027,1467.1565,82.4902,282.4943,403.2382,227.5401,526.2683,474.8176,271.072,329.6915,443.2203,355.6737,427.7788,143.43,565.0301,253.8879,747.7556,438.3547,1568.0397,265.1708,17073.166,13689.58,576.2203,6.423,204.0529,435.3062,92.1691,923.1784,998.3394,1549.1646,777.2043,6478.8867,2795.6218,7997.4391,3281.9011,7779.7543,1149.7182,1922.5686,553.2184,1030.5752,0.0,7732.8985,3.0726,112.9247,7585.413,10.8006,0.0
CAN_N,379.0504,22.5747,2166.5923,235.597,305.0365,706.3321,41.0347,121.4363,220.9313,62.8514,366.946,142.0494,227.7226,135.4119,252.4449,348.906,163.9226,81.1037,298.0101,762.3777,263.6112,529.1166,436.6935,557.6753,3885.1568,9201.6909,1862.8224,39.1408,268.4677,924.1346,326.4084,1861.3772,1205.7149,1397.0972,3037.5322,6453.0649,5177.6088,4261.2413,4289.8103,5488.8415,1737.319,2806.4832,1183.4205,1229.4239,0.0,6916.5123,0.6792,1.911,410.9137,23.9596,0.0
CAN_O,85.2668,6.2933,434.6037,53.9592,37.5275,305.8317,13.2685,47.6279,105.9722,66.1282,206.6091,44.7266,68.3436,56.6797,107.9627,98.8681,43.354,27.7606,98.4987,93.4686,66.1945,112.1619,63.3305,423.289,713.0056,1764.2293,388.9013,48.3452,134.0272,197.9311,41.3066,389.4886,273.9083,210.5287,405.6819,1419.2686,1080.0742,604.9474,344.8786,3693.7793,358.4913,1211.6409,226.989,426.7074,0.0,8978.8113,1232.0047,180153.3777,2346.2283,41.4111,0.0
CAN_P,25.4435,2.1325,94.2973,15.2774,15.0675,64.1027,3.4344,13.4974,15.9217,12.3716,22.5875,11.1746,14.2771,11.9408,17.097,16.3742,10.3514,6.0962,24.5677,11.4386,15.7223,32.9578,33.3772,15.4077,410.1453,580.6228,121.8833,16.2379,106.3086,41.2108,20.7023,112.8443,199.455,45.8799,420.6508,438.4182,119.2811,308.8903,188.1176,1566.0457,260.2951,330.3662,40.9281,64.4219,0.0,14306.6638,1369.6784,73929.0126,8566.7624,3.7997,0.0
CAN_Q,9.7018,2.3298,40.8193,9.4082,3.8269,47.6553,1.6873,11.0705,11.5265,10.3276,16.477,6.7048,12.5311,10.5939,12.2213,10.5664,5.0255,4.0013,15.4272,9.5242,9.4734,17.6615,10.7507,11.3632,48.3784,275.9451,107.2259,26.082,59.3172,23.2563,9.6501,29.9658,28.5258,31.0128,87.7723,289.7238,111.4011,96.6347,77.7946,21576.625,66.4543,8200.2317,27.4796,28.4087,0.0,38513.8529,5346.4284,100018.5623,320.1902,1.5949,0.0
CAN_R,18.041,1.5053,47.1488,7.5832,9.0344,132.5684,5.7061,10.761,18.8577,2.8292,22.299,20.7054,15.5982,12.1745,7.2663,24.2171,12.3869,7.9179,27.6807,21.0119,18.0913,50.4664,15.333,30.1127,135.2379,657.3189,31.5168,0.9862,18.6068,48.7156,12.6226,308.6766,821.5954,159.7422,151.8233,301.0014,312.8435,257.3027,356.2298,497.3074,110.8787,189.8596,1053.8488,98.8508,0.0,16225.7474,461.0666,1.1881,144.2568,5.2124,0.0
CAN_S,120.1218,17.62,180.3276,110.4998,23.7681,210.1884,9.6755,50.0509,49.3713,42.2573,100.6694,14.8091,43.374,36.6193,48.574,32.8456,14.2643,12.151,48.6878,31.5767,21.8494,50.8,28.5069,101.5,658.0202,594.2229,462.1144,68.3668,168.4571,214.1072,31.0542,176.3627,231.832,78.5751,291.2969,1129.8183,496.0134,548.27,520.8792,1111.1304,490.7075,1431.1698,230.9667,205.3921,0.0,9618.0458,13277.6785,5.1003,60.5437,8.3257,0.0
CAN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2675.5331,0.0,0.0,0.0,0.0,0.0
