V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T,KAZ_HFCE,KAZ_NPISH,KAZ_GGFC,KAZ_GFCF,KAZ_INVNT,KAZ_DPABR
KAZ_C20,258.2659,1.4769,201.6722,658.3788,18.2627,155.905,3.4913,0.674,62.0938,3.8733,55.9061,172.7701,248.1379,39.2509,22.2508,0.6644,0.0101,1.0826,2.1832,0.5167,2.323,21.068,23.5502,0.7133,33.2472,30.3114,73.0456,0.6334,5.9511,5.1482,2.9417,6.581,7.9341,0.6836,4.1524,0.6868,50.8812,211.6002,125.8482,20.5695,56.351,334.1066,6.7121,19.3497,0.0,43.516,0.0,0.0014,0.8833,42.8247,0.0
KAZ_C21,5.4852,0.0097,4.7207,1.1153,0.0783,0.4277,0.0082,0.0008,0.0063,0.0198,1.4368,2.5815,0.0103,0.0216,0.1702,0.004,0.001,0.0026,0.0025,0.0017,0.0025,0.042,0.0743,0.0039,0.1418,0.1744,0.1543,0.0672,0.048,0.0659,0.5469,0.1205,0.0105,0.0386,0.0076,0.0396,0.0883,23.2837,0.2941,25.268,6.0773,1318.0767,4.2654,5.0372,0.0,77.9243,0.0,0.2938,0.0941,15.2411,0.0
KAZ_C22,9.1394,0.2522,46.0747,11.3338,15.3584,9.9815,0.9901,0.8468,2.4718,1.2021,4.2696,15.2382,6.9118,31.8947,5.6,0.4539,0.1614,0.1043,0.1006,0.13,0.395,1.9838,10.2818,1.2041,88.1768,227.5352,138.6685,1.9434,0.7582,8.0261,0.7966,4.25,3.318,13.7464,2.9783,1.8045,155.1257,97.9912,25.9461,25.0431,21.6513,516.0385,5.7075,13.8407,0.0,20.2097,0.0,0.0009,1.1345,12.9632,0.0
KAZ_C23,45.2711,1.0681,85.2061,269.4306,115.2206,21.8134,0.0876,6.5349,0.0942,1.6797,18.4897,7.391,12.7563,366.5805,47.8044,1.0844,0.0505,0.1932,0.3891,0.6201,0.402,22.1042,50.7444,13.4551,2155.8976,33.0626,61.8635,1.2041,6.8326,91.3378,1.0176,32.4329,2.0774,5.0505,1.6367,2.051,339.674,201.3087,85.0767,11.8284,18.8409,371.0568,14.6125,3.6056,0.0,23.0159,0.0,0.051,32.1944,55.1337,0.0
KAZ_C24,145.4202,2.333,1960.5251,2322.6586,253.6285,17.6741,2.7521,0.3325,3.0871,29.7392,33.2078,26.0267,125.7374,854.9036,7172.0935,945.2376,7.2749,629.3486,601.9465,326.2132,256.4476,1207.4463,1101.1895,445.769,12125.5602,107.1975,1803.583,38.0605,27.3874,414.501,0.0004,33.5809,3.8646,757.7229,2.1603,1046.8241,176.6857,696.2735,113.0692,11.0799,8.6518,325.4267,31.6149,54.1704,0.0,1.1008,0.0,0.0,0.0,883.7888,0.0
KAZ_C25,11.3153,3.4363,149.9975,32.8112,17.5951,6.5569,0.2668,0.4022,0.1896,12.3961,1.0442,0.0107,0.1127,57.5995,48.9491,2.6773,0.0353,0.1518,1.5388,1.1886,2.0331,61.8745,47.7665,3.6433,271.1671,395.7708,128.3497,0.1149,6.3036,45.219,0.4073,4.5919,6.6105,37.5735,5.6589,1.2321,33.5879,153.3647,14.3851,31.3459,27.5152,74.8334,9.1872,3.2841,0.0,13.0682,0.0,0.0008,90.8874,19.0004,0.0
KAZ_C26,0.0816,0.0018,19.8296,0.3141,8.355,0.0213,0.0001,0.0001,0.1381,0.0925,0.0097,0.0044,0.002,0.0331,0.001,1.0349,0.1069,0.0241,0.0077,0.0435,1.5046,2.1425,15.6983,0.0047,3.2548,19.1159,1.7901,0.0027,0.4295,1.1422,1.1252,0.1851,2.5641,14.0575,4.0867,2.2878,0.0317,4.1693,4.4213,1.0281,3.5592,5.6208,1.2308,2.1416,0.0,12.6703,0.0,0.0008,79.8977,3.1722,0.0
KAZ_C27,1.7938,0.1189,38.1481,15.0375,3.162,6.5954,0.4355,0.1824,0.0819,2.0563,1.4564,0.0093,0.6247,7.2693,14.1341,0.4056,10.9812,0.0689,0.0635,0.0107,2.2082,57.092,43.3464,0.5516,33.0226,33.7357,90.0097,0.0234,0.6179,5.4614,0.0113,2.8967,4.4911,13.0975,5.6091,1.6151,17.138,46.5206,51.7525,9.4461,16.0689,50.2458,27.3023,34.1948,0.0,72.9156,0.0,0.0013,349.3933,49.8256,0.0
KAZ_C28,18.7166,0.1364,179.7044,103.8421,22.6144,1.7249,1.1741,0.1397,0.4205,1.7558,0.2372,0.0541,0.2161,5.7575,14.3793,0.1769,0.0152,0.1822,2.7067,0.0884,0.3677,15.6294,8.4155,0.2492,7.4143,35.7014,142.3091,0.1575,1.3,4.8231,0.1427,1.4268,0.8882,2.7572,0.8881,1.826,6.3996,31.61,17.0499,7.9675,6.1696,22.0156,1.7728,2.4141,0.0,9.6437,0.0,0.0021,400.9702,20.7224,0.0
KAZ_C29,19.0784,3.7515,17.8602,3.0592,1.2762,0.4021,0.0054,0.0422,0.0109,0.0108,0.0045,0.0116,0.0008,0.3575,0.0347,0.0011,0.058,0.0847,0.7621,167.4351,8.3438,12.3629,0.6678,0.1092,4.6746,207.5625,68.1315,0.237,0.797,11.1655,0.7464,1.4975,0.0927,0.4459,0.0987,1.3489,4.1246,9.5057,46.005,77.4507,14.5387,6.7565,8.613,0.3977,0.0,146.1776,0.0,0.0,629.4141,57.3414,0.0
KAZ_C30,0.0423,0.0,2.5134,0.7107,0.0296,0.0022,0.0,0.0,0.0003,0.0,0.0,0.0148,0.0,0.0,0.2326,0.0137,0.0,0.0003,0.0001,6.9127,14.8452,0.0055,0.0001,0.0002,0.0132,0.0,98.7097,11.9,27.0283,5.2875,0.0,0.0254,0.0007,0.0088,0.0005,0.0,0.0018,7.0295,11.4537,1.0213,0.2279,0.486,0.4949,0.0852,0.0,4.9312,0.0,0.0,532.9949,-52.3109,0.0
KAZ_C31T33,29.8284,0.1421,481.3793,15.4198,8.3836,2.7002,0.5487,0.0438,0.4668,3.1105,0.4968,0.1921,0.2325,1.6837,12.2097,0.2533,6.49,0.1485,0.152,0.2087,1.894,5.8818,58.4817,3.5731,22.9887,1484.1335,496.9684,13.1562,45.6992,46.0463,6.5606,10.9528,7.6452,30.0428,6.9912,14.3385,21.082,135.2988,204.4918,174.0074,98.4575,41.6406,39.982,53.1839,0.0,59.7146,0.0,0.0654,149.3191,2.0648,0.0
KAZ_D,38.4677,11.893,1198.4855,124.4007,4.2798,50.8206,0.3893,0.2573,3.9396,8.1059,15.0348,1.6982,0.4247,19.6777,9.1839,0.0624,0.7234,0.0941,0.1535,0.5098,0.5818,29.9417,215.7079,62.9312,944.1541,2122.1802,356.7849,0.3987,17.1861,102.4978,4.4449,27.2855,114.2059,122.295,118.7305,44.0568,464.0091,205.9934,244.314,341.8448,337.7896,372.6404,143.1604,1209.549,0.0,409.0323,0.0,0.0723,5.2526,0.1407,0.0
KAZ_E,17.0285,0.29,86.3244,1.2309,5.2084,284.4393,0.0585,1.7932,270.731,0.0847,2.0301,5.1344,96.2875,32.618,18.718,0.0077,0.042,0.9899,0.0048,0.1443,0.266,4.0636,38.9818,5.4354,47.3786,25.7983,54.939,1.073,0.2929,2.1983,0.47,3.8212,4.3026,4.7394,4.1305,2.0629,12.0443,80.1659,44.6112,41.2985,83.7388,20.1326,13.6556,47.4564,0.0,60.8562,0.0,0.0963,0.0,0.0008,0.0
KAZ_F,229.436,0.5663,1054.9101,434.0306,13.3325,47.7646,0.5835,0.5716,1.2152,19.3744,17.08,7.6784,12.722,80.7625,29.4167,10.2632,28.1144,0.5913,0.5837,0.6587,33.0054,24.8052,405.4839,75.9286,11882.2552,3615.7338,531.0654,14.5742,9.1085,34.7239,2.6994,62.3812,38.6162,199.2952,45.5699,215.9496,7027.5588,3625.8972,245.1134,564.1157,3758.6411,882.8256,219.5987,185.4106,0.0,152.8789,0.0,2.7017,18789.7055,7.8103,0.0
KAZ_G,5414.1138,189.2511,4101.89,2381.7188,383.8657,3292.174,177.8627,22.6117,115.71,1373.8635,661.8229,258.3407,326.9739,850.6194,7628.4822,311.4062,23.0155,185.0169,196.1041,374.2974,136.5172,693.2752,1230.5366,160.6239,5912.2544,3587.1291,5128.2781,30.4075,219.1647,619.7082,66.3829,1204.1716,172.6891,408.6499,127.2911,449.5423,1103.5352,1529.6266,728.5557,960.2231,928.7197,3950.878,596.8023,484.8156,0.0,4912.0929,0.0,3.9855,4754.4862,2474.0676,0.0
KAZ_H49,670.1909,9.8491,6305.4686,762.6134,144.7367,220.8088,21.34,4.4355,17.3355,193.9995,244.0279,29.0522,54.9688,350.5903,4514.2123,92.3306,6.3836,44.5364,53.6299,58.1161,32.512,176.5632,237.228,42.2344,2304.6701,7456.4306,926.4986,5.8603,55.826,432.8052,34.9541,90.31,106.0539,189.39,100.7632,1494.0774,2024.9059,607.4649,503.6417,531.0856,324.2675,697.0252,334.2782,164.5754,0.0,1377.4575,0.0,18.9234,351.5384,137.9733,0.0
KAZ_H50,10.4505,0.3457,13.8695,7.3367,1.426,6.3888,0.4907,0.0563,0.3916,4.3849,2.0352,0.7038,0.9611,2.3195,25.1794,0.7853,0.1027,0.4369,0.511,1.3629,0.4503,2.35,3.824,0.4182,15.0451,44.5248,21.1059,0.1286,0.5972,1.5577,0.2294,2.374,0.5461,1.4685,0.4553,1.182,3.035,19.3759,2.4374,2.4825,2.4551,11.7381,1.8982,1.2236,0.0,11.9649,0.0,0.0609,19.4525,12.7436,0.0
KAZ_H51,11.5968,0.3692,29.2377,6.884,2.4969,6.8109,0.516,0.0555,0.357,4.5334,1.5826,0.7451,0.9695,2.0893,19.9334,0.6827,0.1134,0.3969,0.4534,1.2872,0.4343,2.2948,3.8827,0.3873,13.9277,849.747,35.2862,0.1532,4.0695,28.6179,3.4666,2.6716,2.9192,26.4538,3.6022,6.9648,294.3622,353.3188,192.2133,122.2326,42.5902,13.2762,63.8803,30.1441,0.0,117.7879,0.0,0.0147,20.9304,14.8681,0.0
KAZ_H52,270.2898,1.0722,614.95,39.5582,15.8198,23.8218,1.3233,0.2341,1.3485,21.0733,17.4667,2.081,2.8563,13.5023,92.1954,2.7712,0.1994,1.6342,1.7851,4.9605,1.2777,8.5056,14.6631,1.9186,62.479,3326.1499,356.5081,12.7695,592.9188,149.1948,2.0475,8.6087,1.8231,5.7185,1.3617,16.5989,14.4575,171.529,48.0999,177.1706,32.7763,48.7436,7.0463,11.8798,0.0,240.692,0.0,0.0885,41.5951,25.4946,0.0
KAZ_H53,4.8125,0.1542,6.9349,1.5099,2.2381,0.6216,0.0385,0.0169,0.159,0.0774,0.2131,0.4263,0.0897,0.7408,1.2513,0.0202,0.0877,0.076,0.1213,0.1069,0.0333,0.2304,1.7452,0.1299,3.4837,19.2684,10.4396,0.1073,0.8008,3.8615,2.397,0.921,6.639,15.1764,6.0062,11.1585,17.2984,50.2447,102.1027,45.0314,32.9343,34.6937,9.4769,48.1101,0.0,22.7409,0.0,0.0026,0.0525,0.1021,0.0
KAZ_I,0.2104,0.0,281.1757,92.4385,194.6588,9.9039,0.0504,0.0018,0.0307,0.0487,1.0965,0.1182,0.2153,3.5307,72.8958,0.1322,4.2742,0.0014,0.0356,5.4677,0.0482,13.8615,6.0296,0.9027,7.9996,336.4444,150.2968,0.2088,249.6573,28.7015,1.7491,35.7257,42.7701,47.8369,37.1804,32.5734,137.3737,701.1864,969.616,142.5238,60.8035,75.2296,218.3624,922.6528,0.0,1136.1248,0.0,0.0,0.0052,0.0003,0.0
KAZ_J58T60,0.2539,0.0,36.4964,1.522,0.0709,3.7953,0.0376,0.0,18.3706,1.3993,1.6286,1.1736,0.0003,0.2117,10.94,0.0067,0.0,0.0431,0.0038,4.014,0.7929,1.1643,0.3301,0.0857,0.6235,813.5295,5.6992,0.0286,17.4413,4.2826,7.7765,5.2436,166.2201,19.6284,64.121,49.7356,14.8572,202.1263,90.3558,107.8515,375.9135,38.5953,83.252,3.1063,0.0,40.1881,0.0,0.0,93.3396,0.9226,0.0
KAZ_J61,19.6035,0.4086,87.2015,64.8558,0.7567,0.7841,0.0754,0.024,0.1122,0.0686,0.0568,0.0741,0.0717,1.5501,0.8394,0.0178,0.0406,0.016,0.01,0.0253,0.0451,0.2934,2.0503,2.959,11.8596,1008.9897,1492.3511,0.7582,0.6643,59.6266,0.1816,3.8705,128.5742,189.5343,157.7735,393.9853,41.8433,87.497,133.8688,531.0077,51.1111,76.8324,68.7465,188.7326,0.0,1295.8735,0.0,0.195,2.5675,0.744,0.0
KAZ_J62_63,1.7208,0.1157,108.3787,0.2642,0.4501,0.3148,0.0419,0.0002,0.2449,0.3267,0.0787,0.0507,0.0919,0.1699,0.0009,0.0001,0.1062,0.0638,0.0109,1.348,0.0297,0.2064,68.5919,1.3332,9.6469,198.2812,80.3453,0.593,4.9423,2.5725,0.0124,10.058,140.8825,490.7538,42.4062,31.2634,44.503,77.0187,42.5236,296.4295,81.5985,68.0056,18.2725,16.9824,0.0,1.4234,0.0,0.0,339.5656,0.097,0.0
KAZ_K,759.7673,3.2965,338.3148,52.8911,8.7328,53.6235,5.4865,2.4182,20.2546,10.0969,32.1278,11.8616,13.3518,110.1081,181.8364,2.4546,12.4672,11.4882,18.85,15.6595,4.4239,28.6389,89.8953,11.7583,460.2226,2946.2549,980.7028,9.3065,17.8367,300.4552,9.4196,15.4169,17.2996,68.9704,24.4089,1750.5791,951.2708,283.7099,454.0179,443.6024,577.5998,4971.7071,86.7925,108.1719,0.0,260.9644,0.0,0.3844,0.5478,0.3867,0.0
KAZ_L,20.1304,1.7874,194.1923,3.7855,7.4276,4.5041,0.0278,0.1237,0.375,0.2105,0.3205,0.8254,0.1771,0.7899,1.6326,0.019,18.5127,0.0124,0.0209,0.2874,0.1634,0.5535,2.4506,0.1824,545.1391,3181.9869,588.6698,2.579,285.9068,171.6786,40.945,145.7698,306.5565,296.6222,416.7862,3252.1132,534.9167,1308.8588,1157.0139,289.9442,324.3797,54.2484,445.1255,3913.7751,0.0,14962.9256,0.0,0.0639,0.0,0.1538,0.0
KAZ_M,274.2598,9.0595,2707.7568,80.6507,75.489,35.3079,0.5362,0.6662,4.0908,24.3804,3.0061,7.7121,1.5389,4.8309,32.4128,1.1028,36.8342,0.6299,0.6712,0.5594,0.5519,7.8579,35.4391,6.5169,4431.349,7043.0321,1013.4232,11.8805,20.2239,53.6073,3.5614,18.0578,44.351,175.5165,41.6666,277.6975,526.3982,2669.4267,513.1167,2320.1446,171.5959,134.8791,71.4558,691.9936,0.0,101.586,0.0001,4.4581,2362.9866,6.3662,0.0
KAZ_N,92.0831,8.0872,723.0308,126.8749,53.6147,17.8284,0.1321,0.4066,3.2615,2.6838,0.6703,7.5269,2.5992,9.4401,78.1531,1.9125,0.2117,0.0638,0.6074,0.4472,0.2839,5.9169,31.6569,35.5051,388.4291,3533.8069,595.0777,44.159,18.9614,235.2327,0.4213,26.1214,54.4075,129.7116,36.5064,366.5444,741.0996,1339.1873,840.2209,732.4719,328.4084,997.0928,234.2337,337.5662,0.0,190.2519,0.0,2.3135,12.3252,1.3907,0.0
KAZ_O,3.4516,0.0252,6.6487,0.5659,0.2331,5.1635,0.262,0.2085,3.526,0.1142,0.25,0.2701,0.0458,2.1256,3.2436,0.0362,0.0104,0.0265,0.0586,0.0785,0.0213,0.1083,0.6165,0.0816,8.1534,5.8864,3.7378,0.0411,0.0889,20.1441,0.0172,0.4041,6.0148,2.4691,7.2344,3.0073,1250.3187,3.6724,2.4398,12.4576,7.5406,17.9083,15.9702,1.4813,0.0,566.4995,0.0007,12452.2467,7.6123,0.5459,0.0
KAZ_P,0.7273,0.0042,93.5089,6.702,0.4969,0.2538,0.1325,0.0136,0.0588,0.0194,0.1354,0.0186,2.2612,6.4671,120.8477,0.0066,0.2817,1.3083,5.5776,6.9437,0.0055,1.2113,0.3444,0.0948,0.8661,2.5074,72.6425,0.2406,0.6211,0.4742,0.0249,0.2232,1.542,25.6137,2.5438,100.3421,284.5093,15.2985,67.2443,263.1222,223.8088,373.1722,19.4647,6.2455,0.0,13527.5619,0.0367,1721.8211,1.7681,0.045,0.0
KAZ_Q,21.5482,0.3467,561.2213,14.7203,38.7133,11.1914,0.3737,0.0303,0.3205,2.8902,36.272,79.5827,0.3901,1.0181,119.8376,0.4078,0.1484,0.3153,0.0499,0.1797,0.0649,2.6271,7.3623,0.3462,8.7528,45.3688,397.4034,0.1835,12.2522,227.728,0.1461,11.0248,0.8914,4.4912,0.8326,392.9834,5.0416,46.1601,313.698,636.442,399.5645,4694.8506,289.6292,82.5941,0.0,21021.5335,0.0723,614.5692,3.6611,2.9591,0.0
KAZ_R,1.3755,0.0,139.0335,2.1461,2.6033,0.0,0.006,0.0,0.0033,0.0068,0.009,0.0,0.0103,0.0066,212.9906,0.0,0.0066,0.0016,0.0,0.0,0.0,1.0346,1.1622,0.153,8.1715,0.4996,33.9766,1.7816,0.0215,0.1817,0.3771,0.4921,1.9344,45.8785,0.2637,70.1811,50.8072,277.4798,64.4879,74.2635,1610.7993,213.0202,121.9278,134.6412,0.0,2067.6099,0.0,75.4398,857.3928,0.008,0.0
KAZ_S,4.2217,13.255,135.6595,146.4773,2.7163,4.3704,0.002,0.0297,1.7804,0.0974,0.1843,3.3367,0.0004,1.0428,1.3397,0.0069,0.058,0.0022,0.0576,0.0003,0.0425,2.0428,11.815,0.6663,3.7535,27.7539,16.6047,0.1539,5.6487,13.2503,0.0986,3.5096,17.5361,136.4535,31.3912,55.2994,3.7173,48.6507,59.4089,178.4602,89.588,77.8937,130.2402,33.6384,0.0,11679.964,2008.3933,0.0,0.0,0.0009,0.0
KAZ_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.473,0.0,0.0,0.0,0.0,0.0
