V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T,BRA_HFCE,BRA_NPISH,BRA_GGFC,BRA_GFCF,BRA_INVNT,BRA_DPABR
BRA_C20,16971.358,37.523,1935.3009,1111.2924,37.7729,2123.066,1782.4696,366.5543,2118.2638,5165.2696,20599.222,1017.5958,5562.4363,970.0927,801.5411,695.9317,106.3335,765.6377,123.1947,648.5278,41.3703,790.015,106.005,307.8353,1855.1779,1849.7186,484.6192,7.3583,28.5649,59.0314,16.5189,217.3694,68.9678,42.498,26.7115,79.0523,296.7264,334.7761,808.4106,285.3238,216.2661,606.2278,64.2636,356.3095,0.0,20240.0525,0.0,9.9681,693.7647,657.7971,0.0
BRA_C21,780.8199,1.9725,114.783,6.5716,0.8822,157.3836,63.0135,3.3009,22.2667,42.4446,183.606,1086.6797,29.1659,13.0993,52.4643,13.1653,11.5864,4.4274,40.1538,17.9683,0.6431,26.6268,58.3827,6.5306,21.7522,107.4975,40.9321,2.437,5.1796,13.6067,2.384,18.5782,2.0842,29.2335,2.0146,10.2745,34.9881,30.8828,11.5256,116.343,154.67,3231.4166,4.3054,119.6993,0.0,12114.3233,0.0,859.4753,376.0234,111.361,0.0
BRA_C22,285.0794,5.0172,56.6287,313.1685,15.6278,4119.3051,430.8872,65.3047,399.141,42.8318,1015.3348,122.1444,3852.825,467.0755,172.9193,231.0186,262.3845,507.7808,601.6045,3753.964,134.2732,893.4904,84.3942,105.7169,2965.1354,2085.4228,1654.3953,107.2403,185.7576,34.2068,10.47,152.0475,185.3641,8.8139,10.1232,26.3385,43.575,265.1981,240.2956,51.1865,68.2504,264.941,35.224,41.442,0.0,3899.4532,0.0,0.2499,438.4608,180.7818,0.0
BRA_C23,1540.8796,8.5337,31.7351,45.9551,14.3193,1060.527,49.2742,93.6964,84.9115,29.3337,389.5651,24.1379,164.6996,1842.5655,119.8857,57.1933,5.948,95.7148,83.638,731.4824,17.465,187.7422,411.9969,185.6587,11024.7408,168.8178,13.7006,0.7386,1.2538,7.4809,2.037,242.9925,3.2839,4.3435,4.0849,10.1713,768.5376,19.6794,38.7688,99.2826,46.4408,73.8299,7.5329,58.0983,0.0,1012.7846,0.0,3.2204,231.6804,150.4709,0.0
BRA_C24,375.9709,3.3458,1176.6832,157.543,33.3003,542.3731,31.8285,49.7516,211.3356,132.0916,365.4165,18.4873,372.6192,257.5738,8029.4004,6746.5253,79.0654,2774.5833,3370.5563,6850.9945,227.3236,1600.1304,121.5758,58.4454,4587.3458,905.7792,35.2506,1.3655,2.1276,20.8443,5.7917,75.2014,12.2006,24.402,20.5667,36.0401,42.566,63.7948,118.7817,75.315,51.6141,35.3908,27.1901,29.2656,0.0,1195.396,0.0,0.0,406.0135,304.99,0.0
BRA_C25,334.4634,6.0333,498.9405,380.7705,43.6035,2742.0102,67.1149,136.6806,57.9574,100.1161,644.3119,44.1679,84.5227,61.4891,821.9428,2266.7444,282.2475,666.7575,1457.015,1988.4224,209.1916,1074.0977,691.2374,125.3755,5193.1143,548.1964,47.0188,4.1694,3.1887,11.3046,2.365,588.1793,6.3105,9.5986,6.4415,8.2906,119.938,23.924,101.8786,241.8072,29.4318,51.1939,6.7079,27.8799,0.0,2911.0643,0.0,0.0,1553.5325,162.8458,0.0
BRA_C26,4.6465,0.1019,124.1172,53.4448,4.4777,42.7117,20.2982,1.7261,113.8931,26.2139,47.8569,5.4702,17.7555,17.413,54.1553,5.9089,6484.7956,242.9181,256.1237,225.8066,12.5279,267.6544,116.2909,5.2101,179.0243,118.2788,19.2477,1.715,1.9016,65.0231,29.2937,652.7387,67.2948,68.285,602.8602,85.2223,9.4831,388.3208,386.3156,89.0345,195.1731,141.0509,18.26,265.2138,0.0,9052.7173,0.0,0.064,6511.3884,197.7723,0.0
BRA_C27,43.8065,0.9679,95.8702,53.081,7.0333,101.6287,25.1675,9.8287,37.848,11.2983,68.0665,6.3108,32.284,39.4441,133.0686,50.9842,613.1217,2224.7638,718.9259,674.6542,40.2648,596.8902,1518.7921,49.7582,1978.4379,445.2288,301.7221,9.5764,3.216,29.9085,7.805,34.8007,16.5747,153.632,17.6184,20.5082,117.9567,194.4487,194.6814,32.4652,24.673,19.6927,21.0006,250.7505,0.0,5734.187,0.0,0.0,3138.1373,151.2265,0.0
BRA_C28,31.2092,0.8237,711.9041,1095.9741,41.3204,964.4032,205.9422,23.5822,310.1413,432.6214,822.4864,47.1187,45.0776,18.2964,761.0517,95.1579,76.5313,177.73,3720.1501,465.3073,48.9173,1683.0599,70.2021,23.628,853.6491,233.2735,37.0561,32.0638,5.0959,47.0942,10.5644,23.5515,11.2696,13.9712,62.8121,3.9414,109.2974,27.895,316.3764,27.9107,6.6374,41.5884,4.0507,13.4426,0.0,1372.3354,0.0,0.0,13899.8024,252.6598,0.0
BRA_C29,88.8752,1.4786,41.0596,82.9987,6.0545,119.3954,21.826,7.6674,22.0114,29.5327,50.5329,7.445,69.9715,27.4175,66.8081,58.3114,75.8089,205.4915,742.8083,16246.8087,10.0738,1988.4323,130.0954,14.7686,310.031,5077.1143,2820.4137,113.7666,271.6772,444.01,3.8458,59.8145,133.9928,24.2478,18.1459,10.5955,124.9895,191.6864,396.3734,223.1678,67.0753,41.7105,33.4403,21.5907,0.0,21023.5214,0.0,0.0,16584.496,596.558,0.0
BRA_C30,6.5513,0.0909,0.2287,8.5596,0.3666,1.7783,0.0,0.2109,1.2623,0.0,0.0,0.0,0.0,0.0,0.0,0.4387,0.2471,0.0,2.9516,85.1901,1948.5429,621.5128,13.1264,1.1284,74.2368,61.2156,336.7395,0.0,0.0,0.0,0.1679,104.0803,25.6245,4.1266,3.3069,0.4577,31.3069,9.1859,9.6542,79.683,0.4634,0.2052,5.1126,32.0238,0.0,3329.6712,0.0,0.0,5234.8889,-6920.4821,0.0
BRA_C31T33,83.6327,11.5655,894.3728,1112.7055,58.798,922.6773,621.7255,179.5146,1194.7018,195.19,847.0485,197.5736,189.2342,680.5854,3139.7184,258.4914,53.2168,148.6895,588.403,557.613,60.6437,1129.4377,484.8687,342.5399,786.1549,1610.7608,407.2534,489.8434,201.2157,856.2878,151.9748,96.5456,165.1828,98.785,346.5068,121.0289,85.7225,591.4894,661.3138,535.3193,297.3199,3927.4019,167.1428,176.387,0.0,12879.466,0.0,1.3828,4853.9114,-2911.4909,0.0
BRA_D,4019.0092,55.5251,148.7159,915.52,56.0748,2024.0442,603.2232,284.573,734.2974,12.5379,1672.8368,94.7799,733.7801,1056.0678,2146.0787,418.7285,56.6546,191.4571,206.6525,680.3136,35.2903,187.0326,27426.3863,971.7915,182.6931,6880.258,464.7327,19.3769,13.7254,344.9582,87.623,1093.3903,154.2618,557.4269,224.0894,720.1018,209.493,607.2743,2583.8882,1548.3466,1269.0858,804.358,294.4372,816.9223,0.0,24468.1067,0.0,0.0,152.1271,0.0473,0.0
BRA_E,1.9429,0.1063,21.3314,116.9785,13.9522,322.1276,34.805,79.8003,119.7902,134.2674,424.7292,25.4935,181.2851,218.6861,2220.6801,60.3971,5.6768,19.2631,28.9614,158.748,12.7113,33.2064,21.5336,375.4656,83.6023,1422.2235,97.1021,2.7842,2.2484,218.9507,39.962,418.187,22.73,11.7977,35.6516,124.5095,126.6803,233.4789,1713.9807,3148.5712,482.8348,1002.9722,30.3753,558.5231,0.0,8047.3483,0.0,0.0,0.0,3.3528,0.0
BRA_F,99.2592,1.4883,660.062,851.4079,46.7165,26.5312,21.4885,9.9044,18.4917,11.3132,37.8185,15.0679,54.9264,9.2672,720.4505,23.4298,28.2185,4.6256,26.8121,115.6057,26.336,10.8394,21.585,1464.6003,18040.8025,536.3163,106.959,5.0729,8.6157,455.003,90.3159,248.9368,66.1233,1217.3585,271.8585,366.2763,983.8949,315.4207,1015.0913,4985.1972,582.4604,984.2804,43.8312,105.2143,0.0,253.2582,0.0,0.0,115764.8324,0.2313,0.0
BRA_G,9243.6858,129.5777,1557.2482,2055.7414,107.2117,19322.2146,5207.2718,774.3062,2489.7173,14932.5373,8380.7111,1604.5965,2667.7856,1605.0899,1928.6489,1050.426,4737.5778,1871.5126,3187.2783,7824.707,581.1527,3664.5141,3011.8487,685.7354,8266.7534,8325.4259,9372.2629,216.7086,985.5693,544.4351,189.4546,7476.9228,655.9044,216.0416,523.4173,681.7703,659.2896,1939.7709,1887.5199,2261.2065,1663.1432,8966.1423,194.5856,1157.7578,0.0,145163.6135,0.0,1021.2974,17127.3586,2347.5953,0.0
BRA_H49,2991.99,60.8288,1397.4304,1380.4795,64.0582,9677.9235,1096.2157,382.4724,1205.9104,2937.0781,3550.7133,658.3608,1070.123,831.1582,2140.0532,816.8982,904.9621,600.4364,969.6148,2689.3328,137.6734,865.6871,1173.9195,140.3714,2062.8043,8566.1187,8052.053,89.0373,199.3418,796.6577,297.197,1381.7378,191.5397,82.973,158.9759,225.2712,148.07,522.3647,421.8036,779.3,785.3504,743.962,62.833,526.4576,0.0,31422.9867,0.7858,57.4,3138.7086,462.5978,0.0
BRA_H50,122.0465,1.258,720.3016,41.4172,2.0278,396.7015,42.406,24.3597,190.6665,153.4442,185.6583,10.8596,40.0932,30.7956,110.0815,23.5937,57.7783,27.937,63.713,117.6006,19.8737,40.601,47.4749,5.5105,91.8391,166.0619,107.5621,78.8756,8.1465,8.6192,2.2369,62.4034,7.9351,4.2835,7.9524,18.9371,10.1875,23.395,39.6778,14.0326,14.0859,66.6288,4.2287,25.6652,0.0,950.3379,1.9564,4.3554,229.672,195.0375,0.0
BRA_H51,139.8242,1.3413,384.7765,36.94,6.5854,322.7203,68.3263,15.5217,52.6897,200.0907,251.8507,35.8075,54.3165,41.905,111.1327,34.1916,115.3871,56.7292,77.7421,171.0348,26.5558,66.4593,127.5736,13.1305,262.2464,628.4399,106.4539,15.8612,12.1704,89.7034,46.7911,89.476,32.153,26.7947,113.0834,296.7093,16.7194,300.9175,89.7996,178.5423,378.6465,94.8849,15.43,1118.7814,0.0,2605.1819,3.0352,5.5937,298.4158,287.4205,0.0
BRA_H52,572.9771,21.5507,732.8399,641.8785,21.2719,2614.8073,172.0163,65.7765,352.9712,630.0166,812.5313,119.3359,144.9856,124.2493,751.0856,211.5208,236.2815,208.858,173.8451,1096.0008,41.9052,192.5003,138.9947,18.7449,423.0715,2130.0932,1538.3258,364.3885,770.5566,543.3837,60.4516,263.3613,28.4876,24.7993,22.4139,37.6743,30.0397,104.2228,89.7891,278.5083,58.9435,141.2875,9.6047,168.6024,0.0,7570.9153,0.2054,12.4251,672.2263,111.4083,0.0
BRA_H53,0.7433,0.1518,17.3111,10.1498,3.2073,181.73,124.0123,11.0666,103.1551,18.6051,228.7236,53.4498,36.8135,38.8028,18.0503,38.6404,92.3766,37.8318,27.9627,161.1611,13.8157,68.9496,247.6989,5.7831,143.048,2013.9027,76.3068,4.281,3.1882,235.2484,509.0178,122.2807,32.1358,164.8659,59.7146,1460.7617,74.3087,331.4166,355.4275,828.5987,273.0449,213.1669,22.8491,187.3593,0.0,765.7504,0.0,0.0,0.0,0.6547,0.0
BRA_I,3.0826,0.5443,151.8954,39.9623,13.7747,256.3585,24.1465,7.3662,31.7832,13.7014,157.825,140.333,33.4282,19.8821,91.6528,51.8986,41.8666,30.7322,108.0281,215.9408,17.2655,76.856,141.0854,6.7391,234.5365,1133.4555,61.1749,2.8678,246.2149,55.2548,20.153,213.871,220.2602,41.5303,133.5651,906.1092,32.0624,700.9982,568.2364,3382.751,761.7633,2412.1655,44.2818,3960.4644,0.0,64870.8795,0.0,0.0,26.6243,0.0638,0.0
BRA_J58T60,26.5485,0.5866,34.9488,48.7032,1.4227,98.3159,18.4039,8.4022,10.7416,59.4139,77.9372,16.424,34.8857,53.6954,28.9278,10.2566,14.9794,13.0187,10.7245,35.0655,1.0647,61.402,117.4536,10.9665,102.0031,1253.4412,16.2365,132.3114,340.8176,311.8469,29.4522,733.9108,754.4446,709.8208,7.4638,200.8833,49.3504,5628.461,47.063,152.4002,615.1401,1263.7213,29.7654,328.4414,0.0,2648.9527,0.0,8.7419,38.6195,1.5622,0.0
BRA_J61,4.3265,0.7737,213.8267,53.2057,11.2281,875.0336,254.5638,28.3462,198.9602,57.1418,201.4139,72.0231,102.6088,107.8303,79.7529,107.116,261.7622,125.1517,126.8791,853.3449,19.1475,149.8236,119.5665,45.9301,274.3895,2155.46,254.7415,8.4859,15.4177,158.6417,75.9945,269.0941,101.8081,5202.4814,460.5745,2002.4409,131.6076,1519.2528,677.3245,1286.0698,602.0251,363.9503,63.7462,414.5976,0.0,24664.9845,0.0,0.0,235.3577,1.5427,0.0
BRA_J62_63,9.4491,0.1054,19.3155,117.508,10.5248,568.2153,31.7672,4.053,72.4145,15.0275,208.6591,135.9899,49.4633,25.069,73.2885,36.4085,70.6629,110.8924,61.1819,364.9672,8.4905,62.1833,440.8327,113.2759,123.3447,2889.4659,295.9128,0.4121,210.8643,328.8683,131.9747,57.469,423.8947,803.0091,3165.5688,4605.866,95.1311,3459.156,462.1779,3279.9673,563.7622,576.0218,59.5183,456.4608,0.0,648.7133,0.0,0.0027,18417.8838,4.5717,0.0
BRA_K,2775.3205,67.9482,1264.2077,1086.1853,73.0802,5225.8792,867.0539,166.1544,932.8592,993.6782,2330.1376,370.094,618.8352,578.5015,1333.6714,527.6047,620.6464,454.8688,726.8864,1731.6584,114.946,474.3502,2056.455,411.1706,2325.018,8960.2112,2776.6075,176.0816,413.1898,869.5667,196.4768,1047.056,361.9483,1858.2069,820.6069,21640.0909,9499.3568,1938.713,2241.9959,15164.9038,854.8156,1421.4941,213.5843,628.164,0.0,75114.3709,0.7266,434.5022,40.3688,11.2323,0.0
BRA_L,7.5965,1.1632,155.6838,39.6187,17.0588,589.5458,276.3749,13.9341,81.6313,70.2873,248.4582,97.0475,162.999,63.1971,120.4753,100.4791,71.9752,41.8436,83.1334,143.0031,8.7476,101.1769,430.2948,125.1442,390.1625,15187.1793,482.0795,25.8435,37.1588,892.7682,250.6391,2291.4668,206.9192,700.71,639.5395,1820.1299,713.3128,2581.6201,1957.3879,962.7403,1999.43,962.4915,1311.3904,1148.8605,0.0,136296.7524,0.0,0.0004,4801.6521,0.9433,0.0
BRA_M,503.3716,14.1254,3435.9071,1328.132,220.5042,8568.3061,714.3381,103.165,1012.1637,1731.1849,4156.4707,2192.5408,927.4551,752.8087,819.8682,527.122,1405.5064,761.4957,1151.5521,3364.3616,89.7795,529.4426,2090.303,608.3823,2158.6288,14964.3882,936.0408,46.0991,165.2422,2108.7204,408.9092,649.6427,1372.302,1425.8947,1399.8246,6383.3541,762.0149,7710.6778,2483.1442,4229.4676,2182.8794,1561.3865,659.7624,1341.1732,0.0,4847.1582,0.0,0.0,2676.9939,14.6268,0.0
BRA_N,99.4478,8.1364,2084.3903,1194.8548,125.3783,2068.6997,326.4131,39.2387,312.956,123.4899,818.6914,577.3791,230.3228,445.6525,779.2691,517.2748,626.6257,391.1896,1239.8189,1130.7415,55.9315,410.8842,1511.542,323.3435,984.0773,16519.3247,1294.5522,189.4395,593.4448,1089.901,344.5785,1074.9294,474.6523,8778.2219,2843.2232,8553.6196,296.2861,2350.8225,3114.6596,9007.2103,5393.5889,5393.6193,331.9848,2387.9971,0.0,4740.2867,1681.0827,0.0016,148.061,9.0265,0.0
BRA_O,146.2499,1.6826,141.0266,84.101,13.6984,442.9544,41.8542,10.4156,55.9351,106.41,261.0629,69.7982,61.4769,36.4708,81.1502,35.2915,45.1419,37.4678,57.9761,138.778,5.5156,38.1288,104.2517,21.5768,111.265,589.1633,155.6827,16.0093,37.9218,92.3112,20.9695,87.8346,36.4055,36.7551,66.8126,186.9763,38.7925,279.2324,88.1996,176.8403,101.41,102.409,20.8244,109.7506,0.0,1809.0209,1210.7299,223579.688,2588.3863,13.7695,0.0
BRA_P,5.406,0.0702,26.8244,99.0134,4.1302,27.2209,7.9032,0.5232,19.1292,4.817,29.8359,10.5643,3.179,1.7406,130.6028,29.7852,3.1531,5.8467,14.8767,64.0948,0.5189,4.2678,56.0255,1.3741,4.1244,409.0204,480.8791,30.2392,6.046,96.4426,36.8035,4.697,12.2379,21.2698,5.7021,685.7388,22.3379,1509.9097,1093.309,157.3577,54.7512,163.2351,5.0664,218.4911,0.0,37156.1366,1467.0638,87049.1117,3282.7533,0.0156,0.0
BRA_Q,0.0,0.0,0.0,0.0,1.6173,0.0,0.0,0.0,0.0,11.3453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1371,0.0,0.0,153.9144,0.0,0.0,0.0,19.3379,1.7447,9079.2655,0.2544,0.0,0.0,55005.7193,7359.726,66413.8157,0.0,-0.0109,0.0
BRA_R,0.1613,0.0035,0.1661,0.0679,0.1756,0.0,0.0,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0164,0.5635,0.0537,0.0,0.2746,3.9514,0.1539,0.4503,0.9781,0.0,6.0451,843.876,111.1204,0.0,1.9901,0.2154,32.9445,8.4537,248.3333,26.6592,17.5801,337.0623,376.6931,0.0,8031.786,1392.0884,0.4585,0.0,0.8579,0.0
BRA_S,72.0248,3.4191,304.4456,178.9285,6.5875,284.0415,82.1041,27.8387,73.7194,56.7131,110.3323,44.7574,74.0666,57.6558,77.2964,97.4165,104.3189,55.7175,84.1375,186.1848,9.7762,44.3334,228.5479,1.1145,44.9088,1201.6425,207.5972,3.5685,7.7818,401.7243,111.3609,107.2153,65.2776,983.6489,476.2175,572.7468,40.2348,344.6917,594.1153,236.088,227.5446,850.7894,11.0206,131.1626,0.0,24641.6263,13272.7359,3.1097,65.2302,0.0143,0.0
BRA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20376.1698,0.0,0.0,0.0,0.0,0.0
