V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T,LVA_HFCE,LVA_NPISH,LVA_GGFC,LVA_GFCF,LVA_INVNT,LVA_DPABR
LVA_C20,28.5162,0.0454,0.0033,1.2317,0.0151,7.7833,1.5215,14.1616,2.1982,0.0183,20.3175,3.9877,7.3614,8.811,0.9472,2.8102,0.5436,1.4986,0.4287,0.9503,0.6986,1.6509,1.123,0.9251,6.2713,10.8386,4.4521,0.3408,4.0521,38.4858,0.0353,1.3877,0.0975,0.0813,0.4248,0.1475,2.6838,1.1993,2.1962,2.721,2.2397,4.583,0.6899,0.8796,0.0,72.4713,0.1314,6.5997,5.6207,3.0332,0.0
LVA_C21,3.2509,0.0177,0.0008,0.6464,0.0104,1.9855,0.4554,2.099,0.3671,0.0065,1.0159,5.54,0.4148,0.6284,0.0792,0.5953,0.2842,0.3435,0.104,0.3544,0.1689,0.2992,0.501,0.1534,2.3875,0.8327,0.6782,0.0118,0.1781,0.1279,0.0118,0.5739,0.0581,0.0229,0.0866,0.0397,0.2635,0.896,0.4081,0.2365,0.2725,24.3692,0.1531,0.0771,0.0,61.6987,0.0438,33.825,5.5165,2.2967,0.0
LVA_C22,3.893,0.1977,0.0085,2.2285,0.0094,23.9114,0.3645,4.044,3.4058,0.0054,2.1398,0.8345,19.9775,0.9572,0.8584,1.2382,0.9114,1.9781,2.6479,0.8713,2.8575,3.9766,0.5105,10.5864,19.533,6.2806,7.4635,0.0146,0.9223,1.0115,0.2081,0.6737,0.583,0.2106,4.0197,0.1405,4.1759,2.3758,1.498,0.8281,3.2777,0.526,0.8197,0.4286,0.0,29.7868,0.0643,0.7973,3.818,2.4377,0.0
LVA_C23,2.0474,0.1073,0.0027,2.7714,0.0127,13.9572,3.3807,4.8024,0.3549,0.0076,0.9757,0.5344,1.781,16.6527,1.2095,2.7748,3.3316,2.8728,1.7092,0.6662,0.5879,2.4213,1.827,2.6486,310.1502,6.9856,1.6005,0.0471,0.8803,0.7914,0.0469,2.6317,0.1579,0.0875,0.2344,0.1198,6.7324,1.137,2.8699,3.417,0.8724,0.9117,1.01,0.78,0.0,59.7008,0.0293,1.4204,10.4784,6.3273,0.0
LVA_C24,0.4556,0.0648,0.0,0.0079,0.0006,2.201,0.0289,0.3172,0.1447,0.0001,0.0032,0.0957,0.6399,0.7144,1.4723,18.3629,0.0049,1.0566,2.9406,7.8741,1.335,0.5954,0.1128,0.0129,12.0953,2.4102,0.4916,0.0,0.0014,0.1102,0.0111,0.0049,0.0,0.0231,0.1707,0.0765,1.4364,0.5368,0.1123,0.0041,0.0268,0.0351,0.0057,0.0537,0.0,0.2227,0.0,0.0,3.2411,0.8372,0.0
LVA_C25,4.9235,0.1576,0.0015,0.459,0.0048,17.6072,0.3747,13.0305,0.9864,0.0032,0.5441,0.4838,1.3444,14.0978,4.762,65.9322,1.0213,8.4597,16.7526,20.7304,2.7417,19.7156,2.0159,2.2056,159.0442,14.2644,6.0341,0.0397,0.4653,1.7875,0.0711,0.8168,0.2102,0.6005,0.4044,0.3362,8.745,8.7677,10.2674,19.3154,1.7674,1.5714,1.9286,0.9439,0.0,42.4728,0.0663,1.9269,24.1138,7.1756,0.0
LVA_C26,0.1226,0.0032,0.0002,0.0702,0.0001,0.2375,0.0187,0.0968,0.0625,0.0001,0.0162,0.0776,0.0104,0.0675,0.0091,0.0474,17.0032,2.5233,0.0298,0.0829,0.263,0.2079,0.0805,0.0478,2.0515,1.7289,0.9384,0.0267,1.0395,0.3287,0.0348,0.1101,1.0738,2.3294,4.974,0.21,0.3989,2.021,0.3879,0.7582,0.4175,0.2642,0.4028,2.2896,0.0,115.4035,0.0477,3.2004,43.9121,4.1348,0.0
LVA_C27,0.8177,0.0116,0.0002,0.0773,0.0014,0.4166,0.0688,0.5414,0.0698,0.0003,0.0534,0.0512,0.1971,0.1164,0.0128,0.1185,3.3361,17.0987,0.8928,0.1037,0.7873,2.0176,0.5248,0.0958,12.5721,2.5825,1.0437,0.0835,0.5047,0.3882,0.0254,0.3172,0.1446,1.5123,0.7361,0.2504,0.5195,1.6985,2.399,0.9976,0.8276,0.4838,1.094,0.5575,0.0,54.749,0.02,4.3551,34.2107,2.0056,0.0
LVA_C28,2.215,0.0395,0.0006,0.2125,0.0055,1.0155,0.07,2.012,0.1387,0.0008,0.095,0.0404,0.1653,0.6683,0.0678,0.8879,0.6006,0.8434,2.1278,0.7886,0.3354,1.4635,0.5376,0.1343,5.9432,1.854,1.0861,0.0281,0.4682,0.5937,0.0273,0.1313,0.0775,0.0858,0.2814,0.1112,0.8709,0.2902,0.7685,0.3732,0.0775,0.229,0.1313,0.2263,0.0,9.3419,0.016,2.5663,124.2715,2.5537,0.0
LVA_C29,1.4756,0.0183,0.0003,0.1152,0.0008,0.4921,0.1787,0.7337,0.0238,0.0002,0.0187,0.0245,0.0305,0.4823,0.0373,0.5366,0.0323,0.1119,0.2276,2.4153,0.0928,0.694,0.4372,0.3836,3.5981,14.5311,10.4693,0.0086,0.1515,0.8333,0.0163,0.0693,0.0197,0.0209,0.0683,0.0768,0.188,0.2357,1.946,0.4459,0.139,0.2616,0.1498,0.0652,0.0,87.6747,0.0168,2.328,67.7521,2.5638,0.0
LVA_C30,1.1774,0.2874,0.0011,0.0868,0.0011,0.0669,0.0058,0.4391,0.0042,0.0001,0.011,0.0214,0.0072,0.3619,0.1436,1.5039,0.0969,0.0282,0.068,1.0106,5.7106,2.6377,0.025,0.0613,1.7382,3.6968,12.6458,0.0052,8.0562,2.0078,0.0265,0.0685,0.11,0.1845,0.0263,0.0565,0.2271,0.7186,1.4694,0.0643,0.0139,0.0721,0.4289,0.112,0.0,58.8164,0.0,0.0,15.46,-46.132,0.0
LVA_C31T33,39.7392,0.5713,0.0041,1.0855,0.046,13.6191,1.0383,12.5295,3.4209,0.05,2.23,2.0114,1.7616,4.5544,0.3982,3.4379,0.482,2.6099,1.7986,1.1841,6.9629,28.6132,16.3978,4.2261,15.2027,34.2503,8.9672,0.6443,26.8782,6.7762,0.326,5.0995,0.467,3.732,6.8463,1.8218,4.597,2.9004,9.9134,1.0777,2.6132,18.7352,4.8262,1.2187,0.0,87.8538,0.1511,3.038,79.6575,0.8225,0.0
LVA_D,52.2548,2.2551,0.014,4.9418,0.0276,125.2485,8.2625,88.3202,8.6738,0.0104,26.9483,15.2081,7.8766,46.9359,3.8487,13.7197,2.4403,7.3507,5.5396,3.0131,4.3522,19.301,453.8522,15.9795,22.8535,100.1566,78.3514,0.6785,0.6042,39.6954,1.7673,36.069,2.8156,16.1709,7.5611,7.5538,104.4124,5.5862,10.4904,25.6035,62.4764,50.1942,27.5617,5.3646,0.0,544.0828,0.2414,4.0114,7.8612,0.1114,0.0
LVA_E,6.5093,0.2525,0.0023,1.8723,0.0113,20.1914,1.0689,3.7603,2.705,0.0037,3.2437,1.3281,1.3446,4.7182,27.9228,2.6167,0.2356,0.3711,1.3986,1.55,0.7974,1.8661,8.6121,64.502,27.7169,28.3763,3.5761,0.0646,0.1821,5.0296,0.3237,5.2002,0.4054,0.4215,0.4169,0.7998,14.3789,4.2937,7.9295,9.1795,13.1304,10.7979,4.6932,1.0046,0.0,192.7291,0.0378,19.762,7.4421,0.4518,0.0
LVA_F,12.0515,0.125,0.0052,2.8921,0.0319,8.1901,0.7468,15.7201,1.0108,0.0249,1.859,1.0486,0.6658,11.1767,3.5204,18.0435,1.2625,2.6394,2.5844,0.7993,2.466,5.8592,149.5713,16.3116,2386.5418,39.2891,77.9817,0.841,2.9706,21.2175,0.949,7.9725,1.2311,21.5268,3.9364,6.7812,137.0009,34.5009,20.0358,142.1623,28.5418,15.5798,13.2258,3.6063,0.0,38.9478,0.2829,13.0258,3693.5528,1.8645,0.0
LVA_G,313.4331,4.0811,0.0393,22.8379,0.1242,269.0561,31.5458,282.4988,34.6272,0.1507,46.4075,16.4254,21.8875,51.518,4.8345,51.9423,24.8278,20.3209,15.2642,19.0409,12.1876,51.1812,85.1863,15.7338,400.0346,154.8486,214.8321,2.7342,36.0589,34.7452,3.2189,72.6519,11.4892,8.0418,11.8238,5.8797,37.8848,44.7441,43.2911,32.9721,28.6904,48.2565,17.906,10.4606,0.0,1824.0009,6.6983,67.7076,424.4538,67.4173,0.0
LVA_H49,46.6133,1.6727,0.0378,17.6097,0.1263,54.8512,2.5585,71.5001,7.3673,0.0989,8.6598,2.0741,4.9793,21.6495,1.2787,14.1542,2.4433,3.6624,3.5345,4.51,3.4209,9.3258,34.0055,4.1396,105.3395,137.8016,186.8915,0.6935,9.2313,98.9243,3.2976,7.1597,1.224,1.5944,2.6395,0.6431,4.8384,3.8467,20.3715,6.327,5.0026,4.1476,4.6982,1.4805,0.0,318.1466,0.7508,182.1305,53.3987,36.4784,0.0
LVA_H50,2.4433,0.0451,0.0021,0.9427,0.0138,2.451,0.3702,2.6945,0.4516,0.0067,0.6171,0.182,0.3694,0.8217,0.1028,1.0839,0.3897,0.3526,0.2709,0.44,0.2152,0.4702,2.6562,0.2502,3.2929,7.3081,5.645,1.0581,0.9959,4.0435,0.0348,0.5766,0.0635,0.0785,0.1932,0.0597,0.3896,0.3317,1.1003,0.4839,0.4083,0.4618,0.2132,0.1047,0.0,16.5751,0.0543,0.6436,5.3668,22.6399,0.0
LVA_H51,5.2956,0.0795,0.0016,0.8577,0.0037,4.9962,0.6577,4.0938,0.9063,0.0115,1.1706,0.337,0.6898,1.5538,0.1906,2.0507,1.0724,0.6332,0.51,0.8141,0.339,0.9984,5.0977,0.459,9.4528,3.8933,5.2074,0.0993,2.7943,1.0632,0.6009,1.169,0.222,0.2111,0.3834,0.2831,0.9298,0.6595,5.8474,1.0013,0.736,0.9512,0.4754,0.271,0.0,39.9256,0.1209,2.6355,10.2836,36.8853,0.0
LVA_H52,20.5715,0.7303,0.0121,4.2134,0.0253,25.503,1.3727,35.0896,1.3114,0.0662,7.8896,0.8536,2.8084,17.5677,2.3841,2.2592,0.5846,1.11,1.9783,4.2641,1.7576,7.26,5.7708,3.2156,17.5233,360.1115,172.0412,16.8761,179.3607,2018.1556,1.0095,2.8968,0.5467,0.6638,13.4555,0.5438,3.4674,12.2307,13.3635,2.3355,2.306,1.6395,2.7776,2.6123,0.0,55.5273,5.7708,21.2038,6.3087,6.4673,0.0
LVA_H53,0.4132,0.0108,0.0006,0.1625,0.0017,1.2708,0.5006,0.6907,0.9477,0.0037,0.2599,0.5747,0.1433,0.1709,0.0544,0.4095,25.8106,0.3006,0.1393,0.0875,0.4185,0.8409,0.6768,0.8218,1.0343,35.095,1.3385,0.5194,0.3376,1.0115,37.5826,0.6195,4.8127,3.8236,0.9031,9.5509,0.8935,2.2397,3.954,10.7277,3.7815,2.6705,3.667,1.6078,0.0,20.1718,0.0063,0.1212,0.4638,0.1905,0.0
LVA_I,0.1591,0.0052,0.0002,0.0536,0.0071,0.3841,0.1187,0.2115,0.1407,0.0024,0.0421,0.6082,0.0611,0.1451,0.0075,0.2166,0.7093,0.1569,0.1152,0.0565,0.1423,0.203,0.2078,0.0303,2.4072,4.0896,0.7151,0.0114,3.2868,0.8594,0.0829,7.2877,0.2345,0.5137,1.115,0.4149,0.3534,1.3802,62.2468,1.7403,5.1764,5.807,4.9413,0.5502,0.0,788.6044,0.0398,0.0004,0.0,0.0,0.0
LVA_J58T60,0.518,0.0074,0.0001,0.0372,0.0005,1.7656,0.0785,0.2879,0.5481,0.0002,0.0685,0.1743,0.0277,0.1241,0.0046,0.0434,0.0431,0.2166,0.0175,0.0682,0.0643,0.1077,0.1549,0.069,0.4775,13.6471,0.4663,0.0284,0.3767,0.2485,0.1449,0.418,29.6219,18.2962,3.3242,1.4365,0.1575,8.8662,0.493,7.1376,2.3559,0.7198,3.5197,1.7756,0.0,59.6288,0.3915,19.6874,45.8455,0.2208,0.0
LVA_J61,3.0035,0.1343,0.0005,0.1724,0.0042,3.7925,0.5048,1.9019,0.4746,0.0104,0.4987,0.8047,0.2264,0.426,0.0843,0.8079,0.4327,0.3995,0.3491,0.1123,0.2537,1.1983,9.4395,0.5776,14.9099,17.3533,6.1106,0.4508,0.5264,2.5001,0.4888,2.8662,0.9912,221.0205,11.09,16.0078,10.8435,10.0337,14.4398,11.2361,3.3403,4.9783,2.5612,4.0436,0.0,349.1635,0.1572,3.4965,20.2507,1.3421,0.0
LVA_J62_63,3.5634,0.0448,0.0022,0.732,0.0046,6.764,0.4414,3.1581,1.6304,0.0021,1.2335,3.1383,0.1619,0.9317,0.1366,1.5035,1.2444,1.9283,0.6546,1.1227,0.8184,1.6286,12.4268,1.468,7.119,74.7379,29.841,0.6163,19.569,16.4832,3.0772,4.9459,11.0207,49.2103,169.3009,93.2004,5.5717,42.299,47.8024,30.3201,5.3835,10.4354,26.3039,7.9745,0.0,42.9762,0.3065,14.5393,140.6536,1.5022,0.0
LVA_K,34.8766,0.5162,0.0031,1.1048,0.0213,11.2186,2.0608,10.2497,1.4993,0.0138,1.8758,2.6815,1.3334,3.2729,0.5329,1.9045,0.6606,1.5431,1.0897,2.2977,1.6532,2.2656,19.1336,2.407,20.8394,91.0354,21.2851,3.0557,13.596,20.3489,22.895,11.996,1.3435,20.8124,8.9296,379.9715,159.5249,26.8412,21.3266,58.87,3.576,4.5344,9.1223,15.2453,0.0,508.0084,1.0639,2.0953,22.3317,1.0249,0.0
LVA_L,37.0643,0.3724,0.0003,0.1361,0.0119,29.6016,6.1375,9.0974,8.2916,0.0093,3.5898,1.0762,7.6252,3.6954,0.477,16.2873,9.2561,4.4485,7.7397,2.2487,5.1859,17.6946,5.0626,4.5948,93.3935,547.1352,21.3071,2.7317,2.3975,50.7382,4.022,128.2095,10.676,24.6889,37.4476,55.8703,301.6532,31.9885,47.0283,62.0125,37.6647,47.2972,61.943,18.0634,0.0,2701.819,39.0254,84.2206,240.0192,0.088,0.0
LVA_M,24.7812,0.7389,0.0052,1.3918,0.1165,46.7951,1.8416,24.8976,2.5545,0.0309,6.7954,33.4273,1.0988,8.9834,0.7926,4.3511,1.3686,9.8979,3.0724,2.0629,1.8654,6.4725,19.5442,9.5578,116.3275,368.0837,32.738,2.1425,7.02,29.8575,1.5789,21.2112,23.6768,37.7256,20.9048,47.2041,42.3755,348.5061,50.6319,50.9697,15.7639,16.325,38.1565,48.8859,0.0,42.522,2.2213,62.6656,193.507,1.2828,0.0
LVA_N,12.5548,0.59,0.0109,4.3803,0.0223,21.6357,1.3201,19.8809,2.2377,0.0075,3.2396,6.813,1.6065,9.0332,0.619,6.2914,1.8039,8.5658,2.1185,1.3968,18.1155,5.3208,13.8406,18.105,66.7397,189.0588,73.0129,5.5017,88.1637,30.9647,3.1638,42.3783,4.0437,17.7301,17.5967,12.6828,78.4027,32.7668,169.1431,70.2297,26.8351,29.3861,46.6324,16.8109,0.0,339.3825,0.3443,8.7631,9.3917,0.7409,0.0
LVA_O,1.862,0.0614,0.0003,0.0889,0.0007,1.3049,0.2644,1.0055,0.6523,0.0004,0.3699,0.1725,0.2046,0.5447,0.2736,0.3124,0.1376,0.214,0.0907,0.1877,0.2517,0.2215,3.1479,0.672,8.0233,10.2066,55.0394,0.0539,0.3046,1.0109,0.1135,0.6508,0.1807,1.1011,0.9371,8.5091,1.7094,9.3364,1.9818,57.2118,19.6313,3.4484,2.2653,0.9559,0.0,50.5376,2.1392,2807.2127,53.5167,0.0145,0.0
LVA_P,0.6618,0.0121,0.0001,0.0203,0.0006,0.9032,0.091,0.668,0.1982,0.0008,0.1613,0.9748,0.1004,0.3372,0.0164,1.1664,0.5442,0.4888,0.2059,0.1997,0.11,1.1176,1.2488,0.3451,1.9689,12.8629,0.8433,0.2505,6.1363,1.515,0.0843,0.8602,0.244,1.8245,3.2988,1.4502,0.9882,4.9985,2.2679,4.736,22.8191,2.4486,0.542,5.5699,0.0,378.207,34.8631,1309.4723,42.2188,0.0085,0.0
LVA_Q,0.4609,0.0234,0.0001,0.0202,0.0005,0.1909,0.0476,0.132,0.0348,0.0001,0.1056,0.1155,0.0255,0.0895,0.0017,0.0273,0.0959,0.0475,0.0491,0.0445,0.0314,0.0447,0.1556,0.1574,0.2498,0.6159,0.2589,0.0067,0.0942,0.5995,0.084,0.2694,0.0276,0.0447,0.3747,0.1545,0.1937,0.5765,0.1373,0.8239,0.3241,31.9415,0.1414,0.0396,0.0,607.8031,21.5009,971.1646,1.5143,0.0375,0.0
LVA_R,0.5423,0.0043,0.0002,0.0905,0.0005,0.7611,0.064,0.5626,0.3076,0.0003,0.1482,0.3035,0.097,0.1135,0.032,0.225,0.0897,0.3019,0.0294,0.0458,0.2152,0.1904,0.4198,0.0873,1.3948,3.0957,1.4992,0.1558,0.6811,0.7146,0.1337,1.9942,0.6462,0.7514,1.2297,2.3003,1.3281,1.7809,1.6464,1.0765,0.5591,0.351,27.9089,1.1394,0.0,619.7492,53.5866,232.7354,2.772,0.053,0.0
LVA_S,0.3044,0.1201,0.0002,0.0869,0.0011,0.3122,0.1203,0.1587,0.1303,0.0002,0.0563,0.1068,0.0801,0.2014,0.0049,0.0562,0.9071,0.0733,0.0235,0.0514,0.2852,0.1541,1.0355,0.1255,0.4739,2.01,0.5811,0.0644,0.2933,0.4136,0.0731,0.904,0.1477,0.2738,0.2673,2.0024,2.3496,0.9945,0.577,3.7033,1.2682,1.6199,1.2364,0.9757,0.0,167.5553,248.3095,4.3638,25.6092,0.0284,0.0
LVA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0212,0.0,0.0,0.0,0.0,0.0
