V1,GRC_A01_02,GRC_A03,GRC_B05_06,GRC_B07_08,GRC_B09,GRC_C10T12,GRC_C13T15,GRC_C16,GRC_C17_18,GRC_C19,GRC_C20,GRC_C21,GRC_C22,GRC_C23,GRC_C24,GRC_C25,GRC_C26,GRC_C27,GRC_C28,GRC_C29,GRC_C30,GRC_C31T33,GRC_D,GRC_E,GRC_F,GRC_G,GRC_H49,GRC_H50,GRC_H51,GRC_H52,GRC_H53,GRC_I,GRC_J58T60,GRC_J61,GRC_J62_63,GRC_K,GRC_L,GRC_M,GRC_N,GRC_O,GRC_P,GRC_Q,GRC_R,GRC_S,GRC_T,GRC_HFCE,GRC_NPISH,GRC_GGFC,GRC_GFCF,GRC_INVNT,GRC_DPABR
GRC_C21,7.4332,0.3235,0.2697,2.1996,0.0209,10.5677,3.18,0.2244,1.1826,6.7176,2.759,22.8695,1.9334,0.7456,2.8441,1.2053,0.2983,0.466,0.2738,0.0341,0.282,0.6524,3.4787,1.0396,4.1088,16.2619,2.6012,3.0307,1.0703,1.578,0.2837,12.9848,1.2383,4.0003,0.569,1.1386,3.6873,7.4527,2.6119,3.9413,2.6511,223.6786,0.7891,1.7214,0.0,688.0478,0.006,590.6279,83.4437,39.0874,0.0
GRC_C22,29.0904,0.2935,0.1869,0.2363,0.1499,62.7314,7.8782,1.1645,11.8136,3.8224,4.3426,12.5152,16.0462,8.3796,7.2045,24.3148,6.0902,4.3934,14.4143,1.0095,2.3684,9.4544,15.2462,1.924,60.4421,674.8145,83.2111,2.3801,36.6989,6.8894,9.2085,26.1171,0.9539,56.0681,6.0683,1.3606,65.4708,65.9757,20.505,4.3294,1.3102,5.4862,2.2254,21.6662,0.0,116.9411,0.0048,3.0194,20.7623,27.4396,0.0
GRC_C23,4.0906,0.2489,1.6375,2.2862,0.2231,38.0738,2.1468,0.2613,1.4855,5.198,7.8491,8.9902,3.8314,260.609,10.0168,6.1753,1.9238,12.308,5.3207,0.6032,1.0589,5.3927,15.0229,0.8651,862.8882,28.8985,6.0157,3.2232,2.5321,3.7974,0.6715,97.9285,2.132,7.6894,1.2535,1.5148,69.2936,7.8372,5.3617,2.7025,1.1047,17.4974,2.3283,2.2635,0.0,214.7984,0.0118,3.772,17.739,44.4513,0.0
GRC_C24,0.0,0.0,0.0035,0.0046,0.1546,46.1115,1.1503,0.1084,1.5179,0.066,5.2192,6.8412,1.727,2.542,653.6015,222.874,9.776,264.075,41.1743,4.9681,6.3836,47.364,7.6804,24.7915,85.3372,2.7911,0.1076,0.1262,0.0,0.0,0.0,0.0,0.8963,0.0,0.5306,0.9949,0.0065,0.0001,0.0,11.0145,0.9504,0.1884,0.5127,0.0044,0.0,0.0585,0.0,0.0,0.0,85.7689,0.0
GRC_C25,25.0157,2.8622,3.5672,1.5047,0.6215,240.2085,66.8991,1.8213,10.4613,8.4676,21.2495,31.8405,24.8114,12.8788,24.5739,169.7471,17.4978,27.236,33.2686,5.0607,12.8174,38.053,73.4633,6.7293,681.1403,53.3011,11.6459,6.1796,3.4925,16.8835,0.8851,115.0758,3.5168,6.6483,4.8944,4.8006,1.9843,9.2952,20.7826,96.8614,7.2308,13.9817,48.3118,9.9061,0.0,325.9737,0.0056,26.7047,283.3093,56.9118,0.0
GRC_C26,7.5354,0.3596,0.0635,0.1041,0.053,6.9013,0.6789,0.0957,0.5477,1.4763,0.6414,0.9526,0.4465,1.4633,1.9796,2.207,9.5681,0.5161,1.0134,0.4153,0.2658,1.6555,11.4158,3.151,6.1145,16.6357,5.5405,0.8697,2.194,10.384,0.5464,7.1616,3.8849,1.8772,2.9959,1.0125,0.1381,3.508,3.9389,4.5315,4.2188,7.9218,1.4301,3.1366,0.0,134.783,0.0036,2.8631,316.9383,8.5531,0.0
GRC_C27,6.8032,0.3416,0.0958,0.1283,0.076,13.6761,1.5647,0.2355,1.3638,4.0892,1.5358,1.5486,1.3109,3.7877,4.6396,8.88,24.0393,21.4121,6.7269,0.5816,0.4941,2.7091,30.9661,17.9642,62.6897,218.4379,16.9338,1.6058,5.0696,12.6291,1.2718,28.8881,9.5105,16.8066,4.9712,0.4503,0.6704,23.7303,2.7436,3.5544,2.1868,3.0609,1.0401,4.2604,0.0,199.7741,0.0026,2.4474,113.801,18.1584,0.0
GRC_C28,12.5452,0.5994,0.2708,0.3497,0.1835,17.4564,1.3941,0.1461,0.8944,2.209,1.5728,2.4395,1.087,2.205,2.8303,7.7151,1.3094,2.271,5.8794,0.3601,0.7012,2.8907,14.0721,3.9565,26.9818,15.359,10.023,1.81,2.3037,15.6432,0.5851,17.5699,1.4887,2.9458,3.724,1.231,0.682,3.4468,4.9388,8.4969,4.8228,4.4779,2.5087,3.2082,0.0,30.9768,0.0037,2.2335,344.2214,8.3011,0.0
GRC_C29,1.5294,0.0743,0.0235,0.0351,0.0102,1.0222,0.0939,0.0153,0.0706,0.2902,0.0948,0.1567,0.0743,0.127,0.1278,0.34,0.0775,0.0846,0.1545,0.2651,0.0457,0.2348,0.4008,0.8329,1.3147,1.271,1.2295,0.2256,0.7723,2.5648,0.1934,1.3413,0.091,0.273,0.4025,0.0623,0.0369,0.3079,0.4572,1.0842,0.3561,0.5316,0.229,0.9214,0.0,67.1692,0.0004,0.1976,37.537,2.1673,0.0
GRC_C30,0.0,2.883,0.1237,0.1828,0.0013,1.9066,0.2177,0.0157,0.137,0.1455,0.0985,0.2465,0.1043,0.2761,0.5933,0.4646,0.0483,0.0702,0.1293,0.0273,7.0796,1.6854,0.0996,0.0135,0.093,0.2328,4.9868,6.6939,0.3705,0.5948,0.0875,3.0722,0.0193,0.0153,0.0031,0.0,0.0,0.0258,0.8185,0.1606,0.0083,0.1071,0.0,0.7032,0.0,144.1109,0.0,0.0,325.1317,9.1897,0.0
GRC_C31T33,89.3877,4.2859,0.5883,0.6881,0.5094,45.388,4.0023,5.2038,1.6106,2.9334,4.0086,6.9304,2.7749,3.1821,4.4872,16.4812,2.0871,2.7095,7.1086,1.0149,2.6811,20.7554,15.1859,20.6263,82.4917,29.1473,32.9398,7.5946,6.7839,103.6008,1.705,70.3751,3.49,5.3457,23.1233,5.8694,2.9908,8.8026,17.9999,53.4595,18.8995,197.0729,13.7559,21.1603,0.0,227.4708,0.0063,78.1283,147.3396,8.4465,0.0
GRC_D,204.9327,0.6729,6.7179,3.3255,1.1218,561.2751,74.2481,7.7651,48.614,114.0316,56.1504,71.4878,54.5784,167.8869,752.6118,117.5797,11.6032,17.1637,18.1108,4.1493,17.1595,36.9706,1921.1894,755.7354,35.7325,281.7413,92.1301,21.3768,34.8568,362.4784,8.7067,299.4899,52.3479,83.5295,10.358,37.4403,23.0756,70.5774,103.5633,295.9842,136.0622,226.9582,165.3285,135.1519,0.0,4393.7236,0.0106,38.6809,93.2261,3.3315,0.0
GRC_E,151.3568,0.0158,0.1365,0.0948,0.1764,8.3902,0.9521,0.0714,3.1467,0.8833,0.5632,14.1046,11.419,1.353,88.1858,1.9899,0.2361,0.3764,9.3823,0.1296,0.3644,1.1751,2.4565,239.896,3.4765,252.7416,3.7607,3.2626,1.8842,25.7232,0.4796,142.0686,5.3447,87.9475,49.1342,39.2675,149.6719,60.7443,14.859,81.62,49.5397,48.8553,39.5296,20.9773,0.0,1249.1513,0.0017,1271.7459,3.3992,0.0285,0.0
GRC_F,8.2854,0.0471,0.3275,0.1149,0.2803,37.5155,5.4197,0.8525,4.9596,20.6126,12.8544,1.7012,6.9584,8.4321,13.6829,0.2192,0.2058,0.8638,0.333,0.3476,0.4119,1.8903,4.8865,11.7826,199.1695,93.8649,245.0049,3.8836,0.7249,9.61,0.1807,27.0204,2.9893,6.4668,1.0002,45.9758,868.4749,17.5822,21.1479,39.1324,53.3358,38.0734,19.7713,60.6777,0.0,177.856,0.0,1.5788,6438.635,0.4824,0.0
GRC_G,1014.4251,57.4744,7.563,26.6429,1.943,1755.6469,246.4325,40.4687,252.9576,1165.3817,209.7434,95.1747,205.3045,161.1766,206.8928,203.9943,61.666,83.8827,52.5455,10.9449,19.7319,106.2226,556.1471,102.0313,637.8128,1801.4766,356.3235,583.4561,212.8319,207.7972,62.8106,2179.9034,57.5375,311.3344,57.347,108.6436,140.5932,376.3624,313.999,320.315,99.465,622.7074,82.1226,204.0846,0.0,14081.2217,0.4222,972.1833,2431.4798,639.5927,0.0
GRC_H49,93.5442,6.2084,3.5193,16.1519,0.6504,359.049,28.8408,6.9607,35.8161,264.8156,43.3078,19.6534,29.5196,101.6848,65.1493,48.5136,8.7866,14.3904,13.9219,1.6964,4.6372,17.1645,59.4526,11.4707,94.4472,458.927,47.4272,73.9316,43.3983,52.2053,10.7965,152.8413,5.2755,45.4621,19.4295,6.2041,10.9717,141.6851,161.2563,67.1684,20.2072,40.1388,16.2362,96.1111,0.0,1808.5567,0.0099,501.6516,173.2214,19.2733,0.0
GRC_H50,12.4517,1.1744,0.0876,0.4034,0.0573,20.1532,3.9872,0.6466,4.1089,116.4584,4.826,3.1993,4.2681,2.5848,5.0302,4.6487,1.5538,1.9831,2.0596,0.2105,1.1003,3.0888,12.3361,2.0409,8.8787,82.8524,27.1115,936.3815,13.9777,9.4041,3.6586,19.9339,2.4761,11.9614,3.6987,2.2369,3.7283,8.7855,7.4905,4.0625,1.7209,10.1531,1.9862,6.2374,0.0,272.6358,3.4701,12.7362,36.6998,137.5798,0.0
GRC_H51,5.854,0.3204,0.0316,0.3299,0.0635,12.363,1.6091,0.3607,1.9326,27.3925,2.0771,1.9834,1.6237,1.5657,2.4211,2.386,0.8108,0.9648,0.9864,0.1048,0.4811,1.6338,6.3029,0.7085,5.1083,33.4797,1.3169,4.0525,0.7364,1.2451,0.1833,12.1785,2.0083,5.4333,2.8916,1.3903,0.9288,4.8173,21.7814,17.8556,0.4787,3.3228,0.7976,27.5241,0.0,436.4075,0.0021,3.0093,12.9531,21.2367,0.0
GRC_H52,24.8891,13.6564,0.1286,5.3457,0.4359,74.1774,5.618,1.4344,6.7974,127.1562,7.3559,10.8335,5.4833,10.1319,9.9342,11.5685,1.4442,2.7298,2.3974,0.3343,0.7278,4.4553,24.3329,5.3238,21.1439,2218.952,172.3375,340.7884,200.7825,287.1166,63.9536,53.1175,37.6562,300.9456,77.4326,8.0501,2.888,68.9233,81.2055,12.4416,1.8872,9.6721,2.1171,9.8016,0.0,360.8421,0.0153,107.8686,53.6331,18.1018,0.0
GRC_H53,16.095,0.0468,1.049,3.3426,0.0373,12.9469,2.2069,0.0428,0.2517,1.5774,0.248,4.7923,0.181,0.5228,1.8243,0.2902,0.0568,0.0871,0.082,0.0097,0.3254,0.1209,1.5953,1.7356,0.6817,348.2009,13.7992,0.6923,0.5371,0.6574,0.1447,85.3672,33.6618,56.3895,101.0711,60.9223,0.211,30.6632,140.9476,22.2163,0.1367,2.3375,3.8485,25.6732,0.0,51.8424,0.0014,2.63,2.1809,0.3761,0.0
GRC_I,0.0007,0.0,0.8029,0.7278,0.3332,16.3977,3.1274,0.2177,1.2078,1.2545,4.454,8.917,1.1437,3.3784,4.0232,5.7346,3.0681,1.6533,3.9133,0.2554,1.4105,5.1319,17.026,0.3868,0.2715,17.5379,9.9265,7.6607,1.0012,7.2078,0.2571,0.0,26.9694,6.4639,28.0014,33.3021,15.7504,13.5826,411.8908,97.8899,0.2147,4.7813,4.6143,575.0136,0.0,17004.0422,1.9982,0.0,0.0,0.0,0.0
GRC_J58T60,0.2439,0.0028,1.061,1.4285,0.031,16.1875,2.1175,0.0786,0.5126,0.3589,1.4068,5.3256,0.5636,1.563,1.9808,1.781,0.5881,0.8059,1.0996,0.3106,0.6604,1.5841,32.645,4.542,5.8595,82.9469,12.1017,1.7846,5.8467,10.3715,1.4546,84.0289,143.1824,27.9702,12.3875,17.0344,2.0353,105.7855,37.5129,46.5789,51.6278,6.453,33.0552,4.2022,0.0,710.7979,1.7657,115.2639,335.55,0.7135,0.0
GRC_J61,27.0466,1.9887,0.0983,0.6715,0.1948,51.1996,11.6802,0.9343,4.6809,4.5408,5.9631,14.3978,3.8662,8.5961,7.8162,15.8463,5.6683,2.4353,6.2688,0.8604,1.2859,10.4811,38.5141,10.8643,23.0746,518.5012,44.6913,9.5254,15.5904,38.026,3.8555,122.0194,40.9904,178.2261,18.775,152.8814,24.6361,162.444,173.8282,114.8964,25.3835,39.1808,25.6314,39.8642,0.0,4439.5009,0.0103,10.024,130.6672,7.8798,0.0
GRC_J62_63,0.0496,0.0072,0.3559,3.2979,0.0918,9.5239,2.12,0.1327,0.5292,0.1158,1.0847,36.1491,0.4769,1.268,2.0503,2.9008,0.809,1.4186,1.251,0.2579,1.2069,1.5838,12.9107,2.1914,4.9365,7.8406,70.4298,0.9989,33.8869,3.1018,8.4091,32.7859,240.2177,19.8626,88.6528,84.5133,1.1894,111.1826,96.7065,12.048,10.1819,1.2089,53.1912,8.9117,0.0,7.6701,0.0047,10.7757,1223.6125,0.0004,0.0
GRC_K,334.6734,26.5075,4.8359,9.6325,1.1149,268.2374,27.9577,4.0864,37.6041,166.2943,43.3224,76.6657,34.6278,45.8806,73.4316,54.1816,15.1253,17.584,17.1064,2.1863,4.4222,27.1175,165.0962,37.3759,218.0308,936.4833,254.7818,300.2615,123.7816,171.1456,36.1306,255.0858,92.1808,148.3992,78.4961,1299.3067,944.0405,197.5472,295.834,828.4433,48.3403,125.5492,257.9263,232.737,0.0,3873.6054,241.342,10.4382,192.0016,1.0166,0.0
GRC_L,24.5759,0.3069,0.8915,8.0021,0.2107,142.6145,43.9339,2.3334,9.0549,19.6094,11.5023,78.9187,9.5431,24.6199,23.9364,41.0818,9.5315,5.5952,12.8307,0.7885,3.2942,36.9659,690.5209,13.1692,212.7238,4654.2033,63.8438,81.3911,17.5446,300.6108,4.3531,252.3995,47.0679,1496.5122,156.5546,279.125,27.9993,1264.53,472.4221,161.1202,43.542,22.8464,90.2907,221.7878,0.0,21653.9854,2.8103,6.5406,37.475,0.1173,0.0
GRC_M,40.8784,2.2578,6.7081,91.8361,2.4892,697.297,67.8097,6.4212,36.9081,58.6054,95.5505,255.021,31.2842,76.6168,187.3292,115.8642,50.4036,28.2566,44.1834,6.4679,23.5126,65.141,56.7724,62.0957,790.2273,1034.6288,334.0376,189.129,171.6172,240.3697,42.5742,184.7067,104.3799,331.0748,111.5199,492.6684,159.0704,448.006,379.529,462.6977,38.4646,56.9228,129.8577,89.2767,0.0,214.0068,0.0257,233.5987,1254.1759,3.122,0.0
GRC_N,6.1173,0.4015,3.0661,26.223,1.8583,10.6921,2.4112,0.5003,0.449,20.538,0.7534,107.9694,1.2157,5.0038,7.3788,2.3906,2.6252,1.0639,3.7011,0.5273,2.347,1.8078,39.9402,39.7874,43.3385,192.9887,350.8746,69.5978,158.5932,34.0362,38.7973,288.9503,36.3434,51.6718,10.8491,91.9339,12.4422,304.3527,507.1567,268.6201,69.4429,232.3379,117.5595,66.2745,0.0,2393.1125,0.0209,0.3826,132.6677,2.963,0.0
GRC_O,0.2382,0.0448,0.844,1.238,0.087,113.1305,10.2229,1.6559,14.5337,92.1483,16.4263,13.7101,14.0818,15.543,29.3021,19.8199,5.0205,7.0467,5.3105,0.6648,0.8941,8.3093,107.0728,6.8569,80.2387,210.569,61.8183,11.3802,19.0998,30.3107,5.8796,59.6092,22.4468,41.5701,13.4517,58.3992,18.8547,56.8754,47.9792,36.0372,7.3727,24.4811,37.0741,9.0398,0.0,823.1541,1.9656,22011.0655,205.7185,0.0359,0.0
GRC_P,0.0068,0.0544,2.2615,2.9787,0.044,0.1391,0.0341,0.002,0.008,0.006,0.0145,2.2693,0.0075,0.0199,0.0281,0.1753,0.0112,0.0167,0.0168,0.003,0.0139,0.0266,9.9574,7.0325,0.1055,3.3992,0.7843,0.1111,0.3703,0.1508,0.0919,2.009,4.6266,1.344,15.3789,17.6904,0.0825,25.0692,7.5435,56.7223,155.0205,50.7269,9.4547,10.0415,0.0,2447.2162,14.7523,7604.2128,510.8071,0.0016,0.0
GRC_Q,2.5993,0.0203,0.0037,0.0334,0.0323,0.3139,0.0921,0.005,1.28,0.0362,0.027,1.4408,0.0201,0.052,0.0552,0.0914,0.022,0.0183,0.0305,0.0029,0.0129,0.0764,1.4971,0.2603,0.414,8.5235,5.6502,0.3784,1.3685,0.6579,0.3395,0.6468,2.2069,2.8467,3.6478,30.6609,0.063,12.6369,2.8178,999.0431,0.7313,89.5056,1.0141,29.9179,0.0,3852.593,447.8931,5959.2035,187.3957,0.0008,0.0
GRC_R,0.0126,0.0003,0.0009,0.0085,0.0029,0.0855,0.0252,0.0014,0.0122,0.0101,0.0073,1.1942,0.0353,0.0142,0.2463,0.0248,0.0059,0.0048,0.0321,0.0007,0.0033,0.021,0.4208,0.5007,0.1169,3.0565,0.8332,0.111,0.0561,0.1871,0.0139,23.1579,118.5481,1.0254,0.2554,111.6182,0.4173,122.6965,76.3054,13.1532,29.4017,0.657,645.7894,29.1952,0.0,2788.2109,266.4979,385.7954,2.5163,0.1741,0.0
GRC_S,20.0718,0.0028,0.462,3.177,0.1206,48.0285,6.427,0.4937,2.8902,8.6384,4.4143,18.1289,2.5005,11.8237,13.2862,12.1255,3.7568,2.5911,3.4588,0.6123,1.6326,6.5009,61.5455,9.0493,26.7941,220.7676,7.5368,3.9389,1.4237,19.408,0.3499,97.5174,7.8804,40.5985,51.1824,10.9758,1.187,92.6479,27.5661,53.1052,0.8926,32.8671,1.9702,66.2274,0.0,2076.6054,1963.9937,0.4182,12.6583,0.0009,0.0
GRC_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.5999,0.0,0.0,0.0,0.0,0.0
