V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T,NZL_HFCE,NZL_NPISH,NZL_GGFC,NZL_GFCF,NZL_INVNT,NZL_DPABR
NZL_C22,191.2949,9.3058,22.3213,2.1419,1.413,285.3397,10.7503,29.538,38.7057,50.6855,58.7534,21.4449,90.4826,18.2826,9.4627,9.2687,14.1399,15.678,31.729,6.3761,8.9815,25.535,1.999,10.0362,293.1036,139.4685,81.9967,0.2633,7.8358,15.4365,23.2152,24.5768,5.2994,0.7626,0.8929,2.4669,39.3156,27.9765,25.5981,11.7173,8.8223,27.8852,5.8093,12.2967,0.0,385.0432,0.1022,10.3448,58.7697,14.3189,0.0
NZL_C23,65.3942,0.7872,6.5859,1.2076,1.3878,131.8064,3.4961,26.1266,15.9974,9.7153,37.304,4.7659,26.7056,128.47,7.4186,47.1246,20.4001,4.4932,2.4787,1.4274,7.9315,5.5472,0.8096,11.5832,1097.754,20.9515,4.2242,0.1446,1.3106,1.4852,0.6761,6.4759,1.8511,0.4908,0.2855,1.5139,49.6785,26.329,27.2715,5.0407,9.475,9.9407,1.4706,5.7428,0.0,235.6035,0.0851,1.2496,28.9428,13.4474,0.0
NZL_C24,35.6344,0.0,4.786,0.3702,0.8174,23.1364,0.4545,2.6656,5.0243,95.6424,9.3018,0.7756,3.5215,16.45,319.4292,673.3319,10.7906,37.8679,396.2023,1.4791,9.6113,21.1738,0.0,2.6705,205.3177,2.1677,1.496,0.0905,0.0,0.1718,0.0,5.5181,1.0382,0.0,0.0,0.6001,11.9228,2.694,0.0,4.9477,3.7318,1.1757,0.0,2.466,0.0,10.1035,0.0,0.0,43.2964,15.7639,0.0
NZL_C25,55.7974,1.8638,65.7431,3.9852,5.4821,236.8437,6.0802,38.7506,12.8058,35.2953,5.5732,2.7398,39.4067,55.3353,108.4692,463.4521,4.6811,13.1728,103.0715,4.9009,7.3707,81.9175,8.9986,13.8693,1610.1752,141.7611,4.8627,0.3458,6.3422,5.5445,0.2578,46.326,1.6943,1.1317,0.5011,11.0608,281.8424,19.8419,30.9601,52.0386,19.6527,10.0956,2.4169,43.0092,0.0,308.5493,0.6227,4.35,253.4363,27.6203,0.0
NZL_C26,0.1472,0.0,0.8551,0.0,0.3862,9.179,0.8938,0.3478,1.4095,0.0,4.0308,0.5212,1.3043,0.5341,0.1804,0.3463,29.8758,7.3192,1.2201,0.1012,1.3234,2.6336,2.6651,1.6151,30.9865,28.8494,0.3533,0.0,0.4666,0.679,2.462,0.0,34.5222,76.0636,9.0452,5.0441,3.9166,45.0785,7.9654,15.5915,18.0791,33.5736,7.262,12.0291,0.0,553.3239,0.0,1.6866,549.6765,11.8143,0.0
NZL_C27,4.4026,0.284,0.2722,0.1012,0.0497,9.9872,0.457,2.0818,4.8027,0.6204,1.6843,0.6524,2.2453,0.9172,1.1973,3.5061,39.6892,44.0653,33.3293,3.1479,1.0364,1.253,5.2873,0.1319,257.642,12.9854,2.8433,0.0702,6.3712,5.0927,9.8257,8.3593,5.5939,16.6212,0.5619,1.5006,9.7485,6.2608,9.2956,6.8552,2.1298,6.3497,0.4436,3.3564,0.0,242.0298,0.1349,8.0524,257.7475,7.1459,0.0
NZL_C28,31.6085,2.172,50.5059,1.5448,5.0048,34.9164,4.1256,6.0607,25.921,9.4247,3.4314,1.0408,5.9099,8.1851,13.6032,38.807,7.3616,8.1563,78.5933,64.3358,69.3773,14.8055,6.2833,2.5986,302.2766,76.5942,9.5808,0.6372,28.4139,5.0055,3.1831,19.2444,3.8537,4.1437,0.8464,4.0511,28.1629,26.7481,30.7738,12.6441,27.5004,5.706,2.7212,9.3018,0.0,186.5435,0.3248,9.4384,1196.0675,16.0831,0.0
NZL_C29,1.5073,0.7351,0.0501,0.0018,0.0008,0.5016,0.048,0.0765,0.0915,0.0402,0.2543,0.0478,0.1791,0.2985,0.3321,0.2194,0.0112,0.0757,0.631,1.0667,0.1044,1.2967,0.0139,0.5499,4.6034,12.3986,16.0296,0.039,0.6495,2.7013,4.766,0.5702,0.0328,0.012,0.2363,1.1566,6.3192,3.0243,9.9373,0.6925,0.0149,0.1981,0.013,5.3745,0.0,532.0462,0.0009,0.0096,145.5686,2.8393,0.0
NZL_C30,4.4116,3.9242,1.2039,0.0691,0.1284,8.4774,0.3001,1.1102,1.6156,1.6829,0.7363,0.2479,1.1941,0.9597,0.8796,4.1256,8.4303,9.4366,8.7197,1.9471,467.4974,1.1044,5.2069,0.6353,80.2889,8.3155,65.7073,4.1996,13.6977,7.6512,2.3523,3.2045,2.013,3.7692,0.708,1.117,8.5005,28.2429,7.8904,87.8193,1.3645,2.2213,31.1195,5.4429,0.0,431.2764,0.2414,10.0065,583.7217,3.3527,0.0
NZL_C31T33,25.9535,11.3904,18.4506,0.6279,1.3525,31.3677,8.2872,10.5124,10.9428,6.8523,4.7656,1.3231,4.0563,4.9231,28.2038,9.5777,3.4728,2.2825,7.3842,3.0206,12.4289,8.8211,11.6686,2.7376,65.4371,33.0782,5.9011,0.7204,4.0389,3.0527,0.5645,6.9269,3.9235,4.0451,1.5958,1.5125,54.2269,15.2512,9.7618,7.6903,22.1242,64.6287,6.1466,6.2206,0.0,463.8808,0.4312,5.4323,162.6634,3.3284,0.0
NZL_D,319.3694,8.4671,91.1506,7.9432,0.4864,395.9174,13.6707,83.1589,159.0256,37.0559,164.0655,26.1133,30.8512,62.2116,422.4373,33.9914,10.2199,6.5015,16.1918,1.1831,2.0842,16.5492,5819.0937,117.3806,200.4136,446.7802,37.0773,1.5859,16.7424,29.8814,7.2428,134.3705,41.2975,38.7662,29.5703,55.5599,208.522,130.6659,50.7652,92.7817,169.1154,233.2308,41.5419,42.4831,0.0,2534.4564,2.6708,13.3947,221.2793,0.5191,0.0
NZL_E,90.2677,17.6762,5.9655,1.1217,0.7116,152.6686,2.6301,25.6453,20.4749,28.1109,18.3039,3.5802,3.6325,5.6101,141.3456,3.5801,0.97,1.2173,0.4233,0.145,9.7331,2.1823,125.5212,592.2613,225.4056,99.3593,32.0316,0.2899,1.2487,8.7914,0.3798,20.3988,1.3532,0.818,0.3699,20.2032,379.7495,35.6803,50.4701,42.1794,22.7833,120.8422,18.0735,77.8771,0.0,159.0665,0.7261,469.4689,17.9279,0.3406,0.0
NZL_F,436.0359,25.1584,38.6639,4.749,3.9003,154.4954,22.3615,51.4929,63.7634,43.5566,17.9833,4.0689,8.765,49.5575,20.7155,59.2042,9.7074,10.4175,64.4981,3.0855,11.8358,35.8563,176.2754,60.1848,15759.6767,373.8749,45.9413,3.1578,23.5909,51.393,8.9166,144.467,25.1841,93.4913,24.3839,253.5096,2472.7613,428.4812,255.1966,167.2761,308.9072,144.3701,89.5954,189.1471,0.0,908.8881,17.7622,513.1056,23270.0097,5.1881,0.0
NZL_G,1381.2222,230.6241,236.0077,17.1627,19.9234,2184.9963,159.5914,316.4523,290.8147,219.1925,260.0854,101.1715,228.325,163.4333,205.2662,275.1224,168.7019,83.9206,143.144,30.5765,238.7183,103.901,357.7022,141.0862,1840.8449,1188.2703,580.573,56.7334,270.9589,162.0941,73.9967,693.2456,144.3021,121.5127,55.0707,122.4008,559.9814,438.3918,380.1969,322.4995,222.3074,648.1724,160.9925,209.8735,0.0,10010.5108,25.2258,521.9442,2374.1898,189.6734,0.0
