V1,ISR_A01_02,ISR_A03,ISR_B05_06,ISR_B07_08,ISR_B09,ISR_C10T12,ISR_C13T15,ISR_C16,ISR_C17_18,ISR_C19,ISR_C20,ISR_C21,ISR_C22,ISR_C23,ISR_C24,ISR_C25,ISR_C26,ISR_C27,ISR_C28,ISR_C29,ISR_C30,ISR_C31T33,ISR_D,ISR_E,ISR_F,ISR_G,ISR_H49,ISR_H50,ISR_H51,ISR_H52,ISR_H53,ISR_I,ISR_J58T60,ISR_J61,ISR_J62_63,ISR_K,ISR_L,ISR_M,ISR_N,ISR_O,ISR_P,ISR_Q,ISR_R,ISR_S,ISR_T,ISR_HFCE,ISR_NPISH,ISR_GGFC,ISR_GFCF,ISR_INVNT,ISR_DPABR
ISR_C20,178.7706,0.4082,0.4298,22.4361,0.6856,175.321,35.3103,4.6822,122.614,1021.1534,1431.424,187.206,180.0408,89.4473,34.2375,62.2524,79.9261,20.5022,55.9375,6.4157,12.3735,86.473,23.3638,50.6044,307.5291,65.4754,7.1783,3.0291,2.2371,2.2324,1.0687,40.164,11.4018,0.0984,2.4304,5.1225,19.5659,55.9321,27.4665,51.4915,15.7399,105.134,10.9911,9.3228,0.0,1540.1044,0.0,0.7244,16.5255,68.1871,0.0
ISR_C21,17.4689,0.0721,0.0764,4.0283,0.1417,57.3793,1.1676,0.5611,5.9376,104.5326,327.1405,740.8835,16.0429,7.699,3.3427,5.9406,11.404,2.0011,6.6983,0.6259,1.1425,101.309,2.6752,8.181,40.8482,8.6767,10.8365,2.8717,2.7854,1.8576,0.8396,5.0601,0.9656,0.1541,2.9546,11.4221,2.4221,92.0532,16.4025,34.7819,2.8638,1591.304,2.628,1.485,0.0,1785.6223,0.1359,560.5187,12.2602,82.3465,0.0
ISR_C22,14.3364,1.5948,0.1472,13.1688,0.5736,404.5627,21.1749,20.8856,61.8287,62.4098,161.3944,61.7875,404.46,38.8354,14.282,55.9109,93.9337,29.5105,102.9118,15.649,22.4741,239.2303,28.4021,69.109,637.7475,451.8248,24.1453,4.7411,4.9283,1.8306,4.9395,67.5299,1.1825,1.0817,6.527,4.7009,10.1796,47.3246,48.7642,69.1268,6.2053,103.5968,10.6479,7.6066,0.0,271.1981,0.0089,0.0291,212.5867,37.9588,0.0
ISR_C23,4.5157,0.0163,0.3107,28.0718,0.9038,112.0322,5.4388,0.851,1.1348,19.6919,68.6545,10.0504,14.1014,666.7072,11.2696,47.1106,34.7857,3.2799,7.6065,6.2305,22.314,47.1623,3.0834,2.8747,2238.0484,18.1511,2.6141,0.4706,0.4364,0.3279,0.0994,10.4773,0.1436,0.0725,1.7916,1.3149,68.7364,10.9907,8.3421,24.4145,3.6417,2.7097,6.7547,3.1807,0.0,292.2848,0.0067,0.0225,7.1446,27.6985,0.0
ISR_C24,1.9332,0.0119,0.5924,14.4334,1.0085,7.4105,1.6632,1.5667,3.4891,6.7168,14.7927,1.8955,22.2062,30.7082,787.9074,499.8262,55.8071,31.9296,112.2179,39.482,22.4076,130.8564,12.3276,55.5118,398.6785,15.6198,1.8403,0.234,0.1787,0.6242,0.0435,1.1999,0.3446,0.0667,0.2177,1.0765,0.3755,5.2629,2.1127,49.4434,0.2962,0.7361,2.3289,0.5042,0.0,39.9782,0.0,0.0,66.0285,12.0929,0.0
ISR_C25,4.0282,0.0728,0.0823,4.7347,0.1979,138.8639,7.898,9.8624,13.7652,14.0006,30.8906,5.2717,76.0162,32.6179,38.6337,267.2615,234.8731,34.3479,94.8701,24.052,58.5899,173.192,27.4585,30.0195,1675.3685,38.5213,4.2433,5.0361,3.3677,3.8057,0.2771,9.6597,2.7669,0.8513,2.8079,3.5423,6.1624,22.7335,19.5,1292.5719,3.2579,8.2036,69.3037,3.9462,0.0,403.0443,0.0122,0.0896,572.9204,38.0091,0.0
ISR_C26,7.8748,0.9443,1.1762,59.9449,2.9288,95.0999,8.3805,4.4249,29.2268,38.4926,69.2082,15.7277,62.7957,37.3447,33.5451,181.3909,2918.9326,184.2555,516.8664,34.432,308.9825,242.2235,213.0234,85.1462,1139.5911,206.4501,43.9496,10.882,9.7645,91.9492,1.8507,10.7255,15.2032,126.4484,745.3213,59.5636,9.3665,1325.8085,58.4256,2679.4782,56.3143,367.036,61.1252,79.9545,0.0,2782.5324,4.3127,14.0262,3829.3458,231.4423,0.0
ISR_C27,10.8058,0.2305,0.0364,2.0581,0.0736,42.3749,0.4725,0.6702,2.1846,2.2278,4.4186,1.6655,9.0395,2.532,12.4438,16.6115,128.9506,120.8056,39.9839,4.4305,23.3752,36.9204,87.1492,31.7296,227.9852,59.9085,4.144,1.1067,0.8483,6.3846,0.1949,24.3211,3.4572,7.3874,9.1028,3.3352,0.6741,32.0802,12.9421,79.3017,2.9671,4.6653,9.4814,6.7589,0.0,191.0236,0.0144,0.0468,536.7237,18.0429,0.0
ISR_C28,16.818,0.3576,1.0103,50.9631,1.9566,34.3851,3.2451,1.5765,13.1716,88.8718,93.1145,15.8589,27.8789,23.4388,11.8576,70.2827,121.9073,25.4715,197.993,10.9405,31.3338,41.1517,67.0778,32.3794,305.2257,72.6025,11.0079,3.1289,1.8692,21.1785,0.2505,2.5589,5.0444,11.7144,9.4073,2.4138,5.0073,43.9567,11.7989,83.7944,2.4359,10.622,8.523,11.5385,0.0,737.4759,0.0063,0.0209,1316.4332,27.0571,0.0
ISR_C29,0.1508,0.0204,0.0067,0.4326,0.0163,2.8609,0.1574,0.1538,0.3227,0.4506,1.0654,0.3136,1.923,2.6916,0.7446,2.9668,7.6404,1.2753,2.389,17.118,1.344,2.9057,1.2212,1.1864,26.8306,16.5361,2.1999,0.1767,0.157,0.3328,0.0646,0.3631,0.0991,0.7006,1.4818,0.5229,0.415,3.2923,1.7271,18.1726,0.2914,1.1917,1.0475,0.4644,0.0,332.8944,0.0086,0.0281,609.0104,2.0956,0.0
ISR_C30,0.057,0.0,0.0,0.0551,0.0,0.2468,0.0169,0.0002,0.004,0.2101,0.384,0.13,0.143,0.0377,0.0469,1.7956,131.6758,0.0368,0.8362,6.0551,353.3194,2.5544,0.216,0.1883,0.3101,10.311,4.452,90.6118,50.1187,0.434,0.0031,0.0965,0.649,0.2808,0.0133,0.0272,0.1452,1.0113,1.6495,484.4321,0.9805,0.1132,3.7174,0.8663,0.0,346.9671,0.0,0.0,734.3389,21.3717,0.0
ISR_C31T33,2.0963,0.1164,0.0254,1.9522,0.0784,30.615,4.0634,9.462,6.1719,13.3998,19.9151,12.5903,29.0537,7.9238,2.6502,11.2651,28.6252,4.0141,11.054,3.421,3.6338,2502.64,6.7891,10.4738,132.0309,58.8969,6.5735,2.0848,2.0549,2.9327,1.8532,6.6446,1.6527,0.3724,4.2192,8.2491,3.4388,22.9084,11.9921,52.3322,10.5134,71.7731,7.7099,16.0762,0.0,1388.4864,0.0109,0.0353,490.9138,11.8496,0.0
ISR_D,240.039,3.5329,1.4403,113.1986,1.6455,137.1082,15.9425,4.1312,44.9309,459.8872,161.181,27.5708,87.0272,85.4125,45.0631,51.9368,79.2422,7.6998,16.3967,7.1244,23.2269,81.755,570.0966,90.0485,88.7514,473.0304,73.3669,7.9026,8.9462,129.0476,2.1093,121.9732,21.9584,43.2576,68.6385,63.7573,169.862,148.6481,44.9404,235.4202,171.8986,152.5506,189.3833,54.3856,0.0,3658.9652,0.0,0.0,0.0,0.0,0.0
ISR_E,73.9966,1.1108,0.655,38.2117,0.6832,59.3424,8.5013,1.6438,24.8575,163.8876,76.0539,16.6024,29.7971,28.7252,16.3154,17.6647,31.0405,4.5291,6.5821,2.4864,8.9773,28.6596,109.3439,1184.7507,56.402,150.3147,24.373,4.7835,3.0188,40.9658,0.7541,39.2526,8.1473,13.7509,37.9356,22.7668,52.6067,48.714,16.5303,157.5198,52.9926,52.4067,61.8907,17.6363,0.0,3239.8926,0.0,776.0187,8.9515,1.1326,0.0
ISR_F,18.1621,0.0,0.4693,27.7472,0.9917,102.5218,9.997,14.1058,29.9122,189.7246,60.4695,26.734,26.9242,96.9722,25.1927,67.8685,143.6772,12.5434,52.1164,5.0002,11.8068,69.6622,34.5076,139.2281,72.4378,385.3681,72.7283,13.2923,10.9657,89.4289,37.8251,72.1043,24.5305,55.7916,31.223,164.8597,877.9061,158.1287,44.8358,975.9214,281.8383,101.0339,92.1926,33.1376,0.0,334.8285,0.0,0.0,35692.5073,0.0111,0.0
ISR_G,669.6282,12.6239,1.6695,98.6218,3.5072,2108.1161,266.7224,47.0725,232.2985,1663.0033,823.0657,636.0692,406.5894,320.4656,209.9245,300.6602,1563.9891,117.3709,345.4463,73.6654,174.6772,1166.7072,205.0934,182.8032,1868.5882,1266.3719,486.083,69.6586,91.8218,55.8745,44.1278,895.2942,164.0966,87.9479,527.4817,62.0811,78.7759,875.766,269.3659,1343.4114,122.5042,945.7522,177.6396,117.1535,0.0,12435.8161,0.0,235.9756,3037.9713,317.9927,0.0
ISR_H49,99.2873,1.0001,3.5052,224.9625,4.5895,228.9258,22.581,8.0586,48.887,1171.9973,246.2021,41.3949,90.9568,229.093,43.1906,67.0579,103.208,19.7174,58.0676,9.0087,14.8534,114.3259,98.1789,191.0363,414.7459,711.6552,1824.2968,52.5059,31.964,5.7863,15.5571,32.3524,34.1055,10.2439,37.7849,52.2887,15.5857,134.0043,89.7893,359.28,714.0482,109.7573,46.1406,88.5251,0.0,3125.4653,0.0901,2.6017,116.5815,31.9154,0.0
ISR_H50,31.395,0.8764,0.0955,5.2458,0.1856,99.4204,13.3487,2.5909,14.6297,115.7529,47.8262,14.7207,23.8636,22.2804,18.2564,21.1283,75.5925,10.4372,22.5245,5.5554,10.7391,72.1204,13.5526,8.886,117.7918,91.153,13.4077,166.365,29.8261,2.9826,3.2705,37.1422,5.7952,3.5586,10.6207,2.4139,3.6712,29.9426,8.2621,74.1553,4.814,30.6385,5.8796,3.6327,0.0,645.294,0.0008,6.5555,205.6041,249.5074,0.0
ISR_H51,7.3135,0.2231,0.0207,1.1737,0.0418,25.1328,3.7582,0.654,3.5527,23.0365,7.2928,3.7074,6.0298,4.5704,4.9335,5.7424,20.2184,2.8538,4.2634,1.4925,3.0158,17.3277,3.4597,2.3652,30.2043,5.5901,2.4574,0.005,0.0053,0.0048,0.0055,9.7859,1.4792,0.8403,2.5742,0.3027,0.8592,7.7365,1.1233,10.9542,0.5238,7.8512,0.8073,0.8071,0.0,0.0073,0.0003,4.454,57.8167,189.5843,0.0
ISR_H52,26.4865,0.7209,0.0794,4.5272,0.133,72.9771,5.336,2.0677,10.5147,115.1566,67.0034,10.0438,15.826,22.7641,10.774,17.2303,37.1458,4.535,10.6352,2.8616,4.883,62.5045,8.9027,5.4037,87.4881,373.0569,14.8555,873.036,771.4273,1.9265,19.4496,25.155,4.2196,2.5951,7.4445,5.472,3.1452,18.7292,16.6508,60.8442,3.4273,20.5493,9.3478,3.244,0.0,676.3951,0.0,3.8016,93.7326,19.159,0.0
ISR_H53,2.9448,0.0098,0.0611,2.8318,0.0826,4.4174,1.15,0.2484,8.8828,4.8383,5.4472,7.855,3.9077,2.0695,1.264,4.2614,9.3073,4.7192,4.8205,0.676,0.4147,16.0932,9.6389,9.7757,35.427,152.5911,9.6161,13.9086,10.5678,23.2732,88.5139,5.5067,45.2567,7.0984,25.3119,90.6176,52.8118,54.0171,14.7018,75.7,18.2062,44.5401,11.8953,9.2862,0.0,121.5487,0.1604,2.4624,6.4565,0.6233,0.0
ISR_I,4.4339,0.0883,0.534,12.48,1.294,75.7584,1.3521,1.4041,6.8348,1.5627,3.1509,11.4067,4.9187,14.3558,13.1357,51.8194,13.3534,7.285,63.2861,5.8399,4.8321,80.3071,38.4264,17.063,13.439,294.5505,83.9047,23.0532,53.094,0.1752,0.6079,164.5116,26.5231,47.1419,324.1389,241.3974,42.3909,713.9235,151.0574,148.9074,315.5975,310.0411,294.0432,187.4057,0.0,8359.0258,0.0082,0.0267,0.3784,0.6573,0.0
ISR_J58T60,0.0855,0.0002,0.0059,0.3451,0.0138,2.8949,0.2786,0.0705,3.1437,3.2464,1.3609,0.243,0.3175,0.4162,0.1118,0.4262,1.8517,0.647,0.3119,0.0505,0.6154,1.6275,0.3594,0.504,7.2538,27.1447,1.8834,0.455,0.4941,0.7522,2.9059,16.783,491.6976,218.8285,24.472,6.7102,2.7467,594.4083,23.6228,12.5695,15.7994,2.6002,86.6644,26.5498,0.0,200.596,0.1777,0.5778,31.4833,4.6404,0.0
ISR_J61,1.1932,0.0352,0.0678,2.0188,0.1087,11.0431,1.8136,0.9794,4.2033,12.7155,11.0151,29.6386,4.4792,4.267,2.7892,8.8633,14.6818,1.1654,5.4515,2.72,0.4242,19.5576,2.7811,7.097,92.1504,126.3014,48.8039,3.8986,5.0488,8.3164,2.1196,14.749,34.9645,1167.6123,51.7558,134.2214,14.2278,114.099,42.6853,114.1086,29.186,47.3319,67.28,22.6533,0.0,4470.558,0.6325,2.0569,29.6761,2.4683,0.0
