V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T,ISL_HFCE,ISL_NPISH,ISL_GGFC,ISL_GFCF,ISL_INVNT,ISL_DPABR
ISL_C21,0.0079,0.0123,0.0001,0.0005,0.0,0.0822,0.0011,0.0006,0.0018,0.0,0.0013,0.0903,0.001,0.0046,0.0297,0.0034,0.0004,0.0027,0.0028,0.0002,0.0002,0.0059,0.0142,0.004,0.0434,0.0322,0.0043,0.0052,0.0254,0.0039,0.0005,0.0125,0.0073,0.0028,0.0126,0.0177,0.0363,0.1959,0.0143,0.0191,0.113,11.3087,0.0409,0.01,0.0,3.0086,0.0378,1.7393,0.0,0.0458,0.0
ISL_C22,1.1533,2.2524,0.0045,0.0328,0.0003,7.5233,0.0658,0.0252,0.0552,0.001,0.0986,0.0305,1.5196,0.3595,0.3192,0.2296,0.2936,0.3181,0.2997,0.0307,0.0276,1.6864,1.3621,0.6167,19.2886,7.7653,2.2134,0.3018,0.6669,0.3355,0.044,1.3726,0.3679,0.2684,0.441,0.4121,0.4723,0.6496,0.7528,0.4334,0.4703,0.7668,0.4964,0.2727,0.0,9.0131,0.0,0.0,0.0,0.2888,0.0
ISL_C23,0.0,0.0,0.0092,0.0,0.0009,4.0815,0.0,0.0,0.0,0.001,0.0,0.0,0.0,40.0145,9.0554,0.0,0.0352,0.4526,0.0,0.0356,0.0218,1.9888,0.2071,0.1556,218.9804,0.0495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8337,0.0,0.0,0.0,0.911,0.0,0.0,0.0,25.7115,0.0,0.0,1.2739,1.4496,0.0
ISL_C24,0.0,0.0,0.0684,0.0,0.0026,0.0622,0.0,0.0,0.0,0.0029,0.0,0.0,0.0,0.0,365.6475,34.6319,0.688,0.9774,10.1996,0.3828,0.182,15.7529,14.2094,2.805,100.2573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,3.274,0.0
ISL_C25,1.8725,3.7079,0.0473,0.0076,0.0023,4.752,0.0,0.0201,0.0,0.0041,0.2139,0.0,0.0033,1.7761,4.2937,20.5197,0.4457,1.549,10.4373,0.275,0.5379,5.6605,23.1834,2.4407,163.8329,0.0,0.0,0.0,0.0,0.0,0.0,0.0614,0.0,0.0,0.0,0.0,0.0,0.0393,0.1281,0.0,0.548,0.0,0.0,0.0,0.0,18.7282,0.1575,0.0,85.3302,1.6039,0.0
ISL_C26,0.0083,0.4275,0.0003,0.0018,0.0,0.0909,0.0024,0.0015,0.0066,0.0001,0.0044,0.0018,0.0017,0.0101,0.1931,0.013,0.1549,0.0103,0.0124,0.0025,0.0064,0.1431,0.1841,0.0202,0.0771,0.2771,0.1109,0.305,0.609,0.0512,0.0197,0.2007,0.1319,1.9977,0.9116,0.296,0.4785,0.5297,0.3073,0.2117,0.5467,1.2386,0.0567,0.0715,0.0,2.3715,0.0253,0.0,14.3086,0.1109,0.0
ISL_C27,0.0009,0.0605,0.0013,0.0065,0.0001,0.2914,0.004,0.0,0.0,0.0002,0.0,0.0,0.0121,0.1098,47.593,0.0999,0.0294,4.7565,0.338,0.0235,0.0123,0.6969,10.2402,0.0655,3.7029,0.1952,0.0121,0.0129,0.1147,0.0055,0.006,0.0269,0.0238,0.4003,0.0837,0.0187,0.2143,0.0691,0.8669,0.0346,0.0,0.0,0.0,0.0031,0.0,7.6533,0.0294,0.0,13.2968,0.3164,0.0
ISL_C28,6.3576,11.972,0.0506,0.5645,0.0025,22.455,0.139,0.4192,0.414,0.004,0.3699,0.0737,0.3693,5.1811,18.4015,2.5591,0.0924,2.6361,29.4015,0.1306,0.214,7.2044,12.6835,2.5568,104.9428,1.173,0.249,0.9412,1.676,1.5546,0.0,2.231,0.3621,0.0,0.0,0.0,0.0,0.0,11.0951,0.0,0.0,0.5231,0.0,0.5411,0.0,1.6979,0.1245,0.0,86.3594,1.8666,0.0
ISL_C29,0.072,0.0495,0.0003,0.0672,0.0,0.314,0.0073,0.0028,0.0103,0.0,0.0072,0.0035,0.0057,0.0262,0.1501,0.0222,0.0028,0.0172,0.0292,0.0326,0.0009,0.1087,0.0543,0.243,0.2833,0.648,0.9551,0.059,0.0983,0.1317,0.0474,0.2166,0.0256,0.0993,0.0728,0.1561,0.2093,0.1031,0.7186,0.1657,0.0371,0.0604,0.038,0.0418,0.0,5.9479,0.0041,0.0,0.9907,0.1021,0.0
ISL_C30,0.0,1.3612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0353,0.0605,0.0,0.0,0.0,0.0034,0.0,3.0169,2.2637,0.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0372,0.0,0.0,0.0,0.0,0.0,0.161,0.0,0.0,3.0587,0.0427,0.0
ISL_C31T33,3.4435,13.4656,0.0939,0.4357,0.0042,15.8104,0.2336,0.208,0.8512,0.0122,0.4072,0.1292,0.2869,2.4345,18.1882,1.9505,0.1427,0.9667,3.5685,0.0409,0.1105,40.5659,12.3502,2.7294,21.9419,26.2672,3.5299,7.2572,54.7642,3.0604,0.4216,26.8457,1.5495,3.8023,4.077,3.7835,4.1838,7.0342,11.5522,11.1192,10.1784,17.1601,27.3404,3.9259,0.0,174.6726,0.3866,0.0,63.4039,0.1754,0.0
ISL_D,18.6837,4.573,0.1959,0.3696,0.0054,70.3191,1.405,1.0045,4.4994,0.0772,3.2105,1.2695,2.7176,11.1046,253.2871,13.8077,0.585,3.0687,10.9537,0.1679,0.0999,13.515,149.7806,9.9447,33.6022,75.764,3.7273,9.6535,38.0873,15.6665,4.8379,70.5916,11.596,29.3911,26.0899,40.1834,62.7776,32.9931,36.6573,63.9906,44.1147,28.0508,9.849,16.269,0.0,180.3382,1.207,0.0,0.0,0.0,0.0
ISL_E,4.7844,1.7611,0.0306,0.0472,0.0012,28.3046,0.2226,0.5123,0.4585,0.0079,1.0694,0.0715,0.7524,2.5482,81.0938,0.4618,0.0442,0.2529,0.5408,0.0156,0.0148,1.2421,11.2737,36.7655,7.5357,9.8757,1.592,2.6715,4.4609,2.0407,0.3556,15.8186,0.8887,2.2448,1.6657,2.497,5.195,6.2887,4.4722,2.007,3.0087,8.9965,0.9347,2.506,0.0,22.816,10.0497,95.5663,0.0,0.0,0.0
ISL_F,0.3689,0.4635,0.0637,0.7665,0.0028,4.9232,0.0617,0.0507,0.153,0.0124,0.0968,0.0385,0.0474,0.2288,2.1676,0.2838,0.0356,0.2059,0.4237,0.0132,0.0122,2.0319,2.3453,0.5544,188.0595,2.7066,0.7261,0.4378,2.6117,0.4141,0.0768,1.2577,0.4362,0.4661,0.8789,1.2797,312.4599,2.4453,1.1838,0.7703,0.328,1.2677,0.4617,0.6832,0.0,73.6093,1.9199,170.9712,3766.4146,0.0,0.0
ISL_G,26.7458,68.2094,0.1987,4.3218,0.0117,214.9787,7.2568,2.5155,7.1449,0.3168,7.7288,2.6694,4.8252,18.4467,82.4318,10.8572,2.138,6.3579,16.5776,1.5515,0.5956,44.9524,37.3071,19.1432,238.5146,104.0418,46.9707,49.8241,134.5078,11.8399,3.226,90.8418,12.2456,27.279,18.9044,15.7575,22.0173,19.5134,66.2844,24.6644,33.5791,70.5531,22.8736,9.9814,0.0,1077.9688,3.9483,11.0289,295.0849,19.4723,0.0
ISL_H49,2.3506,5.173,0.3054,0.3248,0.0109,26.0929,0.4707,0.2059,0.633,0.0998,0.565,0.196,0.413,1.738,14.9309,1.8125,0.1445,0.7927,2.1317,0.0719,0.06,5.1564,4.8837,1.2627,21.076,7.7059,16.6801,4.1355,11.8097,34.0447,0.2512,6.8757,0.9739,1.2188,2.0619,2.7342,4.406,3.4589,3.3723,3.3798,4.37,8.4793,1.0128,0.6976,0.0,211.9799,1.9755,0.7352,3.45,0.0,0.0
ISL_H50,0.9394,9.593,0.0422,1.0769,0.0007,11.6746,0.5351,0.3153,1.0139,0.0216,0.4419,0.1606,0.7975,3.1904,39.8027,1.8173,0.2209,1.1095,4.6957,0.0625,0.119,4.6633,1.3587,0.8213,8.2211,139.5996,8.786,26.4756,6.0448,9.8357,0.0935,7.8774,1.0015,0.6837,0.5114,0.3506,0.4724,0.8713,40.8984,3.3981,0.6967,2.2761,0.3631,0.2787,0.0,16.7443,0.0657,19.6297,9.3731,11.7466,0.0
ISL_H51,3.0515,7.471,0.0188,0.4026,0.0011,17.4877,0.6525,0.2379,0.7062,0.0258,0.8356,0.2953,0.599,2.0929,15.0732,1.9852,0.2315,1.2416,2.8186,0.0996,0.088,4.0508,5.6517,1.6457,28.6543,38.8641,3.8504,5.918,71.5571,2.8245,0.5976,7.3389,2.0266,3.1182,3.7057,8.5279,4.2041,5.5699,31.2025,9.4633,4.0882,5.9721,2.6045,2.2833,0.0,67.9788,0.2464,0.8996,22.0534,24.1033,0.0
ISL_H52,0.9366,20.8805,0.0309,0.1049,0.0017,8.5619,0.1213,0.1459,0.2965,0.022,0.254,0.0945,0.1886,1.5182,4.9932,0.8748,0.1134,0.471,1.1057,0.0347,0.0218,1.7576,1.9476,0.6919,7.2204,36.165,17.0647,33.5695,183.9894,69.5028,0.3939,6.1368,0.7923,2.367,1.5821,1.1584,3.4794,1.7344,10.7281,1.7188,2.3103,3.4384,0.8771,0.8357,0.0,8.4297,0.363,11.4392,2.2273,1.0593,0.0
ISL_H53,1.0878,1.629,0.0038,0.0616,0.0001,4.7774,0.1358,0.0725,0.2459,0.0007,0.169,0.0672,0.1193,0.6119,0.7096,0.4304,0.0707,0.3206,0.7223,0.0208,0.0196,0.9476,1.9667,0.9062,6.8435,16.7099,0.5606,1.3009,3.567,1.2855,15.5836,2.1048,1.3564,1.5679,2.6017,4.9896,11.4775,5.6708,4.5975,3.8519,3.9467,2.6484,1.8621,2.4601,0.0,6.0562,0.086,0.6469,0.0,0.0415,0.0
ISL_I,0.5279,0.4357,0.0374,0.0333,0.0017,4.5852,0.057,0.0198,0.1215,0.0064,0.0712,0.0284,0.0914,0.4197,4.2051,0.3926,0.0493,0.3183,0.3769,0.0197,0.0136,1.8263,1.9604,0.4172,6.5285,9.1441,0.9958,2.0343,9.5594,1.2029,0.2038,147.102,1.5172,1.2401,2.3043,5.1348,8.9468,3.9766,3.7495,23.8102,3.9764,1.6669,2.2032,2.1101,0.0,498.4435,6.8083,0.0,0.0,0.0,0.0
ISL_J58T60,0.019,0.0286,0.0012,0.0003,0.0001,1.9462,0.0355,0.0152,1.0617,0.0004,0.031,0.0152,0.015,0.1244,0.003,0.1526,0.0294,0.1425,0.2152,0.01,0.0071,0.3566,0.4595,0.1301,0.4608,9.892,0.5084,0.2956,4.9924,0.5996,0.214,3.2811,47.9753,0.4527,1.6218,3.5359,3.1389,1.931,3.1623,4.4881,10.6946,1.0657,4.1041,1.2235,0.0,91.9384,4.772,44.037,0.0,0.1346,0.0
ISL_J61,3.8306,5.0507,0.0241,0.1902,0.0007,14.2755,0.4289,0.2365,0.5334,0.0029,0.3538,0.1407,0.3632,1.3879,3.241,1.8032,0.1902,1.0094,2.3459,0.0678,0.064,3.4826,4.2229,3.5716,30.0473,45.9428,2.2223,5.9836,20.9263,5.4146,1.8432,16.7177,5.2026,74.3448,13.1274,18.8781,61.2317,31.0447,23.8051,25.8614,19.4467,7.9647,7.9542,10.8585,0.0,135.2688,0.8301,3.4394,0.0,0.1123,0.0
ISL_J62_63,0.0852,2.2127,0.0366,0.1198,0.001,8.7991,0.137,0.1236,0.7695,0.0101,0.3136,0.1187,0.2546,1.6101,12.6889,1.0134,0.0173,0.6119,2.8753,0.0382,0.0215,2.3213,3.1292,2.1377,7.9431,19.9761,1.4759,3.4222,5.1389,4.3413,2.2186,10.2801,7.5982,14.7512,238.8876,42.852,67.2901,52.9609,18.0896,89.3799,67.12,7.3545,3.7421,14.4735,0.0,18.6671,1.3627,0.0,218.3842,0.384,0.0
ISL_K,17.9732,33.9075,0.1764,1.2256,0.005,139.348,2.7581,1.3769,4.8487,0.0323,3.7926,1.5029,3.1055,12.6509,71.4056,12.0656,1.1158,6.8949,15.0698,0.4606,0.3808,17.8285,28.5637,7.5081,159.8474,125.9822,16.8425,33.5623,150.3116,21.4773,3.891,65.8174,20.6398,27.7706,36.9473,394.8277,136.7683,61.4431,58.2399,23.11,37.1167,19.2486,23.2138,27.6564,0.0,210.0563,12.0838,0.123,3.5799,0.3615,0.0
ISL_L,2.1946,0.5737,0.0118,0.082,0.0003,6.4443,0.1719,0.0927,0.3514,0.0023,0.3069,0.1084,0.1887,0.77,4.4323,0.5553,0.1435,0.4148,0.8292,0.0244,0.0196,1.9089,0.0,0.0913,2.3337,44.8177,2.9357,2.0027,4.0683,9.4525,0.5352,30.3576,7.8888,4.9446,14.4048,27.3532,110.9363,35.287,28.8793,11.0168,4.4882,0.0,8.7076,20.6345,0.0,3422.8296,4.6921,16.7164,26.909,0.0028,0.0
ISL_M,15.5481,18.1497,0.2035,0.5424,0.0137,76.2438,1.4832,0.7724,2.8248,0.0341,2.2725,1.0228,1.4531,8.2363,53.088,7.2611,0.7437,4.1895,10.6379,0.2724,0.1912,13.3104,25.0471,5.7445,133.262,83.8494,14.3655,16.4372,66.1927,12.6867,2.2278,36.2219,11.0615,13.7508,33.9666,80.1635,110.5125,227.8464,34.4459,71.8188,35.1739,37.3572,17.1598,25.0539,0.0,24.8929,6.8892,23.7334,130.4224,0.312,0.0
ISL_N,6.2155,8.5105,0.8295,1.6983,0.0457,46.2786,0.731,0.3736,1.8049,0.0917,0.9386,0.3961,0.8046,2.9689,19.6832,3.0811,0.5121,2.286,3.9976,0.0954,0.1586,27.6356,11.9804,4.0659,136.8952,65.707,12.5471,22.0135,51.0598,11.3685,1.3409,57.8633,10.4906,7.24,16.6976,37.8789,50.7848,59.2427,365.1373,44.3853,27.0071,34.5981,14.1143,15.3053,0.0,352.9064,21.0104,66.5782,0.0,0.5284,0.0
ISL_O,0.0,0.0,0.0068,0.0,0.0003,0.0851,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2135,38.4768,10.8093,0.0,0.0,0.0,0.0,0.0,0.0,1.6908,0.0,9.1242,14.7996,0.0,6.8629,0.0,0.922,0.0,69.742,66.7617,0.0,19.1466,0.0,0.0,2.9522,16.6741,1750.0044,0.0,0.0,0.0
ISL_P,0.4807,0.8761,0.006,0.0321,0.0001,4.698,0.0605,0.0357,0.1141,0.001,0.0555,0.0651,0.0632,0.2901,3.4223,0.2685,0.0287,0.1631,0.3503,0.0103,0.0096,0.5406,0.9202,0.1528,4.2621,2.2763,0.4043,0.6249,2.9315,0.4775,0.0647,1.4383,0.2901,0.5661,2.8955,2.5956,8.3422,4.4487,2.4311,15.5012,335.6435,4.9386,0.1898,0.212,0.0,54.3296,100.9498,1752.4539,0.0,0.0,0.0
ISL_Q,0.324,0.5712,0.0016,0.0215,0.0001,3.1684,0.0463,0.024,0.0771,0.0005,0.054,0.0215,0.0426,0.1947,2.3045,0.183,0.0196,0.109,0.2371,0.0068,0.0065,0.3166,0.5324,0.1363,2.8003,1.3845,0.2726,0.4212,1.8964,0.3217,0.0628,0.9714,0.3163,0.3817,0.5443,0.88,1.5589,0.8739,0.8816,73.8402,0.0,905.2007,0.3791,0.4285,0.0,214.1271,96.2551,2114.8487,0.0,0.0,0.0
ISL_R,0.0,0.0,0.0002,0.0,0.0,0.0098,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8067,0.0,0.0,55.1909,32.1643,87.5595,0.3054,0.0147,0.0
ISL_S,0.6858,1.3603,0.0044,0.0467,0.0003,7.536,0.1219,0.063,0.2037,0.0013,0.1414,0.0563,0.1118,0.5149,6.2641,0.4799,0.0501,0.2881,0.6281,0.0182,0.0169,0.8437,1.6228,0.419,7.7614,5.5254,0.7135,1.1096,4.938,0.8583,0.1754,4.3381,0.7459,1.0668,2.461,2.5275,4.4262,2.5981,2.3816,2.1163,2.7276,3.4515,0.8225,73.9234,0.0,108.379,213.9199,75.7319,0.0,0.0,0.0
ISL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6601,0.0,0.0,0.0,0.0,0.0
