V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T,IRL_HFCE,IRL_NPISH,IRL_GGFC,IRL_GFCF,IRL_INVNT,IRL_DPABR
IRL_C20,899.0642,0.3011,5.5341,83.184,0.4157,720.0905,71.0164,196.2743,182.1787,25.0488,380.7821,5591.9217,490.8434,199.4139,284.8323,73.5943,576.629,5.2823,20.8246,40.501,5.5118,216.3013,767.5955,65.6614,194.3388,1252.968,5.7904,0.0722,54.5903,1.5291,1.0178,14.6672,1028.8759,3.5596,26.6531,5.8348,72.9842,225.2361,48.0505,12.4115,5.9785,106.2797,10.8661,69.2375,0.0,1747.3631,0.0669,139.0024,603.1649,633.8999,0.0
IRL_C21,744.5807,0.3996,5.8236,87.2734,0.3254,642.0021,58.3556,151.2004,142.097,245.1352,1174.8724,7046.164,386.4377,154.0834,229.7652,58.8488,1112.3012,4.3466,151.4774,31.4803,6.1545,712.1339,592.0344,108.2123,153.143,985.7973,4.7176,0.0653,44.0555,2.8361,1.6328,35.5082,849.69,2.8756,45.0355,5.92,64.3167,213.2556,40.9136,50.6533,4.9627,968.8381,9.2648,57.6578,0.0,2157.7093,0.1069,1797.5447,1439.4172,1497.5964,0.0
IRL_C22,1.3326,0.2403,0.028,0.1553,0.0186,22.3993,0.0791,0.233,0.3876,2.8581,7.7731,88.6572,19.0276,1.1067,0.1966,1.5384,20.0871,4.0462,3.102,2.063,0.3501,30.6274,0.3277,0.6449,64.9409,126.9282,5.3076,0.1037,2.6564,8.5605,0.5036,0.561,1.7529,0.7194,12.911,0.7969,0.7012,1.8156,11.4321,6.7044,0.1245,23.5328,0.2696,1.5295,0.0,117.9546,0.004,0.0267,10.1711,11.0054,0.0
IRL_C23,289.2827,0.1083,0.2589,5.2865,0.2398,20.6702,0.1162,0.1749,0.3744,4.1245,7.8748,31.1689,7.1743,102.7752,9.6236,5.4643,7.0985,3.0329,3.4613,0.1558,0.8759,380.2253,0.6068,2.5793,796.2191,97.1154,1.9361,0.0636,7.0763,0.7345,0.3049,3.7687,0.7524,4.6935,6.3307,0.6523,3.1307,6.9609,2.6595,2.3227,0.5066,3.5948,2.2059,9.3602,0.0,15.5244,0.0383,1.1814,34.5692,38.6667,0.0
IRL_C24,0.0784,0.0008,1.0976,0.0043,0.0267,5.5896,0.0783,0.8712,0.1842,0.8456,4.4361,28.2086,8.0556,8.2812,11.8374,36.717,29.3802,9.2278,21.8555,9.0695,0.8508,142.7618,0.259,0.9453,32.692,12.438,1.3379,0.0063,0.1059,0.0676,0.0397,0.0058,0.1418,1.3297,3.8038,0.7399,0.7394,1.0128,0.3926,3.382,0.0234,0.0253,0.0782,0.0694,0.0,5.58,0.0,0.0,0.5349,2.5833,0.0
IRL_C25,2.0183,0.1016,3.148,0.5161,0.12,18.9009,0.523,2.4979,0.9561,22.1198,21.7975,123.8415,22.9797,8.8209,4.8409,35.5001,96.1813,27.6824,43.1409,10.528,11.422,81.8651,2.2484,0.5466,319.7291,57.1503,2.3198,0.3086,1.2303,0.4565,0.1904,0.9362,1.1496,2.0319,15.7676,2.13,1.5727,6.0578,26.9427,13.3229,8.9479,2.1993,0.2786,0.7382,0.0,26.0913,0.0084,0.1665,121.2345,14.954,0.0
IRL_C26,24.675,9.956,0.9465,11.6941,0.0973,80.393,0.5407,0.9625,0.403,29.7302,91.7131,164.1091,2.3488,2.9292,10.7703,8.7439,2787.0919,191.8383,68.0474,27.8219,6.3104,1532.8394,0.786,2.667,385.4646,107.6591,10.6899,0.2714,23.9992,11.3771,5.973,24.0506,59.7358,315.1697,807.8294,87.1352,8.9676,123.333,224.5931,69.8601,33.8751,436.6961,17.0967,18.0105,0.0,980.041,0.0364,0.66,2057.0543,750.4747,0.0
IRL_C27,0.4717,0.0612,0.4193,0.0205,0.0083,5.5634,0.0202,0.0616,0.111,1.7065,94.4264,24.1233,0.1767,0.4226,0.0475,0.6937,92.8872,3.9882,13.6699,2.8932,0.2263,76.0984,0.0683,0.2689,84.728,27.0478,0.6577,0.057,2.3779,0.1307,0.0616,0.1402,0.1504,1.2169,5.9714,0.3141,0.6838,8.9245,18.4394,2.1369,0.1294,8.1033,0.4557,0.2124,0.0,40.4573,0.0052,0.1666,42.6116,5.534,0.0
IRL_C28,3.7707,0.219,1.1723,2.1576,0.1632,4.7621,0.2507,0.8592,0.2243,4.1508,4.5153,61.5959,2.1765,5.189,0.5044,49.5525,249.6753,3.4927,60.4616,4.2081,6.1595,37.5882,0.5468,0.1487,73.2516,14.9399,2.1106,0.1435,5.4844,0.8168,0.3378,1.2472,2.9954,2.2254,6.2564,1.7281,0.3238,4.2897,18.7902,9.7433,0.4462,11.7696,0.7577,1.1531,0.0,64.5353,0.0097,1.7056,443.2097,24.0035,0.0
IRL_C29,0.2329,0.0016,0.0126,0.1588,0.0019,0.0455,0.0024,0.013,0.004,0.0862,0.0896,0.4633,0.0467,0.0309,0.008,0.0985,3.237,2.4782,0.3108,1.031,0.0253,18.7902,0.1059,0.005,1.6158,31.359,3.5309,0.3081,0.1656,0.9408,0.6863,0.108,0.0164,0.385,2.1368,1.1673,0.0505,0.5634,0.6516,0.269,0.0381,0.0808,0.2215,0.0961,0.0,244.255,0.0012,0.0019,450.0341,2.5521,0.0
IRL_C30,2.9074,3.9046,0.6936,0.3582,0.0006,0.1406,0.0176,0.1593,0.0335,0.003,0.7261,2.1893,0.1014,0.1699,0.0003,0.0279,0.4047,0.0106,0.1379,15.3435,52.5305,207.8058,0.0,0.7846,5.5991,4.5695,2.9805,2.171,78.1565,3.5311,0.6502,0.6585,0.0088,1.2153,6.4006,1.4191,3.5604,11.0508,43.618,4.1034,0.0924,2.155,0.3743,0.3838,0.0,66.0229,0.0,0.0,1855.1991,-1712.2795,0.0
IRL_C31T33,74.9643,6.8611,0.7393,1.3258,0.5088,25.7104,0.2128,2.1079,0.8552,22.1482,17.5514,145.6321,13.4259,18.475,3.5553,42.2394,301.2473,32.343,45.8458,7.8467,5.1637,2111.5752,3.4862,4.5902,278.7094,166.0651,59.8213,2.7843,258.1835,20.9194,6.8851,8.5016,22.3039,34.3657,76.0354,20.2924,2.3234,40.8757,96.0711,128.5377,8.0543,253.9365,10.7954,16.9174,0.0,2891.1297,0.0117,10.6524,446.02,65.0274,0.0
IRL_D,131.4441,14.2473,2.3921,55.7182,0.243,527.6353,9.4613,39.3301,15.2349,33.3091,186.0399,660.0204,61.8089,192.0018,11.3779,30.8268,109.374,7.8427,31.1721,8.9029,12.2068,52.3509,286.6104,145.2321,88.1895,1458.8712,130.1288,3.5246,27.5106,146.0504,22.9722,230.51,65.4868,133.5563,160.2619,93.2216,79.2579,249.5813,134.2757,0.7503,63.8994,99.3149,80.6851,59.8069,0.0,1056.0274,10.7511,85.5861,17.3331,1.2374,0.0
IRL_E,2.4954,4.7877,0.6771,1.9523,0.0749,46.0154,1.0563,1.4041,1.138,5.4874,35.2587,118.7991,16.5939,3.7487,77.1342,3.9671,23.9041,0.4389,5.6935,2.7035,0.1942,31.0114,0.2296,155.9737,97.4895,374.571,17.4057,2.177,1.3874,22.2782,8.1207,31.1801,11.1678,2.1358,23.617,20.8752,22.0036,66.158,44.4193,390.2768,2.0529,105.3948,30.7444,17.7855,0.0,860.6314,0.0016,290.925,4.5442,0.9079,0.0
IRL_F,190.1481,13.9965,7.3376,12.2989,0.2288,395.4854,2.9106,8.3921,3.9279,180.6799,43.8099,330.4021,6.961,25.5884,15.6591,16.3822,277.9896,3.5287,176.14,2.5471,0.5199,236.5228,15.701,23.2407,9036.5687,0.8059,0.0136,0.3571,9.5383,0.0009,0.002,0.0514,0.0042,0.4306,0.0039,48.8986,171.4663,0.6548,51.6292,120.0996,83.6387,92.3103,1.594,43.9761,0.0,134.9899,0.0,10.8881,18743.1218,0.0,0.0
IRL_G,281.2058,16.3865,3.0241,17.5676,0.2754,951.2084,15.4044,10.9544,25.1395,175.6346,293.8688,710.7624,33.7872,61.9306,19.5612,82.2435,517.0925,25.8792,81.0446,12.7511,11.7702,625.2841,110.1338,34.9324,160.9226,895.2684,122.9308,14.7717,142.7479,56.5773,19.0252,146.5637,661.749,26.4548,439.0463,143.3418,21.0429,116.9351,128.5189,229.4072,37.1696,193.271,30.1393,85.0819,0.0,4012.7596,27.609,439.1201,2602.3187,255.5648,0.0
IRL_H49,29.2031,1.9451,0.8186,6.646,0.2743,97.2603,2.2933,5.218,5.3568,45.561,25.7627,67.5381,8.9491,25.0989,3.834,18.3661,199.5612,4.7536,21.7034,2.2675,3.3244,115.9581,7.2869,11.4299,112.5952,632.8894,92.9085,1.2152,17.3554,11.2352,12.5057,6.8929,52.6853,2.6322,14.357,85.604,2.7702,18.5786,34.878,22.4214,12.5364,54.4565,2.9547,5.9503,0.0,1604.4115,0.2383,358.4088,192.7947,84.9654,0.0
IRL_H50,1.5337,1.373,0.0426,0.3527,0.0033,10.1046,0.1302,0.4209,0.3283,5.7212,5.0184,12.8689,0.5978,3.2591,0.4329,0.7907,38.2345,0.2808,2.7473,0.2966,0.5914,6.9835,0.642,1.9767,2.0435,13.0729,0.485,16.8115,5.0815,13.8927,0.0654,1.335,4.2233,0.9185,1.5475,1.0554,0.1823,1.7584,10.5623,0.5095,0.081,0.7168,0.1212,0.2097,0.0,25.4246,0.0153,0.3153,22.9959,45.9038,0.0
IRL_H51,18.962,1.1349,2.4391,8.9066,0.0338,186.6826,2.1452,1.0263,8.5232,49.7193,45.1121,318.2951,15.1364,79.1161,50.5061,8.5538,231.1554,11.1065,63.274,9.8802,9.1882,105.2038,8.5549,2.8886,16.8109,71.434,5.3003,5.1263,229.9486,32.4526,11.1152,7.1622,26.3356,1.8001,5.5575,53.9357,1.262,132.8224,170.5348,25.9054,5.7787,20.9882,2.2518,11.7075,0.0,440.0827,0.2444,20.4362,144.0973,179.1809,0.0
IRL_H52,8.0862,8.0213,0.0506,0.3162,0.2077,15.7681,0.1673,0.2174,0.4081,6.3601,7.799,27.8732,0.8383,5.5742,0.5326,1.5454,83.2039,0.919,4.3846,0.2814,0.3541,13.4292,1.224,2.7281,11.8879,356.3183,234.0131,108.4598,278.8798,57.2805,3.2382,11.4625,7.559,1.7461,31.5852,26.93,0.2379,22.6528,13.2357,1718.2486,0.3313,2.4942,2.6638,3.8965,0.0,574.6487,0.0567,1.6016,29.6843,15.0112,0.0
IRL_H53,1.635,0.0,0.1578,0.586,0.0121,17.6994,0.9489,1.2736,0.3999,0.1207,4.4098,2.9667,2.236,3.9116,3.0935,3.8495,0.5649,1.7522,0.1448,0.8876,0.8164,2.1403,0.8147,0.6541,10.8132,313.2541,6.8227,0.0458,0.3988,4.821,168.6321,1.1838,84.2805,4.1852,75.1494,98.277,4.3221,65.7619,31.5571,2.9045,0.6699,7.4968,2.6963,34.7726,0.0,85.4666,9.254,0.0002,0.7517,3.2529,0.0
IRL_I,1.5759,0.2966,2.853,7.0028,0.0663,65.5022,8.3187,5.9318,2.6713,12.5271,75.5275,113.9139,9.0688,18.1586,13.9965,22.7889,39.5755,3.8801,15.3198,9.0264,4.3868,28.0401,68.633,18.655,27.6005,284.8144,20.7594,4.5252,126.6397,11.5935,6.2807,85.6576,63.448,8.8771,180.4676,136.8009,15.0999,356.2295,181.0344,8.3114,1.5408,60.5099,28.5804,26.4335,0.0,4918.4546,0.0,0.0,0.2508,0.0022,0.0
IRL_J58T60,2.5255,0.0536,11.9975,62.2716,0.0625,637.8325,42.6318,14.1233,155.4968,0.0012,2125.4821,1172.8424,88.6812,184.1341,70.5203,320.5964,82.2904,19.4849,26.6494,24.0848,10.0269,364.6419,637.223,88.9759,6.2367,326.678,7.7853,0.363,0.7777,2.3943,2.6263,78.9545,5535.9146,113.4454,348.389,239.1036,58.2806,197.32,193.6847,462.1309,136.7389,33.0872,88.9807,469.2037,0.0,688.9472,0.0,811.7156,5707.9702,19.4987,0.0
