V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T
MYS_J61,30.8405,3.3312,33.3872,2.8644,16.5575,133.2871,7.887,7.4185,24.3742,1.9861,37.3899,1.8902,17.4113,14.4709,17.0461,28.2413,68.8788,11.8901,13.9386,12.341,4.2867,20.6725,9.6,6.5064,277.4447,1135.503,23.1918,7.4803,10.918,34.5225,14.8594,163.5676,178.6718,5064.4197,162.0245,366.9367,194.33,124.6704,104.6766,147.6082,54.0636,43.4343,545.6668,416.1794,0.0
MYS_J62_63,1.1476,0.0902,4.9389,0.3444,10.8387,9.7529,0.4668,0.4515,3.6812,5.2393,13.8712,0.2162,2.714,5.155,2.7172,5.254,22.2038,1.7392,4.1465,10.5184,1.4532,1.5088,11.2121,1.6098,57.0414,1.9346,4.1576,3.867,7.0593,28.3906,14.4185,37.8099,105.1171,1849.5056,1753.2454,34.8429,4.142,10.0017,3.3567,37.6889,10.862,10.9386,0.1205,0.1181,0.0
MYS_K,526.0368,61.8889,197.2402,67.3013,103.0652,763.9247,72.0418,85.6244,144.7556,115.3814,423.7076,12.4045,180.0565,160.5435,255.3605,209.0996,865.9608,121.103,189.9227,211.2924,83.3418,146.724,104.5233,138.6149,1595.896,6850.8219,148.7358,68.0573,240.4093,179.5125,50.966,220.8378,77.0224,188.6177,185.3252,9240.4876,983.2482,934.2866,251.4865,90.5681,179.5343,391.5654,348.1431,249.3768,0.0
MYS_L,35.8278,6.3498,18.6066,3.0372,13.8029,85.1643,9.6881,14.6872,18.2972,13.7322,38.3774,2.4553,30.1495,26.4207,36.0125,23.3359,116.0553,15.0657,26.8984,45.7556,18.1201,17.1458,8.1144,3.1863,104.3666,399.8773,21.5753,22.3605,103.0174,40.5373,1.9987,59.6111,6.3096,48.7983,21.2644,136.6875,560.4322,44.0563,98.9319,156.9249,47.572,22.2238,16.6948,4.0702,0.0
MYS_M,39.4057,12.0095,31.0665,14.2277,32.6051,183.1962,22.4726,21.0884,28.0542,45.9253,79.6679,3.5292,36.1592,35.7933,26.6527,49.8407,180.9808,22.0192,35.8782,48.7698,68.7424,29.836,25.5973,16.2478,134.6137,224.8226,31.5878,26.6763,45.6399,70.8905,6.1712,62.7141,55.1898,207.2175,81.0408,1386.1491,129.1548,240.6837,284.48,127.1682,89.2127,47.4012,203.7305,4.3943,0.0
MYS_N,22.9801,3.7543,16.7551,5.1292,55.3262,201.5699,4.7403,9.7398,13.1396,36.6034,61.854,3.3983,19.0713,23.9124,19.5368,26.8899,140.3906,13.5507,15.3806,37.8611,39.1885,12.7357,5.0677,21.5765,106.286,461.0465,151.31,113.5338,32.7848,123.2564,15.3883,64.4472,28.3953,132.2232,59.5166,219.9588,60.1942,83.3501,701.0598,133.4067,43.2884,38.0945,126.7184,31.3724,0.0
MYS_O,0.3425,0.0117,0.3341,1.4963,8.973,0.9442,0.5829,0.0854,0.1633,0.0456,0.4452,0.0262,1.7455,0.4713,0.1804,0.238,0.8027,0.1244,0.1159,0.2763,0.1047,0.7646,0.1237,51.728,0.5018,26.0348,0.2901,0.2589,0.0405,0.7992,0.1566,3.6118,0.1007,0.8008,0.4248,13.0307,0.5419,1.1824,0.9027,2206.9789,2036.3403,153.9085,1.3888,0.0696,0.0
MYS_P,0.0496,0.0117,0.0327,0.0029,2.5323,0.089,0.0265,0.0192,0.0266,0.0133,0.0461,0.0039,0.0373,0.0353,0.0598,0.038,0.1592,0.019,0.0434,0.0908,0.0275,0.077,0.1079,0.0041,0.1036,1.3012,0.0217,0.5227,0.094,0.0318,0.0036,0.1083,0.2582,0.0644,0.0292,0.9727,1.1126,0.171,0.6942,533.1543,397.8191,17.7535,0.2029,0.0053,0.0
MYS_Q,0.0,0.0,0.0,0.0,1.3534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.993,0.0,0.0,0.0,142.1857,0.0,2029.3638,0.0,0.0,0.0
MYS_R,0.0,0.0,0.0,0.0,0.2684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.4975,21.9538,226.8269,49.5868,0.0,0.0
MYS_S,15.1589,5.3191,0.1489,0.0142,3.9328,13.1779,0.4766,0.0659,8.3145,0.1186,108.1136,0.3377,22.5858,30.2592,12.9534,31.2581,120.6056,19.0916,19.807,20.7485,54.5491,17.9255,0.1996,32.0887,22.8073,36.5485,37.4118,0.0506,1.0279,18.2873,1.3572,3.7862,2.4799,46.849,17.3155,17.3892,15.0729,18.5418,3.1321,55.0825,24.9355,13.8682,9.6762,65.5262,0.0
MYS_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
