V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T
BRN_C20,0.2595,0.0003,15.4453,6.5631,1.0397,0.057,0.3622,0.0064,0.1045,3.2741,0.0312,0.0001,0.0214,0.0003,0.0,0.0111,0.0422,0.0,0.0263,0,0.0241,0.0166,0.0,0.6805,3.3352,1.4793,0.2679,0.1464,0.9979,0.0,0.2114,0.1981,0.1045,0.0,0.1857,0.4813,0.2298,1.088,0.8863,4.8197,0.3119,7.0355,0.0503,0.1829,0.0
BRN_C21,0.0002,0.0,0.0028,0.0014,0.0001,0.0,0.0001,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0002,0.0009,0.0009,0.0001,0.0001,0.0008,0.0,0.0002,0.0001,0.0,0.0,0.0001,0.0004,0.0001,0.0007,0.0003,0.01,0.0004,0.0644,0.0001,0.0001,0.0
BRN_C22,0.0977,0.0001,0.5247,0.388,0.0798,0.0462,0.0717,0.0023,0.0013,0.0814,0.0006,0.0,0.4055,0.0055,0.0,0.0256,0.0694,0.0,0.0448,0,0.1227,0.0353,0.0,0.0761,2.0578,1.3986,0.0026,0.0014,0.0209,0.0,0.7428,0.0519,0.016,0.5652,0.0232,0.6455,0.0047,0.0971,0.1889,1.8222,0.3004,0.2091,0.0063,0.0448,0.0
BRN_C23,0.2515,0.0,1.8906,1.1782,0.2427,0.088,0.0741,0.0059,0.0057,0.2459,0.0011,0.0,1.0575,0.0146,0.0,0.1175,0.1822,0.0,0.1186,0,0.2055,0.0998,0.0007,0.2003,5.7691,3.7616,0.0044,0.0039,0.0561,0.0002,0.0002,0.1592,0.0288,2.9932,0.0574,1.734,0.0196,0.3009,0.5008,4.7784,0.7973,0.5401,0.0228,0.039,0.0
BRN_C24,0.0037,0.0,1.3075,0.3618,0.0878,0.0039,0.0184,0.0019,0.0015,0.0,0.0001,0.0,0.0019,0.0001,0.0,0.0114,0.0071,0.0015,0.0051,0,0.0027,0.0019,0.0,0.0222,0.7144,0.3085,0.0004,0.0003,0.0069,0.0145,0.0,0.0087,0.0018,0.0708,0.0043,0.0304,0.0035,0.0211,0.0036,0.0413,0.0723,0.0256,0.001,0.0135,0.0
BRN_C25,0.0428,0.0,6.9949,3.0281,0.8173,0.0576,0.1956,0.0153,0.0166,0.3381,0.0011,0.0,0.0197,0.0001,0.0,0.0096,0.0372,0.0001,0.0406,0,0.0446,0.0379,0.0074,0.1007,2.8951,3.1691,0.0088,0.003,0.071,0.3267,0.0001,0.0433,0.0167,0.6023,0.0624,0.2914,0.0323,0.2391,0.0939,2.7405,0.2503,0.2461,0.0118,0.0212,0.0
BRN_C26,0.008,0.0,0.4587,0.1551,0.0514,0.0057,0.0146,0.0015,0.0007,0.0557,0.0003,0.0,0.0016,0.0,0.0,0.0034,0.0032,0.0002,0.0024,0,0.0037,0.0018,0.0156,0.0049,0.1961,0.2535,0.0127,0.0004,0.0041,0.01,0.0,0.011,0.0022,0.0263,0.0081,0.0129,0.0026,0.013,0.0094,0.2129,0.0128,0.0181,0.0008,0.0011,0.0
BRN_C27,0.0137,0.0,1.9494,0.7644,0.1418,0.0211,0.0774,0.0004,0.0062,0.0006,0.0003,0.0,0.0074,0.0001,0.0,0.0034,0.0153,0.0236,0.0156,0,0.018,0.0112,0.0797,0.0111,1.4264,0.3862,0.0015,0.001,0.025,0.0429,0.0,0.0085,0.0116,0.2144,0.0217,0.1001,0.0123,0.0566,0.017,0.1184,0.2376,0.0956,0.0034,0.0034,0.0
BRN_C28,0.0043,0.0,0.9607,0.331,0.0614,0.007,0.0228,0.0021,0.0021,0.0163,0.0001,0.0,0.0025,0.0,0.0,0.0074,0.0,0.0011,0.0052,0,0.011,0.0038,0.0,0.0174,0.5018,0.369,0.0004,0.0003,0.0084,0.0247,0.0,0.0062,0.0022,0.0715,0.006,0.0343,0.0038,0.0243,0.0099,0.1886,0.0518,0.0293,0.0014,0.0014,0.0
BRN_C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN_C30,0.0141,0.0,1.0998,1.4263,0.3041,0.0184,0.1049,0.0052,0.0075,0.0462,0.0003,0.0,0.0078,0.0001,0.0,0.0065,0.0411,0.0,0.0183,0,0.0672,0.0071,0.0777,0.0129,1.5212,1.0558,0.0014,0.0005,0.0279,0.0767,0.0,0.032,0.008,0.2642,0.0189,0.1031,0.0111,0.0618,0.0361,0.7901,0.0622,0.104,0.0049,0.0115,0.0
BRN_C31T33,0.0046,0.0001,0.3897,0.3312,0.0666,0.0051,0.0215,0.0016,0.001,0.0169,0.0163,0.0,0.0011,0.0,0.0,0.0014,0.0001,0.001,0.005,0,0.0025,0.0034,0.1088,0.0054,0.6249,0.2709,0.0009,0.0005,0.0076,0.0005,0.0004,0.0155,0.0014,0.053,0.0039,0.0261,0.0123,0.0338,0.0263,0.1812,0.0601,0.0368,0.0031,0.013,0.0
BRN_D,0.4793,0.0006,13.9299,7.3403,0.5525,0.5731,2.4171,0.0216,0.0308,72.1896,0.624,0.0025,0.1748,0.0024,0.0,0.0284,0.0,0.0259,0.1269,0,0.1447,0.0943,0.6363,0.4513,1.9709,12.0443,0.3008,0.0044,0.2323,0.0009,0.0003,1.9174,0.3502,1.7952,0.5785,1.8012,1.2458,1.5241,1.0978,20.0498,2.5379,2.1115,0.2481,0.1682,0.0
BRN_E,0.0881,0.0,2.5501,1.0494,0.1007,0.048,0.1647,0.0049,0.0065,1.0523,0.0198,0.0001,0.0107,0.0001,0.0,0.0076,0.0,0.0032,0.0193,0,0.0174,0.0085,0.2309,0.175,1.0799,1.1008,0.0521,0.0015,0.0599,0.0002,0.0172,0.1533,0.0194,0.1974,0.0947,0.2695,0.1152,0.2834,0.1646,14.1825,0.6329,0.1282,0.0178,0.0244,0.0
BRN_F,0.4581,0.0041,13.3243,5.918,1.1835,0.3359,0.3255,0.0177,0.034,4.4409,0.0856,0.0002,0.9797,0.0135,0.0,0.1463,0.172,0.0291,0.1542,0,0.2617,0.1203,0.4076,0.4149,16.2763,6.3483,0.1215,0.3222,0.4352,0.0861,0.0135,0.7577,0.0869,3.4987,0.7612,3.7258,3.1267,2.606,1.2349,11.6698,2.7938,2.4354,0.0595,0.1074,0.0
BRN_G,5.4028,0.1764,111.8551,84.3365,8.1021,2.7378,3.1963,0.1272,0.131,58.5937,3.959,0.0018,0.7465,0.0943,0.0476,0.4505,0.5209,0.0962,0.839,0,1.258,0.5944,23.6209,1.5729,80.3224,27.8815,3.0835,1.2465,8.1449,2.1613,0.6411,9.8406,0.3404,3.9262,1.6036,4.6911,2.6184,8.0201,4.9226,55.6283,14.8182,9.498,0.345,2.3668,0.0
BRN_H49,0.2673,0.0221,0.0517,0.2197,0.1867,0.163,0.035,0.001,0.0122,0.0442,0.0162,0.0,0.0217,0.0025,0.0015,0.0322,0.0566,0.0279,0.0364,0,0.0499,0.0543,0.0394,0.0884,0.0437,0.2166,0.0159,0.0531,0.1545,0.2677,0.0827,0.5831,0.0015,0.0393,0.0333,0.3973,0.0033,0.1652,0.1401,0.2526,0.038,0.258,0.0036,0.0433,0.0
BRN_H50,2.8934,0.0063,51.0943,17.9125,3.0268,1.4658,1.6013,0.0673,0.047,15.0489,0.1178,0.0006,0.4052,0.0067,0.0007,0.552,0.0163,0.0869,0.3882,0,0.9385,0.27,1.7899,0.4217,19.493,10.6602,0.2848,0.911,1.0558,0.0846,0.0236,3.403,0.1789,2.8883,1.1391,1.3383,0.361,3.6995,3.7422,24.5919,4.6223,2.878,0.1716,0.1577,0.0
BRN_H51,1.4829,0.0033,41.961,10.0328,2.6411,1.0376,2.3105,0.0373,0.0263,4.6064,0.0423,0.0002,0.1388,0.0059,0.0023,0.3021,0.01,0.0445,0.2143,0,0.5723,0.1649,0.5311,0.3661,8.9006,28.2426,0.5251,0.0607,0.8133,0.0428,0.0107,1.4162,0.5305,2.5666,4.6636,2.3497,0.3268,12.1084,12.4883,35.6769,1.8335,0.9525,0.3157,0.3413,0.0
BRN_H52,0.2307,0.0002,4.2265,1.7375,0.2072,0.1066,0.1164,0.006,0.004,1.1838,0.009,0.0,0.034,0.0009,0.0002,0.0451,0.0006,0.0065,0.0314,0,0.0783,0.0206,0.1651,0.063,1.7345,2.237,0.0275,0.0147,0.1508,0.1063,0.0005,0.2756,0.0305,0.3055,0.181,0.1443,0.0386,0.3893,3.3785,1.9943,0.4451,0.2664,0.0126,0.0162,0.0
BRN_H53,0.1611,0.0001,1.4754,0.5551,0.1236,0.0072,0.0054,0.0078,0.0039,1.2537,0.0006,0.0,0.0012,0.0001,0.0,0.0072,0.0,0.001,0.004,0,0.0047,0.0019,0.0,0.0111,0.9855,0.3147,0.011,0.0265,0.1163,0.0,0.0022,0.0275,0.0097,1.2036,0.046,0.0823,0.0915,0.1163,0.0502,0.107,0.0965,0.0959,0.0053,0.0074,0.0
BRN_I,0.0622,0.0008,39.7001,8.3319,3.7297,0.5467,0.518,0.0244,0.016,20.6506,0.092,0.0011,0.0829,0.0011,0.0,0.0008,0.0015,0.0427,0.2005,0,0.2566,0.0971,0.0275,0.5105,18.0653,10.9365,0.338,0.0714,2.0904,0.0072,0.0024,0.4294,0.3628,2.4812,2.6316,3.2465,0.2057,5.8652,2.7205,9.5034,2.542,1.7511,0.1252,0.1904,0.0
BRN_J58T60,0.0025,0.0,0.2729,0.0743,0.0148,0.0063,0.0318,0.0004,0.0001,0.5193,0.0018,0.0,0.0013,0.0,0.0,0.0002,0.0,0.0009,0.0028,0,0.0033,0.0018,0.0,0.0166,0.0641,0.212,0.0046,0.0,0.0805,0.0,0.0,0.0085,0.0428,0.0315,0.0355,1.2491,0.0025,0.1929,0.1305,5.7694,1.007,0.4228,0.0116,0.0084,0.0
BRN_J61,0.2974,0.0001,100.4977,22.7886,5.8337,0.6163,0.4963,0.0418,0.0457,11.7618,0.055,0.0006,0.1049,0.0013,0.0,0.0273,0.0001,0.0735,0.3509,0,0.4146,0.1694,2.7064,0.5567,20.8994,24.4499,0.5246,0.1628,0.8406,0.0011,0.0004,1.6091,1.2642,35.3621,4.4847,9.8528,0.6766,7.0765,3.2538,27.0831,8.7645,5.1209,0.3613,0.3592,0.0
BRN_J62_63,0.0924,0.0001,1.7474,0.7132,0.0902,0.0449,0.0522,0.0024,0.0016,0.4787,0.0037,0.0,0.0141,0.0004,0.0001,0.0187,0.0003,0.0027,0.0132,0,0.0324,0.0087,0.0774,0.0266,0.7252,0.9316,0.0209,0.0056,0.059,0.0419,0.0002,0.114,0.0126,0.1069,0.0742,0.059,0.015,0.1619,1.3261,0.8582,0.3141,0.3553,0.0054,0.007,0.0
BRN_K,1.4629,0.0012,60.5839,18.0073,3.1848,1.025,1.626,0.029,0.0281,223.9475,0.3665,0.0029,0.1446,0.0077,0.0,0.3325,0.0031,0.088,0.3046,0,0.3697,0.2188,1.1132,3.2003,17.3437,56.2819,2.9744,0.8518,61.0827,0.0158,0.0049,5.1837,0.3859,3.4673,2.1486,17.6519,14.7502,6.3353,5.6401,1.3262,0.745,0.9487,0.2382,0.3074,0.0
BRN_L,0.0209,0.0002,9.988,2.1097,0.8251,0.131,0.5258,0.0058,0.0049,0.966,0.026,0.0003,0.0195,0.0003,0.0,0.0016,0.0004,0.0106,0.0496,0,0.0579,0.0275,0.0192,0.2268,5.4133,2.6283,0.0862,0.016,0.4739,0.0009,0.0004,0.1068,0.1777,0.5682,0.6231,2.4483,0.3593,1.4587,0.7345,3.1183,0.5957,0.7154,0.085,0.0931,0.0
BRN_M,0.1489,0.0001,82.9771,17.4084,6.6858,0.1565,0.721,0.0151,0.0358,4.5329,0.0274,0.0003,0.0503,0.0009,0.0,0.0043,0.0001,0.0106,0.054,0,0.0657,0.0286,1.3339,0.5,30.5818,13.65,0.2258,0.0973,0.2579,0.0018,0.0059,0.3687,0.1995,5.3807,3.8236,6.9733,0.1054,30.0965,4.9959,23.0321,4.2486,12.9997,0.1111,0.1094,0.0
BRN_N,1.0241,0.0012,32.5643,13.1976,2.7509,0.5557,0.7178,0.043,0.079,6.5128,0.0305,0.0003,0.1617,0.0021,0.0,0.2188,0.2286,0.0005,0.1545,0,0.3964,0.1117,0.0709,0.4972,38.1194,12.0727,0.1894,0.0725,0.7152,0.0026,0.0008,1.3998,0.1884,2.4414,1.9085,3.9939,2.3083,4.7475,16.3281,10.7118,31.4932,19.805,0.1691,0.1144,0.0
BRN_O,0.5274,0.0045,21.5835,8.2886,1.5834,0.5666,0.5733,0.0196,0.0214,63.1184,0.2196,0.0028,0.1061,0.0015,0.0,0.0497,0.0,0.0238,0.1135,0,0.243,0.0802,0.0,0.5388,5.0726,7.0664,2.6034,0.2497,1.3854,0.1777,0.0012,1.319,0.1617,4.2263,0.7157,1.9733,0.6128,2.7804,27.4938,149.3253,3.1992,1.3787,0.0868,0.0729,0.0
BRN_P,0.1628,0.0001,16.2125,5.5776,1.266,0.224,0.107,0.0074,0.0,32.8662,0.0897,0.0015,0.0433,0.0006,0.0,0.0504,0.0772,0.0,0.0504,0,0.1278,0.0375,0.0036,0.397,4.5104,2.9712,0.1008,0.0513,0.2566,0.002,0.0002,0.1505,0.1003,0.8499,1.0811,2.1033,0.1942,2.1235,0.9444,63.4052,28.8028,5.7213,0.0642,0.0811,0.0
BRN_Q,0.2914,0.0001,14.4897,4.2899,2.2541,0.1167,0.1596,0.0083,0.0122,30.5955,0.0849,0.0014,0.0532,0.0007,0.0,0.0097,0.0,0.0119,0.0569,0,0.0589,0.029,0.0031,0.3473,3.7184,2.5281,0.0892,0.045,0.2446,0.0002,0.0,0.3947,0.0796,0.767,0.3592,0.6445,0.1618,1.3367,0.8436,31.5659,1.8288,7.5186,0.1304,0.1304,0.0
BRN_R,0.0319,0.0,0.5,0.0966,0.036,0.0145,0.0733,0.0,0.0004,1.1948,0.004,0.0001,0.003,0.0,0.0,0.0042,0.0,0.0115,0.0063,0,0.0054,0.0031,0.0,0.0179,1.2907,0.0115,0.0027,0.0538,0.3494,0.0,0.0,0.0016,0.0364,0.0001,0.0203,0.1224,0.0077,0.0754,0.0256,3.1127,0.0464,0.081,0.0735,0.0079,0.0
BRN_S,0.0543,0.0,0.4,0.17,0.0436,0.0302,0.1096,0.0018,0.0005,1.6928,0.0068,0.0001,0.0047,0.0001,0.0,0.0087,0.0,0.0069,0.0093,0,0.0105,0.007,0.0,0.0581,1.9142,0.0425,0.0082,0.0438,0.7929,0.0,0.0,0.0089,0.0523,0.005,0.025,0.2329,0.2899,0.1128,0.034,1.6137,0.7817,0.1939,0.0349,0.0767,0.0
BRN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
