V1,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T
DEU_C20,1256.4949,2.3442,24.993,47.1424,2.9997,1021.9996,958.06,616.9055,1360.4395,823.5668,14131.3865,3819.7487,7316.6884,963.379,1097.0384,912.4616,612.841,485.731,1503.4651,2288.0106,241.4815,666.4967,340.5557,340.2679,2745.3607,1339.4381,187.6288,82.4494,117.981,226.9429,56.7417,374.1777,175.6088,126.4239,418.7323,397.9738,279.7618,696.131,1301.1701,641.2465,182.3237,1286.5714,166.4207,586.4831,0.0
DEU_C21,203.3452,0.8514,5.4856,10.1853,0.6476,452.1868,82.7581,55.7996,136.7233,69.2702,674.875,3615.4483,352.8386,105.1003,96.2467,138.3141,118.021,130.8995,251.6444,333.6355,65.6564,156.7336,197.1113,157.3432,825.8399,933.9712,130.3172,43.7992,48.2118,172.5879,30.6554,269.9887,111.8206,115.8238,103.7076,329.1821,300.7857,534.6104,668.2466,283.5815,84.2325,2625.5656,85.8301,394.2786,0.0
DEU_C22,236.5553,2.5889,14.0151,9.6417,1.6329,2068.5818,361.2188,152.5479,823.0873,122.601,1082.3229,997.5213,6151.2726,300.9407,148.924,1258.6313,801.2599,1587.0456,5428.7693,11031.4314,404.1347,1808.0185,263.2416,357.3021,11127.8123,3062.4046,303.3598,16.6744,34.7372,234.9353,43.811,151.7748,60.5012,100.0317,92.9308,108.8061,154.1664,626.2907,660.3402,411.8221,67.4326,755.0176,59.9207,124.5538,0.0
DEU_C23,287.9704,0.4253,6.6039,25.7991,1.5014,407.0524,89.754,617.6749,31.7368,37.9364,629.2554,585.7617,373.6131,5052.0676,369.8097,491.9768,550.3231,651.197,643.3932,1677.214,83.4734,552.9904,780.3886,112.4457,18987.3605,294.7706,57.1565,7.7141,6.7302,101.5427,10.9826,244.31,14.4328,132.9786,25.3014,60.5976,120.5559,197.5011,444.9311,369.9086,30.7064,192.4093,65.1781,117.85,0.0
DEU_C24,31.6561,0.0,49.8308,19.1601,2.153,201.3087,9.5645,35.0454,207.6554,27.4539,1982.9982,164.0777,462.8963,115.4774,26613.9503,11450.5122,1786.6435,4599.7583,8571.9837,9576.9045,822.4493,2870.0048,251.8924,49.8991,2850.3994,466.36,121.267,1.1212,2.6463,103.2726,9.2453,0.8496,11.0252,31.4969,5.3887,0.0,0.5975,114.9677,39.3222,56.611,2.5639,1.084,2.2925,15.8323,0.0
DEU_C25,315.0503,14.7237,93.1096,50.8274,5.5092,943.6446,351.2522,238.3357,148.9108,251.8907,803.5038,490.1115,1487.6953,338.5407,893.8144,22569.3932,1670.1098,2895.4338,14094.2532,15079.5282,4164.613,4827.1289,666.9709,866.983,14719.112,2017.7342,319.484,45.5852,50.2107,366.4036,52.8893,206.0363,57.6273,121.563,130.6607,107.3714,326.5266,353.2857,972.6946,683.4118,79.7576,296.1136,36.977,120.6766,0.0
DEU_C26,49.6535,0.7072,17.3798,22.8661,0.6578,218.0456,43.1129,34.1522,216.6783,69.093,239.5142,262.1172,114.65,84.3032,201.7753,343.3382,5521.218,2256.13,2132.8107,1348.1078,176.3392,1856.8901,648.467,134.6168,627.8623,1195.4642,129.6063,54.3942,88.5351,111.0239,78.2321,117.0268,308.7748,764.816,569.2155,257.8868,101.1958,854.8664,507.3288,892.9274,184.0489,451.114,173.3639,180.3071,0.0
DEU_C27,164.031,0.935,36.9793,36.9593,1.2456,435.4905,85.2928,60.5863,157.1293,140.0833,356.8256,159.303,253.9831,181.2806,441.5967,747.889,1235.1907,9418.3379,5757.7137,3966.7162,369.1828,1736.5884,2170.4518,139.7039,8012.5998,890.5839,307.2561,78.0719,131.669,185.6987,46.282,572.0965,90.1466,271.3078,285.0322,177.6256,153.8151,317.4157,573.0457,375.4244,81.0974,349.6647,59.6357,376.8222,0.0
DEU_C28,1432.7128,3.0846,189.6312,134.0894,7.6529,1426.3073,298.2426,117.4549,448.6607,273.5187,814.6954,340.4016,596.9208,456.6066,956.5272,3020.041,1117.3352,2339.5801,38098.1853,12829.0521,1383.6286,2804.5644,1198.3037,610.4512,4171.5018,1782.3179,453.976,337.728,334.811,284.696,69.506,384.8173,147.0249,297.3296,548.4168,316.2402,833.5093,712.7061,763.1777,660.8335,147.0716,886.6079,66.4821,162.829,0.0
DEU_C29,565.5542,1.0494,12.3277,25.0205,1.5599,315.5661,57.5347,83.7572,146.4915,67.8335,296.2528,420.6147,289.914,198.5982,129.5631,773.9759,233.3577,679.3896,8751.9307,101846.1246,136.957,471.8685,407.4937,536.947,1331.0196,6261.7744,2061.9241,69.7902,60.2837,2126.6278,893.8186,212.7219,170.8296,190.352,366.3109,446.2433,255.8026,751.6398,1063.2115,671.8976,152.912,383.9516,105.8207,111.5544,0.0
DEU_C30,18.3434,3.904,0.0,0.9183,0.026,0.9129,0.5132,2.0714,0.1403,1.3498,0.0,0.0,27.6939,0.0,5.6771,3.1655,2.3419,89.6118,8.9067,21.3251,11201.0096,2031.5724,5.152,0.852,7.9046,18.0239,20.933,7.7677,414.8536,6.2482,0.0,0.9485,0.5632,0.0,0.0,0.0,0.0,14.187,175.0433,2717.6419,0.0,9.9611,7.1093,0.0,0.0
DEU_C31T33,116.8619,1.4413,238.509,342.8006,5.0069,848.8163,286.9864,355.3959,580.6951,173.361,1263.5031,179.4807,442.2339,641.1839,1835.5851,1997.5435,1276.6274,1004.8214,3661.0737,4575.829,592.8131,3424.1165,1767.6637,93.162,624.9911,486.6631,1014.3388,661.8168,1285.2083,169.2185,29.8435,177.9281,106.1038,500.1275,188.4454,128.7172,287.0894,439.1126,300.0964,724.7781,134.9357,7155.0898,88.7417,143.4907,0.0
DEU_D,1307.9669,17.0566,184.2873,203.2689,7.2798,2919.9005,504.109,543.1623,2246.7691,1236.7078,4035.6387,997.7875,2490.6665,2186.5016,4090.3849,2432.1454,956.9778,1185.3966,2831.8281,3264.8868,255.5733,893.7931,32802.1535,1867.2625,2609.5454,10592.6233,3610.416,39.42,49.3193,1271.4663,615.3578,3066.2697,670.3596,1250.2212,590.9395,1774.7674,3081.284,3379.2263,2077.7568,3181.3864,1641.8078,4865.3727,1001.6522,1620.2355,0.0
DEU_E,1173.8517,5.9289,159.1533,183.035,1.4279,2855.2305,494.0883,383.4345,4168.3735,119.7309,2650.7814,371.4309,5243.2977,1489.2822,4439.6445,4914.6818,217.7494,304.1665,671.3338,955.5953,37.4338,384.9342,464.4908,14665.188,743.0105,2466.1329,196.5631,6.4998,8.4137,293.9086,97.1239,1796.1315,170.7481,181.6328,207.0507,620.6002,549.1545,917.3289,1180.6512,3725.1837,504.2619,1973.6813,688.0869,729.2957,0.0
DEU_F,1068.2438,7.7092,103.67,119.6593,4.32,1474.2193,288.3643,268.5323,685.125,311.1253,1430.1845,1180.6679,615.1443,864.5042,1297.416,967.5152,568.2098,641.2884,1507.5598,2079.7965,140.3655,525.3935,5214.4915,4537.5216,29326.4264,4554.2615,1306.3199,44.6893,82.303,4409.3653,735.121,1863.3242,1031.0632,1563.6194,675.8966,2174.1927,45309.2916,4201.3399,3677.7381,8887.5044,2876.3723,5331.0836,878.5087,1258.1536,0.0
DEU_G,3618.3585,56.1165,327.6084,262.1511,9.1299,24422.5446,3218.101,1789.7427,3264.1337,6470.8732,7554.3148,4371.0855,4406.4331,2727.6036,4757.7009,5130.8743,4358.7454,4639.7202,11172.3255,20763.3997,1948.2955,6472.4278,5414.0123,1220.6501,13048.137,20674.2268,5208.3271,1345.3465,1353.0777,9283.2032,4621.4496,7401.1346,1731.4856,1366.5136,987.8549,1361.1023,573.3893,3955.1568,4858.3017,5486.778,2080.8524,12428.871,1035.3241,1299.9353,0.0
DEU_H49,523.2191,6.9168,120.9433,129.3802,3.8778,4034.1398,297.3428,487.6896,840.3906,3228.644,1849.2017,521.5055,928.4039,1311.1508,2286.8441,1145.2779,757.0401,852.4942,2275.0275,3978.5572,328.4962,1134.192,1813.0714,144.3561,2611.3313,9710.4921,3664.2646,599.8517,361.9245,9885.7799,850.5003,709.0836,327.8227,86.9344,82.6108,164.0731,150.6502,422.4513,3272.9752,1411.5959,2003.2909,1138.7049,96.2643,496.7495,0.0
DEU_H50,48.3052,0.4366,9.8705,3.6606,0.161,252.3133,25.1215,25.0474,42.6,210.9994,119.3221,47.8407,63.491,51.1134,149.8652,97.6603,61.332,71.1921,195.479,207.353,43.9023,71.2916,101.13,14.1216,260.7652,392.0452,150.534,88.9999,82.2274,325.796,70.4315,62.845,14.3077,18.0647,8.9685,24.9631,33.9153,61.6805,54.0136,63.0506,16.0678,103.5012,9.7345,18.4037,0.0
DEU_H51,15.5468,0.1319,2.2413,1.5156,0.0156,100.5688,8.9159,6.3127,13.7781,90.8531,37.0413,15.5275,20.8565,17.1053,67.6639,21.6647,7.2669,12.7557,25.7671,66.829,5.6739,13.6302,55.4546,6.0721,76.6812,75.1355,26.9551,16.3665,7.9896,53.0675,13.1453,24.8231,10.8918,11.1484,85.9938,23.6754,6.8665,32.3043,16.273,17.0902,7.9351,42.3495,2.0031,3.5286,0.0
DEU_H52,279.2789,9.8103,32.6666,66.9455,3.1599,6850.7185,197.0906,270.886,336.1469,1134.4974,1158.1637,323.9352,902.1356,828.4594,766.0891,857.8948,1073.5349,856.4717,3339.8902,4711.0428,148.357,850.4543,615.2563,111.9206,1557.4033,36226.2726,16000.1748,10018.0614,4916.0717,40295.4523,8617.7632,463.0062,126.5936,169.2622,127.5062,228.1095,119.8743,558.7781,685.4411,495.1678,184.4591,410.9179,43.0574,102.4937,0.0
DEU_H53,10.3793,0.3364,33.056,24.6446,0.1799,379.0921,151.8049,9.3178,227.9614,107.7572,1276.2123,1308.7771,280.5901,70.0881,78.0526,523.421,1162.2538,1197.5672,2518.4257,1202.1912,32.2192,791.1646,424.3915,39.8136,164.6878,17287.4024,1930.1766,16.2563,144.4798,669.1803,2079.2996,981.8299,534.6997,2239.0458,156.0034,1875.7736,84.9759,1617.9292,1730.6162,1693.4686,12.5734,755.7057,468.2394,213.1128,0.0
DEU_I,1.5802,0.9606,5.1788,0.9578,1.4832,60.5617,16.3149,4.2688,20.3933,35.5595,317.3591,70.9041,65.9856,21.3512,30.7598,335.4361,155.1636,151.9565,683.6003,243.6118,18.7599,102.7633,64.6078,24.4785,1033.8377,1861.6361,1156.5361,75.8977,830.5436,1312.9542,17.853,66.2758,700.6916,175.7128,166.3633,827.423,69.8361,368.7717,14402.9744,846.9992,42.5829,190.5088,751.6861,533.9374,0.0
DEU_J58T60,24.2963,0.1372,2.6963,9.792,0.1829,420.6612,34.2666,6.5568,111.005,64.6037,248.7371,286.3385,74.9274,66.7938,81.0082,133.513,240.6125,149.859,261.3956,468.6609,102.4817,107.1038,138.3954,309.0893,171.5187,1684.0756,241.0617,39.0419,38.4449,197.9345,99.8663,742.8149,8765.5627,270.8934,1292.4791,975.0097,206.4543,7986.6913,1640.324,2277.8677,1503.6229,1532.6101,1215.1358,632.5712,0.0
DEU_J61,99.6239,0.6966,80.5534,59.9002,1.0609,273.4816,22.3979,42.9319,146.577,50.1364,339.2932,200.9615,229.4238,219.8176,153.2738,371.0095,565.4088,414.849,776.366,901.0214,148.2762,284.3691,263.7881,233.3443,541.5572,2782.0295,323.5187,35.4483,72.5673,397.8379,1761.1263,1003.2251,2752.0964,17311.0946,1456.2621,2024.9606,633.012,3028.3285,3954.2614,1885.3712,178.9331,751.5977,719.1022,432.5451,0.0
DEU_J62_63,61.2431,1.2043,61.8884,51.7378,1.1139,861.4661,150.5864,100.2815,575.0474,203.8618,1895.3357,1566.0014,513.4264,402.2565,622.2047,1400.3196,1576.6937,1427.0353,3329.5308,2968.3063,481.0279,1007.5911,938.7418,1816.8407,1004.7433,7633.2145,1539.5067,59.0641,540.0611,2662.7372,1526.9375,541.3837,4466.7416,3738.717,37489.0876,8613.5721,633.814,12798.699,4450.0728,6226.8948,3066.5399,4237.1819,922.7542,808.2415,0.0
DEU_K,1341.4876,5.651,74.2573,148.5805,6.8375,2047.0936,197.769,369.3362,807.9948,504.8689,1645.5552,898.5814,911.925,646.5296,751.7646,1208.3477,895.3939,985.6529,2427.6635,3444.9484,390.1314,1006.9067,2283.7733,1157.2579,5839.6946,10176.8829,4669.6301,273.8164,297.5785,3424.4645,492.2713,1749.3126,842.7939,943.3418,1373.0207,66406.309,24864.7585,5671.9435,4598.6095,4758.021,1744.3545,4229.5315,595.5727,2205.686,0.0
DEU_L,567.8598,0.9461,28.9635,39.011,1.4472,3460.6358,391.9397,464.8189,1114.5541,238.7136,1420.9945,987.2925,1161.0848,931.1417,709.9956,2192.786,1121.2591,1310.0381,3643.3704,5357.2632,450.3461,1603.3505,2546.0096,1123.9343,24166.8106,32879.3926,1091.6191,72.5116,96.9412,2803.6656,664.0603,6589.365,1779.9672,5656.2853,1242.4028,12473.0313,16146.2738,16288.8959,9843.0502,7414.4451,862.1378,6602.5093,901.9883,1875.4701,0.0
DEU_M,1009.8314,2.2946,225.252,409.0221,18.13,8038.6582,681.2782,464.0682,1557.7836,1303.4646,6180.178,4828.8389,2748.9795,2364.622,1740.272,2709.2502,3372.6913,4782.0619,10455.221,11169.1095,1328.3513,3314.7109,4059.7855,4787.0422,5683.6852,16237.177,3074.817,121.0615,302.8435,2526.0419,539.4053,724.5568,2805.9222,1636.2465,4903.7674,19880.5364,16478.1414,76475.6465,20236.0991,5309.9573,1670.2502,2801.7768,964.75,1209.5001,0.0
DEU_N,5648.5061,7.8723,177.2748,346.4142,14.6989,6563.982,632.2677,844.6403,2354.9152,696.0229,5128.5243,4736.0136,2726.5366,2174.1138,1812.6467,4398.1751,3033.2553,3493.7589,9210.7079,10973.8368,2520.1548,3762.6112,4461.9253,3650.2554,12757.2756,27394.2051,5444.1773,1675.8205,1360.4436,7858.1941,1402.8597,3181.6859,4997.6978,2440.6684,3232.1798,14028.3359,3939.5318,10534.4149,20119.6868,9482.6935,2636.2997,10030.0273,2481.6033,2859.5691,0.0
DEU_O,483.3991,3.2317,108.0701,118.3106,0.5041,1719.8603,163.2931,211.869,545.8109,262.5426,1401.7327,788.7135,579.5105,646.831,545.8187,617.6601,558.9826,668.6102,908.1024,1559.799,140.8958,487.3355,10749.2597,1071.7415,4995.9372,2089.91,718.8001,54.1645,63.8016,580.7302,117.4551,686.8018,366.5251,227.7015,686.0872,828.2747,2470.9142,8411.5513,2750.8091,9076.6875,469.964,1059.3876,264.0119,811.9229,0.0
DEU_P,34.7998,1.1882,1.1496,0.8437,0.1742,195.9743,28.8526,40.5006,3.5591,48.1291,251.7223,217.6761,25.9457,3.8678,3.7134,159.1253,124.4661,293.1945,428.5195,1603.0229,110.3961,98.7954,54.4751,36.8692,22.0039,85.6463,130.6502,23.9394,79.7957,38.4362,123.4149,2.5667,178.5447,274.2002,901.481,1953.5231,577.6941,2749.078,207.4012,5011.652,16673.9105,873.3339,174.1699,397.116,0.0
DEU_Q,111.4356,0.0041,1.0246,1.4027,0.1861,24.2785,1.0513,1.0108,3.2986,4.1566,55.8377,33.5079,21.8543,3.3433,24.2531,13.1326,34.8318,25.7211,42.463,153.2547,4.1059,19.9862,21.5853,23.4199,5.2049,160.0468,7.17,2.5557,5.8664,5.9148,3.0966,104.7818,15.4664,9.02,72.6358,33.5187,1.9766,184.5737,48.3627,435.0868,598.7926,15911.6613,349.7745,393.0267,0.0
DEU_R,18.5982,0.2534,1.6879,2.8704,0.0494,412.4996,16.9436,7.5345,42.9367,6.0364,38.0755,36.5427,14.3847,6.4746,13.7538,11.1113,13.7243,14.7984,34.8425,106.2775,10.5931,24.1914,106.0013,22.208,91.5611,53.3343,9.8699,3.9978,6.2459,18.1892,19.5435,393.2931,4347.0755,112.3889,25.7459,695.5757,100.3794,568.9031,97.6806,5585.7122,1122.3302,225.2531,8606.3441,1017.1162,0.0
DEU_S,126.4147,4.7657,31.9775,39.8077,0.4453,568.2393,90.8693,40.7424,201.7497,131.7751,412.5492,403.0301,151.4291,119.0843,165.507,173.2591,292.7958,222.3803,327.9998,395.0988,48.8526,159.3189,342.8448,411.3345,1072.9493,2753.4838,289.3803,33.5825,59.5316,601.8926,7.5281,826.3452,258.6573,143.0043,343.5447,934.5648,127.296,3185.1588,671.0156,413.1097,197.4687,2152.1389,724.8496,6338.4426,0.0
DEU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
