V1,SEN_A01_02,SEN_A03,SEN_B05_06,SEN_B07_08,SEN_B09,SEN_C10T12,SEN_C13T15,SEN_C16,SEN_C17_18,SEN_C19,SEN_C20,SEN_C21,SEN_C22,SEN_C23,SEN_C24,SEN_C25,SEN_C26,SEN_C27,SEN_C28,SEN_C29,SEN_C30,SEN_C31T33,SEN_D,SEN_E,SEN_F,SEN_G,SEN_H49,SEN_H50,SEN_H51,SEN_H52,SEN_H53,SEN_I,SEN_J58T60,SEN_J61,SEN_J62_63,SEN_K,SEN_L,SEN_M,SEN_N,SEN_O,SEN_P,SEN_Q,SEN_R,SEN_S,SEN_T
SEN_C20,87.3899,0.6578,0.4188,4.5077,0.1641,13.1499,1.0393,0.0781,1.0042,0.6632,58.9316,1.3044,24.5773,20.2246,0.1731,0.2911,0.0005,0.0227,0.0445,0.005,0.0231,0.3868,0.1111,3.2854,48.4423,2.3117,1.2947,0.0165,0.1926,2.8496,0.0087,1.6743,0.0498,0.6474,0.1207,0.848,0.219,2.697,3.9201,1.599,0.5201,2.3993,0.052,0.1695,0.0
SEN_C21,0.141,0.0003,0.0,0.0005,0.0,0.2047,0.0009,0.0003,0.0002,0.0001,0.0006,0.55,0.0001,0.0009,0.0001,0.0002,0.0,0.0002,0.0,0.0,0.0001,0.0003,0.001,0.0002,0.0042,0.0029,0.0007,0.0,0.0001,0.0004,0.0,0.0013,0.0001,0.0009,0.0001,0.0003,0.0,0.3006,0.0003,0.0065,0.0688,1.6166,0.0042,0.0072,0.0
SEN_C22,2.9383,2.0053,0.0218,0.7788,0.0525,68.0834,2.2,1.2778,0.3734,0.0467,5.7797,0.3882,10.8749,1.7024,0.3094,1.0614,0.0001,0.0134,0.9404,0.0438,0.095,2.012,0.5188,2.3662,3.5834,6.8457,0.3543,0.0604,0.0562,1.2008,0.0088,0.363,0.0284,4.1637,0.7136,0.9121,0.1415,3.1112,1.2514,0.2954,0.4251,1.0235,0.0281,0.0751,0.0
SEN_C23,3.1921,1.3697,0.0163,0.4742,0.0208,12.4887,3.9923,1.0444,0.4657,0.0054,7.2864,1.3911,0.9289,61.8009,0.6548,0.9616,0.0033,0.1146,0.0482,0.009,0.1881,0.5275,0.822,5.5405,398.6842,7.1721,0.2006,0.0032,0.0154,1.1888,0.0233,2.4985,0.3081,4.0792,0.2842,4.5009,2.1269,3.4511,0.9768,3.9524,1.1587,2.0401,0.1847,0.2082,0.0
SEN_C24,0.0,0.0,0.0079,0.2861,0.0,0.8084,0.0002,0.088,0.0,0.0,0.0,0.1603,0.0029,0.6041,4.4701,8.3924,0.0,0.6594,0.0071,0.0047,0.1598,0.0809,0.0,0.0039,11.3784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0086,0.0,0.0,0.0049,0.0065,0.0245,0.0
SEN_C25,0.0,0.0,0.0702,2.4648,0.0,9.6635,0.0014,0.9481,0.0,0.0,0.0,0.7433,0.0137,2.7032,2.2252,13.5035,0.0,0.0,0.0266,0.0197,2.0933,0.3799,0.0,0.0206,80.0722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193,0.0,0.1172,0.0,0.0,0.0737,0.1343,0.2903,0.0
SEN_C26,0.0152,0.0051,0.001,0.0162,0.0004,0.0648,0.0075,0.0025,0.0283,0.0006,0.0157,0.001,0.0014,0.0134,0.001,0.0028,0.0035,0.0783,0.0052,0.0,0.001,0.0036,0.0147,0.0179,0.0752,0.0142,0.0132,0.0015,0.0048,0.0125,0.0001,0.0151,0.0008,0.2725,0.0113,0.0325,0.0021,0.0402,0.0638,0.0438,0.0099,0.0182,0.0005,0.0012,0.0
SEN_C27,0.04,0.2029,0.0555,1.4271,0.0101,0.8624,0.0655,0.028,0.0577,0.0017,0.7518,0.0135,0.0638,0.3731,0.0324,0.0874,0.0026,0.0281,0.0268,0.0032,0.006,0.1083,0.4424,0.302,6.6662,0.5493,0.6308,0.1117,0.4158,0.5092,0.0062,0.3641,0.0187,2.9251,0.0514,0.0322,0.0902,1.5647,0.7578,0.0428,0.103,0.2939,0.0508,0.1139,0.0
SEN_C28,0.2203,0.0588,0.041,1.212,0.0105,0.2837,0.017,0.0154,0.0216,0.0437,0.196,0.0047,0.0176,0.3825,0.008,0.024,0.0,0.0082,0.0675,0.0011,0.0011,0.0375,0.1625,0.0872,1.5917,0.1556,0.172,0.0318,0.1174,0.1492,0.0018,0.0982,0.0054,0.8105,0.0222,0.0321,0.0285,0.5362,0.2008,0.0511,0.0658,0.1078,0.0045,0.0094,0.0
SEN_C29,0.0137,0.0064,0.0026,0.0795,0.0007,0.0242,0.0015,0.0007,0.0017,0.0092,0.0193,0.0004,0.0019,0.0242,0.0009,0.0028,0.0,0.0009,0.0001,0.0004,0.0002,0.0053,0.0143,0.0092,0.2123,0.0167,0.0272,0.0036,0.0135,0.0163,0.0002,0.0105,0.0005,0.0118,0.0016,0.0007,0.0031,0.0505,0.0207,0.0008,0.0067,0.0195,0.0007,0.001,0.0
SEN_C30,0.0,0.4066,0.0,0.0,0.0,1.2874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN_C31T33,0.1483,1.4637,0.0454,1.9458,0.0554,4.6655,0.8763,2.7748,0.4049,0.0013,0.7839,0.0744,0.2577,0.5457,0.1873,0.5128,0.0003,0.0109,0.003,0.0018,0.8689,4.8017,1.1833,3.0606,2.6231,1.3465,1.0397,0.0691,0.2293,4.642,0.0227,0.6959,0.1367,0.6562,0.5215,3.5803,0.1222,18.6609,1.206,12.6825,12.0174,2.792,0.4144,0.6161,0.0
SEN_D,22.3259,9.5963,0.1115,3.3166,0.1444,79.6095,27.9097,2.6993,3.256,0.0357,31.607,0.7142,6.5007,120.6898,1.9643,1.9976,0.0228,0.8007,0.3367,0.0631,1.3163,1.7918,5.7538,38.8078,6.7793,50.1697,1.3954,0.0227,0.107,8.2863,0.163,17.4594,2.1571,28.5318,1.9881,31.4954,4.3022,24.1286,6.8295,27.66,8.0958,14.2598,1.2913,1.4552,0.0
SEN_E,23.1879,0.1352,0.0503,0.54,0.0137,5.576,0.6866,0.2169,0.1326,0.2058,1.3543,0.0525,0.311,2.5746,8.9016,8.1647,0.0,0.0881,0.007,0.0029,0.1401,0.213,1.2546,7.9006,7.2294,9.5811,1.1164,0.1346,0.0375,0.8338,0.0217,3.0592,0.1197,0.4377,0.0926,2.0269,1.0767,5.819,0.733,29.3979,4.7957,3.937,0.3157,0.4204,0.0
SEN_F,0.9272,0.0301,0.2183,1.5014,0.1179,5.1441,0.2055,0.5046,0.2302,0.1049,0.2002,0.002,0.1038,7.9911,0.0129,0.0287,0.0004,0.009,0.0106,0.0037,0.0091,0.2249,0.3193,0.1091,326.3471,4.0079,0.2756,0.0016,0.0062,5.3792,0.0001,2.4385,0.063,1.7043,0.1727,1.8309,9.3094,3.1629,1.25,0.1174,1.0662,2.0935,0.1761,0.2053,0.0
SEN_G,76.3392,19.1657,2.204,48.3507,2.1632,306.8526,38.2238,9.3249,9.8972,2.8545,27.0472,2.1297,5.7899,38.6843,2.5865,6.0801,0.2077,5.0465,1.4696,0.0858,3.1715,9.7917,47.4083,22.1653,144.1541,64.1708,57.3286,1.951,4.445,34.5549,0.5269,58.8059,3.8899,40.1821,4.4963,20.3755,5.3967,68.3223,25.2267,67.0283,24.0981,27.1952,2.382,3.8021,0.0
SEN_H49,21.1348,1.8575,1.4769,17.8188,0.3987,42.3736,4.4461,3.1365,1.1929,0.7342,15.367,0.9628,1.1359,9.0491,1.3255,2.9835,0.03,0.4966,0.7075,0.0346,0.6959,1.9313,7.0321,2.8265,28.9033,81.9372,5.226,0.3034,0.5693,16.487,0.769,8.6591,0.4581,13.2949,1.972,3.0091,3.2254,16.093,6.011,6.6811,5.4518,11.1395,0.5865,0.9976,0.0
SEN_H50,0.2034,0.0239,0.0109,0.2224,0.002,0.0619,0.0836,0.0377,0.0544,1.5913,0.0587,0.0161,0.0092,0.0084,0.0167,0.009,0.0014,0.034,0.013,0.0006,0.0239,0.0495,0.7812,0.0681,0.3022,0.0228,0.3107,0.0016,0.0497,0.008,0.0075,0.1658,0.0084,0.2584,0.0164,0.0493,0.0214,0.1293,0.0417,0.1602,0.0565,0.0827,0.0051,0.0089,0.0
SEN_H51,0.067,0.0068,0.0114,0.025,0.0108,0.1181,0.0245,0.0029,0.0045,0.289,0.0133,0.0118,0.0044,0.0294,0.0044,0.0114,0.0004,0.001,0.0002,0.0036,0.0026,0.0122,0.0763,0.0243,0.0986,0.0359,0.0146,0.0023,0.0121,0.0121,0.0107,0.024,0.0205,0.0145,0.011,0.0231,0.0211,0.0646,0.0344,0.0121,0.0128,0.0248,0.0158,0.0231,0.0
SEN_H52,3.7819,6.1435,5.1214,21.4445,22.66,63.5952,2.8937,1.4308,2.9373,5.1528,7.942,0.581,1.7331,11.9934,0.5849,1.1917,0.1746,0.3475,0.5154,0.0919,0.9751,4.665,3.0899,10.8922,27.9877,214.6597,12.2616,0.9457,0.2868,190.6246,0.9968,2.0681,1.9237,13.0785,3.2701,0.9429,4.0353,48.0122,6.3799,2.2906,1.1581,3.0564,0.2479,0.4392,0.0
SEN_H53,0.008,0.0225,0.0147,0.088,0.0081,0.3192,0.0141,0.1431,0.0566,0.0632,0.0738,0.0575,0.0468,0.0747,0.0033,0.0101,0.0,0.0,0.0227,0.0,0.0052,0.0057,0.0,0.0,0.0,1.1067,0.0741,0.0072,0.0083,1.0447,1.2441,0.7646,0.0035,0.4501,0.1147,1.3337,0.0123,1.8814,0.1306,0.4881,0.1782,0.3062,0.013,0.0233,0.0
SEN_I,0.7293,0.1853,0.3453,2.9295,0.1391,3.1388,0.3096,0.0645,0.0921,0.2854,0.335,0.0635,0.0482,0.2932,0.015,0.04,0.0013,0.0758,0.0097,0.0002,0.0287,0.1506,2.1623,0.4618,0.7836,2.2419,3.3515,0.0769,0.1395,3.8709,0.0552,4.3789,0.0562,4.4883,0.4539,8.1651,0.1471,6.9803,1.7933,50.0193,9.892,15.2922,0.8621,1.4601,0.0
SEN_J58T60,0.0365,0.0257,0.0156,0.0563,0.0222,3.9233,0.0377,0.0059,0.0268,0.0014,0.1308,0.0343,0.0108,0.0657,0.0036,0.0083,0.0001,0.0094,0.0026,0.0,0.0113,0.022,0.0635,0.0354,0.0709,1.4061,0.1303,0.0018,0.0334,0.3354,0.0049,1.5114,5.3274,6.1061,0.3566,1.0277,0.0825,32.2996,2.0713,0.073,0.6332,0.0433,2.7876,2.567,0.0
SEN_J61,1.2666,1.7549,0.2717,2.7241,0.2724,8.1485,5.2171,2.047,0.4652,0.1193,1.8451,0.7113,0.2271,1.4391,0.3902,1.2746,0.0,0.2481,0.0429,0.0272,0.1572,1.1741,0.7794,1.0909,11.4214,45.2789,5.5222,0.0751,0.2088,11.0674,0.2725,4.125,2.5606,193.0855,1.5569,19.7006,6.8084,19.1216,11.222,34.2911,6.6639,3.7367,0.8957,1.2735,0.0
SEN_J62_63,0.3184,0.9696,0.3788,3.2003,0.0892,3.1987,0.1526,0.0412,1.6708,0.1992,0.601,0.8383,0.0922,0.2561,0.0176,0.0408,0.0007,0.0472,0.0163,0.0001,0.0329,0.1155,0.6859,1.3325,3.7174,4.7471,0.6629,0.3257,0.3476,13.8132,1.1925,0.4817,0.2398,3.8551,9.055,0.7061,0.2544,3.7304,1.1315,11.1352,0.4659,0.2454,0.1345,0.2942,0.0
SEN_K,3.5073,1.5758,0.8011,9.9491,4.7023,39.8722,1.2046,2.2805,4.7455,6.8739,14.726,1.1394,6.9096,16.9369,2.2576,4.3454,0.0532,0.1043,0.0794,0.2033,0.3867,1.3673,7.4377,9.7427,34.0709,78.1499,24.5955,0.3576,3.7926,46.6723,0.1836,7.5968,3.1479,18.8949,1.965,73.4281,118.1218,29.5576,11.7621,10.8593,1.0392,17.055,2.1911,3.6984,0.0
SEN_L,0.5436,0.4228,0.3624,5.5047,0.8168,20.8116,31.2839,2.9021,0.951,0.0,1.0617,0.554,0.2519,2.4559,0.4456,1.605,0.0,0.0,0.1789,0.0961,0.1926,3.1791,0.9133,2.1583,36.7464,149.7899,7.4414,0.1603,0.5955,21.3531,0.8699,12.2797,4.4522,21.2352,4.1393,20.8117,6.8059,38.4886,11.5793,21.0539,12.877,13.2976,1.0215,1.6355,0.0
SEN_M,23.5689,3.1157,6.552,91.1581,1.6379,50.2324,5.3849,1.8382,1.8076,0.7358,8.6704,1.5518,1.1352,13.3534,0.3881,0.8661,0.0235,0.9753,0.2403,0.0984,2.664,2.2165,9.0655,42.9613,76.7129,28.9779,7.7166,0.2632,1.0073,32.6039,0.4681,11.5382,2.1812,97.0931,9.3215,112.6989,7.7262,323.9639,13.0993,81.4514,16.4477,25.1027,2.65,3.6047,0.0
SEN_N,0.5908,0.5972,1.7042,11.3938,0.6815,34.5465,1.6552,1.2185,0.3152,6.8461,4.2477,0.6822,0.4104,0.7797,0.1772,0.4535,0.0,0.1646,0.1973,0.0993,1.3851,1.7153,6.7128,7.3094,49.5137,18.4353,1.3831,0.2991,0.9402,31.2161,0.6285,5.372,9.6623,81.7429,2.5585,90.9911,3.7436,29.6464,31.0157,10.2676,5.0016,24.8941,6.5782,5.698,0.0
SEN_O,0.2738,0.0439,0.002,0.0514,0.0017,1.0379,0.1388,0.0218,0.0277,0.0007,0.0758,0.004,0.008,0.1045,0.1015,0.0952,0.0006,0.0145,0.003,0.0001,0.0031,0.0217,0.1438,0.1168,0.35,0.1124,0.0998,0.0031,0.0127,0.0384,0.0003,0.2186,0.0098,0.0925,0.0087,0.0454,0.0056,0.1389,0.0346,0.1362,0.0781,0.043,0.0045,0.0068,0.0
SEN_P,0.0586,0.4409,0.0991,0.4758,0.0034,0.3805,0.0305,0.0288,0.0023,0.1523,0.0917,0.0528,0.0192,0.0039,0.0149,0.0317,0.0,0.0284,0.0046,0.0,0.0453,0.0515,0.0048,1.0058,0.4872,1.1009,0.1502,0.0691,0.1153,1.8028,0.0025,0.1027,0.8245,4.4765,0.3276,0.9259,0.0316,2.2365,0.6423,0.204,0.8992,0.6345,0.2374,0.3878,0.0
SEN_Q,0.096,0.0118,0.0006,0.0144,0.0005,0.2968,0.0381,0.0206,0.0075,0.0004,0.0205,0.0011,0.0022,0.0296,0.0009,0.0025,0.0002,0.004,0.0008,0.0,0.001,0.0095,0.0391,0.0085,0.1373,0.0333,0.0272,0.0008,0.0034,0.0113,0.0001,0.066,0.0026,0.0256,0.0024,0.0138,0.0026,0.0376,0.0096,0.0433,0.0216,5.589,0.0013,0.002,0.0
SEN_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3603,0.0,0.0,0.0,0.0,0.0,0.1099,0.0,0.7422,0.0,0.0,0.0,2.0378,0.0,0.0,0.1044,1.089,1.4608,0.1732,0.0
SEN_S,0.0,0.0,0.0,0.0,0.0,0.0,0.1637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2036,0.0,0.0,0.0,0.0,0.0,0.1475,0.0,2.0185,0.0,0.0,0.0,4.0449,0.0,0.0,0.1599,6.0435,0.518,1.374,0.0
SEN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
