V1,MMR_A01_02,MMR_A03,MMR_B05_06,MMR_B07_08,MMR_B09,MMR_C10T12,MMR_C13T15,MMR_C16,MMR_C17_18,MMR_C19,MMR_C20,MMR_C21,MMR_C22,MMR_C23,MMR_C24,MMR_C25,MMR_C26,MMR_C27,MMR_C28,MMR_C29,MMR_C30,MMR_C31T33,MMR_D,MMR_E,MMR_F,MMR_G,MMR_H49,MMR_H50,MMR_H51,MMR_H52,MMR_H53,MMR_I,MMR_J58T60,MMR_J61,MMR_J62_63,MMR_K,MMR_L,MMR_M,MMR_N,MMR_O,MMR_P,MMR_Q,MMR_R,MMR_S,MMR_T
MMR_C24,1.7141,0.1858,54.1227,7.2686,0.3625,0.7176,1.4469,1.8771,1.8589,2.0156,2.6595,0.5418,4.4739,11.4118,297.8417,192.9907,39.061,88.628,84.5472,85.2715,13.2787,45.1218,2.1777,1.9601,159.1193,10.6542,2.4314,0.5723,0.2915,1.5739,0.0215,0.0909,0.3455,1.0439,0.1723,0.4526,4.0163,4.0992,0.8008,1.1822,0.4969,0.6041,0.1731,1.7845,0
MMR_C25,8.8259,1.7552,61.8785,13.5148,0.4964,5.0676,6.1953,6.1827,2.6134,3.9167,3.3432,1.0946,5.1077,8.3875,18.9615,82.9422,22.5531,21.4615,44.2399,50.2992,9.0953,31.0662,2.8266,1.1025,192.0009,23.4243,4.5433,1.3124,1.1825,3.8993,0.1916,0.8297,0.9222,4.7705,0.7997,1.7971,10.1414,8.4283,3.5097,11.263,2.6758,2.6814,0.9839,5.0132,0
MMR_C26,3.6674,0.9766,5.8719,1.4967,0.0514,1.1854,1.7317,0.3671,0.8778,0.8993,0.5991,0.357,0.6927,0.7272,0.7654,1.5609,109.4574,9.3008,4.9216,6.1569,1.2199,5.1871,1.2001,0.236,11.0114,11.0896,1.6507,0.6116,0.9759,1.1785,0.215,0.4793,2.2597,29.6222,5.0208,3.2605,1.4544,7.0032,1.7955,5.1962,2.4504,6.5997,0.7707,6.4636,0
MMR_C27,2.4707,0.7389,7.2645,2.1572,0.0673,0.7069,1.2719,0.4406,0.6206,0.8319,0.4982,0.227,0.7911,1.1752,2.177,3.3946,31.0575,51.6885,12.2673,15.9629,2.1816,8.9347,5.1323,0.3244,57.3505,15.2187,2.7212,0.6707,0.6629,1.3225,0.1181,0.4491,1.0156,13.674,1.2187,1.3288,3.7879,4.5006,1.7005,3.4235,1.2218,1.5981,0.6758,4.6648,0
MMR_C28,7.359,1.2408,39.5944,11.4774,0.3219,1.245,2.2934,1.2169,1.8002,2.4752,1.1253,0.4809,1.3606,2.9385,3.0399,5.5928,7.0799,6.1553,35.6126,16.4563,2.8963,10.8205,2.6271,0.5706,30.4533,13.6329,3.2154,1.3109,1.5372,1.9472,0.1438,0.3662,0.66,3.1861,0.5682,1.2031,2.3876,3.7322,2.0181,3.5378,1.048,1.5992,0.4059,1.9235,0
MMR_C29,2.8795,0.5923,7.1383,2.4239,0.0493,0.7968,1.5257,0.4077,0.4525,0.564,0.4087,0.1985,0.9855,1.0675,3.7933,2.6712,2.6048,3.0163,4.9928,152.6664,1.2998,4.676,0.4242,0.3346,7.793,63.5483,15.3751,0.4966,0.6653,1.8759,0.2446,0.2455,0.3097,1.4477,0.2581,0.7839,1.0339,1.6935,1.97,2.6784,0.639,0.8852,0.2682,1.2992,0
MMR_C30,0.1554,1.0265,0.8039,0.2322,0.0028,0.0433,0.0545,0.025,0.0244,0.0349,0.0201,0.0103,0.0423,0.0409,0.0561,0.1449,0.2706,0.1532,0.3006,1.8023,15.1888,2.9637,0.0437,0.0115,0.5991,1.1878,2.5704,6.0449,4.428,0.5488,0.0152,0.0171,0.0233,0.0787,0.0155,0.0441,0.0661,0.1513,0.2196,4.8147,0.0648,0.0869,0.0512,0.3152,0
MMR_C31T33,17.5736,4.5996,62.9119,17.9448,0.4883,3.3825,22.419,8.1889,5.2184,5.8074,3.4924,2.378,3.4581,7.0716,6.98,7.1963,14.0094,5.7531,9.1397,11.5399,2.9455,85.9199,7.1315,1.8149,61.3106,39.3514,14.9799,7.73,13.1203,8.0324,0.9515,2.6267,4.5005,16.6234,3.2989,18.8617,16.3724,18.9989,9.5025,27.4461,18.3096,69.4891,7.9875,10.742,0
MMR_D,20.296,2.5185,74.2501,32.6932,0.359,3.78,10.2369,5.7863,10.4977,19.8777,9.9972,2.1531,5.8035,19.2427,23.278,7.714,8.1155,4.3652,5.2156,7.7277,1.299,6.5862,105.3509,4.608,11.3082,50.6623,14.0328,1.3599,1.0486,8.6948,0.9194,5.0568,4.0354,24.9217,2.1285,12.9355,34.7259,11.3881,4.9249,33.6075,21.8629,18.0741,5.749,8.3481,0
MMR_E,2.2933,0.3392,5.2457,1.5153,0.0331,0.5708,1.0514,0.379,1.303,1.0109,0.7008,0.2387,0.5205,1.2209,7.6117,1.1486,0.6388,0.3589,0.5092,0.5048,0.127,0.6312,1.7625,4.0459,2.8373,5.7898,1.0611,0.2803,0.1647,0.9392,0.0986,0.8746,0.3512,1.119,0.217,1.5142,6.6039,1.711,0.9406,8.644,3.5469,3.3367,0.7283,1.3895,0
MMR_F,11.2195,1.8018,33.4417,9.756,0.2545,2.1751,3.2766,1.7797,1.4388,4.1632,1.4123,0.6635,1.0776,5.0011,2.1527,2.9943,2.6632,1.7378,2.4662,2.4114,0.6169,4.611,8.8735,2.1152,332.847,28.3926,10.1081,1.8803,2.3032,9.1305,0.5374,2.1194,1.8725,14.8507,1.5034,9.3642,153.6743,13.5285,4.2477,46.3759,13.1248,8.1955,2.6448,3.4826,0
MMR_G,1154.0799,313.9963,177.583,74.1929,2.1072,421.7933,471.9934,46.7263,54.4606,105.4224,67.4182,43.5968,46.5213,62.2258,53.5786,48.5854,96.7088,46.6842,65.9909,115.1333,13.3957,106.0051,27.7243,8.1371,234.9338,1154.8672,247.832,41.1695,49.1636,48.7601,8.2804,133.6392,50.014,137.9385,21.417,52.8727,52.1365,79.8706,72.9236,134.0926,55.9184,105.2864,24.4789,42.5532,0
