V1,PAK_A01_02,PAK_A03,PAK_B05_06,PAK_B07_08,PAK_B09,PAK_C10T12,PAK_C13T15,PAK_C16,PAK_C17_18,PAK_C19,PAK_C20,PAK_C21,PAK_C22,PAK_C23,PAK_C24,PAK_C25,PAK_C26,PAK_C27,PAK_C28,PAK_C29,PAK_C30,PAK_C31T33,PAK_D,PAK_E,PAK_F,PAK_G,PAK_H49,PAK_H50,PAK_H51,PAK_H52,PAK_H53,PAK_I,PAK_J58T60,PAK_J61,PAK_J62_63,PAK_K,PAK_L,PAK_M,PAK_N,PAK_O,PAK_P,PAK_Q,PAK_R,PAK_S,PAK_T
PAK_C20,1377.0236,16.5989,50.1758,13.3807,5.2183,109.271,903.5528,38.8061,177.4063,68.4134,1114.2649,158.6188,553.132,120.8424,51.838,43.9357,59.2607,59.7147,30.0382,61.1049,13.4092,126.8414,41.5193,43.4312,130.1229,140.3619,27.4299,6.941,7.0718,9.9337,1.3029,34.8491,29.9268,8.2359,3.6678,10.2346,34.2681,50.9392,40.0027,58.0503,38.3751,202.5213,15.0816,105.4583,0.0
PAK_C21,79.4995,1.6251,1.6863,0.3317,0.1652,11.8329,18.1535,0.6496,2.6443,1.1228,19.2289,167.6039,6.4884,2.1532,1.2534,0.9227,1.9664,1.2076,1.1722,1.3105,0.3301,3.8916,1.7513,1.22,3.7226,14.285,2.0306,0.9252,0.9016,0.8214,0.1754,2.4032,1.3137,1.893,0.544,1.7668,0.9805,14.8669,1.7604,19.619,6.1052,521.88,1.9327,5.3393,0.0
PAK_C22,148.524,17.308,18.7986,4.4281,2.0695,208.5324,276.9176,13.0499,67.5364,3.9141,77.829,39.9107,293.0522,46.8459,13.1521,31.5783,80.9834,65.9195,58.3105,163.874,17.3533,141.6063,13.5219,25.58,281.9283,289.8092,108.7719,4.3995,6.552,15.9984,3.2714,32.1935,15.0715,14.6671,4.3203,11.753,23.3228,30.2667,21.7488,40.7686,15.304,48.0727,8.4919,48.3778,0.0
PAK_C23,120.9194,6.2208,22.0695,9.1144,3.6705,137.6368,57.8591,18.0101,8.0437,3.4092,45.5193,29.2288,39.482,988.4406,50.4159,41.1611,55.3275,40.7567,25.5026,69.612,14.2297,66.2087,30.1698,24.6037,2180.5008,113.6581,17.6447,4.9896,2.7941,8.9203,0.6094,37.1313,3.7496,10.9324,1.8241,5.3698,108.8898,32.9482,14.4678,45.6605,21.7998,37.5213,6.6633,28.9457,0.0
PAK_C24,26.9152,2.0641,68.6136,4.8712,5.2848,22.557,46.1692,7.9485,16.5365,3.1619,36.3174,6.4368,41.9966,84.4191,1734.7206,1008.6026,195.587,470.7873,456.7579,459.9692,100.7566,340.958,33.7074,62.7261,602.1177,75.3948,18.9288,3.8635,1.6979,8.6389,0.1516,2.4661,3.0359,5.4973,1.0244,2.3692,13.5995,23.5638,6.1065,11.2072,4.1051,6.0955,1.9383,24.46,0.0
PAK_C25,113.9048,15.1466,63.7587,6.7809,5.5706,105.7368,102.2809,19.7312,17.6851,5.1467,33.9478,9.4988,34.9124,46.5478,85.9465,326.4095,81.8428,82.7527,181.544,203.7948,52.1631,163.1706,33.9314,23.6407,553.3096,116.8252,26.6745,6.7743,5.432,16.275,1.1488,19.2521,5.6318,19.3923,3.7495,7.4642,25.8886,37.413,21.416,85.2454,17.7193,22.1483,8.8389,51.7095,0.0
PAK_C26,18.4985,2.8077,5.7246,0.6763,0.5557,7.9797,15.7276,0.9872,4.6891,1.2529,4.3051,2.5441,3.6708,3.5481,3.0819,5.9667,428.1076,36.9882,20.7812,25.5851,7.3091,25.0838,14.4188,4.7246,31.7027,54.9606,8.882,2.8484,4.1259,4.8677,1.3432,5.1703,13.8294,130.0191,25.0827,13.8998,3.7606,34.8982,11.1698,40.2539,16.6809,59.1148,6.8345,71.8724,0.0
PAK_C27,20.5109,4.5687,7.4603,1.0341,0.733,7.5887,16.6355,1.2921,3.9297,1.172,4.4317,1.6613,4.7021,6.0755,9.7915,13.2062,111.2162,194.3237,49.3597,63.3645,12.2383,41.8904,60.5637,6.6412,162.5852,72.8147,15.4849,3.2808,2.8039,5.3526,0.6979,7.7538,5.78,55.176,5.6625,5.5564,9.5407,20.5617,10.4035,25.3337,7.9422,13.3944,5.9543,47.921,0.0
PAK_C28,108.5187,11.0204,48.1116,6.9069,4.3217,22.6668,44.9329,4.3993,14.4652,3.8942,12.3236,4.5821,9.859,18.8504,15.3617,25.1733,30.2189,27.6862,177.6702,79.6532,20.3158,59.0391,36.8439,13.1745,103.6031,74.8566,21.1283,7.5393,7.4725,9.3485,0.9856,6.9548,4.4965,13.883,3.034,5.6281,7.1034,20.0712,14.1833,30.6624,7.887,14.8925,4.03,23.4088,0.0
PAK_C29,22.1623,2.2472,6.7157,1.0971,0.5138,7.963,13.8538,1.1213,2.5044,0.82,3.3438,1.3393,5.0966,5.3523,22.7663,12.3742,10.0496,13.5085,20.3231,574.6734,6.9178,21.404,4.8712,7.4086,20.6854,252.3385,82.8103,2.2891,2.7925,7.098,1.3109,2.8475,1.6892,5.4011,1.1183,2.9469,2.4486,7.7888,10.3664,18.006,3.6843,6.1374,2.0932,12.3134,0.0
PAK_C30,1.584,10.5474,0.8877,0.1413,0.0407,0.5794,0.7867,0.0864,0.1732,0.0675,0.2073,0.0952,0.2718,0.2501,0.2938,0.6428,1.1719,0.6957,1.4317,9.0411,94.0655,14.6119,0.6287,0.3149,2.0358,7.1304,19.3618,28.855,25.1081,2.4895,0.1186,0.33,0.1564,0.3885,0.0923,0.2408,0.215,0.9443,1.514,38.5097,0.4786,0.9006,0.5014,3.6804,0.0
PAK_C31T33,192.3401,33.7268,58.1316,8.1515,4.8159,48.1391,192.9906,21.6875,29.4288,7.1044,27.9786,14.3887,17.6436,32.907,26.2924,23.7698,36.9496,17.5731,31.5586,32.0158,13.6521,278.8213,76.696,30.7509,119.9812,143.0507,77.8317,35.2766,57.6262,26.7636,4.1714,36.7796,17.9333,56.192,10.6129,45.9897,26.7721,58.459,39.9621,133.4277,68.4159,324.057,41.9056,64.4965,0.0
PAK_D,947.4753,81.1859,255.4029,50.5302,13.8664,309.2192,764.171,55.7048,243.9215,108.9416,318.6579,59.9516,124.4262,322.6404,299.431,90.5611,88.5691,50.3182,64.2692,93.928,22.0698,109.0939,3762.9145,242.892,112.0496,845.1731,256.6543,22.9247,16.8627,110.4651,17.2496,397.3421,75.178,307.9306,31.3357,166.7798,282.4359,174.0605,89.664,771.5831,445.1733,497.1922,160.9478,265.7649,0.0
PAK_E,82.5561,8.5219,19.2511,2.6294,1.3868,39.7548,70.6656,4.4149,45.304,4.3366,22.2952,6.7781,14.2435,24.3844,154.6866,18.5616,7.3166,4.816,7.6554,7.0747,2.4082,11.9258,60.8364,367.0783,31.776,111.2914,20.6617,5.0211,3.0105,12.7836,1.941,61.2658,7.3595,15.2516,4.0424,19.4169,53.4053,29.4378,22.3424,229.1524,64.5353,91.618,19.1565,42.1639,0.0
PAK_F,101.3179,7.0916,29.3618,4.1508,2.4696,18.2878,34.3419,4.3042,7.7807,4.8364,11.2532,4.4143,5.6109,19.9087,6.9025,9.374,7.2915,5.0374,7.7281,7.2281,2.7518,17.4357,96.3075,34.5143,896.883,124.6024,51.6221,7.1505,7.3224,34.4852,2.797,36.5157,9.1539,52.9882,5.6708,33.4368,351.0387,52.9603,21.8956,328.7346,81.6038,64.579,21.1572,32.6763,0.0
PAK_G,3393.0711,213.4338,161.8674,27.7308,17.5939,1975.1688,3125.2834,129.8005,304.2598,263.8919,446.206,222.6349,234.1001,293.3243,220.8341,180.175,296.097,161.4033,218.1192,395.4128,60.1876,403.4245,420.2053,133.2159,642.555,3751.8972,1026.4464,154.7827,180.3572,145.9374,34.8128,641.5759,239.202,385.4913,72.5932,168.5119,106.9041,278.2153,271.7925,536.9754,184.9454,466.0227,113.3601,259.166,0.0
PAK_H49,846.2506,48.9169,160.4094,30.0454,10.303,500.0457,419.4733,49.2639,113.145,129.6439,142.1226,31.975,65.3839,174.6284,95.2904,62.7231,53.8142,41.3558,50.7097,82.4927,14.8299,95.0135,207.074,57.1524,227.1687,1106.9276,877.5926,74.0161,49.105,232.225,46.8578,113.2336,53.5997,45.7478,15.2948,65.3406,26.0319,90.6536,73.5385,218.5308,113.5705,105.1269,30.1796,100.01,0.0
PAK_H50,100.5539,31.3481,117.9172,6.8064,2.8756,58.323,84.4758,11.6494,23.0985,69.822,45.1252,5.8775,14.1807,38.3755,27.9753,15.7504,15.9404,11.4432,15.036,18.4594,5.3997,18.8322,49.1472,8.6831,31.8527,426.9868,137.5283,1090.4657,17.33,171.2708,6.2664,13.1673,8.7759,14.992,4.1839,11.3566,5.0105,23.97,28.5882,54.4308,12.5119,16.8808,7.2356,15.5692,0.0
PAK_H51,71.7967,6.1313,21.9991,1.8266,1.4933,33.6309,53.5319,2.9669,10.2042,44.4478,22.511,7.2628,10.6931,12.1302,12.9157,9.8837,14.5813,8.6769,10.9945,11.6898,3.4766,14.9813,50.5704,5.1779,26.3422,109.8272,28.84,10.9814,87.083,36.2264,14.0024,13.9531,10.9278,16.3625,10.5318,35.8739,6.0989,45.0456,56.59,93.1359,27.4724,22.4024,10.3309,26.6074,0.0
PAK_H52,163.7433,31.7194,33.9132,8.1436,3.157,116.1874,123.0793,11.5754,29.459,30.1517,40.5644,11.7829,16.6935,39.5274,23.4289,17.4185,18.1831,11.932,15.1244,27.5655,4.7997,26.4489,42.202,15.5446,44.3312,746.1424,466.7499,338.2209,269.409,367.1905,17.045,24.6855,15.4294,23.4938,5.3051,12.6913,7.5434,32.7973,25.5867,65.3736,11.9116,20.2195,7.7272,22.5742,0.0
PAK_H53,10.0654,1.2201,3.4154,0.3593,0.2068,5.9439,18.5738,0.7161,3.66,0.5975,3.5397,2.0329,1.6415,2.301,1.0995,1.5409,2.9134,1.2551,1.9092,1.8022,0.5784,4.4872,11.8371,4.5332,6.3515,116.7812,10.8391,2.5278,2.5261,12.8785,63.0325,8.6681,24.7721,48.7995,6.1646,71.6739,7.1006,30.6847,16.3813,80.268,17.7832,20.4758,8.4125,23.6803,0.0
PAK_I,26.729,4.5256,17.4891,1.8482,1.548,23.438,60.7564,2.4961,7.705,2.8374,13.1293,10.5907,7.299,9.1916,5.1967,7.3961,12.4296,6.3312,8.9131,8.6532,2.6301,15.5258,24.6843,10.7563,32.1365,196.9031,58.3372,15.7277,51.28,24.6635,4.305,83.3739,24.4817,43.6669,20.7391,106.6263,17.4277,100.0616,86.1309,224.9939,104.7255,132.1142,43.1578,87.7333,0.0
PAK_J58T60,14.2571,1.8383,4.5824,0.6982,0.4954,27.4815,43.6554,1.5178,17.7733,1.4047,8.8939,8.704,3.6384,5.0529,2.4505,3.4336,8.7709,3.7736,4.3054,4.5946,1.7338,10.323,12.5139,6.6265,11.058,183.8814,13.5141,3.6167,5.7025,7.8468,3.5632,29.1381,469.2165,148.6453,31.5535,76.5284,14.1163,201.3667,34.2417,119.0287,124.2146,36.9268,53.4107,54.8115,0.0
PAK_J61,47.7015,8.1248,20.772,1.7886,1.2255,21.5223,67.1627,3.2426,9.8041,2.4095,10.8537,7.0312,6.7355,10.51,4.5292,8.9914,19.782,6.3999,9.3301,9.897,2.7704,16.941,34.6597,13.4889,36.7668,280.8531,49.7552,11.7842,12.1091,25.4982,11.9147,45.5402,72.7651,1528.7839,50.5043,221.2043,32.6823,117.7033,66.6467,264.0379,65.7585,94.979,30.3114,84.852,0.0
PAK_J62_63,10.2633,0.9499,7.0287,0.5969,0.3961,11.1399,25.1223,1.0375,5.0785,1.7634,5.3166,5.1424,2.4789,3.8116,2.2857,2.9087,10.4201,3.4611,3.719,5.4794,1.3414,6.592,21.4587,6.8041,11.7147,102.5443,17.2248,4.4027,7.3163,9.2161,3.7478,10.5487,31.5022,104.3421,106.1241,132.7123,9.9994,60.8544,22.1314,101.0201,25.8629,31.1161,12.5099,27.953,0.0
PAK_K,492.4295,50.7316,129.0584,9.8024,7.1619,108.0825,297.8867,15.8655,50.4939,23.0611,55.1982,29.8715,31.3033,49.7934,35.9075,35.3507,51.3276,27.2263,36.1469,47.53,13.4536,63.1973,193.9245,54.8741,180.1215,825.567,204.0399,59.4475,50.7284,83.9174,15.6856,132.4341,58.4896,163.9573,42.2756,2384.345,929.7274,252.4517,148.5237,548.7696,101.7351,167.5094,59.1666,161.4282,0.0
PAK_L,41.3478,5.6943,21.0889,2.3664,1.073,39.7969,160.5366,5.4696,18.3894,3.5309,12.8691,9.1069,12.1315,16.4303,7.1071,16.6277,20.0126,9.3783,12.229,14.7831,4.9767,36.5983,42.4645,21.8141,66.301,949.3707,67.6351,13.8257,14.6098,58.8559,12.9749,291.1712,53.7544,156.9503,43.2456,252.8049,238.3973,199.9074,99.7945,280.5963,136.0853,178.4865,76.1821,191.4648,0.0
PAK_M,340.6617,20.1761,151.1439,15.0053,19.166,193.5357,335.3219,12.818,51.3067,20.3729,78.8968,92.5635,37.8146,59.8033,33.1022,40.6098,96.3541,41.2944,50.8871,71.2842,21.4915,86.9734,188.8226,89.1981,460.5562,1145.7696,128.3952,44.3997,40.9633,80.3047,14.6983,140.4967,177.6231,364.4507,115.6759,557.2614,187.8196,1095.7028,236.2475,607.4374,171.6451,248.1608,117.3722,216.2611,0.0
PAK_N,141.9689,17.5342,112.6751,9.8427,10.9272,117.9462,260.8648,11.9542,45.6745,13.0748,49.2737,46.8081,34.5781,50.7861,22.8397,36.1978,62.916,29.6035,38.5204,54.3966,13.1999,73.0251,132.3501,72.7096,189.4852,778.1487,225.0808,91.92,106.8914,134.134,27.9126,174.431,118.3587,309.3907,89.0744,356.0544,172.4612,341.6983,439.2983,482.7252,205.4994,315.7493,108.1956,186.1722,0.0
PAK_O,53.1672,7.7951,15.6607,2.4226,1.3467,26.4262,56.7662,3.569,11.0092,3.8736,12.6594,11.1545,7.3839,10.1672,21.8571,8.2979,8.5259,4.9908,6.5033,9.1195,3.0322,13.7013,35.3964,31.4899,44.0176,149.3494,62.8308,16.0524,13.2715,24.7879,4.0571,28.767,16.8503,48.9264,12.3703,60.6184,38.26,68.1351,31.7974,373.0986,45.698,64.2708,20.0189,37.945,0.0
PAK_P,10.1378,1.3265,6.401,0.5279,0.3237,6.4088,11.1857,0.6738,2.1723,0.9466,3.3786,4.2868,1.6043,2.4069,1.8634,1.8583,4.8176,2.0742,2.5811,2.9466,0.9365,4.0174,10.1392,4.1854,7.5125,38.0475,9.2558,2.2784,7.8606,4.9708,1.0519,5.6012,6.8875,20.7214,9.4624,37.4132,4.5511,37.3874,15.4337,124.8532,195.9963,34.2247,8.2194,24.6967,0.0
PAK_Q,14.7178,1.8037,2.2917,0.3125,0.3068,6.6121,12.1619,0.5068,1.7234,0.6645,2.1852,4.0306,1.4535,1.7982,1.2475,1.2591,2.2867,1.0923,1.4296,1.653,0.57,2.9678,3.9469,2.4336,5.2899,23.5169,7.961,1.6738,1.3538,2.8177,0.8203,7.7219,2.8083,5.4856,3.5542,16.0796,2.5615,13.7967,7.3036,82.8408,26.4356,981.4976,6.3599,14.1806,0.0
PAK_R,4.6452,0.5492,1.0315,0.1236,0.0743,4.488,6.251,0.4324,1.2349,0.2794,1.0425,0.8802,0.6486,0.9021,0.4195,0.6176,1.0194,0.5245,0.6371,0.8706,0.3239,1.7043,2.5772,1.5224,3.0489,20.6251,3.0406,1.6194,1.1111,1.753,0.43,12.9803,45.107,10.091,2.4586,9.5288,3.144,17.4427,8.6731,38.1867,19.992,7.4145,166.8457,28.2769,0.0
PAK_S,30.8153,4.837,6.5812,1.1133,0.74,14.7904,35.3886,1.9574,4.9514,1.7086,5.3818,3.0258,3.2827,6.5311,3.0302,3.1751,6.4392,2.7684,3.2302,3.7684,1.1947,8.0232,12.7791,8.4746,12.024,83.3578,19.3269,4.4587,4.7758,9.4627,1.9518,34.2912,13.2395,26.891,12.3602,43.8424,11.0593,37.3263,18.8229,66.1864,28.7155,81.5845,18.2599,131.9971,0.0
PAK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
