V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T
SVK_C27,10.1004,0.0188,0.2944,1.4084,0.0816,10.5047,4.318,2.7325,5.8044,11.9019,3.9513,1.2819,10.989,5.9005,14.7993,44.5913,106.6804,309.2905,39.7942,153.0499,2.3695,59.343,125.615,7.7504,61.2284,59.3517,12.1004,0.961,2.6189,5.1541,0.7044,3.4472,0.8182,10.1876,9.3758,2.506,13.6257,45.086,23.3062,14.317,2.2742,5.5048,2.3966,2.6204,0.0
SVK_C28,15.4659,0.0265,0.4997,3.1961,0.1771,10.6144,3.8561,4.1965,6.6848,7.5177,2.9801,1.1374,13.775,6.5672,16.0355,113.6797,9.002,32.3619,234.461,174.7992,2.019,38.167,10.8796,5.8958,39.7992,81.755,9.1491,0.6437,1.3304,4.4229,0.5442,5.4394,0.7155,0.8887,5.5836,2.1767,6.5118,34.0083,8.5457,22.4506,2.3436,8.9173,1.0793,1.2467,0.0
SVK_C29,13.9098,0.0291,0.1764,1.2587,0.0594,12.9878,5.0321,4.9268,4.4577,4.0937,3.1647,0.9299,35.4152,21.7198,10.3571,64.032,71.5357,63.8636,81.8487,5541.5382,2.7355,28.6923,19.2837,10.1696,38.2424,191.3998,58.5811,0.2167,0.6485,7.8282,0.4184,3.9892,0.8364,2.6179,4.8549,5.9397,8.0535,26.1142,13.6503,9.3048,2.5069,9.8649,1.5542,2.8552,0.0
SVK_C30,0.0299,0.0009,0.0393,0.0879,0.0013,0.0375,0.0709,0.0359,0.0523,0.0002,0.1987,0.0229,0.2711,0.3205,0.0487,0.0424,0.0544,0.0328,1.0517,0.1044,31.3384,12.362,0.1448,0.6743,0.0042,10.6297,3.962,0.0109,3.0264,1.129,0.5133,0.0415,0.0394,0.5167,6.1529,0.0151,0.0299,0.4475,7.7551,0.0298,0.0254,0.0484,0.0635,0.0385,0.0
SVK_C31T33,43.3415,0.0749,1.3815,6.1287,0.3518,44.4378,10.0154,27.7647,31.3699,66.378,16.168,6.9111,42.5885,27.318,83.0816,65.0853,15.7586,15.9564,38.2567,104.6046,3.1603,406.9229,61.9267,39.6974,77.9189,280.5941,44.1252,3.7118,17.142,33.682,3.0349,18.4044,5.438,1.9046,12.8967,10.5941,27.7472,71.7435,66.4986,74.9973,12.2547,88.3884,11.5176,6.1881,0.0
SVK_D,121.8029,0.9172,2.0161,16.1205,0.4529,105.1216,28.4877,10.7483,95.3462,80.6704,96.5361,17.997,96.1085,63.8782,405.1309,87.297,11.9062,7.5918,66.1451,108.2329,4.6671,33.523,4757.7481,60.9748,32.3073,477.9544,29.9027,2.3684,1.0151,34.9162,9.6003,183.6962,8.2954,44.2218,18.601,109.8675,146.1778,95.7213,45.8225,231.4181,152.7274,115.5361,41.4634,26.0435,0.0
SVK_E,5.4445,0.0557,0.1131,0.6025,0.1106,29.6579,5.3624,1.198,5.7584,3.8954,12.6001,5.0997,7.0331,4.8335,68.2055,7.7861,1.9356,3.0488,6.2925,19.7346,1.5652,3.7986,37.98,230.3724,25.6705,52.3911,8.7636,0.1959,0.1385,12.3618,1.5865,6.6258,1.0967,1.1591,6.0025,2.4767,11.9028,29.0351,8.9133,278.6664,17.5905,19.4829,3.4302,25.3344,0.0
SVK_F,60.3213,0.1028,3.7692,26.6298,0.479,35.6684,10.5439,46.9461,7.9527,26.3139,8.8146,2.5747,23.2035,65.3612,52.1314,148.6294,11.7487,50.9706,29.0918,67.5092,1.6051,72.055,88.9419,52.8962,6294.6171,505.4607,329.8853,0.8074,1.3725,246.1416,6.9077,26.4385,1.6,5.1501,40.1077,14.3632,561.3778,472.2468,205.6207,221.9167,63.4884,35.5734,19.7371,58.5954,0.0
SVK_G,261.6714,0.8473,1.6873,11.0154,0.5383,395.2465,121.2101,86.8171,109.281,152.7859,127.3384,15.4168,258.1299,120.9435,174.7667,325.4859,268.6722,166.3002,266.3036,940.7944,20.0109,184.4474,381.3482,37.3041,370.9753,550.6575,210.446,3.2132,11.5131,96.5601,9.9203,92.2013,36.265,33.3933,79.4417,64.7971,88.6863,326.8262,138.904,112.1351,43.4679,92.2703,33.7436,30.0656,0.0
SVK_H49,31.7984,0.2233,2.1254,18.2268,0.424,88.1357,17.2579,21.1967,35.2717,65.4287,31.3481,2.5195,61.4308,51.3898,94.774,71.5794,27.1527,23.5327,57.9457,217.0956,3.5178,23.318,70.364,18.2924,116.2269,327.1993,411.7158,2.4439,3.0805,637.848,44.6182,9.232,4.6341,2.7104,8.2405,7.8964,14.4495,50.8243,57.6759,32.5614,8.2034,12.1916,3.8098,4.4593,0.0
SVK_H50,0.2638,0.0022,0.0035,0.0204,0.0028,0.3783,0.0511,0.0755,0.0906,0.6244,0.1346,0.0079,0.3238,0.1426,0.3475,0.2692,0.2074,0.1494,0.2349,1.2974,0.0238,0.1284,1.1257,0.0691,0.3136,1.1469,4.3505,0.1028,0.1501,5.3366,0.03,0.0891,0.0181,0.0265,0.0233,0.0329,0.0524,0.3427,0.3502,0.3232,0.1667,0.0594,0.0075,0.026,0.0
SVK_H51,0.3521,0.0078,0.0056,0.0429,0.0079,0.558,0.0632,0.1573,0.1831,1.5987,0.287,0.016,0.6088,0.3646,1.0769,0.626,0.569,0.3497,0.5432,3.0023,0.0395,0.2486,1.8074,0.0442,0.4714,0.6825,0.5595,0.0178,0.0216,0.479,0.0029,0.104,0.0126,0.0153,0.0112,0.0256,0.0925,0.1892,0.0868,0.0383,0.0249,0.1017,0.0131,0.0264,0.0
SVK_H52,18.0878,0.1109,0.7754,5.6036,0.3282,44.4706,5.3848,7.9075,14.3798,88.4326,15.838,1.0694,37.3203,15.9344,50.8401,24.9955,16.0434,9.3765,21.0223,67.5128,1.3479,9.0458,103.2089,13.6998,129.2272,236.3639,805.8642,17.8173,25.8584,1013.4631,12.2238,6.2891,3.477,5.1756,4.8098,6.2315,12.2165,96.3662,66.4366,59.7872,28.8798,4.3629,1.5265,4.4615,0.0
SVK_H53,1.4218,0.0198,0.0378,0.3042,0.0213,4.461,1.9651,0.5109,2.8932,1.6688,0.8233,0.5398,1.3838,1.0933,1.67,2.0259,1.0923,0.7036,2.5553,3.7633,0.2033,0.8439,5.7778,2.9672,1.732,60.7264,6.265,0.0893,0.3037,8.1531,201.3826,2.5597,5.7107,16.8086,3.3468,56.1941,3.3849,16.8877,6.2374,35.7536,1.6832,1.3522,1.0507,54.1093,0.0
SVK_I,0.6684,0.0092,0.0249,0.1171,0.0592,2.0365,0.3182,0.2428,0.629,0.2798,0.4252,0.4046,0.5781,0.7147,0.3354,3.5834,0.3712,1.0626,2.2456,2.8694,0.0921,2.982,0.0463,0.8129,12.0738,22.5089,22.1529,0.0956,0.4662,7.7476,0.1665,45.8095,0.7189,0.3229,4.65,3.8922,0.6291,9.9631,109.6204,50.8773,24.8771,20.3277,4.2803,10.3581,0.0
SVK_J58T60,0.9838,0.0048,0.0193,0.1254,0.027,13.0131,0.8701,0.6251,2.7172,1.501,0.6376,0.4245,1.4277,0.9085,2.0699,2.5953,2.5159,0.974,2.1149,15.5128,0.1406,1.3419,2.5134,0.9212,3.358,59.1181,2.0903,0.0468,0.1848,3.1804,0.7918,1.5222,136.5239,15.6339,49.8586,13.4228,5.5676,89.1774,17.3721,30.7609,27.2042,2.9463,12.21,3.9401,0.0
SVK_J61,2.8926,0.013,0.0279,0.1882,0.0698,4.3866,1.2245,1.2708,1.6465,0.5815,0.9948,0.4173,1.6097,0.9095,1.5539,3.0882,1.6707,1.8701,2.0754,6.5212,0.1604,1.4644,3.9424,3.0408,7.2267,61.2936,6.7795,0.0849,0.2037,6.4817,6.5139,5.5249,41.8519,338.66,34.5463,24.7237,3.4962,24.8473,9.1618,87.2944,9.6732,8.4872,4.2508,11.5961,0.0
SVK_J62_63,8.155,0.0161,0.0987,0.7321,0.0908,23.9651,3.4756,2.569,28.8913,13.4513,4.557,2.4268,9.7629,5.5673,16.1903,20.8758,9.623,9.4955,14.2483,130.2234,0.805,9.0422,29.1127,7.8512,24.1239,261.9446,29.3307,0.2723,0.4421,17.9997,9.4449,14.6939,108.0833,116.0397,803.8713,176.4068,22.026,266.1317,173.3917,75.779,13.4155,12.4211,40.5707,6.4746,0.0
SVK_K,43.7676,0.0401,0.2149,1.4637,0.5634,27.0712,8.4403,7.7763,9.5871,30.0776,9.4581,1.7276,33.7459,13.2869,21.9126,38.8603,37.233,21.156,32.304,237.7982,2.7084,16.3594,65.016,30.3341,88.2046,145.8347,80.3861,0.6327,5.0679,29.4971,2.3591,13.9156,5.3237,10.5651,60.4469,1221.5077,476.036,73.9906,64.2499,68.0437,16.9903,27.2939,27.0656,25.5302,0.0
SVK_L,109.4654,0.5875,0.6393,8.6056,0.1711,62.0428,29.5313,12.7263,15.3505,12.8893,14.3764,2.5783,37.2619,14.9417,7.733,44.6549,9.9839,4.5641,30.4056,55.0127,1.5643,27.8185,43.5356,32.7259,45.256,1246.0097,57.2403,1.7583,0.346,79.5998,7.3693,96.3494,21.0871,74.3382,86.2132,162.4801,1230.9936,398.0945,111.6409,107.512,89.293,131.6355,78.3859,68.4105,0.0
SVK_M,73.1424,0.219,0.9659,7.7076,1.1915,162.5605,38.8715,18.1195,60.1716,53.748,43.235,25.5699,118.1891,46.2055,96.561,108.7065,62.6693,59.6461,111.6558,859.4154,7.8259,55.2674,534.277,63.5586,426.3645,1496.1538,101.2724,2.4055,3.8664,80.0495,12.8721,77.2718,51.1873,92.8894,210.9386,243.8556,218.5339,2407.7219,400.3153,113.7358,54.1752,76.3466,90.6511,49.9447,0.0
SVK_N,99.8431,0.088,0.5709,5.3978,0.6159,111.7988,21.117,16.0399,55.0948,35.288,23.5694,7.4668,67.7083,25.7711,39.9116,97.2555,50.8202,36.5268,65.7507,303.8781,4.4879,49.5774,82.4863,33.9343,193.5411,707.9179,114.2292,1.8438,12.2661,82.8173,11.901,51.0587,34.4775,59.2589,109.5186,159.253,139.3586,335.1722,1365.0038,93.6188,47.1087,51.9154,75.0509,38.7408,0.0
SVK_O,11.1034,0.0261,0.1802,0.9157,0.0527,57.2452,19.2436,3.0424,4.1275,1.6794,1.1444,7.4895,6.3491,5.84,3.1312,19.1878,1.3711,38.3303,1.9977,10.1641,0.2264,3.37,11.156,16.5617,24.7842,328.2723,35.3967,0.4081,0.651,2.2406,0.1484,17.1014,1.4878,0.4633,79.7911,43.4112,14.9235,74.0966,176.9471,535.9049,4.9432,32.9309,8.701,4.3599,0.0
SVK_P,5.1861,0.0316,0.0624,0.3965,0.0369,7.017,1.44,1.7231,4.6167,3.6202,2.2804,0.7799,4.4598,1.8436,5.1705,5.884,5.0343,2.0855,3.8656,16.0481,0.3012,4.3638,27.7757,2.8106,11.4514,38.3711,20.0357,0.4649,1.2057,20.8765,0.8342,2.8119,1.6003,3.5258,12.0575,21.6525,5.9854,29.3052,19.3146,35.166,146.0969,13.4423,7.4987,25.0711,0.0
SVK_Q,2.2038,0.0213,0.0274,0.1584,0.0198,2.2267,0.6618,0.2874,0.8324,0.6916,0.6305,0.294,2.0874,0.5698,1.0843,1.3478,0.8299,0.8022,1.123,3.8219,0.0838,7.4809,5.2512,0.7653,5.0959,16.6313,1.6779,0.024,0.1959,0.7742,0.18,0.9662,0.4307,0.6115,1.7712,2.3031,1.4279,10.3456,4.8936,9.4492,4.1754,874.6216,2.4879,63.0677,0.0
SVK_R,2.139,0.1564,0.0278,0.2428,0.0127,6.9792,0.9287,0.5162,2.1608,1.085,0.764,0.2374,1.5543,1.081,1.2962,2.0956,1.2874,0.8963,1.4056,5.3502,0.1057,1.8183,2.5221,1.198,5.8325,47.7793,6.198,0.0529,0.1869,7.9154,0.8037,4.5939,12.8249,3.968,2.3267,9.0007,42.2717,66.1993,27.5957,25.1302,7.271,2.241,1271.3782,33.9402,0.0
SVK_S,4.2158,0.2545,0.2219,2.2695,0.0573,9.4794,2.8473,1.3282,2.959,3.1219,2.6739,0.5533,4.4531,2.4496,3.6165,8.5547,3.9546,2.3984,3.6498,8.3022,0.5765,5.0714,11.6592,5.9867,24.0606,62.6411,11.2518,0.5544,0.583,3.6034,20.9628,4.6805,3.8647,6.6585,28.8319,16.271,5.2841,24.7122,13.1689,61.0008,7.7515,45.3116,14.9126,181.8385,0.0
SVK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
