V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T
SWE_H49,1015.1205,4.0244,23.1209,184.3183,9.2057,383.4354,15.6645,129.6382,244.8397,264.8426,136.3549,67.7049,66.5328,100.4262,263.7545,147.8952,29.8458,57.8643,190.3638,551.3346,30.6869,82.569,161.2471,149.2786,1202.8958,693.0243,1807.2483,59.885,35.6085,6176.0512,33.2215,144.3303,61.9889,36.3394,103.1331,32.4503,126.5589,399.5671,281.7858,261.8958,507.5563,172.3385,100.1872,105.207,0.0
SWE_H50,80.6405,0.2681,1.8996,13.2683,0.7657,37.1117,3.0444,79.2221,96.3967,59.5001,28.2479,14.4304,8.5134,73.9721,58.0048,57.9056,8.6777,21.3117,61.3564,109.1475,12.6437,13.0669,13.5675,8.5558,46.9402,446.4178,20.1773,278.6391,3.5343,506.0163,2.8651,20.1942,18.7708,9.9989,41.8628,7.2249,13.6017,67.4657,58.8274,10.2362,8.6477,46.0803,8.6419,4.5317,0.0
SWE_H51,15.2651,0.375,0.4701,3.2601,0.1607,25.239,2.0334,8.0993,13.1372,86.5578,11.8648,9.0765,7.5179,8.2635,20.9972,17.8204,5.638,9.3616,25.3579,54.6245,6.3975,10.6149,9.3044,5.8899,44.8888,54.912,14.8408,3.9892,5.6635,41.5352,1.2632,17.5602,6.8646,5.2393,16.5378,4.2632,10.1779,51.0609,150.574,15.0115,6.9687,22.7288,7.3076,4.4249,0.0
SWE_H52,159.8692,2.7462,6.0726,36.6412,1.7214,555.4838,18.4926,309.4823,572.7688,51.1156,262.2366,91.3669,98.7527,213.9441,236.8323,135.4155,17.5329,59.2145,254.1193,1012.8086,30.311,108.5148,94.2353,233.3409,259.0026,4016.461,1632.3359,645.4401,422.0877,2432.5538,382.8291,60.3432,198.1953,43.4988,117.6627,57.7832,273.6254,630.3022,112.6226,120.6442,149.7198,132.6163,52.5684,25.9001,0.0
SWE_H53,30.8744,0.0896,0.6204,4.5743,0.2396,12.4558,0.7291,6.993,12.2036,5.343,7.9576,6.229,3.8833,4.3576,6.999,5.7997,2.0426,3.2676,8.4334,18.7804,5.3252,6.6184,27.0871,41.7802,39.3376,798.4742,47.1188,6.4305,2.7117,314.116,130.3462,7.7715,409.225,26.7696,80.0006,76.1857,37.6867,207.5846,69.7174,423.5329,46.5002,41.3125,56.8043,41.2084,0.0
SWE_I,13.696,0.2663,1.0208,6.0295,0.6989,24.3612,5.0465,9.8117,23.8302,0.1831,73.821,42.1534,24.1305,34.4452,34.1962,59.3811,48.3095,66.8187,133.8018,62.0842,11.6329,43.4267,66.6173,149.4081,91.9433,650.3666,21.6525,12.1859,9.7386,54.9878,5.5118,67.9732,26.1615,88.7721,398.3324,131.4151,79.7897,577.0437,1373.3849,235.3644,221.2641,194.0854,117.9522,68.0629,0.0
SWE_J58T60,40.4591,0.8001,0.9645,7.4225,0.3946,130.0312,7.6334,44.1749,104.5333,27.7321,50.6274,90.7922,22.7513,21.8932,65.7955,62.9334,32.8711,216.9594,152.1604,123.9022,23.7361,49.159,73.7727,70.4506,217.8398,1389.5232,67.2407,16.1438,15.8519,115.0852,15.1268,69.3724,1886.4586,266.2415,2280.972,145.2974,149.594,1761.4169,366.4751,240.1557,585.8078,165.3095,215.6936,77.8823,0.0
SWE_J61,13.4137,0.0276,1.4442,8.8795,0.6652,31.8725,2.1347,27.6203,59.4294,0.2467,27.7137,133.5235,20.6709,12.9158,13.6185,45.2165,19.3831,8.3466,190.2712,98.1389,7.0884,37.4835,57.9591,19.3502,96.7237,841.5371,111.6166,15.6665,2.6812,216.6062,10.8321,46.7118,176.9258,3293.0464,508.198,183.3667,125.5139,755.5013,344.8542,555.4084,109.6929,261.8858,89.622,75.2427,0.0
SWE_J62_63,34.309,0.5572,0.8849,10.2744,0.6533,71.4269,4.4163,38.0319,88.5759,12.8847,47.7377,144.1664,26.7155,24.3544,53.0728,87.1838,20.6635,42.4756,239.0997,356.6644,75.0043,45.2923,418.9887,274.7736,555.8882,1807.8241,93.7617,13.7037,37.3424,250.6031,204.362,54.81,2235.8365,496.2657,5651.5641,202.1524,159.7217,1919.3476,446.5801,583.2367,270.3174,322.1183,176.1024,77.1436,0.0
SWE_K,382.0157,4.2447,2.9776,29.7573,1.6419,59.2642,8.7424,126.81,140.9509,13.0562,62.9567,58.9581,31.9586,27.8095,159.799,93.7448,25.5418,34.5348,166.8125,414.238,21.3609,81.413,186.1574,142.71,425.1569,635.4389,230.4857,13.0195,20.3642,308.3003,44.5001,174.9728,85.3987,51.0653,226.1545,2417.0386,4613.719,829.9569,272.5388,457.5505,61.9751,132.9437,114.6416,170.6916,0.0
SWE_L,16.4563,0.0779,2.1659,16.805,1.1598,218.2039,18.5081,93.4136,146.0917,1.4843,131.155,70.7132,89.235,59.8768,52.3349,255.3584,37.8746,104.6368,253.0878,324.503,60.0997,181.6501,533.7033,133.3803,548.736,5181.7743,455.6648,46.3677,67.6763,705.1362,310.6402,1349.5383,321.2893,233.473,796.3084,574.2292,2842.8335,3586.4541,1281.3887,3276.866,3088.0766,3458.4287,1344.2218,519.8598,0.0
SWE_M,214.6373,0.5545,21.5548,110.9433,6.8425,416.9421,25.6441,182.4793,465.9584,22.3468,305.3849,717.6726,124.0609,150.3935,474.6489,362.5648,106.049,264.6302,802.1735,2066.4245,137.1068,229.6755,759.1936,505.2485,6090.8259,5041.4779,363.4345,68.452,48.2823,656.1896,56.3615,303.0776,606.62,504.01,1767.6935,687.5408,1346.8444,8028.0992,1103.1504,1206.5392,304.9372,700.8038,352.0355,293.1043,0.0
SWE_N,93.0711,0.4654,14.5667,93.2358,8.4311,255.3069,10.9911,176.8046,246.975,4.5003,218.3897,349.88,102.1081,152.9201,189.5407,287.9351,108.9808,233.9413,494.8122,730.9469,267.6577,161.2444,403.0558,264.0962,905.6516,3226.2557,426.5707,94.7698,95.4401,643.0887,93.7318,463.7813,358.3826,356.4127,1053.188,403.8512,1993.3181,2485.2335,4045.8624,553.3866,477.0809,1621.1027,460.8717,165.5289,0.0
SWE_O,60.5313,0.3996,3.019,9.2991,0.5289,66.0869,9.8968,67.2993,90.2505,1.484,36.6428,122.9867,34.4455,13.3188,37.2251,129.8656,7.8955,20.1218,128.6456,225.0153,10.5446,59.5844,269.7634,74.3172,467.718,688.2733,193.9679,6.8835,9.6388,306.1356,42.8274,164.006,74.0251,67.283,229.512,136.434,330.6588,527.3064,274.9942,721.2888,1363.4402,1327.3123,328.934,73.019,0.0
SWE_P,28.9608,0.0232,5.011,1.1904,0.0793,17.1183,1.4637,5.999,15.1632,0.3844,22.0413,29.1158,5.4601,6.8377,28.0602,17.6404,5.0207,5.2794,53.2751,42.1467,9.4725,9.5446,16.3433,15.1241,51.9914,144.2505,18.2649,1.5738,107.5088,165.0336,3.4742,12.5838,35.6539,9.827,136.6311,57.0036,21.4893,226.4643,44.2333,454.3851,346.993,218.4978,33.6356,33.4524,0.0
SWE_Q,32.9796,0.2736,0.5918,2.3926,0.1806,24.3404,1.6829,17.1378,22.3233,0.3541,19.6921,17.3317,10.0848,11.7487,20.1618,32.3935,10.9101,22.9099,49.1237,72.5102,8.1538,24.7301,46.2288,21.4581,122.6111,179.5852,12.8529,3.2372,3.2054,32.4334,5.6292,23.8533,28.8036,12.9987,80.0691,31.7605,35.2249,211.3632,67.4623,143.6622,103.1046,2255.6887,42.745,11.3957,0.0
SWE_R,15.9714,0.1101,0.5228,4.302,0.263,26.3617,1.4961,13.9223,29.5381,3.8695,9.2101,27.9365,4.9849,5.8894,8.5841,13.0076,4.2237,6.0771,22.8197,265.7256,3.7573,16.4867,48.1787,25.7545,324.587,217.929,34.9501,4.0035,5.556,134.6881,4.2648,174.6717,196.2257,13.0468,124.0386,50.2056,46.0784,403.5249,146.8322,170.0064,62.5926,109.1185,366.1777,34.0366,0.0
SWE_S,27.2275,0.3442,0.9022,12.4423,0.83,41.4064,3.3271,31.2466,46.3916,2.4117,31.6976,23.596,12.4071,20.0863,27.6879,26.8949,5.2199,5.8399,34.9261,83.892,6.0966,17.348,44.4435,107.8161,83.49,541.1704,96.205,10.2806,5.3013,30.7921,7.6649,258.9908,31.7449,21.5366,118.9699,51.1246,146.6586,350.3283,154.832,121.167,67.407,231.8854,68.4102,354.1949,0.0
SWE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
