V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T
MEX_C28,40.7382,1.4058,90.6854,43.6471,41.5418,232.7085,50.1958,3.8845,26.2855,32.0053,24.812,5.226,35.297,33.6551,102.985,110.9828,457.565,190.7254,762.836,1410.9918,51.2377,133.3665,8.9346,9.1786,483.9505,255.6996,300.0077,13.8752,11.3859,96.0019,1.6592,12.8763,7.847,7.6276,4.3245,12.0663,9.1076,8.0599,28.2092,30.3088,5.6762,12.4893,4.7714,20.7038,0.0
MEX_C29,55.4106,1.4706,39.2135,74.4613,29.4167,223.4487,101.3611,9.5433,31.205,14.5163,59.3757,20.0633,62.4427,69.7726,113.3091,151.843,323.3767,346.0755,315.5731,11040.0914,156.8678,203.2674,55.8722,27.5285,820.5315,785.4317,1238.6799,3.5352,42.2455,58.4104,12.4538,70.9768,57.1653,111.5588,9.5837,6.2711,123.2587,67.3769,121.1478,79.0081,28.0477,34.8162,15.4799,57.136,0.0
MEX_C30,2.0453,32.6263,1.4349,2.2194,1.3556,7.7234,1.0582,0.1523,1.9694,0.5649,1.6691,0.2776,2.8685,1.3338,89.8143,29.1656,16.6761,34.7608,12.0768,234.3629,1218.0852,86.3053,1.1087,0.3062,29.216,23.1575,100.9868,6.9624,87.0131,1.3744,11.2992,4.3376,1.8526,1.0721,0.1898,0.4684,1.149,20.0586,1.637,100.8805,0.4567,0.6541,0.4028,2.0735,0.0
MEX_C31T33,43.494,3.8311,64.5616,93.5444,75.8051,255.4212,159.263,16.5809,82.5574,16.1747,58.5584,20.4279,72.6811,69.1041,65.2019,115.9122,564.1405,165.6587,129.5501,747.2266,54.8744,446.7247,29.5345,16.4826,397.6842,241.1601,83.0045,3.2197,10.6654,30.2447,4.2834,130.2263,75.7152,56.8133,8.198,117.6865,73.7811,175.2193,121.4898,164.9663,93.6754,453.0658,73.6394,30.2518,0.0
MEX_D,281.0391,10.8702,191.0642,835.1438,71.4228,2570.1995,675.8874,124.2487,495.8771,35.2736,527.8032,124.5937,981.7373,1853.3332,1404.618,1015.5637,718.8807,586.9642,328.7737,1768.4019,114.7264,467.5567,89.8799,1134.2684,143.2524,3327.555,220.4081,4.9335,44.993,205.9071,20.3354,539.1093,183.1989,85.9616,22.24,289.3712,477.9599,489.7998,579.7181,1741.9398,832.3664,620.2836,129.7966,201.0756,0.0
MEX_E,531.6405,2.1129,85.4259,59.1718,14.3675,275.2552,31.5044,3.4047,36.6471,0.8997,85.2563,17.69,38.9177,24.433,41.2525,76.2923,80.3229,75.2261,14.7945,131.3755,3.4179,37.5358,14.7638,301.0007,266.9404,444.3172,58.5856,2.5491,3.1719,99.8342,3.2341,207.1623,5.615,1.18,1.1698,70.0462,197.9786,68.7317,98.294,251.8119,253.4102,204.2115,26.7504,36.623,0.0
MEX_F,6.6395,2.6262,45.7888,157.217,175.0359,225.0253,24.1467,7.9851,50.6318,4.0066,47.2878,26.2968,32.2804,33.251,40.5911,62.5675,25.5299,29.7018,19.1023,176.0185,10.3841,34.2617,115.1547,163.5486,7861.868,454.6484,264.5391,18.8751,65.0544,99.7062,30.2282,251.5435,37.1988,12.856,11.9245,180.4783,962.1907,137.038,83.7199,510.1671,244.6954,313.3113,56.2221,63.7845,0.0
MEX_G,4544.7269,222.5557,1512.9984,652.8525,448.4167,17899.3171,2083.6421,481.5759,2343.5216,5551.6988,5255.5137,1676.4922,2653.771,1827.1827,3300.1033,2553.6004,5538.8309,2238.3231,2054.9499,13238.5216,1348.8214,2037.4043,1921.4073,250.5572,7732.407,4214.603,5737.0869,89.1537,1172.5037,410.3374,151.7905,2033.0006,221.2903,359.7444,46.6041,323.9546,702.6647,559.7831,919.1069,1808.7749,411.5439,2223.2511,166.7849,327.6433,0.0
MEX_H49,499.2598,31.1026,203.6155,99.7148,60.0854,2083.6298,166.9952,65.9675,257.3818,979.3761,1095.5724,156.4522,296.9184,379.8512,887.4403,448.4929,510.2622,339.2053,258.5533,3674.921,172.3598,237.0807,275.2479,31.5646,1714.2657,2326.2316,1415.269,8.9172,221.1082,95.9491,28.1753,216.0538,63.1987,42.2119,15.1895,54.1014,91.5904,202.3715,528.4387,520.8871,184.9079,299.8778,41.9937,69.6894,0.0
MEX_H50,3.3872,0.0509,1.6839,0.7595,0.4727,11.3419,2.2343,0.33,2.35,6.8927,5.9364,1.4977,2.9174,1.8452,4.7221,3.0584,13.7847,3.302,2.6856,24.7053,1.2678,2.5618,2.067,0.2494,8.129,2.6663,6.193,0.0437,1.0257,0.6262,0.1579,1.385,0.2793,0.8076,0.0927,0.1904,0.5414,0.6044,1.0076,1.4007,0.4008,1.7324,0.1783,0.365,0.0
MEX_H51,34.5641,3.2933,111.1434,13.6613,8.0431,125.5298,31.0665,3.5285,29.6032,80.0408,74.0735,32.8382,45.7927,23.4655,50.6227,40.8552,225.4314,44.034,39.2456,297.5094,22.3273,32.7049,25.4431,2.9863,122.7722,95.4139,89.6796,1.143,22.0789,9.8624,2.681,15.9856,28.5153,11.6983,2.2713,68.0865,18.9231,56.0156,65.9384,169.5611,17.2261,22.9679,3.9799,4.9579,0.0
MEX_H52,58.0473,10.11,28.6029,10.5626,6.4669,576.433,41.1291,8.5841,65.0775,91.6781,134.9544,157.6103,80.5686,116.6675,105.8139,86.7643,76.6487,92.5318,90.2796,561.3127,26.1012,145.3778,32.793,4.0584,134.0638,1631.4644,1315.4726,505.4277,2048.8006,287.6352,63.8656,45.1919,24.1248,3.9975,16.0406,151.0885,10.1749,51.7627,83.3762,104.1394,49.6981,22.0545,3.888,6.2585,0.0
MEX_H53,0.2961,0.0784,7.6225,12.4386,0.094,67.2634,10.2277,3.6647,6.8863,3.0602,23.9724,17.4232,7.7566,14.8497,21.3738,27.2951,12.8326,10.3786,40.4726,126.4192,5.3935,9.4003,0.4796,2.298,22.8607,161.9602,29.6471,0.1731,1.3556,21.706,51.1203,25.5529,15.7176,223.6044,1.5195,310.2267,273.3227,93.966,71.2313,91.368,50.5722,27.2698,8.6247,15.3448,0.0
MEX_I,4.0904,5.9699,87.6626,16.8928,8.7983,78.8385,15.6528,27.9574,19.2672,7.5652,49.9747,43.1794,40.1516,16.2674,60.4565,98.6127,110.1051,33.7581,92.2549,208.9827,9.7948,49.1562,1.8302,17.2496,297.2622,360.3169,585.0452,64.9122,191.6771,254.9109,58.4623,32.9105,101.4098,161.4,28.0558,154.4208,68.3259,220.8639,293.9991,932.7523,134.9973,159.5649,35.4002,65.8086,0.0
MEX_J58T60,17.9436,0.0258,28.3481,0.6634,1.2435,269.9879,6.9712,0.4413,13.7075,0.2474,28.6677,74.6649,2.0002,7.2913,22.3999,15.2976,11.1846,6.6475,64.7941,99.1687,0.1499,10.3166,1.2525,6.0769,91.8471,499.4093,19.1607,1.0674,13.3733,23.6075,4.9839,58.1413,456.308,5.8696,3.4377,90.8427,190.9411,159.293,66.2247,869.4646,109.0804,80.7145,19.4657,7.7865,0.0
MEX_J61,14.004,3.1044,49.7288,20.3838,18.8547,318.9467,63.6221,13.6383,40.8735,15.6474,61.072,34.8218,37.7271,55.0376,131.8902,121.6975,461.0448,84.0394,113.0265,572.0221,43.9531,109.0787,26.595,12.7034,1129.5765,799.2498,267.2065,10.9311,188.6405,93.4632,16.4617,106.0239,91.5878,550.3115,29.6657,548.0863,480.7644,369.6591,338.5671,1137.2343,224.1774,227.9138,33.5528,108.9946,0.0
MEX_J62_63,0.0617,0.0126,30.9093,13.2639,0.0874,28.1087,2.5936,0.8215,2.9788,0.4537,6.8622,0.2431,1.838,3.3707,16.1677,6.4612,14.5326,4.701,21.1582,63.4896,1.3218,4.3794,0.6604,6.1485,22.7775,60.9376,27.454,0.1578,5.3637,5.4091,1.0098,16.3287,13.2936,54.2159,13.4549,275.1957,35.046,18.7838,5.8144,180.0855,39.4169,51.537,7.3607,6.9323,0.0
MEX_K,327.0411,22.648,92.3316,154.4641,49.2658,700.102,204.0969,11.5447,109.0282,155.9412,326.1348,95.9903,139.9559,111.8743,219.1781,293.2515,587.305,138.1555,202.501,982.878,75.9103,112.401,162.2326,58.4628,1577.1388,2676.059,393.9522,16.4593,95.8974,78.8236,9.2836,348.6812,57.9747,481.4253,70.7144,4406.6018,2513.6582,1418.1516,366.2186,1712.9912,155.5449,240.5543,136.6385,31.5207,0.0
MEX_L,2.5327,2.2403,186.0818,16.9936,18.0815,668.2323,172.2943,13.6098,111.004,7.1902,96.8554,73.6398,131.7392,124.6946,111.3923,181.9226,261.44,127.6949,127.0058,489.5304,26.4331,560.5793,11.5079,10.4856,497.9759,3311.9356,464.6701,60.9114,113.3314,578.6503,41.9655,325.9919,589.9578,892.7927,165.1167,1693.4905,2824.2434,995.1321,738.6109,1499.241,321.5076,549.1809,221.6386,654.1188,0.0
MEX_M,23.8477,17.7725,2080.6068,278.1794,243.0698,1408.8428,107.3549,23.4808,133.6192,671.1031,648.8404,138.2546,128.799,191.783,392.5737,200.9091,472.1294,206.4376,367.231,1310.1673,31.5002,151.1663,151.7064,48.5557,1417.4705,5642.8311,499.6804,26.1039,126.9649,228.3542,56.3584,636.1231,589.7218,510.3315,83.065,5413.439,1214.068,766.6048,1529.1482,3664.7008,421.0575,667.1796,198.6418,160.5697,0.0
MEX_N,53.2693,59.6395,429.0002,724.3783,321.0603,2950.4494,569.3162,41.2865,469.3223,196.5028,981.2047,946.495,1028.2715,1017.9614,552.5407,848.2723,1095.9715,790.5158,450.4781,4221.4002,263.9478,338.3213,164.1376,90.5028,1528.0213,8946.625,1713.3884,379.44,878.266,1048.5909,271.0441,1645.866,1238.5394,578.8199,445.8747,6228.1644,551.9707,1579.957,1509.4519,1695.6125,662.3032,1024.3546,807.2469,239.4843,0.0
MEX_O,0.0,0.0056,0.0003,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7884,0.0176,0.0,4.2835,73.2287,0.0033,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,21.5482,0.0067,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0
MEX_P,0.1035,0.009,0.4145,0.1699,0.1676,3.1875,0.2017,0.0142,0.0891,0.3455,0.284,0.1082,3.0748,0.5206,0.4154,0.2356,0.1924,6.2425,3.7011,9.1096,0.5538,0.1984,4.9874,0.0693,3.1959,5.766,29.9842,0.0426,0.8132,0.1478,0.1439,0.3931,0.2474,0.1649,0.0566,15.2019,0.7128,6.2918,0.684,188.1896,67.7149,8.99,1.1718,0.7046,0.0
MEX_Q,0.0131,0.0101,0.7189,0.348,0.3483,0.6028,0.058,0.0447,0.0936,0.0707,0.1872,0.1192,0.0947,0.068,0.1907,0.1517,0.2016,0.0713,0.173,0.6693,0.0266,7.0727,0.1948,0.2021,9.5216,1.037,0.8199,0.0977,0.1977,0.1876,0.0476,0.4591,0.1266,0.0299,0.0347,0.5565,1.1901,0.3568,0.4989,1.3157,0.4303,211.9692,0.124,0.2148,0.0
MEX_R,0.7511,0.0449,1.5996,1.827,7.4882,7.4252,0.885,0.1092,1.1334,0.1151,2.2529,0.85,1.0943,1.2742,0.7642,1.595,2.2838,1.0916,2.8141,7.7417,0.2524,1.0312,0.1973,0.2997,15.9813,23.9468,3.7021,0.6726,7.9153,1.3826,1.4788,88.0119,84.4622,1.7159,1.0686,5.1887,1.8822,4.0264,2.9088,63.987,14.2239,3.9406,74.8057,23.3608,0.0
MEX_S,0.2881,0.0041,0.6133,0.8763,1.4609,26.074,2.1249,0.9517,8.6444,0.2479,22.1454,1.0726,8.1037,11.7253,2.0416,13.0038,5.0607,11.9977,4.1655,3.9416,0.5363,2.5245,6.4355,0.466,18.3189,22.2494,11.4187,0.0229,4.8469,7.4008,1.2795,21.6981,5.0167,9.4892,7.2774,38.4093,25.3579,18.5762,70.128,205.7807,23.6019,128.8188,10.9893,16.0536,0.0
MEX_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
