V1,THA_A01_02,THA_A03,THA_B05_06,THA_B07_08,THA_B09,THA_C10T12,THA_C13T15,THA_C16,THA_C17_18,THA_C19,THA_C20,THA_C21,THA_C22,THA_C23,THA_C24,THA_C25,THA_C26,THA_C27,THA_C28,THA_C29,THA_C30,THA_C31T33,THA_D,THA_E,THA_F,THA_G,THA_H49,THA_H50,THA_H51,THA_H52,THA_H53,THA_I,THA_J58T60,THA_J61,THA_J62_63,THA_K,THA_L,THA_M,THA_N,THA_O,THA_P,THA_Q,THA_R,THA_S,THA_T
THA_C20,1743.0771,15.9572,4.8929,46.6433,4.261,241.8959,831.1189,86.6889,288.2476,232.5254,3791.4158,260.5106,2540.6918,478.2324,71.7655,162.045,397.4257,204.3376,119.6667,477.8775,116.1921,267.1202,14.4546,44.8583,248.7537,275.919,6.9564,2.3793,10.7543,0.7097,0.3222,104.5658,75.9728,0.5299,6.3748,29.7706,0.9182,12.6852,19.2603,14.0896,65.0698,192.0838,0.8507,553.2194,0.0
THA_C21,169.351,2.8963,0.0,0.013,0.0745,79.8966,0.3869,0.0,0.6354,0.0,26.9137,274.214,0.0,0.6586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0237,0.0,4.1762,0.0,0.3045,2.0719,0.0196,0.8553,0.0,1.8419,0.0,0.0,0.0,1.1581,0.0,0.0,0.3975,1.0067,10.7097,1516.9157,0.6765,7.8182,0.0
THA_C22,259.685,65.4211,6.0069,17.6286,3.1844,660.7038,657.3535,17.7608,87.9756,12.3229,266.1942,80.3521,1831.3826,50.0138,21.0165,117.4832,689.6446,326.759,216.2845,1421.762,479.8351,315.6461,6.0968,11.2912,427.3018,1114.898,309.9246,4.171,3.699,3.3813,2.4322,47.987,25.047,3.3256,7.0525,16.8739,2.7456,9.0887,26.3885,0.0,9.9577,29.9186,0.6906,46.5483,0.0
THA_C23,26.5541,5.4931,0.003,0.8499,3.297,358.3197,1.7688,5.6161,1.2023,0.0011,31.1729,74.1372,1.257,2032.7633,11.6365,68.7196,285.1511,421.2015,123.5048,433.6988,67.2342,36.9064,0.0,11.1067,7942.9907,44.6683,0.057,0.0,0.1586,0.0117,0.0,47.7456,0.1287,0.0,0.0093,2.0673,1.7757,4.838,0.0395,27.8822,2.7852,1.7512,0.4905,1.7354,0.0
THA_C24,0.4507,0.0058,0.0007,0.051,0.9846,8.1632,0.1843,0.2229,3.1452,0.0721,1.0985,0.0001,3.7377,30.2899,1211.4831,1054.7463,1103.6583,1018.5032,468.1508,785.0018,167.3413,1900.2166,0.0,0.0646,372.5694,75.1257,0.3778,0.7001,0.0,0.0628,0.0,0.2004,2.2802,0.0,0.4474,0.0,0.021,0.7953,0.6848,0.0,0.0184,1.1365,0.0013,9.0967,0.0
THA_C25,208.0373,0.7227,0.2408,35.7039,7.0125,715.1844,91.7689,55.7588,18.2519,1.1803,49.6207,22.4834,60.5298,19.7477,10.1645,275.8448,213.2052,236.3072,470.8398,379.4577,109.9086,140.1458,38.3199,1.5639,1230.0379,104.1882,15.5845,2.505,13.3611,1.8353,0.0275,33.1628,13.8649,0.0923,7.9019,3.1439,2.8572,11.1566,47.1397,50.5036,1.1956,24.3302,0.7414,24.9962,0.0
THA_C26,18.8771,0.3089,35.0118,1.1041,2.3975,35.6402,64.9825,3.4837,15.1918,1.0326,32.6702,14.7149,12.1706,11.5024,3.5476,74.9883,34452.4521,259.043,255.1571,1646.6264,60.4322,1173.7201,37.3113,12.3214,239.0304,236.6465,33.8479,6.5166,23.8793,1.527,11.8576,140.412,202.3409,176.8045,279.0941,226.7365,37.0734,221.4629,113.1088,383.7939,865.794,1045.5453,14.0827,593.3432,0.0
THA_C27,4.7473,0.4069,2.6883,1.5742,0.633,0.4058,0.2218,0.8151,0.0039,0.0,0.005,0.0037,0.2212,1.7643,0.5425,2.372,323.0844,1016.2999,124.8391,736.7338,68.364,77.319,131.802,0.6521,678.64,298.4379,14.0196,2.2199,0.0244,0.1828,0.0496,83.377,9.6884,0.6132,4.1141,14.7802,3.4079,4.6249,4.5866,0.0,2.4519,3.8922,0.3406,28.1204,0.0
THA_C28,78.7527,7.4934,38.096,25.7168,4.4129,96.3266,61.7739,13.8891,20.9669,17.1423,73.0827,4.2791,46.2493,38.4262,16.934,19.6807,90.3311,14.5352,1241.6935,916.0793,109.1569,17.8846,45.2255,0.6503,54.2252,105.05,7.0309,5.019,4.7547,1.5827,1.0446,5.8826,4.7689,1.9841,2.8473,0.0353,0.2956,3.3107,9.62,34.7209,0.8275,9.9266,0.9306,4.6193,0.0
THA_C29,0.1036,0.0,0.0,0.0,0.543,0.055,0.0898,0.0,0.0057,0.0,0.016,0.0663,0.0,0.0,0.0008,0.0,7.8051,0.1931,2.3425,5881.8273,77.1543,0.0,0.0,0.0971,0.0,859.7031,100.4481,2.23,0.0,0.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.4826,0.0,6.7043,9.7207,0.0,0.0,0.0437,3.88,0.0
THA_C30,0.0396,82.4019,10.5181,0.0017,0.0477,1.2927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203,0.0,0.0,0.0,0.0,0.0,0.0,1023.6175,0.0426,0.0,0.0,0.0068,100.3515,21.1322,184.8086,294.9201,0.0123,0.0,0.0,0.0,0.0,1.5691,0.0,0.0,2.2161,1.8637,0.2478,0.0359,0.0,0.0592,0.1057,0.0
THA_C31T33,53.5362,16.075,28.6628,11.8055,47.9597,166.8075,922.9815,14.7578,43.5466,2.7549,100.458,40.5646,84.3661,44.4286,40.9305,53.4666,715.1757,40.516,41.7604,233.9958,38.6525,8675.2137,245.2634,58.9954,138.0933,277.5844,42.475,79.8781,251.6427,11.0506,14.5685,144.0107,188.6166,69.5421,89.7253,1045.1452,71.2769,154.3808,202.6319,112.2161,823.6574,123.48,150.3973,189.9722,0.0
THA_D,384.8924,22.3815,108.3968,123.9264,18.1038,2873.2843,2898.1212,360.983,363.3909,658.8216,3146.9789,84.1004,1697.0188,1721.1007,797.6283,469.4595,1128.5821,526.3789,686.8662,1566.1025,340.905,516.4947,9849.3297,388.4527,366.5814,3312.3076,5177.1074,53.5086,298.4295,188.9514,87.917,4387.6034,279.57,439.5873,90.1367,727.4019,765.0284,133.1852,135.1253,0.0,733.241,770.5587,54.6386,659.6425,0.0
THA_E,94.2687,0.0144,0.5404,2.7553,2.0618,150.2176,37.0238,4.5653,21.8915,5.6396,64.8345,4.0659,26.8496,36.8589,4.8232,6.5607,29.0333,8.244,9.9129,9.8059,2.8319,11.5411,27.9242,68.0522,32.4766,195.2876,18.0232,2.6477,24.4499,0.9602,3.4302,175.8081,8.6029,9.0843,10.9058,65.0606,51.5556,16.2162,22.2282,144.7593,57.9165,32.5753,10.5622,56.7261,0.0
THA_F,76.0875,4.9507,2.0564,6.0231,12.2842,57.4184,28.9337,4.9256,10.6059,2.9354,40.651,3.0291,22.3018,21.3943,6.7553,18.4555,27.5073,11.2954,11.1079,14.721,4.5899,15.8556,28.3268,1.1755,30.5328,280.6963,14.6352,2.7266,9.7494,11.963,0.0716,147.9471,4.7606,0.269,9.6709,95.2725,64.2794,11.9807,13.0301,133.9544,69.11,49.6817,6.7606,91.1757,0.0
THA_G,2093.8935,380.4864,287.418,219.5534,12.2011,7061.9188,3951.2857,172.2713,435.0408,1532.5505,1420.8326,247.7129,1513.1478,686.3244,404.7655,444.8188,7697.558,726.3175,715.5696,2031.9089,456.4152,2966.7953,1232.1591,54.3537,2311.5971,981.9135,3957.3948,324.7643,439.1142,21.4247,20.8602,3615.4809,215.0972,45.3548,162.4211,370.1495,47.6618,225.1772,262.158,479.0189,605.1396,963.973,64.8543,468.1323,0.0
THA_H49,331.8751,31.3184,116.3694,104.3315,16.6654,781.8222,340.8639,31.5806,71.1124,370.2633,224.4961,42.7902,217.2394,170.0298,95.4961,141.9319,597.2046,116.8085,120.0041,303.9409,68.1644,299.5548,273.1915,6.0339,1812.2434,375.6179,369.3076,44.1834,51.4857,28.8199,45.9021,269.5115,50.9898,45.1243,41.4983,146.5882,44.0101,70.7634,104.2945,111.7488,136.3702,67.0454,8.9491,75.2381,0.0
THA_H50,31.3286,4.0864,6.5564,0.8865,0.3218,72.8834,46.1497,3.4897,12.4015,214.984,39.046,5.3091,33.3213,17.3498,36.1455,36.2123,185.4732,36.6393,36.2346,82.305,18.0505,64.2394,107.7531,0.7467,56.8599,20.4497,8.1036,0.0973,4.8618,0.1604,0.1796,26.3242,5.8368,1.0495,2.6624,3.6555,0.6331,4.973,3.6788,4.9914,8.4078,17.5114,0.5104,8.9565,0.0
THA_H51,55.758,7.2524,13.4697,2.728,0.7784,132.5008,83.6538,6.3994,22.4477,375.4685,71.4194,9.6726,60.8046,31.6568,63.5743,64.7456,328.2413,65.0697,63.5631,145.732,32.1246,117.0656,189.7931,1.3551,100.2724,91.5378,15.3557,11.7795,197.6671,0.9101,5.9224,48.3726,11.5715,7.4848,5.7553,13.9003,2.0969,10.4158,26.9902,10.6748,15.5291,32.9107,1.2108,16.3939,0.0
THA_H52,5.5138,0.991,0.699,0.0155,0.0009,3.753,1.8354,0.082,0.4387,4.9034,0.4283,0.0115,1.1007,0.1783,0.5178,0.322,9.0343,0.16,0.4767,1.5296,0.1203,2.0866,4.0204,0.0889,6.6087,0.1929,2.3053,0.6464,0.0008,0.0008,0.0015,8.0563,0.1526,0.0088,0.2077,0.3358,0.2955,0.3277,0.2159,0.8425,1.2766,1.61,0.1371,0.7537,0.0
THA_H53,50.8362,0.2858,1.3032,2.3515,0.6774,16.1034,15.0565,2.3478,7.5649,3.3369,22.3752,5.9953,16.9699,14.4441,5.4875,7.5065,23.1331,4.1949,4.7738,26.7518,2.1158,29.0183,19.9006,1.1381,8.2931,238.3033,6.1899,6.3017,20.2541,0.4176,329.1183,62.6616,15.5251,270.1862,50.3899,180.9159,4.0132,67.4283,55.9006,168.5499,23.5528,8.8345,1.5933,9.5153,0.0
THA_I,137.7796,0.1399,28.3126,34.6567,8.6533,126.3566,116.9759,27.6814,16.5588,10.022,117.4373,20.2697,161.8325,53.3834,12.8773,69.8771,50.7147,54.2901,24.6611,33.6705,27.5748,212.9072,126.0392,5.183,414.3795,275.2842,104.5941,35.5065,33.7299,2.0035,11.0854,103.9768,48.268,32.9895,270.7137,463.8329,34.3852,327.5075,780.6573,2597.7469,95.2831,43.9621,16.6378,185.44,0.0
THA_J58T60,1.1128,0.0,0.9039,0.5095,0.5956,2.1054,0.6032,0.7354,0.3066,0.2888,1.0061,0.1351,1.372,0.3182,0.8576,0.9931,4.3438,0.9322,0.2195,6.2112,0.2242,0.9134,1.555,0.1462,1.5737,87.2392,6.2008,5.1173,2.0255,0.059,0.5204,44.6102,1257.3448,2.3519,484.163,46.0078,1.0028,1716.2656,1092.7537,23.8166,149.5295,7.367,3.0426,9.4662,0.0
THA_J61,108.5937,0.6115,4.4873,4.4353,1.653,29.1606,28.1428,4.7533,13.1498,6.0264,34.5003,9.1154,29.6138,27.5414,10.188,13.458,45.3949,7.4217,8.1362,44.2608,6.2185,55.6258,32.5758,2.1434,21.496,322.5596,14.4543,14.6239,55.4307,0.6687,25.1305,170.0722,133.4749,711.2724,138.3556,316.4527,8.3726,135.501,99.6624,252.1061,46.8205,20.3173,3.3573,19.4547,0.0
THA_J62_63,6.5938,2.8239,398.8777,3.045,2.5855,171.1519,107.348,10.8597,38.8263,15.2881,79.3552,14.5822,47.111,81.2458,8.2075,16.3075,87.2934,27.6933,21.8358,109.0819,4.9699,57.185,61.9334,11.4478,189.9972,179.9443,18.3788,52.388,128.9815,2.1157,15.2354,112.9608,30.8733,100.6143,177.5041,349.5664,31.8639,59.0465,100.3978,0.0,52.4057,30.4503,6.601,21.8354,0.0
THA_K,1847.1015,126.3322,65.5113,84.2907,22.7592,1119.6167,771.4309,206.9565,170.1553,146.9587,954.1438,75.7506,505.3033,640.6127,312.2613,261.8761,339.3886,217.1725,222.6366,984.8901,182.4179,523.5042,1624.0126,179.0173,824.7311,6153.7099,829.162,278.2455,771.8875,37.1814,140.1953,732.4095,100.1397,639.903,162.0322,3633.0316,1155.4007,239.7652,377.5919,11.8363,118.6592,175.1825,20.2833,122.5725,0.0
THA_L,4.78,0.0122,6.8418,2.0148,1.4435,38.7041,19.1073,10.827,2.451,17.4744,11.8083,2.0948,17.676,2.3347,0.8866,3.0951,3.284,4.0736,2.0329,0.5551,1.677,24.902,7.5615,0.8832,22.579,285.8399,26.9911,9.1035,34.4484,2.3847,1.6143,83.4343,49.8137,8.2693,21.8615,218.3926,10.4874,41.4356,50.0761,62.2627,7.6006,3.1105,6.3577,30.974,0.0
THA_M,16.2373,6.6212,663.3445,8.0601,42.3636,415.5656,122.5749,23.7309,73.795,30.0072,207.6699,49.8174,103.7985,161.2893,12.3823,30.2332,123.9536,54.7505,41.8067,190.2066,12.3359,94.5452,73.2027,22.3838,477.9149,458.1589,25.6806,65.7211,151.582,2.6126,14.4794,199.4902,135.8318,95.2032,109.8578,399.4757,170.4901,343.6845,305.5227,70.3466,58.1674,59.7144,21.3607,46.9005,0.0
THA_N,16.1876,5.0421,523.5846,7.6427,30.4036,329.3992,165.9787,33.4231,57.8226,21.2431,155.9934,26.6058,131.1358,137.1164,23.0329,31.3458,110.698,47.3651,31.0486,159.6199,10.7154,84.8785,56.9873,18.832,307.3324,325.3378,41.7411,110.5421,509.3888,2.8946,21.4819,139.2431,61.2394,75.3831,81.0635,206.6618,89.9511,106.732,319.2344,0.0001,53.3737,45.6222,16.4405,30.4455,0.0
THA_O,0.0,0.0,0.0,0.0,0.3858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.6705,0.0,0.0,0.0,0.0,0.0
THA_P,0.0,0.0,0.0,0.0,0.1419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.6733,0.0,0.0,0.0,0.0,0.0
THA_Q,0.0,0.0,0.0,0.0,0.122,0.6496,0.0222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6854,0.0,0.0,0.0,18.4947,0.0,0.6427,0.0081,0.0,0.0
THA_R,0.0,0.0,0.0,0.0,0.0344,0.002,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172,0.0,0.0,0.0,0.0,0.0,0.0,0.0501,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,24.7006,11.1027,0.0,2.3515,0.1196,0.016,3.359,2.6473,0.0,0.0,0.0,1.1786,0.8477,0.0
THA_S,0.9274,0.2425,1.6415,1.8041,1.042,25.7773,2.9649,0.0914,0.2217,0.4851,6.0596,4.3602,4.5223,2.018,1.1627,1.1226,11.1426,2.0379,5.225,6.4396,1.0843,3.6837,8.0467,0.2995,8.6942,11.6563,3.3693,2.1741,2.818,1.204,0.2514,5.5946,11.3387,0.9209,1.3709,86.4737,1.6023,3.377,3.8085,0.07,13.0722,1.7731,14.9395,26.485,0.0
THA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
