V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T
PHL_H49,337.246,68.6856,4.7503,21.0023,6.2704,1021.6664,96.1273,37.5709,54.3643,153.585,98.2022,11.5093,23.0566,62.4509,189.3109,64.7669,249.2776,73.6489,30.3565,66.4933,22.7769,73.6441,51.481,10.2646,255.1041,583.8322,568.9388,135.8547,219.4407,214.7686,17.3812,107.7161,24.4563,129.2056,53.1838,47.8828,79.861,108.4993,79.4042,43.275,24.7996,14.5396,10.9235,20.8823,0
PHL_H50,6.1115,0.6845,0.1853,0.9159,0.1306,12.4098,2.8719,0.8625,1.0067,17.9459,6.4268,0.7585,0.2227,1.9619,7.7701,1.8622,16.9643,4.7613,1.6272,1.9429,1.4234,1.8245,3.1764,0.4019,17.6447,4.4794,8.4801,2.1681,5.9952,1.6814,0.5996,4.9041,0.6901,1.8155,0.7919,4.2813,2.5205,1.2922,3.5398,1.0302,0.6265,0.9752,0.7185,1.3842,0
PHL_H51,28.9616,6.3148,0.659,3.1371,1.4078,75.8624,16.5243,2.7255,5.1269,63.2855,25.9523,2.798,5.3816,7.6056,28.594,5.6502,64.4013,14.965,5.5667,7.4437,5.5157,6.6852,13.3329,1.4071,64.777,179.3971,18.6029,7.193,160.9465,4.7553,1.0897,17.4354,2.7092,8.7551,2.248,20.8326,9.3064,6.2313,9.5097,114.4562,3.0377,4.164,2.424,6.4864,0
PHL_H52,75.6984,11.5799,1.9521,14.7351,4.2174,151.1411,48.1902,47.328,7.763,24.7322,15.1953,1.7698,3.7668,9.5028,155.8884,84.173,66.8591,97.0737,35.0194,71.3364,7.2861,42.5408,7.5458,2.7472,107.6058,42.2797,336.3327,5.4945,248.6344,46.8902,36.3316,60.6895,2.354,8.9103,2.8598,13.6379,32.1924,4.6937,17.1744,29.3873,4.0476,6.8098,1.5565,3.9407,0
PHL_H53,3.7177,0.8525,0.0706,0.413,0.0979,18.3817,2.4649,0.8536,1.7789,1.5235,1.5853,0.2436,0.3571,1.2052,2.5631,1.7603,4.3053,1.3325,0.5611,2.0018,0.3443,1.3189,0.1051,0.0436,1.1029,0.8178,3.7038,21.7788,5.3391,3.7106,3.8805,0.9761,31.7094,30.3417,3.4187,16.7984,4.7876,3.2149,9.787,39.0525,17.8176,0.2809,1.2652,0.0793,0
PHL_I,4.348,1.295,0.0758,0.3463,0.7105,33.6656,3.7807,0.6907,1.4819,3.0045,2.1615,0.2722,0.4711,1.1758,1.2236,0.9673,5.525,0.9557,0.5333,2.6698,0.4886,1.3642,1.5462,0.3287,5.8716,30.7042,9.2273,4.3856,2.9342,1.1044,0.1936,1232.6914,0.9099,2.9417,6.9194,34.3207,3.6425,6.2559,12.81,152.3995,1.9223,4.8481,20.048,2.9554,0
PHL_J58T60,4.1447,0.9772,0.1487,0.5514,0.202,19.2735,3.9108,0.9164,3.7211,4.2705,4.8562,0.3758,1.1639,1.4887,1.4967,1.7453,11.3696,2.5521,0.6936,2.0069,0.9577,1.6265,2.1889,0.9178,7.143,31.4939,5.6985,2.4388,1.8219,1.9968,0.4374,6.4626,176.3701,25.197,4.2263,23.8252,10.709,7.4539,11.4732,148.2691,5.4296,3.905,7.7375,5.4849,0
PHL_J61,83.628,19.5196,1.7808,8.0053,0.8289,480.1271,59.5609,13.503,45.4964,41.5388,40.5725,5.9545,9.4286,30.6528,35.7113,28.6362,105.4823,15.1332,7.8542,42.3206,8.6106,27.4495,53.9186,8.1027,145.628,318.3743,62.6422,32.6573,28.9228,22.6013,4.8969,84.1668,47.3548,216.8981,56.1836,266.9807,191.1564,41.3189,110.9007,153.3316,33.4679,37.0377,20.7816,31.4512,0
PHL_J62_63,7.9225,3.5819,0.1308,0.5175,0.5742,44.1871,4.0398,0.8959,2.0733,3.994,4.0061,0.5161,1.0187,1.5272,1.9227,1.5739,10.0184,2.0058,0.7666,2.1564,1.1924,2.2617,2.4357,0.8373,14.8649,24.471,9.2855,4.9267,4.0098,4.1153,0.4922,13.876,4.6918,11.6655,9.269,42.9016,13.5635,7.3204,21.8365,86.6522,4.5357,7.662,1.1082,3.216,0
PHL_K,299.893,89.3812,8.5099,32.6059,5.0328,1837.3415,257.3199,58.8172,157.4728,228.5349,209.8923,33.0553,47.6412,130.5056,179.6377,131.8437,340.3797,72.3592,36.7048,172.262,40.8742,72.8379,318.4455,42.845,895.0646,1395.0455,323.4603,232.267,119.8926,113.4507,15.9149,165.1718,81.0511,254.1351,155.7125,6084.6175,655.619,148.8846,598.6885,1884.462,174.7478,219.0221,70.2024,124.2261,0
PHL_L,91.308,12.8499,10.149,29.1924,0.8999,183.2804,208.7349,52.0205,49.4076,329.623,26.5832,3.4912,77.9805,47.2986,17.1311,89.4135,98.8719,52.3438,34.5079,73.3961,26.6708,71.1019,11.1634,51.1602,24.096,2196.1434,194.2572,86.1514,14.7664,85.5615,27.7099,283.9652,93.4882,461.7168,228.2693,1466.7096,525.0233,184.4686,737.7397,126.1936,207.2999,186.6458,30.2189,231.329,0
PHL_M,30.6558,8.2184,0.7886,5.6552,9.3177,184.8381,23.0485,5.565,18.3893,16.5505,83.6002,6.2892,8.7636,12.4571,15.4474,11.9205,143.6316,12.3501,5.5966,15.3337,17.4314,11.5307,34.2093,21.5938,133.7424,208.0697,148.247,51.3405,55.4735,43.2929,4.1191,56.4577,10.1346,46.872,51.9661,207.6814,98.8003,144.3917,191.3384,54.7306,19.6338,111.7236,17.57,25.2031,0
PHL_N,42.4933,8.6689,0.7157,3.2563,6.0064,189.4837,22.5526,5.8554,18.3766,16.0463,23.1699,2.8936,4.5025,12.3275,14.59,11.1943,51.955,8.1063,5.688,14.376,4.0868,11.1008,21.4418,16.7796,315.964,152.9647,480.6431,284.704,216.7322,256.7855,18.075,541.3867,95.9072,665.8719,667.9435,2924.8578,422.7098,298.2883,1656.8253,82.2625,37.9183,183.1719,26.979,80.8037,0
PHL_O,7.8353,1.3292,0.6744,2.2514,1.1137,28.2014,7.7968,4.2304,3.1289,10.0295,5.2029,0.656,2.4849,4.0857,12.0389,4.6836,11.708,4.3578,2.1311,4.1441,1.7556,3.5421,5.0181,3.9877,16.9157,65.912,16.0029,5.0946,6.8115,5.0215,1.4308,13.5526,4.0353,15.3024,9.0309,54.0352,18.903,10.6306,28.729,2600.4424,6.6427,12.6988,3.2797,7.4172,0
PHL_P,37.1855,9.6155,1.0684,7.5813,1.3753,217.648,27.1755,6.766,21.5734,19.4734,77.5621,6.337,8.8128,15.0617,17.4378,13.8351,160.6807,11.7072,5.506,17.9947,14.913,12.9195,41.3977,28.0328,166.7703,243.2399,154.0395,47.9126,55.5106,39.9895,3.9825,46.6437,7.6817,25.6608,31.0705,143.6735,100.3401,146.2784,183.7202,85.362,26.6817,134.994,22.2202,26.2835,0
PHL_Q,4.5482,1.2163,0.1526,0.5672,0.1997,55.7586,4.6511,1.0601,2.6108,8.656,4.632,0.8214,1.024,2.3438,2.9914,1.9571,14.0604,2.577,1.1902,3.5014,1.0092,2.4901,3.6643,1.1463,21.2612,82.1547,8.3931,4.6,2.2497,2.1425,0.5676,26.4721,1.511,5.221,3.1271,22.8081,8.6594,6.1605,13.7685,14.5177,6.7215,174.4921,2.5087,5.2678,0
PHL_R,10.5893,2.3106,0.235,1.0665,0.0986,36.714,7.3027,2.6036,4.8714,6.028,5.0041,1.5694,1.7743,3.8485,4.81,3.8988,14.7501,2.8784,1.9783,4.5836,2.1986,3.497,5.4671,1.1852,16.8336,135.7793,10.1462,3.5819,4.8135,2.7979,0.8008,73.9803,8.8526,8.0861,4.6237,39.8335,13.2712,6.7225,16.5601,18.1281,4.1642,4.7492,272.7815,34.4527,0
PHL_S,6.5353,1.8394,0.1215,0.4932,0.5879,32.94,4.8331,1.0899,2.8111,3.0431,3.1937,0.5198,0.7713,1.8897,2.6994,1.6549,9.5977,2.009,1.0718,2.2584,0.7053,34.439,3.0886,1.5873,35.7214,23.9784,7.7604,2.672,3.1269,2.1769,0.3663,81.6089,13.4689,5.2341,3.044,55.6143,13.7852,5.8987,85.6108,5.5491,101.811,48.3207,16.3563,700.906,0
PHL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
