V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T
CHL_H49,470.5992,95.8785,7.6412,486.9168,5.141,1128.6999,57.8266,212.2738,277.5624,125.7995,164.5102,33.8873,91.841,127.3488,66.9716,85.0419,4.7755,25.4478,80.5513,0,17.5246,69.3404,233.3864,34.115,547.4977,1831.4548,964.0228,23.7861,69.4313,58.6086,29.5909,171.2887,21.2523,30.2547,25.9944,63.0235,20.5462,115.1543,175.3979,113.4558,65.6227,217.2804,13.8714,52.9336,0
CHL_H50,14.3656,0.2762,0.0626,2.343,0.0126,8.5508,4.1171,1.335,3.4478,0.1031,0.451,1.6944,3.6071,0.6168,4.0427,1.8988,0.3871,2.3376,4.7978,0,0.1023,4.4841,18.6205,1.2688,33.9813,18.4597,13.2008,0.6697,1.7967,1.3731,0.0412,6.8583,1.0506,2.832,2.4143,2.9719,1.4211,4.3944,3.6193,7.6328,1.6632,13.6107,0.5017,2.061,0
CHL_H51,33.0662,25.8515,4.3021,127.2872,0.4019,79.269,8.2759,8.7281,15.7005,24.2982,35.4945,5.8108,11.4806,12.047,8.5132,12.2555,1.0296,3.8579,10.7702,0,1.8787,9.9082,43.1074,7.5632,140.4973,146.0643,95.1581,4.7364,81.7988,25.5618,34.449,27.8303,9.7744,44.0041,41.4111,61.1495,9.6203,94.3946,74.7496,70.6262,11.87,29.4886,13.543,5.1092,0
CHL_H52,75.7601,44.5451,0.6233,267.8409,1.1773,399.8886,23.8419,83.0276,75.7886,12.3177,61.0073,18.2479,25.2154,21.3345,23.7393,22.0788,1.5412,7.1748,14.6482,0,3.9896,15.2333,89.856,4.6523,83.6152,1303.3868,702.5649,174.1858,274.4617,295.2015,2.2337,33.4197,3.7251,19.664,9.0688,14.0025,7.1026,21.4021,22.6784,25.6946,9.1998,34.3498,2.5999,11.7423,0
CHL_H53,6.3271,4.0816,0.009,0.936,0.0067,7.405,1.6169,1.396,1.5503,0.4263,3.2765,2.0649,1.608,1.2527,0.5882,3.8592,0.2199,0.4383,1.4434,0,1.0857,1.6691,9.2234,1.7941,4.3434,79.4615,3.5782,0.2886,0.1067,7.2093,36.0174,4.0036,4.512,33.0491,11.2621,46.6074,5.2419,20.595,28.8475,31.2167,4.5404,9.6314,0.6445,4.7798,0
CHL_I,44.9746,3.8503,1.1942,128.0462,0.0563,24.3894,4.9542,3.7178,6.3485,1.9591,8.4019,4.2658,5.9971,6.4684,2.2874,5.408,1.2641,3.2773,5.7418,0,1.4468,3.0074,6.9257,5.7682,74.5268,169.8131,232.7475,11.0331,228.2753,13.0452,0.7939,21.2328,17.4184,18.9723,23.235,70.0284,13.6022,67.2793,88.9777,102.8814,337.8623,116.0732,36.3969,120.2376,0
CHL_J58T60,4.8658,2.87,0.2306,8.4927,0.012,20.91,2.0111,1.7434,3.1491,0.5986,5.7079,1.412,3.0393,3.0724,0.7205,2.8431,0.3255,0.7491,3.6554,0,0.5355,1.9168,3.5626,2.4359,9.1462,46.6967,18.0173,1.2139,8.1125,20.4317,3.3045,13.1442,96.2618,274.9668,9.8193,27.3829,25.5911,129.815,21.2261,23.5026,32.6972,7.2202,4.6409,5.1229,0
CHL_J61,20.0657,11.4781,0.9504,69.0191,0.1002,53.5218,11.2026,13.4337,16.4767,3.7776,14.7531,5.067,9.5368,9.5854,3.1477,16.5307,1.4544,4.3504,13.4419,0,3.0579,18.4633,29.6736,9.0135,61.3633,335.0424,107.2747,2.1319,23.004,32.3154,13.5833,38.4238,44.986,2199.4886,170.3049,214.3049,48.8249,177.0891,209.4012,144.1519,65.6729,133.2775,17.5228,36.7946,0
CHL_J62_63,7.7516,0.4062,1.0945,140.7645,0.0139,176.9292,40.2967,40.8204,61.3265,23.008,62.7037,33.3099,3.3489,27.3979,7.3268,57.812,3.041,8.5513,3.5687,0,3.7028,27.61,24.7402,10.4346,17.872,422.4754,10.9002,3.6473,65.7081,45.1393,1.602,16.4683,10.2538,115.154,481.2791,566.1144,18.2733,235.9183,167.9054,131.6424,16.4931,60.2877,23.0342,7.3634,0
CHL_K,478.6067,82.1327,16.7836,303.569,2.1025,387.3439,69.6351,75.6742,169.265,91.0619,76.1302,19.0804,82.3018,49.6322,57.7463,71.3569,4.6034,17.0257,62.5878,0,15.2604,78.4892,368.6676,56.1036,997.7352,1988.4393,382.5692,45.0281,55.0138,351.0877,3.7602,190.0277,38.2237,105.3573,65.254,3044.3651,1567.4064,369.138,393.8095,82.8002,129.7459,194.5057,49.8063,58.543,0
CHL_L,59.7711,25.7904,0.1141,115.6152,0.1843,104.3905,57.2626,18.8538,39.0745,2.9709,29.3702,7.6759,21.2819,31.1208,4.7966,26.4739,3.6574,13.5668,19.1814,0,7.9898,92.4057,42.4596,14.7688,130.7917,3259.4385,153.0898,1.4553,215.4672,200.4735,7.6833,472.7292,112.4041,595.4384,142.4077,268.1459,692.5509,656.3853,417.2759,178.1343,661.8152,319.2944,164.3372,146.1525,0
CHL_M,45.802,29.0624,61.0372,2980.3236,10.1137,1497.0342,121.5381,163.9017,291.5833,47.001,390.3031,297.1454,62.4341,136.0678,80.1268,163.6187,8.532,33.4997,122.3747,0,24.1542,92.0095,274.2679,105.7156,1010.1791,3531.1541,152.1666,6.894,246.2129,146.8397,18.5507,162.6273,207.461,691.9545,354.27,1312.5169,403.5175,2794.505,659.4493,149.0279,393.4311,218.9415,243.5413,105.0097,0
CHL_N,287.529,203.1749,12.2519,1278.9385,1.259,437.6186,32.252,154.8922,329.6179,36.0111,143.572,9.8232,28.3695,95.5123,16.6761,51.1748,1.8406,6.6033,19.2086,0,75.9176,81.6584,261.2986,88.3983,702.1744,3585.3874,793.2584,30.1989,688.1601,477.1087,17.0103,173.9956,98.5486,1021.4535,124.2318,1496.2426,251.0699,378.4899,834.2166,662.8135,402.279,515.2775,105.6844,41.1785,0
CHL_O,18.7695,8.9389,0.2388,48.2943,0.2171,76.1927,4.6273,11.6873,79.8232,2.932,12.9251,3.4308,16.4451,4.9913,4.4015,5.1436,0.3561,1.3076,10.4124,0,0.8771,4.806,11.6363,44.6551,27.5946,223.2447,74.3363,16.7383,31.0556,58.7822,0.5382,12.9271,3.3831,18.7339,15.1199,22.5499,11.4392,32.1093,18.2154,127.8818,11.9182,14.3502,4.0129,5.352,0
CHL_P,1.3035,0.3167,0.3287,22.2533,0.0628,13.975,2.2565,5.0706,5.2733,1.4842,4.391,1.8225,0.8334,3.4853,0.9818,3.9039,0.2263,0.5304,1.5822,0,0.9822,1.8181,5.2492,0.4409,8.5056,34.1425,2.2106,0.1228,1.6723,2.8789,0.1079,2.0472,2.5477,6.6671,12.7892,20.2456,8.4568,32.3527,21.056,3.6739,7.6541,6.5965,1.2115,1.1508,0
CHL_Q,34.4544,9.5332,0.0661,9.9285,0.0156,13.7417,2.9987,3.4074,4.3186,1.1682,3.7781,1.6016,0.9776,2.6103,0.7979,3.2295,0.1974,0.6487,1.092,0,0.6266,3.0389,3.8013,0.6856,5.6498,86.468,10.2543,0.6836,6.8853,7.2498,0.5477,13.7601,5.0189,32.1611,16.8032,58.4651,16.3774,49.4961,50.3882,27.4899,20.3452,1524.5033,4.356,36.503,0
CHL_R,0.0025,0.0001,0.0005,0.0009,0.0,0.0081,0.0,0.0,0.9629,2.2403,0.0301,0.0021,0.0013,0.0,0.0,0.0008,0.0,0.0,0.0,0,0.0,0.0,0.0017,0.0,0.4808,0.8221,0.0,0.0,0.0,0.0611,0.0,0.7477,128.8938,0.0081,14.4385,3.2614,0.0886,87.9544,0.9537,31.687,0.8223,0.3228,73.7652,0.934,0
CHL_S,12.5354,2.0734,0.3682,68.8934,0.3191,30.4322,4.3779,6.5856,12.7341,0.7123,7.5277,2.6952,2.8029,3.7576,4.2083,4.4578,0.6197,1.5638,3.6836,0,1.1034,2.0356,25.2452,2.6997,20.0804,86.7081,36.1931,2.3162,7.2115,7.3738,0.3664,22.5964,4.3756,33.5424,15.5372,24.8352,6.9056,26.9892,27.6428,7.6834,4.8817,55.2808,2.515,17.6796,0
CHL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
