V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_C20,232.2079,0.063,0.4122,3.7632,1.6865,108.8867,20.2264,13.7962,36.3821,160.5762,406.11,94.1912,371.6587,63.4507,24.6974,22.3538,29.1467,63.4657,27.842,69.6147,2.3098,24.5182,33.8221,15.2468,79.2576,88.6947,20.7115,1.4603,6.1465,6.1957,1.5206,11.2333,2.9105,1.3799,2.4462,3.796,25.8781,32.2949,25.6839,14.8596,13.3866,70.2341,13.4832,16.6144,0.0
HUN_C21,23.0427,0.0598,0.068,0.2905,0.1399,29.4474,2.0165,1.5791,3.1394,11.9182,23.5709,147.7462,22.7299,4.8349,4.8604,3.7298,9.7651,6.068,6.9197,31.1111,0.9326,9.5184,2.8786,1.3421,13.0972,20.6554,4.6742,0.6447,0.8708,1.0431,0.3294,4.0875,3.3461,0.6485,4.0156,1.4811,3.3836,19.1717,3.8682,7.7425,2.1545,241.6306,3.1967,2.3936,0.0
HUN_C22,25.7906,0.1039,0.4203,0.7438,0.3286,104.1404,61.7796,17.0559,54.6025,5.6339,40.1593,28.0361,412.822,23.147,7.5305,32.16,106.7359,109.8171,65.046,544.4995,7.5896,76.966,9.1732,20.9038,240.99,125.2445,55.9247,0.5119,2.4419,12.7648,1.2442,8.3271,2.6818,1.1916,1.8741,10.5576,38.22,42.0584,19.2712,17.6973,4.0699,45.751,5.01,4.6425,0.0
HUN_C23,13.483,0.0741,0.1083,5.2171,0.8126,44.7847,5.7219,10.3841,2.136,4.1508,16.9821,12.779,21.1537,233.506,24.2758,14.3817,17.1254,26.6707,27.867,160.9388,1.8693,10.5482,6.8852,7.321,828.5324,52.1467,5.4751,1.6574,0.6118,11.7887,0.1881,7.119,0.9649,1.6942,1.1236,1.4043,59.5038,24.4908,9.5653,2.653,1.4926,8.4002,1.5447,1.5583,0.0
HUN_C24,3.7325,0.0148,0.2995,0.2235,0.9072,6.4056,0.5892,14.6976,6.1682,4.5939,10.3489,5.1095,33.2096,34.3222,379.9605,464.0779,16.3844,190.4484,123.78,205.3031,18.4971,34.9598,4.2671,10.5681,148.8926,70.6406,8.7579,0.3009,0.0255,8.1331,0.0011,0.2017,0.026,0.0519,0.3843,0.0321,21.0068,39.7525,25.1605,0.0039,0.0446,0.5142,0.126,2.0095,0.0
HUN_C25,10.6965,0.0508,0.2979,1.2161,0.6529,100.6551,11.6264,15.6992,8.922,7.2433,20.8222,10.6423,103.0218,17.8124,37.8199,367.6992,58.9275,92.9993,238.2817,722.6759,13.1618,77.698,17.5991,11.4356,383.3925,76.7987,14.8573,1.7979,12.2364,21.4486,0.8239,4.3335,2.0703,4.1261,5.4837,5.05,46.4105,22.1881,18.2724,12.4239,11.6405,14.4214,9.2396,4.9249,0.0
HUN_C26,6.2187,0.0465,0.418,0.7522,0.4854,12.3298,1.6416,1.3944,4.7036,5.5483,7.1949,12.3052,19.2379,4.2704,5.0141,20.1905,951.7064,81.0149,66.7946,353.7702,3.5677,40.9287,14.3156,5.4938,64.1244,79.189,11.1272,1.3848,6.5127,8.2886,2.7371,4.9989,6.9553,32.0296,27.5255,19.6576,20.9352,43.5313,17.5562,22.646,9.1505,18.1865,6.7198,11.2129,0.0
HUN_C27,6.0014,0.0292,0.1233,0.3882,0.1536,10.2851,2.6803,1.6476,3.5457,4.1377,8.3226,3.8668,14.7609,4.2318,4.3646,20.9475,135.1971,93.3231,81.9196,204.1036,5.0329,10.705,10.7159,3.6541,80.9594,24.1138,7.9283,0.9809,4.8598,4.7303,0.301,2.8146,0.9571,2.6616,2.4676,1.525,12.8954,11.0627,5.2275,7.4986,1.5048,3.4772,1.5267,1.9002,0.0
HUN_C28,19.4797,0.0836,0.445,2.6416,0.5739,26.5049,3.7569,2.8503,9.4154,12.2793,13.7426,15.0415,22.0246,10.7968,10.9689,31.5946,65.8903,52.8745,154.176,611.4214,5.2531,22.316,24.7533,8.462,81.4747,60.605,21.7999,3.7133,23.6909,18.9792,0.5665,5.3312,3.5188,3.7241,7.3904,5.7153,18.9559,31.112,14.5477,8.7388,2.8631,4.9814,3.6674,4.4926,0.0
HUN_C29,15.8835,0.0992,0.4232,2.5971,0.595,26.6253,15.9559,3.8128,7.0949,4.9427,9.9554,26.1052,44.1502,40.3487,12.6864,51.8331,214.8444,69.6719,136.9131,2170.0183,6.7572,27.4901,13.7061,12.2551,211.4481,150.6075,45.9016,2.784,3.3143,15.1578,2.3687,5.3028,5.6771,7.046,14.3881,7.2678,29.4902,62.6409,24.3725,15.7866,3.7378,8.6383,4.8614,7.5568,0.0
HUN_C30,0.5702,0.0048,0.0133,0.0108,0.0,0.3517,0.1435,0.0428,0.0229,0.0696,0.0044,0.0153,1.4576,0.0493,0.0606,3.1792,0.1955,0.4669,21.0565,7.5586,80.6254,16.8211,0.0399,0.1019,4.3481,9.8045,30.3617,0.0765,7.4913,4.9108,0.0546,0.062,0.0256,0.0,0.2135,0.0,0.5553,5.8093,7.8905,4.9247,0.1792,0.4193,0.4945,0.311,0.0
HUN_C31T33,4.8964,0.2203,0.3342,1.6307,0.4224,21.682,10.6238,5.9788,9.7195,28.785,19.9181,16.9826,32.2252,7.5834,10.3128,15.3326,36.5762,12.0651,59.8807,88.8762,1.9921,48.4876,62.8803,9.8255,65.8997,53.6457,64.968,12.688,110.6335,73.0385,1.6831,3.3561,3.2431,19.333,14.1925,21.0577,20.421,19.1141,12.3601,24.6788,20.3769,128.4727,16.3575,6.0246,0.0
HUN_D,105.2621,0.8591,0.848,9.3291,0.6663,135.8,10.7681,26.5305,52.6269,120.6031,229.9876,45.6981,101.4162,109.7702,107.4395,53.408,43.4192,27.6846,84.0497,117.0956,5.2669,25.6761,305.448,79.9953,85.2669,417.5931,121.8074,0.9183,1.7271,37.3445,7.2259,135.2348,13.5227,29.7312,21.1294,30.4454,169.0746,70.7004,39.4359,163.1919,115.6481,91.078,99.0625,29.5175,0.0
HUN_E,29.3901,0.1187,1.2059,3.8001,1.4676,49.7835,5.0453,4.6265,96.9951,20.7931,26.1608,24.9828,22.7891,17.1067,154.4409,12.1922,7.5609,4.6341,13.4275,36.4275,1.5378,6.1774,32.7309,243.0563,58.0697,132.8564,12.6743,1.9471,1.617,12.1345,1.826,35.8336,2.9705,2.2947,3.2008,13.2079,52.2463,23.2486,27.722,395.3021,43.3404,51.362,43.3778,16.3324,0.0
HUN_F,10.237,0.5334,0.3753,1.9161,0.3445,22.522,1.6704,1.5524,4.8846,26.3334,12.5362,4.6304,8.3668,14.0544,6.0622,29.1057,6.9835,14.2419,16.8842,34.9714,1.4131,14.3185,100.8169,58.1359,1661.9462,98.5457,17.1516,1.8099,11.5772,128.3846,1.9996,50.4746,7.9622,17.713,5.6123,12.2378,619.5326,63.2267,21.9238,447.1745,87.5341,37.0884,36.839,18.8444,0.0
HUN_G,718.6658,2.912,3.6413,10.7709,2.8924,1115.1183,105.2481,80.9848,151.2464,316.1911,328.2192,154.407,282.509,137.3487,143.2094,196.1835,185.0633,136.6306,202.1158,726.0882,33.2644,128.9224,150.3918,88.3131,552.0716,1139.3422,544.5645,26.9604,117.7415,138.5816,48.1794,449.4806,72.0831,47.0846,63.7845,101.1952,177.7233,225.1875,303.6903,177.4977,76.6039,251.0161,108.2619,91.4609,0.0
HUN_H49,103.2519,0.6103,2.4579,19.2832,2.4888,217.1729,15.4619,15.7624,31.9196,114.114,99.0919,15.8423,75.2518,78.1708,43.4966,56.3716,65.7473,41.4464,68.6646,235.085,7.6511,27.9421,104.5417,32.482,216.4384,816.7967,393.9512,6.088,19.8851,78.7315,13.8043,36.2545,12.1677,12.4376,11.6967,19.6364,29.6015,47.4509,72.6943,40.1866,56.4276,65.5064,25.5455,20.7817,0.0
HUN_H50,3.0819,0.0123,0.0405,0.0665,0.0372,4.2156,0.7113,0.4572,0.9871,7.0126,3.1276,0.8205,2.4458,1.5667,2.4219,2.437,5.3158,1.8292,3.024,9.7403,0.6117,1.1595,1.648,0.3884,5.0495,7.1332,3.1624,1.3655,1.1209,1.6806,0.0657,1.4542,0.2504,0.1614,0.1783,0.2232,0.9689,0.9909,1.4982,0.8581,0.4444,1.4645,0.758,0.4431,0.0
HUN_H51,12.6977,0.0526,0.1818,0.2627,0.1584,17.2855,2.8609,1.9038,3.9957,23.7049,10.9021,4.0332,10.2076,5.0745,7.6436,9.9809,14.2522,7.3197,9.8656,36.0946,2.293,4.4581,6.3076,1.5087,18.7846,16.2873,9.6791,0.5169,4.1989,3.0573,0.7266,6.2921,1.3313,0.6733,1.6389,1.2805,3.7979,7.754,10.2673,6.3121,3.0618,6.0177,2.6291,1.7607,0.0
HUN_H52,22.371,0.2084,0.187,2.436,0.2609,67.4237,6.0502,3.7689,7.2828,12.4676,16.4803,7.7404,20.0801,21.5394,12.4035,13.2042,15.4135,5.1721,18.3305,35.2567,1.9204,8.6165,68.137,13.3729,98.9018,279.0652,337.9341,6.4524,160.6127,375.6399,7.8734,13.8529,8.2481,6.0241,6.6218,7.8289,16.2556,22.5978,23.4165,63.778,6.9813,6.559,13.6504,16.8462,0.0
HUN_H53,10.7582,0.0637,0.2646,0.3623,0.0801,9.6014,1.6273,1.1279,3.4777,3.7777,6.9982,5.8393,5.3809,2.8389,1.2093,4.5353,8.4244,2.9608,4.6324,10.2061,0.3867,2.8537,14.19,10.5895,18.8374,66.8046,12.07,1.3962,1.3569,8.7126,21.689,9.4678,19.8807,15.7545,5.4598,86.0404,51.9852,31.4452,20.2687,113.7173,17.7211,17.5285,21.5167,14.1646,0.0
HUN_I,1.5036,0.051,1.5604,0.0945,0.6071,7.4696,1.2157,0.284,1.2131,1.0111,1.9894,9.5662,4.7473,1.8029,1.8439,2.7324,5.3308,2.3389,8.1969,12.0273,0.7302,2.3381,2.0778,1.0396,21.8034,22.907,8.4139,4.7405,1.41,3.2529,1.1678,170.047,3.9142,1.5255,11.001,5.8451,3.8754,38.0265,181.719,29.5993,17.4895,89.0271,10.1029,17.2607,0.0
HUN_J58T60,2.9543,0.0531,0.1739,0.6294,0.2367,29.1527,1.4909,0.8364,7.6976,2.8164,9.5465,21.4486,11.4328,3.6282,3.0487,3.9538,13.5962,5.0176,10.2984,20.807,0.4868,3.162,6.9559,3.2468,19.3053,121.7216,19.0344,1.9189,1.0766,6.0845,2.5347,17.6687,371.9969,44.5961,27.905,26.766,24.9008,64.1375,33.3253,29.5158,33.7373,7.5016,105.7675,27.2103,0.0
HUN_J61,11.704,0.2857,0.3632,0.7822,0.1291,19.3005,2.2637,3.0741,5.4249,5.4777,7.8809,6.9547,14.1184,7.2945,3.3731,10.7181,9.3948,7.6531,16.0391,18.6097,1.2183,7.1332,8.7387,12.4773,58.6766,110.6489,42.5205,0.7802,1.488,10.2786,5.707,18.5203,93.2605,86.6848,44.513,54.6015,32.6177,82.554,48.03,151.3111,50.917,40.6303,61.3021,34.8689,0.0
HUN_J62_63,10.9584,0.0921,1.2304,3.9691,1.2799,53.0752,3.0063,2.0305,9.7686,9.9851,12.4034,20.6369,22.668,10.8698,23.1215,12.9723,43.6761,24.8036,35.6855,84.9039,2.1087,9.3871,59.9326,18.982,69.2383,227.8416,52.5276,3.2864,6.5945,37.5568,12.353,22.2325,54.8865,60.384,235.161,198.5052,48.5315,148.5254,94.2756,174.4962,40.1577,31.3648,34.9355,20.7631,0.0
HUN_K,167.5862,0.7967,3.1946,4.1683,1.7046,83.4184,13.9367,13.4437,22.9518,68.3121,69.1232,39.8521,54.2909,21.8882,18.9424,59.7274,57.4515,33.9315,42.7164,94.4196,5.3883,36.864,52.7884,38.2497,269.9982,598.4106,151.2599,5.9377,13.6947,80.0044,10.5056,129.4573,28.2958,49.6779,64.1033,1448.8906,1000.6299,279.2081,180.4534,476.4816,37.9178,52.288,45.5345,77.5146,0.0
HUN_L,35.9156,0.4307,1.4731,2.3848,0.1047,81.3191,11.5853,11.5347,30.0847,15.0404,24.5867,14.6933,58.3907,16.9471,10.0033,48.6089,25.3885,14.7485,47.0579,104.8507,8.8178,31.791,64.2835,93.172,158.7513,1028.3279,121.1256,1.6536,37.4841,84.3311,9.9789,246.4352,70.7676,71.1152,92.6356,172.4073,251.541,346.8352,212.7743,380.1783,162.554,112.8028,224.2308,226.8237,0.0
HUN_M,40.8576,0.5069,2.199,16.4031,7.5957,185.0751,14.1487,11.2063,29.8967,37.7534,41.128,244.6616,92.4429,48.3136,31.4763,71.559,138.0657,105.864,107.3405,599.1431,12.9871,49.887,164.8786,53.085,444.0633,881.0386,69.9604,17.9482,15.0137,55.8179,8.6597,73.3146,133.3464,77.4524,168.4298,150.2136,400.2176,870.8095,315.6853,212.9026,48.3718,49.1694,109.8632,68.6771,0.0
HUN_N,39.05,0.484,1.9186,4.0306,2.6325,116.0398,19.5187,17.5318,56.3366,32.7551,52.7066,102.4193,94.9155,44.2649,33.1918,113.8355,151.7507,83.147,130.6167,304.7056,7.3353,75.4471,161.3525,83.8119,254.3917,824.0715,210.6141,20.7274,14.6603,82.1729,34.7236,119.3569,124.2822,90.8207,154.8505,339.547,338.5497,271.3142,399.3703,228.62,109.3444,99.1377,214.2855,74.7288,0.0
HUN_O,15.206,0.4713,2.2195,3.9843,2.0485,29.2936,3.6204,2.2146,25.7647,9.6185,10.1014,6.8807,14.4175,6.2194,38.7101,10.5416,9.273,7.7649,12.1233,40.3641,1.9729,5.9938,25.4802,95.6652,44.6176,257.3084,65.0391,4.878,1.4381,23.7616,3.4477,36.778,8.7929,54.978,22.7424,85.9419,48.5483,80.9583,42.6213,293.5301,28.9742,12.5656,46.8015,39.878,0.0
HUN_P,2.0149,0.0718,0.0757,0.0809,0.0478,5.6162,0.6101,0.5638,1.4211,4.5138,1.9716,5.0106,7.7123,1.9856,1.4188,2.2393,3.578,2.6583,5.5219,5.6922,0.9369,1.5915,2.6963,2.6048,9.0315,32.2501,7.0426,0.0604,2.9406,2.2003,1.6004,3.6489,1.4483,3.2903,9.5118,19.1638,6.26,20.124,11.6651,41.9602,193.724,9.0356,1.7118,10.9155,0.0
HUN_Q,0.7134,0.1484,0.8138,0.2421,1.1316,7.8533,2.6712,1.4178,1.4444,1.5132,3.9305,25.6114,4.3858,3.3637,3.6852,4.1202,2.7786,2.0105,4.1115,6.6282,0.815,4.7498,3.6536,3.106,8.7344,38.7752,15.5755,0.4884,0.5778,2.9018,2.4927,14.2542,1.3048,0.6139,3.0036,4.2311,4.3329,8.416,12.9391,2.8433,5.7119,409.1351,9.7765,16.3981,0.0
HUN_R,2.9202,0.0177,0.0303,0.3721,0.0319,6.8414,0.5993,1.0766,1.8343,1.6314,1.96,2.1144,2.4388,1.3799,0.7923,3.6179,2.2177,1.7221,3.4601,6.9138,0.2328,2.0532,2.1815,1.6019,10.12,37.9016,6.6487,1.2996,0.603,3.7678,0.61,6.4608,144.0817,2.7632,7.8022,7.445,7.1068,13.9036,48.8288,9.1489,2.0924,3.4441,256.7497,13.6125,0.0
HUN_S,18.94,0.1075,0.1212,0.4253,0.0577,19.1363,1.811,2.2256,5.0308,3.919,6.3966,11.6022,7.3415,3.5624,2.4102,5.9172,5.3617,5.7324,7.3176,13.1342,0.974,4.9171,9.1642,13.1441,26.0297,101.6968,21.559,0.7809,3.9433,9.3013,4.4475,22.7028,7.3486,64.734,50.9521,47.4649,45.266,57.2481,43.9529,47.7447,34.77,35.0192,41.0295,19.7225,0.0
HUN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
