V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T
CMR_D,4.4357,0.0129,0.8368,0.1359,0.1176,40.1975,15.4045,2.4165,0.8137,0.0671,0.7965,0.0744,1.3697,12.2377,3.5921,0.241,0.0006,0.0187,0.0333,0.0425,0.0034,3.0217,18.2895,4.8922,2.0934,14.4959,1.4743,0.1189,0.2537,2.5083,0.3476,8.8937,1.9832,6.7728,2.5219,2.761,2.9237,8.2157,1.4508,92.3198,4.8341,8.613,3.6308,3.9513,0.0
CMR_E,3.721,0.0013,0.0212,0.002,0.0031,0.8373,0.1644,0.0137,0.0089,0.0042,0.0041,0.0005,0.0017,0.0016,0.0011,0.0001,0.0,0.0012,0.0014,0.0099,0.0011,0.1461,0.0088,0.035,0.0755,0.4723,0.0392,0.0101,0.0142,0.0905,0.0085,0.4275,0.0137,0.0186,0.0174,0.1,0.0215,0.2993,0.3043,3.6115,20.8391,2.3842,0.15,0.1131,0.0
CMR_F,13.0593,0.2654,1.2398,0.1003,0.2837,0.6797,0.1499,0.391,0.0564,0.0514,0.0732,0.0136,0.0284,1.1955,0.0122,0.0014,0.0001,0.0007,0.0012,0.0434,0.0036,0.5454,0.2132,0.0403,20.8478,0.5562,0.9433,0.035,0.0855,0.2349,0.0621,0.0562,0.0282,0.0421,0.0266,0.0344,0.1441,0.0433,0.3476,0.6114,0.6122,0.1346,0.037,0.184,0.0
CMR_G,148.3058,12.8461,67.7414,10.7983,12.7334,381.0572,72.0186,62.358,14.0718,28.628,23.6277,12.893,6.5935,20.367,12.535,1.9384,1.3914,1.6084,2.2591,7.2435,0.9736,30.6475,10.4449,8.2069,261.1156,177.7748,123.5179,15.9162,32.7246,33.9363,10.1181,170.9211,11.7476,12.257,8.8879,5.2278,4.0014,29.9339,56.7893,79.705,13.3925,22.7086,17.8549,28.8738,0.0
CMR_H49,155.407,0.834,17.306,0.4155,2.3332,50.206,14.2183,23.1151,1.5981,14.5403,2.081,0.6502,0.5119,3.5327,2.2415,0.3239,0.1154,0.1413,0.2139,0.8229,0.1256,5.8791,4.4134,1.5583,53.8768,108.3816,5.5057,1.3374,2.3239,3.2972,0.7335,19.7712,2.0779,1.8097,1.7819,14.5179,7.6486,21.2688,5.3191,30.9365,2.5225,2.3217,3.4546,3.4095,0.0
CMR_H50,32.7572,0.3081,3.5125,0.1067,0.5193,7.1805,2.761,4.7116,0.3788,3.0392,0.466,0.1833,0.1309,0.6932,0.4191,0.0561,0.0275,0.0253,0.0331,0.0878,0.0124,0.8242,0.5813,0.2846,6.2029,21.1862,1.4662,1.0837,0.7664,1.3416,0.3018,2.5178,0.3642,0.362,0.3108,1.6393,1.723,3.321,0.6811,4.6266,0.3572,0.3262,0.5296,0.5268,0.0
CMR_H51,13.2703,0.2973,2.7923,0.0993,0.489,5.3512,2.1584,1.9208,0.2987,1.4782,0.473,0.2084,0.1295,0.6796,0.3854,0.0535,0.0299,0.0247,0.0299,0.0681,0.0092,0.7174,0.5282,0.2782,5.3138,15.0198,1.4797,0.4502,1.1363,0.8532,0.2475,2.4828,0.4886,0.5809,0.6524,8.7366,2.5305,7.5134,4.0115,11.9039,0.6157,0.4789,0.728,0.5649,0.0
CMR_H52,168.5472,0.32,8.4427,0.1996,1.6183,24.457,12.7637,19.4006,1.3381,7.3102,0.7029,0.1743,0.2998,0.918,0.6148,0.0856,0.022,0.0374,0.0607,0.1535,0.0234,2.9163,1.0796,0.9638,20.3235,210.3573,4.3309,2.2607,3.4066,9.4209,0.4173,6.4937,1.7555,2.061,1.4017,17.1322,11.13,22.5045,1.9257,32.9214,1.0511,1.1374,2.5101,1.2381,0.0
CMR_H53,26.5978,0.0203,1.4157,0.0273,0.2745,3.035,2.4272,2.7184,0.2023,0.6041,0.055,0.0154,0.0375,0.0401,0.034,0.0067,0.0003,0.0021,0.0048,0.0002,0.0,0.3214,0.1311,0.2843,2.6565,57.2071,0.2836,0.0784,0.1258,0.6818,0.9406,1.6124,0.9737,1.4927,0.6953,27.4277,7.4726,12.9974,0.6188,24.7488,0.8053,0.7788,1.1468,0.4449,0.0
CMR_I,15.0403,1.6765,6.8465,0.9494,1.5553,26.3498,85.359,5.9647,4.7986,0.2511,4.8569,1.3758,0.9085,1.9243,0.9814,0.1723,0.4303,0.1013,0.2074,0.0026,0.0003,17.9538,5.2716,1.1313,64.3026,447.1705,36.774,6.3899,48.5636,39.9847,9.317,27.0135,9.1505,10.1401,10.7836,30.1471,142.206,34.8259,18.9444,42.4795,31.5631,6.3836,10.635,21.1194,0.0
CMR_J58T60,0.1386,0.0009,0.2358,0.0047,0.0397,1.2334,0.2712,0.0887,0.071,0.0109,0.0795,0.0227,0.0296,0.0884,0.0065,0.0012,0.0,0.0053,0.0091,0.0,0.0,0.0993,0.0212,0.0196,0.9186,3.2598,0.1724,0.0454,0.1465,0.3467,0.0842,0.8161,3.8936,1.3519,0.9081,0.3614,2.7736,2.516,0.9533,4.1699,2.7295,1.0366,0.5663,0.1928,0.0
CMR_J61,0.4301,0.0021,0.5727,0.0146,0.113,1.6178,0.6898,0.2039,0.0818,0.0154,0.0929,0.0244,0.0676,0.2001,0.0169,0.0036,0.0001,0.0093,0.0196,0.0001,0.0,0.2004,0.049,0.0516,3.2276,5.6542,0.636,0.1169,0.2381,0.9251,0.243,1.4567,0.3431,3.3738,0.4334,0.9379,5.9774,2.1094,1.7082,7.8251,1.8038,2.5714,0.405,0.3022,0.0
CMR_J62_63,0.6129,0.0025,1.1231,0.0333,0.1871,2.5481,1.4922,0.3048,0.1835,0.0371,0.2595,0.0699,0.1202,0.3848,0.0422,0.0071,0.0002,0.0236,0.0401,0.0002,0.0,0.4442,0.1463,0.1205,4.9488,10.7992,0.9333,0.2418,0.8689,1.9803,0.4621,1.3685,1.6969,2.5497,6.6854,2.8526,9.8302,6.6678,2.0332,17.5919,4.5857,5.1414,1.0983,0.5046,0.0
CMR_K,6.5033,0.7987,3.3626,0.3301,0.5039,17.8643,2.9717,4.3415,3.2843,0.9315,1.7977,0.4023,0.4822,1.2748,0.6076,0.0784,0.019,0.1233,0.2239,0.1063,0.0102,0.5086,16.6928,1.2985,19.3057,106.3074,16.6438,4.8438,7.6801,20.3853,2.0831,9.6706,5.0669,10.6096,8.5288,61.5244,59.7777,44.2836,5.7792,11.0569,7.3451,1.0666,13.3588,0.2535,0.0
CMR_L,2.1351,0.008,4.1007,0.7614,0.7569,12.6544,1.1367,2.3699,0.5678,0.2411,0.4905,0.1145,0.1518,0.3125,0.1169,0.0277,0.0076,0.0246,0.0515,1.3935,0.157,2.2297,4.0079,0.3605,12.4344,152.8147,6.2694,0.9691,1.9867,15.9421,1.5935,10.4176,8.1459,18.8279,13.936,16.0343,1.0385,7.999,0.1314,0.2835,0.7996,0.5108,4.982,0.1985,0.0
CMR_M,30.3159,0.7462,25.397,1.3162,5.7023,79.4652,0.6463,4.9052,4.597,0.5417,1.5518,0.5464,1.2849,9.51,0.6738,0.102,0.0015,0.0936,0.1586,0.0201,0.0018,2.0974,6.8051,1.3689,30.2405,104.6301,7.9421,2.4224,4.1951,15.5371,1.4354,7.7754,33.0607,42.4679,46.1697,36.8358,4.4877,25.2245,63.2927,237.699,104.2372,15.9833,15.5035,6.7302,0.0
CMR_N,9.6566,0.0542,16.2952,0.7919,3.3558,12.8783,5.8796,0.8927,2.8914,0.0301,0.516,0.1445,1.1467,0.6603,0.0752,0.0136,0.0001,0.0082,0.0143,0.0012,0.0001,0.9659,5.7543,0.0701,10.9188,9.0697,4.6043,1.7819,3.9748,7.5704,0.9257,1.2006,5.5065,8.3282,8.6189,16.7829,1.8748,18.8517,0.0016,213.8424,23.9768,2.7799,0.6031,0.7008,0.0
CMR_O,0.214,0.006,0.0469,0.0161,0.0089,0.601,0.0175,0.0091,0.0047,0.0005,0.0035,0.0008,0.0037,0.0034,0.0002,0.0,0.0,0.0001,0.0001,0.0026,0.0,0.0025,0.0042,0.0038,0.1247,0.1254,0.1698,0.0043,0.0134,0.027,0.01,0.1383,0.0151,0.0215,0.028,0.0072,0.0008,0.0043,0.0509,0.1508,0.0153,0.0341,0.003,0.0352,0.0
CMR_P,1.2205,0.0201,0.0167,0.0034,0.003,1.4756,0.0408,1.5844,0.0122,0.0058,0.0452,0.0176,0.023,0.0376,0.016,0.0017,0.0,0.0012,0.002,0.0023,0.0003,1.3704,0.0309,0.0061,9.6777,3.022,0.0894,0.0282,0.101,0.1492,0.0302,0.2539,0.9493,1.4472,1.9994,0.2751,0.1798,0.1082,0.1499,4.588,0.0597,0.0081,0.0119,0.0325,0.0
CMR_Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2331,0.0,0.0,0.0
CMR_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1106,0.0,0.0
CMR_S,1.6861,0.301,0.0,1.4016,0.0,1.0813,5.6975,1.2753,0.0048,0.0,0.0034,0.0009,0.0015,0.2415,0.0013,0.0002,0.0,0.0,0.0,0.0,0.0,0.1681,0.0,0.0197,7.82,9.096,3.9659,1.0456,2.5037,6.6481,1.1785,0.3006,1.0175,0.8569,1.0228,14.5488,0.1988,7.5672,2.824,0.5758,0.1658,0.001,0.8109,14.4175,0.0
CMR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
