V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T
ROU_C23,5.3631,0.7551,2.9444,0.5752,1.0675,63.0242,4.9293,9.4072,1.1137,5.7243,7.4838,2.681,17.2963,132.0233,73.5153,23.2396,8.7792,34.5225,28.1737,56.0066,4.3086,19.9877,17.9766,43.3327,2125.2785,47.1336,93.6451,1.7241,0.1656,2.4602,0.0,4.5908,6.186,22.439,2.9391,5.4025,31.9308,28.0211,14.3933,0.5228,15.9581,4.5803,40.9098,67.36,0.0
ROU_C24,9.2908,0.0795,22.381,1.3557,3.0864,5.6964,1.9236,5.7131,3.8686,17.6619,20.2249,0.5576,6.6332,44.1144,769.8493,468.9379,63.4492,217.6321,401.2116,990.2066,64.0877,43.1458,58.9224,8.4516,1087.5962,79.0978,136.5727,12.3435,0.0,0.4517,0.0,1.6298,4.214,109.2466,3.6773,0.0,7.1519,97.8264,34.1091,47.4076,5.0882,0.4246,23.6479,9.2593,0.0
ROU_C25,72.3466,1.6641,46.7525,6.3087,5.5528,47.9783,20.2388,60.2592,34.3268,342.5502,68.1123,7.6315,77.1976,78.6626,151.708,539.8006,85.8788,216.255,298.0505,371.7625,31.1529,116.3813,316.4399,13.8813,1127.0459,62.0014,317.0986,4.175,16.8226,72.6648,0.0,2.8193,5.8788,15.9241,9.5205,3.5229,22.6979,139.8842,32.4336,38.875,1.5047,6.2983,30.7135,18.9342,0.0
ROU_C26,2.4113,0.2218,0.6013,0.3934,0.1431,4.6895,0.8472,0.6559,1.4151,1.1997,1.531,0.191,6.7369,2.1128,8.8195,6.4766,56.4447,30.8364,16.9937,45.1762,3.3539,8.5969,15.7878,2.0838,49.6639,126.4689,22.4242,0.2015,0.3362,3.2037,0.6204,1.1162,1.6708,54.6971,94.7128,9.6014,3.2326,20.5358,4.8953,2.3051,0.733,33.2443,2.3401,4.129,0.0
ROU_C27,4.1492,0.455,2.9493,0.2966,0.2884,3.9645,0.7904,1.5344,2.3221,2.3367,1.1366,0.5626,9.8055,2.8574,15.5081,13.2115,29.8126,94.3217,38.0772,115.2746,5.5208,11.8442,40.1669,1.2205,120.7693,71.9448,57.9562,0.397,0.1689,6.9452,2.1946,2.5219,1.6989,38.2439,27.4964,7.944,1.4708,98.086,66.8582,0.8133,0.5173,2.0491,2.761,3.7853,0.0
ROU_C28,1.2769,0.5889,0.5358,0.0641,2.011,0.7541,0.6225,2.1231,0.3443,0.3537,0.3894,0.0916,0.982,0.8812,1.6426,0.6682,0.4097,0.5434,3.7903,2.9655,0.841,5.3758,1.917,2.2602,13.4731,2.487,3.3431,0.046,3.1483,61.3875,0.0,1.4902,0.5733,0.4001,1.7543,0.9526,0.3822,1.2524,0.406,6.8554,2.7577,5.6392,0.8401,3.4462,0.0
ROU_C29,59.0018,1.3412,17.4628,17.0471,0.3937,99.5573,11.6353,31.3036,5.7087,11.4619,14.6699,3.6127,16.0411,46.6858,27.2047,41.1911,30.0462,147.2952,80.8012,3802.9425,116.937,103.4599,103.3982,9.369,251.9088,164.4002,2268.6435,0.8604,6.5393,1.2786,0.0,5.195,2.4534,29.7836,9.9,4.006,45.1375,292.022,102.4898,11.4726,12.7258,12.271,12.7126,10.5156,0.0
ROU_C30,3.7241,0.5081,1.0487,0.0977,0.0216,5.7428,0.1568,8.9909,0.0583,1.8678,2.9762,0.7087,3.9754,4.0645,6.5578,5.0765,0.0015,0.0784,12.4687,0.018,78.3743,22.4865,28.8812,0.7645,78.8275,42.4328,342.5542,25.3529,49.3788,0.0071,0.0,1.6075,0.082,0.0634,0.0114,0.0,0.0583,1.904,0.3502,0.0,0.0009,0.0093,4.0083,63.0083,0.0
ROU_C31T33,229.0459,0.2334,11.3689,0.5367,6.8504,19.0784,11.5291,20.1738,3.4871,12.166,7.156,0.9862,21.1819,15.7674,24.2981,44.6615,54.7449,44.4504,50.4406,311.1057,17.3171,50.2878,61.0027,10.1859,255.6957,206.2989,488.1816,7.3351,25.289,58.0017,0.4796,21.8121,4.9013,87.9312,2.6288,42.1063,72.0848,68.8961,12.5928,9.2893,10.4778,26.3076,8.8105,13.1181,0.0
ROU_D,279.8058,1.7605,186.1257,13.8423,7.6248,430.7957,174.4323,156.8927,105.5957,198.6629,341.2567,19.0193,230.5773,280.6911,409.323,276.8803,95.7212,328.5482,301.3125,654.0314,65.3756,159.405,2747.3296,222.4122,1149.1523,933.0235,162.57,4.6855,23.2139,219.1456,41.9617,174.747,28.2638,106.6567,214.9652,125.9018,120.7093,603.3281,238.1812,25.0702,35.6209,76.271,79.0064,105.6997,0.0
ROU_E,39.0231,12.003,9.1522,4.1652,1.5271,19.589,13.9888,9.1768,9.3755,7.8226,3.5832,2.4997,11.6821,5.4675,6.0365,9.0627,4.8382,24.6735,6.1863,24.3411,4.5268,10.5322,18.3807,25.8587,1075.1457,84.9244,17.8195,1.0188,4.1885,40.4041,8.5626,106.5771,11.2191,19.9251,39.4997,10.9853,12.1367,123.5653,49.4634,2.7156,103.3354,304.8705,28.2999,45.5459,0.0
ROU_F,70.6655,1.4981,24.6802,6.9922,5.8176,168.8659,74.219,42.7242,30.6385,112.8455,74.5137,12.4141,68.847,85.7294,70.0063,54.2303,22.68,65.5069,68.5168,88.361,19.8274,48.8982,651.8836,68.041,1770.0142,995.2161,900.7739,5.4644,15.3508,107.2772,39.6107,194.135,32.5211,157.7274,105.3946,73.7046,306.8424,354.8111,137.9,396.8333,116.4311,205.4916,210.9523,77.6463,0.0
ROU_G,1104.6099,66.1726,63.6485,18.5016,14.9724,2518.1741,434.8439,237.9307,103.0782,942.6956,313.9678,38.7675,440.7973,243.933,501.5501,261.0086,173.3863,309.6352,268.8332,1418.7168,73.1497,309.2346,864.4469,117.3038,2089.317,2952.9549,1806.3919,15.1433,42.5895,128.9446,23.6807,648.6285,72.8966,273.0113,151.0399,75.6357,170.8925,508.0491,183.777,153.423,141.5734,1042.0201,122.2221,191.1902,0.0
ROU_H49,249.9491,16.4891,41.0345,16.7243,13.7514,492.8524,59.6686,95.786,26.8576,590.406,83.4338,7.4011,104.0712,107.9261,156.463,105.9177,47.6576,94.5366,87.7686,383.3317,25.0753,89.1419,401.7129,29.9055,841.7807,1210.6332,341.6424,4.149,9.8052,30.5618,37.0558,94.0624,14.9976,39.7,31.9102,19.0875,40.7323,123.7036,64.9881,26.3321,23.7331,102.0018,36.0538,53.6438,0.0
ROU_H50,10.2598,0.4483,0.6347,0.2855,0.1374,16.7749,4.2987,2.3185,1.3649,21.5908,4.1353,0.4196,6.4821,3.0529,6.9808,4.0667,2.0627,4.4422,3.7286,23.3711,1.1099,3.5921,15.2698,1.2807,25.5277,17.2113,17.655,0.0148,0.3882,1.2886,0.1379,3.5054,0.9028,2.0981,1.8226,0.6664,1.9963,4.9037,1.808,1.2899,1.0886,8.0338,1.1124,1.5099,0.0
ROU_H51,6.9271,0.1189,0.3592,0.0615,0.0148,9.1964,3.3667,1.386,1.0271,16.7104,3.5675,0.3201,5.1777,1.2581,4.151,2.9312,1.201,3.1569,2.2957,15.8593,0.5896,2.3375,10.5567,0.6248,16.7203,11.1046,9.9373,0.0456,0.0144,0.7863,0.0487,1.897,0.6393,1.4525,0.9429,0.2355,2.4604,1.7139,0.6945,0.0267,0.3757,5.1168,0.3169,0.5813,0.0
ROU_H52,106.1143,6.4841,33.685,17.9564,5.2099,191.735,20.6816,49.8403,10.9131,208.6108,40.0171,9.0958,61.3031,57.838,69.8379,51.9608,31.2021,38.7724,48.7741,145.0772,21.06,42.0922,145.2824,16.7305,370.351,877.4271,141.4629,16.7621,15.9146,23.847,4.4277,25.6948,7.9475,71.4629,23.9749,54.3304,17.126,76.9411,64.8152,94.0826,17.1749,84.1351,14.9219,44.3482,0.0
ROU_H53,4.1003,0.0,2.4165,0.3761,0.2717,10.5766,12.4102,8.0577,0.62,0.5626,3.2093,0.2282,0.9218,4.2991,3.8355,6.5722,4.2874,0.0,7.7498,21.4832,0.4078,6.8984,13.2565,2.02,32.8695,537.4213,53.7166,1.6584,12.5328,3.5886,7.6152,14.0661,0.9563,19.3002,3.4105,0.7398,0.8985,29.3808,4.2929,19.4575,3.6152,9.8655,3.5924,17.3428,0.0
ROU_I,16.4829,1.0112,16.8904,1.7835,2.1155,41.8856,22.3981,13.3843,5.1318,7.4616,12.5268,1.6117,17.1603,19.4541,14.9629,29.8031,11.5889,16.606,28.2994,80.7339,2.7542,11.5129,38.7945,20.7365,295.5134,459.7881,153.7029,7.3186,24.4229,34.8335,6.714,29.3486,8.3331,69.2451,34.5081,36.5759,74.0534,126.9945,75.1841,204.9871,77.3385,118.2578,14.3392,47.3642,0.0
ROU_J58T60,22.7038,2.0603,8.9212,2.5938,0.202,20.3192,15.816,17.3276,8.0114,5.9945,2.3191,2.6748,10.1279,9.8892,18.4189,15.2172,18.0987,36.2486,16.2162,77.7405,6.3654,19.7683,25.6098,30.4463,28.7835,284.1042,16.2294,0.9742,15.2259,38.4502,20.3943,159.7452,123.8041,51.9255,44.4751,49.685,48.4197,134.4134,42.7722,61.8295,116.2554,44.1224,144.0512,32.975,0.0
ROU_J61,8.3692,1.8929,12.5255,1.8935,1.2429,31.9301,23.543,9.4891,4.362,2.838,17.3605,2.0411,17.9924,9.9951,12.9488,36.9876,10.1794,14.1419,16.9421,49.4861,4.6259,13.0813,112.428,18.0797,76.5553,645.1177,84.3348,2.6798,47.1501,72.0462,24.1257,21.2656,49.1929,188.3768,24.1403,79.0109,151.2479,94.5895,56.1787,53.5595,6.3729,13.7273,11.8155,26.5238,0.0
ROU_J62_63,42.6121,0.8916,24.819,15.2279,1.2276,132.7705,78.3647,7.5029,128.0041,77.851,30.0653,2.1248,9.3222,46.514,60.4835,134.6111,48.8759,21.8455,60.4607,210.4887,64.8757,43.2136,186.3426,88.9066,342.9164,1251.5751,268.2399,18.8972,83.4328,36.6299,6.9704,31.9097,9.4336,18.5079,208.6653,389.5533,181.3623,439.2419,43.8297,121.7744,67.5994,147.6756,17.9994,24.2428,0.0
ROU_K,49.9833,13.3947,32.7342,4.3237,8.7982,303.903,96.1537,56.7235,28.8334,211.5992,34.9987,7.3418,58.711,36.2655,87.231,56.6887,58.9864,82.7184,65.3168,260.8786,20.3312,57.2219,209.2892,76.0216,320.9914,1663.6007,297.9591,17.4868,39.936,90.9104,39.2247,83.5099,34.3056,100.1533,142.7969,527.4012,994.4577,384.0069,192.18,35.7214,40.331,63.2372,79.5018,97.0282,0.0
ROU_L,8.2239,2.545,5.8528,0.1415,1.6041,22.1984,23.5919,6.2647,11.5206,7.0707,14.3795,0.7434,3.2242,14.7798,13.2457,6.0905,6.8241,12.6688,6.0759,73.3347,5.7592,4.5543,21.491,16.039,531.6039,2419.5829,52.5659,1.3116,14.3196,1.0958,11.8167,15.5499,6.6008,30.2089,160.2156,22.3758,398.6142,95.4307,53.3108,63.9481,12.5358,86.0514,16.2718,41.9472,0.0
ROU_M,1133.5867,35.2711,144.1568,11.8073,20.3031,232.8054,271.7292,183.2198,125.8309,105.167,36.4399,52.885,221.619,94.4167,85.1375,150.8086,96.0304,509.053,85.2748,443.4368,89.1536,185.0976,138.7985,464.0503,471.3187,2244.9998,174.5516,17.9109,91.8118,573.7885,80.2702,76.4952,199.3218,427.1936,616.973,198.3547,468.2063,2532.9517,960.2485,42.3883,41.4411,151.8454,398.3657,568.0839,0.0
ROU_N,138.5256,8.5541,73.5056,6.1479,19.4582,144.212,165.2906,112.171,98.1657,65.5777,22.2955,32.4319,138.0883,56.6846,51.9295,92.7524,59.0665,312.7925,52.6063,270.1852,49.6961,128.5452,83.8484,297.6192,289.2193,995.5317,105.7674,10.9833,56.2349,524.1084,99.2638,46.2552,135.6731,265.8055,513.7527,125.2365,298.4707,1555.0408,597.5081,25.2315,25.2818,96.3085,243.8327,346.3965,0.0
ROU_O,47.2985,1.5764,12.7461,1.175,0.5643,26.7611,17.4556,12.4279,7.5273,14.2165,10.7198,2.383,18.9152,15.4848,19.4038,30.4896,15.1911,33.0557,21.195,67.0169,9.4922,22.6047,80.2073,19.0355,177.8181,177.9465,71.8137,1.7069,8.1157,29.4103,5.3912,17.7514,8.087,52.634,25.9762,19.8258,47.7181,111.1135,40.4857,19.0226,26.9967,28.0303,26.9145,28.9217,0.0
ROU_P,36.3923,1.6699,35.2831,1.7952,0.1984,37.6125,42.2111,29.9044,26.0223,16.9657,6.5763,8.4738,35.5048,16.2054,13.129,24.9962,16.2247,87.7266,14.5773,73.6707,15.091,34.2811,24.1419,75.7297,82.179,270.6704,29.7696,3.0991,14.4737,133.5468,28.0118,12.8535,35.2255,71.6474,132.5999,32.8654,96.5421,408.544,158.881,6.9777,7.4046,27.0213,66.4006,95.1241,0.0
ROU_Q,43.1374,5.6263,31.6755,1.8257,0.1962,41.2381,49.696,33.8611,28.6413,18.6715,7.3388,9.8716,40.7317,18.0826,14.5992,27.1499,14.6441,91.9961,13.8974,82.2017,16.1342,41.0393,27.4945,92.5129,86.3048,300.1597,32.5711,3.2771,16.8243,152.3878,31.3025,12.1236,42.971,74.0976,151.7379,37.2865,108.7968,460.6704,187.1646,8.5091,7.7721,29.0304,78.3891,106.4699,0.0
ROU_R,10.969,1.6941,6.1814,1.2896,0.0251,23.5676,10.7526,5.5166,4.8218,3.4248,2.7953,1.7004,6.3981,3.0034,5.2879,7.1682,5.5017,16.6492,3.8842,17.2816,3.8575,6.6944,5.657,15.4658,20.9055,56.5664,11.7615,1.6682,3.7502,25.2618,5.1432,453.6021,31.1216,15.0812,29.9676,19.2613,21.3112,91.8548,34.5814,94.3004,146.7147,18.2818,298.2886,23.9497,0.0
ROU_S,38.9735,2.7735,11.593,3.3408,0.7917,58.9153,28.7893,13.9632,10.6431,12.4707,8.4411,3.4576,17.8504,11.976,13.2087,30.1486,16.8448,40.6573,19.1044,57.4479,9.2011,21.0849,36.8424,44.5719,122.2413,162.5154,243.886,9.5119,9.833,47.3774,9.5231,150.7815,23.1769,42.5209,59.0902,43.0506,50.049,171.3687,75.5215,93.7069,54.8807,397.9254,68.6027,146.415,0.0
ROU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
