V1,ARG_A01_02,ARG_A03,ARG_B05_06,ARG_B07_08,ARG_B09,ARG_C10T12,ARG_C13T15,ARG_C16,ARG_C17_18,ARG_C19,ARG_C20,ARG_C21,ARG_C22,ARG_C23,ARG_C24,ARG_C25,ARG_C26,ARG_C27,ARG_C28,ARG_C29,ARG_C30,ARG_C31T33,ARG_D,ARG_E,ARG_F,ARG_G,ARG_H49,ARG_H50,ARG_H51,ARG_H52,ARG_H53,ARG_I,ARG_J58T60,ARG_J61,ARG_J62_63,ARG_K,ARG_L,ARG_M,ARG_N,ARG_O,ARG_P,ARG_Q,ARG_R,ARG_S,ARG_T
ARG_J61,13.9934,22.3138,7.9237,24.2975,3.8294,305.6579,40.5116,15.2146,75.576,15.2963,34.9478,79.7756,58.5025,32.8129,17.7715,59.0437,49.5603,18.0652,21.501,55.6209,0.8784,4.2711,4.327,32.9427,3.2583,3561.266,825.6549,7.8367,135.4133,40.7353,44.4527,533.5452,147.3947,5028.2442,381.3758,625.6392,40.9901,361.7828,120.1422,1280.4708,535.9366,393.8822,168.4755,9.6142,0.0
ARG_J62_63,0.0,1.1072,40.8194,0.0,20.2102,21.1963,2.1752,0.2197,1.3775,19.5476,2.5985,6.8771,0.8804,1.0338,1.0808,1.3037,0.7692,0.4905,5.5712,7.7897,5.1574,22.7544,23.6513,14.3445,24.8699,454.0404,0.0,0.0,0.0,221.3116,1.2332,18.5134,85.8649,148.3726,2011.8101,1375.5946,220.7601,2035.924,568.5239,156.8575,11.8788,85.9844,905.0629,128.7715,0.0
ARG_K,436.0536,34.8588,246.1026,52.6916,48.7639,547.4062,87.0211,34.3737,86.2527,56.7232,91.0122,162.2129,102.7187,70.9786,55.0021,102.1294,46.0271,37.9477,69.4682,86.0643,14.7605,50.7294,226.4813,116.1805,348.0632,2021.4886,1050.4869,9.6456,98.8848,334.6002,17.9882,304.7133,83.683,173.0494,137.8262,2797.4484,379.667,484.6585,237.378,2680.7449,241.4495,376.0724,125.1727,207.9145,0.0
ARG_L,2.3437,5.4312,71.3424,0.2068,0.0,17.996,20.3796,5.9138,19.2811,28.8866,20.5341,18.1453,20.4841,8.3324,2.8373,17.8852,12.7861,4.6628,14.3799,23.5896,1.6892,7.9644,6.6945,39.4667,0.0,182.9409,230.5475,0.5107,16.5964,4.5931,2.6776,562.6816,36.2384,110.9871,0.1214,115.3327,261.5564,193.0333,96.1838,145.0777,218.7022,201.3318,0.3183,222.7598,0.0
ARG_M,261.7138,25.9533,152.3828,37.3127,130.9832,922.6983,83.2728,23.3466,77.1864,61.5974,215.8444,489.7759,111.851,57.9951,51.1348,97.0568,103.2676,40.5081,82.3181,118.9612,18.077,43.8017,496.5002,112.504,589.8638,2829.2838,346.7936,2.5587,47.6249,129.268,31.8457,796.9429,416.065,503.4739,830.0559,1210.4066,347.0796,1085.0546,292.2211,422.9217,308.8112,657.8432,456.3146,328.4272,0.0
ARG_N,53.53,22.1336,185.3966,99.1382,192.4632,263.5587,75.7112,11.2509,64.2034,92.394,54.772,131.7691,41.5296,45.0086,14.6978,49.6123,24.1897,13.6091,50.9112,104.2639,11.4677,23.1375,156.3583,103.9801,371.767,3627.2825,765.6312,9.9164,358.618,361.8101,49.4862,492.9058,109.7631,582.0021,327.8812,813.751,309.8806,449.1957,282.9247,452.6315,260.5474,405.0244,161.5908,157.6004,0.0
ARG_O,24.6042,2.32,5.8832,3.3529,2.7957,8.5084,1.1638,0.4499,2.2421,6.5928,2.0581,3.0245,0.9189,1.3462,1.2675,1.5728,0.9045,0.6183,0.7678,1.3511,0.1618,0.335,18.0717,2.0655,34.7097,92.2491,32.4335,0.2129,7.0053,11.2827,0.4962,0.4079,5.751,19.6113,7.6756,31.3954,3.5934,4.1165,1.9602,25.3898,3.6467,5.9767,0.1947,12.1063,0.0
ARG_P,2.161,0.0503,88.8482,0.0919,0.0,26.6027,1.2468,0.0596,3.3481,27.3558,7.9259,16.1835,0.1522,5.6877,6.3921,2.0252,0.6463,0.2948,0.1478,2.2467,0.1459,0.0216,30.1619,0.1059,0.0,3.8777,0.1285,0.0599,0.8912,16.5208,0.0163,5.0211,3.7244,0.3064,10.238,0.0043,0.9028,32.6252,9.3417,30.0168,28.8496,6.7457,8.8605,78.2535,0.0
ARG_Q,27.7585,1.0134,48.0216,0.1353,0.1716,19.7354,3.2087,0.6563,3.4477,0.6866,3.2996,23.5592,3.8586,5.0323,0.7205,7.6698,6.4549,1.4039,3.0418,7.0134,0.2043,1.6878,0.5702,3.3002,0.0,283.471,11.5766,1.938,39.1415,142.8916,0.573,6.4327,7.8121,18.8722,53.9122,49.7088,198.0319,680.2345,198.7082,139.5956,168.2988,4166.1865,7.1094,1288.9579,0.0
ARG_R,5.8986,0.0002,0.0,0.0008,0.0,59.3336,2.784,0.1319,7.4297,0.0,17.4622,36.1658,0.3375,12.6404,14.179,4.498,1.4447,0.6558,0.3288,4.9954,0.3217,0.0479,0.0011,0.0004,0.0,8.6699,20.0892,0.0411,15.4342,16.9418,0.1101,1.8017,14.9423,23.1804,0.0,23.9946,0.0,0.982,6.7638,33.0178,377.8414,21.1626,517.4829,573.1432,0.0
ARG_S,32.3433,0.0218,0.0751,0.0047,12.7392,6.5679,1.3061,0.0184,3.1261,4.0161,1.7201,5.3078,0.3391,0.8453,1.4731,0.3105,0.7439,0.6831,1.2687,2.1684,0.0094,0.1675,0.5827,0.004,5.5941,119.4292,34.4557,0.0041,43.1289,1.3205,0.1128,42.7088,1.4585,0.8166,52.5708,35.1345,37.161,29.2043,8.0216,0.5558,5.1905,101.3594,24.4475,39.0732,0.0
ARG_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
