V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T
MLT_C20,0.0146,0.0194,0.005,0.0199,0.0074,1.3757,0.3435,0.0027,1.7798,0.0282,0.5155,5.2099,2.576,0.2112,0.0002,0.2237,1.7561,0.0082,0.012,0.0105,0.1172,1.6783,0.0627,0.1362,1.9597,0.6166,0.0465,0.0302,0.1137,0.5538,0.0703,0.8657,0.1774,0.0721,0.1538,0.2627,0.2551,0.5648,0.1105,0.0483,0.0612,0.4136,0.3847,1.9249,0.0
MLT_C21,0.0151,0.0188,0.002,0.0199,0.003,1.1092,0.1215,0.0025,0.6033,0.0086,0.2116,15.0269,0.8249,0.0635,0.0001,0.0867,0.5561,0.0124,0.031,0.0048,0.099,0.6399,0.0183,0.0658,0.6888,0.2391,0.0826,0.0355,0.0441,0.2534,0.1083,0.3238,0.0756,0.0493,0.0879,0.3785,0.04,0.9247,0.9546,0.0733,0.0372,19.6343,0.2728,0.5947,0.0
MLT_C22,0.1834,1.6034,0.0053,0.0414,0.0207,10.0497,0.0815,0.2867,1.3634,0.0007,0.4445,3.2017,7.4759,0.1285,0.0008,2.609,0.5238,1.1327,0.9275,0.2771,0.6894,16.7528,0.0962,0.1326,24.9392,7.3853,0.2686,0.7905,0.1973,1.4979,0.7684,1.1517,0.1454,0.0507,1.8947,1.5348,0.0283,0.9898,0.4888,0.5457,0.0345,0.2573,0.1037,0.7726,0.0
MLT_C23,0.1158,0.0348,0.0189,0.1141,0.0133,2.3011,0.0221,0.0049,0.1523,0.0003,0.0498,0.1876,0.4269,18.5292,0.0015,1.7856,34.6276,0.0122,0.0384,0.0351,9.6946,1.4007,2.1975,6.5496,80.82,0.4779,0.3458,0.0865,0.4186,0.779,0.0714,1.4839,0.0509,0.0707,0.1409,1.5205,7.2795,2.5859,0.2446,0.5808,0.2578,0.3063,0.3978,0.9426,0.0
MLT_C24,0.0001,0.0,0.0,0.0001,0.0003,0.0353,0.0001,0.0,0.0015,0.0,0.0007,0.0458,0.0018,0.0261,0.0001,0.2567,0.5943,0.0379,0.0345,0.008,0.0006,0.0278,0.0685,0.0134,0.0569,0.0092,0.0001,0.0014,0.0001,0.0053,0.0,0.0001,0.0001,0.0004,0.0025,0.0007,0.0022,0.0123,0.0022,0.0002,0.0003,0.0005,0.004,0.0008,0.0
MLT_C25,0.2328,0.223,0.0481,0.1886,0.0563,4.9328,0.0331,0.033,0.2646,0.0245,0.1566,0.3515,1.2736,1.8911,0.0019,26.1541,32.2098,0.2678,2.5657,0.1013,0.6163,11.1745,0.5292,0.3817,47.7188,0.9025,0.2245,0.2049,0.6093,5.1043,0.2942,0.5087,0.2212,0.3268,1.3039,1.226,0.7932,1.1847,0.2863,0.7549,0.0742,0.2224,0.3549,0.3747,0.0
MLT_C26,0.0036,0.0026,0.0045,0.0186,0.0047,0.0115,0.0028,0.0013,1.0298,0.0,0.0237,0.023,0.0416,0.0126,0.0,0.0483,76.1807,0.5613,0.8561,0.0077,2.6317,0.3112,2.1741,0.0499,0.2876,0.07,0.0435,0.0357,0.1071,0.3848,0.2936,0.0507,0.4174,38.2226,50.3764,3.1189,0.0367,3.2997,0.7573,0.2156,0.0179,0.0753,0.0528,2.9033,0.0
MLT_C27,0.0073,0.0303,0.0067,0.0296,0.006,0.0863,0.0102,0.0019,0.0638,0.0003,0.0108,0.0455,0.1038,0.0582,0.0006,0.1965,0.2409,4.8494,0.7528,0.008,0.2455,0.8205,0.9697,0.0562,6.1931,0.2591,0.1165,0.1046,0.0763,0.1721,0.0302,0.1558,0.1308,0.4506,4.1768,1.2769,0.1057,0.2522,0.114,0.012,0.0095,0.0349,0.0559,0.413,0.0
MLT_C28,0.0007,0.0275,0.02,0.0878,0.0116,0.0067,0.0044,0.002,0.0782,0.0001,0.0096,0.0011,0.0192,0.0074,0.0001,0.0524,0.0199,0.0267,0.8722,0.0015,0.486,0.793,0.1088,0.0991,2.3411,0.0695,0.0238,0.2377,0.0371,0.0443,0.0434,0.0028,0.0161,0.0189,0.0349,0.0451,0.0078,0.0332,0.1502,0.0038,0.0009,0.0104,0.0057,0.0461,0.0
MLT_C29,0.0055,0.0015,0.0,0.0001,0.0001,0.0063,0.0,0.0,0.0019,0.0,0.0001,0.0002,0.0001,0.0008,0.0,0.0003,0.0006,0.0002,0.0001,0.0071,0.0016,0.0214,0.0247,0.0006,0.086,0.1984,0.22,0.0497,0.048,0.0245,0.1226,0.003,0.0015,0.0009,0.0002,0.1539,0.0007,0.0143,0.0128,0.0001,0.0088,0.0409,0.0017,0.0042,0.0
MLT_C30,0.0023,5.168,0.0393,0.012,0.0003,0.0307,0.0019,0.0003,0.0237,0.0,0.0027,0.0204,0.0299,0.0277,0.0,0.0153,0.0026,0.0043,0.0264,0.0,28.8101,9.3427,0.0029,0.0355,0.0673,0.1343,0.0924,0.0558,13.5102,5.9049,0.0286,4.5316,0.0105,0.0315,0.0654,0.7627,0.011,0.058,1.1138,0.548,0.0452,0.0632,1.1786,0.0143,0.0
MLT_C31T33,1.9611,2.4028,0.1781,0.3957,0.0993,1.6239,0.3688,0.1596,1.2111,0.0084,0.1141,2.1677,1.0952,1.0142,0.0002,1.9273,2.2531,0.196,0.4977,0.0595,3.0138,20.4682,3.1337,2.2832,9.5366,6.2484,5.8273,4.8679,20.2047,5.8462,5.2107,5.2613,0.4635,1.6163,6.5295,10.4198,3.3997,4.1942,4.4706,8.1726,2.184,26.3623,29.1836,1.084,0.0
MLT_D,1.329,0.2305,0.0089,0.0959,0.0794,8.6737,3.1399,0.0869,3.4885,0.0011,1.6889,4.2984,4.7548,2.101,0.0033,2.3937,34.1848,0.1576,0.8413,0.0592,0.4789,8.8491,442.0356,24.0078,7.082,11.2864,1.7794,0.7558,1.0467,6.2481,4.3791,34.9979,2.7813,6.3425,52.2919,37.2769,3.3732,8.8497,1.5245,13.7387,9.178,19.9638,10.1943,1.8275,0.0
MLT_E,0.8968,0.2963,0.0239,0.1061,0.0247,2.3727,0.1023,0.0188,1.4386,0.0015,0.2047,0.7103,0.6767,2.5201,0.0084,0.6955,0.0388,0.0411,0.1292,0.0121,1.9769,1.5546,0.7498,52.4313,3.6622,2.5351,0.7065,0.5747,1.0547,1.1976,1.6785,7.5553,0.4932,1.9978,4.8667,11.86,0.9894,3.382,17.2714,24.1149,1.2941,6.7573,1.6401,1.0228,0.0
