V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T
BLR_C20,130.4548,0.268,2.3053,1.3138,0.5441,40.948,37.8325,24.0125,27.3235,12.3444,414.9293,21.1325,114.1852,20.0823,13.8934,7.5099,7.0793,11.6924,12.6891,7.9394,2.0864,15.9997,4.7838,3.1626,26.9185,15.3199,3.5988,2.9873,2.9302,1.215,0.1724,4.1857,3.0751,2.0343,1.3974,1.5348,1.8286,4.7666,3.0388,5.4163,2.6348,17.1387,1.6784,7.1658,0
BLR_C21,18.7322,0.05,0.1474,0.0547,0.0331,8.8172,1.4808,0.6111,0.6295,0.2288,13.0506,53.1879,1.6593,0.5378,0.5619,0.2763,0.4759,0.4281,1.0033,0.2908,0.0948,1.0334,0.2587,0.1525,1.0777,2.6443,0.3583,0.4952,0.4243,0.1486,0.0298,0.4292,0.2832,0.3782,0.232,0.3108,0.0969,2.3267,0.2772,3.0624,0.8516,83.3765,0.4,0.8867,0
BLR_C22,20.9097,0.3138,1.0643,0.6185,0.2765,83.9545,17.8788,11.2167,15.145,1.0487,43.4904,6.7353,91.8691,10.5876,4.3268,7.2628,11.7559,17.6735,28.6954,27.8952,3.4887,24.2636,1.5121,2.1328,70.4627,20.267,11.1594,1.4429,1.8774,1.5594,0.2984,3.5395,2.1733,1.5627,1.1492,1.1713,1.4476,3.3444,1.9955,3.8025,1.3553,4.3976,1.0888,5.2226,0
BLR_C23,15.4341,0.1085,1.2157,1.3522,0.4353,42.445,4.1434,14.3244,1.8876,0.7923,22.5997,4.5145,11.1122,196.4475,15.6026,8.5163,7.3151,9.9822,11.6368,10.632,2.6562,10.4386,3.2362,1.9586,492.3275,9.1549,2.1012,1.574,0.9199,0.9381,0.0801,3.781,0.6144,1.2135,0.5661,0.6625,5.9175,3.4153,1.3257,3.8969,1.6718,3.1079,0.8224,2.8009,0
BLR_C24,2.2917,0.0252,1.6101,0.2263,0.3373,9.0831,1.9959,5.1783,3.4501,0.5713,23.8223,1.1472,10.7709,11.2787,436.6681,143.6815,27.1766,129.7337,130.5833,48.2244,12.3121,49.9446,2.2465,3.9393,74.948,4.3101,1.186,0.7289,0.4669,0.5018,0.0128,0.3201,0.3022,0.4732,0.2116,0.2398,0.5825,1.6747,0.3496,0.8212,0.2557,0.5967,0.1927,2.0328,0
BLR_C25,13.0666,0.2195,2.8492,0.6881,0.5617,31.0334,5.4257,13.1017,3.2772,1.1201,15.6651,1.385,8.6638,8.1298,20.5922,56.426,9.1776,17.044,67.1158,26.5014,8.0813,22.4082,2.8037,1.5946,106.8208,7.3877,2.4254,1.798,1.4976,1.2723,0.0962,1.7507,0.7014,1.5522,0.8015,0.6542,1.3137,3.3171,1.5769,5.8306,1.1732,1.7778,0.8663,4.4089,0
BLR_C26,2.797,0.0624,0.4077,0.1078,0.0931,4.2709,1.4945,1.0476,1.3619,0.3729,2.9494,0.6684,1.3834,1.0148,1.2455,1.6755,89.6675,12.8266,13.352,5.8751,2.0345,6.3263,1.772,0.5355,9.5319,6.0454,1.1806,1.0885,1.3728,0.6387,0.1649,0.8116,2.2289,15.6978,7.8052,1.4806,0.3258,4.9349,1.3609,4.7027,1.8361,7.2383,1.1087,11.6553,0
BLR_C27,3.3155,0.0862,0.4526,0.1445,0.1033,4.453,1.535,1.3566,1.0905,0.3699,3.1751,0.4967,1.6401,1.5495,3.3003,2.919,15.0653,46.1356,21.6457,9.9945,2.2617,7.4063,5.4889,0.5804,36.6188,6.0844,1.712,1.1653,1.0643,0.55,0.0709,0.9293,0.7859,4.4885,1.355,0.6189,0.5955,2.2279,0.966,2.2411,0.6601,1.3315,0.7002,4.8886,0
BLR_C28,18.7019,0.2743,3.0435,0.9524,0.6092,15.4744,4.4149,5.2599,4.2401,1.471,10.4414,1.4533,4.3479,5.4351,6.7635,7.2287,6.3728,8.3567,76.667,15.0698,4.244,12.7797,4.7867,1.4383,28.6497,10.0183,3.9175,4.0058,4.7121,1.3459,0.1567,1.4295,1.1664,2.7619,1.2982,1.0137,0.7122,3.0083,1.8313,3.9905,1.0109,2.4397,0.8727,3.1356,0
BLR_C29,6.9638,0.092,0.9092,0.3577,0.1444,6.7033,2.1585,2.015,1.0859,0.3885,3.6102,0.5247,2.9521,2.7794,10.165,4.9116,2.7137,6.1677,22.1193,297.1449,3.6125,9.744,0.9175,1.5496,9.2545,42.4889,24.9567,1.7153,1.8795,1.8968,0.317,0.7235,0.4997,1.1423,0.5956,0.6008,0.3701,1.8958,2.5569,3.9805,0.7252,1.252,0.6084,3.5968,0
BLR_C30,0.2354,0.3219,0.069,0.0163,0.0048,0.2834,0.0626,0.0824,0.0447,0.0183,0.1371,0.0248,0.0939,0.0618,0.0963,0.1578,0.1757,0.1524,0.6773,1.6125,28.5769,3.6249,0.0663,0.0293,0.475,0.5727,2.1234,14.8386,7.53,0.3265,0.0113,0.0456,0.0277,0.0419,0.0261,0.0286,0.0171,0.1098,0.1768,4.5724,0.0509,0.0847,0.0787,0.5265,0
BLR_C31T33,32.5261,0.7307,4.0012,1.2818,0.7495,24.6421,14.8192,11.436,7.3045,2.1704,19.0214,3.1121,6.2075,8.567,10.5393,5.9826,6.6891,5.3456,17.7,6.3582,3.2683,60.1872,9.205,3.2028,32.4195,13.2544,9.7098,12.4305,18.0796,3.1176,0.46,5.0398,2.5985,5.9542,3.0716,4.8587,2.0583,7.2463,4.4456,14.2477,6.8238,35.9681,6.0023,8.3853,0
BLR_D,248.5655,2.6258,26.2599,11.9422,3.2191,249.2039,75.164,90.6234,97.7816,40.0923,339.9292,18.1914,73.2434,132.3578,184.7596,37.8413,23.1048,24.6429,57.3936,28.736,8.0885,34.6351,683.3429,39.1599,48.535,98.0851,47.3149,11.2165,6.7612,18.72,2.6919,76.0894,14.59,46.7046,12.4797,24.1685,32.4713,28.6527,13.6795,116.5017,61.5494,76.8178,31.7729,47.2716,0
BLR_E,13.043,0.1628,0.9435,0.3211,0.1478,16.4077,3.5707,3.2342,7.574,0.9912,11.8166,1.0446,3.5186,4.5528,37.2175,3.3002,0.969,1.1006,3.1431,1.0276,0.4294,1.7859,6.0268,23.2857,6.4622,6.4524,1.9597,1.2869,0.644,1.1114,0.1584,6.6017,0.7222,1.1805,0.7446,1.5312,3.1937,2.402,1.5802,16.6554,5.1281,7.4623,2.0989,4.0861,0
BLR_F,39.3296,0.3283,4.6391,1.4815,0.8488,19.3245,5.2679,8.4577,4.4336,3.3477,17.0995,2.0207,4.646,9.3852,5.5944,5.4481,2.6624,3.2602,9.3234,3.0554,1.382,7.8433,27.2389,8.565,650.0953,24.4755,14.8451,5.3366,4.5928,9.2352,0.691,10.971,2.8144,12.5476,3.4424,7.7118,59.9263,15.6573,5.2551,78.5809,17.8468,15.5922,6.7051,9.3122,0
BLR_G,217.384,2.5922,6.7226,3.1703,2.2678,579.7335,216.0213,86.5395,71.2596,34.4922,209.4685,52.9418,65.2138,60.7676,64.6469,38.47,55.8866,46.7132,138.9618,159.7195,13.3556,81.1853,29.2308,8.7374,97.9931,462.6541,53.4897,36.2809,35.1477,14.7618,2.4062,59.6406,38.2786,51.5589,20.6847,12.2345,6.3556,30.1132,21.1536,34.1697,11.8466,33.1144,14.9158,25.281,0
BLR_H49,73.6559,0.7535,15.9805,8.7372,2.2791,161.3056,26.3135,49.4146,34.7105,17.2633,100.4681,6.5664,24.8813,56.0275,30.0641,14.5625,9.4725,11.8233,28.6692,17.394,3.1586,19.2657,16.8906,7.7264,54.0395,144.4666,170.6327,24.3758,10.0866,41.21,8.0604,7.5108,9.2412,5.9612,5.8991,9.5598,1.9863,14.6964,11.3155,31.0706,15.41,11.9228,5.349,16.9287,0
BLR_H50,2.8296,0.0517,0.5409,0.1226,0.0576,5.7346,1.9903,0.9288,1.0264,5.0598,3.0845,0.3873,0.7745,1.1077,1.3338,0.6413,0.7169,0.6709,1.3313,1.2689,0.1901,0.8077,1.5541,0.1704,2.2923,3.7999,2.366,13.9763,2.4687,1.6303,0.0965,0.7669,0.3714,0.5159,0.3584,0.5238,0.1657,0.6854,0.5431,0.8929,0.3006,0.6949,0.288,0.5285,0
BLR_H51,2.7547,0.0218,0.1333,0.04,0.0491,4.8442,1.1879,0.38,0.5809,3.2808,1.1889,0.1751,0.3478,0.4461,0.6703,0.2945,0.3454,0.3101,0.5792,0.788,0.0858,0.3991,0.8189,0.081,1.3161,1.2986,0.818,1.2954,1.1403,0.4508,0.0747,0.5394,0.2418,0.312,0.2194,0.3343,0.105,0.4657,0.3584,0.384,0.1462,0.3294,0.1651,0.2566,0
BLR_H52,8.0537,0.3888,1.3578,0.9194,0.3056,22.737,4.1156,5.8445,4.2837,3.159,14.9344,1.3358,3.2521,5.7336,4.1949,2.3323,1.7367,1.9424,4.7203,3.4552,0.6089,2.9035,1.8769,0.934,5.3425,41.1362,37.9152,75.8053,55.1055,27.5555,1.2011,1.1436,1.2221,1.5523,0.9032,0.8438,0.3556,2.4198,1.7432,4.1048,0.6441,1.0613,0.6356,1.7109,0
BLR_H53,1.9883,0.0305,0.2861,0.0639,0.038,3.3877,1.4166,0.8838,1.0783,0.1982,2.9808,0.4884,0.758,0.7339,0.5017,0.5098,0.6015,0.4883,1.3799,0.4346,0.1709,1.1415,1.7346,0.5649,2.3145,11.3683,1.5887,0.9727,0.8761,1.759,8.1098,1.3063,3.811,5.9956,2.0223,8.5617,0.6607,4.2411,2.0348,9.9089,1.9973,2.5682,1.3798,3.6229,0
BLR_I,5.9253,0.1369,1.6484,0.3497,0.3229,15.824,5.4704,3.7728,2.7326,1.2255,12.9575,3.0044,4.0131,3.4992,2.9881,2.8691,2.9936,2.8889,7.3634,2.4922,0.9249,4.7796,4.2813,1.5151,13.3636,22.8257,10.5279,8.0019,23.2,3.8416,0.6328,15.5666,4.3419,6.247,7.7693,14.3239,1.9248,15.748,12.5366,32.0091,14.1067,20.4683,8.1216,15.3176,0
BLR_J58T60,2.1016,0.0364,0.2834,0.1017,0.0734,12.0605,2.6412,1.4949,4.3042,0.3835,5.8256,1.6551,1.3224,1.2731,0.906,0.8957,1.4321,1.1734,2.4448,0.8619,0.3926,2.0768,1.3672,0.6197,3.0216,14.0502,1.5306,1.1336,1.5984,0.8234,0.3535,3.2499,51.3203,12.3471,7.4899,7.0369,0.9933,22.8153,3.2827,11.3614,11.211,3.6161,6.3136,6.3466,0
BLR_J61,6.5869,0.1473,1.2518,0.2438,0.1611,8.7727,3.6818,2.9176,2.0212,0.5883,6.2956,1.18,2.179,2.3914,1.5165,2.0879,2.6363,1.6977,4.6204,1.6518,0.5551,3.057,3.4289,1.1334,9.2884,19.0066,5.1849,3.4742,3.141,2.4159,1.0789,4.9136,7.8247,131.7117,10.5904,17.8829,2.1075,11.2358,5.6984,22.2234,5.0409,8.1211,3.4029,8.8267,0
BLR_J62_63,1.1169,0.0149,0.1446,0.0387,0.0351,2.9395,0.9381,0.4916,0.5069,0.182,1.3962,0.3993,0.418,0.4141,0.3697,0.281,0.7199,0.3982,0.8744,0.337,0.1054,0.5577,0.3945,0.1412,1.2272,2.9961,0.5511,0.5929,0.661,0.2252,0.0573,0.5228,1.1605,1.3538,1.7321,1.2305,0.1903,1.4089,0.5177,1.3224,0.6339,0.6159,0.3828,0.7738,0
BLR_K,102.4746,1.2986,10.6929,2.0254,1.2963,64.5144,22.3175,20.2001,15.2013,6.7842,45.1862,6.945,14.0529,15.8393,16.2028,11.3823,10.2331,10.4261,25.4556,11.1294,3.8799,15.7861,26.8904,6.6396,64.7467,77.7615,31.3872,25.4894,18.9243,11.3068,1.9588,19.4693,8.6299,19.157,12.9899,304.4541,75.5394,33.9033,18.6028,64.0111,10.9727,20.1028,9.2796,23.0049,0
BLR_L,8.4379,0.1458,1.8027,0.4467,0.1959,24.6482,12.2029,6.8189,5.4655,1.293,10.8256,2.1863,5.6841,5.3307,3.3441,5.6026,4.1644,3.7031,8.8564,3.6358,1.4976,9.4416,6.1729,2.6014,24.3003,89.4902,10.1255,5.6559,5.3822,8.1082,1.6556,44.46,8.4277,19.2434,14.2554,30.1693,22.3087,27.7908,12.5411,34.4806,15.2841,22.3748,12.4311,28.1157,0
BLR_M,36.7844,0.2928,5.7115,1.2459,1.348,72.3485,15.167,9.0645,9.2678,4.1272,38.3154,13.848,10.1793,10.3548,8.674,7.2703,10.8608,9.106,19.2027,9.2659,3.0784,12.7538,13.8075,5.1889,51.7907,69.9721,10.2329,10.6928,8.7636,6.093,1.0721,13.5385,16.8282,25.6218,21.6168,41.3571,9.3136,73.1028,16.7526,34.3438,10.3582,17.1001,11.3957,18.9268,0
BLR_N,21.4429,0.3331,7.0369,1.4233,1.4689,54.7101,14.9498,11.5095,10.4435,3.7189,31.103,8.4554,12.1716,12.2829,8.1201,9.1139,9.777,8.782,20.9844,10.186,2.9487,14.3604,14.5552,6.5576,51.1692,56.7502,24.2143,26.402,26.4102,13.6449,2.6555,19.5861,13.5407,28.2334,21.8187,31.7625,12.2798,35.3297,38.9392,44.1023,17.201,29.8173,12.9394,20.9237,0
BLR_O,3.4621,0.0585,0.4304,0.1443,0.0828,5.353,1.4655,1.5205,1.2793,0.4522,3.5914,0.7788,1.1037,1.2116,4.7039,0.9024,0.5971,0.6293,1.5073,0.7213,0.2663,1.1208,1.8356,1.6558,5.0835,5.4942,2.8257,2.4223,1.8212,1.2496,0.1692,1.8535,0.9519,1.81,1.1701,2.5671,1.3384,2.9924,1.3279,11.2662,1.6867,2.6441,1.1447,1.9318,0
BLR_P,1.0545,0.017,0.2741,0.044,0.0357,1.9383,0.497,0.4129,0.3695,0.175,1.4625,0.5449,0.3905,0.4014,0.4512,0.3107,0.5116,0.4133,0.9343,0.3856,0.1406,0.5325,0.7278,0.2595,1.4132,1.9669,0.7245,0.5008,1.4239,0.3493,0.0674,0.5038,0.5891,1.2311,1.3921,2.0918,0.2399,2.4428,0.9163,7.0774,9.8725,2.0315,0.6712,1.7744,0
BLR_Q,1.3874,0.0213,0.0931,0.0241,0.0273,1.9519,0.6122,0.2889,0.2737,0.1134,0.8463,0.4654,0.3135,0.2781,0.2741,0.2017,0.2336,0.2059,0.4969,0.2001,0.0809,0.3762,0.2835,0.1428,0.9279,1.2012,0.5584,0.3455,0.2593,0.1938,0.0497,0.6397,0.2284,0.3332,0.5134,0.901,0.1418,0.8971,0.4239,4.5493,1.342,53.6384,0.4738,0.9708,0
BLR_R,0.6475,0.0113,0.0713,0.0225,0.0117,1.9944,0.4233,0.3535,0.2838,0.0754,0.6808,0.1766,0.2426,0.2316,0.1546,0.1669,0.171,0.1663,0.3716,0.1734,0.0769,0.3503,0.296,0.1502,0.8866,1.6806,0.3652,0.5517,0.3347,0.196,0.0442,1.4901,4.7199,0.9688,0.6208,0.9087,0.242,1.8801,0.8457,3.4841,1.6498,0.7379,19.2027,3.4699,0
BLR_S,5.587,0.1327,0.6149,0.2461,0.1768,8.969,3.1808,2.3612,1.7008,0.6445,4.6738,0.7685,1.7342,2.3676,1.4896,1.143,1.5225,1.2031,2.4535,1.0109,0.3609,2.2197,1.9853,1.1659,4.2337,10.0091,3.2224,1.862,1.7809,1.4313,0.2993,6.5296,2.3991,4.1206,5.0525,5.9516,1.2262,5.7461,2.8215,10.4059,4.0504,13.0618,3.34,24.9465,0
BLR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
