V1,FRA_A01_02,FRA_A03,FRA_B05_06,FRA_B07_08,FRA_B09,FRA_C10T12,FRA_C13T15,FRA_C16,FRA_C17_18,FRA_C19,FRA_C20,FRA_C21,FRA_C22,FRA_C23,FRA_C24,FRA_C25,FRA_C26,FRA_C27,FRA_C28,FRA_C29,FRA_C30,FRA_C31T33,FRA_D,FRA_E,FRA_F,FRA_G,FRA_H49,FRA_H50,FRA_H51,FRA_H52,FRA_H53,FRA_I,FRA_J58T60,FRA_J61,FRA_J62_63,FRA_K,FRA_L,FRA_M,FRA_N,FRA_O,FRA_P,FRA_Q,FRA_R,FRA_S,FRA_T
FRA_C20,2491.7342,114.8604,0.9763,56.2742,0.6512,703.9612,389.3196,16.3018,646.3146,303.2046,5933.209,1111.6354,3533.1085,179.1137,275.9827,589.5403,99.4139,282.4118,253.6194,565.9961,181.8565,580.0459,1585.9624,93.2128,1334.5798,805.5465,30.604,32.4158,11.1166,34.2587,8.7357,134.285,306.5811,49.1824,89.7095,20.4056,488.2446,492.0242,283.3071,152.7662,106.4579,432.5933,141.7705,94.1603,0.0
FRA_C21,269.1376,13.5606,0.0344,5.2423,0.0054,36.8785,1.007,0.0728,0.2106,0.7416,87.7188,1226.5876,1.9764,0.2877,0.2955,0.1736,0.1853,0.2884,0.3037,0.3242,0.3075,9.8542,0.5086,0.99,1.1272,6.372,0.464,0.2156,0.1618,2.9985,0.2066,0.7845,0.1638,0.2697,2.2997,5.2748,0.2487,128.1162,25.6981,44.7977,4.3563,1830.1986,1.8769,3.633,0.0
FRA_C22,220.8579,11.9437,0.0,28.8232,0.2845,1503.9294,325.4511,9.9558,233.4226,367.9064,765.2007,191.9471,1198.7506,117.0324,140.3132,422.5229,506.3733,582.3032,673.8729,2098.7289,390.2241,1171.0575,198.5311,97.0849,2818.3586,2463.9883,239.5576,55.6061,49.048,40.0164,77.2893,35.0298,266.4519,241.7843,78.7319,76.9159,65.9184,502.3098,376.0645,0.5942,9.7816,221.641,39.1821,109.9061,0.0
FRA_C23,265.9856,18.0631,0.0,228.801,0.3238,739.4362,23.2091,11.8802,50.2402,19.5934,331.6081,157.2436,103.6634,2735.7822,189.3743,284.3003,279.1828,106.1552,230.8365,607.1338,100.9119,425.7918,237.5665,272.6147,11725.8908,847.1919,119.4743,9.6378,2.3274,64.6229,0.0,141.1528,7.1149,39.4924,21.4727,0.0,162.0719,530.0892,388.0676,25.769,180.3198,551.2604,58.5111,79.425,0.0
FRA_C24,0.8753,0.0,0.7369,14.5553,0.6137,40.6313,17.8579,1.5543,15.1896,85.3563,122.9913,77.6899,110.9419,361.4317,4424.3295,4501.4754,320.6021,621.7053,1539.0667,1935.8995,420.9599,1754.4742,33.1496,702.1536,3028.1239,146.2543,17.1479,5.7461,0.5209,31.5548,5.6836,4.4498,50.6389,4.1681,8.6197,0.0,0.0,125.4274,218.116,1.5956,0.0,0.9057,1.5655,122.0858,0.0
FRA_C25,481.6471,21.9708,2.2914,109.148,1.295,1329.6035,251.4369,52.5953,334.074,393.9581,863.7674,116.7784,259.1807,285.6414,1240.6286,7209.3534,991.8048,1363.0009,3050.079,4033.7778,1190.039,3605.6267,433.3805,555.9676,11332.0285,713.1665,179.2997,22.8163,39.3464,277.8765,21.1789,183.6245,100.5041,252.8828,147.9554,5.1894,369.0801,477.4745,1041.7317,613.6237,36.7365,429.8126,93.717,204.4462,0.0
FRA_C26,0.0,0.0,0.3306,3.0281,0.0526,22.5351,4.9049,1.4676,24.7658,27.4926,36.3577,4.1101,24.1452,40.4752,59.9593,130.6652,1087.6017,503.515,373.4727,507.1577,1208.3076,448.9712,100.3179,25.3302,568.866,445.8688,10.2727,14.6166,1.8741,86.6028,53.987,27.2072,55.3832,450.161,401.5731,91.7492,20.4527,724.0214,312.6328,205.5148,53.0588,576.1634,117.7448,252.3468,0.0
FRA_C27,12.827,0.6694,0.0979,6.2628,0.0649,61.603,11.0939,2.9768,48.472,46.7606,75.7877,7.1838,25.7579,32.0229,112.9197,246.0493,334.4712,571.2668,364.9084,470.9797,207.5754,288.2438,128.8244,40.8819,1354.7079,578.574,32.31,6.2743,4.3643,128.3517,44.1574,43.1852,33.4008,304.418,215.7904,20.6062,168.5383,472.194,190.37,18.9181,5.8639,17.2792,27.5725,84.5232,0.0
FRA_C28,55.8301,40.3965,0.6236,156.2464,0.7394,375.7535,60.1352,12.9415,75.0325,93.9818,160.3291,21.8746,145.5472,130.4699,204.3637,409.1487,281.0349,179.1107,1367.4028,1975.7917,748.352,1866.2591,319.8664,278.1175,2221.1285,875.9873,108.0344,30.8249,20.0546,211.7238,11.2378,61.0948,87.6662,91.2215,49.0886,14.1959,17.6117,351.9077,338.8917,125.4718,31.8053,144.379,77.5515,150.627,0.0
FRA_C29,91.5951,1.16,0.0,4.0001,0.0563,153.2517,6.2257,1.4768,9.8355,17.4733,29.2155,1.0038,5.2025,31.3865,20.3234,38.1518,19.7463,14.1504,559.8063,6269.6345,75.2342,215.4891,31.8352,142.6643,90.7714,3645.4789,287.1794,36.0315,49.0679,377.2998,15.6011,16.8172,72.0246,56.0999,33.9644,18.6329,15.2948,159.9954,269.3685,116.1738,19.2518,118.2854,67.4279,86.8376,0.0
FRA_C30,0.0,29.1391,0.0,0.0,0.0087,10.4531,0.2925,0.0391,0.6128,0.6637,1.243,0.0,1.2631,1.5777,10.4361,12.0516,0.4318,1.9438,18.7721,303.0224,15477.7265,191.8698,1.3811,2.047,6.4895,136.987,241.3776,96.6564,122.5844,76.4597,1.5621,1.8202,1.8201,5.2866,2.3162,0.7882,0.163,60.7063,30.1643,2328.4852,0.4781,2.6011,0.4722,10.3071,0.0
FRA_C31T33,3626.56,1.5348,1.9317,145.4483,2.0967,307.1522,23.0503,13.277,48.4495,78.4251,257.8629,42.4321,37.3401,76.605,175.4348,626.1792,424.561,161.8602,789.2262,2455.4243,5076.6259,8878.6102,87.4859,122.2048,2804.3705,3478.6274,209.7307,45.8441,476.4136,617.1256,27.9588,86.629,73.5616,312.3429,70.5002,154.7911,16.2123,772.1712,415.1384,1760.596,40.6462,2177.817,338.4323,144.9222,0.0
FRA_D,1408.0283,38.4969,1.0411,148.9565,1.6168,3470.7745,202.7389,61.4749,1597.4818,719.8585,3579.5135,411.1116,378.4202,1628.7838,3356.8348,778.0238,383.135,240.8824,365.0392,865.8951,270.7808,256.0167,57429.0301,615.3963,432.5059,5320.1348,1950.8092,8.8862,23.5898,609.8876,76.1821,1745.861,1988.8366,1235.2389,321.727,599.9859,863.0457,2285.2438,555.5299,1921.5192,1418.5264,1820.2325,1387.6282,337.3139,0.0
FRA_E,472.9335,21.5402,1.7767,26.6419,0.2889,1170.5823,167.4446,35.2881,571.7549,368.5395,581.8866,212.3565,119.6245,412.4115,2880.0934,459.7385,130.5261,95.9933,195.2584,350.4273,91.153,271.7874,599.8261,7693.8479,1580.7992,2391.1701,118.0874,93.1688,72.9793,276.9766,77.8718,482.8081,536.5682,278.3193,475.7269,329.4149,1194.5228,2189.2788,1224.262,3461.2658,779.2149,1187.7505,375.7972,159.1042,0.0
FRA_F,440.5965,14.9454,6.5006,45.0619,1.2706,159.0828,48.5841,6.4969,58.9989,225.1746,97.5882,30.5508,63.3902,68.5307,135.5358,207.2637,95.4322,74.7302,504.6005,186.978,243.0353,253.6696,1421.1138,439.0236,61657.1632,683.9929,122.9328,169.7632,71.3497,296.1145,36.3633,100.7802,578.0412,555.0599,183.5469,2006.8735,7012.6453,2519.4907,1220.7699,5336.874,1730.9018,1379.8892,1524.7917,158.0221,0.0
FRA_G,9532.7822,263.6032,3.3123,430.5767,3.1234,24832.4,4412.9654,760.3928,2166.3779,2074.4872,6633.4004,2531.5639,2921.8278,2438.6857,2109.4258,3713.1394,2182.3444,1736.2438,3381.8405,8264.2604,4112.2039,5770.6647,5152.4503,1179.2287,16327.9381,25161.819,3489.793,819.2021,1306.173,1584.4076,185.1947,12419.1949,3118.9623,1361.2851,1419.4396,1924.8389,1682.4732,6207.7458,3818.5691,2785.7432,2244.8573,7499.7658,2518.5066,1362.4805,0.0
FRA_H49,1398.0405,39.5328,1.1249,72.7421,1.3276,3503.8554,382.936,142.5458,337.4975,892.7889,1106.8781,277.5686,431.0758,499.4807,512.4083,671.0159,315.6695,260.8421,533.2163,1231.9971,612.3003,854.4604,1131.9179,273.7785,3145.5942,12784.4419,7787.3955,113.7131,191.574,571.8923,42.8795,1453.4951,647.2628,270.1588,195.8443,309.7782,190.9263,1141.9293,599.364,1834.8528,991.6954,1335.6513,388.1884,370.4331,0.0
FRA_H50,8.8043,0.3222,0.0083,0.5566,0.0237,19.3587,6.192,0.5557,3.4474,32.6439,10.567,2.5075,4.5713,2.7751,6.052,7.5136,4.0696,3.5977,6.4463,15.8622,11.4754,9.6717,22.3202,1.9426,24.5839,8.9143,2.0041,0.0248,2.0751,0.0243,0.3062,8.2903,3.3387,2.1424,1.6955,1.1439,1.6404,6.4747,4.2812,3.1193,1.6623,7.1829,2.0398,1.7291,0.0
FRA_H51,55.0337,4.7804,0.1038,4.8012,0.1366,197.246,37.6111,4.8906,23.9211,136.2995,91.435,35.1882,31.7421,32.5305,38.2262,49.9881,25.5633,26.6202,40.7507,93.7841,69.2404,59.4125,108.5068,21.7126,193.8493,465.4787,40.7672,28.9835,654.1124,178.3596,8.7867,131.8374,45.71,26.5105,79.8006,498.5095,39.7717,458.8447,264.4576,85.9611,55.6337,119.9398,60.1063,52.7667,0.0
FRA_H52,144.4129,8.1424,2.9405,119.7097,0.8434,2746.3495,220.9097,67.1555,616.1318,712.1656,853.9128,323.9129,287.0175,719.2634,844.5209,624.7488,304.1321,217.8441,458.9302,780.4479,494.0098,606.9128,386.5859,349.9517,2487.4047,11903.0524,9776.1702,4403.9005,984.6855,12726.0176,35.868,1416.0576,953.4729,256.4546,750.0484,236.4413,1012.1037,3159.793,2543.2597,530.8075,281.3562,441.8292,594.6411,183.8783,0.0
FRA_H53,11.8959,0.0,0.2083,1.1377,0.0588,64.6736,10.0027,0.6325,20.5857,5.9828,109.0904,16.8271,6.7049,11.8426,10.4206,14.8487,13.1782,8.374,17.7279,21.9087,17.6202,25.5852,60.393,23.3648,100.9923,1571.9235,44.2321,45.4972,47.5954,55.3975,929.7147,124.8935,215.4632,649.5441,417.5451,985.6531,68.3573,1319.4969,622.6877,2072.1839,248.2888,267.3309,209.3932,178.8678,0.0
FRA_I,29.7903,1.6951,4.5627,34.6791,0.3374,406.1778,37.0132,9.413,58.2007,74.1916,197.9761,133.1339,89.7906,110.4773,165.3181,167.1917,80.1081,54.3769,129.2392,132.6272,183.2901,191.1551,152.9345,152.5015,338.7,8027.5295,856.5087,482.0926,144.6469,383.0271,63.3382,1753.5804,573.7715,322.5445,937.6317,826.3774,666.1293,3269.867,2634.6914,364.1782,685.8552,2611.5472,619.8145,251.3448,0.0
FRA_J58T60,145.5428,5.0417,0.06,7.0609,0.0792,203.799,16.7631,3.0468,24.8245,21.3448,84.8113,46.257,21.6577,22.3713,28.7016,43.5264,61.6447,24.0972,42.2968,37.8725,91.6682,52.433,156.8161,73.2583,261.2463,2225.518,92.0075,67.8862,66.0641,197.8669,36.4927,148.27,3787.7182,699.8852,2151.3803,3944.8818,543.2705,5205.7395,1978.2455,1294.0877,753.5061,618.8891,971.895,481.1683,0.0
FRA_J61,32.0949,0.9061,1.29,6.9659,0.2781,214.1865,43.3375,2.5127,55.7851,48.362,113.574,84.4045,26.4975,40.3775,35.4782,69.3046,53.2784,53.2977,105.4333,75.137,94.1976,102.3525,203.4924,66.4652,475.4079,5688.439,96.3744,73.5051,33.0623,206.7301,395.7718,475.3299,424.6043,7958.9443,1547.3329,6012.8968,567.0197,3882.6431,2455.5353,1144.2972,473.7627,689.1829,494.4185,283.0329,0.0
FRA_J62_63,0.1159,8.3314,0.3191,0.6761,0.2776,649.2151,95.7204,11.4697,130.9178,194.5263,286.2897,134.0801,109.6907,78.0324,94.2499,177.6786,383.9732,90.7956,175.1598,86.6596,270.9937,214.0731,488.8702,177.3637,821.6808,4044.5141,264.2224,193.7579,107.1526,302.4897,93.8938,281.2955,830.0651,1007.3523,13229.9676,7242.4564,971.9196,3825.0025,2289.7995,1359.9804,308.2468,687.8516,279.9244,393.41,0.0
FRA_K,2013.3047,116.9932,20.3257,86.7912,1.9395,3170.2629,390.5621,41.6286,539.5474,424.1452,1146.9324,409.581,265.544,410.8877,466.7873,588.1097,467.9409,297.5193,675.0263,549.3624,594.9914,679.3283,858.4344,1095.8128,5556.6664,18172.1756,3450.9019,1009.3692,582.0943,3894.1226,371.5411,2107.46,1071.6538,2848.7161,1173.0681,78781.5741,19437.7703,14473.6591,5617.4782,3946.5541,958.0375,2454.2489,838.9774,1681.6347,0.0
FRA_L,17.81,0.9631,0.8267,73.0185,0.3877,720.5711,80.8528,23.2849,222.1631,113.3428,346.4155,310.8136,113.9927,233.8686,350.9354,200.4347,113.0155,38.901,211.1893,102.7062,329.2013,203.2548,184.0955,152.643,741.9898,22002.7532,1101.765,340.6257,231.1266,1369.8319,278.1935,2146.699,823.0115,978.9034,2523.5265,8145.9144,12183.4896,10879.6291,7425.7267,2135.6435,752.3383,3027.2,842.5809,759.3135,0.0
FRA_M,1751.2966,114.9264,20.8134,169.7221,5.1817,8068.1235,694.2323,103.7073,1401.0403,774.9907,2418.8847,2184.1187,1418.7617,1266.0614,1707.9568,1896.5996,1286.2976,672.9151,1675.5212,2331.9289,2303.9138,2202.6151,2333.4224,1375.7595,15320.9393,34581.9524,2527.2399,1856.6284,851.6646,4405.1732,296.3147,4348.4722,3621.2236,3025.0606,6291.3585,11822.2798,7118.982,83640.9901,17090.358,5561.9756,2190.8506,5365.3551,2090.9425,2007.2924,0.0
FRA_N,658.402,36.7559,18.6326,148.6839,3.7034,5796.8879,783.8747,92.1059,1072.9403,519.4524,1479.2389,870.3199,1395.5672,1495.7371,1853.5582,2314.5557,745.1265,837.5399,1604.9585,1571.3946,1736.4734,1767.885,1998.7867,3356.8238,13010.4731,24766.9788,5081.4171,1894.1499,1075.7313,4554.5675,565.7434,2431.353,1753.4503,2357.7045,3146.4237,13289.4346,5600.5913,23601.0126,22675.7099,7852.1779,3889.4583,6435.7047,2441.7469,2959.1316,0.0
FRA_O,191.1393,6.1019,1.3046,16.4666,0.2938,566.8198,84.7085,101.9098,244.6565,187.274,254.9449,117.1993,93.1472,192.2767,1046.6356,225.45,78.4138,60.6126,127.8765,185.0964,108.33,163.1785,362.4824,2512.1171,1134.6566,2211.1028,264.5688,91.2331,63.8823,262.868,46.7995,311.3271,252.6902,174.1881,358.7442,787.5936,917.0451,2558.2475,1094.9231,1425.2703,286.395,540.9943,196.0751,137.7399,0.0
FRA_P,137.536,8.6709,3.265,27.1881,0.0566,632.1947,87.1271,22.7046,110.8224,149.129,413.6464,235.5151,212.2957,174.3242,151.2607,282.9686,222.7271,160.7113,285.6206,661.7925,349.9955,475.1662,658.6783,162.2137,910.4361,3461.9969,1703.3286,74.5817,804.2315,583.0483,255.5792,340.5521,211.9132,666.752,1088.3839,1143.4467,283.5233,2636.9616,1187.4322,753.4301,1930.5577,3272.1985,287.4096,124.1327,0.0
FRA_Q,231.8775,0.8763,0.2011,3.8969,0.083,216.546,23.9412,6.0275,27.274,34.8,48.2296,20.6835,29.9613,26.7632,54.8236,53.7859,25.8364,23.206,45.5998,64.473,52.8182,64.083,68.1635,48.9436,368.3924,563.21,118.8768,39.4338,34.1384,142.5784,14.559,243.2174,61.264,74.5659,141.7139,559.6196,120.5066,661.0174,559.6461,390.6034,86.8835,6271.2455,74.0826,64.9324,0.0
FRA_R,5.4836,0.1141,0.0785,2.1791,0.0211,113.5456,12.0322,5.8565,27.0816,27.4052,52.0986,39.803,23.5389,35.2358,84.3595,48.4774,21.0053,15.097,36.95,38.7717,45.7931,52.5658,53.3097,138.2226,118.103,1925.4844,198.8063,96.9261,35.2503,100.309,19.2288,638.3834,503.2392,80.8063,243.6363,57.0845,258.272,945.6177,773.0915,416.1569,207.8353,242.5495,2396.5521,287.8178,0.0
FRA_S,9.2339,110.1561,0.2174,24.2029,0.2073,651.5656,83.2787,4.9359,62.3778,200.8289,258.3891,83.725,62.0427,119.7478,90.4283,87.5707,74.8284,88.9641,226.893,633.8333,170.4544,457.707,199.183,186.4612,630.8982,2172.179,253.9502,115.0052,41.8519,568.2368,28.2715,309.9634,373.7652,342.7506,264.0502,1030.0594,221.9927,1582.3669,1380.2924,141.6366,77.2521,211.0633,106.3254,1579.081,0.0
FRA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
